アプカル滝のヤ・ミトラは、最後の試練の開始を告げようとしている。			アプカル滝のヤ・ミトラは、最後の試練の開始を告げようとしている。			不可視の脅威							
いつも逃げてしまって、ごめんなさい……。ほんとうはお話したかったんだけど、お母さんにダメっていわれてたから……。			いつも逃げてしまって、ごめんなさい……。ほんとうはお話したかったんだけど、お母さんにダメっていわれてたから……。			荒れ狂う魔力							
お世話になっております。娘は、おふたりと会うのを楽しみにしているようです。これまで、人と接触させないようにしてきたものですから。			お世話になっております。娘は、おふたりと会うのを楽しみにしているようです。これまで、人と接触させないようにしてきたものですから。			荒れ狂う魔力							
勝手にいろいろ決めちゃって、ごめんなさい……。でも、お願いだから、ガッティたちのことを、エ・スミ様たちには秘密にしてほしいの。			勝手にいろいろ決めちゃって、ごめんなさい……。でも、お願いだから、ガッティたちのことを、エ・スミ様たちには秘密にしてほしいの。			荒れ狂う魔力							
秘密にすると約束する？			秘密にすると約束する？			荒れ狂う魔力							
やっぱりエ・スミ様に相談しよう			やっぱりエ・スミ様に相談しよう			荒れ狂う魔力							
約束する！			約束する！			荒れ狂う魔力							
…………			…………			荒れ狂う魔力							
エ・スミ様に伝えれば、必ず母娘は引き離される。そうなったら、ガッティの心は不安で引き裂かれて、より危険な状態になってしまう……だから、お願い！			エ・スミ様に伝えれば、必ず母娘は引き離される。そうなったら、ガッティの心は不安で引き裂かれて、より危険な状態になってしまう……だから、お願い！			荒れ狂う魔力							
ありがとう……！エ・スミ様に伝えれば、必ず母娘は引き離されてしまう。それじゃ、ガッティの心がより危険になるはずだから。			ありがとう……！エ・スミ様に伝えれば、必ず母娘は引き離されてしまう。それじゃ、ガッティの心がより危険になるはずだから。			荒れ狂う魔力							
それは、反対はしてないってことよね？エ・スミ様に伝えれば、必ず母娘は引き離されてしまう。それじゃ、ガッティの心がより危険になるはず……。			それは、反対はしてないってことよね？エ・スミ様に伝えれば、必ず母娘は引き離されてしまう。それじゃ、ガッティの心がより危険になるはず……。			荒れ狂う魔力							
私は、小さいころにお母さんを亡くしたから、ガッティに同じ思いをしてほしくないし。でも、感情に流されてるわけじゃないのよ。			私は、小さいころにお母さんを亡くしたから、ガッティに同じ思いをしてほしくないし。でも、感情に流されてるわけじゃないのよ。			荒れ狂う魔力							
サンチェさんの治療と、ガッティの教育……どちらも一筋縄じゃいかないけど、頑張るわ！だから、あなたの力も貸して……お願いね……。			サンチェさんの治療と、ガッティの教育……どちらも一筋縄じゃいかないけど、頑張るわ！だから、あなたの力も貸して……お願いね……。			荒れ狂う魔力							
革細工師ギルド付近のアテルーネは、新しい剥製を造ろうとしているようだ。			革細工師ギルド付近のアテルーネは、新しい剥製を造ろうとしているようだ。			命の連鎖							
アテルーネと話した。次に造るものは、「ベロジナグリズリー」の剥製らしい。情報収集のため、ギラバニア辺境地帯のカストルム・オリエンスで「エニオン」と話そう。			アテルーネと話した。次に造るものは、「ベロジナグリズリー」の剥製らしい。情報収集のため、ギラバニア辺境地帯のカストルム・オリエンスで「エニオン」と話そう。			命の連鎖							
エニオンと話した。手分けして「ベロジナグリズリー」の情報を集めることになった。カストルム・オリエンスで「双蛇党の哨兵」に尋ねてみよう。			エニオンと話した。手分けして「ベロジナグリズリー」の情報を集めることになった。カストルム・オリエンスで「双蛇党の哨兵」に尋ねてみよう。			命の連鎖							
「ベロジナグリズリー」は、ビターミル周辺に棲んでいたらしい。カストルム・オリエンスの「エニオン」と合流しよう。			「ベロジナグリズリー」は、ビターミル周辺に棲んでいたらしい。カストルム・オリエンスの「エニオン」と合流しよう。			命の連鎖							
エニオンは「ベロジナグリズリー」を探しに走っていった。ギラバニア辺境地帯のビターミルへ向かった「エニオン」を追いかけよう。			エニオンは「ベロジナグリズリー」を探しに走っていった。ギラバニア辺境地帯のビターミルへ向かった「エニオン」を追いかけよう。			命の連鎖							
エニオンは、落ちた果実を食べているグリズリーを見かけたらしい。ビターミルで、再度「エニオン」と話そう。			エニオンは、落ちた果実を食べているグリズリーを見かけたらしい。ビターミルで、再度「エニオン」と話そう。			命の連鎖							
「ベロジナグリズリー」の死骸を発見した。エニオンが、なんとか死骸からベロジナグリズリーの粗皮を取ったが、剥製造りに用いるのは難しそうだ。グリダニアの革細工師ギルド付近の「アテルーネ」に「ベロジナグリズリーの粗皮」を渡そう。			「ベロジナグリズリー」の死骸を発見した。エニオンが、なんとか死骸からベロジナグリズリーの粗皮を取ったが、剥製造りに用いるのは難しそうだ。グリダニアの革細工師ギルド付近の「アテルーネ」に「ベロジナグリズリーの粗皮」を渡そう。			命の連鎖							
ベロジナグリズリーの粗皮から、エニオンのグローブを製作することになった。「ベロジナグリズリーの粗皮」をもとに「グリズリーベアーグローブ」を製作し、革細工師ギルド付近のエニオンへ納品しよう。※「ベロジナグリズリーの粗皮」を失った場合は、アテルーネに話しかけましょう。材料を入手し、再挑戦が可能になります。			ベロジナグリズリーの粗皮から、エニオンのグローブを製作することになった。「ベロジナグリズリーの粗皮」をもとに「グリズリーベアーグローブ」を製作し、革細工師ギルド付近のエニオンへ納品しよう。※「ベロジナグリズリーの粗皮」を失った場合は、アテルーネに話しかけましょう。材料を入手し、再挑戦が可能になります。			命の連鎖							
エニオンにグリズリーベアーグローブを納品した。今後は、冒険者が製作したグリズリーベアーグローブを身につけるそうだ。次の仕事のため革細工の腕を磨いておこう。※革細工師のレベルが68以上になると、革細工師ギルド付近のアテルーネから次の革細工師クエストを受注することができます。			エニオンにグリズリーベアーグローブを納品した。今後は、冒険者が製作したグリズリーベアーグローブを身につけるそうだ。次の仕事のため革細工の腕を磨いておこう。※革細工師のレベルが68以上になると、革細工師ギルド付近のアテルーネから次の革細工師クエストを受注することができます。			命の連鎖							
カストルム・オリエンスのエニオンと話す			カストルム・オリエンスのエニオンと話す			命の連鎖							
双蛇党の哨兵と話す			双蛇党の哨兵と話す			命の連鎖							
エニオンと合流			エニオンと合流			命の連鎖							
エニオンと話す			エニオンと話す			命の連鎖							
エニオンと再度話す			エニオンと再度話す			命の連鎖							
アテルーネにベロジナグリズリーの粗皮を渡す			アテルーネにベロジナグリズリーの粗皮を渡す			命の連鎖							
製作手帳 クラスクエスト：グリズリーベアーグローブを製作グリズリーベアーグローブをエニオンに納品			製作手帳 クラスクエスト：グリズリーベアーグローブを製作グリズリーベアーグローブをエニオンに納品			命の連鎖							
来たわね、Forename！この間造った「ヘネガダルメル」の剥製は注目を集めているわ。			来たわね、Forename！この間造った「ヘネガダルメル」の剥製は注目を集めているわ。			命の連鎖							
この剥製を見た人から、私の研究に融資をしてくれるという提案もあったの！これも、キミとエニオンのおかげよ。			この剥製を見た人から、私の研究に融資をしてくれるという提案もあったの！これも、キミとエニオンのおかげよ。			命の連鎖							
でも、より注目を集めるため、新たな題材がほしくてね。ここは、私が研究する博物学の大きなテーマのひとつである、自然界の生態系について、知らしめるのがいいと思ってるの。			でも、より注目を集めるため、新たな題材がほしくてね。ここは、私が研究する博物学の大きなテーマのひとつである、自然界の生態系について、知らしめるのがいいと思ってるの。			命の連鎖							
そんなことを考えつつ、過去の研究成果を編纂していたら……ちょうど、次の剥製にもってこいの題材があったのよ！			そんなことを考えつつ、過去の研究成果を編纂していたら……ちょうど、次の剥製にもってこいの題材があったのよ！			命の連鎖							
その名も、「ベロジナグリズリー」！ギラバニア辺境地帯に棲まう、屈強な百獣綱の動物で、ある種の果実を好んで食しているらしいわ。			その名も、「ベロジナグリズリー」！ギラバニア辺境地帯に棲まう、屈強な百獣綱の動物で、ある種の果実を好んで食しているらしいわ。			命の連鎖							
でも、第七霊災による環境変化で、その果実がなる植物自体が少なくなってしまったの。結果、「ベロジナグリズリー」も数を減らしているわ……。			でも、第七霊災による環境変化で、その果実がなる植物自体が少なくなってしまったの。結果、「ベロジナグリズリー」も数を減らしているわ……。			命の連鎖							
そういったことも含めて、生態系を語るのに、これ以上の題材はないでしょう？さっそく現地に飛んで、情報を集めてちょうだい。			そういったことも含めて、生態系を語るのに、これ以上の題材はないでしょう？さっそく現地に飛んで、情報を集めてちょうだい。			命の連鎖							
それと、今回私は、このダルメルちゃんの見張りと、見に来てくれた人への解説で忙しいから同行できないわ。エニオンとふたりで、がんばってきなさいね。			それと、今回私は、このダルメルちゃんの見張りと、見に来てくれた人への解説で忙しいから同行できないわ。エニオンとふたりで、がんばってきなさいね。			命の連鎖							
それじゃ、Surnameさん！「ベロジナグリズリー」を探しに、ギラバニア辺境地帯へ向かいましょうか！			それじゃ、Surnameさん！「ベロジナグリズリー」を探しに、ギラバニア辺境地帯へ向かいましょうか！			命の連鎖							
まずは、「カストルム・オリエンス」で落ち合いましょう。「ベロジナグリズリー」の詳しい生息域を、エオルゼア同盟軍の兵士さんに尋ねてみようと思うんです。			まずは、「カストルム・オリエンス」で落ち合いましょう。「ベロジナグリズリー」の詳しい生息域を、エオルゼア同盟軍の兵士さんに尋ねてみようと思うんです。			命の連鎖							
Surnameさんのおかげで、僕ひとりのときよりも、いい剥製が造れました！これからも、よろしくお願いしますね！			Surnameさんのおかげで、僕ひとりのときよりも、いい剥製が造れました！これからも、よろしくお願いしますね！			命の連鎖							
この周辺に、かつて、「ベロジナグリズリー」が棲んでいたんですね。では、兵士さんたちに話を聞きに行きましょう。			この周辺に、かつて、「ベロジナグリズリー」が棲んでいたんですね。では、兵士さんたちに話を聞きに行きましょう。			命の連鎖							
僕は、拠点の南側を中心にあたってみますので、Surnameさんは、北側をお願いします！後ほど、合流しましょう！			僕は、拠点の南側を中心にあたってみますので、Surnameさんは、北側をお願いします！後ほど、合流しましょう！			命の連鎖							
Forename、まだ向かっていなかったの？早く「カストルム・オリエンス」まで行って、エニオンとふたりで、がんばってきなさい。			Forename、まだ向かっていなかったの？早く「カストルム・オリエンス」まで行って、エニオンとふたりで、がんばってきなさい。			命の連鎖							
ほう、「ベロジナグリズリー」の棲家を探しているのですか？			ほう、「ベロジナグリズリー」の棲家を探しているのですか？			命の連鎖							
昔は、ここから南に向かった、「ビターミル」の辺りにいたようですがね……。最近は、とんと見なくなりましたよ。			昔は、ここから南に向かった、「ビターミル」の辺りにいたようですがね……。最近は、とんと見なくなりましたよ。			命の連鎖							
Forename、何をしているの？エニオンとふたりで、がんばってきなさい。			Forename、何をしているの？エニオンとふたりで、がんばってきなさい。			命の連鎖							
こっち側の情報収集は、僕がしておきます！Surnameさんは、北側をお願いしますね！			こっち側の情報収集は、僕がしておきます！Surnameさんは、北側をお願いしますね！			命の連鎖							
……なるほど！南に向かった「ビターミル」辺りにいたんですね。			……なるほど！南に向かった「ビターミル」辺りにいたんですね。			命の連鎖							
「ベロジナグリズリー」が食していたという果実が、その辺りに生息していたのかもしれませんね……。さっそく、行ってみましょう！			「ベロジナグリズリー」が食していたという果実が、その辺りに生息していたのかもしれませんね……。さっそく、行ってみましょう！			命の連鎖							
「ベロジナグリズリー」なら、ここから南に向かった、「ビターミル」の辺りにいたようですがね……。最近は、とんと見なくなりましたよ。			「ベロジナグリズリー」なら、ここから南に向かった、「ビターミル」の辺りにいたようですがね……。最近は、とんと見なくなりましたよ。			命の連鎖							
ああ、Surnameさん。道中、魔物には襲われませんでしたか？僕はもう、逃げるだけでいっぱいいっぱいでしたよ……。			ああ、Surnameさん。道中、魔物には襲われませんでしたか？僕はもう、逃げるだけでいっぱいいっぱいでしたよ……。			命の連鎖							
でも、逃げ回っている途中で、地面に落ちた果実を食べているグリズリーを見かけたんです！きっと、あれが「ベロジナグリズリー」に違いありません！			でも、逃げ回っている途中で、地面に落ちた果実を食べているグリズリーを見かけたんです！きっと、あれが「ベロジナグリズリー」に違いありません！			命の連鎖							
この辺りには、やはり、「ベロジナグリズリー」の好物となる果実がなるんですよ。さあ、この辺りを調べてみましょう！			この辺りには、やはり、「ベロジナグリズリー」の好物となる果実がなるんですよ。さあ、この辺りを調べてみましょう！			命の連鎖							
Surnameさん、これをみてください……。「ベロジナグリズリー」の死骸みたいです。			Surnameさん、これをみてください……。「ベロジナグリズリー」の死骸みたいです。			命の連鎖							
でも、死後しばらく経っているようで、かなり傷んでいますね。この状態では、流石に剥製にする品質の毛皮は取れないかも……。			でも、死後しばらく経っているようで、かなり傷んでいますね。この状態では、流石に剥製にする品質の毛皮は取れないかも……。			命の連鎖							
……とりあえず、手を付けてみましょう。解体を手伝ってもらえますか？			……とりあえず、手を付けてみましょう。解体を手伝ってもらえますか？			命の連鎖							
ベロジナグリズリーの死骸から、「ベロジナグリズリーの粗皮」を手に入れた。ずいぶん傷んでいるようだ……。			ベロジナグリズリーの死骸から、「ベロジナグリズリーの粗皮」を手に入れた。ずいぶん傷んでいるようだ……。			命の連鎖							
ふう、なんとか粗皮を取れましたね。ですが、やはりこれでは剥製を造るのは無理そうです……。ひとまず、グリダニアに帰りましょう。			ふう、なんとか粗皮を取れましたね。ですが、やはりこれでは剥製を造るのは無理そうです……。ひとまず、グリダニアに帰りましょう。			命の連鎖							
おかえり、ふたりとも。「ベロジナグリズリー」の皮は手に入ったのかしら？			おかえり、ふたりとも。「ベロジナグリズリー」の皮は手に入ったのかしら？			命の連鎖							
この粗皮、傷だらけじゃない……！こんな状態の皮から、剥製はできるの？			この粗皮、傷だらけじゃない……！こんな状態の皮から、剥製はできるの？			命の連鎖							
実は、運良く「ベロジナグリズリー」の死骸を、見つけることはできたのですが……。死後しばらく経っていて、そもそもの状態が悪かったんです。			実は、運良く「ベロジナグリズリー」の死骸を、見つけることはできたのですが……。死後しばらく経っていて、そもそもの状態が悪かったんです。			命の連鎖							
それでも、Surnameさんの協力で、可能なかぎり、良い状態で持ち帰れました……。ですが、おっしゃるとおり、その状態では剥製は造れません。			それでも、Surnameさんの協力で、可能なかぎり、良い状態で持ち帰れました……。ですが、おっしゃるとおり、その状態では剥製は造れません。			命の連鎖							
……そう、でも、困ったわね。取ってきてもらったこの粗皮が剥製には使えないとすると……。			……そう、でも、困ったわね。取ってきてもらったこの粗皮が剥製には使えないとすると……。			命の連鎖							
アテルーネに何と言う？			アテルーネに何と言う？			命の連鎖							
この命を無駄にしたくない			この命を無駄にしたくない			命の連鎖							
剥製以外には使えないだろうか			剥製以外には使えないだろうか			命の連鎖							
……そうね、確かに、このまま皮を捨てるのは忍びないわ。剥製ができないのは残念だけど、命を無駄にしないためにも、なにか考えてみましょう。			……そうね、確かに、このまま皮を捨てるのは忍びないわ。剥製ができないのは残念だけど、命を無駄にしないためにも、なにか考えてみましょう。			命の連鎖							
……アテルーネさん、Surnameさん！だったら、その粗皮で、僕の装備品を作ってくれませんか？			……アテルーネさん、Surnameさん！だったら、その粗皮で、僕の装備品を作ってくれませんか？			命の連鎖							
この先、剥製造りに身をおくものとして、その命の大切さを背負っていきたいんです！			この先、剥製造りに身をおくものとして、その命の大切さを背負っていきたいんです！			命の連鎖							
……そうね、エニオン。いい心がけだわ。			……そうね、エニオン。いい心がけだわ。			命の連鎖							
Forename、「ベロジナグリズリーの粗皮」から、「グリズリーベアーグローブ」を作ってもらえるかしら。できたら、エニオンに渡してちょうだい。			Forename、「ベロジナグリズリーの粗皮」から、「グリズリーベアーグローブ」を作ってもらえるかしら。できたら、エニオンに渡してちょうだい。			命の連鎖							
アテルーネさんに、「ベロジナグリズリーの粗皮」を渡して、どうすればいいか、相談しましょう。			アテルーネさんに、「ベロジナグリズリーの粗皮」を渡して、どうすればいいか、相談しましょう。			命の連鎖							
Surnameさん、製作作業の方はいかがですか？			Surnameさん、製作作業の方はいかがですか？			命の連鎖							
わぁ……ありがとうございます！！あの状態の粗皮を、ここまで素晴らしいものにするなんて！			わぁ……ありがとうございます！！あの状態の粗皮を、ここまで素晴らしいものにするなんて！			命の連鎖							
Surnameさんが作ってくれた大事なグローブ、さっそく、着けさせてもらいます！			Surnameさんが作ってくれた大事なグローブ、さっそく、着けさせてもらいます！			命の連鎖							
防寒性に優れ、強靭なベアーの皮は、古くから、山岳部や森の住人達に愛されてきたわ。グローブにするには、かなり難しい素材だけれど……。			防寒性に優れ、強靭なベアーの皮は、古くから、山岳部や森の住人達に愛されてきたわ。グローブにするには、かなり難しい素材だけれど……。			命の連鎖							
……うん、さすが、素晴らしい出来じゃない。あの傷だらけの粗皮を、よく処理して仕立ててあるわ。一見しただけでは、わからないくらいにね。			……うん、さすが、素晴らしい出来じゃない。あの傷だらけの粗皮を、よく処理して仕立ててあるわ。一見しただけでは、わからないくらいにね。			命の連鎖							
はい、指先で触ると、よくわかります。Surnameさんの職人技が。そして、「ベロジナグリズリー」の命の重みが。			はい、指先で触ると、よくわかります。Surnameさんの職人技が。そして、「ベロジナグリズリー」の命の重みが。			命の連鎖							
Surnameさん……本当に、ありがとうございます！			Surnameさん……本当に、ありがとうございます！			命の連鎖							
第七霊災は、動物への直接的な被害だけではない。環境が変わったことによってエサが少なくなったことで、間接的に、絶滅にひんしている動物もいる……。			第七霊災は、動物への直接的な被害だけではない。環境が変わったことによってエサが少なくなったことで、間接的に、絶滅にひんしている動物もいる……。			命の連鎖							
剥製は用意できなかったけど、このグローブを通して、その事実を、広く伝えることができるはずよ。			剥製は用意できなかったけど、このグローブを通して、その事実を、広く伝えることができるはずよ。			命の連鎖							
そして、それを知らしめた、私という博物学者の偉大さも、世界に広まっていくのよ！オーッホッホ！			そして、それを知らしめた、私という博物学者の偉大さも、世界に広まっていくのよ！オーッホッホ！			命の連鎖							
さ、そうした動物たちのことを知ってもらうためにも、まだまだ、この事業を終えることはできないわ。引き続きよろしくね。			さ、そうした動物たちのことを知ってもらうためにも、まだまだ、この事業を終えることはできないわ。引き続きよろしくね。			命の連鎖							
Forename、「ベロジナグリズリーの粗皮」から、「グリズリーベアーグローブ」を作ってもらえるかしら。できたら、エニオンに渡してちょうだい。			Forename、「ベロジナグリズリーの粗皮」から、「グリズリーベアーグローブ」を作ってもらえるかしら。できたら、エニオンに渡してちょうだい。			命の連鎖							
「ベロジナグリズリーの粗皮」が追加で必要なの？……ハァ。万一に備えて、予備を用意しておいた私を褒め称えなさい。			「ベロジナグリズリーの粗皮」が追加で必要なの？……ハァ。万一に備えて、予備を用意しておいた私を褒め称えなさい。			命の連鎖							
貴重な素材なんだから、次は無駄にしないように気をつけなさいよ。			貴重な素材なんだから、次は無駄にしないように気をつけなさいよ。			命の連鎖							
革細工師として、命の見識を深め、「マニピュレーション」を修得しました！			革細工師として、命の見識を深め、「マニピュレーション」を修得しました！			命の連鎖							
アラガーナのウィダルゲルトは、冒険者に頼みたいことがあるようだ。			アラガーナのウィダルゲルトは、冒険者に頼みたいことがあるようだ。			拳聖、再び							
ウィダルゲルトは、格闘士ギルドとの交流試合を考えているようだ。ウルダハの格闘士ギルドにいる「ハモン」と話そう。			ウィダルゲルトは、格闘士ギルドとの交流試合を考えているようだ。ウルダハの格闘士ギルドにいる「ハモン」と話そう。			拳聖、再び							
ハモンは、交流試合への参加を快諾してくれた。ギラバニア山岳地帯のアラガーナにいる「ウィダルゲルト」に報告しよう。			ハモンは、交流試合への参加を快諾してくれた。ギラバニア山岳地帯のアラガーナにいる「ウィダルゲルト」に報告しよう。			拳聖、再び							
ウィダルゲルトに報告した。ギラバニア辺境地帯のスキズム開山堂にいる「ウィダルゲルト」と話そう。			ウィダルゲルトに報告した。ギラバニア辺境地帯のスキズム開山堂にいる「ウィダルゲルト」と話そう。			拳聖、再び							
ウィダルゲルトと話していると、デ・ゼンツァとオ・チャクハの悲鳴が聞こえた。ふたりの下へ向かった「ウィダルゲルト」の後を追おう。			ウィダルゲルトと話していると、デ・ゼンツァとオ・チャクハの悲鳴が聞こえた。ふたりの下へ向かった「ウィダルゲルト」の後を追おう。			拳聖、再び							
廃王の嫡男を自称するテオバルドは、星導教を潰そうとしているようだ。「ウィダルゲルト」と話そう。			廃王の嫡男を自称するテオバルドは、星導教を潰そうとしているようだ。「ウィダルゲルト」と話そう。			拳聖、再び							
交流試合は中止になり、ハモンたちはウルダハへと帰って行った。アラガーナの「エリック」と話そう。			交流試合は中止になり、ハモンたちはウルダハへと帰って行った。アラガーナの「エリック」と話そう。			拳聖、再び							
エリックは、突然の事態に驚いているようだ。アラガーナの「ウィダルゲルト」と話そう。			エリックは、突然の事態に驚いているようだ。アラガーナの「ウィダルゲルト」と話そう。			拳聖、再び							
ウィダルゲルトは、テオバルドに敗れたことに落胆しているようだ。心の傷が癒えるまで、しばらくひとりにしておこう。※モンクのレベルが68以上になると、アラガーナのウィダルゲルトから次のモンククエストを受注することができます。			ウィダルゲルトは、テオバルドに敗れたことに落胆しているようだ。心の傷が癒えるまで、しばらくひとりにしておこう。※モンクのレベルが68以上になると、アラガーナのウィダルゲルトから次のモンククエストを受注することができます。			拳聖、再び							
格闘士ギルドのハモンと話す			格闘士ギルドのハモンと話す			拳聖、再び							
アラガーナのウィダルゲルトに報告			アラガーナのウィダルゲルトに報告			拳聖、再び							
スキズム開山堂のウィダルゲルトと話す			スキズム開山堂のウィダルゲルトと話す			拳聖、再び							
ウィダルゲルトの後を追う			ウィダルゲルトの後を追う			拳聖、再び							
ウィダルゲルトと話す			ウィダルゲルトと話す			拳聖、再び							
アラガーナのエリックと話す			アラガーナのエリックと話す			拳聖、再び							
ウィダルゲルトと話す			ウィダルゲルトと話す			拳聖、再び							
やあ、Forename。鍛錬は順調ですか？			やあ、Forename。鍛錬は順調ですか？			拳聖、再び							
あれから、多くの方が説法を聞きに訪れ、嬉しいことに、修行に参加する者も増えてきました。ですが、まだまだ僕は満足していません。			あれから、多くの方が説法を聞きに訪れ、嬉しいことに、修行に参加する者も増えてきました。ですが、まだまだ僕は満足していません。			拳聖、再び							
さらに多くの人に教えを伝えるため、次の一手を打ちたいのです。とはいえ、アラガーナの住民の中には、未だに我々が、本物のモンクなのか、疑う方もおられるのが現状……。			さらに多くの人に教えを伝えるため、次の一手を打ちたいのです。とはいえ、アラガーナの住民の中には、未だに我々が、本物のモンクなのか、疑う方もおられるのが現状……。			拳聖、再び							
そこで僕は考えました。集落の皆さんに、より実戦に近い形で星導教の技をお見せして、我々の技が「本物」であることを知っていただこうと。			そこで僕は考えました。集落の皆さんに、より実戦に近い形で星導教の技をお見せして、我々の技が「本物」であることを知っていただこうと。			拳聖、再び							
そのための方法として、他流派との交流試合を行うことにしました。試合相手には、ウルダハの格闘士ギルドを想定しています。			そのための方法として、他流派との交流試合を行うことにしました。試合相手には、ウルダハの格闘士ギルドを想定しています。			拳聖、再び							
あとは先方に受けていただけるか、ですが……格闘士ギルドに顔の利くあなたからのお誘いならば、話もとおりやすいのではないでしょうか？			あとは先方に受けていただけるか、ですが……格闘士ギルドに顔の利くあなたからのお誘いならば、話もとおりやすいのではないでしょうか？			拳聖、再び							
お手数ですが、星導教の未来のため、あなたの力を貸してください！			お手数ですが、星導教の未来のため、あなたの力を貸してください！			拳聖、再び							
ありがとうございます！それでは、格闘士ギルドの拳聖「ハモン」さんに、よろしくお伝えください！			ありがとうございます！それでは、格闘士ギルドの拳聖「ハモン」さんに、よろしくお伝えください！			拳聖、再び							
さて、あいつらどう鍛えてやっかなー。			さて、あいつらどう鍛えてやっかなー。			拳聖、再び							
信徒の方たちが、ゼンツァの厳しいしごきに耐えられるのか、心配です……。			信徒の方たちが、ゼンツァの厳しいしごきに耐えられるのか、心配です……。			拳聖、再び							
フォッフォッフォ。こりゃまた懐かしい顔がやってきたもんじゃ。			フォッフォッフォ。こりゃまた懐かしい顔がやってきたもんじゃ。			拳聖、再び							
おおい！　チュチュト、ルルクタ！珍しい客がおいでなすったぞ！			おおい！　チュチュト、ルルクタ！珍しい客がおいでなすったぞ！			拳聖、再び							
Forename、久しぶりじゃない！			Forename、久しぶりじゃない！			拳聖、再び							
またお前に会えるとは……旅の途中、ウルダハに立ち寄ったのは正解だったな。			またお前に会えるとは……旅の途中、ウルダハに立ち寄ったのは正解だったな。			拳聖、再び							
して、今日は何か用があって参ったのじゃろう？			して、今日は何か用があって参ったのじゃろう？			拳聖、再び							
まあ、私たちとの他流試合ですって！面白そうじゃない！　ねえ、師匠！			まあ、私たちとの他流試合ですって！面白そうじゃない！　ねえ、師匠！			拳聖、再び							
えー、ギラバニアってなんか遠いしー。筋骨隆々なハイランダーばかりでおなごも少ないしー。めんどくさいしー。			えー、ギラバニアってなんか遠いしー。筋骨隆々なハイランダーばかりでおなごも少ないしー。めんどくさいしー。			拳聖、再び							
こーの、くそジジイ！師匠だって、ハイランダーでしょ！			こーの、くそジジイ！師匠だって、ハイランダーでしょ！			拳聖、再び							
ちょうどいいじゃないか。いい加減、チュチュトとの組み手も飽きていたところだ。			ちょうどいいじゃないか。いい加減、チュチュトとの組み手も飽きていたところだ。			拳聖、再び							
あんたの負け越しだけどね！			あんたの負け越しだけどね！			拳聖、再び							
ま、さんざん世話になったお主の頼みとあっては、無下に断るわけにはいかないのう。			ま、さんざん世話になったお主の頼みとあっては、無下に断るわけにはいかないのう。			拳聖、再び							
よし、いいじゃろ。試合は早いほうがいいんじゃったな？ならば、今すぐギラバニアへと向かうとしよう。			よし、いいじゃろ。試合は早いほうがいいんじゃったな？ならば、今すぐギラバニアへと向かうとしよう。			拳聖、再び							
チュチュト！　ルルクタ！急いで旅の支度をせい！			チュチュト！　ルルクタ！急いで旅の支度をせい！			拳聖、再び							
聞いてのとおり、格闘士ギルドはそちらの申し入れを受けさせてもらうぞい。アラガーナに戻ったら、「ウィダルゲルト」氏にそう伝えとくれ。			聞いてのとおり、格闘士ギルドはそちらの申し入れを受けさせてもらうぞい。アラガーナに戻ったら、「ウィダルゲルト」氏にそう伝えとくれ。			拳聖、再び							
他流試合の件、よろしく頼みましたよ。			他流試合の件、よろしく頼みましたよ。			拳聖、再び							
格闘士ギルドが我々との他流試合を受けてくれると？それはよかった！			格闘士ギルドが我々との他流試合を受けてくれると？それはよかった！			拳聖、再び							
では、我々も準備を急ぐとしましょう。僕は試合のことを集落の方々に喧伝して回ります。ゼンツァとチャクハは、格闘士ギルドの方々のお迎えに。			では、我々も準備を急ぐとしましょう。僕は試合のことを集落の方々に喧伝して回ります。ゼンツァとチャクハは、格闘士ギルドの方々のお迎えに。			拳聖、再び							
あなたは、先に会場に向かって試合に備えてください。試合会場は、星導教のモンクたちが修行に使っていた遺跡、「スキズム開山堂」です。			あなたは、先に会場に向かって試合に備えてください。試合会場は、星導教のモンクたちが修行に使っていた遺跡、「スキズム開山堂」です。			拳聖、再び							
わしもあれから鍛え直しての……だいぶ力を取り戻したのじゃ。まだまだ、「拳聖」と呼ばれてた頃にはほど遠いがの。			わしもあれから鍛え直しての……だいぶ力を取り戻したのじゃ。まだまだ、「拳聖」と呼ばれてた頃にはほど遠いがの。			拳聖、再び							
ルルクタったら、大張り切りで旅支度を調えに行っちゃったわ。まったく……素直じゃないわね！			ルルクタったら、大張り切りで旅支度を調えに行っちゃったわ。まったく……素直じゃないわね！			拳聖、再び							
Forename、来ましたか。いよいよですね。アラガーナの皆さんの手前、恥ずかしい試合はできませんよ。			Forename、来ましたか。いよいよですね。アラガーナの皆さんの手前、恥ずかしい試合はできませんよ。			拳聖、再び							
じきにゼンツァたちも、格闘士ギルドの方々を連れてやってくるでしょう。エリック博士にも声をかけたのですが、研究に忙しいようです。			じきにゼンツァたちも、格闘士ギルドの方々を連れてやってくるでしょう。エリック博士にも声をかけたのですが、研究に忙しいようです。			拳聖、再び							
(-オ・チャクハの声-)きゃあっ！！			(-オ・チャクハの声-)きゃあっ！！			拳聖、再び							
(-デ・ゼンツァの声-)クソ！　なんだお前ら……うわあっ！！			(-デ・ゼンツァの声-)クソ！　なんだお前ら……うわあっ！！			拳聖、再び							
今の悲鳴は……ゼンツァとチャクハ！？いったい何が……！			今の悲鳴は……ゼンツァとチャクハ！？いったい何が……！			拳聖、再び							
