シャバーブチェ付近のウクラマトは、次なる試練に挑みたいようだ。			シャバーブチェ付近のウクラマトは、次なる試練に挑みたいようだ。			本当の自分							
どうもこうも、変わりゃしないさ！			どうもこうも、変わりゃしないさ！			ピルグリム・トラバースの目覚め							
古い時代に作られた、教会同士を繋ぐ魔法が、永い眠りからお目覚めだ。			古い時代に作られた、教会同士を繋ぐ魔法が、永い眠りからお目覚めだ。			ピルグリム・トラバースの目覚め							
ご覧のとおり、寝惚け眼(まなこ)の有様だがね！			ご覧のとおり、寝惚け眼(まなこ)の有様だがね！			ピルグリム・トラバースの目覚め							
ここからときどき罪喰いが這い出してくるんだ……。多分、向こうにある教会が、はぐれ罪喰いの巣になっているんだと思う……。			ここからときどき罪喰いが這い出してくるんだ……。多分、向こうにある教会が、はぐれ罪喰いの巣になっているんだと思う……。			ピルグリム・トラバースの目覚め							
行って元を断とうにも、妖精除けのまじないが掛けられているせいで、私たちでは入り込めないのよ～。			行って元を断とうにも、妖精除けのまじないが掛けられているせいで、私たちでは入り込めないのよ～。			ピルグリム・トラバースの目覚め							
こいつが昔々のお話だったなら、光耀教会の敷地に妖精除けが掛かっているのなんて、よくあることだったんですがねェ。			こいつが昔々のお話だったなら、光耀教会の敷地に妖精除けが掛かっているのなんて、よくあることだったんですがねェ。			ピルグリム・トラバースの目覚め							
なにせ連中には、あたしらを寄せ付けたくない時間があったんでさァ。それが何かというと…………			なにせ連中には、あたしらを寄せ付けたくない時間があったんでさァ。それが何かというと…………			ピルグリム・トラバースの目覚め							
(-？？？？-)葬儀が行われるとき、でしょう？			(-？？？？-)葬儀が行われるとき、でしょう？			ピルグリム・トラバースの目覚め							
これはこれは妖精王！ええ、まさしくおっしゃるとおりで。			これはこれは妖精王！ええ、まさしくおっしゃるとおりで。			ピルグリム・トラバースの目覚め							
在りし日の光耀教会ではね、信徒の遺体が運び込まれてから、葬儀が終わるまでのあいだ、教会内に妖精除けをしたもんです。			在りし日の光耀教会ではね、信徒の遺体が運び込まれてから、葬儀が終わるまでのあいだ、教会内に妖精除けをしたもんです。			ピルグリム・トラバースの目覚め							
ほら、さっき話したでしょう？死者の魂は、「光の神」のお導きを受けて、再び現世に生まれ来る……そう信じられていたんですよ。			ほら、さっき話したでしょう？死者の魂は、「光の神」のお導きを受けて、再び現世に生まれ来る……そう信じられていたんですよ。			ピルグリム・トラバースの目覚め							
一方で、あたしら妖精は、その環から外れちまった存在とされている。			一方で、あたしら妖精は、その環から外れちまった存在とされている。			ピルグリム・トラバースの目覚め							
だから葬儀が終わるまで、妖精を教会から遠ざけた。死者の魂を拐い、仲間に引き込まないようにってねェ。			だから葬儀が終わるまで、妖精を教会から遠ざけた。死者の魂を拐い、仲間に引き込まないようにってねェ。			ピルグリム・トラバースの目覚め							
おいおい、そいつは異なことを！つまりはアレか？　そういうことか？			おいおい、そいつは異なことを！つまりはアレか？　そういうことか？			ピルグリム・トラバースの目覚め							
誰かが葬儀を待っている……罪喰いだらけの、廃教会で！			誰かが葬儀を待っている……罪喰いだらけの、廃教会で！			ピルグリム・トラバースの目覚め							
その真相は、妖精ではなくヒトであるあなたに、突き止めてもらうとしましょう。			その真相は、妖精ではなくヒトであるあなたに、突き止めてもらうとしましょう。			ピルグリム・トラバースの目覚め							
妖精郷に起きている問題を解決してもらうのだもの、私たちもできる協力は惜しまないのだわ。			妖精郷に起きている問題を解決してもらうのだもの、私たちもできる協力は惜しまないのだわ。			ピルグリム・トラバースの目覚め							
城の保管庫にあった、探索に役立ちそうな道具を持ってきたの。渡しておくから、あとでインク＝ダエンと確かめてみて。			城の保管庫にあった、探索に役立ちそうな道具を持ってきたの。渡しておくから、あとでインク＝ダエンと確かめてみて。			ピルグリム・トラバースの目覚め							
そういう挑戦心のあるところ、本当に美しくって大好きよ。			そういう挑戦心のあるところ、本当に美しくって大好きよ。			ピルグリム・トラバースの目覚め							
だから、こんなところで斃れたりしないでね。危なくなったら、今度こそ素直に私を呼ぶのだわ。			だから、こんなところで斃れたりしないでね。危なくなったら、今度こそ素直に私を呼ぶのだわ。			ピルグリム・トラバースの目覚め							
お言葉ですがね、妖精王。たとえあんた様であっても、光耀教会の妖精除けは破れやせん。連中のまじないは、とことんあたしらに強いんだ。			お言葉ですがね、妖精王。たとえあんた様であっても、光耀教会の妖精除けは破れやせん。連中のまじないは、とことんあたしらに強いんだ。			ピルグリム・トラバースの目覚め							
ええそうね、妖精ではどうやっても入れない。葬儀の場にいてもいいのは、生けるヒトと……			ええそうね、妖精ではどうやっても入れない。葬儀の場にいてもいいのは、生けるヒトと……			ピルグリム・トラバースの目覚め							
死した信徒だけ……でしょう？			死した信徒だけ……でしょう？			ピルグリム・トラバースの目覚め							
教会の中には、儀式に使っていた道具がまだ残っているはず。「ジュニパーの香」を見つけたら、きっと焚いてみて……？			教会の中には、儀式に使っていた道具がまだ残っているはず。「ジュニパーの香」を見つけたら、きっと焚いてみて……？			ピルグリム・トラバースの目覚め							
その香りが立ち込めたなら、在るべきものが、在るべき場所へ。……あなたのことを、助けに行くわ。			その香りが立ち込めたなら、在るべきものが、在るべき場所へ。……あなたのことを、助けに行くわ。			ピルグリム・トラバースの目覚め							
ゲェーッ！！そうか、確かに「それ」なら……！			ゲェーッ！！そうか、確かに「それ」なら……！			ピルグリム・トラバースの目覚め							
あんた様は怖いお方だ、なんてことを考えなさる！これだから『狂い咲き』のピクシーは！			あんた様は怖いお方だ、なんてことを考えなさる！これだから『狂い咲き』のピクシーは！			ピルグリム・トラバースの目覚め							
さあ若木、探索に取り掛かって頂戴な。まずはヴォレクドルフに戻って、しっかり身支度を整えるといいのだわ。			さあ若木、探索に取り掛かって頂戴な。まずはヴォレクドルフに戻って、しっかり身支度を整えるといいのだわ。			ピルグリム・トラバースの目覚め							
あなたたちもよ。付き添いはできずとも、私の若木を助けてあげてね。			あなたたちもよ。付き添いはできずとも、私の若木を助けてあげてね。			ピルグリム・トラバースの目覚め							
見張りの仕事は、もう不要！じきにお前が乗り込んで、ばったばったと倒すんだから！			見張りの仕事は、もう不要！じきにお前が乗り込んで、ばったばったと倒すんだから！			ピルグリム・トラバースの目覚め							
ティターニア様の若木に手を貸すだなんて、失敗したら、大目玉をくらうどころじゃ済まないよね……。僕がんばるよ……。			ティターニア様の若木に手を貸すだなんて、失敗したら、大目玉をくらうどころじゃ済まないよね……。僕がんばるよ……。			ピルグリム・トラバースの目覚め							
いよいよ打って出られるわね～。転移した先に何が待っているか、真相を暴くのが楽しみだわ～！			いよいよ打って出られるわね～。転移した先に何が待っているか、真相を暴くのが楽しみだわ～！			ピルグリム・トラバースの目覚め							
さてさて……。ひとまずは、あんたが妖精王から預かった、「探索に役立ちそうな道具」とやらを確認してみますかね。			さてさて……。ひとまずは、あんたが妖精王から預かった、「探索に役立ちそうな道具」とやらを確認してみますかね。			ピルグリム・トラバースの目覚め							
どれ、ちょいとあたしに見せてごらんなさい。			どれ、ちょいとあたしに見せてごらんなさい。			ピルグリム・トラバースの目覚め							
ふむふむふむ……。こいつがアレで、こっちはソレですかねェ……。			ふむふむふむ……。こいつがアレで、こっちはソレですかねェ……。			ピルグリム・トラバースの目覚め							
ゲェーッ！　コレはまた……用意周到と言うべきか、問答無用と言うべきか……。			ゲェーッ！　コレはまた……用意周到と言うべきか、問答無用と言うべきか……。			ピルグリム・トラバースの目覚め							
……よし、すっかり承知しやした。			……よし、すっかり承知しやした。			ピルグリム・トラバースの目覚め							
結論から言うと、あんたが渡されたのは、光耀教会における祭儀用の「魔器装備」でさァ。			結論から言うと、あんたが渡されたのは、光耀教会における祭儀用の「魔器装備」でさァ。			ピルグリム・トラバースの目覚め							
なぜそんなものが要るかというと……規模の大きな教会の建物には、不殺生のまじないが組み込まれているからでしょう。			なぜそんなものが要るかというと……規模の大きな教会の建物には、不殺生のまじないが組み込まれているからでしょう。			ピルグリム・トラバースの目覚め							
あのまじないは、武具の力を封じ、教会内での刃傷沙汰を防ぐ優れもの！つまり罪喰い退治においては、これ以上ない厄介ものだ！			あのまじないは、武具の力を封じ、教会内での刃傷沙汰を防ぐ優れもの！つまり罪喰い退治においては、これ以上ない厄介ものだ！			ピルグリム・トラバースの目覚め							
その点、祭儀用の魔器装備であれば、まじないの影響下でも能力を発揮するようになっておりやす。			その点、祭儀用の魔器装備であれば、まじないの影響下でも能力を発揮するようになっておりやす。			ピルグリム・トラバースの目覚め							
とはいえ、保管庫に放置されていたとあっては、魔力は既にすっからかんでしょうが……。			とはいえ、保管庫に放置されていたとあっては、魔力は既にすっからかんでしょうが……。			ピルグリム・トラバースの目覚め							
なァに、心配ご無用さ！どんな道具も使っていけば、自然と力が宿るもの。			なァに、心配ご無用さ！どんな道具も使っていけば、自然と力が宿るもの。			ピルグリム・トラバースの目覚め							
あてずっぽうの虚言じゃないぞ？なにせおいらはピクシーいちの、器用で気ままな職人だからな！			あてずっぽうの虚言じゃないぞ？なにせおいらはピクシーいちの、器用で気ままな職人だからな！			ピルグリム・トラバースの目覚め							
よく言うわ～。私たちン・モゥ族ならまだしも、ピクシーが物作りだなんて、ペテンか酔狂の二択じゃない。			よく言うわ～。私たちン・モゥ族ならまだしも、ピクシーが物作りだなんて、ペテンか酔狂の二択じゃない。			ピルグリム・トラバースの目覚め							
もうひとつ……妖精王からの贈り物には、金の香炉も入っておりやした。			もうひとつ……妖精王からの贈り物には、金の香炉も入っておりやした。			ピルグリム・トラバースの目覚め							
察するに、教会内で「ジュニパーの香」を見つけたら、ここに込めて焚けということでしょう。			察するに、教会内で「ジュニパーの香」を見つけたら、ここに込めて焚けということでしょう。			ピルグリム・トラバースの目覚め							
それで本当に妖精王が介入できるかは……まァ、香の状態なんかにもよるでしょうがね。どうあれ、あんたに不都合なことは起こりますまい。			それで本当に妖精王が介入できるかは……まァ、香の状態なんかにもよるでしょうがね。どうあれ、あんたに不都合なことは起こりますまい。			ピルグリム・トラバースの目覚め							
渡されていたものは以上！あとは現地調達で上手くおやりになってくださいな、今さらバチが当たるでもなし。			渡されていたものは以上！あとは現地調達で上手くおやりになってくださいな、今さらバチが当たるでもなし。			ピルグリム・トラバースの目覚め							
もし用途がわからない品を拾うようなことがあれば、私のところへ持ってきてね～！きっちり正体を見定めてあげる～！			もし用途がわからない品を拾うようなことがあれば、私のところへ持ってきてね～！きっちり正体を見定めてあげる～！			ピルグリム・トラバースの目覚め							
作業の対価はいらないわ……？秘密を暴くこと自体が、私の悦びなんだから……ッ！！			作業の対価はいらないわ……？秘密を暴くこと自体が、私の悦びなんだから……ッ！！			ピルグリム・トラバースの目覚め							
そいつは酔狂一択だなぁ……。			そいつは酔狂一択だなぁ……。			ピルグリム・トラバースの目覚め							
では最後に、大事なことをお伝えしておきやしょう。			では最後に、大事なことをお伝えしておきやしょう。			ピルグリム・トラバースの目覚め							
往時、教会同士を繋ぐ魔法というのは、ノルヴラント全土の教会に張り巡らされていた……いわゆる転送網ってヤツでさァ。			往時、教会同士を繋ぐ魔法というのは、ノルヴラント全土の教会に張り巡らされていた……いわゆる転送網ってヤツでさァ。			ピルグリム・トラバースの目覚め							
それが今回どこまで目覚めたのかは未知数ですが、行った先で、さらに別の教会へ転移することもあり得ましょう。			それが今回どこまで目覚めたのかは未知数ですが、行った先で、さらに別の教会へ転移することもあり得ましょう。			ピルグリム・トラバースの目覚め							
教会から教会へ……さながら巡礼路、「ピルグリム・トラバース」だ。			教会から教会へ……さながら巡礼路、「ピルグリム・トラバース」だ。			ピルグリム・トラバースの目覚め							
終点がどこになるかは存じやせんが、行けるだけ行き、此度の不可解な目覚めの要因……それと思しきものを排除していただきたい。			終点がどこになるかは存じやせんが、行けるだけ行き、此度の不可解な目覚めの要因……それと思しきものを排除していただきたい。			ピルグリム・トラバースの目覚め							
そしたら、僕がキミを転送魔紋のところまで送るね……。大したことじゃないけど、少しでも温存してほしいから……。			そしたら、僕がキミを転送魔紋のところまで送るね……。大したことじゃないけど、少しでも温存してほしいから……。			ピルグリム・トラバースの目覚め							
出発する準備ができたら、声をかけて……？			出発する準備ができたら、声をかけて……？			ピルグリム・トラバースの目覚め							
準備ができたら、ヴァンサウにお声がけを。「お気をつけて」とでも言って見送りたいもんですが、妖精の口から出ると、どうも胡散臭くて……ねェ？			準備ができたら、ヴァンサウにお声がけを。「お気をつけて」とでも言って見送りたいもんですが、妖精の口から出ると、どうも胡散臭くて……ねェ？			ピルグリム・トラバースの目覚め							
行く前に、僕からもひとつだけ……。まずいなと思ったら、無理せず引き返してくるんだよ……？			行く前に、僕からもひとつだけ……。まずいなと思ったら、無理せず引き返してくるんだよ……？			ピルグリム・トラバースの目覚め							
得体の知れない誰かの葬儀が、キミの葬儀に変わっちゃったら、そんな寂しいことってないもの……。			得体の知れない誰かの葬儀が、キミの葬儀に変わっちゃったら、そんな寂しいことってないもの……。			ピルグリム・トラバースの目覚め							
……それじゃあ、出発しようか。			……それじゃあ、出発しようか。			ピルグリム・トラバースの目覚め							
ディープダンジョン「ピルグリム・トラバース」に、挑戦可能となりました。			ディープダンジョン「ピルグリム・トラバース」に、挑戦可能となりました。			ピルグリム・トラバースの目覚め							
再度「ヴァンサウ」に話しかけ、「ピルグリム・トラバースに挑戦する」を選ぶことで、コンテンツを開始することができます。			再度「ヴァンサウ」に話しかけ、「ピルグリム・トラバースに挑戦する」を選ぶことで、コンテンツを開始することができます。			ピルグリム・トラバースの目覚め							
ピルグリム・トラバースは、レベル「91」以上の、ファイターもしくはソーサラーでのみ挑戦が可能です。初めて挑戦する際には、レベル91での開始となります。			ピルグリム・トラバースは、レベル「91」以上の、ファイターもしくはソーサラーでのみ挑戦が可能です。初めて挑戦する際には、レベル91での開始となります。			ピルグリム・トラバースの目覚め							
その他の説明や、「死者の宮殿」との違いも、ヴァンサウに話しかけ「説明を見る」ことで確認できます。準備を整え、謎めいた巡礼路を探索しましょう！			その他の説明や、「死者の宮殿」との違いも、ヴァンサウに話しかけ「説明を見る」ことで確認できます。準備を整え、謎めいた巡礼路を探索しましょう！			ピルグリム・トラバースの目覚め							
ヴォレクドルフのインク＝ダエンは、探索の状況を気にしているようだ。			ヴォレクドルフのインク＝ダエンは、探索の状況を気にしているようだ。			フェアリーテイル							
インク＝ダエンたちに、騒動の原因らしき存在を討伐したことを報告した。ヴォレクドルフの「インク＝ダエン」と再度話そう。			インク＝ダエンたちに、騒動の原因らしき存在を討伐したことを報告した。ヴォレクドルフの「インク＝ダエン」と再度話そう。			フェアリーテイル							
インク＝ダエンと話した。此度の騒動が如何にして起き、妖精とは何なのか、打ち捨てられた教会は確たる真実を語らない。それでも誰かがそこに見出した物語が、まことしやかに語り継がれていくのだろう。かくして最後の大司教の葬送はおしまい……と思いきや、インク＝ダエン曰く妖精除けのまじないが消えていないようだ。さらなる真実を求めるならば、巡礼路の果てを目指そう。			インク＝ダエンと話した。此度の騒動が如何にして起き、妖精とは何なのか、打ち捨てられた教会は確たる真実を語らない。それでも誰かがそこに見出した物語が、まことしやかに語り継がれていくのだろう。かくして最後の大司教の葬送はおしまい……と思いきや、インク＝ダエン曰く妖精除けのまじないが消えていないようだ。さらなる真実を求めるならば、巡礼路の果てを目指そう。			フェアリーテイル							
インク＝ダエンと話す			インク＝ダエンと話す			フェアリーテイル							
その後、首尾はいかがです……？教会の機構を目覚めさせることができるような存在と、巡り会えていりゃあいいのですが……。			その後、首尾はいかがです……？教会の機構を目覚めさせることができるような存在と、巡り会えていりゃあいいのですが……。			フェアリーテイル							
ほほう……！第30巡礼路で、何やら壮麗な衣装に身を包んだ、強力な罪喰いを討伐したと！			ほほう……！第30巡礼路で、何やら壮麗な衣装に身を包んだ、強力な罪喰いを討伐したと！			フェアリーテイル							
そいつはいかにも疑わしい。もっと詳しく特徴を伺っても……？			そいつはいかにも疑わしい。もっと詳しく特徴を伺っても……？			フェアリーテイル							
ふむふむ……。至急オセ＝ウィドを城へ遣って、妖精王にも伝えましょう。すでに聞き耳を立ててらっしゃるかもしれやせんがね。			ふむふむ……。至急オセ＝ウィドを城へ遣って、妖精王にも伝えましょう。すでに聞き耳を立ててらっしゃるかもしれやせんがね。			フェアリーテイル							
それが済むまで、あんたもここで待機していただけると助かりやす。			それが済むまで、あんたもここで待機していただけると助かりやす。			フェアリーテイル							
おーい、オセ＝ウィド！城までひとっ飛び、伝言を頼みますよ！			おーい、オセ＝ウィド！城までひとっ飛び、伝言を頼みますよ！			フェアリーテイル							
……ときにあんた、香を焚いたときだけ妖精王が教会内に入れるのは何故か、実のところをおわかりで？			……ときにあんた、香を焚いたときだけ妖精王が教会内に入れるのは何故か、実のところをおわかりで？			フェアリーテイル							
光耀教会ではね、ヒトの子が5歳くらいになると、洗礼の儀を行っていたんですよ。それが済んだら正式な信徒、というわけでさァ。			光耀教会ではね、ヒトの子が5歳くらいになると、洗礼の儀を行っていたんですよ。それが済んだら正式な信徒、というわけでさァ。			フェアリーテイル							
……けどまァ、全員が5歳まで生きられるわけでもないでしょう？			……けどまァ、全員が5歳まで生きられるわけでもないでしょう？			フェアリーテイル							
洗礼の儀を受ける前に亡くなった子の魂は、「光の神」による導きを受けられず、ピクシー族となって現世を彷徨うとされていやした。			洗礼の儀を受ける前に亡くなった子の魂は、「光の神」による導きを受けられず、ピクシー族となって現世を彷徨うとされていやした。			フェアリーテイル							
ところがねェ、あるにはあるんですよ。洗礼の儀を受けたあとでも、ヒトからピクシー族になる方法が。			ところがねェ、あるにはあるんですよ。洗礼の儀を受けたあとでも、ヒトからピクシー族になる方法が。			フェアリーテイル							
齢のほどは15、6まで。大人になりきっていない、まだしなやかな少年少女が、故意か事故か、妖精郷へと迷い込む……。			齢のほどは15、6まで。大人になりきっていない、まだしなやかな少年少女が、故意か事故か、妖精郷へと迷い込む……。			フェアリーテイル							
無事に帰れたら御慰みだ！そうでなくとも「帰りたい」と感じたならば話は終わり……ピクシーにはなりやせん。			無事に帰れたら御慰みだ！そうでなくとも「帰りたい」と感じたならば話は終わり……ピクシーにはなりやせん。			フェアリーテイル							
……けど、稀にいるんでさァ。妖精郷に心底魅入られちまう、根っからの越境者が。			……けど、稀にいるんでさァ。妖精郷に心底魅入られちまう、根っからの越境者が。			フェアリーテイル							
すっかり妖精の一員になったつもりで、食わず眠らずの空騒ぎ。やがて指ひとつ動かせなくなっちまっても、なおうっとりと、翅もて踊る理想に耽る……。			すっかり妖精の一員になったつもりで、食わず眠らずの空騒ぎ。やがて指ひとつ動かせなくなっちまっても、なおうっとりと、翅もて踊る理想に耽る……。			フェアリーテイル							
かくして、夢見る死体がひとつ。そいつがいよいよ朽ち果てるころ、傍らにぽつねんと花が咲く。			かくして、夢見る死体がひとつ。そいつがいよいよ朽ち果てるころ、傍らにぽつねんと花が咲く。			フェアリーテイル							
普通の花じゃありやせん。少年少女だったものだ。妄執(ねがい)はようやく成し遂げられて、望んだとおりの形になった！			普通の花じゃありやせん。少年少女だったものだ。妄執(ねがい)はようやく成し遂げられて、望んだとおりの形になった！			フェアリーテイル							
つまり出てくるんでさァ……花弁のうちから……あたしらが『狂い咲き』と呼ぶピクシーが！			つまり出てくるんでさァ……花弁のうちから……あたしらが『狂い咲き』と呼ぶピクシーが！			フェアリーテイル							
『狂い咲き』である今の妖精王は、裏を返せば、ヒトだった時分に洗礼の儀を受けたもの……死せる信徒だ。			『狂い咲き』である今の妖精王は、裏を返せば、ヒトだった時分に洗礼の儀を受けたもの……死せる信徒だ。			フェアリーテイル							
加えて、光耀教会で「ジュニパーの香」といえば、葬送される死者の周りで焚くもんでしてねェ。			加えて、光耀教会で「ジュニパーの香」といえば、葬送される死者の周りで焚くもんでしてねェ。			フェアリーテイル							
あんたがそれを燻らせる、ほんのひと時のあいだだけ、その傍らは死者の居場所となる……。			あんたがそれを燻らせる、ほんのひと時のあいだだけ、その傍らは死者の居場所となる……。			フェアリーテイル							
そこへ、死せる信徒が収まったんでさァ。まさしく「在るべきものが、在るべき場所へ」だ！			そこへ、死せる信徒が収まったんでさァ。まさしく「在るべきものが、在るべき場所へ」だ！			フェアリーテイル							
楽しそうね、何のお話？			楽しそうね、何のお話？			フェアリーテイル							
なァに、あんた様が、つくづく越境者だって話ですよ。			なァに、あんた様が、つくづく越境者だって話ですよ。			フェアリーテイル							
外と内……死者と生者……遡っては、ヒトと妖精……普通は越えない境界を、あんた様は易々と越えていくんだから！			外と内……死者と生者……遡っては、ヒトと妖精……普通は越えない境界を、あんた様は易々と越えていくんだから！			フェアリーテイル							
あら、そんなに変わったことかしら。			あら、そんなに変わったことかしら。			フェアリーテイル							
そこに美しいものがあるのなら、見てみたいでしょう……？			そこに美しいものがあるのなら、見てみたいでしょう……？			フェアリーテイル							
改めて、探索の成果を聞かせてほしいのだわ。ひときわ強くて特徴的な罪喰いを倒したとか……？			改めて、探索の成果を聞かせてほしいのだわ。ひときわ強くて特徴的な罪喰いを倒したとか……？			フェアリーテイル							
そう……。実はね、あなたが巡礼路を辿っているあいだに、城の書庫で光耀教会について調べさせたの。			そう……。実はね、あなたが巡礼路を辿っているあいだに、城の書庫で光耀教会について調べさせたの。			フェアリーテイル							
まだかろうじてフッブート王国が残っていた時代に、教会が罪喰いに襲われて、大司教が亡くなったのだとか……。			まだかろうじてフッブート王国が残っていた時代に、教会が罪喰いに襲われて、大司教が亡くなったのだとか……。			フェアリーテイル							
その後継者を決められないまま、組織としての光耀教会は潰えてしまったみたい。			その後継者を決められないまま、組織としての光耀教会は潰えてしまったみたい。			フェアリーテイル							
ふーむ……罪喰いに襲われた、最後の大司教ねェ……。			ふーむ……罪喰いに襲われた、最後の大司教ねェ……。			フェアリーテイル							
教会の権威が失われる一方だった当時、死んだのではなく罪喰いになっていたとしても、まァ、公表はしますまい。			教会の権威が失われる一方だった当時、死んだのではなく罪喰いになっていたとしても、まァ、公表はしますまい。			フェアリーテイル							
あなたが倒したという罪喰いの装いが、本に描かれていた大司教の装いに、よく似ていたのだわ。			あなたが倒したという罪喰いの装いが、本に描かれていた大司教の装いに、よく似ていたのだわ。			フェアリーテイル							
だからきっと、インク＝ダエンの推論どおり。罪喰いとなった大司教は、真実を隠すため教会に封じられ、やがて転送網を辿って彷徨うようになったのでしょう。			だからきっと、インク＝ダエンの推論どおり。罪喰いとなった大司教は、真実を隠すため教会に封じられ、やがて転送網を辿って彷徨うようになったのでしょう。			フェアリーテイル							
そして今、世界から過剰な光が掃われた……。			そして今、世界から過剰な光が掃われた……。			フェアリーテイル							
元の姿には戻れずとも、泡沫、心が浮かび上がったのかもしれない。			元の姿には戻れずとも、泡沫、心が浮かび上がったのかもしれない。			フェアリーテイル							
葬ってほしい、と……。			葬ってほしい、と……。			フェアリーテイル							
死せる信徒であり、恐るべき罪喰いとなった、己のことを。			死せる信徒であり、恐るべき罪喰いとなった、己のことを。			フェアリーテイル							
何にせよ、最後の大司教が、本当の眠りについたわけです。おやすみなさいで幕を引き、葬儀を終えるといたしやしょう。			何にせよ、最後の大司教が、本当の眠りについたわけです。おやすみなさいで幕を引き、葬儀を終えるといたしやしょう。			フェアリーテイル							
輝かしき光耀教会も、あとは歴史に埋もれるばかり。石の壁は百年先で崩れ落ち、千年先では名も消えまさァ。			輝かしき光耀教会も、あとは歴史に埋もれるばかり。石の壁は百年先で崩れ落ち、千年先では名も消えまさァ。			フェアリーテイル							
はたして、それはどうかしら？			はたして、それはどうかしら？			フェアリーテイル							
あなたたちの、星と命を巡る冒険……それを垣間見ていたときに、私、考えたのだわ。			あなたたちの、星と命を巡る冒険……それを垣間見ていたときに、私、考えたのだわ。			フェアリーテイル							
ここノルヴラントにも、最初は妖精なんていなかったんじゃないかしら。			ここノルヴラントにも、最初は妖精なんていなかったんじゃないかしら。			フェアリーテイル							
光耀教会が妖精譚を紡ぎ、大勢が長きにわたって信じてきたからこそ、かく在れかしと、妖精が生まれた……。			光耀教会が妖精譚を紡ぎ、大勢が長きにわたって信じてきたからこそ、かく在れかしと、妖精が生まれた……。			フェアリーテイル							
だって、想いが動かす力は、世界さえ変え得るのでしょう？			だって、想いが動かす力は、世界さえ変え得るのでしょう？			フェアリーテイル							
なら、光耀教会という名を口にする者がいなくなっても、そこで培われた営みは続いていくのだわ。			なら、光耀教会という名を口にする者がいなくなっても、そこで培われた営みは続いていくのだわ。			フェアリーテイル							
私たち……妖精の姿をとって。			私たち……妖精の姿をとって。			フェアリーテイル							
さようなら、最後の大司教様。あなたのことも、あなたを慕った「私」のことも、思い出せはしないけれど……			さようなら、最後の大司教様。あなたのことも、あなたを慕った「私」のことも、思い出せはしないけれど……			フェアリーテイル							
イチイの木立の向こう側は、ええ、こんなにも美しかったのだわ。			イチイの木立の向こう側は、ええ、こんなにも美しかったのだわ。			フェアリーテイル							
いやァ、よかったよかった！相手が罪喰いじゃ話を聞くこともできやせんが、なにせ大司教だ、元凶としてこれ以上はいないでしょう。			いやァ、よかったよかった！相手が罪喰いじゃ話を聞くこともできやせんが、なにせ大司教だ、元凶としてこれ以上はいないでしょう。			フェアリーテイル							
よってこれにて一件落着……の……はずなんですがねェ……。			よってこれにて一件落着……の……はずなんですがねェ……。			フェアリーテイル							
実は、そのォ……今しがた興味本位でちょっと見てきたんですよ。転送魔紋の先はどんな様子かな、と。			実は、そのォ……今しがた興味本位でちょっと見てきたんですよ。転送魔紋の先はどんな様子かな、と。			フェアリーテイル							
そしたら、大司教が葬られて葬儀が終わったはずなのに、まだ妖精除けのまじないが掛かっているようでして……。			そしたら、大司教が葬られて葬儀が終わったはずなのに、まだ妖精除けのまじないが掛かっているようでして……。			フェアリーテイル							
多分、消し忘れただけでさァ！　きっとそう！だからあんたも大手を振って、心ばかりのお礼の品を、どうかお受け取りくださいな。			多分、消し忘れただけでさァ！　きっとそう！だからあんたも大手を振って、心ばかりのお礼の品を、どうかお受け取りくださいな。			フェアリーテイル							
ピルグリム・トラバースの、「T31」以降に挑戦できるようになりました！			ピルグリム・トラバースの、「T31」以降に挑戦できるようになりました！			フェアリーテイル							
挑戦するには、一定の条件を満たす必要があります。詳細は「ヴァンサウ」にご確認ください。			挑戦するには、一定の条件を満たす必要があります。詳細は「ヴァンサウ」にご確認ください。			フェアリーテイル							
また、「オセ＝ウィド」の新たな取引が開放されました。ピルグリム・トラバース用の魔器装備の強化値を消費することで、「光耀魔器柄」が作成可能です。			また、「オセ＝ウィド」の新たな取引が開放されました。ピルグリム・トラバース用の魔器装備の強化値を消費することで、「光耀魔器柄」が作成可能です。			フェアリーテイル							
「光耀魔器柄」を集めると、魔器装備と同じ見た目の「ファーストライト装備」を、持ち出すことができます。			「光耀魔器柄」を集めると、魔器装備と同じ見た目の「ファーストライト装備」を、持ち出すことができます。			フェアリーテイル							
ヴォレクドルフのインク＝ダエンは、いつにもまして顔が青い。			ヴォレクドルフのインク＝ダエンは、いつにもまして顔が青い。			若木と枝に							
インク＝ダエンに、巡礼路の果てに辿り着いたことを報告した。イル・メグのダメルン巡礼教会跡にある「指定地点」で待機しよう。			インク＝ダエンに、巡礼路の果てに辿り着いたことを報告した。イル・メグのダメルン巡礼教会跡にある「指定地点」で待機しよう。			若木と枝に							
教会跡の転送魔紋を調べてもらうと、妖精除けのまじないは消えていた。ヴォレクドルフの「インク＝ダエン」と話そう。			教会跡の転送魔紋を調べてもらうと、妖精除けのまじないは消えていた。ヴォレクドルフの「インク＝ダエン」と話そう。			若木と枝に							
