イディルシャイアのイロアズは、冒険者に興味があるようだ。			イディルシャイアのイロアズは、冒険者に興味があるようだ。			イシュガルドのモブハント（上級）							
これは……転送装置のようにも見えるが……。			これは……転送装置のようにも見えるが……。			誘導を信じて							
行き止まりだぞ？玉っころのヤツ、さっそくモウロクしたか？			行き止まりだぞ？玉っころのヤツ、さっそくモウロクしたか？			誘導を信じて							
ひとまず、誘導システムの話を聞いてみましょう。			ひとまず、誘導システムの話を聞いてみましょう。			誘導を信じて							
ピピ……転送装置にアクセスし、移動してくだサイ。			ピピ……転送装置にアクセスし、移動してくだサイ。			誘導を信じて							
これは……転送装置のようにも見えるが……。			これは……転送装置のようにも見えるが……。			誘導を信じて							
行き止まりだぞ？玉っころのヤツ、さっそくモウロクしたか？			行き止まりだぞ？玉っころのヤツ、さっそくモウロクしたか？			誘導を信じて							
ひとまず、誘導システムの話を聞いてみましょう。			ひとまず、誘導システムの話を聞いてみましょう。			誘導を信じて							
ピピ……転送装置の正常作動を確認……。おめでとうございマス。			ピピ……転送装置の正常作動を確認……。おめでとうございマス。			誘導を信じて							
整備記録によると、過去5014年間に渡り、定期メンテナンスが行われていなかったもヨウ。正常作動したことは、驚くべき結果といえまショウ！			整備記録によると、過去5014年間に渡り、定期メンテナンスが行われていなかったもヨウ。正常作動したことは、驚くべき結果といえまショウ！			誘導を信じて							
おい、本当にこの玉っころは信用できるのか？			おい、本当にこの玉っころは信用できるのか？			誘導を信じて							
嫌な感じね……。防衛兵器ではない、生物の視線を感じるわ。Forename、気をつけて。			嫌な感じね……。防衛兵器ではない、生物の視線を感じるわ。Forename、気をつけて。			誘導を信じて							
エーテライトと似た技術なのだろうが、第三星暦という、はるか昔の装置が未だに動くとはね。			エーテライトと似た技術なのだろうが、第三星暦という、はるか昔の装置が未だに動くとはね。			誘導を信じて							
ガンマ管区の輸送システムは、静かに佇んでいる。			ガンマ管区の輸送システムは、静かに佇んでいる。			運送端末を止めろ！							
輸送システムから、未登録の浮行型運送端末が動作しているので停止させてほしいと聞いた。ガンマ管区の「魔導アダマンクロー」を4体討伐しよう。			輸送システムから、未登録の浮行型運送端末が動作しているので停止させてほしいと聞いた。ガンマ管区の「魔導アダマンクロー」を4体討伐しよう。			運送端末を止めろ！							
魔導アダマンクローを破壊した。ガンマ管区の「輸送システム」に報告しよう。			魔導アダマンクローを破壊した。ガンマ管区の「輸送システム」に報告しよう。			運送端末を止めろ！							
輸送システムに報告した。浮行型運送端末を破壊して止めた冒険者の行為を、輸送システムは破壊活動と認識したようだ……。			輸送システムに報告した。浮行型運送端末を破壊して止めた冒険者の行為を、輸送システムは破壊活動と認識したようだ……。			運送端末を止めろ！							
魔導アダマンクローを討伐			魔導アダマンクローを討伐			運送端末を止めろ！							
輸送システムに報告			輸送システムに報告			運送端末を止めろ！							
ザ……ザザ……問題が発生。未登録の浮行型運送端末を、複数確認しました。停止命令を送ったものの、これに従う様子がありません。			ザ……ザザ……問題が発生。未登録の浮行型運送端末を、複数確認しました。停止命令を送ったものの、これに従う様子がありません。			運送端末を止めろ！							
輸送を管理する本システムとしては、まことに遺憾な状況です。至急、未登録のクロータイプ輸送端末を停止させてください。ザザ……ひとりにつき、4体停止すれば……ザザ……。			輸送を管理する本システムとしては、まことに遺憾な状況です。至急、未登録のクロータイプ輸送端末を停止させてください。ザザ……ひとりにつき、4体停止すれば……ザザ……。			運送端末を止めろ！							
輸送を管理する本システムとしては、まことに遺憾な状況です。至急、未登録のクロータイプ輸送端末を停止させてください。ザザ……ひとりにつき、4体停止すれば……ザザ……。			輸送を管理する本システムとしては、まことに遺憾な状況です。至急、未登録のクロータイプ輸送端末を停止させてください。ザザ……ひとりにつき、4体停止すれば……ザザ……。			運送端末を止めろ！							
ザ……ザザ……浮行型運送端末の反応消失を確認。破壊活動が行われた模様です……ザザ……。監視システムにより、貴方の犯行と確認されました。			ザ……ザザ……浮行型運送端末の反応消失を確認。破壊活動が行われた模様です……ザザ……。監視システムにより、貴方の犯行と確認されました。			運送端末を止めろ！							
当システムが要望したのは停止であり、破壊ではありません。あなたの権限の剥奪を運輸部に要求します。繰り返します……ザザ……。			当システムが要望したのは停止であり、破壊ではありません。あなたの権限の剥奪を運輸部に要求します。繰り返します……ザザ……。			運送端末を止めろ！							
第V転送リングの排除システムは、静かに佇んでいる。			第V転送リングの排除システムは、静かに佇んでいる。			やり慣れたお仕事							
排除システムから、侵入者の排除を指示された。侵入者とは、おそらく帝国兵のことだろう。アジス・ラーの飛空戦艦揚陸地点で、「VIレギオン・ホプロマクス 」、「VIレギオン・ラクエリウス」、「VIレギオン・エクエス」、「VIレギオン・セクトール」、「VIレギオン・シグニフェル」のいずれかを8体討伐しよう。			排除システムから、侵入者の排除を指示された。侵入者とは、おそらく帝国兵のことだろう。アジス・ラーの飛空戦艦揚陸地点で、「VIレギオン・ホプロマクス 」、「VIレギオン・ラクエリウス」、「VIレギオン・エクエス」、「VIレギオン・セクトール」、「VIレギオン・シグニフェル」のいずれかを8体討伐しよう。			やり慣れたお仕事							
帝国兵を討伐した。第V転送リングの「排除システム」に報告しよう。			帝国兵を討伐した。第V転送リングの「排除システム」に報告しよう。			やり慣れたお仕事							
排除システムに報告した。ここで起こった反乱から5000年ほど時間が経過しているようだ。そのころから、このシステムは働いていたのだろう。			排除システムに報告した。ここで起こった反乱から5000年ほど時間が経過しているようだ。そのころから、このシステムは働いていたのだろう。			やり慣れたお仕事							
飛空戦艦揚陸地点の帝国兵を討伐			飛空戦艦揚陸地点の帝国兵を討伐			やり慣れたお仕事							
排除システムに報告			排除システムに報告			やり慣れたお仕事							
ザ……ザザ……アジス・ラー施設内に侵入者を検知しました。武器を所持していることから、中央政府に逆らう反乱勢力の可能性が濃厚です。			ザ……ザザ……アジス・ラー施設内に侵入者を検知しました。武器を所持していることから、中央政府に逆らう反乱勢力の可能性が濃厚です。			やり慣れたお仕事							
ひとりにつき、8人の討伐により、排除は完了する見込みです。すみやかに行動に移ってください。アラグ帝国万歳！　ザンデ皇帝陛下に栄光あれ！			ひとりにつき、8人の討伐により、排除は完了する見込みです。すみやかに行動に移ってください。アラグ帝国万歳！　ザンデ皇帝陛下に栄光あれ！			やり慣れたお仕事							
ひとりにつき、8人の討伐により、排除は完了する見込みです。すみやかに行動に移ってください。アラグ帝国万歳！　ザンデ皇帝陛下に栄光あれ！			ひとりにつき、8人の討伐により、排除は完了する見込みです。すみやかに行動に移ってください。アラグ帝国万歳！　ザンデ皇帝陛下に栄光あれ！			やり慣れたお仕事							
ザ……ザザ……侵入者の排除を確認しました。忠実なるアラグ帝国軍将兵の皆さまの奮闘を称えます。			ザ……ザザ……侵入者の排除を確認しました。忠実なるアラグ帝国軍将兵の皆さまの奮闘を称えます。			やり慣れたお仕事							
最後の反乱から5000年ほど経過しています。今後は警備を強化するよう執政官にレポートを……ザザ……。			最後の反乱から5000年ほど経過しています。今後は警備を強化するよう執政官にレポートを……ザザ……。			やり慣れたお仕事							
第VI転送リングの製造システムは、静かに佇んでいる。			第VI転送リングの製造システムは、静かに佇んでいる。			兵器循環							
製造システムから、資源供給のため、老朽化した兵器の破壊を頼まれた。アジス・ラーの古代のカテドラルにいる「魔導コロッサスIII」を3体討伐しよう。			製造システムから、資源供給のため、老朽化した兵器の破壊を頼まれた。アジス・ラーの古代のカテドラルにいる「魔導コロッサスIII」を3体討伐しよう。			兵器循環							
魔導コロッサスIIIを討伐した。第VI転送リングの「製造システム」に報告しよう。			魔導コロッサスIIIを討伐した。第VI転送リングの「製造システム」に報告しよう。			兵器循環							
製造システムに報告した。冒険者が破壊した魔導コロッサスIIIの残骸では、新しい兵器を製造できないようだ……。			製造システムに報告した。冒険者が破壊した魔導コロッサスIIIの残骸では、新しい兵器を製造できないようだ……。			兵器循環							
魔導コロッサスIIIを討伐			魔導コロッサスIIIを討伐			兵器循環							
製造システムに報告			製造システムに報告			兵器循環							
ザ……ザザ……材料不足に伴う、兵器の製造プラントの停止から、5014年が経過……。直ちに資源の供給を再開してください……。			ザ……ザザ……材料不足に伴う、兵器の製造プラントの停止から、5014年が経過……。直ちに資源の供給を再開してください……。			兵器循環							
補給路が断たれている場合は、老朽化した兵器を破壊し、再利用することを推奨します。規定性能に満たない鉄巨人タイプを、3体ほど破壊してください。			補給路が断たれている場合は、老朽化した兵器を破壊し、再利用することを推奨します。規定性能に満たない鉄巨人タイプを、3体ほど破壊してください。			兵器循環							
補給路が断たれている場合は、老朽化した兵器を破壊し、再利用することを推奨します。規定性能に満たない鉄巨人タイプを、3体ほど破壊してください。			補給路が断たれている場合は、老朽化した兵器を破壊し、再利用することを推奨します。規定性能に満たない鉄巨人タイプを、3体ほど破壊してください。			兵器循環							
ザ……ザザ……兵器破壊を確認……。しかし、検出した残骸は、アラグ帝国製ではない模様……劣悪な模造品の可能性大……正しい資材の供給を要望します！			ザ……ザザ……兵器破壊を確認……。しかし、検出した残骸は、アラグ帝国製ではない模様……劣悪な模造品の可能性大……正しい資材の供給を要望します！			兵器循環							
ガンマ管区の監査システムは、静かに佇んでいる。			ガンマ管区の監査システムは、静かに佇んでいる。			未熟な帝国技術							
監査システムから、未登録物資の調査のため、サーメット製コンテナを5個回収するよう頼まれた。アジス・ラーのカストルム・ソルスにある「サーメット製コンテナ」を5個回収しよう。			監査システムから、未登録物資の調査のため、サーメット製コンテナを5個回収するよう頼まれた。アジス・ラーのカストルム・ソルスにある「サーメット製コンテナ」を5個回収しよう。			未熟な帝国技術							
サーメット製コンテナを回収した。ガンマ管区の「監査システム」に「サーメット製コンテナ」を渡そう。			サーメット製コンテナを回収した。ガンマ管区の「監査システム」に「サーメット製コンテナ」を渡そう。			未熟な帝国技術							
監査システムにサーメット製コンテナを渡した。コンテナを調べた監査システムは、中身を未熟で劣悪な複製品だと判断した。			監査システムにサーメット製コンテナを渡した。コンテナを調べた監査システムは、中身を未熟で劣悪な複製品だと判断した。			未熟な帝国技術							
サーメット製コンテナを入手			サーメット製コンテナを入手			未熟な帝国技術							
監査システムにサーメット製コンテナを渡す			監査システムにサーメット製コンテナを渡す			未熟な帝国技術							
ザ……ザザ……未登録物資が放置されています。対象を「サーメット製コンテナ」と設定。調査する必要があるため、5個ほど回収をお願いします。			ザ……ザザ……未登録物資が放置されています。対象を「サーメット製コンテナ」と設定。調査する必要があるため、5個ほど回収をお願いします。			未熟な帝国技術							
ザ……ザザ……未登録物資が放置されています。対象を「サーメット製コンテナ」と設定。調査する必要があるため、5個ほど回収をお願いします。			ザ……ザザ……未登録物資が放置されています。対象を「サーメット製コンテナ」と設定。調査する必要があるため、5個ほど回収をお願いします。			未熟な帝国技術							
ザ……ザザ……未登録物資が放置されています。対象を「サーメット製コンテナ」と設定。調査する必要があるため、5個ほど回収をお願いします。			ザ……ザザ……未登録物資が放置されています。対象を「サーメット製コンテナ」と設定。調査する必要があるため、5個ほど回収をお願いします。			未熟な帝国技術							
未登録物資の確認……スキャン完了しました。内部にアラグ帝国製部材の複製品を確認。技術的には未熟で、劣悪な複製です。			未登録物資の確認……スキャン完了しました。内部にアラグ帝国製部材の複製品を確認。技術的には未熟で、劣悪な複製です。			未熟な帝国技術							
真に遺憾です。知的財産は守りましょう……ザザ……。			真に遺憾です。知的財産は守りましょう……ザザ……。			未熟な帝国技術							
ブルーウィンドウのクプリ・クキは、はぐれた仲間を探してほしいようだ。			ブルーウィンドウのクプリ・クキは、はぐれた仲間を探してほしいようだ。			ふわふわしたお願い							
クプリ・クキは、仲間たちと付近の浮島ではぐれたようだ。まずはアバラシア雲海のガントレット諸島で、はぐれた「ふわふわモーグリ」を探して話しかけよう。			クプリ・クキは、仲間たちと付近の浮島ではぐれたようだ。まずはアバラシア雲海のガントレット諸島で、はぐれた「ふわふわモーグリ」を探して話しかけよう。			ふわふわしたお願い							
ふわふわモーグリを見つけた。アバラシア雲海のブルーウィンドウで待つ「クプリ・クキ」に報告しよう。			ふわふわモーグリを見つけた。アバラシア雲海のブルーウィンドウで待つ「クプリ・クキ」に報告しよう。			ふわふわしたお願い							
クプリ・クキは、仲間との再会を喜んでいた。だがもうひとり、迷子のモーグリを探さなければならない。引き続き、クプリ・クキに協力しよう。			クプリ・クキは、仲間との再会を喜んでいた。だがもうひとり、迷子のモーグリを探さなければならない。引き続き、クプリ・クキに協力しよう。			ふわふわしたお願い							
ガントレット諸島のふわふわモーグリを探す			ガントレット諸島のふわふわモーグリを探す			ふわふわしたお願い							
クプリ・クキに報告			クプリ・クキに報告			ふわふわしたお願い							
お空のモーグリたちと会えそうで、よかったクポ～！……って、喜んでる場合じゃなかったクポ！！一緒に来た仲間たちと、はぐれちゃったクポ！			お空のモーグリたちと会えそうで、よかったクポ～！……って、喜んでる場合じゃなかったクポ！！一緒に来た仲間たちと、はぐれちゃったクポ！			ふわふわしたお願い							
モグたち、3人組で旅してきたクポ。だから、あとふたり、この雲海のどこかにいるはずクポ……。近くの浮島あたりで、はぐれたと思うクポ。			モグたち、3人組で旅してきたクポ。だから、あとふたり、この雲海のどこかにいるはずクポ……。近くの浮島あたりで、はぐれたと思うクポ。			ふわふわしたお願い							
襲われたりしてたら、大変クポ……。まずは「ふわふわモーグリ」を、探してほしいクポ！モグはもう迷わないように、ここでいい子にしてるクポ～。			襲われたりしてたら、大変クポ……。まずは「ふわふわモーグリ」を、探してほしいクポ！モグはもう迷わないように、ここでいい子にしてるクポ～。			ふわふわしたお願い							
まずは「ふわふわモーグリ」を、探してほしいクポ！モグはもう迷わないように、ここでいい子にしてるクポ～。			まずは「ふわふわモーグリ」を、探してほしいクポ！モグはもう迷わないように、ここでいい子にしてるクポ～。			ふわふわしたお願い							
……クプリ・クキに言われてモグを探しにきたクポ！？鳥みたいなのに襲われて、逃げてたクポ！た、助かったクポ～！			……クプリ・クキに言われてモグを探しにきたクポ！？鳥みたいなのに襲われて、逃げてたクポ！た、助かったクポ～！			ふわふわしたお願い							
クプリ・クキは西にいるクポ？じゃあ、モグは先に行ってるクポ！			クプリ・クキは西にいるクポ？じゃあ、モグは先に行ってるクポ！			ふわふわしたお願い							
おかげさまで、合流できたクポ～！ありがとうクポ！！			おかげさまで、合流できたクポ～！ありがとうクポ！！			ふわふわしたお願い							
感動の再会なのクポ、良かったクポ～！もう会えないんじゃないかと本気で思ったクポ……。			感動の再会なのクポ、良かったクポ～！もう会えないんじゃないかと本気で思ったクポ……。			ふわふわしたお願い							
さあ、もうひとりも探さなきゃクポ！			さあ、もうひとりも探さなきゃクポ！			ふわふわしたお願い							
ブルーウィンドウのクプリ・クキは、再びはぐれた仲間を探したがっている。			ブルーウィンドウのクプリ・クキは、再びはぐれた仲間を探したがっている。			散らばった実							
クプリ・クキたちは、もうひとりのはぐれた仲間を探しにいった。アバラシア雲海のガントレット諸島で、「クプリ・クキ」と合流しよう。			クプリ・クキたちは、もうひとりのはぐれた仲間を探しにいった。アバラシア雲海のガントレット諸島で、「クプリ・クキ」と合流しよう。			散らばった実							
クプリ・クキと合流したが、彼らは持ってきたおみやげを、周囲に落としてしまったようだ。オク・ブンド・ヴァナの島を探索し、散乱している「クポの実」を4つ集めよう。			クプリ・クキと合流したが、彼らは持ってきたおみやげを、周囲に落としてしまったようだ。オク・ブンド・ヴァナの島を探索し、散乱している「クポの実」を4つ集めよう。			散らばった実							
クポの実を集めた。オク・ブンド・ヴァナにいる「クプリ・クキ」に、「クポの実」を渡そう。			クポの実を集めた。オク・ブンド・ヴァナにいる「クプリ・クキ」に、「クポの実」を渡そう。			散らばった実							
クプリ・クキにクポの実を渡した。改めて、はぐれた仲間を探す彼らに協力しよう。			クプリ・クキにクポの実を渡した。改めて、はぐれた仲間を探す彼らに協力しよう。			散らばった実							
オク・ズンド東でクプリ・クキと合流			オク・ズンド東でクプリ・クキと合流			散らばった実							
クポの実を入手			クポの実を入手			散らばった実							
クプリ・クキにクポの実を渡す			クプリ・クキにクポの実を渡す			散らばった実							
クポポ～！合流できて嬉しいクポ！			クポポ～！合流できて嬉しいクポ！			散らばった実							
残る迷子は、あとひとりクポ。きっと不安なはずクポ……早く見つけてあげるクポ！			残る迷子は、あとひとりクポ。きっと不安なはずクポ……早く見つけてあげるクポ！			散らばった実							
クプリ・クキの話では、大きな怪鳥に襲われて、はるか東に逃げたらしいクポ！			クプリ・クキの話では、大きな怪鳥に襲われて、はるか東に逃げたらしいクポ！			散らばった実							
さっそく行ってみるクポ！今度はみんなで行くクポ！			さっそく行ってみるクポ！今度はみんなで行くクポ！			散らばった実							
ここにはいないみたいクポ……。仲間は、どこにいったクポ～？			ここにはいないみたいクポ……。仲間は、どこにいったクポ～？			散らばった実							
うーん、このあたりにはいないクポ……？			うーん、このあたりにはいないクポ……？			散らばった実							
……むむっ、これは……大変クポ！おみやげに持ってきた「クポの実」を落としたクポ……。拾って集めるクポ！			……むむっ、これは……大変クポ！おみやげに持ってきた「クポの実」を落としたクポ……。拾って集めるクポ！			散らばった実							
でも、このあたりは魔物だらけで危険クポ……冒険者さん、落ちてる「クポの実」を集めてほしいクポ！			でも、このあたりは魔物だらけで危険クポ……冒険者さん、落ちてる「クポの実」を集めてほしいクポ！			散らばった実							
おみやげに持ってきた「クポの実」が散乱してるクポ……。拾って集めるクポ！			おみやげに持ってきた「クポの実」が散乱してるクポ……。拾って集めるクポ！			散らばった実							
「クポの実」は集まったクポ？			「クポの実」は集まったクポ？			散らばった実							
どうもありがとうクポ！全部で5個持ってきたはずだけど……このあたりに落ちてたのは、これで全部クポ。			どうもありがとうクポ！全部で5個持ってきたはずだけど……このあたりに落ちてたのは、これで全部クポ。			散らばった実							
はぐれた仲間は、ここらへんにはいなかったクポ。いったいどこまで逃げていったクポ……？もうちょっと遠くまで、探してみたいクポ～！			はぐれた仲間は、ここらへんにはいなかったクポ。いったいどこまで逃げていったクポ……？もうちょっと遠くまで、探してみたいクポ～！			散らばった実							
渡り鳥の営巣地付近のクプリ・クキは、モグモグホームに向かおうとしている。			渡り鳥の営巣地付近のクプリ・クキは、モグモグホームに向かおうとしている。			語られし伝承							
仲間と再会したクプリ・クキは、さっそくモグモグホームに向かうようだ。ドラヴァニア雲海のモグモグホーム付近で、「モグール」と話そう。			仲間と再会したクプリ・クキは、さっそくモグモグホームに向かうようだ。ドラヴァニア雲海のモグモグホーム付近で、「モグール」と話そう。			語られし伝承							
空のモーグリ族のモグールと、森のモーグリ族のクプリ・クキたちは、ようやく出会うことができた。全員が揃ったところで、モグモグホームの長老「モグリン」に、彼らの歴史について聞こう。			空のモーグリ族のモグールと、森のモーグリ族のクプリ・クキたちは、ようやく出会うことができた。全員が揃ったところで、モグモグホームの長老「モグリン」に、彼らの歴史について聞こう。			語られし伝承							
空のモーグリ族と森のモーグリ族は、ともに似通った歴史を持っていることがわかった。モグールとクプリ・クキは、歴史的な大発見をしたと喜んでいる。交流と親睦を深めようとしている彼らを、手伝ってあげよう。			空のモーグリ族と森のモーグリ族は、ともに似通った歴史を持っていることがわかった。モグールとクプリ・クキは、歴史的な大発見をしたと喜んでいる。交流と親睦を深めようとしている彼らを、手伝ってあげよう。			語られし伝承							
モグモグホーム付近のモグールと話す			モグモグホーム付近のモグールと話す			語られし伝承							
モグリンと話す			モグリンと話す			語られし伝承							
全員揃ったことだし、空のモーグリたちのところに行くクポ♪……なんだか、急に緊張してきたクポ！			全員揃ったことだし、空のモーグリたちのところに行くクポ♪……なんだか、急に緊張してきたクポ！			語られし伝承							
二度と、あば……「あばらぼね雲海」は、ごめんクポ！早く、空のモーグリたちがいるところに行きたいクポ！！			二度と、あば……「あばらぼね雲海」は、ごめんクポ！早く、空のモーグリたちがいるところに行きたいクポ！！			語られし伝承							
今度こそ、迷わずにお空のモーグリたちの所に行くクポ！「あばらばら雲海」じゃなくて、「どらばらば雲海」クポ！覚えたクポ、完璧クポ！　冒険者さん、あっちで会うクポ～！			今度こそ、迷わずにお空のモーグリたちの所に行くクポ！「あばらばら雲海」じゃなくて、「どらばらば雲海」クポ！覚えたクポ、完璧クポ！　冒険者さん、あっちで会うクポ～！			語られし伝承							
くぽ、冒険者さん、お帰りくぽ！森のモーグリたちは見つかったくぽ？			くぽ、冒険者さん、お帰りくぽ！森のモーグリたちは見つかったくぽ？			語られし伝承							
はじめましてクポ！　「クプリ・クキ」というクポ～！道に迷って、着くのが遅くなってしまったクポ～。			はじめましてクポ！　「クプリ・クキ」というクポ～！道に迷って、着くのが遅くなってしまったクポ～。			語られし伝承							
こちらこそ、はじめましてくぽ！　「モグール」くぽ！無事に到着して何よりくぽ～♪			こちらこそ、はじめましてくぽ！　「モグール」くぽ！無事に到着して何よりくぽ～♪			語られし伝承							
「モグール」クポ？　不思議な名前クポ！それに、クポの発音もちょっと違うクポ～！			「モグール」クポ？　不思議な名前クポ！それに、クポの発音もちょっと違うクポ～！			語られし伝承							
……そうだクポ！友好の証として、おみやげを持ってきたクポ。ぜひぜひ受け取ってほしいクポ～♪			……そうだクポ！友好の証として、おみやげを持ってきたクポ。ぜひぜひ受け取ってほしいクポ～♪			語られし伝承							
わざわざありがとうくぽ～！！……ん、これは「クポの実」くぽ？			わざわざありがとうくぽ～！！……ん、これは「クポの実」くぽ？			語られし伝承							
モグールも知ってるクポ？これは、黒衣森で採れるクポの実クポ！とってもおいしいクポ！			モグールも知ってるクポ？これは、黒衣森で採れるクポの実クポ！とってもおいしいクポ！			語られし伝承							
くぽぽ、雲海にもあるくぽ！ちょうど、ここにある木がそうくぽ！みんなで大事にお世話しているくぽ～！			くぽぽ、雲海にもあるくぽ！ちょうど、ここにある木がそうくぽ！みんなで大事にお世話しているくぽ～！			語られし伝承							
クポポ～！　不思議クポ！黒衣森の「クポの実」と、同じ種類クポ？どれどれ……クポ。			クポポ～！　不思議クポ！黒衣森の「クポの実」と、同じ種類クポ？どれどれ……クポ。			語られし伝承							
……本当なのクポ！森のクポの実も、お空のクポの実も、まったく同じクポ！			……本当なのクポ！森のクポの実も、お空のクポの実も、まったく同じクポ！			語られし伝承							
くぽくぽ、不思議なこともあるくぽ。……それじゃあ、気になる確認も済んだことだし、長老さまのところに、お話を聞きに行くくぽ！			くぽくぽ、不思議なこともあるくぽ。……それじゃあ、気になる確認も済んだことだし、長老さまのところに、お話を聞きに行くくぽ！			語られし伝承							
さあ、冒険者さんも一緒に、長老さまに、お話を聞こうくぽ！			さあ、冒険者さんも一緒に、長老さまに、お話を聞こうくぽ！			語られし伝承							
森のモーグリたちよ、歓迎するくぽ！交流の始まりとして、一族に伝わる言い伝えを披露するくぽ！心して聞くがいいくぽ……。			森のモーグリたちよ、歓迎するくぽ！交流の始まりとして、一族に伝わる言い伝えを披露するくぽ！心して聞くがいいくぽ……。			語られし伝承							
……むかーしむかし。雲海には「大陸」があって、モーグリ族はそこに住んでいたくぽ。			……むかーしむかし。雲海には「大陸」があって、モーグリ族はそこに住んでいたくぽ。			語られし伝承							
モーグリ族が平和に過ごしていたある日、天を揺るがす、ものすんごーい「風の災い」が起きたくぽ。雲海の大陸は、やがて無数の小さな島々に割れたくぽ。			モーグリ族が平和に過ごしていたある日、天を揺るがす、ものすんごーい「風の災い」が起きたくぽ。雲海の大陸は、やがて無数の小さな島々に割れたくぽ。			語られし伝承							
でもでも、残された島は、一族全員が住むには狭すぎたくぽ。そこで、勇気あるモーグリたちが、新天地を求めて旅に出た……と言われているくぽ。			でもでも、残された島は、一族全員が住むには狭すぎたくぽ。そこで、勇気あるモーグリたちが、新天地を求めて旅に出た……と言われているくぽ。			語られし伝承							
クポポー！　それがお空のモーグリの伝承クポ！？森のモーグリの伝承と、ちょっぴり似ているクポ！お礼に披露させてもらうクポ！			クポポー！　それがお空のモーグリの伝承クポ！？森のモーグリの伝承と、ちょっぴり似ているクポ！お礼に披露させてもらうクポ！			語られし伝承							
……大昔、ご先祖様は天界に住んでいたというクポ。ところがある日、「神さまの乱痴気騒ぎ」という、天界を揺るがす大戦争が勃発したクポ。			……大昔、ご先祖様は天界に住んでいたというクポ。ところがある日、「神さまの乱痴気騒ぎ」という、天界を揺るがす大戦争が勃発したクポ。			語られし伝承							
そこでモーグリ族の最後の王様「モグル・モグXII世」は、雲の上から糸を垂らして、一族を新天地に導いたクポ。でも、王様は糸を支えるために、天界に残ったクポ……。			そこでモーグリ族の最後の王様「モグル・モグXII世」は、雲の上から糸を垂らして、一族を新天地に導いたクポ。でも、王様は糸を支えるために、天界に残ったクポ……。			語られし伝承							
お空の伝承も、森の伝承も、どちらも雲の上から、一族が地上に降りているクポ！きっと、同じことを示しているに違いないクポ！			お空の伝承も、森の伝承も、どちらも雲の上から、一族が地上に降りているクポ！きっと、同じことを示しているに違いないクポ！			語られし伝承							
……もしかして、雲海から地上に降りるときに、「クポの実」も持っていったんじゃないくぽ？だとすれば、雲海と森に同じ実があることも、納得いくくぽ！			……もしかして、雲海から地上に降りるときに、「クポの実」も持っていったんじゃないくぽ？だとすれば、雲海と森に同じ実があることも、納得いくくぽ！			語られし伝承							
クポポー！　凄いことがわかったクポ！モグたち、昔は一緒に住んでいた、仲間だったクポー！			クポポー！　凄いことがわかったクポ！モグたち、昔は一緒に住んでいた、仲間だったクポー！			語られし伝承							
モグールもびっくりくぽ～！冒険者さん、森の仲間を連れてきてくれて、ありがとくぽ！おかげで、モグたちは歴史に残る大発見をしたくぽ！			モグールもびっくりくぽ～！冒険者さん、森の仲間を連れてきてくれて、ありがとくぽ！おかげで、モグたちは歴史に残る大発見をしたくぽ！			語られし伝承							
そうだ、森のみんなにモグモグホームを案内していないくぽ。たくさんたくさん、案内をしてあげるくぽ！もっともっと、たくさんお話をするくぽー！			そうだ、森のみんなにモグモグホームを案内していないくぽ。たくさんたくさん、案内をしてあげるくぽ！もっともっと、たくさんお話をするくぽー！			語られし伝承							
オク・ブンド・ヴァナのクプリ・クキは、はぐれた仲間がどこに行ったのか考えているようだ。			オク・ブンド・ヴァナのクプリ・クキは、はぐれた仲間がどこに行ったのか考えているようだ。			見紛われたやつ							
クプリ・クキは、仲間のモーグリの手がかりを探してほしいようだ。アバラシア雲海のヘネガの坩堝を捜索し、はぐれたモーグリ族の手がかりを集めよう。			クプリ・クキは、仲間のモーグリの手がかりを探してほしいようだ。アバラシア雲海のヘネガの坩堝を捜索し、はぐれたモーグリ族の手がかりを集めよう。			見紛われたやつ							
はぐれたモーグリ族の手がかりを集めた。オク・ブンド・ヴァナのクプリ・クキに「クポの実」と「黒い羽根」を渡そう。			はぐれたモーグリ族の手がかりを集めた。オク・ブンド・ヴァナのクプリ・クキに「クポの実」と「黒い羽根」を渡そう。			見紛われたやつ							
クプリ・クキは、はぐれたモーグリ族が、怪鳥に拐われたのではないかと考えているようだ。アバラシア雲海の渡り鳥の営巣地付近にいる「クプリ・クキ」たちと合流しよう。			クプリ・クキは、はぐれたモーグリ族が、怪鳥に拐われたのではないかと考えているようだ。アバラシア雲海の渡り鳥の営巣地付近にいる「クプリ・クキ」たちと合流しよう。			見紛われたやつ							
クプリ・クキと合流した。渡り鳥の営巣地で「ふるふるモーグリ」を探して、話しかけよう。			クプリ・クキと合流した。渡り鳥の営巣地で「ふるふるモーグリ」を探して、話しかけよう。			見紛われたやつ							
ふるふるモーグリを発見した。渡り鳥の営巣地付近の「クプリ・クキ」に報告しよう。			ふるふるモーグリを発見した。渡り鳥の営巣地付近の「クプリ・クキ」に報告しよう。			見紛われたやつ							
クプリ・クキに報告した。ひどい目にあった彼らは、アバラシア雲海にはすっかり懲りたようだ。はぐれていた3人が揃い、ようやく空のモーグリ族が待つ「ドラヴァニア雲海」に向かうことができそうだ。			クプリ・クキに報告した。ひどい目にあった彼らは、アバラシア雲海にはすっかり懲りたようだ。はぐれていた3人が揃い、ようやく空のモーグリ族が待つ「ドラヴァニア雲海」に向かうことができそうだ。			見紛われたやつ							
