リトルシャーレアンのウリエンジェは、一息ついたようだ。			リトルシャーレアンのウリエンジェは、一息ついたようだ。			右往左往そして……							
ほかのレポリットたちも呼んできて、彼らの話を聞いていただくことは、できないでしょうか？			ほかのレポリットたちも呼んできて、彼らの話を聞いていただくことは、できないでしょうか？			結び繋ぎて							
それは名案ですわ！わたくしたちとしても、ヒトの考えを知る機会になりますし、何より、お役に立てたら嬉しいですもの！			それは名案ですわ！わたくしたちとしても、ヒトの考えを知る機会になりますし、何より、お役に立てたら嬉しいですもの！			結び繋ぎて							
ありがとうございます。では、あなた方には、手の空いているレポリットたちを、連れてきていただくとして……			ありがとうございます。では、あなた方には、手の空いているレポリットたちを、連れてきていただくとして……			結び繋ぎて							
Forenameさん、あなたには、数多の依頼を受けてきた冒険者としての観察眼を活かし、リトルシャーレアンの悩める方々を集めていただきたいのです。			Forenameさん、あなたには、数多の依頼を受けてきた冒険者としての観察眼を活かし、リトルシャーレアンの悩める方々を集めていただきたいのです。			結び繋ぎて							
住民の中から、お困りの様子の方を何人か探し出し、この公園に来るよう、お伝えください。			住民の中から、お困りの様子の方を何人か探し出し、この公園に来るよう、お伝えください。			結び繋ぎて							
いらした方は私が迎え、悩みに応じて、レポリットを紹介するといたしましょう。			いらした方は私が迎え、悩みに応じて、レポリットを紹介するといたしましょう。			結び繋ぎて							
では、わたくしたちは、仲間を連れてきますわ。またあとで……楽しみに戻って参りますわね！			では、わたくしたちは、仲間を連れてきますわ。またあとで……楽しみに戻って参りますわね！			結び繋ぎて							
リトルシャーレアンの住民たちは、何かしらの形で、大撤収に携わっている方ばかりです……。			リトルシャーレアンの住民たちは、何かしらの形で、大撤収に携わっている方ばかりです……。			結び繋ぎて							
その中から不安がありそうな方々を探し出し、こちらの公園に来るよう、お伝えいただければと存じます。			その中から不安がありそうな方々を探し出し、こちらの公園に来るよう、お伝えいただければと存じます。			結び繋ぎて							
そうそう、それをご存知なら、心配する必要はありませんよ。あとは、私が昔、制御を失敗しないためにやっていた、少しの工夫があってですね……。			そうそう、それをご存知なら、心配する必要はありませんよ。あとは、私が昔、制御を失敗しないためにやっていた、少しの工夫があってですね……。			結び繋ぎて							
ああ、それを聞けてよかったです……！ということは、現状の機構でも問題はなさそうですね。			ああ、それを聞けてよかったです……！ということは、現状の機構でも問題はなさそうですね。			結び繋ぎて							
うう……心臓が痛い……潰れてしまいそうだ……。			うう……心臓が痛い……潰れてしまいそうだ……。			結び繋ぎて							
ん、君は……？ああ、心配してくれたのか……悪いね……。			ん、君は……？ああ、心配してくれたのか……悪いね……。			結び繋ぎて							
僕は方舟の装甲を開発したんだが、大撤収が始動してからこちら、不安で仕方ないんだ。仕事に不備があったら、皆を危険にさらしてしまう……ってね。			僕は方舟の装甲を開発したんだが、大撤収が始動してからこちら、不安で仕方ないんだ。仕事に不備があったら、皆を危険にさらしてしまう……ってね。			結び繋ぎて							
月から来た「協力者」が、相談に乗ってくれるって？そいつはいい、さっそく行ってみるよ……！			月から来た「協力者」が、相談に乗ってくれるって？そいつはいい、さっそく行ってみるよ……！			結び繋ぎて							
………………。			………………。			結び繋ぎて							
おっといけない、私に何か用か？			おっといけない、私に何か用か？			結び繋ぎて							
悩んでるなら「協力者」が話を聞いてくれると……。へぇ、いい企画じゃないか。			悩んでるなら「協力者」が話を聞いてくれると……。へぇ、いい企画じゃないか。			結び繋ぎて							
ちょうど、方舟の積載量を上げられないか考えていたんだ。エーテル縮退炉の問題で往復数が稼げないなら、一度に運べる物量を増やす方向で、解決を図れないかってね。			ちょうど、方舟の積載量を上げられないか考えていたんだ。エーテル縮退炉の問題で往復数が稼げないなら、一度に運べる物量を増やす方向で、解決を図れないかってね。			結び繋ぎて							
単純に詰め込むだけなら、できないことはないけど、縮退炉に負荷をかけるわけにもいかないし……一度、「協力者」に相談してみるよ。			単純に詰め込むだけなら、できないことはないけど、縮退炉に負荷をかけるわけにもいかないし……一度、「協力者」に相談してみるよ。			結び繋ぎて							
うぅぅ……放っておいてくれ……。俺は、意気地なしのダメダメ野郎なんだ……！			うぅぅ……放っておいてくれ……。俺は、意気地なしのダメダメ野郎なんだ……！			結び繋ぎて							
方舟の操舵士に抜擢されたんだが、そんな大役をやり遂げられる自信がない……。上に話して、別の奴に頼んでもらうしか……！			方舟の操舵士に抜擢されたんだが、そんな大役をやり遂げられる自信がない……。上に話して、別の奴に頼んでもらうしか……！			結び繋ぎて							
……月のクルーたちと、話ができるって？ほ、本当か！？			……月のクルーたちと、話ができるって？ほ、本当か！？			結び繋ぎて							
こうしちゃいられない！さっそく行って、話を聞いてみるよ！辞退するかどうかを決めるのは、そのあとだ……！			こうしちゃいられない！さっそく行って、話を聞いてみるよ！辞退するかどうかを決めるのは、そのあとだ……！			結び繋ぎて							
あ……すみません、こんなところでぼーっとしちゃって……。方舟に乗船する方々の健康管理について、考えていたんです。			あ……すみません、こんなところでぼーっとしちゃって……。方舟に乗船する方々の健康管理について、考えていたんです。			結び繋ぎて							
医師と相談しながら、方舟の中にも医療設備は整えました。しかしながら、星外特有の病気や、容体の変化については、予想しきれない部分があって……。			医師と相談しながら、方舟の中にも医療設備は整えました。しかしながら、星外特有の病気や、容体の変化については、予想しきれない部分があって……。			結び繋ぎて							
まあ！　月のクルーから話を伺えるんですか？その機会、是非活用させていただきます。西側の公園ですね！			まあ！　月のクルーから話を伺えるんですか？その機会、是非活用させていただきます。西側の公園ですね！			結び繋ぎて							
だぁぁ……もう……！あいつら、どこ行っちゃったんだよ！？			だぁぁ……もう……！あいつら、どこ行っちゃったんだよ！？			結び繋ぎて							
っと、何か用か？悪いが、人を探してる途中なんだ。方舟の各機関にまわすエーテル量を、もう一度確認したくてさ。			っと、何か用か？悪いが、人を探してる途中なんだ。方舟の各機関にまわすエーテル量を、もう一度確認したくてさ。			結び繋ぎて							
えっ、月の「協力者」が相談を受け付けてるって！？だったら、彼らと一緒に確認してみるよ。			えっ、月の「協力者」が相談を受け付けてるって！？だったら、彼らと一緒に確認してみるよ。			結び繋ぎて							
同僚たちときたら、最近じゃもう、「大丈夫だから」「もういいだろ」「勘弁して」ばっかり！何度やったって、心配なものは心配なんだよ……！			同僚たちときたら、最近じゃもう、「大丈夫だから」「もういいだろ」「勘弁して」ばっかり！何度やったって、心配なものは心配なんだよ……！			結び繋ぎて							
……えっ、ウソ、私そんなに怖い顔してた？うわぁ、完全に無意識だったわ。			……えっ、ウソ、私そんなに怖い顔してた？うわぁ、完全に無意識だったわ。			結び繋ぎて							
方舟に乗せる動物の選定に加わってるんだけどね、まだ判断に迷っている候補がいるのよ。行き先の環境がわからないから、悩んじゃって……。			方舟に乗せる動物の選定に加わってるんだけどね、まだ判断に迷っている候補がいるのよ。行き先の環境がわからないから、悩んじゃって……。			結び繋ぎて							
レポリットとの相談会……？いいわね、私も話をしに行ってみようかしら。彼ら自身の生態も、何かのヒントになるかもしれないし！			レポリットとの相談会……？いいわね、私も話をしに行ってみようかしら。彼ら自身の生態も、何かのヒントになるかもしれないし！			結び繋ぎて							
雑草が56本……57本……58本……59本……。			雑草が56本……57本……58本……59本……。			結び繋ぎて							
ふぎゃあ！？すす、す、すみません、サボってたわけじゃないんです！			ふぎゃあ！？すす、す、すみません、サボってたわけじゃないんです！			結び繋ぎて							
これからのことを考えると、心配で心配で……。とにかく心を落ち着けなきゃと思って、無心で雑草を摘んでただけなんですー！			これからのことを考えると、心配で心配で……。とにかく心を落ち着けなきゃと思って、無心で雑草を摘んでただけなんですー！			結び繋ぎて							
へっ、大撤収についての悩みごとを相談できる場が……！？行きます行きます、そういうのがほしかったんですー！			へっ、大撤収についての悩みごとを相談できる場が……！？行きます行きます、そういうのがほしかったんですー！			結び繋ぎて							
見かけない奴だな……。お前、もしかして、月の「協力者」の付き添いか？			見かけない奴だな……。お前、もしかして、月の「協力者」の付き添いか？			結び繋ぎて							
俺は大撤収よりも、むしろその先……移住先の星を探すという工程を心配してるんだ。			俺は大撤収よりも、むしろその先……移住先の星を探すという工程を心配してるんだ。			結び繋ぎて							
哲学者議会に問い合わせても、「協力者」が跳躍航行装置ってものを用意してるとだけ……自分たちの命運を、そんな謎だらけの装置に任せられるのか？			哲学者議会に問い合わせても、「協力者」が跳躍航行装置ってものを用意してるとだけ……自分たちの命運を、そんな謎だらけの装置に任せられるのか？			結び繋ぎて							
あいつらと、直接話せるのか……！？教えてくれて感謝する。さっそく行って、根掘り葉掘り聞いてやる！			あいつらと、直接話せるのか……！？教えてくれて感謝する。さっそく行って、根掘り葉掘り聞いてやる！			結び繋ぎて							
心配なこと？　とくにないね。というか、やれることをやるしかない……って感じだよ。焦ったって、ミスが多くなるだけさ。			心配なこと？　とくにないね。というか、やれることをやるしかない……って感じだよ。焦ったって、ミスが多くなるだけさ。			結び繋ぎて							
この研究員は、相談を必要としていないようだ……。			この研究員は、相談を必要としていないようだ……。			結び繋ぎて							
ここまできたらもう、落ち着いて、やれることをやるだけさ。			ここまできたらもう、落ち着いて、やれることをやるだけさ。			結び繋ぎて							
ヒハハハハハ……！地獄のようなスケジュール、迫りくる納期！だからといって研究が早く済むわけじゃない！			ヒハハハハハ……！地獄のようなスケジュール、迫りくる納期！だからといって研究が早く済むわけじゃない！			結び繋ぎて							
もう、本当…………最高に楽しーッ！！			もう、本当…………最高に楽しーッ！！			結び繋ぎて							
この研究員は、ハイになっているようだ。彼女を救えるのは、相談ではなくベッドだろう……。			この研究員は、ハイになっているようだ。彼女を救えるのは、相談ではなくベッドだろう……。			結び繋ぎて							
ヒハハハハハ……！大丈夫大丈夫、まだいける！調子出てきたところだからね、ね、ね！			ヒハハハハハ……！大丈夫大丈夫、まだいける！調子出てきたところだからね、ね、ね！			結び繋ぎて							
あっ、そこのあなた！どこかで封筒が落ちているのを見かけませんでしたか！？			あっ、そこのあなた！どこかで封筒が落ちているのを見かけませんでしたか！？			結び繋ぎて							
錬金薬を注文したんですが、控えをなくしてしまって……それがないと渡せないと言われてしまったんです。			錬金薬を注文したんですが、控えをなくしてしまって……それがないと渡せないと言われてしまったんです。			結び繋ぎて							
相談会ですか……？さすがに、注文の控えを見つけてくれたりはしませんよね……。すみませんが、伺う時間はなさそうです。			相談会ですか……？さすがに、注文の控えを見つけてくれたりはしませんよね……。すみませんが、伺う時間はなさそうです。			結び繋ぎて							
この職員は、相談を必要としていないようだ……。			この職員は、相談を必要としていないようだ……。			結び繋ぎて							
こんなときにかぎって、必要な書類をなくすなんて……！道で落とした……いや、家に置いてきたか……！？			こんなときにかぎって、必要な書類をなくすなんて……！道で落とした……いや、家に置いてきたか……！？			結び繋ぎて							
もしかして、搬出の依頼かい？悪いな、すでに先約があって、その荷が届くのを待ってるだけなんだ。			もしかして、搬出の依頼かい？悪いな、すでに先約があって、その荷が届くのを待ってるだけなんだ。			結び繋ぎて							
このグリーナーは、相談を必要としていないようだ……。			このグリーナーは、相談を必要としていないようだ……。			結び繋ぎて							
悪いが、搬出の依頼なら、ほかのグリーナーをあたってくれ。			悪いが、搬出の依頼なら、ほかのグリーナーをあたってくれ。			結び繋ぎて							
んー？　悩みごと？荷物を運びすぎて、猛烈に腰が痛いってことかな……。あと足と……肩と……腕も……。			んー？　悩みごと？荷物を運びすぎて、猛烈に腰が痛いってことかな……。あと足と……肩と……腕も……。			結び繋ぎて							
このグリーナーは、相談よりも休息を必要としているようだ……。			このグリーナーは、相談よりも休息を必要としているようだ……。			結び繋ぎて							
はー……やっと座れた……。もう立ち上がれる気がしない……。			はー……やっと座れた……。もう立ち上がれる気がしない……。			結び繋ぎて							
あら、何かご用ですか？			あら、何かご用ですか？			結び繋ぎて							
まあ、そんな素晴らしい試みが企画されているんですね！			まあ、そんな素晴らしい試みが企画されているんですね！			結び繋ぎて							
私も、皆さんが大変そうなので、休憩のときくらい少しでもくつろげたら……と思って、お茶に香りを足すための葉を採りにきたんです。			私も、皆さんが大変そうなので、休憩のときくらい少しでもくつろげたら……と思って、お茶に香りを足すための葉を採りにきたんです。			結び繋ぎて							
私自身は相談するような悩みはありませんが、試みが成功することを願っていますね！			私自身は相談するような悩みはありませんが、試みが成功することを願っていますね！			結び繋ぎて							
この職員は、相談を必要としていないようだ……。			この職員は、相談を必要としていないようだ……。			結び繋ぎて							
この木の若葉は、とてもいい香りがするんです。頭をスッキリさせてくれるので、研究員の多いリトルシャーレアンにぴったりなんですよ。			この木の若葉は、とてもいい香りがするんです。頭をスッキリさせてくれるので、研究員の多いリトルシャーレアンにぴったりなんですよ。			結び繋ぎて							
心配なことはないか……？お気遣いありがと、でも大丈夫よ！私には、こうして相談できる同僚たちがいるもの！			心配なことはないか……？お気遣いありがと、でも大丈夫よ！私には、こうして相談できる同僚たちがいるもの！			結び繋ぎて							
この研究員は、相談を必要としていないようだ……。			この研究員は、相談を必要としていないようだ……。			結び繋ぎて							
油断ならない状況だけど、長年一緒に研究してきた仲間たちと一緒だもの。きっと乗り越えられるわ！			油断ならない状況だけど、長年一緒に研究してきた仲間たちと一緒だもの。きっと乗り越えられるわ！			結び繋ぎて							
Forenameさん、私……私……「話せてよかった、ありがとう」と言われまして……！			Forenameさん、私……私……「話せてよかった、ありがとう」と言われまして……！			結び繋ぎて							
うううぅ……感無量ですぅ……！私たちの試行錯誤が、ちゃんとヒトのお役に立てた……。ただの的外れじゃありませんでしたぁ……！			うううぅ……感無量ですぅ……！私たちの試行錯誤が、ちゃんとヒトのお役に立てた……。ただの的外れじゃありませんでしたぁ……！			結び繋ぎて							
グローウィングウェイさんと話せて、自分たちの構築したものを、冷静に見直せました。おかげで気持ちも落ち着いて……本当にありがとうございます。			グローウィングウェイさんと話せて、自分たちの構築したものを、冷静に見直せました。おかげで気持ちも落ち着いて……本当にありがとうございます。			結び繋ぎて							
ああ、よくぞお戻りになりました……！			ああ、よくぞお戻りになりました……！			結び繋ぎて							
ご覧ください、あなたが呼んできてくださった方を中心に、彼らの知人や、通りすがりの研究員まで、多くの人々が集まりはじめています。			ご覧ください、あなたが呼んできてくださった方を中心に、彼らの知人や、通りすがりの研究員まで、多くの人々が集まりはじめています。			結び繋ぎて							
リヴィングウェイたちも、間もなく、もっと多くのレポリットを連れて、戻ってくることでしょう……。			リヴィングウェイたちも、間もなく、もっと多くのレポリットを連れて、戻ってくることでしょう……。			結び繋ぎて							
私は引き続き、人とレポリットを仲介し、彼らが良き同胞となれるように努める所存です。			私は引き続き、人とレポリットを仲介し、彼らが良き同胞となれるように努める所存です。			結び繋ぎて							
よければ、お時間の許すかぎり、そちらで見守っていただけないでしょうか……？見知った顔があれば、レポリットたちも安心するかと……。			よければ、お時間の許すかぎり、そちらで見守っていただけないでしょうか……？見知った顔があれば、レポリットたちも安心するかと……。			結び繋ぎて							
リヴィングウェイたちも、戻ったらさぞ驚くことでしょう。彼女たちにも、話し合いに加わってもらい、親睦を深めてもらえればと思っております。			リヴィングウェイたちも、戻ったらさぞ驚くことでしょう。彼女たちにも、話し合いに加わってもらい、親睦を深めてもらえればと思っております。			結び繋ぎて							
さて……俺たちも、活動再開といくぞ。すべてをちゃんと終えられたら、ウリエンジェと、お前も連れて飲みに行くか。			さて……俺たちも、活動再開といくぞ。すべてをちゃんと終えられたら、ウリエンジェと、お前も連れて飲みに行くか。			結び繋ぎて							
……いい酒を買って、ムーンブリダに献杯しよう。			……いい酒を買って、ムーンブリダに献杯しよう。			結び繋ぎて							
そういえば、わたくし、アーテリスのことを聞くことに夢中になって、ウリエンジェ自身のことをあまり聞いていませんでした……。			そういえば、わたくし、アーテリスのことを聞くことに夢中になって、ウリエンジェ自身のことをあまり聞いていませんでした……。			結び繋ぎて							
……機会があったら、聞いてみようかしら。でも、いったい何を問うべきでしょう？			……機会があったら、聞いてみようかしら。でも、いったい何を問うべきでしょう？			結び繋ぎて							
たくさんヒトとお話しできて、もう、大興奮でした！ほかのレポリットたちも、嬉しそうにハミングしていましたよ！			たくさんヒトとお話しできて、もう、大興奮でした！ほかのレポリットたちも、嬉しそうにハミングしていましたよ！			結び繋ぎて							
へへっ、青い星を見上げて、ヒトのことを想像しながら、月を整えていくのも苦じゃなかったけどさ……「ありがとう」って言われると、嬉しくなっちゃうな！			へへっ、青い星を見上げて、ヒトのことを想像しながら、月を整えていくのも苦じゃなかったけどさ……「ありがとう」って言われると、嬉しくなっちゃうな！			結び繋ぎて							
実験農場の見学に続いて、有意義な時間だったよ。叶うならば、もっと話していたかったくらい……時間が過ぎるのがこんなに早く感じたのは、初めてさ！			実験農場の見学に続いて、有意義な時間だったよ。叶うならば、もっと話していたかったくらい……時間が過ぎるのがこんなに早く感じたのは、初めてさ！			結び繋ぎて							
ムーンブリダは、古ルガディン語で、「月の花嫁」を意味する名前なんだ。			ムーンブリダは、古ルガディン語で、「月の花嫁」を意味する名前なんだ。			結び繋ぎて							
彼女が生まれたのは、ちょうど満月のころでね。あのときの月のように満ち足りて、優しく周りを照らす子になってほしくて、その名をつけた。			彼女が生まれたのは、ちょうど満月のころでね。あのときの月のように満ち足りて、優しく周りを照らす子になってほしくて、その名をつけた。			結び繋ぎて							
あまりに元気だったから、太陽の方がよかったんじゃないかと、家族でよく冗談を言っていたものだが……彼女の光は、こうして優しく、届いていたのだね。			あまりに元気だったから、太陽の方がよかったんじゃないかと、家族でよく冗談を言っていたものだが……彼女の光は、こうして優しく、届いていたのだね。			結び繋ぎて							
おや、あんたは……？			おや、あんたは……？			結び繋ぎて							
そうかい、「暁」の……。ムーンブリダが、短い間だっただろうけど、世話になったね。			そうかい、「暁」の……。ムーンブリダが、短い間だっただろうけど、世話になったね。			結び繋ぎて							
それから、ウリエンジェのことも……。この子はうちの息子みたいなものだからさ、良い仲間がいるようで、安心したよ。			それから、ウリエンジェのことも……。この子はうちの息子みたいなものだからさ、良い仲間がいるようで、安心したよ。			結び繋ぎて							
すみません、Forenameさん……私の方は……ええ……もう大丈夫です……。			すみません、Forenameさん……私の方は……ええ……もう大丈夫です……。			結び繋ぎて							
ムーンブリダのご両親に会った私が、今の私でよかった。皆さんとともに過ごしてきた自分で良かったと……心から、誇りに思います……。			ムーンブリダのご両親に会った私が、今の私でよかった。皆さんとともに過ごしてきた自分で良かったと……心から、誇りに思います……。			結び繋ぎて							
アポリア本部のグ・ラハ・ティアは、頼みごとをされているようだ。			アポリア本部のグ・ラハ・ティアは、頼みごとをされているようだ。			エクスアダマント							
グ・ラハ・ティアと話す			グ・ラハ・ティアと話す			エクスアダマント							
指定地点で見渡してスプライトを討伐			指定地点で見渡してスプライトを討伐			エクスアダマント							
指定地点で再度見渡す			指定地点で再度見渡す			エクスアダマント							
ククロ・ダンクロと話す			ククロ・ダンクロと話す			エクスアダマント							
違う視点から父のことを知るのは、不思議な感覚だったよ。確かに、両親から見た私と、君から見た私は違っていて、その両方が本物なのだろうね……。			違う視点から父のことを知るのは、不思議な感覚だったよ。確かに、両親から見た私と、君から見た私は違っていて、その両方が本物なのだろうね……。			エクスアダマント							
私たちに荷運びを任せてくれた職員の人が、終わったら別の仕事も頼みたいって言ってたのよ。戻る約束をしちゃったから……ラハの方、お願いね。			私たちに荷運びを任せてくれた職員の人が、終わったら別の仕事も頼みたいって言ってたのよ。戻る約束をしちゃったから……ラハの方、お願いね。			エクスアダマント							
エクスアダマントが届く可能性があるなら……ってことで、ククロさんが、エーテル縮退炉のパーツを作り直すための、準備をはじめたんだ。			エクスアダマントが届く可能性があるなら……ってことで、ククロさんが、エーテル縮退炉のパーツを作り直すための、準備をはじめたんだ。			エクスアダマント							
それに伴って、工房のある区画に流れ込む火属性のエーテルを、倍にしてほしいって頼まれた。製造用の炉の温度を上げておく必要があるらしい。			それに伴って、工房のある区画に流れ込む火属性のエーテルを、倍にしてほしいって頼まれた。製造用の炉の温度を上げておく必要があるらしい。			エクスアダマント							
ラヴィリンソスの属性バランスを調節してるのは、「属性増殖炉」っていう施設だ。ククロさんの紹介状で、その鍵は借りてきた。			ラヴィリンソスの属性バランスを調節してるのは、「属性増殖炉」っていう施設だ。ククロさんの紹介状で、その鍵は借りてきた。			エクスアダマント							
あんたには、ここから南にある、火属性の増殖炉まで一緒に行ってもらいたい。その先は、また現地で説明するよ。			あんたには、ここから南にある、火属性の増殖炉まで一緒に行ってもらいたい。その先は、また現地で説明するよ。			エクスアダマント							
だったら、リトルシャーレアンに戻る私たちとは、ここで一旦お別れね。			だったら、リトルシャーレアンに戻る私たちとは、ここで一旦お別れね。			エクスアダマント							
約束どおり、それぞれが手伝いを終えたあとに、リトルシャーレアンのエーテライト付近で集合しましょ！またあとで！			約束どおり、それぞれが手伝いを終えたあとに、リトルシャーレアンのエーテライト付近で集合しましょ！またあとで！			エクスアダマント							
それじゃあ、オレたちも出発だ！			それじゃあ、オレたちも出発だ！			エクスアダマント							
付き合ってくれて、ありがとな。……ここが、火属性の属性増殖炉で間違いないはずだ。			付き合ってくれて、ありがとな。……ここが、火属性の属性増殖炉で間違いないはずだ。			エクスアダマント							
今からオレが中に入って、工房のある区画の火属性を高めてくる。			今からオレが中に入って、工房のある区画の火属性を高めてくる。			エクスアダマント							
そうすると、増殖炉の上部から、対になる水属性のエーテルが排出されるそうだ。			そうすると、増殖炉の上部から、対になる水属性のエーテルが排出されるそうだ。			エクスアダマント							
そこに、水属性を好むスプライトの類が引き寄せられてくる。そいつらが増殖炉に取りつかないよう、あんたに討伐してもらいたいんだよ。			そこに、水属性を好むスプライトの類が引き寄せられてくる。そいつらが増殖炉に取りつかないよう、あんたに討伐してもらいたいんだよ。			エクスアダマント							
よし、それじゃあ、オレは中で属性増殖炉を操作してくる。スプライトが来たら、よろしくな……！			よし、それじゃあ、オレは中で属性増殖炉を操作してくる。スプライトが来たら、よろしくな……！			エクスアダマント							
高位のスプライトが引き寄せられてきた！！			高位のスプライトが引き寄せられてきた！！			エクスアダマント							
さらにスプライトが引き寄せられてきた！！			さらにスプライトが引き寄せられてきた！！			エクスアダマント							
お待たせ、スプライトの方は大丈夫だったか……？			お待たせ、スプライトの方は大丈夫だったか……？			エクスアダマント							
よかった……。属性増殖炉の操作も、問題なく完了だ。			よかった……。属性増殖炉の操作も、問題なく完了だ。			エクスアダマント							
……うん、ここから見ても、ちゃんと水属性が排出されてるな。			……うん、ここから見ても、ちゃんと水属性が排出されてるな。			エクスアダマント							
指定どおり、工房のある区画へ流れ込む火属性のエーテルが、倍になっているはずだ。			指定どおり、工房のある区画へ流れ込む火属性のエーテルが、倍になっているはずだ。			エクスアダマント							
……なあ、あんたにひとつ、話しておきたいことがあるんだ。			……なあ、あんたにひとつ、話しておきたいことがあるんだ。			エクスアダマント							
重大な話ってわけじゃない。しいて言うなら、結論のない、オレの勝手な推測だ。			重大な話ってわけじゃない。しいて言うなら、結論のない、オレの勝手な推測だ。			エクスアダマント							
だが……エルピスに行ったあんたは……知っておいてもいいんじゃないかって、思ったんだ。			だが……エルピスに行ったあんたは……知っておいてもいいんじゃないかって、思ったんだ。			エクスアダマント							
みんなの前で話したこととも重複するが……歴史上、エクスアダマントが広く活用されるようになったのは、古代アラグ文明の末期だ。			みんなの前で話したこととも重複するが……歴史上、エクスアダマントが広く活用されるようになったのは、古代アラグ文明の末期だ。			エクスアダマント							
ダラガブの製造を代表する、かの帝国の宇宙進出。それに伴って普及した素材のひとつだったようだ。			ダラガブの製造を代表する、かの帝国の宇宙進出。それに伴って普及した素材のひとつだったようだ。			エクスアダマント							
そして……その宇宙進出を強く推し進めていた人物のひとりが、皇帝の側近たる魔科学者、アモンだという。			そして……その宇宙進出を強く推し進めていた人物のひとりが、皇帝の側近たる魔科学者、アモンだという。			エクスアダマント							
何と言う？			何と言う？			エクスアダマント							
アモンも宇宙を目指していた……			アモンも宇宙を目指していた……			エクスアダマント							
ヘルメスだったときの記憶があった……？			ヘルメスだったときの記憶があった……？			エクスアダマント							
ああ……。ただ、かつてヘルメスとして生きた記憶があったから、宇宙を目指した、というわけではないはずだ。			ああ……。ただ、かつてヘルメスとして生きた記憶があったから、宇宙を目指した、というわけではないはずだ。			エクスアダマント							
いや……。事実として宇宙を目指してはいたが、ヘルメスとして生きた記憶があったからではないと思う。			いや……。事実として宇宙を目指してはいたが、ヘルメスとして生きた記憶があったからではないと思う。			エクスアダマント							
あんたがゾットの塔で視たという過去によれば、アモンがアシエンに召し上げられたのは、アラグ帝国崩壊の間際だったそうだな。			あんたがゾットの塔で視たという過去によれば、アモンがアシエンに召し上げられたのは、アラグ帝国崩壊の間際だったそうだな。			エクスアダマント							
宇宙進出を目指していたのは、それよりも前のこと……過去の世界のことも、ヘルメスのことも、知る由はなかっただろう。			宇宙進出を目指していたのは、それよりも前のこと……過去の世界のことも、ヘルメスのことも、知る由はなかっただろう。			エクスアダマント							
ただ……もしかしたら、魂にも性分ってものがあるのかもしれない……。			ただ……もしかしたら、魂にも性分ってものがあるのかもしれない……。			エクスアダマント							
アモンがザンデを蘇らせた背景には、栄華を極めたことで、かえって退廃的になってしまった、アラグ帝国の実情があった。			アモンがザンデを蘇らせた背景には、栄華を極めたことで、かえって退廃的になってしまった、アラグ帝国の実情があった。			エクスアダマント							
破滅や死は甘やかに語られ、退屈を埋めるため、被支配層や人以外の生物が、過激な実験に投じられることも多かったという……。			破滅や死は甘やかに語られ、退屈を埋めるため、被支配層や人以外の生物が、過激な実験に投じられることも多かったという……。			エクスアダマント							
アモンは強き皇帝であるザンデを蘇らせることで、人々に進歩を、生きる活力を思い出させた。			アモンは強き皇帝であるザンデを蘇らせることで、人々に進歩を、生きる活力を思い出させた。			エクスアダマント							
……だが、肝心のザンデ本人は、死を経験したことで、いずれは「無」になるという諦観にとりつかれていた。			……だが、肝心のザンデ本人は、死を経験したことで、いずれは「無」になるという諦観にとりつかれていた。			エクスアダマント							
宇宙進出が推し進められたのは、そんなザンデと彼の率いる帝国に、新たな可能性と目標を与えるためだったとされる……。			宇宙進出が推し進められたのは、そんなザンデと彼の率いる帝国に、新たな可能性と目標を与えるためだったとされる……。			エクスアダマント							
ヘルメスもアモンもさ、人の生き方を忌みながら、だけど完全に見捨てることもできなかったように思えるんだ。			ヘルメスもアモンもさ、人の生き方を忌みながら、だけど完全に見捨てることもできなかったように思えるんだ。			エクスアダマント							
だから何度も、遠い星に、希望を求めて手を伸ばした。それで人が変わることを願って……幸せの可能性を探して……。			だから何度も、遠い星に、希望を求めて手を伸ばした。それで人が変わることを願って……幸せの可能性を探して……。			エクスアダマント							
……なんてさ。最初に断ったとおり、これはただの推測だよ。			……なんてさ。最初に断ったとおり、これはただの推測だよ。			エクスアダマント							
オレたちはただ、彼らのやったこと、その結果に、自分たちの想いで対処していくだけだ。			オレたちはただ、彼らのやったこと、その結果に、自分たちの想いで対処していくだけだ。			エクスアダマント							
あと、もうひと息……エクスアダマントが、人を、星まで連れていくといいな。			あと、もうひと息……エクスアダマントが、人を、星まで連れていくといいな。			エクスアダマント							
じゃ、ひとまず、ククロさんのところに報告にいくか！火属性の具合に不備がないか、確認も兼ねてな！			じゃ、ひとまず、ククロさんのところに報告にいくか！火属性の具合に不備がないか、確認も兼ねてな！			エクスアダマント							
あ、一応言っておくが、ちゃんとククロさんとアラグ関連の話もしたからな！			あ、一応言っておくが、ちゃんとククロさんとアラグ関連の話もしたからな！			エクスアダマント							
属性増殖炉を調整してくる役を買って出たのは、話し終わって、手が空いたからだ。断じて、役に立たないから雑用に回されたんじゃないぞ……！			属性増殖炉を調整してくる役を買って出たのは、話し終わって、手が空いたからだ。断じて、役に立たないから雑用に回されたんじゃないぞ……！			エクスアダマント							
おおっ、一緒に戻ってきたっつーことは、あんたらふたりが、属性増殖炉に行ってくれたんだな！			おおっ、一緒に戻ってきたっつーことは、あんたらふたりが、属性増殖炉に行ってくれたんだな！			エクスアダマント							
