クォーリーミルのスィミは、冒険者に託したいものがあるようだ。			クォーリーミルのスィミは、冒険者に託したいものがあるようだ。			聖典の真実							
「ガレマール帝国」の第XIV軍団長……。ガイウス・ヴァン・バエサルなる者から届けられた書簡についてじゃ。			「ガレマール帝国」の第XIV軍団長……。ガイウス・ヴァン・バエサルなる者から届けられた書簡についてじゃ。			カストルム・セントリからの救出							
エオルゼアの……いや、世界の蛮神問題を、一気に解決する最終兵器「アルテマウェポン」か……。			エオルゼアの……いや、世界の蛮神問題を、一気に解決する最終兵器「アルテマウェポン」か……。			カストルム・セントリからの救出							
帝国に従えば、全ての蛮神を屠り、真の安寧をエオルゼアにあたえる。……逆らえば、その牙は私たちに向くことになる。			帝国に従えば、全ての蛮神を屠り、真の安寧をエオルゼアにあたえる。……逆らえば、その牙は私たちに向くことになる。			カストルム・セントリからの救出							
従うべきか……従わざるべきか……。			従うべきか……従わざるべきか……。			カストルム・セントリからの救出							
これは、帝国からエオルゼア全土に向けての恐嚇じゃ。各国が結論を出す問題ではない。			これは、帝国からエオルゼア全土に向けての恐嚇じゃ。各国が結論を出す問題ではない。			カストルム・セントリからの救出							
都市軍事同盟から離脱した、山の都イシュガルドは除いたとしても、我らだけでも団結した答えを出さねば、エオルゼアは再び炎に包まれるのじゃ。			都市軍事同盟から離脱した、山の都イシュガルドは除いたとしても、我らだけでも団結した答えを出さねば、エオルゼアは再び炎に包まれるのじゃ。			カストルム・セントリからの救出							
ありがとう、Forename。なんとお礼を言っていいのか……。			ありがとう、Forename。なんとお礼を言っていいのか……。			カストルム・セントリからの救出							
……サンクレッドのことは正直驚いているわ……。でも、悩んでばかりもいられない……。			……サンクレッドのことは正直驚いているわ……。でも、悩んでばかりもいられない……。			カストルム・セントリからの救出							
帝国を……アルテマウェポンを止めなければ、このエオルゼアに未来はないわ！……行きましょう、首領たちのもとへ。			帝国を……アルテマウェポンを止めなければ、このエオルゼアに未来はないわ！……行きましょう、首領たちのもとへ。			カストルム・セントリからの救出							
ウルダハ・ランディングのロビーへお入りになりますか？			ウルダハ・ランディングのロビーへお入りになりますか？			カストルム・セントリからの救出							
「ロビー」へ移動しますか？			「ロビー」へ移動しますか？			カストルム・セントリからの救出							
はい			はい			カストルム・セントリからの救出							
いいえ			いいえ			カストルム・セントリからの救出							
パパリモとウリエンジェの縄をほどけ！			パパリモとウリエンジェの縄をほどけ！			カストルム・セントリからの救出							
帝国兵を倒してミンフィリアたちを救え！			帝国兵を倒してミンフィリアたちを救え！			カストルム・セントリからの救出							
帝国兵を倒して脱出しろ！			帝国兵を倒して脱出しろ！			カストルム・セントリからの救出							
あなたたち……来てくれたのね！			あなたたち……来てくれたのね！			カストルム・セントリからの救出							
戒めを解き放つのです……共闘こそが、我らの宿命なるが故に……。			戒めを解き放つのです……共闘こそが、我らの宿命なるが故に……。			カストルム・セントリからの救出							
Surname！僕たちの縄をほどいてくれ！			Surname！僕たちの縄をほどいてくれ！			カストルム・セントリからの救出							
クソッ、何としても侵入者を捕らえろッ！			クソッ、何としても侵入者を捕らえろッ！			カストルム・セントリからの救出							
総員、緊急配備につけ！侵入者どもを逃がすなッ！			総員、緊急配備につけ！侵入者どもを逃がすなッ！			カストルム・セントリからの救出							
この魔導兵器……何か……別の力に守られているようです。			この魔導兵器……何か……別の力に守られているようです。			カストルム・セントリからの救出							
Surname、近くに強化装置があるはずだ。探し出して壊してくれ！			Surname、近くに強化装置があるはずだ。探し出して壊してくれ！			カストルム・セントリからの救出							
さすが敵拠点、魔導兵器が次々と……！			さすが敵拠点、魔導兵器が次々と……！			カストルム・セントリからの救出							
どちらも強化装置の恩恵を受けている様子……しかし、装置はいずこに……！？			どちらも強化装置の恩恵を受けている様子……しかし、装置はいずこに……！？			カストルム・セントリからの救出							
おのれ侵入者、必ず仕留めてくれる！この「魔導コロッサス」でなッ！			おのれ侵入者、必ず仕留めてくれる！この「魔導コロッサス」でなッ！			カストルム・セントリからの救出							
あれは……新型の魔導アーマーか！？			あれは……新型の魔導アーマーか！？			カストルム・セントリからの救出							
みんな、気をつけて……！			みんな、気をつけて……！			カストルム・セントリからの救出							
こちらが優勢……ですが、窮鼠は恐ろしい……。			こちらが優勢……ですが、窮鼠は恐ろしい……。			カストルム・セントリからの救出							
鉄巨人め！　これでおしまいだ！！			鉄巨人め！　これでおしまいだ！！			カストルム・セントリからの救出							
くそっ、ここまできて……！			くそっ、ここまできて……！			カストルム・セントリからの救出							
暁の明かりは……再び失われん……。			暁の明かりは……再び失われん……。			カストルム・セントリからの救出							
タタルさん……ごめんッス……。			タタルさん……ごめんッス……。			カストルム・セントリからの救出							
すまん、しくじった……！			すまん、しくじった……！			カストルム・セントリからの救出							
シドは魔導アーマーの修理をするにあたり、冒険者に頼みたいことがあるようだ。			シドは魔導アーマーの修理をするにあたり、冒険者に頼みたいことがあるようだ。			魔導兵器のみる夢							
魔導アーマーの心臓部「魔導コア」の損傷が激しく、新たなものを作る必要があるようだ。解決方法について「ウェッジ」から話を聞こう。			魔導アーマーの心臓部「魔導コア」の損傷が激しく、新たなものを作る必要があるようだ。解決方法について「ウェッジ」から話を聞こう。			魔導兵器のみる夢							
「魔導コア」の修復には「魔法人形のコア」が必要らしい。ウルダハの「彫金師ギルド」のギルドマスター「セレンディピティー」に相談しよう。			「魔導コア」の修復には「魔法人形のコア」が必要らしい。ウルダハの「彫金師ギルド」のギルドマスター「セレンディピティー」に相談しよう。			魔導兵器のみる夢							
セレンディピティーから「魔法人形のコア」を入手した。レヴナンツトールに戻り、隠された工房の「ウェッジ」に渡そう。隠された工房へは、スラフボーンが誘導してくれるはずだ。			セレンディピティーから「魔法人形のコア」を入手した。レヴナンツトールに戻り、隠された工房の「ウェッジ」に渡そう。隠された工房へは、スラフボーンが誘導してくれるはずだ。			魔導兵器のみる夢							
冒険者の運んだ部品のおかげで修理が完了した。「ウェッジ」と話して魔導アーマーに乗り、修理できているか確認しよう。			冒険者の運んだ部品のおかげで修理が完了した。「ウェッジ」と話して魔導アーマーに乗り、修理できているか確認しよう。			魔導兵器のみる夢							
魔導アーマーは問題なく起動しているようだ。まず「崩壊したキャンプの高台」まで移動してみよう。魔導アーマーを降りた場合は、ウェッジに声をかければ、もう一度乗せてくれるそうだ。			魔導アーマーは問題なく起動しているようだ。まず「崩壊したキャンプの高台」まで移動してみよう。魔導アーマーを降りた場合は、ウェッジに声をかければ、もう一度乗せてくれるそうだ。			魔導兵器のみる夢							
脚部には問題ないようだ。次は「崩壊したキャンプの北端」まで移動してみよう。			脚部には問題ないようだ。次は「崩壊したキャンプの北端」まで移動してみよう。			魔導兵器のみる夢							
膝部にも問題はないようだ。最後に「ウェッジの前」まで移動してみよう。			膝部にも問題はないようだ。最後に「ウェッジの前」まで移動してみよう。			魔導兵器のみる夢							
魔導アーマーが問題なく駆動することを確認した。「ウェッジ」に報告しよう。			魔導アーマーが問題なく駆動することを確認した。「ウェッジ」に報告しよう。			魔導兵器のみる夢							
どうやら、組みこんだ魔導コアが正常に動いていないようだ。ウェッジの提案に乗り、魔導アーマーにエモート「歓迎する」をしてみよう。			どうやら、組みこんだ魔導コアが正常に動いていないようだ。ウェッジの提案に乗り、魔導アーマーにエモート「歓迎する」をしてみよう。			魔導兵器のみる夢							
魔導アーマーが、わずかに反応したような気がするが……。はたしてこれで良いのだろうか。「ビッグス」に報告しよう。			魔導アーマーが、わずかに反応したような気がするが……。はたしてこれで良いのだろうか。「ビッグス」に報告しよう。			魔導兵器のみる夢							
帝国兵の手から魔導アーマーを守ることができた。魔導コアも正常に動きだしたように見えるが……。隠された工房の「シド」に報告しよう。			帝国兵の手から魔導アーマーを守ることができた。魔導コアも正常に動きだしたように見えるが……。隠された工房の「シド」に報告しよう。			魔導兵器のみる夢							
魔導アーマーが正常に起動し、作戦準備はすべて整った。いよいよ、ミンフィリアたちを奪還することになる。気を引き締めてかかろう。			魔導アーマーが正常に起動し、作戦準備はすべて整った。いよいよ、ミンフィリアたちを奪還することになる。気を引き締めてかかろう。			魔導兵器のみる夢							
ウェッジと話す			ウェッジと話す			魔導兵器のみる夢							
彫金師ギルドのセレンディピティーと話す			彫金師ギルドのセレンディピティーと話す			魔導兵器のみる夢							
隠された工房のウェッジに魔法人形のコアを渡す			隠された工房のウェッジに魔法人形のコアを渡す			魔導兵器のみる夢							
ウェッジと話す			ウェッジと話す			魔導兵器のみる夢							
魔導アーマーに乗って崩壊したキャンプの高台へ移動する			魔導アーマーに乗って崩壊したキャンプの高台へ移動する			魔導兵器のみる夢							
魔導アーマーに乗って崩壊したキャンプの北端へ移動する			魔導アーマーに乗って崩壊したキャンプの北端へ移動する			魔導兵器のみる夢							
魔導アーマーに乗ってウェッジの前へ移動する			魔導アーマーに乗ってウェッジの前へ移動する			魔導兵器のみる夢							
ウェッジと話す			ウェッジと話す			魔導兵器のみる夢							
魔導アーマーに「歓迎する」をする			魔導アーマーに「歓迎する」をする			魔導兵器のみる夢							
ビッグスと話す			ビッグスと話す			魔導兵器のみる夢							
シドに報告			シドに報告			魔導兵器のみる夢							
「魔導アーマー」の修理は順調に進んでいるぜ。完了まで、それほど時間もかからないだろう。……ただ、ひとつだけ問題があってな。			「魔導アーマー」の修理は順調に進んでいるぜ。完了まで、それほど時間もかからないだろう。……ただ、ひとつだけ問題があってな。			魔導兵器のみる夢							
やはり制御装置に使っている、魔導コアの損傷が激しいようだ。……もともと、これは脆い部品でもあるからな。			やはり制御装置に使っている、魔導コアの損傷が激しいようだ。……もともと、これは脆い部品でもあるからな。			魔導兵器のみる夢							
……コアとは、いわば頭脳だ。このまま無理に使い続けることもできなくはないが、入れ替えておいたほうが得策だろう。			……コアとは、いわば頭脳だ。このまま無理に使い続けることもできなくはないが、入れ替えておいたほうが得策だろう。			魔導兵器のみる夢							
このエオルゼアで帝国製と同じコアを作ることは難しいが、ウェッジが何か思いついたと言っていた。話を聞いてみてもらえるか。			このエオルゼアで帝国製と同じコアを作ることは難しいが、ウェッジが何か思いついたと言っていた。話を聞いてみてもらえるか。			魔導兵器のみる夢							
工房に入るのか？我々も気をつけているが、コッソリ入るのだぞ。			工房に入るのか？我々も気をつけているが、コッソリ入るのだぞ。			魔導兵器のみる夢							
「隠された工房」に入りますか？			「隠された工房」に入りますか？			魔導兵器のみる夢							
はい			はい			魔導兵器のみる夢							
いいえ			いいえ			魔導兵器のみる夢							
シド親方に聞いたッス？魔導アーマーの「魔導コア」が使いものにならない状態ッス……。			シド親方に聞いたッス？魔導アーマーの「魔導コア」が使いものにならない状態ッス……。			魔導兵器のみる夢							
コアは壊れやすい部品ッス。だから、破棄された帝国の魔導兵器からの回収は難しいと思うッス。			コアは壊れやすい部品ッス。だから、破棄された帝国の魔導兵器からの回収は難しいと思うッス。			魔導兵器のみる夢							
……そこで閃いたッス！魔導コアの代わりに、マメットに使われている、「魔法人形のコア」を使うッス！			……そこで閃いたッス！魔導コアの代わりに、マメットに使われている、「魔法人形のコア」を使うッス！			魔導兵器のみる夢							
人形が自律動作できるほどのコア……魔導アーマーの制御に使うくらいなら余裕なはずッス！			人形が自律動作できるほどのコア……魔導アーマーの制御に使うくらいなら余裕なはずッス！			魔導兵器のみる夢							
ウルダハの「彫金師ギルド」に連絡をしておいたから、「魔法人形のコア」を受け取ってきてほしいッス。……もしかしたら、いいお値段するかもッス……。			ウルダハの「彫金師ギルド」に連絡をしておいたから、「魔法人形のコア」を受け取ってきてほしいッス。……もしかしたら、いいお値段するかもッス……。			魔導兵器のみる夢							
どうもこんにちは！「彫金」についてお尋ねですか？			どうもこんにちは！「彫金」についてお尋ねですか？			魔導兵器のみる夢							
……あら、「魔法人形のコア」を？はい、ガーロンド・アイアンワークスのウェッジさまより、ご連絡を承っております。			……あら、「魔法人形のコア」を？はい、ガーロンド・アイアンワークスのウェッジさまより、ご連絡を承っております。			魔導兵器のみる夢							
あ、お代は結構ですよっ！実は先ほど、アルフィノさまからもご連絡がありました。なんでも、とても重要なことにご使用になるとか！			あ、お代は結構ですよっ！実は先ほど、アルフィノさまからもご連絡がありました。なんでも、とても重要なことにご使用になるとか！			魔導兵器のみる夢							
アルフィノさまには、先代からお世話になっているのです。ですから、当ギルドにある「魔法人形のコア」の中でも、とびっきりの一品をご用意させていただきました。			アルフィノさまには、先代からお世話になっているのです。ですから、当ギルドにある「魔法人形のコア」の中でも、とびっきりの一品をご用意させていただきました。			魔導兵器のみる夢							
こちらをお持ちください。みなさまのご武運をお祈りしておりますっ！			こちらをお持ちください。みなさまのご武運をお祈りしておりますっ！			魔導兵器のみる夢							
ウズウズ……早く「魔導アーマー」を起動させたいッス！「魔法人形のコア」は、手に入ったッス？			ウズウズ……早く「魔導アーマー」を起動させたいッス！「魔法人形のコア」は、手に入ったッス？			魔導兵器のみる夢							
おお、これッス！助かったッス！			おお、これッス！助かったッス！			魔導兵器のみる夢							
これは、かなり上等な代物ッス……。いいお値段したッス？　お金足りたッス？			これは、かなり上等な代物ッス……。いいお値段したッス？　お金足りたッス？			魔導兵器のみる夢							
なんと！？　アルフィノ様のおかげでタダ……ッス！？さすが、ルヴェユール家の御曹司……格の差ってのを感じるッス……。			なんと！？　アルフィノ様のおかげでタダ……ッス！？さすが、ルヴェユール家の御曹司……格の差ってのを感じるッス……。			魔導兵器のみる夢							
さて、こっちの準備はできてるッス。さっそく「魔導アーマー」に取り付けるッス！			さて、こっちの準備はできてるッス。さっそく「魔導アーマー」に取り付けるッス！			魔導兵器のみる夢							
できたッス。フッフー！　我ながら、いい腕前ッス！よし、魔導アーマー起動ッス！			できたッス。フッフー！　我ながら、いい腕前ッス！よし、魔導アーマー起動ッス！			魔導兵器のみる夢							
……あれ？この！			……あれ？この！			魔導兵器のみる夢							
今度こそ、魔導アーマー起動ッス！			今度こそ、魔導アーマー起動ッス！			魔導兵器のみる夢							
さっそく試運転ッス！具合を見るから、試し乗りしてほしいッス！			さっそく試運転ッス！具合を見るから、試し乗りしてほしいッス！			魔導兵器のみる夢							
さっそく試運転をするッス！まずは「魔導アーマー」に乗ってみるッス。			さっそく試運転をするッス！まずは「魔導アーマー」に乗ってみるッス。			魔導兵器のみる夢							
その辺りを何箇所か回ってみて、状態を見てみるッス。中央の高台を一番上まで登ってみるッス。			その辺りを何箇所か回ってみて、状態を見てみるッス。中央の高台を一番上まで登ってみるッス。			魔導兵器のみる夢							
もし、魔導アーマーから降りたときは、オイラに声をかけてくれれば試運転を再開するッス！			もし、魔導アーマーから降りたときは、オイラに声をかけてくれれば試運転を再開するッス！			魔導兵器のみる夢							
(-ウェッジ-)……ふむふむ「脚」は問題なし……ッス。バッチリッス！次はそこから飛び降りて、北に向かって全力疾走ッス！			(-ウェッジ-)……ふむふむ「脚」は問題なし……ッス。バッチリッス！次はそこから飛び降りて、北に向かって全力疾走ッス！			魔導兵器のみる夢							
魔導アーマーの試運転を再開するッス！さっそく乗るッス！			魔導アーマーの試運転を再開するッス！さっそく乗るッス！			魔導兵器のみる夢							
(-ウェッジ-)魔導アーマーに乗ってないと意味ないッス！試運転を再開するなら、オイラに声をかけてほしいッス！			(-ウェッジ-)魔導アーマーに乗ってないと意味ないッス！試運転を再開するなら、オイラに声をかけてほしいッス！			魔導兵器のみる夢							
試運転は、何度やっても緊張するな……。しかもシド親方に見られてるなんて、新米の頃を思い出すぜ。			試運転は、何度やっても緊張するな……。しかもシド親方に見られてるなんて、新米の頃を思い出すぜ。			魔導兵器のみる夢							
俺が戻ってから、最初の大物だ。ガーロンド・アイアンワークスの名にかけて、きっちり修理しないとな。			俺が戻ってから、最初の大物だ。ガーロンド・アイアンワークスの名にかけて、きっちり修理しないとな。			魔導兵器のみる夢							
(-ウェッジ-)……よしよし「膝」も問題なし……ッス。バッチリッス！最後に、こっちまで戻ってくるッス。			(-ウェッジ-)……よしよし「膝」も問題なし……ッス。バッチリッス！最後に、こっちまで戻ってくるッス。			魔導兵器のみる夢							
(-ウェッジ-)……うむうむ「腰」も問題なし……ッス。言うことなしッス、おつかれさまでしたッス！「魔導アーマー」を降りてほしいッス。			(-ウェッジ-)……うむうむ「腰」も問題なし……ッス。言うことなしッス、おつかれさまでしたッス！「魔導アーマー」を降りてほしいッス。			魔導兵器のみる夢							
駆動系はまずまずッス。あとでビッグスに調整してもらえば元通りッス。でも制御系が……。			駆動系はまずまずッス。あとでビッグスに調整してもらえば元通りッス。でも制御系が……。			魔導兵器のみる夢							
魔法人形のコアは、動作してるッス……。……でも、なんか正常には動いていないッス。			魔法人形のコアは、動作してるッス……。……でも、なんか正常には動いていないッス。			魔導兵器のみる夢							
もしかして、手荒く扱い過ぎたッス！？もっと歓迎しないとダメッス！？よし！　みんなで「魔導アーマー」を「歓迎する」ッス！			もしかして、手荒く扱い過ぎたッス！？もっと歓迎しないとダメッス！？よし！　みんなで「魔導アーマー」を「歓迎する」ッス！			魔導兵器のみる夢							
みんなで「魔導アーマー」を「歓迎する」ッス！ガーロンド・アイアンワークスへようこそッス！！			みんなで「魔導アーマー」を「歓迎する」ッス！ガーロンド・アイアンワークスへようこそッス！！			魔導兵器のみる夢							
……よ、ようこそ、ガーロンド・アイアンワークスへ……。「歓迎する」って……こ、こうかよウェッジ……？			……よ、ようこそ、ガーロンド・アイアンワークスへ……。「歓迎する」って……こ、こうかよウェッジ……？			魔導兵器のみる夢							
魔導兵器に「歓迎する」なんざ、ウェッジらしいな。コアには感情なんざ存在しないが、まぁ物に感謝するってのは、たしかに大事な心がけだぜ。			魔導兵器に「歓迎する」なんざ、ウェッジらしいな。コアには感情なんざ存在しないが、まぁ物に感謝するってのは、たしかに大事な心がけだぜ。			魔導兵器のみる夢							
…………。			…………。			魔導兵器のみる夢							
………………！			………………！			魔導兵器のみる夢							
…………。			…………。			魔導兵器のみる夢							
うーん、魔法人形のコアは動いているんだがなぁ。いったい何が原因だ……？……せっかくの歓迎も台無しだぜ。			うーん、魔法人形のコアは動いているんだがなぁ。いったい何が原因だ……？……せっかくの歓迎も台無しだぜ。			魔導兵器のみる夢							
駆動系は大丈夫だが、問題は制御装置か。……この「魔導アーマー」は、制御装置が操縦補助をしているんだ。			駆動系は大丈夫だが、問題は制御装置か。……この「魔導アーマー」は、制御装置が操縦補助をしているんだ。			魔導兵器のみる夢							
これがないと、細かな足回りの操作まで、全部手動で操縦しなくちゃならん。……そうなりゃ、操作に慣れるまで数年はかかる。			これがないと、細かな足回りの操作まで、全部手動で操縦しなくちゃならん。……そうなりゃ、操作に慣れるまで数年はかかる。			魔導兵器のみる夢							
お前が手に入れてくれた魔法人形のコアはしっかり動いてはいるんだが……。なぜか、現状だと半分も補助できていなくてな。			お前が手に入れてくれた魔法人形のコアはしっかり動いてはいるんだが……。なぜか、現状だと半分も補助できていなくてな。			魔導兵器のみる夢							
……ウェッジ。こいつが「眠っている」原因はわかるか？			……ウェッジ。こいつが「眠っている」原因はわかるか？			魔導兵器のみる夢							
原因不明でわからないッス……。なんだか「起きる」のを嫌がっているみたいッス。……こいつも寝不足ッス？			原因不明でわからないッス……。なんだか「起きる」のを嫌がっているみたいッス。……こいつも寝不足ッス？			魔導兵器のみる夢							
た、大変だ！シド親方、帝国のやつらが襲ってきた！			た、大変だ！シド親方、帝国のやつらが襲ってきた！			魔導兵器のみる夢							
なんだと！？クソッ、さすがにバレちまったか！			なんだと！？クソッ、さすがにバレちまったか！			魔導兵器のみる夢							
あったぞ、鹵獲されたリーパーだ！取り押さえろ！			あったぞ、鹵獲されたリーパーだ！取り押さえろ！			魔導兵器のみる夢							
なにッ！？……奴はシド・ナン・ガーロンド！？それに、例の冒険者ではないか！			なにッ！？……奴はシド・ナン・ガーロンド！？それに、例の冒険者ではないか！			魔導兵器のみる夢							
おい、本部へ連絡しろ！援軍を要請するんだ！			おい、本部へ連絡しろ！援軍を要請するんだ！			魔導兵器のみる夢							
そうは行くかよッ！			そうは行くかよッ！			魔導兵器のみる夢							
こちら調査隊！本部、応答願います！……本部？　本部、応答を！			こちら調査隊！本部、応答願います！……本部？　本部、応答を！			魔導兵器のみる夢							
ダ、ダメです！強力な妨害雷波が生じているもよう！通信できません！			ダ、ダメです！強力な妨害雷波が生じているもよう！通信できません！			魔導兵器のみる夢							
姑息な真似を！シドの仕業か……！			姑息な真似を！シドの仕業か……！			魔導兵器のみる夢							
ええいッ、かまわん！リーパーを破壊しろ！			ええいッ、かまわん！リーパーを破壊しろ！			魔導兵器のみる夢							
あの魔導兵器、やっかいだな……。いいか、なんとしても「魔導アーマー」を守るんだ！			あの魔導兵器、やっかいだな……。いいか、なんとしても「魔導アーマー」を守るんだ！			魔導兵器のみる夢							
（ＱＩＢ）			（ＱＩＢ）			魔導兵器のみる夢							
ビッグスと会話Ncut・戦闘後			ビッグスと会話Ncut・戦闘後			魔導兵器のみる夢							
シド親方ッ！見るッス……「魔導アーマー」が！			シド親方ッ！見るッス……「魔導アーマー」が！			魔導兵器のみる夢							
ようやく起きやがった！……これで、準備が整ったな。			ようやく起きやがった！……これで、準備が整ったな。			魔導兵器のみる夢							
Forename。いよいよだぜッ！			Forename。いよいよだぜッ！			魔導兵器のみる夢							
帝国の要塞「カストルム・セントリ」に潜入して、ミンフィリアを助けだすぞ！			帝国の要塞「カストルム・セントリ」に潜入して、ミンフィリアを助けだすぞ！			魔導兵器のみる夢							
フッフー！これで完成ッス！			フッフー！これで完成ッス！			魔導兵器のみる夢							
ようやく「魔導アーマー」がちゃんと起動したな！最終調整が残っているが、これはすぐに終わるだろう。			ようやく「魔導アーマー」がちゃんと起動したな！最終調整が残っているが、これはすぐに終わるだろう。			魔導兵器のみる夢							
すべての準備は完了……！さて、我らが姫様の救出に向かおうぜ！			すべての準備は完了……！さて、我らが姫様の救出に向かおうぜ！			魔導兵器のみる夢							
魔導アーマーを守って帝国兵を倒せ！			魔導アーマーを守って帝国兵を倒せ！			魔導兵器のみる夢							
リーパーを破壊せよ！反逆者どもの企みを阻止するのだ！			リーパーを破壊せよ！反逆者どもの企みを阻止するのだ！			魔導兵器のみる夢							
こいつの修理は、うちが預かってんだ。お前らには壊させねぇ！			こいつの修理は、うちが預かってんだ。お前らには壊させねぇ！			魔導兵器のみる夢							
やばいッス！　魔導アーマーを守ってほしいッス！			やばいッス！　魔導アーマーを守ってほしいッス！			魔導兵器のみる夢							
ああっ、魔導アーマーがやられてるッス！			ああっ、魔導アーマーがやられてるッス！			魔導兵器のみる夢							
まずいッス、やばいッス、壊されちゃうッス！			まずいッス、やばいッス、壊されちゃうッス！			魔導兵器のみる夢							
うぅ……魔導アーマー、修理不可能ッス……。			うぅ……魔導アーマー、修理不可能ッス……。			魔導兵器のみる夢							
よし！　増援はこない、そいつらで終わりだ！			よし！　増援はこない、そいつらで終わりだ！			魔導兵器のみる夢							
くっ……魔導アーマーを頼む……！			くっ……魔導アーマーを頼む……！			魔導兵器のみる夢							
レヴナンツトールのグラウムントは、計画を実行に移したいようだ。			レヴナンツトールのグラウムントは、計画を実行に移したいようだ。			魔導アーマーを奪取せよ！							
グラウムントから、魔導アーマー奪取計画の全容を聞いた。まずは哨戒中の帝国軍小隊にエモート「帝国式敬礼」をして、不穏分子に警戒するよう伝えよう。			グラウムントから、魔導アーマー奪取計画の全容を聞いた。まずは哨戒中の帝国軍小隊にエモート「帝国式敬礼」をして、不穏分子に警戒するよう伝えよう。			魔導アーマーを奪取せよ！							
哨戒中の小隊に、不穏分子についての情報を流した。「指定地点」に「帝国式発煙筒」を使い、小隊を誘き出そう。			哨戒中の小隊に、不穏分子についての情報を流した。「指定地点」に「帝国式発煙筒」を使い、小隊を誘き出そう。			魔導アーマーを奪取せよ！							
計画どおり「魔導アーマー」を奪取した。「レヴナンツトール」に戻り、隠された工房の「シド」に報告しよう。隠された工房へは「スラフボーン」が誘導してくれるはずだ。			計画どおり「魔導アーマー」を奪取した。「レヴナンツトール」に戻り、隠された工房の「シド」に報告しよう。隠された工房へは「スラフボーン」が誘導してくれるはずだ。			魔導アーマーを奪取せよ！							
「レヴナンツトール」のシドに報告した。奪取した魔導アーマーはビッグスとウェッジが修理しているそうだ。魔導アーマーの修理が終われば、いよいよ作戦決行だ。悔いのないよう、しっかり準備しておこう。			「レヴナンツトール」のシドに報告した。奪取した魔導アーマーはビッグスとウェッジが修理しているそうだ。魔導アーマーの修理が終われば、いよいよ作戦決行だ。悔いのないよう、しっかり準備しておこう。			魔導アーマーを奪取せよ！							
帝国兵の装備で哨戒部隊に「帝国式敬礼」をする			帝国兵の装備で哨戒部隊に「帝国式敬礼」をする			魔導アーマーを奪取せよ！							
指定地点に帝国式発煙筒を使う			指定地点に帝国式発煙筒を使う			魔導アーマーを奪取せよ！							
シドに報告			シドに報告			魔導アーマーを奪取せよ！							
さって、準備は整ったな……。こっちも「魔導アーマー」奪取の計画が立ったところだ。耳の穴かっぽじって、よく聞いてくれよ。			さって、準備は整ったな……。こっちも「魔導アーマー」奪取の計画が立ったところだ。耳の穴かっぽじって、よく聞いてくれよ。			魔導アーマーを奪取せよ！							
「カストルム・セントリ」の周辺を警戒する哨戒部隊は、魔導アーマーを配備していることが多い。			「カストルム・セントリ」の周辺を警戒する哨戒部隊は、魔導アーマーを配備していることが多い。			魔導アーマーを奪取せよ！							
だが、哨戒部隊の出入りは不定期なうえ、滅多にレヴナンツトールの方までは出張ってこない。警備が厳重になった最近でも、それは同じだ。			だが、哨戒部隊の出入りは不定期なうえ、滅多にレヴナンツトールの方までは出張ってこない。警備が厳重になった最近でも、それは同じだ。			魔導アーマーを奪取せよ！							
そこで少し前に、不穏分子が「カストルム・セントリ」を狙っているとの情報を匿名で流しておいた。これで哨戒の頻度も増えるはずだ。			そこで少し前に、不穏分子が「カストルム・セントリ」を狙っているとの情報を匿名で流しておいた。これで哨戒の頻度も増えるはずだ。			魔導アーマーを奪取せよ！							
その哨戒部隊に対し、帝国兵に扮して、「怪しいヤツが居る」とでも注意を促す。そうやって、できるだけここの近くまで誘導するんだ。			その哨戒部隊に対し、帝国兵に扮して、「怪しいヤツが居る」とでも注意を促す。そうやって、できるだけここの近くまで誘導するんだ。			魔導アーマーを奪取せよ！							
次に、帝国式の狼煙を焚く。そうすれば、緊急事態と察した哨戒部隊が、おっとり刀で駆けつけるだろうぜ。			次に、帝国式の狼煙を焚く。そうすれば、緊急事態と察した哨戒部隊が、おっとり刀で駆けつけるだろうぜ。			魔導アーマーを奪取せよ！							
そこを襲って奪取するって寸法さ。……どうだい、すげーあざむいちゃってるだろ！？			そこを襲って奪取するって寸法さ。……どうだい、すげーあざむいちゃってるだろ！？			魔導アーマーを奪取せよ！							
狼煙を焚くのには、こいつを使いな。さっきヤツらの荷物からかっぱらってきた、「帝国式発煙筒」だ。			狼煙を焚くのには、こいつを使いな。さっきヤツらの荷物からかっぱらってきた、「帝国式発煙筒」だ。			魔導アーマーを奪取せよ！							
……っと、もうすぐ哨戒部隊が見回る時間だ。どーんと行って、どーんと奪ってこい！			……っと、もうすぐ哨戒部隊が見回る時間だ。どーんと行って、どーんと奪ってこい！			魔導アーマーを奪取せよ！							
よう、見回りか？お互いご苦労さんだな。早く任務を終えて、国へ帰りたいよ。			よう、見回りか？お互いご苦労さんだな。早く任務を終えて、国へ帰りたいよ。			魔導アーマーを奪取せよ！							
不穏分子なんてただの噂だろ？「カストルム・セントリ」を襲おうなんて馬鹿な奴はいないよ。			不穏分子なんてただの噂だろ？「カストルム・セントリ」を襲おうなんて馬鹿な奴はいないよ。			魔導アーマーを奪取せよ！							
おらおら！　働け！さっさと哨戒を済ませれば、それだけ早く帰れるんだ！……おら、働け！			おらおら！　働け！さっさと哨戒を済ませれば、それだけ早く帰れるんだ！……おら、働け！			魔導アーマーを奪取せよ！							
