朋友の灯火のエレンヴィルは、何やら注意を促したいようだ。			朋友の灯火のエレンヴィルは、何やら注意を促したいようだ。			捕集の民、モブリン族							
報告によれば、兵の姿を見つけた盗賊たちは、不可解にも逃げることなく、挑発してきたというのだ。			報告によれば、兵の姿を見つけた盗賊たちは、不可解にも逃げることなく、挑発してきたというのだ。			調査！ 盗賊団を探せ							
あいつらは、ウチの村から盗んだ特別な祭器を持っててね。そこに秘められた力を使って、身を守ってるの。			あいつらは、ウチの村から盗んだ特別な祭器を持っててね。そこに秘められた力を使って、身を守ってるの。			調査！ 盗賊団を探せ							
そして、護りの力は、意図的に解き放つことで衝撃波を発生させることもできる……。それで闘士さんを倒すために、あえて挑発したのかも。			そして、護りの力は、意図的に解き放つことで衝撃波を発生させることもできる……。それで闘士さんを倒すために、あえて挑発したのかも。			調査！ 盗賊団を探せ							
なるほど……報告の状況と一致するな。情報に感謝するよ、お嬢さん。			なるほど……報告の状況と一致するな。情報に感謝するよ、お嬢さん。			調査！ 盗賊団を探せ							
(-？？？？-)あのー……もし？			(-？？？？-)あのー……もし？			調査！ 盗賊団を探せ							
君たちは？			君たちは？			調査！ 盗賊団を探せ							
(-揚々とした行商人-)僕は、キャラバンを率いる行商人です！生まれはグリダニアですが、ウルダハで商売を学び、いまはエオルゼアを巡る行商を生業にしておりましてねぇ！			(-揚々とした行商人-)僕は、キャラバンを率いる行商人です！生まれはグリダニアですが、ウルダハで商売を学び、いまはエオルゼアを巡る行商を生業にしておりましてねぇ！			調査！ 盗賊団を探せ							
(-揚々とした行商人-)その盗賊団の噂は僕たちも聞いてるもんで、つい。まったく恐ろしいったらありゃしませんよねぇ！			(-揚々とした行商人-)その盗賊団の噂は僕たちも聞いてるもんで、つい。まったく恐ろしいったらありゃしませんよねぇ！			調査！ 盗賊団を探せ							
(-揚々とした行商人-)それでね、僕たち行商人の間じゃ、街道上の危険な場所の情報を共有しあってるんですよ。盗賊団が、よく現れるって噂の場所に案内しましょうか？			(-揚々とした行商人-)それでね、僕たち行商人の間じゃ、街道上の危険な場所の情報を共有しあってるんですよ。盗賊団が、よく現れるって噂の場所に案内しましょうか？			調査！ 盗賊団を探せ							
えー！　ご親切にどうもありがとー！渡りに船ってやつだ、ぜひ連れていって！			えー！　ご親切にどうもありがとー！渡りに船ってやつだ、ぜひ連れていって！			調査！ 盗賊団を探せ							
待つんだ、お嬢さん。解放者殿ならまだしも、そんな危険な場所へ一般人が向かうのは、近辺の警備を行う身からは看過できないよ。			待つんだ、お嬢さん。解放者殿ならまだしも、そんな危険な場所へ一般人が向かうのは、近辺の警備を行う身からは看過できないよ。			調査！ 盗賊団を探せ							
じゃあ、Forenameちゃん、悪いんだけど、あなたに行ってきてもらっていい？確かにウチ、戦う技術はからっきしなの……！			じゃあ、Forenameちゃん、悪いんだけど、あなたに行ってきてもらっていい？確かにウチ、戦う技術はからっきしなの……！			調査！ 盗賊団を探せ							
代わりに、この人たちからもっとお話を聞いておくから！ね、お願い！			代わりに、この人たちからもっとお話を聞いておくから！ね、お願い！			調査！ 盗賊団を探せ							
(-揚々とした行商人-)では君たち、こちらの冒険者さんを案内したまえ。			(-揚々とした行商人-)では君たち、こちらの冒険者さんを案内したまえ。			調査！ 盗賊団を探せ							
わ、わかりました……！			わ、わかりました……！			調査！ 盗賊団を探せ							
では、自分たちについてきてください！もし盗賊が現れたら守ってくださいね……？			では、自分たちについてきてください！もし盗賊が現れたら守ってくださいね……？			調査！ 盗賊団を探せ							
(-揚々とした行商人-)ああ、ひとり引き離したからそいつは頼む。			(-揚々とした行商人-)ああ、ひとり引き離したからそいつは頼む。			調査！ 盗賊団を探せ							
(-揚々とした行商人-)……なに？僕に頼りっぱなしだからお前たちはダメなんだ！たまには自分たちだけでやってみせろ！			(-揚々とした行商人-)……なに？僕に頼りっぱなしだからお前たちはダメなんだ！たまには自分たちだけでやってみせろ！			調査！ 盗賊団を探せ							
ウチはこの人たちからお話を聞いておくから、盗賊がでる場所の確認をお願い！気をつけてねー！			ウチはこの人たちからお話を聞いておくから、盗賊がでる場所の確認をお願い！気をつけてねー！			調査！ 盗賊団を探せ							
もしも盗賊が本当に現れたら、ためらわずに打ちのめしてくれ。解放者殿にとっては造作もないだろうし、そのあとの捕縛は我々が承ろう。			もしも盗賊が本当に現れたら、ためらわずに打ちのめしてくれ。解放者殿にとっては造作もないだろうし、そのあとの捕縛は我々が承ろう。			調査！ 盗賊団を探せ							
(-揚々とした行商人-)僕たちは幸運なことに、盗賊の被害に遭ったことはありません。いやはや、護衛費をケチったキャラバンなんかが、狙われているんじゃないですか？			(-揚々とした行商人-)僕たちは幸運なことに、盗賊の被害に遭ったことはありません。いやはや、護衛費をケチったキャラバンなんかが、狙われているんじゃないですか？			調査！ 盗賊団を探せ							
ひいっ！？あ、すみませんびっくりして……。護衛もなしに出歩くのは怖いですね……。			ひいっ！？あ、すみませんびっくりして……。護衛もなしに出歩くのは怖いですね……。			調査！ 盗賊団を探せ							
ああ、ちゃんと来てくれたんですね……！この先が、よく盗賊が現れると噂されている場所ですよ。			ああ、ちゃんと来てくれたんですね……！この先が、よく盗賊が現れると噂されている場所ですよ。			調査！ 盗賊団を探せ							
もしご関心があるなら、先に行って見てきたらどうでしょう？自分たちは怖いので、ここで待たせてもらいますが……！			もしご関心があるなら、先に行って見てきたらどうでしょう？自分たちは怖いので、ここで待たせてもらいますが……！			調査！ 盗賊団を探せ							
自分たちはここで待ってます……！盗賊が出てくるかどうか、どうぞ先に行って確認してみてください……！			自分たちはここで待ってます……！盗賊が出てくるかどうか、どうぞ先に行って確認してみてください……！			調査！ 盗賊団を探せ							
もう動けない…			もう動けない…			調査！ 盗賊団を探せ							
参りました…			参りました…			調査！ 盗賊団を探せ							
許してぇ…			許してぇ…			調査！ 盗賊団を探せ							
えっ、戻ってき、た……？			えっ、戻ってき、た……？			調査！ 盗賊団を探せ							
えっ、あっ、盗賊倒せちゃったんですか……！？ひえぇ……！			えっ、あっ、盗賊倒せちゃったんですか……！？ひえぇ……！			調査！ 盗賊団を探せ							
あっ、あの、じゃあ……！ポルタ・プレトリアに残ってる、私たちのリーダーに連絡していいですか？			あっ、あの、じゃあ……！ポルタ・プレトリアに残ってる、私たちのリーダーに連絡していいですか？			調査！ 盗賊団を探せ							
そばにはお連れさんや将校さんもいたはずですし、いったん……！			そばにはお連れさんや将校さんもいたはずですし、いったん……！			調査！ 盗賊団を探せ							
……実は…………護衛さんが勝っ……。…………は、はいっ！			……実は…………護衛さんが勝っ……。…………は、はいっ！			調査！ 盗賊団を探せ							
皆さんこっちに来てくれるそうです……！			皆さんこっちに来てくれるそうです……！			調査！ 盗賊団を探せ							
行商人さんに連絡が入ったって、いったい何があったのー？			行商人さんに連絡が入ったって、いったい何があったのー？			調査！ 盗賊団を探せ							
盗賊らしき者たちを返り討ちにしただって！？ありがとう、自分は現場に向かうよ！			盗賊らしき者たちを返り討ちにしただって！？ありがとう、自分は現場に向かうよ！			調査！ 盗賊団を探せ							
(-揚々とした行商人-)いやはや、お強い方なんですねぇ！まさかご案内した先で、本当に盗賊が現れるとは！お怪我がなくてなにより、ですよ！			(-揚々とした行商人-)いやはや、お強い方なんですねぇ！まさかご案内した先で、本当に盗賊が現れるとは！お怪我がなくてなにより、ですよ！			調査！ 盗賊団を探せ							
あなたたちも、危ないところを案内してくれてありがと！ほんとにケガとかしてない？			あなたたちも、危ないところを案内してくれてありがと！ほんとにケガとかしてない？			調査！ 盗賊団を探せ							
すごく怯えてるように見えるけど……。もしかして無理して、頑張ってくれたんじゃない？			すごく怯えてるように見えるけど……。もしかして無理して、頑張ってくれたんじゃない？			調査！ 盗賊団を探せ							
あっ、えっと、大丈夫です……！			あっ、えっと、大丈夫です……！			調査！ 盗賊団を探せ							
(-揚々とした行商人-)じゃあ自分たちは失礼しますよ！さっさとアラミガン・クォーターまで荷物を運ばないと！			(-揚々とした行商人-)じゃあ自分たちは失礼しますよ！さっさとアラミガン・クォーターまで荷物を運ばないと！			調査！ 盗賊団を探せ							
(-揚々とした行商人-)おかげで盗賊もしばらくは現れないだろうし？おふたりも、危険に首を突っ込むのは、そこそこにした方がいいですよ、では！			(-揚々とした行商人-)おかげで盗賊もしばらくは現れないだろうし？おふたりも、危険に首を突っ込むのは、そこそこにした方がいいですよ、では！			調査！ 盗賊団を探せ							
じゃあウチらも、とりあえず「ポルタ・プレトリア」に戻ろっか！			じゃあウチらも、とりあえず「ポルタ・プレトリア」に戻ろっか！			調査！ 盗賊団を探せ							
手伝ってくれたり、でも急いで行っちゃったり……ちょっと不思議だけど、親切な商人さんたちだったね！			手伝ってくれたり、でも急いで行っちゃったり……ちょっと不思議だけど、親切な商人さんたちだったね！			調査！ 盗賊団を探せ							
Forenameちゃんが無事でなによりだし、盗賊は、将校さんが捕まえてくれてるだろうし……。			Forenameちゃんが無事でなによりだし、盗賊は、将校さんが捕まえてくれてるだろうし……。			調査！ 盗賊団を探せ							
そういえば、捕まえた盗賊ってどうなるんだろうね？頭目への手がかりが聞けたりしたらいいんだけど……。			そういえば、捕まえた盗賊ってどうなるんだろうね？頭目への手がかりが聞けたりしたらいいんだけど……。			調査！ 盗賊団を探せ							
八分儀広場南のローシュカナは、冒険者に相談したいことがあるようだ。			八分儀広場南のローシュカナは、冒険者に相談したいことがあるようだ。			駆け出し冒険者の毒薬騒動							
ローシュカナたちと話した。祭器を盗んだ犯人の足取りが判明した。西ラノシアのエールポートへ向かい、「ローシュカナ」と合流しよう。			ローシュカナたちと話した。祭器を盗んだ犯人の足取りが判明した。西ラノシアのエールポートへ向かい、「ローシュカナ」と合流しよう。			駆け出し冒険者の毒薬騒動							
ローシュカナと合流した。彼女は、犯人の行方について話を聞くことができそうな人物について、船頭から教わったという。エールポートの「エールポートの商人」と話そう。			ローシュカナと合流した。彼女は、犯人の行方について話を聞くことができそうな人物について、船頭から教わったという。エールポートの「エールポートの商人」と話そう。			駆け出し冒険者の毒薬騒動							
エールポートの商人と話した。犯人と思しき行商人が、駆け出し冒険者のウィスルムとゼリグに錬金薬を売っていたという。西ラノシアのクォーターストーンで「ウィスルム」たちを探し、襲われていたら敵を討伐しよう。			エールポートの商人と話した。犯人と思しき行商人が、駆け出し冒険者のウィスルムとゼリグに錬金薬を売っていたという。西ラノシアのクォーターストーンで「ウィスルム」たちを探し、襲われていたら敵を討伐しよう。			駆け出し冒険者の毒薬騒動							
ウィスルムたちを襲う魔法人形を討伐した。クォーターストーンの「ウィスルム」を救助しよう。			ウィスルムたちを襲う魔法人形を討伐した。クォーターストーンの「ウィスルム」を救助しよう。			駆け出し冒険者の毒薬騒動							
ウィスルムを救助した。彼の相棒であるゼリグは、飲んだ錬金薬が不良品だったのか、しゃっくりが止まらないという。クォーターストーンの「ゼリグ」に「エスナ」をかけよう。			ウィスルムを救助した。彼の相棒であるゼリグは、飲んだ錬金薬が不良品だったのか、しゃっくりが止まらないという。クォーターストーンの「ゼリグ」に「エスナ」をかけよう。			駆け出し冒険者の毒薬騒動							
ゼリグにエスナをかけた。冒険者たちの前に、ローシュカナの故郷から祭器を盗み、ウィスルムとゼリグに毒を付与した錬金薬を売った犯人が現れた。エルレットとココノワと名乗った犯人たちは、煙幕を焚いて引き揚げていった。リムサ・ロミンサへ戻り、八分儀広場南の「ローシュカナ」と話そう。			ゼリグにエスナをかけた。冒険者たちの前に、ローシュカナの故郷から祭器を盗み、ウィスルムとゼリグに毒を付与した錬金薬を売った犯人が現れた。エルレットとココノワと名乗った犯人たちは、煙幕を焚いて引き揚げていった。リムサ・ロミンサへ戻り、八分儀広場南の「ローシュカナ」と話そう。			駆け出し冒険者の毒薬騒動							
ローシュカナと話した。新たな情報が入るのを待って、再び彼女のもとを訪ねよう。※いずれかのHEALERジョブのレベルが94以上になると、八分儀広場南のローシュカナから次のHEALERロールクエストを受注することができます。			ローシュカナと話した。新たな情報が入るのを待って、再び彼女のもとを訪ねよう。※いずれかのHEALERジョブのレベルが94以上になると、八分儀広場南のローシュカナから次のHEALERロールクエストを受注することができます。			駆け出し冒険者の毒薬騒動							
エールポートのローシュカナと話す			エールポートのローシュカナと話す			駆け出し冒険者の毒薬騒動							
エールポートの商人と話す			エールポートの商人と話す			駆け出し冒険者の毒薬騒動							
ウィスルムたちを探して、襲われていたら敵を討伐			ウィスルムたちを探して、襲われていたら敵を討伐			駆け出し冒険者の毒薬騒動							
ウィスルムを救助			ウィスルムを救助			駆け出し冒険者の毒薬騒動							
ゼリグにエスナをする			ゼリグにエスナをする			駆け出し冒険者の毒薬騒動							
リムサ・ロミンサのローシュカナと話す			リムサ・ロミンサのローシュカナと話す			駆け出し冒険者の毒薬騒動							
Forename、ちょっと相談してもいいかしら？			Forename、ちょっと相談してもいいかしら？			駆け出し冒険者の毒薬騒動							
実はね、ここで麻痺している人が倒れていた事件のあと、犯人たちの動きがまったくないのよ。			実はね、ここで麻痺している人が倒れていた事件のあと、犯人たちの動きがまったくないのよ。			駆け出し冒険者の毒薬騒動							
悪さが収まったと考えればいいことではあるものの、犯人探しの手がかりが途絶えたも同然……どうしたものかと、困っちゃってね。			悪さが収まったと考えればいいことではあるものの、犯人探しの手がかりが途絶えたも同然……どうしたものかと、困っちゃってね。			駆け出し冒険者の毒薬騒動							
Surname殿～！			Surname殿～！			駆け出し冒険者の毒薬騒動							
例の犯人について、情報が入りましたよ！果物売りの行商人と目されるララフェル族の男性が、ヒューラン族の女性を伴って、都市を出る姿が目撃されたのです！			例の犯人について、情報が入りましたよ！果物売りの行商人と目されるララフェル族の男性が、ヒューラン族の女性を伴って、都市を出る姿が目撃されたのです！			駆け出し冒険者の毒薬騒動							
ふたりはエールポート方面に向かったとのこと。我々イエロージャケットや市民が警戒を強めていたので、リムサ・ロミンサでは動きづらくなったのかもしれませんね！			ふたりはエールポート方面に向かったとのこと。我々イエロージャケットや市民が警戒を強めていたので、リムサ・ロミンサでは動きづらくなったのかもしれませんね！			駆け出し冒険者の毒薬騒動							
エールポート……？それも、この島にある場所なのかしら。			エールポート……？それも、この島にある場所なのかしら。			駆け出し冒険者の毒薬騒動							
あ、そうです！西ラノシアにある港町で、徒歩で向かうこともできますけど、漁師ギルド近くから出ている船便でも行けますよ。			あ、そうです！西ラノシアにある港町で、徒歩で向かうこともできますけど、漁師ギルド近くから出ている船便でも行けますよ。			駆け出し冒険者の毒薬騒動							
むろん、我々も引き続き警戒を続けていきますが、経験豊富な冒険者でもあられるSurname殿に、犯人を追跡していただけるのなら心強いというもの……。			むろん、我々も引き続き警戒を続けていきますが、経験豊富な冒険者でもあられるSurname殿に、犯人を追跡していただけるのなら心強いというもの……。			駆け出し冒険者の毒薬騒動							
事件の調査を続けられるのであれば、ぜひ、エールポートに向かってみてください！			事件の調査を続けられるのであれば、ぜひ、エールポートに向かってみてください！			駆け出し冒険者の毒薬騒動							
Surname殿、ご一緒できて光栄でした！おふたりとも、どうかお気をつけて！			Surname殿、ご一緒できて光栄でした！おふたりとも、どうかお気をつけて！			駆け出し冒険者の毒薬騒動							
イエロージャケットというのは、ここを守る人たちなのよね？そういう人から頼りにされてるなんて、Forenameはすごいわ。			イエロージャケットというのは、ここを守る人たちなのよね？そういう人から頼りにされてるなんて、Forenameはすごいわ。			駆け出し冒険者の毒薬騒動							
遠い異国の地で祭器を取り戻せるか不安だったけど、アナタと、さっきの彼女のおかげで一歩前進よ！			遠い異国の地で祭器を取り戻せるか不安だったけど、アナタと、さっきの彼女のおかげで一歩前進よ！			駆け出し冒険者の毒薬騒動							
犯人たちがさらに移動してしまう前に、さっそくその港町へ出発しましょう！			犯人たちがさらに移動してしまう前に、さっそくその港町へ出発しましょう！			駆け出し冒険者の毒薬騒動							
ワタシは、船でエールポートへ向かうわね。アナタも追跡の準備を整えたら、現地に来てくれると助かるわ。			ワタシは、船でエールポートへ向かうわね。アナタも追跡の準備を整えたら、現地に来てくれると助かるわ。			駆け出し冒険者の毒薬騒動							
ああ、Forename！初めての場所で心配だったけど、無事に合流できてよかった。			ああ、Forename！初めての場所で心配だったけど、無事に合流できてよかった。			駆け出し冒険者の毒薬騒動							
移動中、船頭といろいろとお話しして、エールポート周辺の地理についても教わっておいたわ。犯人の追跡中に、道に迷ったら大変だからね。			移動中、船頭といろいろとお話しして、エールポート周辺の地理についても教わっておいたわ。犯人の追跡中に、道に迷ったら大変だからね。			駆け出し冒険者の毒薬騒動							
あと、行商人の二人組を乗せなかったか聞いてみたけど、珍しい種族の組み合わせではないから、わからないって。			あと、行商人の二人組を乗せなかったか聞いてみたけど、珍しい種族の組み合わせではないから、わからないって。			駆け出し冒険者の毒薬騒動							
そのかわりに、耳寄りな情報をもらったわ。エールポートで長らく働いている商人がいるそうでね、港に出入りしている人のことなら知ってるかもしれないと。			そのかわりに、耳寄りな情報をもらったわ。エールポートで長らく働いている商人がいるそうでね、港に出入りしている人のことなら知ってるかもしれないと。			駆け出し冒険者の毒薬騒動							
相変わらず、手がかりは多くないけど、なんとか犯人の尻尾を掴みたいわね……。			相変わらず、手がかりは多くないけど、なんとか犯人の尻尾を掴みたいわね……。			駆け出し冒険者の毒薬騒動							
ひとまず、その「エールポートの商人」と話してみましょう。この時間なら、スカルバレー側の門の近くで、お仕事をしているそうよ。			ひとまず、その「エールポートの商人」と話してみましょう。この時間なら、スカルバレー側の門の近くで、お仕事をしているそうよ。			駆け出し冒険者の毒薬騒動							
船頭が言っていた「エールポートの商人」は、この人みたいね。			船頭が言っていた「エールポートの商人」は、この人みたいね。			駆け出し冒険者の毒薬騒動							
おや、何か入用か？			おや、何か入用か？			駆け出し冒険者の毒薬騒動							
ララフェル族の男と、ヒューラン族の女……ああ、その組み合わせの行商人だったらさっき見たぞ。知らない顔だったから、印象に残ってなぁ。			ララフェル族の男と、ヒューラン族の女……ああ、その組み合わせの行商人だったらさっき見たぞ。知らない顔だったから、印象に残ってなぁ。			駆け出し冒険者の毒薬騒動							
駆け出しの冒険者相手に、安価で錬金薬を売っていた。新米の支援がてら、必需品を安く売るヤツがたまにいるんだ。			駆け出しの冒険者相手に、安価で錬金薬を売っていた。新米の支援がてら、必需品を安く売るヤツがたまにいるんだ。			駆け出し冒険者の毒薬騒動							
錬金薬を……？その行商人がワタシたちの追っている人だとしたら、薬に何か仕込んでいる可能性があるわ。			錬金薬を……？その行商人がワタシたちの追っている人だとしたら、薬に何か仕込んでいる可能性があるわ。			駆け出し冒険者の毒薬騒動							
おいおい、それは本当なのか？薬を買った冒険者……斧術士のウィスルムと幻術士のゼリグなら、農民の護衛を引き受けて、ここを発ったところだぞ。			おいおい、それは本当なのか？薬を買った冒険者……斧術士のウィスルムと幻術士のゼリグなら、農民の護衛を引き受けて、ここを発ったところだぞ。			駆け出し冒険者の毒薬騒動							
たしか、スウィフトパーチ入植地まで行くと言っていた。彼らはとても気のいいヤツらなんだ……追いかけてやってもらえないか？			たしか、スウィフトパーチ入植地まで行くと言っていた。彼らはとても気のいいヤツらなんだ……追いかけてやってもらえないか？			駆け出し冒険者の毒薬騒動							
ええ、わかったわ！			ええ、わかったわ！			駆け出し冒険者の毒薬騒動							
たしか、「スウィフトパーチ入植地」はここから南東よね？Forename、急いで追いかけましょう！			たしか、「スウィフトパーチ入植地」はここから南東よね？Forename、急いで追いかけましょう！			駆け出し冒険者の毒薬騒動							
俺は商談でここを離れてしまうが、「スウィフトパーチ入植地」へ向かったふたりを、どうか頼む。			俺は商談でここを離れてしまうが、「スウィフトパーチ入植地」へ向かったふたりを、どうか頼む。			駆け出し冒険者の毒薬騒動							
Forename、どこからかわからないけど、視線を感じるわ。今もまだ、何かに「見られている」ような……。			Forename、どこからかわからないけど、視線を感じるわ。今もまだ、何かに「見られている」ような……。			駆け出し冒険者の毒薬騒動							
しゃっくりが、ひっく、止まらなっ……。「ウィスルム」を、ひっく、助けてやって……ひっく！			しゃっくりが、ひっく、止まらなっ……。「ウィスルム」を、ひっく、助けてやって……ひっく！			駆け出し冒険者の毒薬騒動							
あ、危ないところでした……。助けてくださって、ありがとうございます！			あ、危ないところでした……。助けてくださって、ありがとうございます！			駆け出し冒険者の毒薬騒動							
ふぅ……。ありがとよ、もう大丈夫だ！			ふぅ……。ありがとよ、もう大丈夫だ！			駆け出し冒険者の毒薬騒動							
エールポートで買った錬金薬が不良品だったのか、相棒が飲んだら、しゃっくりが止まんなくなっちまってな。魔法も唱えられなくなって、焦ったぜ……。			エールポートで買った錬金薬が不良品だったのか、相棒が飲んだら、しゃっくりが止まんなくなっちまってな。魔法も唱えられなくなって、焦ったぜ……。			駆け出し冒険者の毒薬騒動							
ひっく……。			ひっく……。			駆け出し冒険者の毒薬騒動							
そのしゃっくりが毒によるものだとしたら、リムサ・ロミンサのときと同じで、エスナで治せるはずよ。			そのしゃっくりが毒によるものだとしたら、リムサ・ロミンサのときと同じで、エスナで治せるはずよ。			駆け出し冒険者の毒薬騒動							
毒だぁ！？……いやいやっ、その話は後回しだな！			毒だぁ！？……いやいやっ、その話は後回しだな！			駆け出し冒険者の毒薬騒動							
助けてもらったってのに、さらに図々しいこと言っちまうが、こいつ……ゼリグに「エスナ」を頼めねぇか？			助けてもらったってのに、さらに図々しいこと言っちまうが、こいつ……ゼリグに「エスナ」を頼めねぇか？			駆け出し冒険者の毒薬騒動							
助けてもらっておいて図々しいこと言っちまうけど、ゼリグに「エスナ」を頼めねぇか？			助けてもらっておいて図々しいこと言っちまうけど、ゼリグに「エスナ」を頼めねぇか？			駆け出し冒険者の毒薬騒動							
ゼリグのしゃっくりが毒によるものだとしたら、リムサ・ロミンサのときと同じで、エスナで治せるはずよ。周囲の警戒はワタシに任せて、アナタは彼を癒やしてあげて。			ゼリグのしゃっくりが毒によるものだとしたら、リムサ・ロミンサのときと同じで、エスナで治せるはずよ。周囲の警戒はワタシに任せて、アナタは彼を癒やしてあげて。			駆け出し冒険者の毒薬騒動							
ひっく……。			ひっく……。			駆け出し冒険者の毒薬騒動							
ゼリグは、しゃっくりが止まらず困っているようだ。「エスナ」を使って治そう。			ゼリグは、しゃっくりが止まらず困っているようだ。「エスナ」を使って治そう。			駆け出し冒険者の毒薬騒動							
すまない、助かった。			すまない、助かった。			駆け出し冒険者の毒薬騒動							
ったく、どうして魔法人形なんかがいやがったんだ？それにあの行商人……妙な錬金薬を売りつけやがって！			ったく、どうして魔法人形なんかがいやがったんだ？それにあの行商人……妙な錬金薬を売りつけやがって！			駆け出し冒険者の毒薬騒動							
そこにいるのは、誰？			そこにいるのは、誰？			駆け出し冒険者の毒薬騒動							
(-？？？？-)えぇ、怖ぁ～い！どうして気づくかなぁ……？			(-？？？？-)えぇ、怖ぁ～い！どうして気づくかなぁ……？			駆け出し冒険者の毒薬騒動							
あっ、てめぇ！俺らに錬金薬を売った行商人じゃねえか！			あっ、てめぇ！俺らに錬金薬を売った行商人じゃねえか！			駆け出し冒険者の毒薬騒動							
(-ヒューラン族の女-)薬に沈黙の毒を仕込んだはずなのに、しゃっくりし始めるから、笑っちゃったわ！			(-ヒューラン族の女-)薬に沈黙の毒を仕込んだはずなのに、しゃっくりし始めるから、笑っちゃったわ！			駆け出し冒険者の毒薬騒動							
(-ララフェル族の男-)毒が薬の成分と混ざって、変な風に作用したのでは？まあ、面白かったからいいんじゃないですかね。			(-ララフェル族の男-)毒が薬の成分と混ざって、変な風に作用したのでは？まあ、面白かったからいいんじゃないですかね。			駆け出し冒険者の毒薬騒動							
毒……！やっぱり、アナタたちが祭器を奪った「自由の扉」の一味ね！			毒……！やっぱり、アナタたちが祭器を奪った「自由の扉」の一味ね！			駆け出し冒険者の毒薬騒動							
(-ヒューラン族の女-)ふぅん、その名前を知ってるんだ！それなら、ここは名乗りを上げておこうかなぁ～？			(-ヒューラン族の女-)ふぅん、その名前を知ってるんだ！それなら、ここは名乗りを上げておこうかなぁ～？			駆け出し冒険者の毒薬騒動							
私は自由の扉の一員にして、腕利きの錬金術師「エルレット」よ！			私は自由の扉の一員にして、腕利きの錬金術師「エルレット」よ！			駆け出し冒険者の毒薬騒動							
どうも、お姉さんたち。エルレットの助手をやっている、彫金師の「ココノワ」です。			どうも、お姉さんたち。エルレットの助手をやっている、彫金師の「ココノワ」です。			駆け出し冒険者の毒薬騒動							
あ、もしかしてお姉さんってば、あの部族の人？祭器を取り返すために、わざわざ長旅ご苦労さま～！			あ、もしかしてお姉さんってば、あの部族の人？祭器を取り返すために、わざわざ長旅ご苦労さま～！			駆け出し冒険者の毒薬騒動							
祭器で毒を盛るなんて、目的は何……？これも、自由の扉が狙っている「国家転覆」のためだというの？			祭器で毒を盛るなんて、目的は何……？これも、自由の扉が狙っている「国家転覆」のためだというの？			駆け出し冒険者の毒薬騒動							
あっは、たしかにウチの組織はそんな目標掲げてるけど、正直言って、そういうの興味なくって～。			あっは、たしかにウチの組織はそんな目標掲げてるけど、正直言って、そういうの興味なくって～。			駆け出し冒険者の毒薬騒動							
私はただ、趣味の「イタズラ」を楽しんでるだけ！この祭器って、扱いに慣れてくると、使える毒の種類も強度も増えるし、ほんと面白いよねぇ！			私はただ、趣味の「イタズラ」を楽しんでるだけ！この祭器って、扱いに慣れてくると、使える毒の種類も強度も増えるし、ほんと面白いよねぇ！			駆け出し冒険者の毒薬騒動							
お姉さんのお友だちは腕のいい癒やし手みたいだけど……もう少し練習すれば、簡単には解毒できない強烈なヤツも、使えるようになったりして～！			お姉さんのお友だちは腕のいい癒やし手みたいだけど……もう少し練習すれば、簡単には解毒できない強烈なヤツも、使えるようになったりして～！			駆け出し冒険者の毒薬騒動							
さてと、イタズラも成功したことだし、そろそろ帰ろ～っと！それじゃあ、またねぇ～！			さてと、イタズラも成功したことだし、そろそろ帰ろ～っと！それじゃあ、またねぇ～！			駆け出し冒険者の毒薬騒動							
待ちなさい！			待ちなさい！			駆け出し冒険者の毒薬騒動							
くっせえ！煙幕もひでえ臭いとか、嫌がらせにもほどがあんだろ！			くっせえ！煙幕もひでえ臭いとか、嫌がらせにもほどがあんだろ！			駆け出し冒険者の毒薬騒動							
ああ、つらい……心も体もつらい……。黒衣森の清らかな空気が恋しい……。			ああ、つらい……心も体もつらい……。黒衣森の清らかな空気が恋しい……。			駆け出し冒険者の毒薬騒動							
おいおい、しっかりしてくれよ相棒！ヤツらもいなくなったし、依頼人を送り届けてやんねぇと。			おいおい、しっかりしてくれよ相棒！ヤツらもいなくなったし、依頼人を送り届けてやんねぇと。			駆け出し冒険者の毒薬騒動							
護衛の最中だったからよ、俺らはそろそろ出発するわ。助けてくれて感謝してるぜ、えーっと……。			護衛の最中だったからよ、俺らはそろそろ出発するわ。助けてくれて感謝してるぜ、えーっと……。			駆け出し冒険者の毒薬騒動							
ワタシはローシュカナで、こちらはForename。お仕事、がんばってね。			ワタシはローシュカナで、こちらはForename。お仕事、がんばってね。			駆け出し冒険者の毒薬騒動							
彼女たちもさすがに警戒はするだろうから、ここで悪事を続けるとは考えにくいわ。ひとまず「リムサ・ロミンサ」へ戻りましょうか。			彼女たちもさすがに警戒はするだろうから、ここで悪事を続けるとは考えにくいわ。ひとまず「リムサ・ロミンサ」へ戻りましょうか。			駆け出し冒険者の毒薬騒動							
おかえりなさい、Forename。今回もアナタが同行してくれたおかげで助かったわ。			おかえりなさい、Forename。今回もアナタが同行してくれたおかげで助かったわ。			駆け出し冒険者の毒薬騒動							
彼女……エルレットは「イタズラ」と言っていたけど、毒を使うなんて度が過ぎてる。			彼女……エルレットは「イタズラ」と言っていたけど、毒を使うなんて度が過ぎてる。			駆け出し冒険者の毒薬騒動							
祭器をおもちゃのように扱うなんて……故郷の子どもたちのほうが、よほど分別があるわ。まったく、腹立たしい人たちね。			祭器をおもちゃのように扱うなんて……故郷の子どもたちのほうが、よほど分別があるわ。まったく、腹立たしい人たちね。			駆け出し冒険者の毒薬騒動							
