自由弁論館の水晶公は、とっておきの提案があるようだ。			自由弁論館の水晶公は、とっておきの提案があるようだ。			クリスタリウムの意気							
と、とにかく、ソープロシュネーは、再生した罪喰いを伴って飛び去っていきよったぞい。もう周囲は安全じゃよ。			と、とにかく、ソープロシュネーは、再生した罪喰いを伴って飛び去っていきよったぞい。もう周囲は安全じゃよ。			ソープロシュネーの光							
それにしても、突然どうしたんじゃ？お前さん、意識がもうろうとしておったが……。			それにしても、突然どうしたんじゃ？お前さん、意識がもうろうとしておったが……。			ソープロシュネーの光							
なんと、ソープロシュネー……いや、生前のラミットの過去を視たというのか！？さすがは水晶公の縁者……そんな異能を秘めておったとは……！			なんと、ソープロシュネー……いや、生前のラミットの過去を視たというのか！？さすがは水晶公の縁者……そんな異能を秘めておったとは……！			ソープロシュネーの光							
聞いたかぎり、おそらくお前さんが視たのは、ラミットが里を出て、旅を始めた頃の様子じゃな。当時はまだ、兜を身に着けた礼儀正しい人物であったわけじゃ。			聞いたかぎり、おそらくお前さんが視たのは、ラミットが里を出て、旅を始めた頃の様子じゃな。当時はまだ、兜を身に着けた礼儀正しい人物であったわけじゃ。			ソープロシュネーの光							
行き倒れの若者を救った点も、実にドワーフ的な行いと言えよう。それが、素顔を晒して歩く、破廉恥者になってしまうとは……いったい何があったのやら……。			行き倒れの若者を救った点も、実にドワーフ的な行いと言えよう。それが、素顔を晒して歩く、破廉恥者になってしまうとは……いったい何があったのやら……。			ソープロシュネーの光							
まあ、わからんことを考えても仕方がないの。ソープロシュネーの能力を確認できたことじゃ……今回はここまでとし、クリスタリウムに戻るぞい！			まあ、わからんことを考えても仕方がないの。ソープロシュネーの能力を確認できたことじゃ……今回はここまでとし、クリスタリウムに戻るぞい！			ソープロシュネーの光							
ング、ング、ング……プハァ……。やはり、ひと仕事終えた後の麦酒は格別じゃわい。			ング、ング、ング……プハァ……。やはり、ひと仕事終えた後の麦酒は格別じゃわい。			ソープロシュネーの光							
……ゴホン。ともかく、繰り返すが今回の目的は果たせたわけじゃ。ソープロシュネーの再生能力、お前さんも見たじゃろう？			……ゴホン。ともかく、繰り返すが今回の目的は果たせたわけじゃ。ソープロシュネーの再生能力、お前さんも見たじゃろう？			ソープロシュネーの光							
とはいえ、その様子からすると、やつの能力を封じる手段を、思いついたわけではあるまい。			とはいえ、その様子からすると、やつの能力を封じる手段を、思いついたわけではあるまい。			ソープロシュネーの光							
……安心せい。さすがにワシも、一朝一夕で対策が考案できるとは思っておらん。			……安心せい。さすがにワシも、一朝一夕で対策が考案できるとは思っておらん。			ソープロシュネーの光							
お前さんも、癒やし手としての修行を積みながら、じっくりと対応法を考えてみてくれ！ワシも酒を呑みながら、思案にふけってみるからの！			お前さんも、癒やし手としての修行を積みながら、じっくりと対応法を考えてみてくれ！ワシも酒を呑みながら、思案にふけってみるからの！			ソープロシュネーの光							
モルド・スークのケリッグは、冒険者に伝えたい情報があるようだ。			モルド・スークのケリッグは、冒険者に伝えたい情報があるようだ。			「虚ろ」からの呼び声							
ケリッグは機械人形をけしかけて、「虚ろ」の危険範囲を測る実験を行いたいようだ。機械人形を動かすために必要な素材を集めるため、アム・アレーンのアンバーフィールドにある「指定地点」で見渡して、現れた「サンドスキン・シビルス」を倒し「シビルスの腱」を入手しよう。			ケリッグは機械人形をけしかけて、「虚ろ」の危険範囲を測る実験を行いたいようだ。機械人形を動かすために必要な素材を集めるため、アム・アレーンのアンバーフィールドにある「指定地点」で見渡して、現れた「サンドスキン・シビルス」を倒し「シビルスの腱」を入手しよう。			「虚ろ」からの呼び声							
シビルスの腱を入手した。モルド・スークの「ケリッグ」に「シビルスの腱」を渡そう。			シビルスの腱を入手した。モルド・スークの「ケリッグ」に「シビルスの腱」を渡そう。			「虚ろ」からの呼び声							
ケリッグは、機械人形を修理してから向かうという。目撃情報があったアンバーフィールドの「指定地点」で待機しよう。			ケリッグは、機械人形を修理してから向かうという。目撃情報があったアンバーフィールドの「指定地点」で待機しよう。			「虚ろ」からの呼び声							
プロネーシスの生み出した「虚ろ」から、謎の少年が現れた。モルド・スークの「ケリッグ」と話そう。			プロネーシスの生み出した「虚ろ」から、謎の少年が現れた。モルド・スークの「ケリッグ」と話そう。			「虚ろ」からの呼び声							
ケリッグは、少年が目覚めたら、何故「虚ろ」の中で生きていられたのかを聞きたいようだ。少年が目覚めた頃に、また訪ねよう。※いずれかのソーサラー系DPSジョブのレベルが74以上になると、モルド・スークのケリッグから次のソーサラー系DPSロールクエストを受注することができます。			ケリッグは、少年が目覚めたら、何故「虚ろ」の中で生きていられたのかを聞きたいようだ。少年が目覚めた頃に、また訪ねよう。※いずれかのソーサラー系DPSジョブのレベルが74以上になると、モルド・スークのケリッグから次のソーサラー系DPSロールクエストを受注することができます。			「虚ろ」からの呼び声							
指定地点で見渡して、サンドスキン・シビルスからシビルスの腱を入手			指定地点で見渡して、サンドスキン・シビルスからシビルスの腱を入手			「虚ろ」からの呼び声							
ケリッグにシビルスの腱を渡す			ケリッグにシビルスの腱を渡す			「虚ろ」からの呼び声							
指定地点で待機			指定地点で待機			「虚ろ」からの呼び声							
ケリッグと話す			ケリッグと話す			「虚ろ」からの呼び声							
おお、いいタイミングで現れたな！先ほど、プロネーシスの目撃情報が舞い込んできたんだよ。			おお、いいタイミングで現れたな！先ほど、プロネーシスの目撃情報が舞い込んできたんだよ。			「虚ろ」からの呼び声							
とはいえ今回は、奴と戦うつもりはない。尾行して、「虚ろ」を生み出す様子を確認したいんだ。			とはいえ今回は、奴と戦うつもりはない。尾行して、「虚ろ」を生み出す様子を確認したいんだ。			「虚ろ」からの呼び声							
その上で、予めクリスタリウムの商人から購入しておいた、古ぼけた機械人形を「虚ろ」に近づけ、吸引させる……。つまり、危険範囲を測る実験ってわけさ。			その上で、予めクリスタリウムの商人から購入しておいた、古ぼけた機械人形を「虚ろ」に近づけ、吸引させる……。つまり、危険範囲を測る実験ってわけさ。			「虚ろ」からの呼び声							
だが、問題があってな……。かなりの骨董品だったもんで、まだ修理が終わっていないんだ。急ぎの状況だ、すまんが必要な素材集めを手伝ってくれるか？			だが、問題があってな……。かなりの骨董品だったもんで、まだ修理が終わっていないんだ。急ぎの状況だ、すまんが必要な素材集めを手伝ってくれるか？			「虚ろ」からの呼び声							
助かるぜ！必要なのは、「サンドスキン・シビルス」の腱だ。東の方角にいるはずだから、倒して調達してきてくれ。			助かるぜ！必要なのは、「サンドスキン・シビルス」の腱だ。東の方角にいるはずだから、倒して調達してきてくれ。			「虚ろ」からの呼び声							
必要なのは、「サンドスキン・シビルス」の腱だ。東の方角にいるはずだから、倒して調達してきてくれ。俺は、ほかに必要な品を探しておく。			必要なのは、「サンドスキン・シビルス」の腱だ。東の方角にいるはずだから、倒して調達してきてくれ。俺は、ほかに必要な品を探しておく。			「虚ろ」からの呼び声							
まったく……あの流れの商人、吹っかけてきやがって。まあ、こっちは、なんとか歯車になりそうなもんを調達できた。そっちの首尾はどうだ？			まったく……あの流れの商人、吹っかけてきやがって。まあ、こっちは、なんとか歯車になりそうなもんを調達できた。そっちの首尾はどうだ？			「虚ろ」からの呼び声							
おお、伸縮性もあるし、ばっちりだ！こいつなら、切れちまった駆動ベルトの代用になるだろう。俺は、さっそく修理に取り掛からせてもらうぜ！			おお、伸縮性もあるし、ばっちりだ！こいつなら、切れちまった駆動ベルトの代用になるだろう。俺は、さっそく修理に取り掛からせてもらうぜ！			「虚ろ」からの呼び声							
お前は、先にプロネーシスが目撃された現場、集落の南東側に行って、身を隠せそうな場所を探しておいてくれ。そこで奴を待ち伏せしようじゃないか。			お前は、先にプロネーシスが目撃された現場、集落の南東側に行って、身を隠せそうな場所を探しておいてくれ。そこで奴を待ち伏せしようじゃないか。			「虚ろ」からの呼び声							
お前は、先にプロネーシスが目撃された現場、集落の南東側に行って、身を隠せそうな場所を探しておいてくれ。そこで奴を待ち伏せしようじゃないか。			お前は、先にプロネーシスが目撃された現場、集落の南東側に行って、身を隠せそうな場所を探しておいてくれ。そこで奴を待ち伏せしようじゃないか。			「虚ろ」からの呼び声							
よう、待たせたな！このとおり、機械人形の修理も済んだ。プロネーシスの姿を見つけるまで、交代で見張りといこう。			よう、待たせたな！このとおり、機械人形の修理も済んだ。プロネーシスの姿を見つけるまで、交代で見張りといこう。			「虚ろ」からの呼び声							
おい……こっちへ来い！プロネーシスが現れたぞ……！			おい……こっちへ来い！プロネーシスが現れたぞ……！			「虚ろ」からの呼び声							
機械人形は、もう向かわせている。さあ、あっちだ、いまに「虚ろ」を生み出すぜ……！			機械人形は、もう向かわせている。さあ、あっちだ、いまに「虚ろ」を生み出すぜ……！			「虚ろ」からの呼び声							
いま機械人形をけしかけても、「虚ろ」に近づく前に、破壊されちまうかもしれん……。確実に吸い込ませられるよう、奴が立ち去るのを待とう。			いま機械人形をけしかけても、「虚ろ」に近づく前に、破壊されちまうかもしれん……。確実に吸い込ませられるよう、奴が立ち去るのを待とう。			「虚ろ」からの呼び声							
……よし、行ったな。「虚ろ」へ接近するよう、機械人形に指示を出すぞ！			……よし、行ったな。「虚ろ」へ接近するよう、機械人形に指示を出すぞ！			「虚ろ」からの呼び声							
跡形もなく……ってか。あっという間に消えちまったな。なるほど、あそこまで近づくとヤラレちまうのか。			跡形もなく……ってか。あっという間に消えちまったな。なるほど、あそこまで近づくとヤラレちまうのか。			「虚ろ」からの呼び声							
よーし、よし……「虚ろ」の効果範囲は掴めた。危険だが、俺たちも少し近づいてみよう。できるだけ、多くの情報を集めておきたいからな。			よーし、よし……「虚ろ」の効果範囲は掴めた。危険だが、俺たちも少し近づいてみよう。できるだけ、多くの情報を集めておきたいからな。			「虚ろ」からの呼び声							
風が渦を巻いて……「内側」へ吸い込まれていってるんだな。あの真っ暗な穴の中に、自分が放り込まれたらと思うと、ゾッとするぜ。			風が渦を巻いて……「内側」へ吸い込まれていってるんだな。あの真っ暗な穴の中に、自分が放り込まれたらと思うと、ゾッとするぜ。			「虚ろ」からの呼び声							
(-少年らしき声-)もどり、た……ここ、は……暗い……！			(-少年らしき声-)もどり、た……ここ、は……暗い……！			「虚ろ」からの呼び声							
ん……どうした？			ん……どうした？			「虚ろ」からの呼び声							
なっ、声が聞こえただと！？まさか、穴の中に人がいるってのか？			なっ、声が聞こえただと！？まさか、穴の中に人がいるってのか？			「虚ろ」からの呼び声							
(-少年らしき声-)だれ、も……いないの？……どっち……進めば、ここか……出られ……。			(-少年らしき声-)だれ、も……いないの？……どっち……進めば、ここか……出られ……。			「虚ろ」からの呼び声							
声に対して、何と答える？			声に対して、何と答える？			「虚ろ」からの呼び声							
こっちだ！			こっちだ！			「虚ろ」からの呼び声							
生きているのか……？			生きているのか……？			「虚ろ」からの呼び声							
(-少年らしき声-)……いまの声！　そっち……いるんだね……。おね、がい……助けて！			(-少年らしき声-)……いまの声！　そっち……いるんだね……。おね、がい……助けて！			「虚ろ」からの呼び声							
(-少年らしき声-)道が、なく……どっちに進め……いい、か……。ここには……地脈も風脈も……せめて、エーテルの流れ……辿れれば……！			(-少年らしき声-)道が、なく……どっちに進め……いい、か……。ここには……地脈も風脈も……せめて、エーテルの流れ……辿れれば……！			「虚ろ」からの呼び声							
おい……声とやらは、何と言っているんだ？			おい……声とやらは、何と言っているんだ？			「虚ろ」からの呼び声							
エーテルの流れが見つからない、だって……？まるで、エーテライトを失った漂流者みたいじゃないか。			エーテルの流れが見つからない、だって……？まるで、エーテライトを失った漂流者みたいじゃないか。			「虚ろ」からの呼び声							
……待てよ、なら、交感するときのように、「虚ろ」の中にエーテルを流し込めれば、声の主への道標になるんじゃ……だが、どうやって……？			……待てよ、なら、交感するときのように、「虚ろ」の中にエーテルを流し込めれば、声の主への道標になるんじゃ……だが、どうやって……？			「虚ろ」からの呼び声							
なっ、お前ならできるっていうのか！？			なっ、お前ならできるっていうのか！？			「虚ろ」からの呼び声							
すげえ……！どうやら、俺は自分の想定以上に、とんでもない腕の魔道士を相棒にしたらしいな……。			すげえ……！どうやら、俺は自分の想定以上に、とんでもない腕の魔道士を相棒にしたらしいな……。			「虚ろ」からの呼び声							
(-憔悴した少年-)ここは……もど、れた……？			(-憔悴した少年-)ここは……もど、れた……？			「虚ろ」からの呼び声							
本当に、人が出てきやがった……。			本当に、人が出てきやがった……。			「虚ろ」からの呼び声							
何が何だか、わからんことだらけだが……とにかく、この子をモルド・スークまで運ぼう。			何が何だか、わからんことだらけだが……とにかく、この子をモルド・スークまで運ぼう。			「虚ろ」からの呼び声							
「虚ろ」から出てきた少年は、ひとまず休ませている。特に外傷もないし、そのうち目覚めるだろう。			「虚ろ」から出てきた少年は、ひとまず休ませている。特に外傷もないし、そのうち目覚めるだろう。			「虚ろ」からの呼び声							
おそらく、過去に吸い込まれた被害者だろうが……。何故、彼だけが「虚ろ」から生還できたのか、少年の目覚めを待って、話を聞いてみないとな。			おそらく、過去に吸い込まれた被害者だろうが……。何故、彼だけが「虚ろ」から生還できたのか、少年の目覚めを待って、話を聞いてみないとな。			「虚ろ」からの呼び声							
ところで、ちょいと聞きたいんだが、お前……子どもの世話をしたことはあるか？			ところで、ちょいと聞きたいんだが、お前……子どもの世話をしたことはあるか？			「虚ろ」からの呼び声							
子どもの世話をしたことはある？			子どもの世話をしたことはある？			「虚ろ」からの呼び声							
もちろん、ない			もちろん、ない			「虚ろ」からの呼び声							
実は……			実は……			「虚ろ」からの呼び声							
お前もか……。俺も、戦闘に明け暮れてばかりで、ほかはサッパリだ。保護者を見つけるまで、俺が世話するしかないんだよな。			お前もか……。俺も、戦闘に明け暮れてばかりで、ほかはサッパリだ。保護者を見つけるまで、俺が世話するしかないんだよな。			「虚ろ」からの呼び声							
おお！　じゃあ、少年が目覚めたらお前に託して……って、この件にかかりきりな訳でもないのに、世話は無理だよなぁ。保護者を見つけるまで、俺が面倒見るしかないか。			おお！　じゃあ、少年が目覚めたらお前に託して……って、この件にかかりきりな訳でもないのに、世話は無理だよなぁ。保護者を見つけるまで、俺が面倒見るしかないか。			「虚ろ」からの呼び声							
しかし、子どもの世話ってのは、どうすりゃいいんだ？ただでさえ「虚ろ」の中で弱ってるだろうし……栄養あるもの……肉でも食わせるか？			しかし、子どもの世話ってのは、どうすりゃいいんだ？ただでさえ「虚ろ」の中で弱ってるだろうし……栄養あるもの……肉でも食わせるか？			「虚ろ」からの呼び声							
いや、その前に癒やし手に見せるのが先だな。それから、身内探しの手はずも整えてっと……まあ、どうにかしておくから、また様子を見に来てくれや。			いや、その前に癒やし手に見せるのが先だな。それから、身内探しの手はずも整えてっと……まあ、どうにかしておくから、また様子を見に来てくれや。			「虚ろ」からの呼び声							
彷徨う階段亭のルー・リークは、どこか自信なさげに立っている。			彷徨う階段亭のルー・リークは、どこか自信なさげに立っている。			レンダ・レイの敗北							
ルー・リークは、人を雇って調べたところ、アンドレイアに罪喰いにされた魔獣の情報を得たようだ。アム・アレーンのシムーンの背骨で「ルー・リーク」と話そう。			ルー・リークは、人を雇って調べたところ、アンドレイアに罪喰いにされた魔獣の情報を得たようだ。アム・アレーンのシムーンの背骨で「ルー・リーク」と話そう。			レンダ・レイの敗北							
ルー・リークと話し、罪喰い化した毒蠍を探して倒すことになった。アム・アレーンのアンバーフィールドの「指定地点」で見渡して、毒蠍型の罪喰いが現れたら討伐しよう。			ルー・リークと話し、罪喰い化した毒蠍を探して倒すことになった。アム・アレーンのアンバーフィールドの「指定地点」で見渡して、毒蠍型の罪喰いが現れたら討伐しよう。			レンダ・レイの敗北							
指定地点で見渡したところ、毒蠍型の罪喰いらしき姿はなかった。再度、アンバーフィールドの「指定地点」で見渡して、毒蠍型の罪喰いが現れたら討伐しよう。			指定地点で見渡したところ、毒蠍型の罪喰いらしき姿はなかった。再度、アンバーフィールドの「指定地点」で見渡して、毒蠍型の罪喰いが現れたら討伐しよう。			レンダ・レイの敗北							
毒蠍型の罪喰いを討伐した。集合場所であるシムーンの背骨の「指定地点」で待機しよう。			毒蠍型の罪喰いを討伐した。集合場所であるシムーンの背骨の「指定地点」で待機しよう。			レンダ・レイの敗北							
指定地点で待機したところ、アンドレイアが現れて冒険者は過去視に陥った。どうやら、レンダ・レイの過去の魔獣討伐を垣間見たようだ。彷徨う階段亭に戻り「ルー・リーク」と話そう。			指定地点で待機したところ、アンドレイアが現れて冒険者は過去視に陥った。どうやら、レンダ・レイの過去の魔獣討伐を垣間見たようだ。彷徨う階段亭に戻り「ルー・リーク」と話そう。			レンダ・レイの敗北							
ルー・リークと話し、祝杯をあげた。彼はアンドレイアの動向を伺うという。よき頃合いに、またルー・リークを訪ねよう。※いずれかのファイター系DPSジョブのレベルが74以上になると、彷徨う階段亭のルー・リークから次のファイター系DPSロールクエストを受注することができます。			ルー・リークと話し、祝杯をあげた。彼はアンドレイアの動向を伺うという。よき頃合いに、またルー・リークを訪ねよう。※いずれかのファイター系DPSジョブのレベルが74以上になると、彷徨う階段亭のルー・リークから次のファイター系DPSロールクエストを受注することができます。			レンダ・レイの敗北							
シムーンの背骨のルー・リークと話す			シムーンの背骨のルー・リークと話す			レンダ・レイの敗北							
指定地点で見渡し、毒蠍型の罪喰いが現れたら討伐			指定地点で見渡し、毒蠍型の罪喰いが現れたら討伐			レンダ・レイの敗北							
指定地点で再度見渡し、毒蠍型の罪喰いが現れたら討伐			指定地点で再度見渡し、毒蠍型の罪喰いが現れたら討伐			レンダ・レイの敗北							
指定地点で待機			指定地点で待機			レンダ・レイの敗北							
彷徨う階段亭のルー・リークと話す			彷徨う階段亭のルー・リークと話す			レンダ・レイの敗北							
お前……来てくれたんだな……！よ、よかった、まさか本当に……			お前……来てくれたんだな……！よ、よかった、まさか本当に……			レンダ・レイの敗北							
い、いや……何でもない……。			い、いや……何でもない……。			レンダ・レイの敗北							
ちょうどよかった。情報集めに雇った者が、戻ってくる頃合いだったんだ。お、来たようだ……			ちょうどよかった。情報集めに雇った者が、戻ってくる頃合いだったんだ。お、来たようだ……			レンダ・レイの敗北							
頼まれた件について、調べてきたわ。直近のアンドレイアの目撃情報は、アム・アレーン……シムーンの背骨の近辺に出没したようね。			頼まれた件について、調べてきたわ。直近のアンドレイアの目撃情報は、アム・アレーン……シムーンの背骨の近辺に出没したようね。			レンダ・レイの敗北							
聞き込みによれば、アンドレイアは、当地では有名だった大物の毒蠍を罪喰い化させたようね。そいつが暴れまわって、結構な被害が出ているそうよ。			聞き込みによれば、アンドレイアは、当地では有名だった大物の毒蠍を罪喰い化させたようね。そいつが暴れまわって、結構な被害が出ているそうよ。			レンダ・レイの敗北							
なるほど……ご苦労だったな。ほら、約束の報酬だ、受け取ってくれ。			なるほど……ご苦労だったな。ほら、約束の報酬だ、受け取ってくれ。			レンダ・レイの敗北							
あちこち歩き回って、情報収集するのも面倒だろう？人を使えば、手間も省けるってもんだ。			あちこち歩き回って、情報収集するのも面倒だろう？人を使えば、手間も省けるってもんだ。			レンダ・レイの敗北							
聞いてのとおり、狙い目の獲物が出現した。さっそく、毒蠍型の罪喰いを討伐するため、アム・アレーンのシムーンの背骨に向かおう。			聞いてのとおり、狙い目の獲物が出現した。さっそく、毒蠍型の罪喰いを討伐するため、アム・アレーンのシムーンの背骨に向かおう。			レンダ・レイの敗北							
さてと、罪喰い化した毒蠍は、この辺りに徘徊してるって話だった……。			さてと、罪喰い化した毒蠍は、この辺りに徘徊してるって話だった……。			レンダ・レイの敗北							
しかし、このただっ広い砂漠で、一匹の獲物を探すってのも、骨が折れるな。また人を雇いたいところだが、それも見つかりそうにない。			しかし、このただっ広い砂漠で、一匹の獲物を探すってのも、骨が折れるな。また人を雇いたいところだが、それも見つかりそうにない。			レンダ・レイの敗北							
仕方がない、俺とお前で二手にわかれて探そう。いいか、忘れるなよ、獲物は「毒蠍型の罪喰い」だ。そいつを先に見つけた方が始末しよう。			仕方がない、俺とお前で二手にわかれて探そう。いいか、忘れるなよ、獲物は「毒蠍型の罪喰い」だ。そいつを先に見つけた方が始末しよう。			レンダ・レイの敗北							
集合場所はここだ。獲物を倒すか、探しても見つからなかったら、この場所に戻ってくれ……それじゃあ、狩猟開始！			集合場所はここだ。獲物を倒すか、探しても見つからなかったら、この場所に戻ってくれ……それじゃあ、狩猟開始！			レンダ・レイの敗北							
毒蠍型の罪喰いらしき姿はない……。もっと先で探そう。			毒蠍型の罪喰いらしき姿はない……。もっと先で探そう。			レンダ・レイの敗北							
ついにみつけたぞ、バラム・キツェー！お前がノルヴラント中で食い殺した、無辜の人々の恨みを晴らしてやる！			ついにみつけたぞ、バラム・キツェー！お前がノルヴラント中で食い殺した、無辜の人々の恨みを晴らしてやる！			レンダ・レイの敗北							
そして、駆け出しの賞金稼ぎである、アタシたちの名声を確かなものにするんだ！			そして、駆け出しの賞金稼ぎである、アタシたちの名声を確かなものにするんだ！			レンダ・レイの敗北							
アタシは後方、ふたりは左右に回り込んで、三方から仕掛けることで、敵をかく乱させる作戦でいくよ！			アタシは後方、ふたりは左右に回り込んで、三方から仕掛けることで、敵をかく乱させる作戦でいくよ！			レンダ・レイの敗北							
気づかれた……！			気づかれた……！			レンダ・レイの敗北							
こうなったら、私たちが囮になって敵を引き付けるわ！レンダは援護をお願い！			こうなったら、私たちが囮になって敵を引き付けるわ！レンダは援護をお願い！			レンダ・レイの敗北							
ま、待って！いちど、態勢を整えてから……			ま、待って！いちど、態勢を整えてから……			レンダ・レイの敗北							
クソッ……！			クソッ……！			レンダ・レイの敗北							
くっ……耳が……みんな……待って…………			くっ……耳が……みんな……待って…………			レンダ・レイの敗北							
ま、待て……まだ……終わってない、ぞ……。			ま、待て……まだ……終わってない、ぞ……。			レンダ・レイの敗北							
ごめんね……アタシが弱かったばっかりに……。			ごめんね……アタシが弱かったばっかりに……。			レンダ・レイの敗北							
もっともっと強くなって、いつか必ず仇を討ってあげるから……。			もっともっと強くなって、いつか必ず仇を討ってあげるから……。			レンダ・レイの敗北							
おい、どうしたってんだ？頭なんか抱えて、普通じゃなかったぞ……。			おい、どうしたってんだ？頭なんか抱えて、普通じゃなかったぞ……。			レンダ・レイの敗北							
アンドレイアに遭遇したってのも驚きだが、過去を視る能力だなんて、にわかには信じがたいな……。			アンドレイアに遭遇したってのも驚きだが、過去を視る能力だなんて、にわかには信じがたいな……。			レンダ・レイの敗北							
だが、レンダ・レイが、巨大な角のある魔獣と戦って、ふたりの仲間を失っていただって？それと似たような話をどこかで……。			だが、レンダ・レイが、巨大な角のある魔獣と戦って、ふたりの仲間を失っていただって？それと似たような話をどこかで……。			レンダ・レイの敗北							
まあいい、大罪人のことなんざ知ったことじゃない。どうやら獲物は、お前が先に討伐したようだな。彷徨う階段亭に戻って祝杯といこうぜ！			まあいい、大罪人のことなんざ知ったことじゃない。どうやら獲物は、お前が先に討伐したようだな。彷徨う階段亭に戻って祝杯といこうぜ！			レンダ・レイの敗北							
さあ、祝杯といこう！遠慮せずに、じゃんじゃんやってくれ……！			さあ、祝杯といこう！遠慮せずに、じゃんじゃんやってくれ……！			レンダ・レイの敗北							
モグモグ…………どうだ……？勝利の味は………ゴクゴク……とことん味わってくれ…………ゴックン。			モグモグ…………どうだ……？勝利の味は………ゴクゴク……とことん味わってくれ…………ゴックン。			レンダ・レイの敗北							
もういいのか？もっと、頼んでもいいんだぞ……。			もういいのか？もっと、頼んでもいいんだぞ……。			レンダ・レイの敗北							
そういえば……お前の名を聞いてなかったな。俺たちはもう仲間なんだ、名前を教えてくれ。			そういえば……お前の名を聞いてなかったな。俺たちはもう仲間なんだ、名前を教えてくれ。			レンダ・レイの敗北							
Forenameだな。リーク＆Forenameか……悪くないな、俺たちはきっと名コンビになるぜ！			Forenameだな。リーク＆Forenameか……悪くないな、俺たちはきっと名コンビになるぜ！			レンダ・レイの敗北							
ふたりでアンドレイア討伐を果たして、このノルヴラント中に、その名を轟かせてやるんだ……！			ふたりでアンドレイア討伐を果たして、このノルヴラント中に、その名を轟かせてやるんだ……！			レンダ・レイの敗北							
だが、狩人に焦りは禁物だ。しばらく準備を整えつつ、アンドレイアの動向を伺おう。今回の報酬も弾むんで、次もまた絶対に来てくれよな！			だが、狩人に焦りは禁物だ。しばらく準備を整えつつ、アンドレイアの動向を伺おう。今回の報酬も弾むんで、次もまた絶対に来てくれよな！			レンダ・レイの敗北							
何と言う？			何と言う？			レンダ・レイの敗北							
羽振りが良すぎじゃないか？			羽振りが良すぎじゃないか？			レンダ・レイの敗北							
金は大丈夫なのか？			金は大丈夫なのか？			レンダ・レイの敗北							
金なら心配しないでくれ。そんなことより、絶対にまた来てくれよ、約束だぞ……！			金なら心配しないでくれ。そんなことより、絶対にまた来てくれよ、約束だぞ……！			レンダ・レイの敗北							
彷徨う階段亭のグランソンは、冒険者のことを待っているようだ。			彷徨う階段亭のグランソンは、冒険者のことを待っているようだ。			あの忘れえぬ日々							
グランソンと話した。グランソンは、過去にディカイオシュネーと遭遇した経験があるという。コルシア島のライト村にいる「グランソン」と話そう。			グランソンと話した。グランソンは、過去にディカイオシュネーと遭遇した経験があるという。コルシア島のライト村にいる「グランソン」と話そう。			あの忘れえぬ日々							
グランソンと話した。ライト村の住人たちから、ディカイオシュネーの情報を集めよう。			グランソンと話した。ライト村の住人たちから、ディカイオシュネーの情報を集めよう。			あの忘れえぬ日々							
ライト村の住人たちから、ディカイオシュネーの情報を集めた。ライト村の「グランソン」と話そう。			ライト村の住人たちから、ディカイオシュネーの情報を集めた。ライト村の「グランソン」と話そう。			あの忘れえぬ日々							
グランソンと話した。ライト村で生まれ育ったというグランソンは、ミリンダという恋人とともに貧しくも幸せな日々を過ごしていたらしい。しかし、1年前のある日、突如現れたディカイオシュネーにミリンダが罪喰いにされてしまい、グランソン自らの手で討ったという、辛い過去があるようだ。ディカイオシュネーは、住人たちを罪喰いへと変えた後、ミリンダがユールモアの古物商から修復を依頼されていた腕輪、「双頭狼の牙」を拾い上げ、どこかへと消えたという。この日を境に、グランソンはディカイオシュネーへの復讐を誓ったと話す。ディカイオシュネーとの因縁について話し終えたグランソンは、ライト村に残り、引き続き情報を集めておくという。※いずれかのTANKジョブのレベルが74以上になると、ライト村のグランソンから次のTANKロールクエストを受注することができます。			グランソンと話した。ライト村で生まれ育ったというグランソンは、ミリンダという恋人とともに貧しくも幸せな日々を過ごしていたらしい。しかし、1年前のある日、突如現れたディカイオシュネーにミリンダが罪喰いにされてしまい、グランソン自らの手で討ったという、辛い過去があるようだ。ディカイオシュネーは、住人たちを罪喰いへと変えた後、ミリンダがユールモアの古物商から修復を依頼されていた腕輪、「双頭狼の牙」を拾い上げ、どこかへと消えたという。この日を境に、グランソンはディカイオシュネーへの復讐を誓ったと話す。ディカイオシュネーとの因縁について話し終えたグランソンは、ライト村に残り、引き続き情報を集めておくという。※いずれかのTANKジョブのレベルが74以上になると、ライト村のグランソンから次のTANKロールクエストを受注することができます。			あの忘れえぬ日々							
ライト村のグランソンと話す			ライト村のグランソンと話す			あの忘れえぬ日々							
ライト村で情報を集める			ライト村で情報を集める			あの忘れえぬ日々							
グランソンと話す			グランソンと話す			あの忘れえぬ日々							
よう、Forename。準備ができたようだな。			よう、Forename。準備ができたようだな。			あの忘れえぬ日々							
それじゃあ早速、ディカイオシュネーの野郎を探す旅に出るとしようぜ！			それじゃあ早速、ディカイオシュネーの野郎を探す旅に出るとしようぜ！			あの忘れえぬ日々							
探すと言っても、闇雲に歩き回るわけじゃないから、安心しな。光の氾濫で多くの土地が失われたとは言え、ノルヴラントは広大だ。そんなことしてたら、標的を見つける前にこっちがくたばっちまう。			探すと言っても、闇雲に歩き回るわけじゃないから、安心しな。光の氾濫で多くの土地が失われたとは言え、ノルヴラントは広大だ。そんなことしてたら、標的を見つける前にこっちがくたばっちまう。			あの忘れえぬ日々							
