双蛇党：統合司令部の白蛇の守人は、冒険者に至急報せたいことがあるようだ。			双蛇党：統合司令部の白蛇の守人は、冒険者に至急報せたいことがあるようだ。			偽りの角							
未来……未来か……。何はともあれ、まずは話を聞かせてもらわないとね。			未来……未来か……。何はともあれ、まずは話を聞かせてもらわないとね。			巡り合う旅人たち							
「ナビ・南ゼピュロス」へ移動しますか？			「ナビ・南ゼピュロス」へ移動しますか？			巡り合う旅人たち							
さっそく移動をしたいところなのですが……ごめんなさい、ひとつ用事を済ませてもいいでしょうか？			さっそく移動をしたいところなのですが……ごめんなさい、ひとつ用事を済ませてもいいでしょうか？			巡り合う旅人たち							
実は、職員のひとりに頼まれて、イデアが記録されたクリスタルを探していたのです。目を離した隙に、オレイアスが持ち出してしまったそうで……。			実は、職員のひとりに頼まれて、イデアが記録されたクリスタルを探していたのです。目を離した隙に、オレイアスが持ち出してしまったそうで……。			巡り合う旅人たち							
おや、それらしきオレイアスなら、サメに襲われる前に見ましたよ。ワタシとエメトセルクで、エーテルを追いましょうか？			おや、それらしきオレイアスなら、サメに襲われる前に見ましたよ。ワタシとエメトセルクで、エーテルを追いましょうか？			巡り合う旅人たち							
もっとも、追えるのはオレイアスだけ……詳細のわからないクリスタル自体を探せはしませんから、途中で落としたりしていたら、解決にはなりませんが……。			もっとも、追えるのはオレイアスだけ……詳細のわからないクリスタル自体を探せはしませんから、途中で落としたりしていたら、解決にはなりませんが……。			巡り合う旅人たち							
十分です、ではオレイアスの追跡はお願いしますね。私はその間、森の中にクリスタルが落ちていないか見てきます。			十分です、ではオレイアスの追跡はお願いしますね。私はその間、森の中にクリスタルが落ちていないか見てきます。			巡り合う旅人たち							
あなたにも、力を貸してもらっていいですか？私はここから北側の森を受け持つので、西側の森をお願いしたいのです。			あなたにも、力を貸してもらっていいですか？私はここから北側の森を受け持つので、西側の森をお願いしたいのです。			巡り合う旅人たち							
ありがとうございます。では、それぞれ探索をしたあとに、ポイエテーン・オイコスに続く橋の前で合流しましょう。			ありがとうございます。では、それぞれ探索をしたあとに、ポイエテーン・オイコスに続く橋の前で合流しましょう。			巡り合う旅人たち							
ただでさえ頭の痛くなるお前の問題に、アゼムの座に連なる者が絡むとは…………			ただでさえ頭の痛くなるお前の問題に、アゼムの座に連なる者が絡むとは…………			巡り合う旅人たち							
……くっ、考えるだけで眉間が寄ってくる！			……くっ、考えるだけで眉間が寄ってくる！			巡り合う旅人たち							
前アゼムと現アゼムの師弟は、いろいろとすごいんだ。エメトセルクは始終苦いものを食べてるような顔をするし、ワタシは大抵、手を叩いて笑うことになる。			前アゼムと現アゼムの師弟は、いろいろとすごいんだ。エメトセルクは始終苦いものを食べてるような顔をするし、ワタシは大抵、手を叩いて笑うことになる。			巡り合う旅人たち							
おかえりなさい。オレイアスは、クリスタルを持っていなかったそうです。私の見回った範囲にも落ちていませんでした……。			おかえりなさい。オレイアスは、クリスタルを持っていなかったそうです。私の見回った範囲にも落ちていませんでした……。			巡り合う旅人たち							
そちらはいかがでしたか？			そちらはいかがでしたか？			巡り合う旅人たち							
ああ、これ！回収を頼まれていたのは、まさにこれです！			ああ、これ！回収を頼まれていたのは、まさにこれです！			巡り合う旅人たち							
ありがとうございます。おかげで依頼を気にすることなく、あなたの話が聞けそうです。探しもの、お上手なのですね。			ありがとうございます。おかげで依頼を気にすることなく、あなたの話が聞けそうです。探しもの、お上手なのですね。			巡り合う旅人たち							
何と言う？			何と言う？			巡り合う旅人たち							
自分もよくこういう依頼を受ける			自分もよくこういう依頼を受ける			巡り合う旅人たち							
旅には探索がつきものだから			旅には探索がつきものだから			巡り合う旅人たち							
あら、あなたも？まさかそんな共通点があるなんて！			あら、あなたも？まさかそんな共通点があるなんて！			巡り合う旅人たち							
あら、あなたも旅を？まさかそんな共通点があるなんて！			あら、あなたも旅を？まさかそんな共通点があるなんて！			巡り合う旅人たち							
私は昔、アゼムの座に就いていたとき、人々の抱える問題を見聞きし、解消するために、星中を駆けまわっていました。			私は昔、アゼムの座に就いていたとき、人々の抱える問題を見聞きし、解消するために、星中を駆けまわっていました。			巡り合う旅人たち							
その先で見つけた「おもしろい子」に座を託してからは、以前ほどそういう旅をしていないのですが……			その先で見つけた「おもしろい子」に座を託してからは、以前ほどそういう旅をしていないのですが……			巡り合う旅人たち							
それでも、旧知から声が掛かったり、調べたいことができたりしたときには、足を運んでいます。			それでも、旧知から声が掛かったり、調べたいことができたりしたときには、足を運んでいます。			巡り合う旅人たち							
エルピスに来たのも、そう……。創造生物の生息地を定めるにあたって意見を聞きたいと、こうして何度か招かれているのです。			エルピスに来たのも、そう……。創造生物の生息地を定めるにあたって意見を聞きたいと、こうして何度か招かれているのです。			巡り合う旅人たち							
けれど、困った様子の職員から引き受けたクリスタルの捜索が、こんな思いもよらない展開に結びつくなんて！旅はやっぱり、こうでないと！			けれど、困った様子の職員から引き受けたクリスタルの捜索が、こんな思いもよらない展開に結びつくなんて！旅はやっぱり、こうでないと！			巡り合う旅人たち							
汐沫の庭前のヴェーネスは、静かに冒険者を見つめている。			汐沫の庭前のヴェーネスは、静かに冒険者を見つめている。			生まれ死んで答を得る							
ヴェーネスと話す			ヴェーネスと話す			生まれ死んで答を得る							
バルデシオン分館のクルルに報告			バルデシオン分館のクルルに報告			生まれ死んで答を得る							
Forename……。私たちが為すべきことは、ヘルメスを糾弾することでも、エメトセルクたちに追い縋ることでもありません。			Forename……。私たちが為すべきことは、ヘルメスを糾弾することでも、エメトセルクたちに追い縋ることでもありません。			生まれ死んで答を得る							
この失われた日々が、それでも「なかった」わけではないのだと、ふたりで証明をすること……			この失われた日々が、それでも「なかった」わけではないのだと、ふたりで証明をすること……			生まれ死んで答を得る							
つまり、ここで知ったことを頼りに、終末に抗っていくことです。			つまり、ここで知ったことを頼りに、終末に抗っていくことです。			生まれ死んで答を得る							
私は、この時代で……。あなたは、あなたの時代で……。			私は、この時代で……。あなたは、あなたの時代で……。			生まれ死んで答を得る							
…………さあ、もう一度、歩み出しましょう。プロピュライオンまで、見送りにいきますね。			…………さあ、もう一度、歩み出しましょう。プロピュライオンまで、見送りにいきますね。			生まれ死んで答を得る							
ヴェーネスに声をかければ、この時代に別れを告げることになるだろう……。			ヴェーネスに声をかければ、この時代に別れを告げることになるだろう……。			生まれ死んで答を得る							
これより物語が大きく進展するため、カットシーンが連続して再生されます。			これより物語が大きく進展するため、カットシーンが連続して再生されます。			生まれ死んで答を得る							
しばらく時間がかかるため、十分にプレイ時間を確保したうえで、続きを進めることを、お勧めいたします。			しばらく時間がかかるため、十分にプレイ時間を確保したうえで、続きを進めることを、お勧めいたします。			生まれ死んで答を得る							
ヴェーネスに声をかけますか？			ヴェーネスに声をかけますか？			生まれ死んで答を得る							
メインクエストを進行させますか？			メインクエストを進行させますか？			生まれ死んで答を得る							
うぅぅ……！こんなときに帰ってきてくださるなんて、さすがはForenameさんでっす……！			うぅぅ……！こんなときに帰ってきてくださるなんて、さすがはForenameさんでっす……！			生まれ死んで答を得る							
Forenameさん！？ああ、なんてタイミングなの……！			Forenameさん！？ああ、なんてタイミングなの……！			生まれ死んで答を得る							
あなたが、終末のことを調べるために、第一世界に向かったってことは、みんなから報告で聞いているわ。			あなたが、終末のことを調べるために、第一世界に向かったってことは、みんなから報告で聞いているわ。			生まれ死んで答を得る							
その間に、こっちでも大変なことがあったんだけど……			その間に、こっちでも大変なことがあったんだけど……			生まれ死んで答を得る							
ひとまず、あなたが無事に帰ってきてくれてよかった。おかえりなさい……！			ひとまず、あなたが無事に帰ってきてくれてよかった。おかえりなさい……！			生まれ死んで答を得る							
ゼピュロスの喝采のヴェーネスは、朗らかな様子だ。			ゼピュロスの喝采のヴェーネスは、朗らかな様子だ。			未だ訪れぬ過去							
ヴェーネスと話す			ヴェーネスと話す			未だ訪れぬ過去							
ヴェーネスと再度話す			ヴェーネスと再度話す			未だ訪れぬ過去							
ヴェーネスとさらに話す			ヴェーネスとさらに話す			未だ訪れぬ過去							
イスメーネーと話す			イスメーネーと話す			未だ訪れぬ過去							
ヴェーネスと話す			ヴェーネスと話す			未だ訪れぬ過去							
ティマイオスを探す			ティマイオスを探す			未だ訪れぬ過去							
ヴェーネスと話す			ヴェーネスと話す			未だ訪れぬ過去							
ただでさえ頭の痛くなるお前の問題に、アゼムの座に連なる者が絡むとは…………			ただでさえ頭の痛くなるお前の問題に、アゼムの座に連なる者が絡むとは…………			未だ訪れぬ過去							
……くっ、考えるだけで眉間が寄ってくる！			……くっ、考えるだけで眉間が寄ってくる！			未だ訪れぬ過去							
前アゼムと現アゼムの師弟は、いろいろとすごいんだ。エメトセルクは始終苦いものを食べてるような顔をするし、ワタシは大抵、手を叩いて笑うことになる。			前アゼムと現アゼムの師弟は、いろいろとすごいんだ。エメトセルクは始終苦いものを食べてるような顔をするし、ワタシは大抵、手を叩いて笑うことになる。			未だ訪れぬ過去							
お手伝いいただき、とても助かりました。回収したクリスタルは、帰りがけに依頼者に返すとして……			お手伝いいただき、とても助かりました。回収したクリスタルは、帰りがけに依頼者に返すとして……			未だ訪れぬ過去							
この橋の先は、もう観測拠点ポイエテーン・オイコスです。改めて、私の借りている館へ向かうとしましょう。			この橋の先は、もう観測拠点ポイエテーン・オイコスです。改めて、私の借りている館へ向かうとしましょう。			未だ訪れぬ過去							
道をまっすぐに進み、坂を登って、正面の建物です。ほかに誰も使っていないので、込み入った話をするには最適かと思いますよ。			道をまっすぐに進み、坂を登って、正面の建物です。ほかに誰も使っていないので、込み入った話をするには最適かと思いますよ。			未だ訪れぬ過去							
確かに、ここならじっくり話ができそうだな。			確かに、ここならじっくり話ができそうだな。			未だ訪れぬ過去							
緊張せずとも大丈夫だよ。ヴェーネス様が纏っている白いローブは、公正なる「染まらぬ者」の証……			緊張せずとも大丈夫だよ。ヴェーネス様が纏っている白いローブは、公正なる「染まらぬ者」の証……			未だ訪れぬ過去							
十四人委員会を筆頭とする公的な役職を下りてなお生きる者と、調停者エリディブスのみが纏える、助言者の印さ。キミの話も、しっかり受け止めてくれると思うよ。			十四人委員会を筆頭とする公的な役職を下りてなお生きる者と、調停者エリディブスのみが纏える、助言者の印さ。キミの話も、しっかり受け止めてくれると思うよ。			未だ訪れぬ過去							
仮宿ではありますが、ようこそ。すぐにお茶を淹れてきますので、お好きな席に座っていてくださいね。			仮宿ではありますが、ようこそ。すぐにお茶を淹れてきますので、お好きな席に座っていてくださいね。			未だ訪れぬ過去							
さっそく、ヘルメスとメーティオンについて、調べていくとしましょう。			さっそく、ヘルメスとメーティオンについて、調べていくとしましょう。			未だ訪れぬ過去							
私も、ヘルメスとは面識がありますが、「エルピスの所長」と「客人」として言葉を交わしただけ。彼個人については、一般的な情報しか知りません。			私も、ヘルメスとは面識がありますが、「エルピスの所長」と「客人」として言葉を交わしただけ。彼個人については、一般的な情報しか知りません。			未だ訪れぬ過去							
まずは正攻法で、この拠点に滞在している職員たちに、ヘルメスやメーティオンについて質問するのがいいかと。私に心当たりがあるので、こちらへ……。			まずは正攻法で、この拠点に滞在している職員たちに、ヘルメスやメーティオンについて質問するのがいいかと。私に心当たりがあるので、こちらへ……。			未だ訪れぬ過去							
ああ、外の空気が気持ちいい。ちょうど、報告書を書き上げたところなんです。			ああ、外の空気が気持ちいい。ちょうど、報告書を書き上げたところなんです。			未だ訪れぬ過去							
そこの建物前で、休憩をしている女性……彼女が「イスメーネー」です。			そこの建物前で、休憩をしている女性……彼女が「イスメーネー」です。			未だ訪れぬ過去							
私がここに滞在するにあたって準備をしてくれた方なのですが、聞けば、かなり長い間エルピスに勤めている職員だとか。ヘルメスたちのことも、当然よく知っているでしょう。			私がここに滞在するにあたって準備をしてくれた方なのですが、聞けば、かなり長い間エルピスに勤めている職員だとか。ヘルメスたちのことも、当然よく知っているでしょう。			未だ訪れぬ過去							
彼女に、あなたが聞きたい質問をぶつけてください。私も何か思うところがあれば聞きますが、主導するのは、お任せしますね。			彼女に、あなたが聞きたい質問をぶつけてください。私も何か思うところがあれば聞きますが、主導するのは、お任せしますね。			未だ訪れぬ過去							
そこの建物前で休憩をしている「イスメーネー」に、ヘルメスやメーティオンのことを聞いてみましょう。質問の内容は、終末により詳しいあなたにお任せしますね。			そこの建物前で休憩をしている「イスメーネー」に、ヘルメスやメーティオンのことを聞いてみましょう。質問の内容は、終末により詳しいあなたにお任せしますね。			未だ訪れぬ過去							
私に用事、ですか？ええ、時間もあるので構いませんが……。			私に用事、ですか？ええ、時間もあるので構いませんが……。			未だ訪れぬ過去							
このイベントはスキップすることができないため、コンテンツファインダー申請中の場合などは、ご注意ください。			このイベントはスキップすることができないため、コンテンツファインダー申請中の場合などは、ご注意ください。			未だ訪れぬ過去							
イスメーネーへの質問を開始しますか？			イスメーネーへの質問を開始しますか？			未だ訪れぬ過去							
こんにちは、イスメーネー。ヘルメス所長について、少し聞きたいことがあるのです。彼女彼の質問に答えていただいても？			こんにちは、イスメーネー。ヘルメス所長について、少し聞きたいことがあるのです。彼女彼の質問に答えていただいても？			未だ訪れぬ過去							
ああ、ヴェーネス様。ほかならぬ貴女の頼みとあらば、喜んでご協力いたしますよ。			ああ、ヴェーネス様。ほかならぬ貴女の頼みとあらば、喜んでご協力いたしますよ。			未だ訪れぬ過去							
それで、質問というのは……？			それで、質問というのは……？			未だ訪れぬ過去							
何と言う？			何と言う？			未だ訪れぬ過去							
ヘルメスってどんな人？			ヘルメスってどんな人？			未だ訪れぬ過去							
ヘルメスの趣味は？			ヘルメスの趣味は？			未だ訪れぬ過去							
どんな人……そうですね……。			どんな人……そうですね……。			未だ訪れぬ過去							
物静かな人だと思います。寡黙というか、少し口下手というか……。			物静かな人だと思います。寡黙というか、少し口下手というか……。			未だ訪れぬ過去							
好き好んで人前に出ることはないですが、所長としての職務は、しっかりとこなしてくれていますよ。			好き好んで人前に出ることはないですが、所長としての職務は、しっかりとこなしてくれていますよ。			未だ訪れぬ過去							
それから、とにかく生物についての知識が豊富です。どの分野でも人並み以上ですが、やはり、得意とする飛行生物については他の追随を許しません。			それから、とにかく生物についての知識が豊富です。どの分野でも人並み以上ですが、やはり、得意とする飛行生物については他の追随を許しません。			未だ訪れぬ過去							
趣味……趣味ですか……うーん……。			趣味……趣味ですか……うーん……。			未だ訪れぬ過去							
飛行生物の創造は、得意としているようですよ。ほかにも、あらゆる分野の生物について知識が豊富なので、それが趣味かどうかはわかりませんが……。			飛行生物の創造は、得意としているようですよ。ほかにも、あらゆる分野の生物について知識が豊富なので、それが趣味かどうかはわかりませんが……。			未だ訪れぬ過去							
人柄や仕事ぶりはどうですか？			人柄や仕事ぶりはどうですか？			未だ訪れぬ過去							
物静かな人だと思います。寡黙というか、少し口下手というか……。			物静かな人だと思います。寡黙というか、少し口下手というか……。			未だ訪れぬ過去							
好き好んで人前に出ることはないですが、所長としての職務は、しっかりとこなしてくれていますよ。			好き好んで人前に出ることはないですが、所長としての職務は、しっかりとこなしてくれていますよ。			未だ訪れぬ過去							
こんな回答で役に立てばいいのですが……。ほかにも何かありますか？			こんな回答で役に立てばいいのですが……。ほかにも何かありますか？			未だ訪れぬ過去							
何と言う？			何と言う？			未だ訪れぬ過去							
メーティオンはいつからいる？			メーティオンはいつからいる？			未だ訪れぬ過去							
メーティオンのことを知っている？			メーティオンのことを知っている？			未だ訪れぬ過去							
さあ……。あれは私たちの研究対象ではなく、ヘルメスが個人的に創造したものですから……。			さあ……。あれは私たちの研究対象ではなく、ヘルメスが個人的に創造したものですから……。			未だ訪れぬ過去							
いつの間にかいた……と。彼女について、どういった認識ですか？			いつの間にかいた……と。彼女について、どういった認識ですか？			未だ訪れぬ過去							
「想いを直接受け取り、送る」という、大変めずらしい能力を持った使い魔だと思っています。その能力をどうやって創り出したかは、定かでないですが。			「想いを直接受け取り、送る」という、大変めずらしい能力を持った使い魔だと思っています。その能力をどうやって創り出したかは、定かでないですが。			未だ訪れぬ過去							
ええ、ヘルメスの使い魔ですよね。最近はいつも一緒にいて、まさしく親鳥とヒナ鳥のようです。			ええ、ヘルメスの使い魔ですよね。最近はいつも一緒にいて、まさしく親鳥とヒナ鳥のようです。			未だ訪れぬ過去							
彼女は「想いを直接受け取り、送る」という、大変めずらしい能力を持っているのですよ。その能力をどうやって創り出したかは、定かでないですが。			彼女は「想いを直接受け取り、送る」という、大変めずらしい能力を持っているのですよ。その能力をどうやって創り出したかは、定かでないですが。			未だ訪れぬ過去							
……すみません、解説できるほどの知識がなくて。ヘルメスと、あまりそういう話をしたことがないんです。			……すみません、解説できるほどの知識がなくて。ヘルメスと、あまりそういう話をしたことがないんです。			未だ訪れぬ過去							
何と言う？			何と言う？			未だ訪れぬ過去							
もっと所長を知りたくないの？			もっと所長を知りたくないの？			未だ訪れぬ過去							
ヘルメスって怪しくない？			ヘルメスって怪しくない？			未だ訪れぬ過去							
職務については、きちんと必要な共有ができていますから。彼個人の領域に踏み込もうとは思いませんよ。			職務については、きちんと必要な共有ができていますから。彼個人の領域に踏み込もうとは思いませんよ。			未だ訪れぬ過去							
ああ、ただ、同じく飛行生物の創造を得意としている、同僚の「ティマイオス」ならば、メーティオンについて、もっと詳しく知っているかもしれません。			ああ、ただ、同じく飛行生物の創造を得意としている、同僚の「ティマイオス」ならば、メーティオンについて、もっと詳しく知っているかもしれません。			未だ訪れぬ過去							
彼は今、東の川辺で観察にあたっているはずですよ。もし会いに行くなら、要点を明確にすることをオススメします。彼は話し始めると長いことで有名ですから……。			彼は今、東の川辺で観察にあたっているはずですよ。もし会いに行くなら、要点を明確にすることをオススメします。彼は話し始めると長いことで有名ですから……。			未だ訪れぬ過去							
いえ……？職務については必要な共有がされていますし、昔から知っている相手なので、怪しいとは感じませんが……。			いえ……？職務については必要な共有がされていますし、昔から知っている相手なので、怪しいとは感じませんが……。			未だ訪れぬ過去							
戸惑わせてしまって、ごめんなさい。メーティオンの方について、もっと詳しく知っていそうな人はいませんか？			戸惑わせてしまって、ごめんなさい。メーティオンの方について、もっと詳しく知っていそうな人はいませんか？			未だ訪れぬ過去							
ああ、同僚の「ティマイオス」ならば、同じく飛行生物の創造を得意としているので、何かわかるかもしれません。			ああ、同僚の「ティマイオス」ならば、同じく飛行生物の創造を得意としているので、何かわかるかもしれません。			未だ訪れぬ過去							
彼は今、東の川辺で観察にあたっているはずですよ。もし会いに行くなら、要点を明確にすることをオススメします。彼は話し始めると長いことで有名ですから……。			彼は今、東の川辺で観察にあたっているはずですよ。もし会いに行くなら、要点を明確にすることをオススメします。彼は話し始めると長いことで有名ですから……。			未だ訪れぬ過去							
なるほど……。いろいろ教えていただき感謝します。			なるほど……。いろいろ教えていただき感謝します。			未だ訪れぬ過去							
いえ、これくらいならば訳もありません。滞在中に何かあれば、またいつでもお声がけください。			いえ、これくらいならば訳もありません。滞在中に何かあれば、またいつでもお声がけください。			未だ訪れぬ過去							
Forename、向こうで少し話しましょうか。			Forename、向こうで少し話しましょうか。			未だ訪れぬ過去							
ときに、あなたは……？もしや、ヴェーネス様の使い魔でしょうか。だとしたら、主に恵まれましたね。			ときに、あなたは……？もしや、ヴェーネス様の使い魔でしょうか。だとしたら、主に恵まれましたね。			未だ訪れぬ過去							
ひとまず、ひとり分、彼らに関する証言が得られましたね。この調子で、職員や観察者に話を聞いていきましょう。			ひとまず、ひとり分、彼らに関する証言が得られましたね。この調子で、職員や観察者に話を聞いていきましょう。			未だ訪れぬ過去							
私は、拠点内にいる方々に声を掛けていくので、あなたは、イスメーネーが名前を出していた、「ティマイオス」から話を聞いてきてもらえますか？			私は、拠点内にいる方々に声を掛けていくので、あなたは、イスメーネーが名前を出していた、「ティマイオス」から話を聞いてきてもらえますか？			未だ訪れぬ過去							
大丈夫、今の聞き込みでも、まったく私の出番がなかったくらいですから。あなたひとりで、十分情報を引き出せると思います。			大丈夫、今の聞き込みでも、まったく私の出番がなかったくらいですから。あなたひとりで、十分情報を引き出せると思います。			未だ訪れぬ過去							
今の聞き込みでは、私が少し口を挟んでしまいましたが……当たらずとも遠からずといった印象でしたから、次はあなたひとりでも、十分に情報を引き出せると思います。			今の聞き込みでは、私が少し口を挟んでしまいましたが……当たらずとも遠からずといった印象でしたから、次はあなたひとりでも、十分に情報を引き出せると思います。			未だ訪れぬ過去							
今の聞き込みでは、私が何度も口を挟んでしまいましたが……あれだけ物怖じせずに質問できるのであれば、十分に情報を引き出せるのではないかと思います。			今の聞き込みでは、私が何度も口を挟んでしまいましたが……あれだけ物怖じせずに質問できるのであれば、十分に情報を引き出せるのではないかと思います。			未だ訪れぬ過去							
「ティマイオス」は、東の川辺で観察にあたっているとか。足を滑らせないよう、気をつけて探してくださいね。終わり次第、このあたりで合流しましょう。			「ティマイオス」は、東の川辺で観察にあたっているとか。足を滑らせないよう、気をつけて探してくださいね。終わり次第、このあたりで合流しましょう。			未だ訪れぬ過去							
さて……私も、片っ端から聞いていくとしましょう。Forename、のちほど、またここで！			さて……私も、片っ端から聞いていくとしましょう。Forename、のちほど、またここで！			未だ訪れぬ過去							
いかにも僕がティマイオスだが……鳥の観察中なんだ、あまり大きな声は出さないでくれよ。			いかにも僕がティマイオスだが……鳥の観察中なんだ、あまり大きな声は出さないでくれよ。			未だ訪れぬ過去							
このイベントはスキップすることができないため、コンテンツファインダー申請中の場合などは、ご注意ください。			このイベントはスキップすることができないため、コンテンツファインダー申請中の場合などは、ご注意ください。			未だ訪れぬ過去							
ティマイオスへの質問を開始しますか？			ティマイオスへの質問を開始しますか？			未だ訪れぬ過去							
……で、僕に聞きたいことって何だい？			……で、僕に聞きたいことって何だい？			未だ訪れぬ過去							
何と言う？			何と言う？			未だ訪れぬ過去							
飛行生物の創造を得意としているとか……？			飛行生物の創造を得意としているとか……？			未だ訪れぬ過去							
ヘルメスの創る飛行生物をどう思う？			ヘルメスの創る飛行生物をどう思う？			未だ訪れぬ過去							
僕の創造魔法に興味があるのか！いいとも、いくらでも語ってあげよう！			僕の創造魔法に興味があるのか！いいとも、いくらでも語ってあげよう！			未だ訪れぬ過去							
始まりは、そう、僕がまだ幼いころ……父が創った黄色い羽毛の鳥を見たのがきっかけだった。クエッと鳴くそいつに憧れた僕は、それを超える鳥を目指し……			始まりは、そう、僕がまだ幼いころ……父が創った黄色い羽毛の鳥を見たのがきっかけだった。クエッと鳴くそいつに憧れた僕は、それを超える鳥を目指し……			未だ訪れぬ過去							
ティマイオスは止め処なく語り続けた……。			ティマイオスは止め処なく語り続けた……。			未だ訪れぬ過去							
そうして僕はエルピスに勤務することになった。幼き日の憧れを追い、今日も今日とて、新たな飛行生物の研究と創造に勤しんでいるというわけさ！			そうして僕はエルピスに勤務することになった。幼き日の憧れを追い、今日も今日とて、新たな飛行生物の研究と創造に勤しんでいるというわけさ！			未だ訪れぬ過去							
……という話でよかったかい？途中、だいぶ端折ってしまったから、聞き足りないところがあれば言ってくれ！			……という話でよかったかい？途中、だいぶ端折ってしまったから、聞き足りないところがあれば言ってくれ！			未だ訪れぬ過去							
…………なに？僕じゃなくてヘルメスの飛行生物について聞きたいって？なんだ、そんなことか……。			…………なに？僕じゃなくてヘルメスの飛行生物について聞きたいって？なんだ、そんなことか……。			未だ訪れぬ過去							
ふむ、ヘルメスの……そうだな……。			ふむ、ヘルメスの……そうだな……。			未だ訪れぬ過去							
飛行生物は、空をゆく姿の美しさもあって、人気が高い。すでに多くの種が生み出された昨今でも、創造に挑戦する者が、あとを絶たないほどだ。			飛行生物は、空をゆく姿の美しさもあって、人気が高い。すでに多くの種が生み出された昨今でも、創造に挑戦する者が、あとを絶たないほどだ。			未だ訪れぬ過去							
そんな中で、ヘルメスの飛空生物を特徴づけているのは、抜きんでた天文の知識を用いていることだろう。			そんな中で、ヘルメスの飛空生物を特徴づけているのは、抜きんでた天文の知識を用いていることだろう。			未だ訪れぬ過去							
目で見えないほど高高度を飛ぶ鳥や、風脈の流れに乗っているわけでもないのに、遠く離れた天へと瞬時に移動する鳥……。			目で見えないほど高高度を飛ぶ鳥や、風脈の流れに乗っているわけでもないのに、遠く離れた天へと瞬時に移動する鳥……。			未だ訪れぬ過去							
そういうのは、まあ、彼しか創れないだろうな。私のように、飛行生物としての「優美さ」に重きを置く者でも、ほんの少～しくらいは、仕組みが気になるところだ。			そういうのは、まあ、彼しか創れないだろうな。私のように、飛行生物としての「優美さ」に重きを置く者でも、ほんの少～しくらいは、仕組みが気になるところだ。			未だ訪れぬ過去							
何と言う？			何と言う？			未だ訪れぬ過去							
ヘルメスの真似をしちゃえば？			ヘルメスの真似をしちゃえば？			未だ訪れぬ過去							
メーティオンもすごい？			メーティオンもすごい？			未だ訪れぬ過去							
な、な、な、なんということを！			な、な、な、なんということを！			未だ訪れぬ過去							
いいかい、僕は誇りをもって創造魔法を扱っている。どんなときも、この心が美しいと感じるものを創る……それが僕にとって大事なことであり、真似なんていうのは……			いいかい、僕は誇りをもって創造魔法を扱っている。どんなときも、この心が美しいと感じるものを創る……それが僕にとって大事なことであり、真似なんていうのは……			未だ訪れぬ過去							
ティマイオスは止め処なく語り続けた……。			ティマイオスは止め処なく語り続けた……。			未だ訪れぬ過去							
以上が僕の心意気というものだ！			以上が僕の心意気というものだ！			未だ訪れぬ過去							
だから、メーティオンについても、どんな創造生物なのか、正確なところは把握していないんだ。			だから、メーティオンについても、どんな創造生物なのか、正確なところは把握していないんだ。			未だ訪れぬ過去							
それについては、なんとも答え難いな……。			それについては、なんとも答え難いな……。			未だ訪れぬ過去							
実のところ、メーティオンがどんな創造生物か、正確なところは把握していないんだ。			実のところ、メーティオンがどんな創造生物か、正確なところは把握していないんだ。			未だ訪れぬ過去							
「想いを直接受け取り、送る」というのが特徴のすべてなのか、ほかにもまだ、何か目新しい能力を有しているのか……			「想いを直接受け取り、送る」というのが特徴のすべてなのか、ほかにもまだ、何か目新しい能力を有しているのか……			未だ訪れぬ過去							
それらはヘルメスがメーティオンを創造物管理局に届け出て、イデアが登録されたとき、周囲の人々に開示されるものだ。それ以前に問うのは、無作法というものさ。			それらはヘルメスがメーティオンを創造物管理局に届け出て、イデアが登録されたとき、周囲の人々に開示されるものだ。それ以前に問うのは、無作法というものさ。			未だ訪れぬ過去							
……まあ、もしも彼が、同じ分野を得意とする僕に助言を求めてきたなら、応えるのは、やぶさかではないけれどね？			……まあ、もしも彼が、同じ分野を得意とする僕に助言を求めてきたなら、応えるのは、やぶさかではないけれどね？			未だ訪れぬ過去							
何と言う？			何と言う？			未だ訪れぬ過去							
デュナミスやエンテレケイアを知っている？			デュナミスやエンテレケイアを知っている？			未だ訪れぬ過去							
メーティオンのヒント、聞きたい？			メーティオンのヒント、聞きたい？			未だ訪れぬ過去							
デュナミス……エンテレケイア……？			デュナミス……エンテレケイア……？			未だ訪れぬ過去							
うーん、どこかで聞いた気もする言葉だな……エルピスで創られた花に、そんな特性があるんじゃなかったか……？			うーん、どこかで聞いた気もする言葉だな……エルピスで創られた花に、そんな特性があるんじゃなかったか……？			未だ訪れぬ過去							
だとしたら、聞いたの自体が数百年ぶりだ。普段の仕事では、まず聞かない言葉だよ。……それがどうかしたのかい？			だとしたら、聞いたの自体が数百年ぶりだ。普段の仕事では、まず聞かない言葉だよ。……それがどうかしたのかい？			未だ訪れぬ過去							
いやいやいや、そういうのは無作法だと言ったばかりだろう！やめてくれたまえ、まったくもう……			いやいやいや、そういうのは無作法だと言ったばかりだろう！やめてくれたまえ、まったくもう……			未だ訪れぬ過去							
しかし、しかしだよ、もしヘルメスではなくて君が、それを僕に伝えた上で意見を聞きたいと思っているなら、聞いてあげる方が建設的だというのも事実であって……			しかし、しかしだよ、もしヘルメスではなくて君が、それを僕に伝えた上で意見を聞きたいと思っているなら、聞いてあげる方が建設的だというのも事実であって……			未だ訪れぬ過去							
