忘れられた騎士亭のエティエーヌは、冒険者に興味があるようだ。			忘れられた騎士亭のエティエーヌは、冒険者に興味があるようだ。			イシュガルドのモブハント（初級）							
……なあ、姉ちゃんよ。良ければ、オレやForenameが知らない、とっておきの釣り場でもありゃあ、教えちゃくれないかい？			……なあ、姉ちゃんよ。良ければ、オレやForenameが知らない、とっておきの釣り場でもありゃあ、教えちゃくれないかい？			釣り道楽、対決に興ず							
ああ、構わないよ、勝者にはご褒美も必要だしね！そう……噂というか、伝承の類になっちまうけど、ひとつ、面白い話を聞かせてあげようじゃないか。			ああ、構わないよ、勝者にはご褒美も必要だしね！そう……噂というか、伝承の類になっちまうけど、ひとつ、面白い話を聞かせてあげようじゃないか。			釣り道楽、対決に興ず							
……昔、とあるチョコボ猟師が、傷つき地に伏していた雲海魚を見つけたそうだ。空のマンタと呼ばれる「スピリット」って雲海魚をね。			……昔、とあるチョコボ猟師が、傷つき地に伏していた雲海魚を見つけたそうだ。空のマンタと呼ばれる「スピリット」って雲海魚をね。			釣り道楽、対決に興ず							
猟師は傷を手当てして、その礼に雲の彼方へと案内された……。雲の上に案内された猟師は、そこで釣り糸を垂らし、誰も見たことのないような魚を、山ほど釣り上げたらしいよ。			猟師は傷を手当てして、その礼に雲の彼方へと案内された……。雲の上に案内された猟師は、そこで釣り糸を垂らし、誰も見たことのないような魚を、山ほど釣り上げたらしいよ。			釣り道楽、対決に興ず							
チョコボ猟師の間で、暇つぶしに語られるお伽話……。でも、あたしは、この夢物語が真実じゃないかと思ってるんだ。			チョコボ猟師の間で、暇つぶしに語られるお伽話……。でも、あたしは、この夢物語が真実じゃないかと思ってるんだ。			釣り道楽、対決に興ず							
……さて、敗者はこのあたりで退散するかね。今の話、興味があったら、あんたも雲海で試してみるといいよ！			……さて、敗者はこのあたりで退散するかね。今の話、興味があったら、あんたも雲海で試してみるといいよ！			釣り道楽、対決に興ず							
ふむ、心当たりがあるな。そのチョコボ猟師が釣った魚は、「幻の雲海魚」かもしれねえ……。かつて貴族たちが乱獲した結果、姿を消したと言われている魚だ。			ふむ、心当たりがあるな。そのチョコボ猟師が釣った魚は、「幻の雲海魚」かもしれねえ……。かつて貴族たちが乱獲した結果、姿を消したと言われている魚だ。			釣り道楽、対決に興ず							
ほれ、こいつを持って行きな！当時の釣り師たちは、この「レッドバルーン」を餌にしてたらしい。			ほれ、こいつを持って行きな！当時の釣り師たちは、この「レッドバルーン」を餌にしてたらしい。			釣り道楽、対決に興ず							
そういう類の釣り餌が欲しかったら、お前さんの、馴染みの園芸師や採掘師に頼んでみなよ。同じもんを探してきてくれるはずだ！			そういう類の釣り餌が欲しかったら、お前さんの、馴染みの園芸師や採掘師に頼んでみなよ。同じもんを探してきてくれるはずだ！			釣り道楽、対決に興ず							
ともあれ、今回はお前さんのおかげで助かったぜ……。また、例の酒場で会おうや！			ともあれ、今回はお前さんのおかげで助かったぜ……。また、例の酒場で会おうや！			釣り道楽、対決に興ず							
漁師として、未知の領域を開拓し、「浮島釣り」が開放されました！			漁師として、未知の領域を開拓し、「浮島釣り」が開放されました！			釣り道楽、対決に興ず							
甲冑師ギルドのブランシュティルは、参っているようだ。			甲冑師ギルドのブランシュティルは、参っているようだ。			想定外の注文							
ブランシュティルは、想定外の注文を受けたという。リムサ・ロミンサの溺れた海豚亭にいる「ベナテール」と話そう。			ブランシュティルは、想定外の注文を受けたという。リムサ・ロミンサの溺れた海豚亭にいる「ベナテール」と話そう。			想定外の注文							
ベナテールから、軽くて頑丈な格闘士の頭防具の注文を受けた。ハ・ナンザによると、革細工師や木工師のギルドマスターの意見を求めろという。グリダニアの革細工師ギルドにいる「ゲヴァ」と、木工師ギルドにいる「ベアティヌ」に相談しよう。			ベナテールから、軽くて頑丈な格闘士の頭防具の注文を受けた。ハ・ナンザによると、革細工師や木工師のギルドマスターの意見を求めろという。グリダニアの革細工師ギルドにいる「ゲヴァ」と、木工師ギルドにいる「ベアティヌ」に相談しよう。			想定外の注文							
ゲヴァとベアティヌに相談して、参考意見を聞くことができた。甲冑師ギルドにいる「ハ・ナンザ」に報告しよう。			ゲヴァとベアティヌに相談して、参考意見を聞くことができた。甲冑師ギルドにいる「ハ・ナンザ」に報告しよう。			想定外の注文							
ハ・ナンザに報告した。最適な頭防具はチタンストライカーマスクのようだ。「チタンストライカーマスク」を製作し、溺れた海豚亭の「ベナテール」に納品しよう。			ハ・ナンザに報告した。最適な頭防具はチタンストライカーマスクのようだ。「チタンストライカーマスク」を製作し、溺れた海豚亭の「ベナテール」に納品しよう。			想定外の注文							
チタンストライカーマスクをベナテールに納品した。異業種の意見も聞いて客の要望に応えることで、ブランシュティルに手本を見せることができた。これからも、手本となるような甲冑師を目指していこう。※甲冑師のレベルが55以上になると、甲冑師ギルドのブランシュティルから次の甲冑師クエストを受注することができます。			チタンストライカーマスクをベナテールに納品した。異業種の意見も聞いて客の要望に応えることで、ブランシュティルに手本を見せることができた。これからも、手本となるような甲冑師を目指していこう。※甲冑師のレベルが55以上になると、甲冑師ギルドのブランシュティルから次の甲冑師クエストを受注することができます。			想定外の注文							
ベナテールと話す			ベナテールと話す			想定外の注文							
革細工師ギルドのゲヴァに相談			革細工師ギルドのゲヴァに相談			想定外の注文							
木工師ギルドのベアティヌに相談			木工師ギルドのベアティヌに相談			想定外の注文							
甲冑師ギルドのハ・ナンザに報告			甲冑師ギルドのハ・ナンザに報告			想定外の注文							
チタンストライカーマスクを製作ベナテールにチタンストライカーマスクを納品			チタンストライカーマスクを製作ベナテールにチタンストライカーマスクを納品			想定外の注文							
いいところに来たな、我が好敵手よ。恥を忍んで言う…………。……貴様に折り入って助力を頼みたい。			いいところに来たな、我が好敵手よ。恥を忍んで言う…………。……貴様に折り入って助力を頼みたい。			想定外の注文							
先日、我を助けてくれた冒険者から、防具の発注を受けたのだ。客の立場に立つ甲冑師を目指す我だが……その注文があまりに想定外で、正直参っておる。			先日、我を助けてくれた冒険者から、防具の発注を受けたのだ。客の立場に立つ甲冑師を目指す我だが……その注文があまりに想定外で、正直参っておる。			想定外の注文							
まずは、その冒険者である幻術士「ベナテール」から、注文の詳細を聞いてみてくれ。今は、「溺れた海豚亭」にいるはずだ。			まずは、その冒険者である幻術士「ベナテール」から、注文の詳細を聞いてみてくれ。今は、「溺れた海豚亭」にいるはずだ。			想定外の注文							
まずは、その冒険者である幻術士「ベナテール」から、注文の詳細を聞いてみてくれ。今は、「溺れた海豚亭」にいるはずだ。			まずは、その冒険者である幻術士「ベナテール」から、注文の詳細を聞いてみてくれ。今は、「溺れた海豚亭」にいるはずだ。			想定外の注文							
……君が、あの甲冑師さんの助手かい？			……君が、あの甲冑師さんの助手かい？			想定外の注文							
そうだ……Forenameという。我が助手に、貴様らの要望を伝えるがいい。			そうだ……Forenameという。我が助手に、貴様らの要望を伝えるがいい。			想定外の注文							
……僕たち今度、手強い魔物に挑むことになってね。その前に、仲間の防具を整えたくてさ。ウチの格闘士、ササピクの頭用の防具なんだけど……。			……僕たち今度、手強い魔物に挑むことになってね。その前に、仲間の防具を整えたくてさ。ウチの格闘士、ササピクの頭用の防具なんだけど……。			想定外の注文							
オイラ、素早さが命だからよ、重い兜なんてお断りだぜ～。動きが鈍っちまうからな～。			オイラ、素早さが命だからよ、重い兜なんてお断りだぜ～。動きが鈍っちまうからな～。			想定外の注文							
彼は少し前まで、ろくなものを着てくれなかったくらいでね……。だから、被っていることを忘れるくらい、とにかく軽くて頑丈な、頭用の防具をお願いしたいんだよ。			彼は少し前まで、ろくなものを着てくれなかったくらいでね……。だから、被っていることを忘れるくらい、とにかく軽くて頑丈な、頭用の防具をお願いしたいんだよ。			想定外の注文							
いったい、どうしろと言うのだ！無理難題にもほどがある。			いったい、どうしろと言うのだ！無理難題にもほどがある。			想定外の注文							
あんた、客の立場に立つとか言ってなかった？それなのに、もう泣き言かい。			あんた、客の立場に立つとか言ってなかった？それなのに、もう泣き言かい。			想定外の注文							
くっ、ハ・ナンザ……。貴様、何をしにきたというのだ？……冷やかしなら、今すぐこの場を去れ。			くっ、ハ・ナンザ……。貴様、何をしにきたというのだ？……冷やかしなら、今すぐこの場を去れ。			想定外の注文							
無理難題と決めつけて、仕事を放り出すのは見過ごせないよ。もっとも、Forenameなら、この大変な仕事でもやってくれるだろうがね。			無理難題と決めつけて、仕事を放り出すのは見過ごせないよ。もっとも、Forenameなら、この大変な仕事でもやってくれるだろうがね。			想定外の注文							
軽くて頑丈な防具といえば、「革細工師ギルド」や「木工師ギルド」だ。それぞれのギルドマスターに、意見を求めてみちゃどうだい？			軽くて頑丈な防具といえば、「革細工師ギルド」や「木工師ギルド」だ。それぞれのギルドマスターに、意見を求めてみちゃどうだい？			想定外の注文							
ふん、論外だ、扱う素材が全く違う……参考になどならぬわ。好敵手よ、無理なら無理でいいのだが……。……ここは、任せたぞ。			ふん、論外だ、扱う素材が全く違う……参考になどならぬわ。好敵手よ、無理なら無理でいいのだが……。……ここは、任せたぞ。			想定外の注文							
あれで、人に物事を頼んでいるつもりなのかね？まぁ、手本を見せてやっとくれよ。			あれで、人に物事を頼んでいるつもりなのかね？まぁ、手本を見せてやっとくれよ。			想定外の注文							
どうやら、話はついたみたいだね。君があの人の代わりに作ってくれるなら、ぜひ頼むよ。			どうやら、話はついたみたいだね。君があの人の代わりに作ってくれるなら、ぜひ頼むよ。			想定外の注文							
好敵手よ、無理なら無理でいいのだが……ここは任せたぞ。			好敵手よ、無理なら無理でいいのだが……ここは任せたぞ。			想定外の注文							
どうやら、話はついたみたいだね。君があの人の代わりに作ってくれるなら、ぜひ頼むよ。			どうやら、話はついたみたいだね。君があの人の代わりに作ってくれるなら、ぜひ頼むよ。			想定外の注文							
軽くて頑丈な防具といえば、「革細工師ギルド」や「木工師ギルド」だ。それぞれのギルドマスターに、意見を求めてみちゃどうだい？			軽くて頑丈な防具といえば、「革細工師ギルド」や「木工師ギルド」だ。それぞれのギルドマスターに、意見を求めてみちゃどうだい？			想定外の注文							
……ふうん、甲冑製作の助言を求めにね。アタシは、徹底して無駄を省くようにしているよ。命をいただいて得た革材を、無駄なく使うためにね。			……ふうん、甲冑製作の助言を求めにね。アタシは、徹底して無駄を省くようにしているよ。命をいただいて得た革材を、無駄なく使うためにね。			想定外の注文							
金属を使った加工じゃどうかは知らないけど、頑丈さを追い求めた結果、無駄が増えていないのか……今一度、考えてみるのもいいかもしれないね。			金属を使った加工じゃどうかは知らないけど、頑丈さを追い求めた結果、無駄が増えていないのか……今一度、考えてみるのもいいかもしれないね。			想定外の注文							
……ふうん、今度は甲冑とは、あんたも忙しいね。だったら、「ゲヴァパターン」を思い出してみな。あれは、一切の無駄を省くための技法だ。			……ふうん、今度は甲冑とは、あんたも忙しいね。だったら、「ゲヴァパターン」を思い出してみな。あれは、一切の無駄を省くための技法だ。			想定外の注文							
金属を使った加工じゃどうかは知らないけど、頑丈さを追い求めた結果、無駄が増えていないのか……今一度、考えてみるのもいいかもしれないね。			金属を使った加工じゃどうかは知らないけど、頑丈さを追い求めた結果、無駄が増えていないのか……今一度、考えてみるのもいいかもしれないね。			想定外の注文							
なるほど……甲冑の相談を受けるなんて……。木工では、木々の特性を知り、無数の木材から造りたい物に、最も適したものを選ぶことが重要です。			なるほど……甲冑の相談を受けるなんて……。木工では、木々の特性を知り、無数の木材から造りたい物に、最も適したものを選ぶことが重要です。			想定外の注文							
きっと、そこは甲冑も同じでしょう……。軽量化しても強度を保つ木材……いや、金属があるんじゃないですか……フフフ……。			きっと、そこは甲冑も同じでしょう……。軽量化しても強度を保つ木材……いや、金属があるんじゃないですか……フフフ……。			想定外の注文							
なんと……貴方は、甲冑にまで枝を伸ばしているのですね……。先生、ビックリしました。			なんと……貴方は、甲冑にまで枝を伸ばしているのですね……。先生、ビックリしました。			想定外の注文							
なるほど……甲冑の相談を受けるなんて……。木工では、木々の特性を知り、無数の木材から造りたい物に、最も適したものを選ぶことが重要です。			なるほど……甲冑の相談を受けるなんて……。木工では、木々の特性を知り、無数の木材から造りたい物に、最も適したものを選ぶことが重要です。			想定外の注文							
きっと、そこは甲冑も同じでしょう……軽量化しても強度を保つ木材……いや、金属があるんじゃないですか……フフフ……。			きっと、そこは甲冑も同じでしょう……軽量化しても強度を保つ木材……いや、金属があるんじゃないですか……フフフ……。			想定外の注文							
どうだい、革細工師ギルドや木工師ギルドでの話は、少しは、参考になったかい？			どうだい、革細工師ギルドや木工師ギルドでの話は、少しは、参考になったかい？			想定外の注文							
……ふむ、「無駄の排除」と「素材選び」か。金属兜から、徹底的に無駄を排除していくとすれば……マスクを作るしかないだろうね。			……ふむ、「無駄の排除」と「素材選び」か。金属兜から、徹底的に無駄を排除していくとすれば……マスクを作るしかないだろうね。			想定外の注文							
素材は、軽さと剛性を兼ね備えた「チタン」がいいだろうね。つまり、作るべきは「チタンストライカーマスク」だ！完成したら「ベナテール」に届けてやりな！			素材は、軽さと剛性を兼ね備えた「チタン」がいいだろうね。つまり、作るべきは「チタンストライカーマスク」だ！完成したら「ベナテール」に届けてやりな！			想定外の注文							
作るべきは「チタンストライカーマスク」だ！完成したら「ベナテール」に届けてやりな！			作るべきは「チタンストライカーマスク」だ！完成したら「ベナテール」に届けてやりな！			想定外の注文							
やあ、待ちかねていたよ。ササピク向けの格闘士の頭用の防具、完成したんだね？			やあ、待ちかねていたよ。ササピク向けの格闘士の頭用の防具、完成したんだね？			想定外の注文							
まさか貴様、本当にあの難題をやってのけたのか……？……どれ、我に見せてみろ。			まさか貴様、本当にあの難題をやってのけたのか……？……どれ、我に見せてみろ。			想定外の注文							
そ、そうか、素材に「チタン」を使ったのだな！薄く加工しながらも、形状を工夫することで剛性を保っている！あの無理難題を、こうも見事にこなすとは……！！			そ、そうか、素材に「チタン」を使ったのだな！薄く加工しながらも、形状を工夫することで剛性を保っている！あの無理難題を、こうも見事にこなすとは……！！			想定外の注文							
やるもんだね～！付けてることを忘れちまいそうなくらい軽いぜ～！			やるもんだね～！付けてることを忘れちまいそうなくらい軽いぜ～！			想定外の注文							
本当にありがとう、Forenameさん。これでササピクも防具を着けてくれて、僕も安心できるよ……。また、お願いしたいね。			本当にありがとう、Forenameさん。これでササピクも防具を着けてくれて、僕も安心できるよ……。また、お願いしたいね。			想定外の注文							
う、うーむ……異業種から知識を学ぶことで、実現不能に思えた客の要望を、すべて満たすとはな。……我は視野が狭く、狭量であったということか。			う、うーむ……異業種から知識を学ぶことで、実現不能に思えた客の要望を、すべて満たすとはな。……我は視野が狭く、狭量であったということか。			想定外の注文							
永遠の乙女亭のメルココは、冒険者に知らせたいことがあるようだ。			永遠の乙女亭のメルココは、冒険者に知らせたいことがあるようだ。			あま～いレシピ							
メルココは、冒険者にデルモン・ドールの参加申し込みをしてほしいようだ。リムサ・ロミンサのレストラン「ビスマルク」にいる「デルモン・ドールの実行委員」と話そう。			メルココは、冒険者にデルモン・ドールの参加申し込みをしてほしいようだ。リムサ・ロミンサのレストラン「ビスマルク」にいる「デルモン・ドールの実行委員」と話そう。			あま～いレシピ							
デルモン・ドールの実行委員と話して、参加申し込みをした。永遠の乙女亭の「メルココ」に報告しよう。			デルモン・ドールの実行委員と話して、参加申し込みをした。永遠の乙女亭の「メルココ」に報告しよう。			あま～いレシピ							
メルココに報告した。冒険者は客のデザート作りを頼まれた。永遠の乙女亭の「紅血聖女団の操舵士」と話そう。			メルココに報告した。冒険者は客のデザート作りを頼まれた。永遠の乙女亭の「紅血聖女団の操舵士」と話そう。			あま～いレシピ							
紅血聖女団の操舵士と話した。どうやら、苦手な甘い物を克服したいようだ。永遠の乙女亭の「メルココ」に報告しよう。			紅血聖女団の操舵士と話した。どうやら、苦手な甘い物を克服したいようだ。永遠の乙女亭の「メルココ」に報告しよう。			あま～いレシピ							
メルココに報告した。メルココは、あえて甘い物を出そうという。「ソーム・アル・オ・マロン」と「イシュガルドティー」を製作し、永遠の乙女亭の「メルココ」に納品しよう。			メルココに報告した。メルココは、あえて甘い物を出そうという。「ソーム・アル・オ・マロン」と「イシュガルドティー」を製作し、永遠の乙女亭の「メルココ」に納品しよう。			あま～いレシピ							
ソーム・アル・オ・マロンとイシュガルドティーを、メルココに納品した。紅血聖女団の操舵士は、甘い物を克服できたようだ。これからも大会に向けて、調理師として抜かりなく邁進しよう。※調理師のレベルが55以上になると、永遠の乙女亭のメルココから次の調理師クエストを受注することができます。			ソーム・アル・オ・マロンとイシュガルドティーを、メルココに納品した。紅血聖女団の操舵士は、甘い物を克服できたようだ。これからも大会に向けて、調理師として抜かりなく邁進しよう。※調理師のレベルが55以上になると、永遠の乙女亭のメルココから次の調理師クエストを受注することができます。			あま～いレシピ							
デルモン・ドールの実行委員と話す			デルモン・ドールの実行委員と話す			あま～いレシピ							
メルココと話す			メルココと話す			あま～いレシピ							
紅血聖女団の操舵士と話す			紅血聖女団の操舵士と話す			あま～いレシピ							
メルココに報告			メルココに報告			あま～いレシピ							
ソーム・アル・オ・マロンとイシュガルドティーを製作しメルココに納品			ソーム・アル・オ・マロンとイシュガルドティーを製作しメルココに納品			あま～いレシピ							
どうも、Forenameさん。「デルモン・ドール」の大会要項が発表されました。なんと会場は、レストラン「ビスマルク」！			どうも、Forenameさん。「デルモン・ドール」の大会要項が発表されました。なんと会場は、レストラン「ビスマルク」！			あま～いレシピ							
調理師ギルドのある店での開催とは、幸先のいい船出ですね！さっそく「デルモン・ドールの実行委員」が、大会への参加受付をしているので、申し込みをお願いします！			調理師ギルドのある店での開催とは、幸先のいい船出ですね！さっそく「デルモン・ドールの実行委員」が、大会への参加受付をしているので、申し込みをお願いします！			あま～いレシピ							
調理師ギルドのある店での開催とは、幸先のいい船出ですね！さっそく「デルモン・ドールの実行委員」が、大会への参加受付をしているので、申し込みをお願いします！			調理師ギルドのある店での開催とは、幸先のいい船出ですね！さっそく「デルモン・ドールの実行委員」が、大会への参加受付をしているので、申し込みをお願いします！			あま～いレシピ							
こちら、「デルモン・ドール」の参加受付でございます。お申し込みの方でしょうか？			こちら、「デルモン・ドール」の参加受付でございます。お申し込みの方でしょうか？			あま～いレシピ							
Forename Surname様ですね？かしこまりました……参加受付は、これにて完了です。それでは、大会でお会いしましょう。			Forename Surname様ですね？かしこまりました……参加受付は、これにて完了です。それでは、大会でお会いしましょう。			あま～いレシピ							
参加受付は、これにて完了です。それでは、大会でお会いしましょう。			参加受付は、これにて完了です。それでは、大会でお会いしましょう。			あま～いレシピ							
おつかれさまです！申し込みが済みましたら、後は開催を待つだけですね。……ところで急なのですが、お願いしたいことがあります。			おつかれさまです！申し込みが済みましたら、後は開催を待つだけですね。……ところで急なのですが、お願いしたいことがあります。			あま～いレシピ							
先ほど、お店にスイーツを食べにお客様が来られたのですが、食べたい物がメニューにないようでして、注文を決められず、悩み続けているのですよ。			先ほど、お店にスイーツを食べにお客様が来られたのですが、食べたい物がメニューにないようでして、注文を決められず、悩み続けているのですよ。			あま～いレシピ							
そこで、調理師ギルドいちの凄腕というあなたに、お客様の望む一品を、作って差し上げていただきたいのです！店内にいる「紅血聖女団の操舵士」に話を聞いてもらえますか？			そこで、調理師ギルドいちの凄腕というあなたに、お客様の望む一品を、作って差し上げていただきたいのです！店内にいる「紅血聖女団の操舵士」に話を聞いてもらえますか？			あま～いレシピ							
調理師ギルドいちの凄腕というあなたに、お客様の望む一品を、作って差し上げていただきたいのです！店内にいる「紅血聖女団の操舵士」に話を聞いてもらえますか？			調理師ギルドいちの凄腕というあなたに、お客様の望む一品を、作って差し上げていただきたいのです！店内にいる「紅血聖女団の操舵士」に話を聞いてもらえますか？			あま～いレシピ							
う～ん、どれもこれも、アタイの口に合いそうにないよ。……なんだい、見世物じゃないんだよ！！			う～ん、どれもこれも、アタイの口に合いそうにないよ。……なんだい、見世物じゃないんだよ！！			あま～いレシピ							
……メニューにない物も作ってくれる？　そりゃ助かるよ。実は、アタイはスイーツってやつが苦手なんだ。			……メニューにない物も作ってくれる？　そりゃ助かるよ。実は、アタイはスイーツってやつが苦手なんだ。			あま～いレシピ							
そんな、アタイにも堅気の彼氏ができたんだけど、その人が大の甘党でよぉ……。			そんな、アタイにも堅気の彼氏ができたんだけど、その人が大の甘党でよぉ……。			あま～いレシピ							
今度、デートすることになってさ、その前になんとか、苦手な甘い物を克服しておきたくて特訓に来たんだ……。まずはお手柔らかに、甘さを抑えたスイーツを頼めるかい？			今度、デートすることになってさ、その前になんとか、苦手な甘い物を克服しておきたくて特訓に来たんだ……。まずはお手柔らかに、甘さを抑えたスイーツを頼めるかい？			あま～いレシピ							
まずはお手柔らかに、甘さを抑えたスイーツを頼めるかい？			まずはお手柔らかに、甘さを抑えたスイーツを頼めるかい？			あま～いレシピ							
……なんと！スイーツ嫌いなんて、私には考えられない！きっと、食わず嫌いに違いありません。			……なんと！スイーツ嫌いなんて、私には考えられない！きっと、食わず嫌いに違いありません。			あま～いレシピ							
甘味を抑えるだなんてヒヨってないで、ここはあえて、徹底的に甘いスイーツを出して、甘ったれた根性を、叩き直してやりましょう！			甘味を抑えるだなんてヒヨってないで、ここはあえて、徹底的に甘いスイーツを出して、甘ったれた根性を、叩き直してやりましょう！			あま～いレシピ							
山のような生クリームに、これでもかと粉砂糖を降らせた、甘味テンコ盛りの「ソーム・アル・オ・マロン」にしましょう。トドメは、濃厚なミルクの「イシュガルドティー」です！			山のような生クリームに、これでもかと粉砂糖を降らせた、甘味テンコ盛りの「ソーム・アル・オ・マロン」にしましょう。トドメは、濃厚なミルクの「イシュガルドティー」です！			あま～いレシピ							
山のような生クリームに、これでもかと粉砂糖を降らせた、甘味テンコ盛りの「ソーム・アル・オ・マロン」にしましょう。トドメは、濃厚なミルクの「イシュガルドティー」です！			山のような生クリームに、これでもかと粉砂糖を降らせた、甘味テンコ盛りの「ソーム・アル・オ・マロン」にしましょう。トドメは、濃厚なミルクの「イシュガルドティー」です！			あま～いレシピ							
う……うへぇ……。勘弁してくれよ、どう見ても甘味たっぷりじゃないか～！			う……うへぇ……。勘弁してくれよ、どう見ても甘味たっぷりじゃないか～！			あま～いレシピ							
彼氏とのデートを成功させたくないんですか！？ギルドいちの調理師さんが作ったんですよ！騙されたと思って、食べてみてください。			彼氏とのデートを成功させたくないんですか！？ギルドいちの調理師さんが作ったんですよ！騙されたと思って、食べてみてください。			あま～いレシピ							
……ううう、もう騙されてるよ。			……ううう、もう騙されてるよ。			あま～いレシピ							
いやぁ、美味かったよ！外を包むマロンクリームが、思いの外さっぱりしてたもんで、勢いよく、内側の生クリームの山に突っ込んじまった！			いやぁ、美味かったよ！外を包むマロンクリームが、思いの外さっぱりしてたもんで、勢いよく、内側の生クリームの山に突っ込んじまった！			あま～いレシピ							
ところがどうだい、これが甘味だけじゃなくコクがある！海には慣れたアタイだけど、甘味の山にはしてやられたよ！甘い紅茶もガブ飲みさ……もうデートも怖くない、恩に着るよ！			ところがどうだい、これが甘味だけじゃなくコクがある！海には慣れたアタイだけど、甘味の山にはしてやられたよ！甘い紅茶もガブ飲みさ……もうデートも怖くない、恩に着るよ！			あま～いレシピ							
大好評でしたね、さすがです！外側のマロンクリームの甘さを抑えることで、お客様の先入観を取り除き、見事に甘味の魅力を伝えましたね！			大好評でしたね、さすがです！外側のマロンクリームの甘さを抑えることで、お客様の先入観を取り除き、見事に甘味の魅力を伝えましたね！			あま～いレシピ							
……実は、私も昔は紅血聖女団の一員だったんです。でも、船酔いが治らず船を下り、ここの給仕になりました。夢破れた当時の私は、本当にやる気がなくて……。			……実は、私も昔は紅血聖女団の一員だったんです。でも、船酔いが治らず船を下り、ここの給仕になりました。夢破れた当時の私は、本当にやる気がなくて……。			あま～いレシピ							
そんなとき、あのハ・マシャの料理を初めて食べたのです。あまりの美味しさに、私は感動しました……。そのおかげで、この仕事も好きになれたんです。			そんなとき、あのハ・マシャの料理を初めて食べたのです。あまりの美味しさに、私は感動しました……。そのおかげで、この仕事も好きになれたんです。			あま～いレシピ							
ハ・マシャもあの頃は一生懸命でした……。でもでも、あの野郎ったら、どんどんつけ上がりやがって、すっかり変わっちまったんです！			ハ・マシャもあの頃は一生懸命でした……。でもでも、あの野郎ったら、どんどんつけ上がりやがって、すっかり変わっちまったんです！			あま～いレシピ							
……たまに口汚くなるのも、海賊時代の名残なので、大目に見ていただけると幸いです。それでは、また、お待ちしております！			……たまに口汚くなるのも、海賊時代の名残なので、大目に見ていただけると幸いです。それでは、また、お待ちしております！			あま～いレシピ							
不浄の三塔のグリンカムビは、不快そうに爪を鳴らしている。			不浄の三塔のグリンカムビは、不快そうに爪を鳴らしている。			尖兵の排除							
グリンカムビから、グナース族の尖兵を追い払うよう頼まれた。不浄の三塔で、「グナース族の尖兵」に話しかけ襲われたら討伐しよう。			グリンカムビから、グナース族の尖兵を追い払うよう頼まれた。不浄の三塔で、「グナース族の尖兵」に話しかけ襲われたら討伐しよう。			尖兵の排除							
グナース族の尖兵を討伐した。不浄の三塔の「グリンカムビ」に報告しよう。			グナース族の尖兵を討伐した。不浄の三塔の「グリンカムビ」に報告しよう。			尖兵の排除							
グリンカムビに報告した。彼女は、何かとちょっかいを出してくるグナース族の尖兵を相当嫌っているようだ。			グリンカムビに報告した。彼女は、何かとちょっかいを出してくるグナース族の尖兵を相当嫌っているようだ。			尖兵の排除							
グナース族の尖兵と話し襲われたら討伐			グナース族の尖兵と話し襲われたら討伐			尖兵の排除							
グリンカムビに報告			グリンカムビに報告			尖兵の排除							
まったく、イライラする奴らだねぇ……。神を倒され焦っているのか、グナース族の連中が、標的を子竜やタマゴに切り替え、攻撃してきているのさ……。			まったく、イライラする奴らだねぇ……。神を倒され焦っているのか、グナース族の連中が、標的を子竜やタマゴに切り替え、攻撃してきているのさ……。			尖兵の排除							
この辺りに侵攻してきている、グナース族の兵を追い払ってくれないかい？これじゃ、安心して眠れやしないからねぇ……。			この辺りに侵攻してきている、グナース族の兵を追い払ってくれないかい？これじゃ、安心して眠れやしないからねぇ……。			尖兵の排除							
この辺りに侵攻してきている、グナース族の兵を追い払ってくれないかい？これじゃ、安心して眠れやしないからねぇ……。			この辺りに侵攻してきている、グナース族の兵を追い払ってくれないかい？これじゃ、安心して眠れやしないからねぇ……。			尖兵の排除							
シシシシシ……敵なら容赦しないぞ！			シシシシシ……敵なら容赦しないぞ！			尖兵の排除							
見つかったか……シシシシシ……。			見つかったか……シシシシシ……。			尖兵の排除							
邪魔するものは、排除するのみ……シシシシシ……！			邪魔するものは、排除するのみ……シシシシシ……！			尖兵の排除							
奴らの気配がなくなったようだ、ありがとうねぇ。あの虫ども……本当に迷惑な奴らだよ。			奴らの気配がなくなったようだ、ありがとうねぇ。あの虫ども……本当に迷惑な奴らだよ。			尖兵の排除							
グナースの塚のイゼルは、冒険者の覚悟を確認したいようだ。			グナースの塚のイゼルは、冒険者の覚悟を確認したいようだ。			武神降臨							
いよいよグナース族に投降することとなった。グナースの塚のイゼルとともに、グナース族に捕まろう。			いよいよグナース族に投降することとなった。グナースの塚のイゼルとともに、グナース族に捕まろう。			武神降臨							
グナース族に、供物穴へと連行された。ここにグナース族の降ろした蛮神がいるのだろうか？供物穴の奥の部屋へ向かおう。外で準備を整えたい場合は、供物穴の北側を流れる川の付近から、高地ドラヴァニアに出入りできるようだ。			グナース族に、供物穴へと連行された。ここにグナース族の降ろした蛮神がいるのだろうか？供物穴の奥の部屋へ向かおう。外で準備を整えたい場合は、供物穴の北側を流れる川の付近から、高地ドラヴァニアに出入りできるようだ。			武神降臨							
