シェシェネ青燐泉のエレンヴィルは、冒険者を待っているようだ。			シェシェネ青燐泉のエレンヴィルは、冒険者を待っているようだ。			自然に導かれし人々							
よくわからねぇが、この謎だらけの状況を解き明かす手がかりは多いほどいい。みんなで手を取り合って、日常を取り戻そうぜ！			よくわからねぇが、この謎だらけの状況を解き明かす手がかりは多いほどいい。みんなで手を取り合って、日常を取り戻そうぜ！			荒野に落ちる影							
私とラハ君で西の集落の方も見てきたけれど、そちらの被害はなさそうだったわ。			私とラハ君で西の集落の方も見てきたけれど、そちらの被害はなさそうだったわ。			荒野に落ちる影							
メワヘイゾーンは無事だった。動物たちの方は気が立っているみたいだったが……。			メワヘイゾーンは無事だった。動物たちの方は気が立っているみたいだったが……。			荒野に落ちる影							
機械仕掛けの兵士が現れたのは、シェシェネ青燐泉だけのようね。青燐水を狙ってのことなのかしら……。			機械仕掛けの兵士が現れたのは、シェシェネ青燐泉だけのようね。青燐水を狙ってのことなのかしら……。			荒野に落ちる影							
エスティニアンが町を守ってくれたんだってね。ラマチから聞いたよ。			エスティニアンが町を守ってくれたんだってね。ラマチから聞いたよ。			荒野に落ちる影							
彼が防衛に加わってくれるというのは、本当に頼もしい限りさ。			彼が防衛に加わってくれるというのは、本当に頼もしい限りさ。			荒野に落ちる影							
それにしても、ドームは途方もない大きさだな……。あの中に、騒動の首謀者であるゾラージャの国が……？			それにしても、ドームは途方もない大きさだな……。あの中に、騒動の首謀者であるゾラージャの国が……？			荒野に落ちる影							
大きな被害はなさそうで安心したぜ……。付き合ってくれてありがとよ。			大きな被害はなさそうで安心したぜ……。付き合ってくれてありがとよ。			荒野に落ちる影							
……列車がワーリカたちにとって大切な物だってこと、ちゃんとアタシにも伝わったよ。			……列車がワーリカたちにとって大切な物だってこと、ちゃんとアタシにも伝わったよ。			荒野に落ちる影							
それでも、トライヨラのためにこの作戦を提案してくれた……。彼らの厚意を無駄にしねぇためにも、必ず成功させよう。			それでも、トライヨラのためにこの作戦を提案してくれた……。彼らの厚意を無駄にしねぇためにも、必ず成功させよう。			荒野に落ちる影							
まさか列車を爆弾に改造するなんて……かなり大胆な作戦だけど、やるしかないわね！			まさか列車を爆弾に改造するなんて……かなり大胆な作戦だけど、やるしかないわね！			荒野に落ちる影							
ナミーカさんも無事でいてくれるといいが……。			ナミーカさんも無事でいてくれるといいが……。			荒野に落ちる影							
方針が決まれば、あとは全力で実行するだけね。みんなで協力して、とびっきりの爆弾列車を完成させましょ！			方針が決まれば、あとは全力で実行するだけね。みんなで協力して、とびっきりの爆弾列車を完成させましょ！			荒野に落ちる影							
上空からの監視の目が気になるところだが……考えても仕方がない、か。			上空からの監視の目が気になるところだが……考えても仕方がない、か。			荒野に落ちる影							
シャーローニ駅のグ・ラハ・ティアは、真剣な表情で考えている。			シャーローニ駅のグ・ラハ・ティアは、真剣な表情で考えている。			路を拓くために							
ワーリカと話す			ワーリカと話す			路を拓くために							
ウクラマトと話す			ウクラマトと話す			路を拓くために							
シェンダを探す			シェンダを探す			路を拓くために							
イヤーテと話す			イヤーテと話す			路を拓くために							
まさか列車を爆弾に改造するなんて……かなり大胆な作戦だけど、やるしかないわね！			まさか列車を爆弾に改造するなんて……かなり大胆な作戦だけど、やるしかないわね！			路を拓くために							
ナミーカさんも無事でいてくれるといいが……。			ナミーカさんも無事でいてくれるといいが……。			路を拓くために							
方針が決まれば、あとは全力で実行するだけね。みんなで協力して、とびっきりの爆弾列車を完成させましょ！			方針が決まれば、あとは全力で実行するだけね。みんなで協力して、とびっきりの爆弾列車を完成させましょ！			路を拓くために							
この作戦、必ず成功させようぜ！			この作戦、必ず成功させようぜ！			路を拓くために							
……作戦に異論はないが、少し確認してもいいか？			……作戦に異論はないが、少し確認してもいいか？			路を拓くために							
爆弾列車で基地の防備に風穴を開ければ、ドーム内に入るための足がかりは作れるだろう。だが、ゾラージャ側からの都市部への報復は考えなくていいのか？			爆弾列車で基地の防備に風穴を開ければ、ドーム内に入るための足がかりは作れるだろう。だが、ゾラージャ側からの都市部への報復は考えなくていいのか？			路を拓くために							
その可能性については、アタシも考えた。……ただ、ゾラージャはこう言ってたんだ。			その可能性については、アタシも考えた。……ただ、ゾラージャはこう言ってたんだ。			路を拓くために							
「決闘」の機会を与える……そして「我が国」に攻め入ってこいって……。			「決闘」の機会を与える……そして「我が国」に攻め入ってこいって……。			路を拓くために							
つまり、アタシたちに余裕を見せつけることで、自分の国が、トライヨラより格上であることを誇示したいのさ。			つまり、アタシたちに余裕を見せつけることで、自分の国が、トライヨラより格上であることを誇示したいのさ。			路を拓くために							
だから、武王不在の都を攻めて、満足はしねぇはずだ。ドーム内で堂々と待ち受け、望みどおりアタシらが攻め入れば、力の差を見せつけ、叩き潰そうとしてくるはずだからな……。			だから、武王不在の都を攻めて、満足はしねぇはずだ。ドーム内で堂々と待ち受け、望みどおりアタシらが攻め入れば、力の差を見せつけ、叩き潰そうとしてくるはずだからな……。			路を拓くために							
そうね……むしろ、ゾラージャの期待を裏切れば、トライヨラは危険に晒されると思うわ。			そうね……むしろ、ゾラージャの期待を裏切れば、トライヨラは危険に晒されると思うわ。			路を拓くために							
少なくともトライヨラの防衛体制が整うまでは、こっちは彼の望みどおり動くしかないってことね。			少なくともトライヨラの防衛体制が整うまでは、こっちは彼の望みどおり動くしかないってことね。			路を拓くために							
ああ、真正面から乗り込むことで、アタシがゾラージャの注意を引き付ける。			ああ、真正面から乗り込むことで、アタシがゾラージャの注意を引き付ける。			路を拓くために							
その間に、コーナ兄さんたちが必ず、最良の防衛策を考えてくれるはずだ……！			その間に、コーナ兄さんたちが必ず、最良の防衛策を考えてくれるはずだ……！			路を拓くために							
……そこまで考えているなら何も言うことはないさ。ほかでもない、義妹のあんたの言うことだ。			……そこまで考えているなら何も言うことはないさ。ほかでもない、義妹のあんたの言うことだ。			路を拓くために							
よし……この作戦を成功させるために、オレも知恵を絞ろう。敵の抵抗に遭うことは、想定しておくべきだからな！			よし……この作戦を成功させるために、オレも知恵を絞ろう。敵の抵抗に遭うことは、想定しておくべきだからな！			路を拓くために							
へっ……ありがとよ、グ・ラハ！			へっ……ありがとよ、グ・ラハ！			路を拓くために							
それじゃ、悠長にしてる時間もねぇことだし、「ワーリカ」のとこに行こうぜ。みんなで列車改造だ！			それじゃ、悠長にしてる時間もねぇことだし、「ワーリカ」のとこに行こうぜ。みんなで列車改造だ！			路を拓くために							
みんな作業にあたってくれてるぜ！改造なんて、ちょっとワクワクするよな。			みんな作業にあたってくれてるぜ！改造なんて、ちょっとワクワクするよな。			路を拓くために							
使えそうな素材は……と。			使えそうな素材は……と。			路を拓くために							
シェンダさんに言われた素材を確認しているの。列車の改造、頑張りましょうね！			シェンダさんに言われた素材を確認しているの。列車の改造、頑張りましょうね！			路を拓くために							
ガーロンド・アイアンワークスのみんながいたら、空飛ぶ武装列車でも作りかねないわよね。まあ、今から彼らを呼ぶ時間はないんだけど……。			ガーロンド・アイアンワークスのみんながいたら、空飛ぶ武装列車でも作りかねないわよね。まあ、今から彼らを呼ぶ時間はないんだけど……。			路を拓くために							
……今のところ、敵に動きはないようだ。何かあればすぐに知らせる。			……今のところ、敵に動きはないようだ。何かあればすぐに知らせる。			路を拓くために							
よっしゃ、ここから急ピッチで進めるぞ！お仲間さんたちには、すでに作業を割り振っておいたぜ！			よっしゃ、ここから急ピッチで進めるぞ！お仲間さんたちには、すでに作業を割り振っておいたぜ！			路を拓くために							
アタシたちは何を手伝えばいいんだ？何でもするから遠慮なく言ってくれよな！			アタシたちは何を手伝えばいいんだ？何でもするから遠慮なく言ってくれよな！			路を拓くために							
ああ、お前さんたちには、ちと相談したいことがあってな。改造の方針についてと……必要な職人についてだ。			ああ、お前さんたちには、ちと相談したいことがあってな。改造の方針についてと……必要な職人についてだ。			路を拓くために							
継承の儀で各部族と交流してきたお前さんたちだったら、協力してくれそうな奴らを知ってるんじゃないかと思ってな。			継承の儀で各部族と交流してきたお前さんたちだったら、協力してくれそうな奴らを知ってるんじゃないかと思ってな。			路を拓くために							
そういうことならアタシたちに任せてくれよ！ばっちり答えてみせるぜ！			そういうことならアタシたちに任せてくれよ！ばっちり答えてみせるぜ！			路を拓くために							
ありがてえ……！そんじゃ、さっそく質問させてもらうぜ！			ありがてえ……！そんじゃ、さっそく質問させてもらうぜ！			路を拓くために							
よし、ひとつ目の相談なんだが……敵の基地に近づけば、当然迎撃される可能性があるだろ？			よし、ひとつ目の相談なんだが……敵の基地に近づけば、当然迎撃される可能性があるだろ？			路を拓くために							
お前さんたちに敵の対処を任せるとしても、青燐水が満杯になった貨車を狙われたら、ひとたまりもねえ。			お前さんたちに敵の対処を任せるとしても、青燐水が満杯になった貨車を狙われたら、ひとたまりもねえ。			路を拓くために							
目撃者の話じゃ、敵兵は雷撃を放つ武器を使うらしい。だから、クリスタル製の避雷針でも付けようと思うんだが……「大工仕事が得意な知り合い」はいないか？			目撃者の話じゃ、敵兵は雷撃を放つ武器を使うらしい。だから、クリスタル製の避雷針でも付けようと思うんだが……「大工仕事が得意な知り合い」はいないか？			路を拓くために							
何と言う？			何と言う？			路を拓くために							
ウケブという大工を知っている			ウケブという大工を知っている			路を拓くために							
マーブルという大工を知っている			マーブルという大工を知っている			路を拓くために							
ほう、オック・ハヌに優秀な大工がいるんだな。そいつはぜひとも協力を頼みてえ！			ほう、オック・ハヌに優秀な大工がいるんだな。そいつはぜひとも協力を頼みてえ！			路を拓くために							
ああ、ウケブなら申し分ないな！ちょっと気難しいところもあるけど……「オフォカリー」って挨拶すれば大丈夫さ！			ああ、ウケブなら申し分ないな！ちょっと気難しいところもあるけど……「オフォカリー」って挨拶すれば大丈夫さ！			路を拓くために							
Forename……わかるぜ、人の名前を覚えるのは大変だよな。でも、大工はマーブルじゃなくて、ウケブのおっちゃんだぜ！			Forename……わかるぜ、人の名前を覚えるのは大変だよな。でも、大工はマーブルじゃなくて、ウケブのおっちゃんだぜ！			路を拓くために							
ほう、ウケブという大工がいるんだな。そいつはぜひとも協力を頼みてえ！			ほう、ウケブという大工がいるんだな。そいつはぜひとも協力を頼みてえ！			路を拓くために							
……ただ、いかに腕利きでも、ひとりだけじゃ、作業がいつ終わるかわからんな。			……ただ、いかに腕利きでも、ひとりだけじゃ、作業がいつ終わるかわからんな。			路を拓くために							
「身体が大きくて、力持ちの知り合い」はいないか？大きくて重い部品を楽々運べる奴がいれば、それだけ仕上がりも早くなるはずだ。			「身体が大きくて、力持ちの知り合い」はいないか？大きくて重い部品を楽々運べる奴がいれば、それだけ仕上がりも早くなるはずだ。			路を拓くために							
何と言う？			何と言う？			路を拓くために							
フォンジャンテーンという知り合いがいる			フォンジャンテーンという知り合いがいる			路を拓くために							
ウォーラーの残響のヨカフイ族に知り合いがいる			ウォーラーの残響のヨカフイ族に知り合いがいる			路を拓くために							
……なるほど、フォンジャンテーンか。…………なるほどな。			……なるほど、フォンジャンテーンか。…………なるほどな。			路を拓くために							
いやいや、あいつは怪力って感じじゃねぇだろ！ここはヨカフイ族に頼んだ方が確実じゃねぇか！？			いやいや、あいつは怪力って感じじゃねぇだろ！ここはヨカフイ族に頼んだ方が確実じゃねぇか！？			路を拓くために							
おお、ヨカフイ族にまで知り合いがいるのか！さすがだな、ぜひ当てにさせてくれ！			おお、ヨカフイ族にまで知り合いがいるのか！さすがだな、ぜひ当てにさせてくれ！			路を拓くために							
ああ、あいつらなら助っ人としてばっちりだな！ヨカフイ族の怪力ぶりは有名だし、トライヨラのためなら、きっと助けてくれるさ！			ああ、あいつらなら助っ人としてばっちりだな！ヨカフイ族の怪力ぶりは有名だし、トライヨラのためなら、きっと助けてくれるさ！			路を拓くために							
おお、ヨカフイ族にまで知り合いがいるのか！さすがだな、ぜひ当てにさせてくれ！			おお、ヨカフイ族にまで知り合いがいるのか！さすがだな、ぜひ当てにさせてくれ！			路を拓くために							
んじゃ、次の相談に移らせてくれ。列車に取り付ける「武装」についてなんだがよ……。			んじゃ、次の相談に移らせてくれ。列車に取り付ける「武装」についてなんだがよ……。			路を拓くために							
高速で爆走する列車の迎撃には、あの空飛ぶ乗り物を使ってくる可能性が高いだろう。だから対抗手段が必要だと思ってな。			高速で爆走する列車の迎撃には、あの空飛ぶ乗り物を使ってくる可能性が高いだろう。だから対抗手段が必要だと思ってな。			路を拓くために							
たしかに、アタシは魔法を使えないし、コーナ兄さんみたいに銃が使えるわけでもねぇ……。			たしかに、アタシは魔法を使えないし、コーナ兄さんみたいに銃が使えるわけでもねぇ……。			路を拓くために							
遠距離攻撃が可能な武装……何か思いつくか？			遠距離攻撃が可能な武装……何か思いつくか？			路を拓くために							
何と言う？			何と言う？			路を拓くために							
コーナから銃を借りよう！			コーナから銃を借りよう！			路を拓くために							
バリスタを設置しよう！			バリスタを設置しよう！			路を拓くために							
銃か……たしかによさそうだが、飛んでる敵に当てるのは、相当な技術が必要だな……。			銃か……たしかによさそうだが、飛んでる敵に当てるのは、相当な技術が必要だな……。			路を拓くために							
もっと、大雑把に狙っても当たるようなものがあればいいが、兵器となると専門外すぎて想像もつかねえ……。			もっと、大雑把に狙っても当たるようなものがあればいいが、兵器となると専門外すぎて想像もつかねえ……。			路を拓くために							
なるほどな……バリスタか。だが、いちいち一発射つごとにボルトを装填して、弦を引き絞ってとなると、時間がかかってしょうがねえ。			なるほどな……バリスタか。だが、いちいち一発射つごとにボルトを装填して、弦を引き絞ってとなると、時間がかかってしょうがねえ。			路を拓くために							
もっと、装填が楽にできる方法があればいいが、兵器となると専門外だからな……。			もっと、装填が楽にできる方法があればいいが、兵器となると専門外だからな……。			路を拓くために							
そういうことなら、オレに任せてくれないか？			そういうことなら、オレに任せてくれないか？			路を拓くために							
クリスタリウムにあった「魔装砲」を参考にできそうだ。いわば魔法版のバリスタってところだな。			クリスタリウムにあった「魔装砲」を参考にできそうだ。いわば魔法版のバリスタってところだな。			路を拓くために							
オレが造ったわけじゃないが、構造は理解しているから、材料と金属加工に長けた職人さえいれば、なんとかなるはずだ。			オレが造ったわけじゃないが、構造は理解しているから、材料と金属加工に長けた職人さえいれば、なんとかなるはずだ。			路を拓くために							
金属加工となると、フォンジャンテーンに頼めそうだぜ！材料は何が必要なんだ？			金属加工となると、フォンジャンテーンに頼めそうだぜ！材料は何が必要なんだ？			路を拓くために							
砲身はエーテル伝導率が高い金属なら何でもいい。ただ、エーテル供給源になる高純度のクリスタルが必要……それも火属性の力を秘めたやつがな。			砲身はエーテル伝導率が高い金属なら何でもいい。ただ、エーテル供給源になる高純度のクリスタルが必要……それも火属性の力を秘めたやつがな。			路を拓くために							
うーむ……火属性の高純度クリスタルか……それならシェシェネ青燐泉の採掘師が詳しいかもしれんな。			うーむ……火属性の高純度クリスタルか……それならシェシェネ青燐泉の採掘師が詳しいかもしれんな。			路を拓くために							
なら、クリスタル調達と職人の手配は任せていいか？その間にオレは、設計図を起こしておこう。			なら、クリスタル調達と職人の手配は任せていいか？その間にオレは、設計図を起こしておこう。			路を拓くために							
おうよ！職人の手配は俺が引き受ける！			おうよ！職人の手配は俺が引き受ける！			路を拓くために							
んで、お前さんには、必要な材料の調達を頼みたい。材料の管理はシェンダに任せてあるから、奴と話し合って進めてもらえると助かるぜ！			んで、お前さんには、必要な材料の調達を頼みたい。材料の管理はシェンダに任せてあるから、奴と話し合って進めてもらえると助かるぜ！			路を拓くために							
これで後はどうにかなりそうだな。相談に乗ってくれてありがとよ！			これで後はどうにかなりそうだな。相談に乗ってくれてありがとよ！			路を拓くために							
よーし、さっそく手配してくるぜ！最高の素材と最高の職人を集めて、最高の爆弾列車を作るぞ！			よーし、さっそく手配してくるぜ！最高の素材と最高の職人を集めて、最高の爆弾列車を作るぞ！			路を拓くために							
さて、記憶を引っ張りだしてこなくちゃな。遠い昔とはいわずとも、懐かしい……大事な記憶をさ。			さて、記憶を引っ張りだしてこなくちゃな。遠い昔とはいわずとも、懐かしい……大事な記憶をさ。			路を拓くために							
へへっ、うまくいきそうだな！			へへっ、うまくいきそうだな！			路を拓くために							
アタシもヨカ・トラルのみんなに連絡して、手伝ってもらえねぇか、掛け合ってくるよ！			アタシもヨカ・トラルのみんなに連絡して、手伝ってもらえねぇか、掛け合ってくるよ！			路を拓くために							
そっちはバリスタの材料の調達、よろしくな！「シェンダ」なら南東の方で見かけたぜ。			そっちはバリスタの材料の調達、よろしくな！「シェンダ」なら南東の方で見かけたぜ。			路を拓くために							
ええと……装甲に使う木材の発注は済んだから、次は……			ええと……装甲に使う木材の発注は済んだから、次は……			路を拓くために							
うわ、ごめん気がつかなかった！僕になにか用？			うわ、ごめん気がつかなかった！僕になにか用？			路を拓くために							
なるほど、魔装砲って奴を作るための材料が必要、と……。そのエーテル伝導率が高い金属っていうのは、心当たりがあるから、こちらで引き受けるよ。			なるほど、魔装砲って奴を作るための材料が必要、と……。そのエーテル伝導率が高い金属っていうのは、心当たりがあるから、こちらで引き受けるよ。			路を拓くために							
ただ火属性の高純度クリスタルとなると、採掘師の人に聞かないと、調達方法がわからないかも……。まるっと頼んでもいい……？			ただ火属性の高純度クリスタルとなると、採掘師の人に聞かないと、調達方法がわからないかも……。まるっと頼んでもいい……？			路を拓くために							
最高！　もう、ほんと神様！			最高！　もう、ほんと神様！			路を拓くために							
たしか、君ってば「イヤーテ」さんと知り合いなんだよね？彼女は、ここらでは名の知られた採掘師だから、相談してきてもらえると助かるよ！			たしか、君ってば「イヤーテ」さんと知り合いなんだよね？彼女は、ここらでは名の知られた採掘師だから、相談してきてもらえると助かるよ！			路を拓くために							
ほんとありがとう！火属性の高純度クリスタルの件、「イヤーテ」さんに相談してみて！			ほんとありがとう！火属性の高純度クリスタルの件、「イヤーテ」さんに相談してみて！			路を拓くために							
あら、また会いに来てくれて嬉しいよ。で、どうしたの？			あら、また会いに来てくれて嬉しいよ。で、どうしたの？			路を拓くために							
火属性の高純度クリスタルかあ……それなら前に一度、話を聞いたことあるよ。			火属性の高純度クリスタルかあ……それなら前に一度、話を聞いたことあるよ。			路を拓くために							
たしか……えーと……すぐ思い出すから、ちょっと待って！			たしか……えーと……すぐ思い出すから、ちょっと待って！			路を拓くために							
神殿騎士団本部のフィルマルベルは、警戒を続けている。			神殿騎士団本部のフィルマルベルは、警戒を続けている。			夢に見た光景							
フィルマルベルと話した。テントーワを心配したローデニケがトラル大陸からやって来た。春陽の雫という秘薬を作れば、彼を目覚めさせられるかもしれない。まずはドラヴァニア雲海のフォーアームズ付近で、「燦々と輝くダンデライオン」を集めよう。			フィルマルベルと話した。テントーワを心配したローデニケがトラル大陸からやって来た。春陽の雫という秘薬を作れば、彼を目覚めさせられるかもしれない。まずはドラヴァニア雲海のフォーアームズ付近で、「燦々と輝くダンデライオン」を集めよう。			夢に見た光景							
燦々と輝くダンデライオンを集めた。低地ドラヴァニアのシャーレアン学士街の「指定地点」で見渡し、現れた魔物を討伐して、熟成されたモルボルの唾液を手に入れよう。			燦々と輝くダンデライオンを集めた。低地ドラヴァニアのシャーレアン学士街の「指定地点」で見渡し、現れた魔物を討伐して、熟成されたモルボルの唾液を手に入れよう。			夢に見た光景							
スティンク・モルボルグレートを倒し、熟成されたモルボルの唾液を手に入れた。集めた素材を、神殿騎士団本部にいる「ローデニケ」に渡そう。			スティンク・モルボルグレートを倒し、熟成されたモルボルの唾液を手に入れた。集めた素材を、神殿騎士団本部にいる「ローデニケ」に渡そう。			夢に見た光景							
ローデニケが作った春陽の雫で、テントーワが深い眠りから覚めた。イシュガルドの聖バルロアイアン広場の「テントーワ」と話そう。			ローデニケが作った春陽の雫で、テントーワが深い眠りから覚めた。イシュガルドの聖バルロアイアン広場の「テントーワ」と話そう。			夢に見た光景							
テントーワと話した。どうやらイッカクの祭器は、相手の生命力を吸い取るのが本来の能力だったようだ。※いずれかのTANKジョブのレベルが98以上になると、聖バルロアイアン広場のテントーワから次のTANKロールクエストを受注することができます。			テントーワと話した。どうやらイッカクの祭器は、相手の生命力を吸い取るのが本来の能力だったようだ。※いずれかのTANKジョブのレベルが98以上になると、聖バルロアイアン広場のテントーワから次のTANKロールクエストを受注することができます。			夢に見た光景							
フォーアームズで燦々と輝くダンデライオンを集める			フォーアームズで燦々と輝くダンデライオンを集める			夢に見た光景							
シャーレアン学士街の指定地点で見渡してスティンク・モルボルグレートから熟成されたモルボルの唾液を入手			シャーレアン学士街の指定地点で見渡してスティンク・モルボルグレートから熟成されたモルボルの唾液を入手			夢に見た光景							
イシュガルドのローデニケに燦々と輝くダンデライオンと熟成されたモルボルの唾液を渡す			イシュガルドのローデニケに燦々と輝くダンデライオンと熟成されたモルボルの唾液を渡す			夢に見た光景							
テントーワと話す			テントーワと話す			夢に見た光景							
レオフィーヌの足取りはまだ掴めておりません。不穏分子どもを利用し、地下に身を潜めているのかと……。			レオフィーヌの足取りはまだ掴めておりません。不穏分子どもを利用し、地下に身を潜めているのかと……。			夢に見た光景							
ヤツが口にしていたという、「本番」のことも気になります。近く、大規模な襲撃があるかもしれませんね。			ヤツが口にしていたという、「本番」のことも気になります。近く、大規模な襲撃があるかもしれませんね。			夢に見た光景							
それまでに、テントーワ殿が目覚めると良いのですが……。			それまでに、テントーワ殿が目覚めると良いのですが……。			夢に見た光景							
(-聞き覚えのある声-)あっ、Forename！			(-聞き覚えのある声-)あっ、Forename！			夢に見た光景							
見つかってよかった～！イッカクの導きに、感謝を！			見つかってよかった～！イッカクの導きに、感謝を！			夢に見た光景							
おや、あなたは……服装から察するに、テントーワ殿と同郷の方ですね？			おや、あなたは……服装から察するに、テントーワ殿と同郷の方ですね？			夢に見た光景							
私は神殿騎士団のフィルマルベル、以後お見知りおきを。			私は神殿騎士団のフィルマルベル、以後お見知りおきを。			夢に見た光景							
ああ、テントーワからの手紙に書いてあった人！ワタシはローデニケ、よろしくね！			ああ、テントーワからの手紙に書いてあった人！ワタシはローデニケ、よろしくね！			夢に見た光景							
それで、テントーワはどこにいるのかな？手紙が途絶えたから、彼に何かあったのかと思って、いてもたってもいられなくなっちゃって……。			それで、テントーワはどこにいるのかな？手紙が途絶えたから、彼に何かあったのかと思って、いてもたってもいられなくなっちゃって……。			夢に見た光景							
もう、馬鹿テントーワ！あんなに威勢よく飛び出していったくせに、どうしてこんなところで寝てるんだよ。			もう、馬鹿テントーワ！あんなに威勢よく飛び出していったくせに、どうしてこんなところで寝てるんだよ。			夢に見た光景							
手紙、マメに送るって約束したでしょう。急に途絶えたら、心配するじゃない。			手紙、マメに送るって約束したでしょう。急に途絶えたら、心配するじゃない。			夢に見た光景							
……ホントに、心配したんだよ。			……ホントに、心配したんだよ。			夢に見た光景							
ケガひとつしてないのは、キミが護ってくれたおかげだね。ありがとう、Forename。			ケガひとつしてないのは、キミが護ってくれたおかげだね。ありがとう、Forename。			夢に見た光景							
何と言う？			何と言う？			夢に見た光景							
祭器の力は防げないのか？			祭器の力は防げないのか？			夢に見た光景							
キミは「眠り子」だと聞いた			キミは「眠り子」だと聞いた			夢に見た光景							
それは、眠るのをガマンできるかって質問と同じ。食事と違って、睡眠は自分の意志で拒めないよ。			それは、眠るのをガマンできるかって質問と同じ。食事と違って、睡眠は自分の意志で拒めないよ。			夢に見た光景							
加えて、深い眠りに就いてるときには、身体を動かすどころか、起きようって思うことさえできない。ココロの強さでどうにかなるものじゃないんだ……。			加えて、深い眠りに就いてるときには、身体を動かすどころか、起きようって思うことさえできない。ココロの強さでどうにかなるものじゃないんだ……。			夢に見た光景							
ああ、そうなの。この10年ずっとテントーワの眠気を肩代わりし続けてたから、普通の人に比べたら、ずっと身体が弱いんだ。			ああ、そうなの。この10年ずっとテントーワの眠気を肩代わりし続けてたから、普通の人に比べたら、ずっと身体が弱いんだ。			夢に見た光景							
けど一時的に、トライヨラで普通の生活を送ることになったから、ちゃんと運動して、ご飯も食べて、少しずつ鍛えてたの。それで、ある程度の無茶もできるようになったんだよ！			けど一時的に、トライヨラで普通の生活を送ることになったから、ちゃんと運動して、ご飯も食べて、少しずつ鍛えてたの。それで、ある程度の無茶もできるようになったんだよ！			夢に見た光景							
あの、なぜテントーワ殿はこんなにも深い眠りに？報告で聞いていたほかの被害者たちは、もっと短期間で目が覚めていたそうですが……。			あの、なぜテントーワ殿はこんなにも深い眠りに？報告で聞いていたほかの被害者たちは、もっと短期間で目が覚めていたそうですが……。			夢に見た光景							
それは……ごめん、ワタシにもわからない。			それは……ごめん、ワタシにもわからない。			夢に見た光景							
でもね、前例がないわけじゃない。うちの部族でも、これまでに何度か、眠り子が眠りから覚めなくなることがあったらしいの。			でもね、前例がないわけじゃない。うちの部族でも、これまでに何度か、眠り子が眠りから覚めなくなることがあったらしいの。			夢に見た光景							
そのまま目覚めなければ、衰弱して死んじゃうだけ。だから、なんとかして目を覚まさせるために、ある薬を飲ませたって聞いたことがある。			そのまま目覚めなければ、衰弱して死んじゃうだけ。だから、なんとかして目を覚まさせるために、ある薬を飲ませたって聞いたことがある。			夢に見た光景							
それは、どんな薬なのです？			それは、どんな薬なのです？			夢に見た光景							
深い眠りに落ちた身体に、優しい太陽の光で快適な目覚めを促す秘薬……春陽の雫。それを飲ませれば、きっと無事に目を覚ますと思う！			深い眠りに落ちた身体に、優しい太陽の光で快適な目覚めを促す秘薬……春陽の雫。それを飲ませれば、きっと無事に目を覚ますと思う！			夢に見た光景							
素材のいくつかはワタシが持ってるけど、新鮮さが大事なものは、今から集めてこなくちゃダメ。			素材のいくつかはワタシが持ってるけど、新鮮さが大事なものは、今から集めてこなくちゃダメ。			夢に見た光景							
ひとつは、こっちでの名前は知らないけど、雲よりも高い場所に咲く、黄色い花。			ひとつは、こっちでの名前は知らないけど、雲よりも高い場所に咲く、黄色い花。			夢に見た光景							
太陽の光を直接浴び続けたその花は、身体を浄化しつつ、目覚めを促す効果があるとか。			太陽の光を直接浴び続けたその花は、身体を浄化しつつ、目覚めを促す効果があるとか。			夢に見た光景							
ドラヴァニア雲海に、ダンデライオンという花が咲いています。エオルゼアの最高峰の頂きと同等の標高にある場所ですから、その条件に適うでしょう。			ドラヴァニア雲海に、ダンデライオンという花が咲いています。エオルゼアの最高峰の頂きと同等の標高にある場所ですから、その条件に適うでしょう。			夢に見た光景							
それから……モルボルって魔物の、とびっきり濃密な唾液！強い刺激臭で、深い眠りから目覚める効果があるって。			それから……モルボルって魔物の、とびっきり濃密な唾液！強い刺激臭で、深い眠りから目覚める効果があるって。			夢に見た光景							
モルボルなら低地ドラヴァニアにおりますが、好戦的で凶暴なものほど唾液も熟成されているはず。そういう個体を探して討伐すれば、手に入りそうですね。			モルボルなら低地ドラヴァニアにおりますが、好戦的で凶暴なものほど唾液も熟成されているはず。そういう個体を探して討伐すれば、手に入りそうですね。			夢に見た光景							
しかし、そうですか、アレの唾液を薬に……。			しかし、そうですか、アレの唾液を薬に……。			夢に見た光景							
そのふたつさえ揃えば、春陽の雫が作れるよ！キミなら、両方とも手に入れられないかな？			そのふたつさえ揃えば、春陽の雫が作れるよ！キミなら、両方とも手に入れられないかな？			夢に見た光景							
ありがとう！じゃあ、モルボルは後にした方がいいから、先に「燦々と輝くダンデライオン」の方からお願い！			ありがとう！じゃあ、モルボルは後にした方がいいから、先に「燦々と輝くダンデライオン」の方からお願い！			夢に見た光景							
眠ってる人をじっと見てるだけで、こんなにも不安になるなんて知らなかった。……早く声が聴きたいよ。			眠ってる人をじっと見てるだけで、こんなにも不安になるなんて知らなかった。……早く声が聴きたいよ。			夢に見た光景							
テントーワ殿の身を案じ、単身海を渡ってきたローデニケ殿。その想いの強さがあってこそ、「眠り子」たる重責に耐えられたのでしょうね。			テントーワ殿の身を案じ、単身海を渡ってきたローデニケ殿。その想いの強さがあってこそ、「眠り子」たる重責に耐えられたのでしょうね。			夢に見た光景							
