オールド・シャーレアンのノルトータは、冒険者に感心しているようだ。			オールド・シャーレアンのノルトータは、冒険者に感心しているようだ。			ギルドシップのモブハント（中級）							
転移装置から、月へと出発した。			転移装置から、月へと出発した。			月という檻							
月へと到着した。嘆きの海の涙の入江にいる「古代人らしき幻影」と話そう。			月へと到着した。嘆きの海の涙の入江にいる「古代人らしき幻影」と話そう。			月という檻							
形を成した苦悶を退けた。涙の入江の「古代人らしき幻影」と再度話そう。			形を成した苦悶を退けた。涙の入江の「古代人らしき幻影」と再度話そう。			月という檻							
幻影は消えていった。嘆きの海の監視者の館にある「指定地点」で見渡そう。			幻影は消えていった。嘆きの海の監視者の館にある「指定地点」で見渡そう。			月という檻							
周囲には誰もいなかった。監視者の館で呼び声の主を探そう。			周囲には誰もいなかった。監視者の館で呼び声の主を探そう。			月という檻							
月の監視者と出会った。彼はゾディアークの封印を再構築するため、冒険者に協力を要請した。浮上した贄の魂、その幻影に触れていこう。			月の監視者と出会った。彼はゾディアークの封印を再構築するため、冒険者に協力を要請した。浮上した贄の魂、その幻影に触れていこう。			月という檻							
アラグの転移装置を調べる			アラグの転移装置を調べる			月という檻							
古代人らしき幻影と話す			古代人らしき幻影と話す			月という檻							
古代人らしき幻影と再度話す			古代人らしき幻影と再度話す			月という檻							
指定地点で見渡す			指定地点で見渡す			月という檻							
監視者の館で呼び声の主を探す			監視者の館で呼び声の主を探す			月という檻							
君なら、きっとゼノスを止められる。彼らがゾディアークの封印を解く前に……！			君なら、きっとゼノスを止められる。彼らがゾディアークの封印を解く前に……！			月という檻							
Forename、一瞬だけ止まって。			Forename、一瞬だけ止まって。			月という檻							
……よし。あなたに託したわ、いろんな想いも、幸運も。それで必ず、あいつらに勝ってきて！			……よし。あなたに託したわ、いろんな想いも、幸運も。それで必ず、あいつらに勝ってきて！			月という檻							
俺たちも、すぐにここを発って派遣団に合流する。こっちのことは何も心配するな。			俺たちも、すぐにここを発って派遣団に合流する。こっちのことは何も心配するな。			月という檻							
クルル嬢の手当ては、私が……。あなたは先をお急ぎください。そして何より、どうかご無事で……。			クルル嬢の手当ては、私が……。あなたは先をお急ぎください。そして何より、どうかご無事で……。			月という檻							
彼女、ひどくエーテルを消耗しているわ。それから、この残滓は……かなり無茶な転移魔法を使ってここまできたようね。			彼女、ひどくエーテルを消耗しているわ。それから、この残滓は……かなり無茶な転移魔法を使ってここまできたようね。			月という檻							
よほど必死だったんだわ、ハイデリンもクルルも……。この状況、必ず私たちで何とかしてみせましょう。			よほど必死だったんだわ、ハイデリンもクルルも……。この状況、必ず私たちで何とかしてみせましょう。			月という檻							
起きたことを悔やんでいる時間はないだろう。とっととケリをつけるぞ、お互いにな。			起きたことを悔やんでいる時間はないだろう。とっととケリをつけるぞ、お互いにな。			月という檻							
………………。			………………。			月という檻							
ああ、悪い……ファダニエルの操作してた、あの転移装置に、ちょっと心当たりがあったんだ。			ああ、悪い……ファダニエルの操作してた、あの転移装置に、ちょっと心当たりがあったんだ。			月という檻							
土台となってるのは、後期アラグの様式だよ。あいつは「捨てた過去」って言ってたそうだが、アモンであったことのすべてを手放せてはいないみたいだ……。			土台となってるのは、後期アラグの様式だよ。あいつは「捨てた過去」って言ってたそうだが、アモンであったことのすべてを手放せてはいないみたいだ……。			月という檻							
あいつらを追うにあたって、それを記憶の片隅に留めておいてくれ。……役に立つかどうかは、わからないけどさ。			あいつらを追うにあたって、それを記憶の片隅に留めておいてくれ。……役に立つかどうかは、わからないけどさ。			月という檻							
ハイデリンの言葉が確かなら、あの装置は今、月の「嘆きの海」って区画にいる、「協力者」とやらのもとに繋がってるらしい。			ハイデリンの言葉が確かなら、あの装置は今、月の「嘆きの海」って区画にいる、「協力者」とやらのもとに繋がってるらしい。			月という檻							
ほかの区画に飛ばされたゼノスたちが攻め込んでくるまでに、あんたと、その「協力者」で手を打てってことなんだろう。			ほかの区画に飛ばされたゼノスたちが攻め込んでくるまでに、あんたと、その「協力者」で手を打てってことなんだろう。			月という檻							
何もかもが手探りだ。……けど、そういうときこそあんたは強い。			何もかもが手探りだ。……けど、そういうときこそあんたは強い。			月という檻							
だから、うん、思いっきり冒険してきてくれ！空の向こう……あの白き月へ！			だから、うん、思いっきり冒険してきてくれ！空の向こう……あの白き月へ！			月という檻							
さて、オレも行動開始しないとな！あんたがあの月でがんばってると思えば、どんな状況でだって、諦めずにやれそうだ！			さて、オレも行動開始しないとな！あんたがあの月でがんばってると思えば、どんな状況でだって、諦めずにやれそうだ！			月という檻							
「嘆きの海」へ移動しますか？			「嘆きの海」へ移動しますか？			月という檻							
「バブイルの塔：神門の間」へ移動しますか？			「バブイルの塔：神門の間」へ移動しますか？			月という檻							
わ、たし……私……私、は…………			わ、たし……私……私、は…………			月という檻							
ああ、そうだ……。戻るのだ……戻らなければ…………。			ああ、そうだ……。戻るのだ……戻らなければ…………。			月という檻							
アアァ……ウゥ……ァァ……！			アアァ……ウゥ……ァァ……！			月という檻							
幻影の苦悶が形を成し、襲い掛かってきた！！			幻影の苦悶が形を成し、襲い掛かってきた！！			月という檻							
アァ……帰らなくてはならない……私たちの……あの日々に……。			アァ……帰らなくてはならない……私たちの……あの日々に……。			月という檻							
(-どこからか響く声-)違う……彼らに触れてはいけない……。			(-どこからか響く声-)違う……彼らに触れてはいけない……。			月という檻							
(-どこからか響く声-)私はこちらだ……青き館に……どうか……。			(-どこからか響く声-)私はこちらだ……青き館に……どうか……。			月という檻							
周囲には、とても大きな家具が並べられている。しかし住民の姿はない。ほかの階にいるのだろうか……？			周囲には、とても大きな家具が並べられている。しかし住民の姿はない。ほかの階にいるのだろうか……？			月という檻							
フォルム・ソリウスのユルスは、焚火の始末を終えたようだ。			フォルム・ソリウスのユルスは、焚火の始末を終えたようだ。			手を震わせて							
ユルスと話す			ユルスと話す			手を震わせて							
大破した魔導アーマーにXXXVII式爆薬を使い青燐水を探す			大破した魔導アーマーにXXXVII式爆薬を使い青燐水を探す			手を震わせて							
ユルスに青燐水タンクを渡す			ユルスに青燐水タンクを渡す			手を震わせて							
指定地点で待機			指定地点で待機			手を震わせて							
ユルスと話す			ユルスと話す			手を震わせて							
私の薪拾いも、うまくなったものだろう？降雪地帯で、よく燃える薪を見つけるにはコツがあってね……！今日はついにユルスに教える側になったんだ！			私の薪拾いも、うまくなったものだろう？降雪地帯で、よく燃える薪を見つけるにはコツがあってね……！今日はついにユルスに教える側になったんだ！			手を震わせて							
私の方は、だいたい乾いたわ。池が浅かったおかげね。			私の方は、だいたい乾いたわ。池が浅かったおかげね。			手を震わせて							
さて、身体があったまったなら、もう少し青燐水の探索を続けるぞ。この公園の西に向かうんだ。			さて、身体があったまったなら、もう少し青燐水の探索を続けるぞ。この公園の西に向かうんだ。			手を震わせて							
警備用の魔導兵器が、今も巡回を続けているようだね……。			警備用の魔導兵器が、今も巡回を続けているようだね……。			手を震わせて							
ずいぶん広い道ね。石造りで、しっかり整備されてるところとか……少しだけ、アーモロートに似てるかも。			ずいぶん広い道ね。石造りで、しっかり整備されてるところとか……少しだけ、アーモロートに似てるかも。			手を震わせて							
ではこれより、近隣に放棄されている魔導兵器から、青燐水の回収を試みる。			ではこれより、近隣に放棄されている魔導兵器から、青燐水の回収を試みる。			手を震わせて							
俺たちが一度探索してはいるが、あのときは、損傷の軽微な魔導兵器を見ていったんだ。今回は「大破した魔導アーマー」を調べたい。			俺たちが一度探索してはいるが、あのときは、損傷の軽微な魔導兵器を見ていったんだ。今回は「大破した魔導アーマー」を調べたい。			手を震わせて							
多くの機体は、装甲の一部を外してからでないと、青燐水タンクを取り出せない。しかし、大破した際に、装甲が変形している可能性もある……。			多くの機体は、装甲の一部を外してからでないと、青燐水タンクを取り出せない。しかし、大破した際に、装甲が変形している可能性もある……。			手を震わせて							
そこで、お前たちに「XXXVII式爆薬」を2個ずつ渡しておく。装甲の接合部を吹っ飛ばすだけの、威力の弱いものだ。			そこで、お前たちに「XXXVII式爆薬」を2個ずつ渡しておく。装甲の接合部を吹っ飛ばすだけの、威力の弱いものだ。			手を震わせて							
「大破した魔導アーマー」を見かけたら、まずは青燐水の残量メーターを確認……。残っていそうであれば、「XXXVII式爆薬」を使って装甲を外せ。			「大破した魔導アーマー」を見かけたら、まずは青燐水の残量メーターを確認……。残っていそうであれば、「XXXVII式爆薬」を使って装甲を外せ。			手を震わせて							
残量メーターも壊れていた場合、爆薬を使うか否かは任せる。もし数が足りなくなったら言ってくれ、立場上、少量ずつではあるが補充しよう。			残量メーターも壊れていた場合、爆薬を使うか否かは任せる。もし数が足りなくなったら言ってくれ、立場上、少量ずつではあるが補充しよう。			手を震わせて							
了解したよ。それじゃあ、私たちはあちらの通りから見てこよう。			了解したよ。それじゃあ、私たちはあちらの通りから見てこよう。			手を震わせて							
「XXXVII式爆薬」は……十分あるみたいだな。			「XXXVII式爆薬」は……十分あるみたいだな。			手を震わせて							
「大破した魔導アーマー」を見かけたら、まずは青燐水の残量メーターを確認……。残っていそうであれば、それを使って装甲を外してくれ。			「大破した魔導アーマー」を見かけたら、まずは青燐水の残量メーターを確認……。残っていそうであれば、それを使って装甲を外してくれ。			手を震わせて							
残量メーターも壊れていた場合、爆薬を使うか否かは任せる。もし数が足りなくなったら言ってくれ。			残量メーターも壊れていた場合、爆薬を使うか否かは任せる。もし数が足りなくなったら言ってくれ。			手を震わせて							
「XXXVII式爆薬」を使ったみたいだな。その分、補充しておくぞ。			「XXXVII式爆薬」を使ったみたいだな。その分、補充しておくぞ。			手を震わせて							
「大破した魔導アーマー」を見かけたら、まずは青燐水の残量メーターを確認……。残っていそうであれば、それを使って装甲を外してくれ。			「大破した魔導アーマー」を見かけたら、まずは青燐水の残量メーターを確認……。残っていそうであれば、それを使って装甲を外してくれ。			手を震わせて							
残量メーターも壊れていた場合、爆薬を使うか否かは任せる。もし数が足りなくなったら、また言ってくれ。			残量メーターも壊れていた場合、爆薬を使うか否かは任せる。もし数が足りなくなったら、また言ってくれ。			手を震わせて							
魔導兵器を調べ、青燐水の残量メーターを確認した。メーターは「残量0」を示している……。			魔導兵器を調べ、青燐水の残量メーターを確認した。メーターは「残量0」を示している……。			手を震わせて							
XXXVII式爆薬を使って装甲を外し、青燐水タンクを取り出した。しかし、中身はカラだった……。			XXXVII式爆薬を使って装甲を外し、青燐水タンクを取り出した。しかし、中身はカラだった……。			手を震わせて							
青燐水の残量メーターを確認しようと試みたが、破損しており、残量は読み取れない……。			青燐水の残量メーターを確認しようと試みたが、破損しており、残量は読み取れない……。			手を震わせて							
XXXVII式爆薬を使って装甲を外し、青燐水タンクを取り出した。しかし、中身はカラだった……。			XXXVII式爆薬を使って装甲を外し、青燐水タンクを取り出した。しかし、中身はカラだった……。			手を震わせて							
青燐水の残量メーターを確認しようと試みたが、破損しており、残量は読み取れない……。			青燐水の残量メーターを確認しようと試みたが、破損しており、残量は読み取れない……。			手を震わせて							
XXXVII式爆薬を使って装甲を外し、青燐水タンクを取り出した。中には半分ほど、青燐水が残っている……！ユルスに渡して報告しよう。			XXXVII式爆薬を使って装甲を外し、青燐水タンクを取り出した。中には半分ほど、青燐水が残っている……！ユルスに渡して報告しよう。			手を震わせて							
XXXVII式爆薬がなくなってしまった……。ユルスに補充してもらおう。			XXXVII式爆薬がなくなってしまった……。ユルスに補充してもらおう。			手を震わせて							
爆薬の補充をしたいのか？それとも……。			爆薬の補充をしたいのか？それとも……。			手を震わせて							
…………！また青燐水を見つけたのか。「英雄」って呼ばれる奴は、運にも味方されてるんだな……。			…………！また青燐水を見つけたのか。「英雄」って呼ばれる奴は、運にも味方されてるんだな……。			手を震わせて							
青燐水は、ありがたく受け取らせてもらう。これがあれば、いくつかの魔導ヒーターを点けられるはずだ。			青燐水は、ありがたく受け取らせてもらう。これがあれば、いくつかの魔導ヒーターを点けられるはずだ。			手を震わせて							
そしたらお前、ここで待機していてもらえるか？俺は、アルフィノとアリゼーの様子を見てくる。			そしたらお前、ここで待機していてもらえるか？俺は、アルフィノとアリゼーの様子を見てくる。			手を震わせて							
どうした「英雄」、俺たちを無様だと思ってるのか？ちくしょうめ……！			どうした「英雄」、俺たちを無様だと思ってるのか？ちくしょうめ……！			手を震わせて							
……アルフィノとアリゼーに、危害を加えるつもりはない。あいつらが無暗に抵抗しないかぎりはな。			……アルフィノとアリゼーに、危害を加えるつもりはない。あいつらが無暗に抵抗しないかぎりはな。			手を震わせて							
キャンプ・ブロークングラスのルキアは、冒険者の帰還に安堵したようだ。			キャンプ・ブロークングラスのルキアは、冒険者の帰還に安堵したようだ。			神の門							
ルキアたちと、バブイルの塔を攻略するための作戦を確認した。ガレマルドのフォルム・パーテンズにいる「リセ」と話そう。			ルキアたちと、バブイルの塔を攻略するための作戦を確認した。ガレマルドのフォルム・パーテンズにいる「リセ」と話そう。			神の門							
突入班の仲間たちと合流した。ガレマルドのエンセラダス魔導工廠にいる「ピピン」と話そう。			突入班の仲間たちと合流した。ガレマルドのエンセラダス魔導工廠にいる「ピピン」と話そう。			神の門							
ピピンから行動開始まで待機するよう言われた。エンセラダス魔導工廠の貨物駅にある「指定地点」で待機しよう。貨物駅へは、エンセラダス魔導工廠にいる「レンテの涙の派遣団員」が案内してくれるようだ。			ピピンから行動開始まで待機するよう言われた。エンセラダス魔導工廠の貨物駅にある「指定地点」で待機しよう。貨物駅へは、エンセラダス魔導工廠にいる「レンテの涙の派遣団員」が案内してくれるようだ。			神の門							
行動開始となった。イルサバード派遣団の面々とともに「バブイルの塔」を攻略しよう。※進入地点付近にいる仲間たちと話し「パーティを編成して突入」するか、メインコマンドの「コンテンツサポーター」を選ぶことで、仲間NPCと一緒に攻略ができます。※プレイヤー同士のパーティで攻略する場合は、コンテンツファインダーから攻略に参加してください。			行動開始となった。イルサバード派遣団の面々とともに「バブイルの塔」を攻略しよう。※進入地点付近にいる仲間たちと話し「パーティを編成して突入」するか、メインコマンドの「コンテンツサポーター」を選ぶことで、仲間NPCと一緒に攻略ができます。※プレイヤー同士のパーティで攻略する場合は、コンテンツファインダーから攻略に参加してください。			神の門							
バブイルの塔で、アニマを倒した。ゼノスとファダニエルを探して、さらに上の階を目指そう。一度外に出た場合、エンセラダス魔導工廠にいる「レンテの涙の派遣団員」が案内してくれるようだ。			バブイルの塔で、アニマを倒した。ゼノスとファダニエルを探して、さらに上の階を目指そう。一度外に出た場合、エンセラダス魔導工廠にいる「レンテの涙の派遣団員」が案内してくれるようだ。			神の門							
テロフォロイのふたりを追い詰めるも、月へと向かわれてしまった。バブイルの塔の神門の間にいるアルフィノと話そう。			テロフォロイのふたりを追い詰めるも、月へと向かわれてしまった。バブイルの塔の神門の間にいるアルフィノと話そう。			神の門							
アルフィノと、互いの健闘を祈った。ゾディアークの封印が突破されてしまう前に、テロフォロイを止めよう！			アルフィノと、互いの健闘を祈った。ゾディアークの封印が突破されてしまう前に、テロフォロイを止めよう！			神の門							
リセと話す			リセと話す			神の門							
ピピンと話す			ピピンと話す			神の門							
エンセラダス魔導工廠：貨物駅の指定地点で待機			エンセラダス魔導工廠：貨物駅の指定地点で待機			神の門							
「魔導神門 バブイルの塔」を攻略			「魔導神門 バブイルの塔」を攻略			神の門							
アルフィノと話す			アルフィノと話す			神の門							
もう少し休んでいなくて大丈夫かい……？ヤ・シュトラの言ったとおりではあるが、くれぐれも、身体を第一にしてくれ。			もう少し休んでいなくて大丈夫かい……？ヤ・シュトラの言ったとおりではあるが、くれぐれも、身体を第一にしてくれ。			神の門							
さあ、作戦会議よ！もう誰も、あいつらのせいで悲しませたりしないんだから！			さあ、作戦会議よ！もう誰も、あいつらのせいで悲しませたりしないんだから！			神の門							
……まあ待て、何も言わなくていい。敵に身体をのっとられ、仲間に危害を加えようとしたのは、お前だけじゃないからな。			……まあ待て、何も言わなくていい。敵に身体をのっとられ、仲間に危害を加えようとしたのは、お前だけじゃないからな。			神の門							
お目覚めになって、安心いたしました……。どこか、不調を感じるところはございませんか？			お目覚めになって、安心いたしました……。どこか、不調を感じるところはございませんか？			神の門							
「バブイルの塔」が強烈なエーテルを放ったことで、視界が少し乱れていてね……。			「バブイルの塔」が強烈なエーテルを放ったことで、視界が少し乱れていてね……。			神の門							
一時的なものでしょうけれど、あなたのことにすぐ気がつけなかったのは悔しいわ。			一時的なものでしょうけれど、あなたのことにすぐ気がつけなかったのは悔しいわ。			神の門							
……よかった。今度こそ、オレの知ってるあんただ。			……よかった。今度こそ、オレの知ってるあんただ。			神の門							
緊急事態だったからな……多少ぞんざいに運んだが、大目に見ろよ。			緊急事態だったからな……多少ぞんざいに運んだが、大目に見ろよ。			神の門							
あなたが駆けつけた際に使っていたという身体は、まもなく冷たくなりました……。身体に戻るべき魂が、すでになかったのでしょう。			あなたが駆けつけた際に使っていたという身体は、まもなく冷たくなりました……。身体に戻るべき魂が、すでになかったのでしょう。			神の門							
遺体は、丁重に弔いたいと思います。あの者がどういった経緯で利用されたのかはわかりませんが、安らかに眠れることを願いましょう……。			遺体は、丁重に弔いたいと思います。あの者がどういった経緯で利用されたのかはわかりませんが、安らかに眠れることを願いましょう……。			神の門							
では、改めて……ある程度の察しはついているが、貴殿の身に何が起きたのか、順を追って説明してもらえるだろうか？			では、改めて……ある程度の察しはついているが、貴殿の身に何が起きたのか、順を追って説明してもらえるだろうか？			神の門							
ヴァリス帝の遺体に降ろした、蛮神「アニマ」か……。なんと惨いことを……。			ヴァリス帝の遺体に降ろした、蛮神「アニマ」か……。なんと惨いことを……。			神の門							
先のエーテル放射は、「バブイルの塔」から発せられたように見えたけれど、実際は、その中にいる「アニマ」が放ったものだったのね。			先のエーテル放射は、「バブイルの塔」から発せられたように見えたけれど、実際は、その中にいる「アニマ」が放ったものだったのね。			神の門							
そして、あなたは、ゼノスたちとの話の途中で「アニマ」の唸り声を聞いた……。			そして、あなたは、ゼノスたちとの話の途中で「アニマ」の唸り声を聞いた……。			神の門							
とすると、あなたが連れ去られた先、テロフォロイの根城も「バブイルの塔」で間違いないはずよ。			とすると、あなたが連れ去られた先、テロフォロイの根城も「バブイルの塔」で間違いないはずよ。			神の門							
それならば、今度はこちらから報告をさせてもらおう。			それならば、今度はこちらから報告をさせてもらおう。			神の門							
貴公らと帝都市民の保護を進める傍ら、サンクレッド殿ら偵察隊が得た情報をもとに、「バブイルの塔」への侵攻作戦を練っていたのだ。			貴公らと帝都市民の保護を進める傍ら、サンクレッド殿ら偵察隊が得た情報をもとに、「バブイルの塔」への侵攻作戦を練っていたのだ。			神の門							
塔内には、多数の魔導兵器のほか、大勢のテンパードたちがひしめいている……。			塔内には、多数の魔導兵器のほか、大勢のテンパードたちがひしめいている……。			神の門							
一方で、もともと魔導城に続いていた路は破壊されており、こちらが一挙に攻め上ることは難しい状況だ。			一方で、もともと魔導城に続いていた路は破壊されており、こちらが一挙に攻め上ることは難しい状況だ。			神の門							
そこで、こちらの戦力をふたつに分けたいと思います。「陽動班」と「突入班」です。			そこで、こちらの戦力をふたつに分けたいと思います。「陽動班」と「突入班」です。			神の門							
陽動班は、攻守に優れたイシュガルドとグリダニアの方々、そしてリムサ・ロミンサの職人たちです。			陽動班は、攻守に優れたイシュガルドとグリダニアの方々、そしてリムサ・ロミンサの職人たちです。			神の門							
彼らには、仮設橋の準備を進め、正面からの塔への突入を狙っているかのように動いてもらう……相手も、それを見過ごすわけにはいかないでしょう。			彼らには、仮設橋の準備を進め、正面からの塔への突入を狙っているかのように動いてもらう……相手も、それを見過ごすわけにはいかないでしょう。			神の門							
その隙に、アラミゴとウルダハ、東方連合の精鋭から成る「突入班」が、別の経路から塔内への侵入を試みます。			その隙に、アラミゴとウルダハ、東方連合の精鋭から成る「突入班」が、別の経路から塔内への侵入を試みます。			神の門							
これを見てくれ。偵察がてら作成した、このあたりの地図だ。			これを見てくれ。偵察がてら作成した、このあたりの地図だ。			神の門							
赤い丸がついているのが「エンセラダス魔導工廠(まどうこうしょう)」。今は廃墟と化してるが、魔導兵器の工場だ。			赤い丸がついているのが「エンセラダス魔導工廠(まどうこうしょう)」。今は廃墟と化してるが、魔導兵器の工場だ。			神の門							
ここの地下には線路が通っていて、魔導城まで繋がっている。往時は兵器の搬入なんかに使っていた路線なんだろう。			ここの地下には線路が通っていて、魔導城まで繋がっている。往時は兵器の搬入なんかに使っていた路線なんだろう。			神の門							
突入班は、陽動班がドンパチしてる裏で、その線路から「バブイルの塔」を目指すってわけだ。			突入班は、陽動班がドンパチしてる裏で、その線路から「バブイルの塔」を目指すってわけだ。			神の門							
ただし、ひとつだけ厄介な点がある。この線路には今も、魔導列車が通っているんだ。			ただし、ひとつだけ厄介な点がある。この線路には今も、魔導列車が通っているんだ。			神の門							
どうやら、命令を受けたテンパードたちが、塔の保全に必要な資材なんかを運び込むのに使っているらしい。			どうやら、命令を受けたテンパードたちが、塔の保全に必要な資材なんかを運び込むのに使っているらしい。			神の門							
となると、線路を徒歩でいくのではなく、列車に忍び込む……ということになりそうだね。			となると、線路を徒歩でいくのではなく、列車に忍び込む……ということになりそうだね。			神の門							
貴公ら「暁」にも、突入班に加わってもらいたい。総力を挙げ、ここでテロフォロイと決着をつけよう……！			貴公ら「暁」にも、突入班に加わってもらいたい。総力を挙げ、ここでテロフォロイと決着をつけよう……！			神の門							
何と言う？			何と言う？			神の門							
ガレマルドと世界に平和を取り戻すために！			ガレマルドと世界に平和を取り戻すために！			神の門							
身体を使われた借りは返す……！			身体を使われた借りは返す……！			神の門							
今度こそ、因縁を終わらせよう			今度こそ、因縁を終わらせよう			神の門							
ああ、ユルスたちや、各地の塔に捕らわれていた皆が、いつかまた笑える世界にしよう……！			ああ、ユルスたちや、各地の塔に捕らわれていた皆が、いつかまた笑える世界にしよう……！			神の門							
そう、その意気よ！私だって、すっごく怒ってるんだからね！			そう、その意気よ！私だって、すっごく怒ってるんだからね！			神の門							
ああ……。もう誰ひとりとして、彼らの犠牲者にしないために。			ああ……。もう誰ひとりとして、彼らの犠牲者にしないために。			神の門							
作戦はすぐ始められるのかしら？			作戦はすぐ始められるのかしら？			神の門							
ファダニエルの言葉どおり、塔が力を集めることで「真なる終末」に至るというなら、もたもたしている時間はないわ。			ファダニエルの言葉どおり、塔が力を集めることで「真なる終末」に至るというなら、もたもたしている時間はないわ。			神の門							
「バブイル」といえば、アモンの時代……古代アラグの文献に登場する言葉だ。			「バブイル」といえば、アモンの時代……古代アラグの文献に登場する言葉だ。			神の門							
意味は「神の門」。始皇帝ザンデが、妖異を召喚するために開いた門にも、その異名がついていたらしい。			意味は「神の門」。始皇帝ザンデが、妖異を召喚するために開いた門にも、その異名がついていたらしい。			神の門							
現代に再び創造された「神の門」と、ファダニエルが口にした「最古で最強の蛮神」が指すもの……結びつければ、嫌な予測が立つ。			現代に再び創造された「神の門」と、ファダニエルが口にした「最古で最強の蛮神」が指すもの……結びつければ、嫌な予測が立つ。			神の門							
派遣団の皆にも、この作戦は伝達済みだ。各班、すでに準備に取り掛かっている。			派遣団の皆にも、この作戦は伝達済みだ。各班、すでに準備に取り掛かっている。			神の門							
貴公らは、先行して経路確保に向かった突入班と合流してくれ。リセ殿らが、北の「フォルム・パーテンズ」にいるはずだ。			貴公らは、先行して経路確保に向かった突入班と合流してくれ。リセ殿らが、北の「フォルム・パーテンズ」にいるはずだ。			神の門							
さすが、素早くて助かるわ。			さすが、素早くて助かるわ。			神の門							
それじゃあ、合流場所に向かうとしましょうか。戦いの準備をしっかり整えて、ね。			それじゃあ、合流場所に向かうとしましょうか。戦いの準備をしっかり整えて、ね。			神の門							
貴公は、突入班に加わり、作戦にあたってくれ。彼らはすでに突入経路の確保に動いている。北の「フォルム・パーテンズ」で合流できるはずだ。			貴公は、突入班に加わり、作戦にあたってくれ。彼らはすでに突入経路の確保に動いている。北の「フォルム・パーテンズ」で合流できるはずだ。			神の門							
必ず作戦を成功させ、テロフォロイの脅威をここで食い止めよう。互いに……健闘を！			必ず作戦を成功させ、テロフォロイの脅威をここで食い止めよう。互いに……健闘を！			神の門							
陽動班と突入班のほかに、このキャンプと飛空艇を防衛する人員もいます。			陽動班と突入班のほかに、このキャンプと飛空艇を防衛する人員もいます。			神の門							
皆さんの拠点と退路はしっかり護り抜きますので、後顧の憂いなく、目の前の戦いを突破してください……！			皆さんの拠点と退路はしっかり護り抜きますので、後顧の憂いなく、目の前の戦いを突破してください……！			神の門							
あっ、Forenameさん！今回も突入班としてご一緒させていただきます。よろしくお願いいたします！			あっ、Forenameさん！今回も突入班としてご一緒させていただきます。よろしくお願いいたします！			神の門							
………………っくしゅ！			………………っくしゅ！			神の門							
余輩に潜入を任せようとは、無茶を言う。太陽神アジムに連なるこの身が歩めば、いかなる道も、王道にして覇道となろうに……。			余輩に潜入を任せようとは、無茶を言う。太陽神アジムに連なるこの身が歩めば、いかなる道も、王道にして覇道となろうに……。			神の門							
待ってたよ……！いよいよ「バブイルの塔」に突入だね……！			待ってたよ……！いよいよ「バブイルの塔」に突入だね……！			神の門							
何と言う？			何と言う？			神の門							
防寒具はどうした？			防寒具はどうした？			神の門							
さ、寒そう……			さ、寒そう……			神の門							
決戦だし、屋内で戦うなら、この方がいいと思ってさ。今はだいぶ寒いけど……動けばすぐにあったかくなるよ！			決戦だし、屋内で戦うなら、この方がいいと思ってさ。今はだいぶ寒いけど……動けばすぐにあったかくなるよ！			神の門							
うん、だいぶね……。だけど決戦だし、屋内で戦うなら、この方がいいと思ってさ。大丈夫、動けばすぐにあったかくなるよ！			うん、だいぶね……。だけど決戦だし、屋内で戦うなら、この方がいいと思ってさ。大丈夫、動けばすぐにあったかくなるよ！			神の門							
草原を駆け遊ぶ子らでも、もう少し着込んでいように……。狂犬ではなく、冬の原を嬉々として駆けまわる、子犬の類だったか……？			草原を駆け遊ぶ子らでも、もう少し着込んでいように……。狂犬ではなく、冬の原を嬉々として駆けまわる、子犬の類だったか……？			神の門							
アァ……？テメェ、オレたちにケンカ売ってんのか？			アァ……？テメェ、オレたちにケンカ売ってんのか？			神の門							
事実を言ったまでだ。あとで文句を垂れても、余輩の毛皮を貸すつもりはない。道中で、凍えたナーマと出会うかもしれないのでな。			事実を言ったまでだ。あとで文句を垂れても、余輩の毛皮を貸すつもりはない。道中で、凍えたナーマと出会うかもしれないのでな。			神の門							
夢見すぎなんだよ、坊や。仮にそんな奴がいたとして、テメェの獣臭い毛皮なんぞいるか。見込みある戦士なら、オレが懐であたためてやるよ。			夢見すぎなんだよ、坊や。仮にそんな奴がいたとして、テメェの獣臭い毛皮なんぞいるか。見込みある戦士なら、オレが懐であたためてやるよ。			神の門							
ま、まぁまぁ……！落ち着いてください、ふたりとも。救護用の毛布なら、私がちゃんと持ってますから……。			ま、まぁまぁ……！落ち着いてください、ふたりとも。救護用の毛布なら、私がちゃんと持ってますから……。			神の門							
あら……？考えたことは同じだったようね。			あら……？考えたことは同じだったようね。			神の門							
シュトラ！　みんなも……！着替えてきたんだね！			シュトラ！　みんなも……！着替えてきたんだね！			神の門							
ええ、それも含めて、支度は抜かりなくてよ。さっそくだけど、段取りを確認させてもらえるかしら？			ええ、それも含めて、支度は抜かりなくてよ。さっそくだけど、段取りを確認させてもらえるかしら？			神の門							
今、ピピン率いる数名が、「エンセラダス魔導工廠」を押さえにいってくれてる。			今、ピピン率いる数名が、「エンセラダス魔導工廠」を押さえにいってくれてる。			神の門							
アタシたちはそこに合流して、陽動班とテンパードたちが交戦を始めるまで待機。その後、列車に潜入して「バブイルの塔」を目指すよ。			アタシたちはそこに合流して、陽動班とテンパードたちが交戦を始めるまで待機。その後、列車に潜入して「バブイルの塔」を目指すよ。			神の門							
道中で戦ったテンパードなど、救護が必要な人は、私たちで適宜対応をします。			道中で戦ったテンパードなど、救護が必要な人は、私たちで適宜対応をします。			神の門							
