トライヨラのボロガーは、冒険者に紹介したい人がいるようだ。			トライヨラのボロガーは、冒険者に紹介したい人がいるようだ。			トラル大陸のモブハント（中級）							
いや、バナナの葉はこのあたりじゃ手に入りませんよ。ここよりも標高の低い下の森、ジャティーカ央森でしか、栽培できないと聞いたことがある。			いや、バナナの葉はこのあたりじゃ手に入りませんよ。ここよりも標高の低い下の森、ジャティーカ央森でしか、栽培できないと聞いたことがある。			森の狩人、シュバラール族							
あそこまで行っていては、かなりの時間をロスしてしまう。あるいは、トライヨラに戻れば手に入るかもしれませんが……。			あそこまで行っていては、かなりの時間をロスしてしまう。あるいは、トライヨラに戻れば手に入るかもしれませんが……。			森の狩人、シュバラール族							
まずは確実な方法として、この村の住人に譲っていただけないか交渉しましょう。			まずは確実な方法として、この村の住人に譲っていただけないか交渉しましょう。			森の狩人、シュバラール族							
ラマチ、Forenameさん。ふたりも、バナナの葉探しにお付き合いください。			ラマチ、Forenameさん。ふたりも、バナナの葉探しにお付き合いください。			森の狩人、シュバラール族							
へへっ、腹を減らすのにちょうどいいぜ！あぁ、早くシャブルク・ピビルを食ってみてぇなぁ！			へへっ、腹を減らすのにちょうどいいぜ！あぁ、早くシャブルク・ピビルを食ってみてぇなぁ！			森の狩人、シュバラール族							
では皆さん、それぞれ担当の作業に当たってください。			では皆さん、それぞれ担当の作業に当たってください。			森の狩人、シュバラール族							
……別に、この担当分けに他意はありませんよ。			……別に、この担当分けに他意はありませんよ。			森の狩人、シュバラール族							
よっしゃ！とっととバナナの葉を手に入れて、シャブルク・ピビルを作ろうぜ！			よっしゃ！とっととバナナの葉を手に入れて、シャブルク・ピビルを作ろうぜ！			森の狩人、シュバラール族							
そんで、ゾラージャ兄さんやバクージャジャのバカに勝って、秘石を手に入れるんだ！			そんで、ゾラージャ兄さんやバクージャジャのバカに勝って、秘石を手に入れるんだ！			森の狩人、シュバラール族							
マムークのアルフィノは、住人を集めたいようだ。			マムークのアルフィノは、住人を集めたいようだ。			託された絆							
マムークのマムージャ族にバクージャジャの鱗を見せる			マムークのマムージャ族にバクージャジャの鱗を見せる			託された絆							
ウクラマトと話す			ウクラマトと話す			託された絆							
ゴルマジーカ蜜園のマムージャ族にバクージャジャの鱗を見せる			ゴルマジーカ蜜園のマムージャ族にバクージャジャの鱗を見せる			託された絆							
指定地点で待機			指定地点で待機			託された絆							
ウクラマトと話す			ウクラマトと話す			託された絆							
どんな相手とも、真っ直ぐに心を通わせることができるのは、ウクラマトさんのすごいところよね。			どんな相手とも、真っ直ぐに心を通わせることができるのは、ウクラマトさんのすごいところよね。			託された絆							
双頭の誕生に、あれほど暗い真実が隠されてたなんてな。おそらくは、王都に住んでるマムージャ族たちも、この真実を知らないんだろう……。			双頭の誕生に、あれほど暗い真実が隠されてたなんてな。おそらくは、王都に住んでるマムージャ族たちも、この真実を知らないんだろう……。			託された絆							
双頭を生み出す「双血の教え」を止めるには、あいつらが、どうして双頭を求めるのかを知る必要がある。バクージャジャから託された鱗を使って話を聞こうぜ！			双頭を生み出す「双血の教え」を止めるには、あいつらが、どうして双頭を求めるのかを知る必要がある。バクージャジャから託された鱗を使って話を聞こうぜ！			託された絆							
綺麗ごとすぎるかもしれないけど、相手を許して手を取り合って、前に進んでいけたらいいと思う。とても難しいとわかっているから、なおのことね。			綺麗ごとすぎるかもしれないけど、相手を許して手を取り合って、前に進んでいけたらいいと思う。とても難しいとわかっているから、なおのことね。			託された絆							
では、マムークの住人たちに声をかけ、しかるべき場所に集まってもらうように働きかけよう。			では、マムークの住人たちに声をかけ、しかるべき場所に集まってもらうように働きかけよう。			託された絆							
ミーラジャ殿が奨めてくれた場所は、モシュトラル・ズージャ……マムークから北西に進んだところにある廃墟で、普段は誰も寄りつかないそうだ。			ミーラジャ殿が奨めてくれた場所は、モシュトラル・ズージャ……マムークから北西に進んだところにある廃墟で、普段は誰も寄りつかないそうだ。			託された絆							
声かけは、ゼレージャ殿に知られる前に済ませる必要がある。そこで、この街に来たときと同じ形で、手分けをしないかい？			声かけは、ゼレージャ殿に知られる前に済ませる必要がある。そこで、この街に来たときと同じ形で、手分けをしないかい？			託された絆							
ああ、賛成だ！バクージャジャの鱗は何枚か預かってるから、みんなに渡しとく。これを住民たちに見せて、交渉してみてくれ。			ああ、賛成だ！バクージャジャの鱗は何枚か預かってるから、みんなに渡しとく。これを住民たちに見せて、交渉してみてくれ。			託された絆							
ほら、Forename、お前にも。アタシたちの担当は北側の通路だったよな……さっそく行こうぜ！			ほら、Forename、お前にも。アタシたちの担当は北側の通路だったよな……さっそく行こうぜ！			託された絆							
前は取り付く島もないぐらい拒絶されたのに、バクージャジャの鱗を見せたら、話を聞いてくれたぜ！本当にすげぇんだな、双頭の影響力って。			前は取り付く島もないぐらい拒絶されたのに、バクージャジャの鱗を見せたら、話を聞いてくれたぜ！本当にすげぇんだな、双頭の影響力って。			託された絆							
…………。			…………。			託された絆							
その鱗は、双頭に認められた者の証……ならば、お前を拒む理由もない。			その鱗は、双頭に認められた者の証……ならば、お前を拒む理由もない。			託された絆							
それで、私に何か用でもあるのか？			それで、私に何か用でもあるのか？			託された絆							
バクージャジャ様が、モシュトラル・ズージャで呼んでいると？			バクージャジャ様が、モシュトラル・ズージャで呼んでいると？			託された絆							
なぜあのような廃村に、という疑問はあるが……双頭は私たちの願いのために戦っている。ならば我らも、その想いに報いなければ。			なぜあのような廃村に、という疑問はあるが……双頭は私たちの願いのために戦っている。ならば我らも、その想いに報いなければ。			託された絆							
何度来てもらったところで、同胞以外と話すことは許されていない。悪いが、それが教えだからだ……。			何度来てもらったところで、同胞以外と話すことは許されていない。悪いが、それが教えだからだ……。			託された絆							
これは、バクージャジャ様の鱗……この街の者以外が、双頭に認められるとは……。用件は買い物でいいのか？			これは、バクージャジャ様の鱗……この街の者以外が、双頭に認められるとは……。用件は買い物でいいのか？			託された絆							
バクージャジャ様が、モシュトラル・ズージャで話があると？この現状を変えるような、先行きの明るい話だといいが……とにかく、行ってみよう。			バクージャジャ様が、モシュトラル・ズージャで話があると？この現状を変えるような、先行きの明るい話だといいが……とにかく、行ってみよう。			託された絆							
よう、そっちはどんな調子だ？			よう、そっちはどんな調子だ？			託された絆							
おお、ふたりも誘導できたのか！こっちもちょうど今から、モシュトラル・ズージャに向かってもらうところだ！			おお、ふたりも誘導できたのか！こっちもちょうど今から、モシュトラル・ズージャに向かってもらうところだ！			託された絆							
今の奴が言うには、ここから北西に「ゴルマジーカ蜜園」って農園があるらしい。悪ぃんだけど、そこで働いてる奴にも声をかけてきてくれるか？			今の奴が言うには、ここから北西に「ゴルマジーカ蜜園」って農園があるらしい。悪ぃんだけど、そこで働いてる奴にも声をかけてきてくれるか？			託された絆							
アタシも一緒に行きたいけど、ちょっと探してる人がいてな。お互い用が済んだら、モシュトラル・ズージャで落ち合おうぜ！			アタシも一緒に行きたいけど、ちょっと探してる人がいてな。お互い用が済んだら、モシュトラル・ズージャで落ち合おうぜ！			託された絆							
よそ者ですか……。			よそ者ですか……。			託された絆							
突然、見慣れない方が現れて驚きましたが……モシュトラル・ズージャに集まるよう、伝えに来てくださったのですね。			突然、見慣れない方が現れて驚きましたが……モシュトラル・ズージャに集まるよう、伝えに来てくださったのですね。			託された絆							
わかりました。その鱗を持つ者の言葉であれば従いましょう。			わかりました。その鱗を持つ者の言葉であれば従いましょう。			託された絆							
どうしてバクージャジャ様は、よそ者のあなたに鱗を与えたのでしょう……。			どうしてバクージャジャ様は、よそ者のあなたに鱗を与えたのでしょう……。			託された絆							
バクージャジャ様は、なぜ我らをこのような廃村に集めたのだ……？			バクージャジャ様は、なぜ我らをこのような廃村に集めたのだ……？			託された絆							
どのような用件かは知らないが、バクージャジャ様のため、私にできることがあるなら本望だ。			どのような用件かは知らないが、バクージャジャ様のため、私にできることがあるなら本望だ。			託された絆							
ウクラマトは？			ウクラマトは？			託された絆							
みんな、待たせたな！			みんな、待たせたな！			託された絆							
コーナ王子にも声をかけてきたのか。			コーナ王子にも声をかけてきたのか。			託された絆							
我が妹ながら、何を考えているやら……。これは黄金郷に至るための最終試練なんだよ？			我が妹ながら、何を考えているやら……。これは黄金郷に至るための最終試練なんだよ？			託された絆							
僕は、マムークの人たちと満足に話すらできなかったんだ。放っておけば、君が先行する好機だっただろうに。			僕は、マムークの人たちと満足に話すらできなかったんだ。放っておけば、君が先行する好機だっただろうに。			託された絆							
ふたりの方が確実だろ？			ふたりの方が確実だろ？			託された絆							
協力して、試練を突破しようということかい……？			協力して、試練を突破しようということかい……？			託された絆							
違う違う、試練なんて関係ねぇよ。マムークのみんなの問題を解決するには、コーナ兄さんの知恵が必要になるかもしれねぇ。			違う違う、試練なんて関係ねぇよ。マムークのみんなの問題を解決するには、コーナ兄さんの知恵が必要になるかもしれねぇ。			託された絆							
そのためにも、兄さんにも聞いておいてもらいたかったんだ。マムークのみんなが何を願い、何を求めているのかをさ。			そのためにも、兄さんにも聞いておいてもらいたかったんだ。マムークのみんなが何を願い、何を求めているのかをさ。			託された絆							
まったく、君は……。そういうことなら、耳を貸すし知恵も出すよ。			まったく、君は……。そういうことなら、耳を貸すし知恵も出すよ。			託された絆							
みんな、集まってくれてありがとな。アタシはトライヨラ第一王女、ウクラマトだ。			みんな、集まってくれてありがとな。アタシはトライヨラ第一王女、ウクラマトだ。			託された絆							
トライヨラの王女だって？バクージャジャ様の使いじゃなかったのか！			トライヨラの王女だって？バクージャジャ様の使いじゃなかったのか！			託された絆							
私たちを騙したのか！			私たちを騙したのか！			託された絆							
(-？？？？-)そいつは、お前らを騙したりなんかしねェよ！			(-？？？？-)そいつは、お前らを騙したりなんかしねェよ！			託された絆							
(-戦のバクージャジャ-)安心しろ。こいつが持ってた鱗は、正真正銘、オレサマのもんだ。			(-戦のバクージャジャ-)安心しろ。こいつが持ってた鱗は、正真正銘、オレサマのもんだ。			託された絆							
なぜ、彼らに双頭の鱗を渡したのですか……？			なぜ、彼らに双頭の鱗を渡したのですか……？			託された絆							
(-戦のバクージャジャ-)……オレが認めたからだ。ウクラマト王女は、信頼に足る奴だってな。			(-戦のバクージャジャ-)……オレが認めたからだ。ウクラマト王女は、信頼に足る奴だってな。			託された絆							
マムークに来て初めて知ったぜ。双頭が、たくさんの命を代償にして生まれてくることを。			マムークに来て初めて知ったぜ。双頭が、たくさんの命を代償にして生まれてくることを。			託された絆							
アタシはここまでの旅で、それぞれの部族が受け継いできた文化をたくさん見てきた。どれも変わってて、面白いもんばっかりだったよ。			アタシはここまでの旅で、それぞれの部族が受け継いできた文化をたくさん見てきた。どれも変わってて、面白いもんばっかりだったよ。			託された絆							
文化ってのは、その土地や暮らしから生まれるもんだから、何が良くて、何がダメだなんて、誰かが決めるもんじゃねぇ。だけどな……			文化ってのは、その土地や暮らしから生まれるもんだから、何が良くて、何がダメだなんて、誰かが決めるもんじゃねぇ。だけどな……			託された絆							
双頭を生みだす代わりに、何の罪もない子どもの命が犠牲になるなんて……アタシは嫌だ。			双頭を生みだす代わりに、何の罪もない子どもの命が犠牲になるなんて……アタシは嫌だ。			託された絆							
もしも、お前らの中に、少しでも同じ想いがあるなら、「双血の教え」を終わらせるために、手を貸してくれ。			もしも、お前らの中に、少しでも同じ想いがあるなら、「双血の教え」を終わらせるために、手を貸してくれ。			託された絆							
(-戦のバクージャジャ-)オレからも頼む。これ以上、兄弟たちを犠牲にしたくねェんだ。			(-戦のバクージャジャ-)オレからも頼む。これ以上、兄弟たちを犠牲にしたくねェんだ。			託された絆							
そりゃあ、私たちだって……！			そりゃあ、私たちだって……！			託された絆							
ですが、双頭に願いを託さなきゃ、生活は苦しくなる一方だ。私たちに、どうやって生きろと言うんですか！？			ですが、双頭に願いを託さなきゃ、生活は苦しくなる一方だ。私たちに、どうやって生きろと言うんですか！？			託された絆							
(-魔のバクージャジャ-)まずは、王女サマに伝えてみようよ。不安や悩みを、包み隠さずにさ。彼女は、オイラたちのことを心から知ろうとしてくれてるんだ。			(-魔のバクージャジャ-)まずは、王女サマに伝えてみようよ。不安や悩みを、包み隠さずにさ。彼女は、オイラたちのことを心から知ろうとしてくれてるんだ。			託された絆							
私たちのことを……心から……？			私たちのことを……心から……？			託された絆							
それが本当なら……私はウクラマト王女と話してみたい。			それが本当なら……私はウクラマト王女と話してみたい。			託された絆							
皆、あなたの前じゃ言いづらいこともあるでしょう。しばらく、この場を離れてなさい。			皆、あなたの前じゃ言いづらいこともあるでしょう。しばらく、この場を離れてなさい。			託された絆							
ここに集まってることがゼレージャに知られたら面倒ね。近づく人がいないか、私たちで見張りましょう。			ここに集まってることがゼレージャに知られたら面倒ね。近づく人がいないか、私たちで見張りましょう。			託された絆							
Forenameは、アタシと一緒に話を聞いてくれ。これから「知る」想いを、決して聞き漏らさないようにさ。			Forenameは、アタシと一緒に話を聞いてくれ。これから「知る」想いを、決して聞き漏らさないようにさ。			託された絆							
バクージャジャ様が認めたとはいえ、トライヨラの王女と言葉を交わすなんて……。			バクージャジャ様が認めたとはいえ、トライヨラの王女と言葉を交わすなんて……。			託された絆							
「双血の教え」を終わらせる……？			「双血の教え」を終わらせる……？			託された絆							
もうずっと、胸に渦巻く苦しみを、双頭への期待に代えてきた。それを誰かが……王女が、本当に聞いてくれるなら……！			もうずっと、胸に渦巻く苦しみを、双頭への期待に代えてきた。それを誰かが……王女が、本当に聞いてくれるなら……！			託された絆							
いったい何が何だか……。			いったい何が何だか……。			託された絆							
本当ならあの子も、ここでウクラマト王女の話を聞きたいのでしょうね。でも、双頭の前では、皆が本音を言いづらいでしょうから……。			本当ならあの子も、ここでウクラマト王女の話を聞きたいのでしょうね。でも、双頭の前では、皆が本音を言いづらいでしょうから……。			託された絆							
お前と別れたあと、コーナ兄さんたちを探して歩き回ってたんだよ。			お前と別れたあと、コーナ兄さんたちを探して歩き回ってたんだよ。			託された絆							
ここに来るまでの道すがら、「双血の教え」のことや、バクージャジャから聞いた話は共有しておいた。きっと手を貸してくれるって信じてたからな。			ここに来るまでの道すがら、「双血の教え」のことや、バクージャジャから聞いた話は共有しておいた。きっと手を貸してくれるって信じてたからな。			託された絆							
みんなで力と知恵を合わせれば、双頭を巡る悲劇を終わらせることができるはずだ！			みんなで力と知恵を合わせれば、双頭を巡る悲劇を終わらせることができるはずだ！			託された絆							
フォルアード・キャビンズのアルフィノは、現在の状況をおさらいしたいようだ。			フォルアード・キャビンズのアルフィノは、現在の状況をおさらいしたいようだ。			ヤクテル樹海に翔べ！							
発着場の従業員と話す			発着場の従業員と話す			ヤクテル樹海に翔べ！							
エレンヴィルと話す			エレンヴィルと話す			ヤクテル樹海に翔べ！							
エレンヴィルと再度話す			エレンヴィルと再度話す			ヤクテル樹海に翔べ！							
アルフィノと話す			アルフィノと話す			ヤクテル樹海に翔べ！							
そろそろ集まってもいい頃合いだと思うが……ああ、来たみたいだね。			そろそろ集まってもいい頃合いだと思うが……ああ、来たみたいだね。			ヤクテル樹海に翔べ！							
皆が集まったところで、あらためて、現在の状況についておさらいしよう。			皆が集まったところで、あらためて、現在の状況についておさらいしよう。			ヤクテル樹海に翔べ！							
まず、各継承候補者の秘石の入手状況についてだが……ゾラージャ王子とコーナ王子は、ここまですべての試練を超え、5つの秘石を手にしている。			まず、各継承候補者の秘石の入手状況についてだが……ゾラージャ王子とコーナ王子は、ここまですべての試練を超え、5つの秘石を手にしている。			ヤクテル樹海に翔べ！							
ウクラマトも本来ならば同じ状況のはずだが、「壺の秘石」をバクージャジャに奪われているから、手元の秘石は4つだ。			ウクラマトも本来ならば同じ状況のはずだが、「壺の秘石」をバクージャジャに奪われているから、手元の秘石は4つだ。			ヤクテル樹海に翔べ！							
あいつはその後、ヨカフイ族の「墓の試練」と「封の試練」には参加してない。最大でも秘石は3つしか手に入れてないはずよ。			あいつはその後、ヨカフイ族の「墓の試練」と「封の試練」には参加してない。最大でも秘石は3つしか手に入れてないはずよ。			ヤクテル樹海に翔べ！							
どうせまた奪えばいいと思ってんだろうけど、そうはいくか！盗られた秘石は、絶対に取り返してやるぜ！			どうせまた奪えばいいと思ってんだろうけど、そうはいくか！盗られた秘石は、絶対に取り返してやるぜ！			ヤクテル樹海に翔べ！							
ただし、奪還だけでは済まない可能性もある。バクージャジャは、ヴァリガルマンダを覚醒させてまで、あえて次の試練に先行した。			ただし、奪還だけでは済まない可能性もある。バクージャジャは、ヴァリガルマンダを覚醒させてまで、あえて次の試練に先行した。			ヤクテル樹海に翔べ！							
おそらく、新たな秘石を手に入れつつ、後発の我々を妨害する策を、張り巡らせるつもりだろう。			おそらく、新たな秘石を手に入れつつ、後発の我々を妨害する策を、張り巡らせるつもりだろう。			ヤクテル樹海に翔べ！							
バクージャジャが、直接ほかの陣営を狙うような行動に出れば、全員で秘石の争奪戦に発展してしまうこともありえる。			バクージャジャが、直接ほかの陣営を狙うような行動に出れば、全員で秘石の争奪戦に発展してしまうこともありえる。			ヤクテル樹海に翔べ！							
……正直、ほかの奴らとやり合うのは気が進まねぇ。			……正直、ほかの奴らとやり合うのは気が進まねぇ。			ヤクテル樹海に翔べ！							
だけど、みすみす王位を譲るつもりもねぇよ！そうしなきゃトライヨラのみんなの笑顔を護れねぇってんなら、アタシは戦うぜ！			だけど、みすみす王位を譲るつもりもねぇよ！そうしなきゃトライヨラのみんなの笑顔を護れねぇってんなら、アタシは戦うぜ！			ヤクテル樹海に翔べ！							
秘石の嵌まっていない石板は、あと2つ。シュバラール族とマムージャ族の戦争終結を描いた「食の章」、そして外つ国からの訪問者を描いた「友の章」だ。			秘石の嵌まっていない石板は、あと2つ。シュバラール族とマムージャ族の戦争終結を描いた「食の章」、そして外つ国からの訪問者を描いた「友の章」だ。			ヤクテル樹海に翔べ！							
前者は、ヤクテル樹海にあるシュバラール族の村、「イクブラーシャ」が舞台となってる。			前者は、ヤクテル樹海にあるシュバラール族の村、「イクブラーシャ」が舞台となってる。			ヤクテル樹海に翔べ！							
ヤクテル樹海のイクブラーシャは、アタシの生まれ故郷だが、幼いころにオヤジに引き取られたから、まったく覚えてねぇんだ。その後も、一度も行ったことねぇしな。			ヤクテル樹海のイクブラーシャは、アタシの生まれ故郷だが、幼いころにオヤジに引き取られたから、まったく覚えてねぇんだ。その後も、一度も行ったことねぇしな。			ヤクテル樹海に翔べ！							
一方、後者の「友の章」の舞台については諸説あってな。叙事詩では、連王のもとへ外つ国よりやってきた探検家が、謁見を求めてきた……としか記されていないんだ。			一方、後者の「友の章」の舞台については諸説あってな。叙事詩では、連王のもとへ外つ国よりやってきた探検家が、謁見を求めてきた……としか記されていないんだ。			ヤクテル樹海に翔べ！							
エオルゼアで語られるケテンラムの逸話も、似たようなものだ。彼はマムージャ族の石造都市で、連王と呼ばれる双頭の王に謁見し、親密になった。			エオルゼアで語られるケテンラムの逸話も、似たようなものだ。彼はマムージャ族の石造都市で、連王と呼ばれる双頭の王に謁見し、親密になった。			ヤクテル樹海に翔べ！							
その後は、幾度もトラル大陸を訪れたが、あるとき最後の航海に出たあと、行方がわからなくなった、と。			その後は、幾度もトラル大陸を訪れたが、あるとき最後の航海に出たあと、行方がわからなくなった、と。			ヤクテル樹海に翔べ！							
石造都市に連王……だったらケテンラムが来たのは、この王都トライヨラのことなんじゃねぇか？			石造都市に連王……だったらケテンラムが来たのは、この王都トライヨラのことなんじゃねぇか？			ヤクテル樹海に翔べ！							
ケテンラムがトラル大陸に上陸したとされるのは、約80年前。当時、ここにはヨカフイ族の遺跡があるだけで、とても都市と呼べる状態じゃなかったはず。			ケテンラムがトラル大陸に上陸したとされるのは、約80年前。当時、ここにはヨカフイ族の遺跡があるだけで、とても都市と呼べる状態じゃなかったはず。			ヤクテル樹海に翔べ！							
そうか……もしかするとケテンラムがたどり着いたのは、トライヨラ建国以前までマムージャ族の本拠地とされていた、「マムーク」の方かもしれない。			そうか……もしかするとケテンラムがたどり着いたのは、トライヨラ建国以前までマムージャ族の本拠地とされていた、「マムーク」の方かもしれない。			ヤクテル樹海に翔べ！							
マムーク……それはどこにあるの？			マムーク……それはどこにあるの？			ヤクテル樹海に翔べ！							
シュバラール族の集落、イクブラーシャと同じ……ヤクテル樹海だ。			シュバラール族の集落、イクブラーシャと同じ……ヤクテル樹海だ。			ヤクテル樹海に翔べ！							
なら、やるべきことは変わらない……ヤクテル樹海を目指せばいいってわけね。			なら、やるべきことは変わらない……ヤクテル樹海を目指せばいいってわけね。			ヤクテル樹海に翔べ！							
だが、徒歩で行くには道が険しすぎる。気球発着場にいる「発着場の従業員」と話して、気球を使わせてもらうつもりだ。			だが、徒歩で行くには道が険しすぎる。気球発着場にいる「発着場の従業員」と話して、気球を使わせてもらうつもりだ。			ヤクテル樹海に翔べ！							
実を言うと、気球には乗ったことねぇんだ……船より怖くねぇ……よな？			実を言うと、気球には乗ったことねぇんだ……船より怖くねぇ……よな？			ヤクテル樹海に翔べ！							
うぅ……ぶるぶる……。			うぅ……ぶるぶる……。			ヤクテル樹海に翔べ！							
ヤクテル樹海……かつて、ヨカフイ族が黄金郷の夢を視たという地……。			ヤクテル樹海……かつて、ヨカフイ族が黄金郷の夢を視たという地……。			ヤクテル樹海に翔べ！							
搭乗手続きを済ませたら、乗りこむぞ。			搭乗手続きを済ませたら、乗りこむぞ。			ヤクテル樹海に翔べ！							
気球に乗るのは私もこれが初めてだよ。仕組みは飛空艇よりもずっと簡潔だが、だからこそ少しだけ緊張もしているかな。			気球に乗るのは私もこれが初めてだよ。仕組みは飛空艇よりもずっと簡潔だが、だからこそ少しだけ緊張もしているかな。			ヤクテル樹海に翔べ！							
バクージャジャには要警戒ね。絶対に、ろくでもないことを仕掛けてくるはずよ。			バクージャジャには要警戒ね。絶対に、ろくでもないことを仕掛けてくるはずよ。			ヤクテル樹海に翔べ！							
もうすぐヤクテル樹海行きの気球が出発しますよ。搭乗される方は手続きをお願いします。			もうすぐヤクテル樹海行きの気球が出発しますよ。搭乗される方は手続きをお願いします。			ヤクテル樹海に翔べ！							
……落ちたりしねぇよな……？			……落ちたりしねぇよな……？			ヤクテル樹海に翔べ！							
お前らよく平気だよな、空を飛ぶんだぜ！？浮き上がったら降りるまで、逃げ場がねぇんだぞ！			お前らよく平気だよな、空を飛ぶんだぜ！？浮き上がったら降りるまで、逃げ場がねぇんだぞ！			ヤクテル樹海に翔べ！							
って、別にビビってねぇからな！ちょっと心配になっただけだ！			って、別にビビってねぇからな！ちょっと心配になっただけだ！			ヤクテル樹海に翔べ！							
……いや、本当はめちゃくちゃ怖ぇしビビってる。なぁ、アタシが気球から落ちねぇように、手握っててくれるか？			……いや、本当はめちゃくちゃ怖ぇしビビってる。なぁ、アタシが気球から落ちねぇように、手握っててくれるか？			ヤクテル樹海に翔べ！							
何と言う？			何と言う？			ヤクテル樹海に翔べ！							
わかった			わかった			ヤクテル樹海に翔べ！							
エレンヴィルに頼め			エレンヴィルに頼め			ヤクテル樹海に翔べ！							
ありがとよぉ……！無事に到着するまで、絶対離さないでくれよな……！！			ありがとよぉ……！無事に到着するまで、絶対離さないでくれよな……！！			ヤクテル樹海に翔べ！							
あんな陰険野郎にそんなこと頼んだら、一生バカにされるに決まってるだろ！			あんな陰険野郎にそんなこと頼んだら、一生バカにされるに決まってるだろ！			ヤクテル樹海に翔べ！							
(-？？？？-)ういうい！ちょっといいかな、王女様？			(-？？？？-)ういうい！ちょっといいかな、王女様？			ヤクテル樹海に翔べ！							
お前らは……マーブル、それにトーブリも！			お前らは……マーブル、それにトーブリも！			ヤクテル樹海に翔べ！							
ごめんね、急に呼び留めちゃって。でも、わかったんだよ！クルルさんがつけてる、耳飾りの発祥が！			ごめんね、急に呼び留めちゃって。でも、わかったんだよ！クルルさんがつけてる、耳飾りの発祥が！			ヤクテル樹海に翔べ！							
本当！？			本当！？			ヤクテル樹海に翔べ！							
前に聞いたお話では、昔ヨカ・トラルで流行った品で、今では旅のお守りとして、定番商品になっているとか。			前に聞いたお話では、昔ヨカ・トラルで流行った品で、今では旅のお守りとして、定番商品になっているとか。			ヤクテル樹海に翔べ！							
ういうい！最初にあの耳飾りを作って売ったっていう、年かさの行商人を見つけだして、由来を聞いてみたんだ。			ういうい！最初にあの耳飾りを作って売ったっていう、年かさの行商人を見つけだして、由来を聞いてみたんだ。			ヤクテル樹海に翔べ！							
彼は約20年前に、行商先で異国の魔道士と出会ったんだって。そのとき、魔道士が持ってた珍しい意匠の耳飾りを気に入って、模倣品を販売したら完売したそうだよ、あっという間に！			彼は約20年前に、行商先で異国の魔道士と出会ったんだって。そのとき、魔道士が持ってた珍しい意匠の耳飾りを気に入って、模倣品を販売したら完売したそうだよ、あっという間に！			ヤクテル樹海に翔べ！							
異国の魔道士……きっとおじいちゃんだわ。その人とどこで出会ったかわかるかしら？			異国の魔道士……きっとおじいちゃんだわ。その人とどこで出会ったかわかるかしら？			ヤクテル樹海に翔べ！							
ヤクテル樹海……その気球が向かう先ですよ、ええ。			ヤクテル樹海……その気球が向かう先ですよ、ええ。			ヤクテル樹海に翔べ！							
だとしたら、この旅先で、耳飾りとおじいちゃんのことがわかるかもしれない……。			だとしたら、この旅先で、耳飾りとおじいちゃんのことがわかるかもしれない……。			ヤクテル樹海に翔べ！							
それにヤクテル樹海と言えば、ヨカフイ族が黄金郷の夢を視た地でもある……これは偶然なの？			それにヤクテル樹海と言えば、ヨカフイ族が黄金郷の夢を視た地でもある……これは偶然なの？			ヤクテル樹海に翔べ！							
俄然、ヤクテル樹海に行くのが楽しみになってきたわね！			俄然、ヤクテル樹海に行くのが楽しみになってきたわね！			ヤクテル樹海に翔べ！							
ふたりとも、わざわざ教えに来てくれてありがとう。			ふたりとも、わざわざ教えに来てくれてありがとう。			ヤクテル樹海に翔べ！							
王女様も頑張ってね、継承の儀！			王女様も頑張ってね、継承の儀！			ヤクテル樹海に翔べ！							
お、おう……そんな話を聞いたあとに、気球が怖いとか言ってられねぇぜ！			お、おう……そんな話を聞いたあとに、気球が怖いとか言ってられねぇぜ！			ヤクテル樹海に翔べ！							
ヤクテル樹海行きの気球、そろそろ出発です！			ヤクテル樹海行きの気球、そろそろ出発です！			ヤクテル樹海に翔べ！							
私……見てみたいよ、王女様が王様になるところを。			私……見てみたいよ、王女様が王様になるところを。			ヤクテル樹海に翔べ！							
ヤクテル樹海は、ヨカ・トラルでもっとも激しい戦いが行われていた場所。			ヤクテル樹海は、ヨカ・トラルでもっとも激しい戦いが行われていた場所。			ヤクテル樹海に翔べ！							
かの地の歴史を知ることは欠かせないでしょう……王となる者にはね、ええ。			かの地の歴史を知ることは欠かせないでしょう……王となる者にはね、ええ。			ヤクテル樹海に翔べ！							
ったく、エレンヴィルの野郎……アタシをバカにしやがって……！			ったく、エレンヴィルの野郎……アタシをバカにしやがって……！			ヤクテル樹海に翔べ！							
これだけ森が広がっていると、トライヨラから歩いてくるのは至難の業ね。コーナ王子が気球を持ちこむまで、どうしていたのかしら。			これだけ森が広がっていると、トライヨラから歩いてくるのは至難の業ね。コーナ王子が気球を持ちこむまで、どうしていたのかしら。			ヤクテル樹海に翔べ！							
気球は思いのほか揺れなかったね。風が穏やかだったこともあって、ゆったりと空の旅を楽しめたよ。			気球は思いのほか揺れなかったね。風が穏やかだったこともあって、ゆったりと空の旅を楽しめたよ。			ヤクテル樹海に翔べ！							
ここまで旅をしてきたんだもの、もうわかってる。おそらくウクラマトはセノーテに落ちかけるでしょうから、私とクルルで目を光らせておくわ。			ここまで旅をしてきたんだもの、もうわかってる。おそらくウクラマトはセノーテに落ちかけるでしょうから、私とクルルで目を光らせておくわ。			ヤクテル樹海に翔べ！							
