ベントブランチ牧場のルクロは、消えたチョコボの卵探しを依頼したいようだ。			ベントブランチ牧場のルクロは、消えたチョコボの卵探しを依頼したいようだ。			守るべきぬくもり							
自分は、お世話になった冒険者殿にお礼をすべく、ここまで追いかけてきただけなのに！偶然とは恐ろしいであります！			自分は、お世話になった冒険者殿にお礼をすべく、ここまで追いかけてきただけなのに！偶然とは恐ろしいであります！			正義を銅の刃に宿し							
冒険者殿、お礼をするのは少し待ってほしいであります。自分はこのことを、「足跡の谷」にいるバルドウィン連隊長殿に報告するであります！			冒険者殿、お礼をするのは少し待ってほしいであります。自分はこのことを、「足跡の谷」にいるバルドウィン連隊長殿に報告するであります！			正義を銅の刃に宿し							
銅刃団の誇りにかけて、盗賊を必ず捕らえるであります！！			銅刃団の誇りにかけて、盗賊を必ず捕らえるであります！！			正義を銅の刃に宿し							
い、いけない……冒険者さん！「足跡の谷」に行った彼を追いかけて！			い、いけない……冒険者さん！「足跡の谷」に行った彼を追いかけて！			正義を銅の刃に宿し							
彼は銅刃団の本性を知らないんです！このままでは殺されてしまいます！			彼は銅刃団の本性を知らないんです！このままでは殺されてしまいます！			正義を銅の刃に宿し							
ば、バルドウィン連隊長殿！大変であります！！			ば、バルドウィン連隊長殿！大変であります！！			正義を銅の刃に宿し							
盗賊どもが、カッパーベル銅山の貴重な原石を密輸しようとしているでありま……			盗賊どもが、カッパーベル銅山の貴重な原石を密輸しようとしているでありま……			正義を銅の刃に宿し							
……どうして、連隊長殿が盗賊と一緒……に？			……どうして、連隊長殿が盗賊と一緒……に？			正義を銅の刃に宿し							
取引中だからに決まってんだろうがよ。……ったく、お前は余計なことばかりしてくれるぜ。			取引中だからに決まってんだろうがよ。……ったく、お前は余計なことばかりしてくれるぜ。			正義を銅の刃に宿し							
取引って……ま、ま、まさか！密輸の首謀者は連隊長殿なのでありますかっ!?			取引って……ま、ま、まさか！密輸の首謀者は連隊長殿なのでありますかっ!?			正義を銅の刃に宿し							
なんだ、お前知らなかったのか？呪術士の調査団ってのは真っ赤な嘘。こいつらの正体は盗賊団……俺のビジネスパートナーだ。			なんだ、お前知らなかったのか？呪術士の調査団ってのは真っ赤な嘘。こいつらの正体は盗賊団……俺のビジネスパートナーだ。			正義を銅の刃に宿し							
まったく、ホライズンでおとなしくしてればいいものを。せっかく用意した偽装工作が台無しじゃねえか。			まったく、ホライズンでおとなしくしてればいいものを。せっかく用意した偽装工作が台無しじゃねえか。			正義を銅の刃に宿し							
こ、こんなこと……ロロリト様がお許しにならないであります！			こ、こんなこと……ロロリト様がお許しにならないであります！			正義を銅の刃に宿し							
やっぱりバカだな、お前。元々、この密輸計画を指示したのは、誰だと思ってる？			やっぱりバカだな、お前。元々、この密輸計画を指示したのは、誰だと思ってる？			正義を銅の刃に宿し							
誰あろう、砂蠍衆のロロリト様ご本人なんだぜ……。			誰あろう、砂蠍衆のロロリト様ご本人なんだぜ……。			正義を銅の刃に宿し							
……な……な…………。なんですとおおおおおおおおおッ！			……な……な…………。なんですとおおおおおおおおおッ！			正義を銅の刃に宿し							
お前、バカなクソ真面目野郎だと思ってたが、単なるバカなクソだったようだな。			お前、バカなクソ真面目野郎だと思ってたが、単なるバカなクソだったようだな。			正義を銅の刃に宿し							
お前の言うような「正義」なんぞ、この銅刃団にはコレっぽっちもねェんだよ！			お前の言うような「正義」なんぞ、この銅刃団にはコレっぽっちもねェんだよ！			正義を銅の刃に宿し							
おい！　そっちで話を聞いてる冒険者！俺の顔に覚えはねェか？			おい！　そっちで話を聞いてる冒険者！俺の顔に覚えはねェか？			正義を銅の刃に宿し							
俺は「サー・キヴロン男爵IV世」！てめェ、よくも俺のオヤジをヤってくれたな!?忘れたとは言わさねェぞ！			俺は「サー・キヴロン男爵IV世」！てめェ、よくも俺のオヤジをヤってくれたな!?忘れたとは言わさねェぞ！			正義を銅の刃に宿し							
ちょうどいい、二人まとめて片付けてやるぜ！銅刃団の名誉のために……死ねッ！			ちょうどいい、二人まとめて片付けてやるぜ！銅刃団の名誉のために……死ねッ！			正義を銅の刃に宿し							
(-？？？？-)そこまでだっ！			(-？？？？-)そこまでだっ！			正義を銅の刃に宿し							
お前の負けだ、バルドウィン。……観念しろ。			お前の負けだ、バルドウィン。……観念しろ。			正義を銅の刃に宿し							
へっ！　誰かと思えば「元」連隊長さんかよ!負け犬が何を言ってやがる。			へっ！　誰かと思えば「元」連隊長さんかよ!負け犬が何を言ってやがる。			正義を銅の刃に宿し							
あんたが剣を持てなくなって、流民街に左遷された理由を忘れたか？今度は体を壊すくらいじゃすまさねえぞ!			あんたが剣を持てなくなって、流民街に左遷された理由を忘れたか？今度は体を壊すくらいじゃすまさねえぞ!			正義を銅の刃に宿し							
確かに、お前程度にハメられるなんて俺も大概マヌケだとは思うがな。お前はソレ以上の大マヌケだよ。			確かに、お前程度にハメられるなんて俺も大概マヌケだとは思うがな。お前はソレ以上の大マヌケだよ。			正義を銅の刃に宿し							
マヌケって何がだ！			マヌケって何がだ！			正義を銅の刃に宿し							
盗賊どもの偽装工作がずさんすぎ、クレセントコーヴ村民のほとんどが密輸の話を知ってたぞ。			盗賊どもの偽装工作がずさんすぎ、クレセントコーヴ村民のほとんどが密輸の話を知ってたぞ。			正義を銅の刃に宿し							
さすがに事件をもみ消せないっていうんで、ロロリト様から直々に捕縛命令が発行されたそうだ。			さすがに事件をもみ消せないっていうんで、ロロリト様から直々に捕縛命令が発行されたそうだ。			正義を銅の刃に宿し							
バ、バカなあああああああああ！そんな、俺がロロリト様に捨てられるだとぉ？！			バ、バカなあああああああああ！そんな、俺がロロリト様に捨てられるだとぉ？！			正義を銅の刃に宿し							
そういうもんだ。ロロリト様にとってみれば、俺もお前もとるに足らない、ただの捨て駒なのさ。			そういうもんだ。ロロリト様にとってみれば、俺もお前もとるに足らない、ただの捨て駒なのさ。			正義を銅の刃に宿し							
やるようになったじゃないか、フフルパ。			やるようになったじゃないか、フフルパ。			正義を銅の刃に宿し							
れ、れ、レオフリック元連隊長殿ッ！いや、連隊長殿……ッ！自分は……自分の求めていた「正義」は……。			れ、れ、レオフリック元連隊長殿ッ！いや、連隊長殿……ッ！自分は……自分の求めていた「正義」は……。			正義を銅の刃に宿し							
ふっ、「正義」か……。それは、これからお前が作ればいい。今日からはお前が銅刃団の未来を担うんだ。			ふっ、「正義」か……。それは、これからお前が作ればいい。今日からはお前が銅刃団の未来を担うんだ。			正義を銅の刃に宿し							
銅刃団はしょせん、傭兵を集めた雇われ自警団。そこに集うのは、金目当ての奴らばかり。中には悪に手を染める輩もいるだろう。			銅刃団はしょせん、傭兵を集めた雇われ自警団。そこに集うのは、金目当ての奴らばかり。中には悪に手を染める輩もいるだろう。			正義を銅の刃に宿し							
しかし全員が「正義」を失ったわけじゃない。フフルパ、お前のような男もいる。			しかし全員が「正義」を失ったわけじゃない。フフルパ、お前のような男もいる。			正義を銅の刃に宿し							
たとえ銅刃団でも、胸に熱い「正義」があれば、その力は一騎当千の騎士団にも勝る。			たとえ銅刃団でも、胸に熱い「正義」があれば、その力は一騎当千の騎士団にも勝る。			正義を銅の刃に宿し							
フフルパ、お前は、お前の正義を貫け。銅刃団の未来を頼んだぞ……！			フフルパ、お前は、お前の正義を貫け。銅刃団の未来を頼んだぞ……！			正義を銅の刃に宿し							
たいちょおおおおおおおおッ。			たいちょおおおおおおおおッ。			正義を銅の刃に宿し							
冒険者殿、ご協力ありがとうございます！自分はこれからバルドウィンたちを連行するであります。			冒険者殿、ご協力ありがとうございます！自分はこれからバルドウィンたちを連行するであります。			正義を銅の刃に宿し							
後でまたホライズンに寄ってほしいであります。ご協力のお礼を用意して待っているであります。			後でまたホライズンに寄ってほしいであります。ご協力のお礼を用意して待っているであります。			正義を銅の刃に宿し							
ああ、冒険者殿！　待っていたであります。			ああ、冒険者殿！　待っていたであります。			正義を銅の刃に宿し							
あの後、バルドウィンたちは無事に牢屋に入れられたであります。			あの後、バルドウィンたちは無事に牢屋に入れられたであります。			正義を銅の刃に宿し							
盗賊逮捕の功績が認められて、新しい連隊長が来るまで、自分が連隊長代理としてホライズンのローズ連隊を率いることになったであります。			盗賊逮捕の功績が認められて、新しい連隊長が来るまで、自分が連隊長代理としてホライズンのローズ連隊を率いることになったであります。			正義を銅の刃に宿し							
レオフリック連隊長殿に頂いたこのダガーにかけて、今後も誇り高き銅刃団の一員として、自分の「正義」を貫き通すでありますっ！			レオフリック連隊長殿に頂いたこのダガーにかけて、今後も誇り高き銅刃団の一員として、自分の「正義」を貫き通すでありますっ！			正義を銅の刃に宿し							
事件が解決したのは、冒険者殿のご協力のおかげであります。本当にありがとうございますでありますっ！			事件が解決したのは、冒険者殿のご協力のおかげであります。本当にありがとうございますでありますっ！			正義を銅の刃に宿し							
自分が負けても……正義は負けないであります……。			自分が負けても……正義は負けないであります……。			正義を銅の刃に宿し							
貴様らを殺して、証拠をもみ消してやるぜ！			貴様らを殺して、証拠をもみ消してやるぜ！			正義を銅の刃に宿し							
バルドウィン連隊長！　許さないであります！			バルドウィン連隊長！　許さないであります！			正義を銅の刃に宿し							
チッ、てめェら、なかなかやるじゃねェか！			チッ、てめェら、なかなかやるじゃねェか！			正義を銅の刃に宿し							
銅刃団連隊長の実力、見せてやるァァッ！			銅刃団連隊長の実力、見せてやるァァッ！			正義を銅の刃に宿し							
冒険者殿、奴の強突きに気をつけるであります！あたると、致命傷になるであります！			冒険者殿、奴の強突きに気をつけるであります！あたると、致命傷になるであります！			正義を銅の刃に宿し							
クエスト「騎士の心」のバトルを開始しますか？			クエスト「騎士の心」のバトルを開始しますか？			正義を銅の刃に宿し							
はい			はい			正義を銅の刃に宿し							
いいえ			いいえ			正義を銅の刃に宿し							
溺れた海豚亭のバデロンは、心の準備を整えた冒険者に……			溺れた海豚亭のバデロンは、心の準備を整えた冒険者に……			ミズンマストの晩餐会							
そろそろ晩餐会が始まる。「フェザーブーツ」を履いて、ブルワークホールにいる「ザントヘール甲軍曹」に話しかけよう。			そろそろ晩餐会が始まる。「フェザーブーツ」を履いて、ブルワークホールにいる「ザントヘール甲軍曹」に話しかけよう。			ミズンマストの晩餐会							
かつて、エオルゼアには「光の戦士」と伝えられる英雄が存在したらしい。彼らはカルテノーの戦いで、人々のために命を賭して戦ったのだという。その戦いをずいぶん生々しく見たような気がするが……。メルウィブ提督が冒険者に伝えたいことがあるようだ。アドミラルブリッジ：提督室の「メルウィブ」に話を聞こう。			かつて、エオルゼアには「光の戦士」と伝えられる英雄が存在したらしい。彼らはカルテノーの戦いで、人々のために命を賭して戦ったのだという。その戦いをずいぶん生々しく見たような気がするが……。メルウィブ提督が冒険者に伝えたいことがあるようだ。アドミラルブリッジ：提督室の「メルウィブ」に話を聞こう。			ミズンマストの晩餐会							
信頼を置く冒険者にメルウィブから頼みごとがあるようだ。どんな頼みも受けられるよう冒険の準備を整え、メルウィブから詳しい話を聞こう。			信頼を置く冒険者にメルウィブから頼みごとがあるようだ。どんな頼みも受けられるよう冒険の準備を整え、メルウィブから詳しい話を聞こう。			ミズンマストの晩餐会							
フェザーブーツを履いてザントヘール甲軍曹と話す			フェザーブーツを履いてザントヘール甲軍曹と話す			ミズンマストの晩餐会							
アドミラルブリッジ：提督室のメルウィブと話す			アドミラルブリッジ：提督室のメルウィブと話す			ミズンマストの晩餐会							
よしよし、心の準備もできたみたいだな。晩餐会のほうも、ちょうど始まる頃合いだ。			よしよし、心の準備もできたみたいだな。晩餐会のほうも、ちょうど始まる頃合いだ。			ミズンマストの晩餐会							
「フェザーブーツ」は、きちんと履いてるか？ただ持ってるだけじゃ、淑女紳士とは言えねえぞ。俺たちからの心づくしを無駄にしないでくれよな。			「フェザーブーツ」は、きちんと履いてるか？ただ持ってるだけじゃ、淑女紳士とは言えねえぞ。俺たちからの心づくしを無駄にしないでくれよな。			ミズンマストの晩餐会							
さて、肝心の晩餐会場はアドミラルブリッジの「作戦会議室」だ。			さて、肝心の晩餐会場はアドミラルブリッジの「作戦会議室」だ。			ミズンマストの晩餐会							
ブルワークホールのザントヘール甲軍曹って野郎に頼めば、作戦会議室まで案内してくれるだろう。			ブルワークホールのザントヘール甲軍曹って野郎に頼めば、作戦会議室まで案内してくれるだろう。			ミズンマストの晩餐会							
さあ、胸張って行ってきな。リムサ・ロミンサを救った英雄様の晴れ姿、ひとつ、皆々様に披露してこいや！			さあ、胸張って行ってきな。リムサ・ロミンサを救った英雄様の晴れ姿、ひとつ、皆々様に披露してこいや！			ミズンマストの晩餐会							
ううむ……。「フェザーブーツ」を履いた冒険者……「フェザーブーツ」を履いた冒険者……			ううむ……。「フェザーブーツ」を履いた冒険者……「フェザーブーツ」を履いた冒険者……			ミズンマストの晩餐会							
バデロンめ、面倒な目印を指定しおって！足元の見すぎで、首が凝ってかなわんわ！……なに、自分がその招待された冒険者だって？			バデロンめ、面倒な目印を指定しおって！足元の見すぎで、首が凝ってかなわんわ！……なに、自分がその招待された冒険者だって？			ミズンマストの晩餐会							
ならば「フェザーブーツ」を履いて見せてくれ。もし、失くしてしまったのなら、八分儀広場のジャ・ナッシムに相談するんだな。			ならば「フェザーブーツ」を履いて見せてくれ。もし、失くしてしまったのなら、八分儀広場のジャ・ナッシムに相談するんだな。			ミズンマストの晩餐会							
……っと、お前が履いているのは「フェザーブーツ」！話はバデロンから聞いているぞ！さあ、作戦会議室へ案内しよう！！			……っと、お前が履いているのは「フェザーブーツ」！話はバデロンから聞いているぞ！さあ、作戦会議室へ案内しよう！！			ミズンマストの晩餐会							
誇り高き海の民よ！			誇り高き海の民よ！			ミズンマストの晩餐会							
この冒険者は、リムサ・ロミンサのために魂揺さぶる働きで尽くしてくれた英雄だ！			この冒険者は、リムサ・ロミンサのために魂揺さぶる働きで尽くしてくれた英雄だ！			ミズンマストの晩餐会							
英雄に、海洋と航海の女神リムレーンの祝福を！			英雄に、海洋と航海の女神リムレーンの祝福を！			ミズンマストの晩餐会							
顔に刺青のある者たち。奴らは蛮神「リヴァイアサン」に忠誠を誓った、海賊団「海蛇の舌」だ。			顔に刺青のある者たち。奴らは蛮神「リヴァイアサン」に忠誠を誓った、海賊団「海蛇の舌」だ。			ミズンマストの晩餐会							
奴らは蛮神「リヴァイアサン」の信徒を増やすために、人拐いを繰り返していたようだ。			奴らは蛮神「リヴァイアサン」の信徒を増やすために、人拐いを繰り返していたようだ。			ミズンマストの晩餐会							
サハギン族は、長年、我らと敵対してきた蛮族……。その仇敵に、いいように使われるとは情けない。			サハギン族は、長年、我らと敵対してきた蛮族……。その仇敵に、いいように使われるとは情けない。			ミズンマストの晩餐会							
君のお陰で、奴らの動きが解ったのだ。感謝しているぞ。			君のお陰で、奴らの動きが解ったのだ。感謝しているぞ。			ミズンマストの晩餐会							
その輝きは一体……？			その輝きは一体……？			ミズンマストの晩餐会							
これは……。もしや、光のクリスタル……！？			これは……。もしや、光のクリスタル……！？			ミズンマストの晩餐会							
これが……。			これが……。			ミズンマストの晩餐会							
あなた、前にクリスタルを見たと言っていたわね……。			あなた、前にクリスタルを見たと言っていたわね……。			ミズンマストの晩餐会							
光の意思に……。			光の意思に……。			ミズンマストの晩餐会							
やはり、ヤ・シュトラ殿の推察どおり、君は「超える力」を持っているようだな……。			やはり、ヤ・シュトラ殿の推察どおり、君は「超える力」を持っているようだな……。			ミズンマストの晩餐会							
君の触れた存在。それは、おそらく母なるクリスタル……。マザークリスタルだ。			君の触れた存在。それは、おそらく母なるクリスタル……。マザークリスタルだ。			ミズンマストの晩餐会							
君は、一介の冒険者で終わらず、いずれは世界を左右する大物になるやもしれん。			君は、一介の冒険者で終わらず、いずれは世界を左右する大物になるやもしれん。			ミズンマストの晩餐会							
そう、あの「光の戦士たち」のようにな……。			そう、あの「光の戦士たち」のようにな……。			ミズンマストの晩餐会							
かつて、このエオルゼアには、蛮神と戦った者たちがいた。			かつて、このエオルゼアには、蛮神と戦った者たちがいた。			ミズンマストの晩餐会							
その者たちは、エオルゼア諸国が「グランドカンパニー」を設立すると、その一員となり「ガレマール帝国」とも戦った。			その者たちは、エオルゼア諸国が「グランドカンパニー」を設立すると、その一員となり「ガレマール帝国」とも戦った。			ミズンマストの晩餐会							
世界を救うため、「エオルゼア同盟軍」の一員として、5年前の「カルテノーの戦い」にも参加していた。			世界を救うため、「エオルゼア同盟軍」の一員として、5年前の「カルテノーの戦い」にも参加していた。			ミズンマストの晩餐会							
しかし、カルテノーを最後に、その英雄たちは姿を消したのだ……。			しかし、カルテノーを最後に、その英雄たちは姿を消したのだ……。			ミズンマストの晩餐会							
残された人々は、英雄が自分たちのために、命を賭して戦ったことを覚えている。……確かに彼らはそこに居たのだ。			残された人々は、英雄が自分たちのために、命を賭して戦ったことを覚えている。……確かに彼らはそこに居たのだ。			ミズンマストの晩餐会							
しかし、その名を口に出そうとすると、日に焼けた書物を読み上げることができぬよう声に出すことができず……。			しかし、その名を口に出そうとすると、日に焼けた書物を読み上げることができぬよう声に出すことができず……。			ミズンマストの晩餐会							
その顔を思い出そうとすると、閃光の中にあるように、輪郭が影に包まれてしまう。			その顔を思い出そうとすると、閃光の中にあるように、輪郭が影に包まれてしまう。			ミズンマストの晩餐会							
この不可思議な現象から、人々は英雄たちのことを「光の戦士たち」と呼ぶようになった。			この不可思議な現象から、人々は英雄たちのことを「光の戦士たち」と呼ぶようになった。			ミズンマストの晩餐会							
光の意思に導かれた君を見ているとかつての英雄の話を思い出すよ。			光の意思に導かれた君を見ているとかつての英雄の話を思い出すよ。			ミズンマストの晩餐会							
……冒険者。そのクリスタルを大事にすることだ。			……冒険者。そのクリスタルを大事にすることだ。			ミズンマストの晩餐会							
マザークリスタル……ハイデリンが、君にそれを持たせた意味……それが解るまではな。			マザークリスタル……ハイデリンが、君にそれを持たせた意味……それが解るまではな。			ミズンマストの晩餐会							
君は星の声……ハイデリンの意思に、直接導かれたのだから。			君は星の声……ハイデリンの意思に、直接導かれたのだから。			ミズンマストの晩餐会							
よう、Forename。気が付いたか？			よう、Forename。気が付いたか？			ミズンマストの晩餐会							
おいおい、覚えてないのか？			おいおい、覚えてないのか？			ミズンマストの晩餐会							
おまえさんは晩餐会の会場でぶっ倒れたんだ。気を失っていてな。慌てて俺が宿まで運んだってわけさ。			おまえさんは晩餐会の会場でぶっ倒れたんだ。気を失っていてな。慌てて俺が宿まで運んだってわけさ。			ミズンマストの晩餐会							
ここのところ、事件に次ぐ事件だったからな。疲れていたのかもしれない。			ここのところ、事件に次ぐ事件だったからな。疲れていたのかもしれない。			ミズンマストの晩餐会							
もう大丈夫のようだな。俺も戻るとしよう。			もう大丈夫のようだな。俺も戻るとしよう。			ミズンマストの晩餐会							
……そうそう。メルウィブ提督が、おまえさんに、伝えたいことがあるそうだ。			……そうそう。メルウィブ提督が、おまえさんに、伝えたいことがあるそうだ。			ミズンマストの晩餐会							
今はアドミラルブリッジの「提督室」にいらっしゃるはずだ。ザントヘール甲軍曹に頼んで、通してもらいな。			今はアドミラルブリッジの「提督室」にいらっしゃるはずだ。ザントヘール甲軍曹に頼んで、通してもらいな。			ミズンマストの晩餐会							
おお、Surnameではないか。メルウィブ提督との謁見の件で来たのだろう？さっそくアドミラルブリッジの「提督室」へ向かうか？			おお、Surnameではないか。メルウィブ提督との謁見の件で来たのだろう？さっそくアドミラルブリッジの「提督室」へ向かうか？			ミズンマストの晩餐会							
アドミラルブリッジ：提督室へ行く？			アドミラルブリッジ：提督室へ行く？			ミズンマストの晩餐会							
はい			はい			ミズンマストの晩餐会							
いいえ			いいえ			ミズンマストの晩餐会							
まだ調子が悪いのか？ならば、無理をせずに宿屋に戻るがいい。			まだ調子が悪いのか？ならば、無理をせずに宿屋に戻るがいい。			ミズンマストの晩餐会							
君か、待っていたぞ。具合はもういいようだな。			君か、待っていたぞ。具合はもういいようだな。			ミズンマストの晩餐会							
実は……。冒険者の君に、頼みがあるのだ。この仕事を託せるのは、君しかいないのだよ……。			実は……。冒険者の君に、頼みがあるのだ。この仕事を託せるのは、君しかいないのだよ……。			ミズンマストの晩餐会							
おや、もしや、私が特別に見繕った「フェザーブーツ」をなくされたのですか？			おや、もしや、私が特別に見繕った「フェザーブーツ」をなくされたのですか？			ミズンマストの晩餐会							
今回は、フェザーブーツを差しあげますが……次になくされたら、手間賃をいただきたいぐらいです……。			今回は、フェザーブーツを差しあげますが……次になくされたら、手間賃をいただきたいぐらいです……。			ミズンマストの晩餐会							
モモディは冒険者に晩餐会の事で伝えたいことがあるようだ。			モモディは冒険者に晩餐会の事で伝えたいことがあるようだ。			王宮の晩餐会							
そろそろ晩餐会が始まる。「義士の耳飾り」を身に着け、ロイヤルプロムナードにいる「バーソロミュー」に話しかけよう。			そろそろ晩餐会が始まる。「義士の耳飾り」を身に着け、ロイヤルプロムナードにいる「バーソロミュー」に話しかけよう。			王宮の晩餐会							
かつてエオルゼアには「光の戦士」と伝えられる英雄が存在し、彼らはカルテノーの戦いで人々のために命を賭して戦ったという。その戦いをずいぶん生々しく見たような気がするが……。ラウバーン局長が伝えたいことがあるようだ。「不滅隊：作戦本部」に赴き、「ラウバーン」に話かけよう。			かつてエオルゼアには「光の戦士」と伝えられる英雄が存在し、彼らはカルテノーの戦いで人々のために命を賭して戦ったという。その戦いをずいぶん生々しく見たような気がするが……。ラウバーン局長が伝えたいことがあるようだ。「不滅隊：作戦本部」に赴き、「ラウバーン」に話かけよう。			王宮の晩餐会							
ラウバーンの頼みは、信頼を置く冒険者にしか託せないことらしい。どんな頼みも受けられるよう、冒険の準備を整えて、ラウバーンから詳しい話を聞こう。			ラウバーンの頼みは、信頼を置く冒険者にしか託せないことらしい。どんな頼みも受けられるよう、冒険の準備を整えて、ラウバーンから詳しい話を聞こう。			王宮の晩餐会							
義士の耳飾りを着けてバーソロミューと話す			義士の耳飾りを着けてバーソロミューと話す			王宮の晩餐会							
不滅隊：作戦本部のラウバーンと話す			不滅隊：作戦本部のラウバーンと話す			王宮の晩餐会							
どう？　晩餐会に出席する準備はできたかしら。「義士の耳飾り」は、ただ持ってるだけじゃ駄目。ちゃんと身につけるのが、淑女紳士のたしなみよ。			どう？　晩餐会に出席する準備はできたかしら。「義士の耳飾り」は、ただ持ってるだけじゃ駄目。ちゃんと身につけるのが、淑女紳士のたしなみよ。			王宮の晩餐会							
晩餐会の会場は「香煙の間」。ロイヤルプロムナードのバーソロミューさんに話しかければ、香煙の間まで案内してくれるわ。			晩餐会の会場は「香煙の間」。ロイヤルプロムナードのバーソロミューさんに話しかければ、香煙の間まで案内してくれるわ。			王宮の晩餐会							
ふふ、いよいよ社交界デビューかしら？顔が緊張してるわよ。リラックスして、いってらっしゃい！			ふふ、いよいよ社交界デビューかしら？顔が緊張してるわよ。リラックスして、いってらっしゃい！			王宮の晩餐会							
今宵は女王陛下主催の宮中晩餐会。ここから先は、冒険者には無縁の場所だ。早々に立ち去るがいい。			今宵は女王陛下主催の宮中晩餐会。ここから先は、冒険者には無縁の場所だ。早々に立ち去るがいい。			王宮の晩餐会							
……ややッ、その耳飾りはッ！し、失礼致しました。ご招待客であられましたか！どうぞ中にお入りくださいッ！			……ややッ、その耳飾りはッ！し、失礼致しました。ご招待客であられましたか！どうぞ中にお入りくださいッ！			王宮の晩餐会							
招待客だと？　嘘をつけ。招待者の証「義士の耳飾り」をつけていないではないか！			招待客だと？　嘘をつけ。招待者の証「義士の耳飾り」をつけていないではないか！			王宮の晩餐会							
もし、耳飾りを失くしてしまったというのであれば、彫金師ギルドのセレンディピティー嬢に相談してみよ。もう一度「義士の耳飾り」を用意してくれるだろう。			もし、耳飾りを失くしてしまったというのであれば、彫金師ギルドのセレンディピティー嬢に相談してみよ。もう一度「義士の耳飾り」を用意してくれるだろう。			王宮の晩餐会							
ナナモ女王陛下の御前である。			ナナモ女王陛下の御前である。			王宮の晩餐会							
ナナモ様。			ナナモ様。			王宮の晩餐会							
苦しゅうない。			苦しゅうない。			王宮の晩餐会							
ウルダハ第十七代国王、ナナモ・ウル・ナモである。			ウルダハ第十七代国王、ナナモ・ウル・ナモである。			王宮の晩餐会							
今宵の晩餐には、ウルダハのため、わらわのために、奮闘した冒険者を呼んでおる。			今宵の晩餐には、ウルダハのため、わらわのために、奮闘した冒険者を呼んでおる。			王宮の晩餐会							
この英雄に、拍手を！			この英雄に、拍手を！			王宮の晩餐会							
では、皆の者。この晩餐会を楽しむがよいぞ。			では、皆の者。この晩餐会を楽しむがよいぞ。			王宮の晩餐会							
恥ずかしい話だが、このウルダハでは、我々王党派と、商人たちを中心とした共和派が対立していてな。			恥ずかしい話だが、このウルダハでは、我々王党派と、商人たちを中心とした共和派が対立していてな。			王宮の晩餐会							
国内は難民だの、蛮族、蛮神と、問題が山積みにも関わらず、内部闘争でゴタゴタしている状態だ。			国内は難民だの、蛮族、蛮神と、問題が山積みにも関わらず、内部闘争でゴタゴタしている状態だ。			王宮の晩餐会							
ナナモ様も健気にされているが、周りがこうでは、心休まれる日もあるまい……。			ナナモ様も健気にされているが、周りがこうでは、心休まれる日もあるまい……。			王宮の晩餐会							
国の平定に確たる意志で臨むため、より強い王室を作っていかねばならん。			国の平定に確たる意志で臨むため、より強い王室を作っていかねばならん。			王宮の晩餐会							
この度の件、ウルダハを代表して礼を言う。感謝しておるぞ。……我々には貴様のような冒険者の力が必要だな。			この度の件、ウルダハを代表して礼を言う。感謝しておるぞ。……我々には貴様のような冒険者の力が必要だな。			王宮の晩餐会							
その輝きは一体……？			その輝きは一体……？			王宮の晩餐会							
これは……。もしや、光のクリスタルか……！？			これは……。もしや、光のクリスタルか……！？			王宮の晩餐会							
貴様、以前に、母なるクリスタル……。マザークリスタルに導かれたことが、あるのではないか？			貴様、以前に、母なるクリスタル……。マザークリスタルに導かれたことが、あるのではないか？			王宮の晩餐会							
そう、エーテル酔いに似た感覚を体験したことはないか？			そう、エーテル酔いに似た感覚を体験したことはないか？			王宮の晩餐会							
なんということだ、光の意思に……。			なんということだ、光の意思に……。			王宮の晩餐会							
かつて、このエオルゼアには、蛮神と戦った者たちがいた。			かつて、このエオルゼアには、蛮神と戦った者たちがいた。			王宮の晩餐会							
その者たちは、エオルゼア諸国が「グランドカンパニー」を設立すると、その一員となり「ガレマール帝国」とも戦った。			その者たちは、エオルゼア諸国が「グランドカンパニー」を設立すると、その一員となり「ガレマール帝国」とも戦った。			王宮の晩餐会							
世界を救うため、「エオルゼア同盟軍」の一員として、5年前の「カルテノーの戦い」にも参加していた。			世界を救うため、「エオルゼア同盟軍」の一員として、5年前の「カルテノーの戦い」にも参加していた。			王宮の晩餐会							
しかし、カルテノーを最後に、その英雄たちは姿を消したのだ……。			しかし、カルテノーを最後に、その英雄たちは姿を消したのだ……。			王宮の晩餐会							
残された人々は、英雄が自分たちのために、命を賭して戦ったことを覚えている。……確かに彼らはそこに居たのだ。			残された人々は、英雄が自分たちのために、命を賭して戦ったことを覚えている。……確かに彼らはそこに居たのだ。			王宮の晩餐会							
しかし、その名を口に出そうとすると、日に焼けた書物を読み上げることができぬよう声に出すことができず……。			しかし、その名を口に出そうとすると、日に焼けた書物を読み上げることができぬよう声に出すことができず……。			王宮の晩餐会							
その顔を思い出そうとすると、閃光の中にあるように、輪郭が影に包まれてしまう。			その顔を思い出そうとすると、閃光の中にあるように、輪郭が影に包まれてしまう。			王宮の晩餐会							
この不可思議な現象から、人々は英雄たちのことを「光の戦士たち」と呼ぶようになった。			この不可思議な現象から、人々は英雄たちのことを「光の戦士たち」と呼ぶようになった。			王宮の晩餐会							
光の意思に導かれた貴様を見ているとかつての英雄の話を思い出す。			光の意思に導かれた貴様を見ているとかつての英雄の話を思い出す。			王宮の晩餐会							
そのクリスタルを大事にすることだ。			そのクリスタルを大事にすることだ。			王宮の晩餐会							
