トライヨラのボロガーは、冒険者に頼みたいことがあるようだ。			トライヨラのボロガーは、冒険者に頼みたいことがあるようだ。			トラル大陸のモブハント（上級）							
ウクラマトたちと話した。リビング・メモリーのレイノード・メモリスにいる「ウクラマト」と話そう。			ウクラマトたちと話した。リビング・メモリーのレイノード・メモリスにいる「ウクラマト」と話そう。			黄金の扉の先へ							
コンスタンシという永久人からスフェーンと会える場所を聞いた。リビング・メモリーのメインターミナル前にいる「ウクラマト」と話そう。			コンスタンシという永久人からスフェーンと会える場所を聞いた。リビング・メモリーのメインターミナル前にいる「ウクラマト」と話そう。			黄金の扉の先へ							
スフェーンと話し、彼女と敵対する覚悟を決めた。メインターミナル前にいる「ウクラマト」と話そう。			スフェーンと話し、彼女と敵対する覚悟を決めた。メインターミナル前にいる「ウクラマト」と話そう。			黄金の扉の先へ							
ウクラマトと話した。スフェーンが必死に護ろうとしている永久人とは、どのような存在なのだろうか。			ウクラマトと話した。スフェーンが必死に護ろうとしている永久人とは、どのような存在なのだろうか。			黄金の扉の先へ							
天深きセノーテ前のウクラマトと話す			天深きセノーテ前のウクラマトと話す			黄金の扉の先へ							
ウクラマトと話す			ウクラマトと話す			黄金の扉の先へ							
リメンバー・ゲートのウクラマトと話す			リメンバー・ゲートのウクラマトと話す			黄金の扉の先へ							
ウクラマトと再度話す			ウクラマトと再度話す			黄金の扉の先へ							
ウクラマトとさらに話す			ウクラマトとさらに話す			黄金の扉の先へ							
ウクラマトともう一度話す			ウクラマトともう一度話す			黄金の扉の先へ							
いいなあ！Forenameに似合いそうだね！			いいなあ！Forenameに似合いそうだね！			黄金の扉の先へ							
ご足労ありがとうございました。一流の職人に作らせましたので、性能は保証しますよ。			ご足労ありがとうございました。一流の職人に作らせましたので、性能は保証しますよ。			黄金の扉の先へ							
っしゃ、コーナ兄さんのおかげで、突入の準備もバッチリだな！			っしゃ、コーナ兄さんのおかげで、突入の準備もバッチリだな！			黄金の扉の先へ							
改めて、天深きセノーテに出発しようぜ！			改めて、天深きセノーテに出発しようぜ！			黄金の扉の先へ							
僕も手前まで同行しますよ。あの場所は現在、理王の権限で封鎖していますから。			僕も手前まで同行しますよ。あの場所は現在、理王の権限で封鎖していますから。			黄金の扉の先へ							
ちょっと怖い場所だけど……みんなが一緒ならきっと大丈夫だよね。			ちょっと怖い場所だけど……みんなが一緒ならきっと大丈夫だよね。			黄金の扉の先へ							
なんだか懐かしいわね……。ついこの間、継承の儀で来たばかりなのに。			なんだか懐かしいわね……。ついこの間、継承の儀で来たばかりなのに。			黄金の扉の先へ							
黄金郷か……。思えばここから始まったんだったな。			黄金郷か……。思えばここから始まったんだったな。			黄金の扉の先へ							
またこの場所に戻ってきたのね……。			またこの場所に戻ってきたのね……。			黄金の扉の先へ							
コーナ兄さんたちは先に行ったんだけどよ……ちょっと懐かしくて立ち止まっちまった。			コーナ兄さんたちは先に行ったんだけどよ……ちょっと懐かしくて立ち止まっちまった。			黄金の扉の先へ							
ちょっと前のことなのにね。本当にいろいろなことがあったから。			ちょっと前のことなのにね。本当にいろいろなことがあったから。			黄金の扉の先へ							
そうね……。ガラフおじいちゃんの手紙に導かれてトラル大陸にやってきて、そしてまたこの場所に戻ってきた……。			そうね……。ガラフおじいちゃんの手紙に導かれてトラル大陸にやってきて、そしてまたこの場所に戻ってきた……。			黄金の扉の先へ							
この先にまだ、見届けるべきものが待っているなら、私も、みんなと一緒に最後まで進むわ。			この先にまだ、見届けるべきものが待っているなら、私も、みんなと一緒に最後まで進むわ。			黄金の扉の先へ							
ああ…………行こう。			ああ…………行こう。			黄金の扉の先へ							
父さんから受け継いだもの……。僕はこの力を、正しいことに使うよ……！			父さんから受け継いだもの……。僕はこの力を、正しいことに使うよ……！			黄金の扉の先へ							
ラマチのこと、再びお願いします。そしてあなたもどうか、無事に帰ってきてください……。			ラマチのこと、再びお願いします。そしてあなたもどうか、無事に帰ってきてください……。			黄金の扉の先へ							
本音を言えば、私だって一緒に行きたかったさ。だけど、今回は見送る立場に徹するよ。			本音を言えば、私だって一緒に行きたかったさ。だけど、今回は見送る立場に徹するよ。			黄金の扉の先へ							
君の旅路の先にあるものが、希望の光であるといい。……戻ってきたら、君の冒険譚を聞かせてくれるかい？			君の旅路の先にあるものが、希望の光であるといい。……戻ってきたら、君の冒険譚を聞かせてくれるかい？			黄金の扉の先へ							
わかってるわよ……。私だっていつまでも子どもじゃないんだから、ちゃんとわきまえてるわ。			わかってるわよ……。私だっていつまでも子どもじゃないんだから、ちゃんとわきまえてるわ。			黄金の扉の先へ							
大丈夫、あなたが進む路は間違ってない。あなたが護りたいものを、私たちもここで護るから……だから、いってらっしゃい！			大丈夫、あなたが進む路は間違ってない。あなたが護りたいものを、私たちもここで護るから……だから、いってらっしゃい！			黄金の扉の先へ							
20年前、あの扉から私は渡ってきた……。だから、この先に真意があろうとなかろうと、すべて見届けたい。			20年前、あの扉から私は渡ってきた……。だから、この先に真意があろうとなかろうと、すべて見届けたい。			黄金の扉の先へ							
不安がないと言えば嘘になるけど……あなたが一緒だと不思議と勇気が湧いてくるの。これまで戦いに挑んだみんなも、こんな気持ちだったのね。			不安がないと言えば嘘になるけど……あなたが一緒だと不思議と勇気が湧いてくるの。これまで戦いに挑んだみんなも、こんな気持ちだったのね。			黄金の扉の先へ							
スフェーンが、別の鏡像世界から命を奪うつもりなら、オレがやるべきことは決まってる。			スフェーンが、別の鏡像世界から命を奪うつもりなら、オレがやるべきことは決まってる。			黄金の扉の先へ							
……奪わせはしないさ。まだ見たことのない世界の命も、かつて光に満たされた、あの世界に住む人々の命も。			……奪わせはしないさ。まだ見たことのない世界の命も、かつて光に満たされた、あの世界に住む人々の命も。			黄金の扉の先へ							
……鏡像世界にまつわる案件だもの、私だって、あちら側に行きたくてたまらないわ。今すぐあの光に飛び込んでしまいたいくらいにはね。			……鏡像世界にまつわる案件だもの、私だって、あちら側に行きたくてたまらないわ。今すぐあの光に飛び込んでしまいたいくらいにはね。			黄金の扉の先へ							
だけど、万が一のことがあれば、原初世界側から扉をこじ開けなければならないでしょう。あなたを失う可能性に比べれば我慢できるわ……しばらくはね。			だけど、万が一のことがあれば、原初世界側から扉をこじ開けなければならないでしょう。あなたを失う可能性に比べれば我慢できるわ……しばらくはね。			黄金の扉の先へ							
こちらにはあらゆる分野の専門家が控えていますので、次元を超える新たな旅路、どうか憂うことなく歩んでください。			こちらにはあらゆる分野の専門家が控えていますので、次元を超える新たな旅路、どうか憂うことなく歩んでください。			黄金の扉の先へ							
安心しろ、こいつらは俺が護る。お前にしかできないことを、しっかりやり遂げてこい。			安心しろ、こいつらは俺が護る。お前にしかできないことを、しっかりやり遂げてこい。			黄金の扉の先へ							
ここに来る間に、竜に似たオオトカゲを見かけてな。食い出がありそうだったから、あとで狩ってこよう。			ここに来る間に、竜に似たオオトカゲを見かけてな。食い出がありそうだったから、あとで狩ってこよう。			黄金の扉の先へ							
その肉でもツマミに、お前が見てきた光景を話してくれ。			その肉でもツマミに、お前が見てきた光景を話してくれ。			黄金の扉の先へ							
僕にできるのはここまでです。もしもあの人に……カフキワさんに会えたら、ありがとうとお伝えください……。			僕にできるのはここまでです。もしもあの人に……カフキワさんに会えたら、ありがとうとお伝えください……。			黄金の扉の先へ							
危険は重々承知だが、あいつに文句のひとつでも言ってやらないと気が済まない。俺が行く理由なんて、それだけだ……。			危険は重々承知だが、あいつに文句のひとつでも言ってやらないと気が済まない。俺が行く理由なんて、それだけだ……。			黄金の扉の先へ							
ここが、私の生まれた世界……。			ここが、私の生まれた世界……。			黄金の扉の先へ							
この場所が、ヴォイドでも第一世界でもない、未知の鏡像世界……なのか……？			この場所が、ヴォイドでも第一世界でもない、未知の鏡像世界……なのか……？			黄金の扉の先へ							
黄金郷とは、よく言ったものだな……。伝説は本当だったってわけだ。			黄金郷とは、よく言ったものだな……。伝説は本当だったってわけだ。			黄金の扉の先へ							
すっげえええええぇ……！こんな場所があったなんて……！			すっげえええええぇ……！こんな場所があったなんて……！			黄金の扉の先へ							
ヨカフイ族の奴らが言ってた黄金郷の伝承って、ここのことだったんだな！			ヨカフイ族の奴らが言ってた黄金郷の伝承って、ここのことだったんだな！			黄金の扉の先へ							
元よりヤクテル樹海には、この世界と繋がりやすい環境があったのかしら。次元の壁が薄い……そんな特殊な場所だったのかもしれないわね。			元よりヤクテル樹海には、この世界と繋がりやすい環境があったのかしら。次元の壁が薄い……そんな特殊な場所だったのかもしれないわね。			黄金の扉の先へ							
だから、ヨカフイ族たちはこの光景を夢で幻視し、そしてまた黄金郷の扉も、あの遺跡に通じたってことか……。			だから、ヨカフイ族たちはこの光景を夢で幻視し、そしてまた黄金郷の扉も、あの遺跡に通じたってことか……。			黄金の扉の先へ							
なあ、エレンヴィル！あの火山みてぇなやつ、本物かな？			なあ、エレンヴィル！あの火山みてぇなやつ、本物かな？			黄金の扉の先へ							
……こんな街中に火山があってたまるかよ。			……こんな街中に火山があってたまるかよ。			黄金の扉の先へ							
うーん、それもそうだけどよ。ここから見ただけじゃわかんねぇな。			うーん、それもそうだけどよ。ここから見ただけじゃわかんねぇな。			黄金の扉の先へ							
おっ、そこから下に降りられそうだ。行ってみようぜ！			おっ、そこから下に降りられそうだ。行ってみようぜ！			黄金の扉の先へ							
ここにいる人たち、もしかして……。			ここにいる人たち、もしかして……。			黄金の扉の先へ							
なあ、このエーテライト……見覚えあるよな？			なあ、このエーテライト……見覚えあるよな？			黄金の扉の先へ							
よく見ると、ここにもエレクトロープが使われてるんだな。			よく見ると、ここにもエレクトロープが使われてるんだな。			黄金の扉の先へ							
なんか、不思議なとこだな……。初めて来たのに、懐かしい感じがするっていうかさ。			なんか、不思議なとこだな……。初めて来たのに、懐かしい感じがするっていうかさ。			黄金の扉の先へ							
エバーキープがあれだけ発展した機械の街だったのに、ここは石畳とか煉瓦とか、まるで昔に戻っちまったみたいだぜ。			エバーキープがあれだけ発展した機械の街だったのに、ここは石畳とか煉瓦とか、まるで昔に戻っちまったみたいだぜ。			黄金の扉の先へ							
……いや、周囲の建物をよく見てみろ。			……いや、周囲の建物をよく見てみろ。			黄金の扉の先へ							
いたるところにエレクトロープが覗いてるし、機械化されてるところもある。			いたるところにエレクトロープが覗いてるし、機械化されてるところもある。			黄金の扉の先へ							
スフェーンが機械兵の姿を変えてたように、上辺だけそれらしく見せてるだけだろう。			スフェーンが機械兵の姿を変えてたように、上辺だけそれらしく見せてるだけだろう。			黄金の扉の先へ							
このエーテライトも、エバーキープにあったものと同じ形状だよな？			このエーテライトも、エバーキープにあったものと同じ形状だよな？			黄金の扉の先へ							
少なくとも……アレクサンドリアと同じ文明圏に属しているのは、間違いなさそうだ。			少なくとも……アレクサンドリアと同じ文明圏に属しているのは、間違いなさそうだ。			黄金の扉の先へ							
そうね……ドーム内の死者の記憶が、巨大ゲート経由で「消えた最上層」に転送されていたのなら、ここがその「エバーキープの最上層」なのかもしれないわ。			そうね……ドーム内の死者の記憶が、巨大ゲート経由で「消えた最上層」に転送されていたのなら、ここがその「エバーキープの最上層」なのかもしれないわ。			黄金の扉の先へ							
(-？？？？-)やあやあ君たち、よく来たね！			(-？？？？-)やあやあ君たち、よく来たね！			黄金の扉の先へ							
お前は……？			お前は……？			黄金の扉の先へ							
私はコンスタンシ。警戒しなくても大丈夫、君たちと同じ「永久人」さ。			私はコンスタンシ。警戒しなくても大丈夫、君たちと同じ「永久人」さ。			黄金の扉の先へ							
ああ、永久人っていうのは……魂が尽きた人、つまり、亡くなった人の記憶から再現された人のこと。			ああ、永久人っていうのは……魂が尽きた人、つまり、亡くなった人の記憶から再現された人のこと。			黄金の扉の先へ							
心配ない、ちゃんと生前の記憶も受け継いでるから、生きているころと何ら変わりはないよ！			心配ない、ちゃんと生前の記憶も受け継いでるから、生きているころと何ら変わりはないよ！			黄金の扉の先へ							
……話を合わせておこうぜ。			……話を合わせておこうぜ。			黄金の扉の先へ							
そして私はこの、永久人たちの眠らない街……リビング・メモリーのスタッフであり、君たちのような、成りたての永久人の案内を務めているんだ。			そして私はこの、永久人たちの眠らない街……リビング・メモリーのスタッフであり、君たちのような、成りたての永久人の案内を務めているんだ。			黄金の扉の先へ							
そう、私たち永久人が暮らす街なのね……。いろいろな施設があるみたいだけど、どんな場所か、教えてもらえないかしら？			そう、私たち永久人が暮らす街なのね……。いろいろな施設があるみたいだけど、どんな場所か、教えてもらえないかしら？			黄金の扉の先へ							
大きく4つのエリアがあるのだけれど、そのすべてが、かつて私たちの大陸にあった光景を、娯楽施設として再現したものなんだ。			大きく4つのエリアがあるのだけれど、そのすべてが、かつて私たちの大陸にあった光景を、娯楽施設として再現したものなんだ。			黄金の扉の先へ							
失われたものが記憶から消えないように……大切な思い出が、永遠に受け継がれていくようにね。			失われたものが記憶から消えないように……大切な思い出が、永遠に受け継がれていくようにね。			黄金の扉の先へ							
エバーキープが造られた当初は、生きた人のための施設だったんだけど……それから何百年も経って、今は永久人の街となっているのさ。			エバーキープが造られた当初は、生きた人のための施設だったんだけど……それから何百年も経って、今は永久人の街となっているのさ。			黄金の扉の先へ							
保存のために大陸中から持ち込まれた魔物も徘徊してるから、その点だけは要注意だ！君たちさえよければ、さっそく街を案内しようと思うんだが……			保存のために大陸中から持ち込まれた魔物も徘徊してるから、その点だけは要注意だ！君たちさえよければ、さっそく街を案内しようと思うんだが……			黄金の扉の先へ							
あっ、ちょ、ちょっと待ってくれ……！			あっ、ちょ、ちょっと待ってくれ……！			黄金の扉の先へ							
ええと……せっかくのところ悪いんだけどよ、アタシたち、スフェーンに会いに来たんだ。			ええと……せっかくのところ悪いんだけどよ、アタシたち、スフェーンに会いに来たんだ。			黄金の扉の先へ							
おお、スフェーン様に……！それならちょうどよかった。			おお、スフェーン様に……！それならちょうどよかった。			黄金の扉の先へ							
実はさっき、アナウンスがあってね……これからしばらくの間、スフェーン様はお眠りになるそうなんだ。			実はさっき、アナウンスがあってね……これからしばらくの間、スフェーン様はお眠りになるそうなんだ。			黄金の扉の先へ							
だけど、今ならまだ間に合うだろう。街の中央にある、黄金色に輝くメインターミナルの前で、スフェーン様の名前を呼んでごらん。			だけど、今ならまだ間に合うだろう。街の中央にある、黄金色に輝くメインターミナルの前で、スフェーン様の名前を呼んでごらん。			黄金の扉の先へ							
よくわからねぇけど、会えるみてぇだな……。メインターミナルってとこに行ってみようぜ！			よくわからねぇけど、会えるみてぇだな……。メインターミナルってとこに行ってみようぜ！			黄金の扉の先へ							
ありがとよ、コンスタンシ！また会うことがあれば、案内頼むぜ！			ありがとよ、コンスタンシ！また会うことがあれば、案内頼むぜ！			黄金の扉の先へ							
ええ、喜んで！スフェーン様に会えるといいね！			ええ、喜んで！スフェーン様に会えるといいね！			黄金の扉の先へ							
スフェーン様とお話ししたいなら、中央のメインターミナルの前で名前を呼ぶといい。彼女は私たちと話すのがお好きだから、きっと現れてくれるさ。			スフェーン様とお話ししたいなら、中央のメインターミナルの前で名前を呼ぶといい。彼女は私たちと話すのがお好きだから、きっと現れてくれるさ。			黄金の扉の先へ							
ここのエレクトロープは、金色の光を放つんだな。天深きセノーテの部屋もそうだったが、使用するエネルギー量の違い、だろうか……。			ここのエレクトロープは、金色の光を放つんだな。天深きセノーテの部屋もそうだったが、使用するエネルギー量の違い、だろうか……。			黄金の扉の先へ							
……ここらの植物は、本物みたいだな。全部がエレクトロープの作り物ってわけでもなさそうだ。			……ここらの植物は、本物みたいだな。全部がエレクトロープの作り物ってわけでもなさそうだ。			黄金の扉の先へ							
永久人たちは、いったいどれほどの時を、この街で過ごしてきたのかしら……。			永久人たちは、いったいどれほどの時を、この街で過ごしてきたのかしら……。			黄金の扉の先へ							
彼女に悪意がないのはわかってる……だけど、これだけは決して譲れないわ……。			彼女に悪意がないのはわかってる……だけど、これだけは決して譲れないわ……。			黄金の扉の先へ							
永久人という存在そのものが、最初から破綻しているんだ……。スフェーンは、そんな立ち行かない命を背負いながら、消滅に抗おうとしてきたのか……。			永久人という存在そのものが、最初から破綻しているんだ……。スフェーンは、そんな立ち行かない命を背負いながら、消滅に抗おうとしてきたのか……。			黄金の扉の先へ							
彼女が護ろうとしてる記憶は、自然の理から外れたものだ。だが、永久人たちはたしかにここに存在していて、スフェーンだけは、彼らの命を本物だと信じてる……。			彼女が護ろうとしてる記憶は、自然の理から外れたものだ。だが、永久人たちはたしかにここに存在していて、スフェーンだけは、彼らの命を本物だと信じてる……。			黄金の扉の先へ							
くそっ……！結局こうなっちまうのかよ……！			くそっ……！結局こうなっちまうのかよ……！			黄金の扉の先へ							
スフェーンのこと、少しは知った気になってたけど、結局、あいつがずっと背負ってきたものを、アタシはまだ全然知らねぇままなんだ……！			スフェーンのこと、少しは知った気になってたけど、結局、あいつがずっと背負ってきたものを、アタシはまだ全然知らねぇままなんだ……！			黄金の扉の先へ							
メインターミナル前のウクラマトは、悔しさを滲ませている。			メインターミナル前のウクラマトは、悔しさを滲ませている。			永久に生きる者たち							
最初に出会った永久人、コンスタンシを探すことにした。リビング・メモリーのレイノード・メモリスにある「指定地点」で見渡してみよう。			最初に出会った永久人、コンスタンシを探すことにした。リビング・メモリーのレイノード・メモリスにある「指定地点」で見渡してみよう。			永久に生きる者たち							
永久人のカフキワと会うことができた。レイノード・メモリスにいる「カナルタウンの警備員」と話そう。			永久人のカフキワと会うことができた。レイノード・メモリスにいる「カナルタウンの警備員」と話そう。			永久に生きる者たち							
ジップラインでカナルタウンに渡った。リビング・メモリーの遊水通りにいる「カフキワ」と話そう。			ジップラインでカナルタウンに渡った。リビング・メモリーの遊水通りにいる「カフキワ」と話そう。			永久に生きる者たち							
カフキワと話し、永久人を消してほしいという彼女の願いを引き受けることにした。遊水通りにいる「永久人たち」と話そう。			カフキワと話し、永久人を消してほしいという彼女の願いを引き受けることにした。遊水通りにいる「永久人たち」と話そう。			永久に生きる者たち							
永久人たちと話した。遊水通りにいる「エラスタス」という店員と話そう。			永久人たちと話した。遊水通りにいる「エラスタス」という店員と話そう。			永久に生きる者たち							
エラスタスから、永久人用のポップコーンを試食させてもらった。遊水通りにいる「グ・ラハ・ティア」と話そう。			エラスタスから、永久人用のポップコーンを試食させてもらった。遊水通りにいる「グ・ラハ・ティア」と話そう。			永久に生きる者たち							
グ・ラハ・ティアと話した。彼が見かけたという、困っている永久人を探して助けてあげよう。			グ・ラハ・ティアと話した。彼が見かけたという、困っている永久人を探して助けてあげよう。			永久に生きる者たち							
指定地点で見渡す			指定地点で見渡す			永久に生きる者たち							
カナルタウンの警備員と話す			カナルタウンの警備員と話す			永久に生きる者たち							
カフキワと話す			カフキワと話す			永久に生きる者たち							
永久人たちと話す			永久人たちと話す			永久に生きる者たち							
エラスタスと話す			エラスタスと話す			永久に生きる者たち							
グ・ラハ・ティアと話す			グ・ラハ・ティアと話す			永久に生きる者たち							
彼女に悪意がないのはわかってる……だけど、これだけは決して譲れないわ……。			彼女に悪意がないのはわかってる……だけど、これだけは決して譲れないわ……。			永久に生きる者たち							
永久人という存在そのものが、最初から破綻しているんだ……。スフェーンは、そんな立ち行かない命を背負いながら、消滅に抗おうとしてきたのか……。			永久人という存在そのものが、最初から破綻しているんだ……。スフェーンは、そんな立ち行かない命を背負いながら、消滅に抗おうとしてきたのか……。			永久に生きる者たち							
彼女が護ろうとしてる記憶は、自然の理から外れたものだ。だが、永久人たちはたしかにここに存在していて、スフェーンだけは、彼らの命を本物だと肯定している……。			彼女が護ろうとしてる記憶は、自然の理から外れたものだ。だが、永久人たちはたしかにここに存在していて、スフェーンだけは、彼らの命を本物だと肯定している……。			永久に生きる者たち							
スフェーンは消えちまったし、これ以上ここにいてもしょうがねぇ。ひとまずレイノード・メモリスに戻ろうぜ。			スフェーンは消えちまったし、これ以上ここにいてもしょうがねぇ。ひとまずレイノード・メモリスに戻ろうぜ。			永久に生きる者たち							
さっきのコンスタンシって奴、スフェーンが眠るとか何とかって言ってただろ？あいつを探して、もう少し詳しく聞いてみよう。			さっきのコンスタンシって奴、スフェーンが眠るとか何とかって言ってただろ？あいつを探して、もう少し詳しく聞いてみよう。			永久に生きる者たち							
コンスタンシさん、見当たらないわね……。どこか別の場所に行っちゃったのかしら。			コンスタンシさん、見当たらないわね……。どこか別の場所に行っちゃったのかしら。			永久に生きる者たち							
うーん……。あの人じゃ、ないよな……？			うーん……。あの人じゃ、ないよな……？			永久に生きる者たち							
近くにはいないみたいだな。			近くにはいないみたいだな。			永久に生きる者たち							
マジかよ、いなくなっちまった！？			マジかよ、いなくなっちまった！？			永久に生きる者たち							
見当たらねぇなー……。			見当たらねぇなー……。			永久に生きる者たち							
この施設のスタッフって言ってたし、別の永久人の案内でもしに行ったのかしら？			この施設のスタッフって言ってたし、別の永久人の案内でもしに行ったのかしら？			永久に生きる者たち							
(-聞き覚えのある声-)誰か探してるのかい？			(-聞き覚えのある声-)誰か探してるのかい？			永久に生きる者たち							
そうなんだよ。さっきここにいたコンスタンシって奴に話を……			そうなんだよ。さっきここにいたコンスタンシって奴に話を……			永久に生きる者たち							
って……え！？？			って……え！？？			永久に生きる者たち							
(-聞き覚えのある声-)久しぶり……ってほどでもないか。あんたたちなら来てくれるって信じてたよ。			(-聞き覚えのある声-)久しぶり……ってほどでもないか。あんたたちなら来てくれるって信じてたよ。			永久に生きる者たち							
その声……！			その声……！			永久に生きる者たち							
もしかして、カフキワか！？			もしかして、カフキワか！？			永久に生きる者たち							
ああ、この姿で会うのは初めてだったっけ。いかにも、あたしはカフキワさ！			ああ、この姿で会うのは初めてだったっけ。いかにも、あたしはカフキワさ！			永久に生きる者たち							
丸っこい機械は世を忍ぶ仮の姿、その正体は、シャトナ族きっての美女……！			丸っこい機械は世を忍ぶ仮の姿、その正体は、シャトナ族きっての美女……！			永久に生きる者たち							
ってのは、ちょっとキツいか。ごめん、今のナシで。			ってのは、ちょっとキツいか。ごめん、今のナシで。			永久に生きる者たち							
おふくろ、ここにいるってことは、やっぱり……。			おふくろ、ここにいるってことは、やっぱり……。			永久に生きる者たち							
いやあ、何度も言おうと思ったんだけどさ。あんたを前にしたら、どうしても言い出せなくなっちゃって……。			いやあ、何度も言おうと思ったんだけどさ。あんたを前にしたら、どうしても言い出せなくなっちゃって……。			永久に生きる者たち							
察しのとおり、あたしは永久人さ！もうずっと前に、うっかり死んじまってねぇ……。			察しのとおり、あたしは永久人さ！もうずっと前に、うっかり死んじまってねぇ……。			永久に生きる者たち							
エレンヴィル……。			エレンヴィル……。			永久に生きる者たち							
おっと、本題本題！あんたたち、スフェーン様を止めにきたんだろ？それなら、ちょっと頼みたいことがあるんだ。			おっと、本題本題！あんたたち、スフェーン様を止めにきたんだろ？それなら、ちょっと頼みたいことがあるんだ。			永久に生きる者たち							
止める方法を知ってるのか！？			止める方法を知ってるのか！？			永久に生きる者たち							
理論上は……ってところだけどね。あんたたちが来てくれたおかげで、多少は現実味を帯びてきた。			理論上は……ってところだけどね。あんたたちが来てくれたおかげで、多少は現実味を帯びてきた。			永久に生きる者たち							
で、スフェーン様を止めるためにも、まずはあたしの願いを叶えてほしいんだよ。引き受けるか否か、話だけでも聞いてくれないかい？			で、スフェーン様を止めるためにも、まずはあたしの願いを叶えてほしいんだよ。引き受けるか否か、話だけでも聞いてくれないかい？			永久に生きる者たち							
よかった、さすがはエレネッシパの友達だ！それじゃあ、ちょっと場所を移させてもらうよ。			よかった、さすがはエレネッシパの友達だ！それじゃあ、ちょっと場所を移させてもらうよ。			永久に生きる者たち							
この先にいる警備員……機械兵が見えるかい？あの子をちょちょっとハッキングして、ジップラインをあんたたちでも使えるようにしておくよ。			この先にいる警備員……機械兵が見えるかい？あの子をちょちょっとハッキングして、ジップラインをあんたたちでも使えるようにしておくよ。			永久に生きる者たち							
ジップライン……？			ジップライン……？			永久に生きる者たち							
実に娯楽施設らしい移動手段さ！永久人はリビング・メモリー内なら自由に転移できるから、使われる頻度は高くないんだけどね。			実に娯楽施設らしい移動手段さ！永久人はリビング・メモリー内なら自由に転移できるから、使われる頻度は高くないんだけどね。			永久に生きる者たち							
それを使って、「カナルタウン」ってとこまできとくれ。……じゃ、あたしは先に行ってるよ！			それを使って、「カナルタウン」ってとこまできとくれ。……じゃ、あたしは先に行ってるよ！			永久に生きる者たち							
ふふ、あの少し強引な感じ……やっぱりカフキワさんね。行ってみましょう！			ふふ、あの少し強引な感じ……やっぱりカフキワさんね。行ってみましょう！			永久に生きる者たち							
これで各エリアに移動するのね。娯楽施設らしい移動手段って、もしかして……。			これで各エリアに移動するのね。娯楽施設らしい移動手段って、もしかして……。			永久に生きる者たち							
カフキワさんの姿は……ないな。永久人は転移できるって言ってたし、ジップラインを使わなかったのか。			カフキワさんの姿は……ないな。永久人は転移できるって言ってたし、ジップラインを使わなかったのか。			永久に生きる者たち							
…………悪い、少し混乱してる。死んでるって言われても、おふくろの姿を目の前にするとな。			…………悪い、少し混乱してる。死んでるって言われても、おふくろの姿を目の前にするとな。			永久に生きる者たち							
ハーム島ってとこにも、似たやつがあったよな？こいつなら酔いそうにもないし、全然怖くねぇぜ！			ハーム島ってとこにも、似たやつがあったよな？こいつなら酔いそうにもないし、全然怖くねぇぜ！			永久に生きる者たち							
おや、あなた方は……ビープ、ビープ、エラー、エラー……利用者登録を……か、か、か、確認しました。			おや、あなた方は……ビープ、ビープ、エラー、エラー……利用者登録を……か、か、か、確認しました。			永久に生きる者たち							
歓迎、歓迎！癒しのリゾート、水のカナルタウンへ、行ってらっしゃーい！			歓迎、歓迎！癒しのリゾート、水のカナルタウンへ、行ってらっしゃーい！			永久に生きる者たち							
素敵な場所……。			素敵な場所……。			永久に生きる者たち							
スフェーン様が護ってきた永久人たちさ。			スフェーン様が護ってきた永久人たちさ。			永久に生きる者たち							
……みんな、笑顔だな。			……みんな、笑顔だな。			永久に生きる者たち							
それで、アタシらに頼みたいことって何だ？			それで、アタシらに頼みたいことって何だ？			永久に生きる者たち							
あたしたち永久人を、消してほしいんだ。			あたしたち永久人を、消してほしいんだ。			永久に生きる者たち							
…………え？			…………え？			永久に生きる者たち							
永久人を……消す……？			永久人を……消す……？			永久に生きる者たち							
……彼女の意図するところを聞いてみないことにはな。			……彼女の意図するところを聞いてみないことにはな。			永久に生きる者たち							
…………。			…………。			永久に生きる者たち							
カフキワなりの考えがありそうだな……。			カフキワなりの考えがありそうだな……。			永久に生きる者たち							
なんだい、そんな暗い顔しないでよ。			なんだい、そんな暗い顔しないでよ。			永久に生きる者たち							
こんなこと、生きているあんたたちにしか頼めないし、スフェーン様が「世界を繋ぐ力」の発動に集中している今しか、チャンスはないんだ。			こんなこと、生きているあんたたちにしか頼めないし、スフェーン様が「世界を繋ぐ力」の発動に集中している今しか、チャンスはないんだ。			永久に生きる者たち							
たしかに、アタシは永久人の在り方……特に他人の命を犠牲にして、存続させてるってとこは、認められねぇんだけどさ……。			たしかに、アタシは永久人の在り方……特に他人の命を犠牲にして、存続させてるってとこは、認められねぇんだけどさ……。			永久に生きる者たち							
こうしてカフキワに会って話してみると、生きてる人間にしか見えねぇし……消してくれって言われても……即答できねぇよ……。			こうしてカフキワに会って話してみると、生きてる人間にしか見えねぇし……消してくれって言われても……即答できねぇよ……。			永久に生きる者たち							
せめて、消滅を急ぐ理由を教えてくれねぇか？			せめて、消滅を急ぐ理由を教えてくれねぇか？			永久に生きる者たち							
まさに、あんたが言ったとおりの理由さ。あたしたち永久人は、生命力のエーテルがないと存続できない……環境エーテルとは違う、「人の命を構成する」エーテルさ。			まさに、あんたが言ったとおりの理由さ。あたしたち永久人は、生命力のエーテルがないと存続できない……環境エーテルとは違う、「人の命を構成する」エーテルさ。			永久に生きる者たち							
