東龍鱗橋付近のイッセは、落ち着かない様子だ。			東龍鱗橋付近のイッセは、落ち着かない様子だ。			踏み出す一歩							
この壺の入り心地ときたら、すっぽりがっぽり、たまらんっぺよ。……そういや、帝国のコンテナも、魅惑の形っぺな。			この壺の入り心地ときたら、すっぽりがっぽり、たまらんっぺよ。……そういや、帝国のコンテナも、魅惑の形っぺな。			壺、奪還作戦！							
さてと、無事に壺も取り返せたし、一件落着っぺな。手伝ってくれて、ありがとっぺよ～！			さてと、無事に壺も取り返せたし、一件落着っぺな。手伝ってくれて、ありがとっぺよ～！			壺、奪還作戦！							
ユヅカ代官屋敷のギョシュは、ヒトに伝言を頼みたいようだ。			ユヅカ代官屋敷のギョシュは、ヒトに伝言を頼みたいようだ。			娘は預かった							
ヤマカゲと話す			ヤマカゲと話す			娘は預かった							
ギョシュと話す			ギョシュと話す			娘は預かった							
ヤマカゲと話す			ヤマカゲと話す			娘は預かった							
あなた、もしかして旅のヒトっぺか？よかったら、言づてを頼みたいっぺよ。			あなた、もしかして旅のヒトっぺか？よかったら、言づてを頼みたいっぺよ。			娘は預かった							
ナマイ村にいる「ヤマカゲ」さんってヒトに、娘を預かってるって、伝えてほしいっぺよ……。			ナマイ村にいる「ヤマカゲ」さんってヒトに、娘を預かってるって、伝えてほしいっぺよ……。			娘は預かった							
ナマイ村にいる「ヤマカゲ」さんってヒトに、娘を預かってるって、伝えてほしいっぺよ……。			ナマイ村にいる「ヤマカゲ」さんってヒトに、娘を預かってるって、伝えてほしいっぺよ……。			娘は預かった							
な、なんだって！娘を預かってると、ギョシュがたしかに、そう言ったのか！？			な、なんだって！娘を預かってると、ギョシュがたしかに、そう言ったのか！？			娘は預かった							
気さくでいい奴らだと思って、今まで仲良くやってきたつもりだったが、まさか子どもを誘拐するなんて……。			気さくでいい奴らだと思って、今まで仲良くやってきたつもりだったが、まさか子どもを誘拐するなんて……。			娘は預かった							
要求はなんだ……あるだけ金を持ってこいってことか？銭なんて、ほとんどもっていないんだが……。			要求はなんだ……あるだけ金を持ってこいってことか？銭なんて、ほとんどもっていないんだが……。			娘は預かった							
アンタ、伝言を頼まれるくらいだから、ナマズオたちに、信頼されてるはずだよな！？			アンタ、伝言を頼まれるくらいだから、ナマズオたちに、信頼されてるはずだよな！？			娘は預かった							
金はなんとしてでも集めるから、少しだけ時間をくれと、「ギョシュ」に伝えてくれないか？娘の命がかかってるんだ、どうか頼む！			金はなんとしてでも集めるから、少しだけ時間をくれと、「ギョシュ」に伝えてくれないか？娘の命がかかってるんだ、どうか頼む！			娘は預かった							
金はなんとしてでも集めるから、少しだけ時間をくれと、「ギョシュ」に伝えてくれないか？娘の命がかかってるんだ、どうか頼む！			金はなんとしてでも集めるから、少しだけ時間をくれと、「ギョシュ」に伝えてくれないか？娘の命がかかってるんだ、どうか頼む！			娘は預かった							
お金は集めるから、時間をくれっぺか？いったい、何の話を…………ギョギョギョ！？こ、言葉が足りなかったかもしれないっぺよ！			お金は集めるから、時間をくれっぺか？いったい、何の話を…………ギョギョギョ！？こ、言葉が足りなかったかもしれないっぺよ！			娘は預かった							
実は、仲間が漁をしていたら、小舟に乗って大泣きしている女の子が流れてきたっぺな……。話を聞いたら、ヤマカゲさんのお子さんだってわかったっぺよ。			実は、仲間が漁をしていたら、小舟に乗って大泣きしている女の子が流れてきたっぺな……。話を聞いたら、ヤマカゲさんのお子さんだってわかったっぺよ。			娘は預かった							
今は仲間と楽しく遊んでるから、迎えに来て欲しかっただけっぺな！			今は仲間と楽しく遊んでるから、迎えに来て欲しかっただけっぺな！			娘は預かった							
悪いけれど、もう一度「ヤマカゲ」さんに、今の話を伝えに行ってくれるっぺか？娘さんと一緒に、お待ちしているっぺよ！			悪いけれど、もう一度「ヤマカゲ」さんに、今の話を伝えに行ってくれるっぺか？娘さんと一緒に、お待ちしているっぺよ！			娘は預かった							
悪いけれど、もう一度「ヤマカゲ」さんに、今の話を伝えに行ってくれるっぺか？娘さんと一緒に、お待ちしているっぺよ！			悪いけれど、もう一度「ヤマカゲ」さんに、今の話を伝えに行ってくれるっぺか？娘さんと一緒に、お待ちしているっぺよ！			娘は預かった							
ど、どうだ？ギョシュのやつ、待ってくれそうか！？			ど、どうだ？ギョシュのやつ、待ってくれそうか！？			娘は預かった							
な、なんだ、そういうことだったのか……ホッとしたよ！アイツが言葉足らずなのは、いつものことなのに、娘がいなくなって動転しちまってたみたいだ。			な、なんだ、そういうことだったのか……ホッとしたよ！アイツが言葉足らずなのは、いつものことなのに、娘がいなくなって動転しちまってたみたいだ。			娘は預かった							
ときどき村にも、物を売りにやってくるんだが、そのときも、子どもたちと遊んでくれる気さくなヤツでね。子どもたちも、アイツらがお気に入りみたいなんだよ。			ときどき村にも、物を売りにやってくるんだが、そのときも、子どもたちと遊んでくれる気さくなヤツでね。子どもたちも、アイツらがお気に入りみたいなんだよ。			娘は預かった							
疑ってしまって、なんだか悪かったな……。そういうことなら、娘を迎えに行くときに、みやげに茶でも持っていくとするかね。			疑ってしまって、なんだか悪かったな……。そういうことなら、娘を迎えに行くときに、みやげに茶でも持っていくとするかね。			娘は預かった							
巻き込んでしまって悪かったね。どうもありがとう！			巻き込んでしまって悪かったね。どうもありがとう！			娘は預かった							
ユヅカ代官屋敷のナマズオ老師は、頼りになりそうなヒトを探しているようだ。			ユヅカ代官屋敷のナマズオ老師は、頼りになりそうなヒトを探しているようだ。			3匹寄れば探知のヒゲ							
ナマズオ老師と話す			ナマズオ老師と話す			3匹寄れば探知のヒゲ							
一番弟子のナマズオと話す			一番弟子のナマズオと話す			3匹寄れば探知のヒゲ							
ナマズオたちが指し示す方向をヒントに老師の鈴が埋められた場所を探し「見わたす」をする			ナマズオたちが指し示す方向をヒントに老師の鈴が埋められた場所を探し「見わたす」をする			3匹寄れば探知のヒゲ							
老師の鈴を入手			老師の鈴を入手			3匹寄れば探知のヒゲ							
一番弟子のナマズオに老師の鈴を渡す			一番弟子のナマズオに老師の鈴を渡す			3匹寄れば探知のヒゲ							
ナマズオ老師と話す			ナマズオ老師と話す			3匹寄れば探知のヒゲ							
おまえさんっぺかのぅ？仲間の頼みを聞いてくれた、優しいヒトってのは。ワシの願いも、聞いてくれないっぺかのぅ？			おまえさんっぺかのぅ？仲間の頼みを聞いてくれた、優しいヒトってのは。ワシの願いも、聞いてくれないっぺかのぅ？			3匹寄れば探知のヒゲ							
ちょうど、弟子達の修行を手伝ってくれる、優しいヒトを探しておったところっぺなぁ。ワシではどうしても、少し甘くなってしまうっぺのぅ。			ちょうど、弟子達の修行を手伝ってくれる、優しいヒトを探しておったところっぺなぁ。ワシではどうしても、少し甘くなってしまうっぺのぅ。			3匹寄れば探知のヒゲ							
よかったら、そこの離れまで来てもらえるっぺかのぅ？皆を集めておくから、よろしく頼むっぺよぅ。			よかったら、そこの離れまで来てもらえるっぺかのぅ？皆を集めておくから、よろしく頼むっぺよぅ。			3匹寄れば探知のヒゲ							
よく来てくれたっぺのぅ。まずは、この立派なヒゲを見てくれるっぺかのぅ？ワシらのこのヒゲには、無限の可能性が秘められてるっぺのぅ。			よく来てくれたっぺのぅ。まずは、この立派なヒゲを見てくれるっぺかのぅ？ワシらのこのヒゲには、無限の可能性が秘められてるっぺのぅ。			3匹寄れば探知のヒゲ							
その中のひとつが、ナマズオ流ヒゲ探知術っぺなぁ。こやつらは今、後継者として厳しい修行の最中なんじゃが、3匹そろっても、いまだ1匹前とはいかないもんっぺのぅ……。			その中のひとつが、ナマズオ流ヒゲ探知術っぺなぁ。こやつらは今、後継者として厳しい修行の最中なんじゃが、3匹そろっても、いまだ1匹前とはいかないもんっぺのぅ……。			3匹寄れば探知のヒゲ							
そこで、優しいヒトの力も借りて、3匹と1人で、修行を成功させてほしいっぺよぅ！力を合わせれば、きっとできるはずっぺのぅ！			そこで、優しいヒトの力も借りて、3匹と1人で、修行を成功させてほしいっぺよぅ！力を合わせれば、きっとできるはずっぺのぅ！			3匹寄れば探知のヒゲ							
頼んますっぺな！オレたちは「西龍鱗橋」のそばで待ってるから、あとから来てほしいっぺよ！			頼んますっぺな！オレたちは「西龍鱗橋」のそばで待ってるから、あとから来てほしいっぺよ！			3匹寄れば探知のヒゲ							
東の「西龍鱗橋」のそばで修行している弟子たちを、助けてやってほしいっぺよぅ。詳しくは「一番弟子のナマズオ」に聞けばいいっぺのぅ。			東の「西龍鱗橋」のそばで修行している弟子たちを、助けてやってほしいっぺよぅ。詳しくは「一番弟子のナマズオ」に聞けばいいっぺのぅ。			3匹寄れば探知のヒゲ							
修行を成功させるためには、力を合わせるしかないっぺよ。でも、何かが足りない気もするっぺな……。			修行を成功させるためには、力を合わせるしかないっぺよ。でも、何かが足りない気もするっぺな……。			3匹寄れば探知のヒゲ							
さすがは、お師匠様の考えた修行……。わたくし1匹では、見つけるのは難しいかもしれなっぺよぉ。			さすがは、お師匠様の考えた修行……。わたくし1匹では、見つけるのは難しいかもしれなっぺよぉ。			3匹寄れば探知のヒゲ							
今日は、ヒゲが下を向いてて、ちょっと調子が悪いっぺな……。			今日は、ヒゲが下を向いてて、ちょっと調子が悪いっぺな……。			3匹寄れば探知のヒゲ							
よく来てくれたっぺな。修行の内容は、簡単っぺよ！			よく来てくれたっぺな。修行の内容は、簡単っぺよ！			3匹寄れば探知のヒゲ							
お師匠さまが、この辺りに隠した「老師の鈴」を、ヒゲを使って探し出すことっぺな。オレたちに話しかけてくれたら、方向を教えるっぺよ。			お師匠さまが、この辺りに隠した「老師の鈴」を、ヒゲを使って探し出すことっぺな。オレたちに話しかけてくれたら、方向を教えるっぺよ。			3匹寄れば探知のヒゲ							
妹弟子と弟弟子は、広い範囲を探せるように、この一帯の、端っこの方にいるはずっぺな。それじゃ、よろしく頼むっぺよ！			妹弟子と弟弟子は、広い範囲を探せるように、この一帯の、端っこの方にいるはずっぺな。それじゃ、よろしく頼むっぺよ！			3匹寄れば探知のヒゲ							
ナマズオたちが指し示す方向をヒントに、「老師の鈴」が埋められた場所を探し出し、エモート「見わたす」をして、アイテムを手に入れましょう。			ナマズオたちが指し示す方向をヒントに、「老師の鈴」が埋められた場所を探し出し、エモート「見わたす」をして、アイテムを手に入れましょう。			3匹寄れば探知のヒゲ							
ナマズオ流ヒゲ探知術……うぺぺぺぺぺぺぺ！			ナマズオ流ヒゲ探知術……うぺぺぺぺぺぺぺ！			3匹寄れば探知のヒゲ							
……ギョギョっときたっぺな！この方向に、老師の鈴があるハズ！ただ、ちょっとここから離れているかもしれないっぺよ。			……ギョギョっときたっぺな！この方向に、老師の鈴があるハズ！ただ、ちょっとここから離れているかもしれないっぺよ。			3匹寄れば探知のヒゲ							
わたくしたちのヒゲは、無限の可能性……。いきますっぺよぉ！			わたくしたちのヒゲは、無限の可能性……。いきますっぺよぉ！			3匹寄れば探知のヒゲ							
ギョギョっと、きましたっぺよぉ！この方向……しかも、かなり近くにありそうっぺよぉ！			ギョギョっと、きましたっぺよぉ！この方向……しかも、かなり近くにありそうっぺよぉ！			3匹寄れば探知のヒゲ							
オイラはまだ未熟でも、力を合わせれば見つかるはずっぺよ！やってやるっぺな……！			オイラはまだ未熟でも、力を合わせれば見つかるはずっぺよ！やってやるっぺな……！			3匹寄れば探知のヒゲ							
ギョ……ギョ……！？……む、む、向こうの方だと思うっぺな！近いような、遠いような……あんまり自信がないっぺよ……。			ギョ……ギョ……！？……む、む、向こうの方だと思うっぺな！近いような、遠いような……あんまり自信がないっぺよ……。			3匹寄れば探知のヒゲ							
足下の地面に、老師の鈴が埋まっていた！			足下の地面に、老師の鈴が埋まっていた！			3匹寄れば探知のヒゲ							
お師匠さまの鈴、見つかるといいっぺよ……！			お師匠さまの鈴、見つかるといいっぺよ……！			3匹寄れば探知のヒゲ							
老師の鈴を見つけたら、「一番弟子のナマズオ」に渡してあげてほしいっぺよぉ！			老師の鈴を見つけたら、「一番弟子のナマズオ」に渡してあげてほしいっぺよぉ！			3匹寄れば探知のヒゲ							
さっきの方角であってたか、急に自信がなくなってきたっぺよ……。			さっきの方角であってたか、急に自信がなくなってきたっぺよ……。			3匹寄れば探知のヒゲ							
「老師の鈴」は、見つかったっぺか？			「老師の鈴」は、見つかったっぺか？			3匹寄れば探知のヒゲ							
やったっぺよ！ついに、見つけたっぺな……。			やったっぺよ！ついに、見つけたっぺな……。			3匹寄れば探知のヒゲ							
オレたちは先に報告に戻るけんど、あなたからも、お師匠さまに、鈴を見つけられたことを伝えてほしいっぺよ。よろしくっぺな～！			オレたちは先に報告に戻るけんど、あなたからも、お師匠さまに、鈴を見つけられたことを伝えてほしいっぺよ。よろしくっぺな～！			3匹寄れば探知のヒゲ							
おかげさまで、無事に鈴を見つけられたようっぺのぅ。まだまだ未熟だけども、いつかはワシを超えて、立派になってほしいものっぺのぅ。			おかげさまで、無事に鈴を見つけられたようっぺのぅ。まだまだ未熟だけども、いつかはワシを超えて、立派になってほしいものっぺのぅ。			3匹寄れば探知のヒゲ							
ナマズオ流ヒゲ探知術の歴史は、長いんっぺのぅ。ご先祖さまは、ドマの国主様やお代官様たちのために、水脈や鉱脈、隠し財宝なんかを見つけたそうっぺのぅ。			ナマズオ流ヒゲ探知術の歴史は、長いんっぺのぅ。ご先祖さまは、ドマの国主様やお代官様たちのために、水脈や鉱脈、隠し財宝なんかを見つけたそうっぺのぅ。			3匹寄れば探知のヒゲ							
ワシも弟子たちも、現状に満足せずに、ヒゲの可能性を探求しつづけるっぺよぅ。……さらばっぺなぁ！			ワシも弟子たちも、現状に満足せずに、ヒゲの可能性を探求しつづけるっぺよぅ。……さらばっぺなぁ！			3匹寄れば探知のヒゲ							
無二江流域のギョリンは、冒険者が協力してくれるのを楽しみに待っているようだ。			無二江流域のギョリンは、冒険者が協力してくれるのを楽しみに待っているようだ。			コウブツで成り上がるのねん							
ギョリンと話した。一足先に掘る場所を探しに向かったギョリンを追いかけ、無二江流域にいる「ギョリン」と話そう。			ギョリンと話した。一足先に掘る場所を探しに向かったギョリンを追いかけ、無二江流域にいる「ギョリン」と話そう。			コウブツで成り上がるのねん							
ギョリンと話した。ナマズオに伝わる、ナマズオ流ヒゲ探知術で、いい鉱物がある場所を探していたのだという。ギョリンを追いかけ、無二江流域にいる「ギョリン」と再度話そう。			ギョリンと話した。ナマズオに伝わる、ナマズオ流ヒゲ探知術で、いい鉱物がある場所を探していたのだという。ギョリンを追いかけ、無二江流域にいる「ギョリン」と再度話そう。			コウブツで成り上がるのねん							
ギョリンと話した。よさそうな場所を見つけたものの、近くに魔物がいるのだという。無二江流域で「毛羽だったベニツノ」を2体討伐しよう。			ギョリンと話した。よさそうな場所を見つけたものの、近くに魔物がいるのだという。無二江流域で「毛羽だったベニツノ」を2体討伐しよう。			コウブツで成り上がるのねん							
毛羽だったベニツノを討伐した。無二江流域にいる「ギョリン」と話そう。			毛羽だったベニツノを討伐した。無二江流域にいる「ギョリン」と話そう。			コウブツで成り上がるのねん							
ギョリンと話した。鉱物を集めるので、先に屋敷に戻っていてほしいと語るギョリン。無二江流域の「指定地点」で待機しよう。			ギョリンと話した。鉱物を集めるので、先に屋敷に戻っていてほしいと語るギョリン。無二江流域の「指定地点」で待機しよう。			コウブツで成り上がるのねん							
指定地点で待機した。ギョリンが戻ってきたのち、鉱物に詳しいギョフにギョリンが集めたものを見てもらったところ、価値がないものばかり集めてきてしまったようだ。ギョリンは、聞いた結果に肩を落としてその場を去っていった。無二江流域の「ギョリン」と話そう。			指定地点で待機した。ギョリンが戻ってきたのち、鉱物に詳しいギョフにギョリンが集めたものを見てもらったところ、価値がないものばかり集めてきてしまったようだ。ギョリンは、聞いた結果に肩を落としてその場を去っていった。無二江流域の「ギョリン」と話そう。			コウブツで成り上がるのねん							
ギョリンと話した。自分のヒゲはコウブツ探しには向いていないのかもしれないので、ほかの稼ぎ方がないか調べてみると語るギョリンであった。			ギョリンと話した。自分のヒゲはコウブツ探しには向いていないのかもしれないので、ほかの稼ぎ方がないか調べてみると語るギョリンであった。			コウブツで成り上がるのねん							
ギョリンと話す			ギョリンと話す			コウブツで成り上がるのねん							
ギョリンと再度話す			ギョリンと再度話す			コウブツで成り上がるのねん							
毛羽だったベニツノを討伐			毛羽だったベニツノを討伐			コウブツで成り上がるのねん							
ギョリンと話す			ギョリンと話す			コウブツで成り上がるのねん							
指定地点で待機			指定地点で待機			コウブツで成り上がるのねん							
ギョリンと話す			ギョリンと話す			コウブツで成り上がるのねん							
付き合ってくれて、どうもありがとねん♪さっそくコウブツを探しに行こうと思うんだけど、お屋敷の西の方で、掘る場所を探そうと思ってるんだよねん。			付き合ってくれて、どうもありがとねん♪さっそくコウブツを探しに行こうと思うんだけど、お屋敷の西の方で、掘る場所を探そうと思ってるんだよねん。			コウブツで成り上がるのねん							
先に行って探しはじめてるから、Forenameも、あとから来てね～ん！			先に行って探しはじめてるから、Forenameも、あとから来てね～ん！			コウブツで成り上がるのねん							
どこかな、どこかな～ん♪コウブツはどっこかなぁ～ん♪			どこかな、どこかな～ん♪コウブツはどっこかなぁ～ん♪			コウブツで成り上がるのねん							
……ハッ、いつの間に来てたのん！？来てたなら言ってよ、びっくりするよん！			……ハッ、いつの間に来てたのん！？来てたなら言ってよ、びっくりするよん！			コウブツで成り上がるのねん							
今はね、ボクらに伝わる、ナマズオ流ヒゲ探知術で、いいコウブツがある場所を探してたところなんだよん。			今はね、ボクらに伝わる、ナマズオ流ヒゲ探知術で、いいコウブツがある場所を探してたところなんだよん。			コウブツで成り上がるのねん							
そして、なんとなんと……よさそうな場所を見つけちゃったのだよん！スゴいでしょ、えっへん！			そして、なんとなんと……よさそうな場所を見つけちゃったのだよん！スゴいでしょ、えっへん！			コウブツで成り上がるのねん							
自慢のヒゲが、北の方角から、成り上がりの気配をビンビン感じちゃってるのよん！さっそく行ってみるのだよん！			自慢のヒゲが、北の方角から、成り上がりの気配をビンビン感じちゃってるのよん！さっそく行ってみるのだよん！			コウブツで成り上がるのねん							
よさそうな場所を見つけたのはいいものの、近くに、怖そうな魔物がいるみたいだよん……。Forenameに、あいつを退治してほしいのねん！			よさそうな場所を見つけたのはいいものの、近くに、怖そうな魔物がいるみたいだよん……。Forenameに、あいつを退治してほしいのねん！			コウブツで成り上がるのねん							
よさそうな場所を見つけたのはいいものの、近くに、怖そうな魔物がいるみたいだよん……。Forenameに、あいつを退治してほしいのねん！			よさそうな場所を見つけたのはいいものの、近くに、怖そうな魔物がいるみたいだよん……。Forenameに、あいつを退治してほしいのねん！			コウブツで成り上がるのねん							
敵が襲いかかってきた！！			敵が襲いかかってきた！！			コウブツで成り上がるのねん							
Forenameは強いんだねぇ、びっくりだよん！ここからあとは、ボクに任せてちょうだいねん！			Forenameは強いんだねぇ、びっくりだよん！ここからあとは、ボクに任せてちょうだいねん！			コウブツで成り上がるのねん							
このあたりを掘って、コウブツをたくさん集めて持っていくから、Forenameは倉のそばで待っててねん！楽しみにしててねんっ♪			このあたりを掘って、コウブツをたくさん集めて持っていくから、Forenameは倉のそばで待っててねん！楽しみにしててねんっ♪			コウブツで成り上がるのねん							
このあたりを掘って、コウブツをたくさん集めて持っていくから、Forenameは倉のそばで待っててねん！楽しみにしててねんっ♪			このあたりを掘って、コウブツをたくさん集めて持っていくから、Forenameは倉のそばで待っててねん！楽しみにしててねんっ♪			コウブツで成り上がるのねん							
んっふふっのふーん♪Forenameにも、ボクの見事な掘りっぷりを見せてあげたかったのねん♪			んっふふっのふーん♪Forenameにも、ボクの見事な掘りっぷりを見せてあげたかったのねん♪			コウブツで成り上がるのねん							
これで、成り上がれること、間違いなしな気がするのね～ん、んふっ♪			これで、成り上がれること、間違いなしな気がするのね～ん、んふっ♪			コウブツで成り上がるのねん							
コウブツは、商売に精通してる、ギョフさんに見てもらうのがいいから、さっそく行ってみるとするのねん♪			コウブツは、商売に精通してる、ギョフさんに見てもらうのがいいから、さっそく行ってみるとするのねん♪			コウブツで成り上がるのねん							
ギョフさ～ん！実は、見てほしいものがあるのねん♪			ギョフさ～ん！実は、見てほしいものがあるのねん♪			コウブツで成り上がるのねん							
どうしたよギョリン？おみゃあさん、ずいぶんご機嫌だっぺな？			どうしたよギョリン？おみゃあさん、ずいぶんご機嫌だっぺな？			コウブツで成り上がるのねん							
んふ……実はね、コウブツを採ってきたのねん！それでギョフさんに、いくらぐらいで売れそうか、見てほしいと思っているのねん♪			んふ……実はね、コウブツを採ってきたのねん！それでギョフさんに、いくらぐらいで売れそうか、見てほしいと思っているのねん♪			コウブツで成り上がるのねん							
ほぉ、おみゃあさんが鉱物を採ってきたっぺか。ほいじゃあ、見てみるっぺよ！			ほぉ、おみゃあさんが鉱物を採ってきたっぺか。ほいじゃあ、見てみるっぺよ！			コウブツで成り上がるのねん							
……正直に言っていいっぺか、ギョリン？			……正直に言っていいっぺか、ギョリン？			コウブツで成り上がるのねん							
うん、もちろんだよん！楽しみだなぁ、んふふっ♪			うん、もちろんだよん！楽しみだなぁ、んふふっ♪			コウブツで成り上がるのねん							
おみゃあさんが取ってきた鉱物は、価格を付け難いぐらいに……			おみゃあさんが取ってきた鉱物は、価格を付け難いぐらいに……			コウブツで成り上がるのねん							
ゴミクズ同然の無価値な石コロっぺよ！！			ゴミクズ同然の無価値な石コロっぺよ！！			コウブツで成り上がるのねん							
そ、そんなぁ……。がんばって探したのに、ガックシだなぁん。			そ、そんなぁ……。がんばって探したのに、ガックシだなぁん。			コウブツで成り上がるのねん							
また、ほかの稼ぎ方がないか、調べてみるとするよん。ギョフさん、見てくれてありがとねん……。			また、ほかの稼ぎ方がないか、調べてみるとするよん。ギョフさん、見てくれてありがとねん……。			コウブツで成り上がるのねん							
ギョリンのやつ、しょんぼりしてたっぺな。でも、価値が無いのは事実だから、しょうがないっぺよ。			ギョリンのやつ、しょんぼりしてたっぺな。でも、価値が無いのは事実だから、しょうがないっぺよ。			コウブツで成り上がるのねん							
師匠から教えてもらった探知術どおりにやったのに……。もしかしてボクのヒゲは、いいコウブツを見つけるのには向いてないのかねん。			師匠から教えてもらった探知術どおりにやったのに……。もしかしてボクのヒゲは、いいコウブツを見つけるのには向いてないのかねん。			コウブツで成り上がるのねん							
ちょっと、ほかの稼ぎ方を探してみるとするよん。何か、いい方法が見つかったら教えるから、またForenameにも付き合ってほしいのねん……。			ちょっと、ほかの稼ぎ方を探してみるとするよん。何か、いい方法が見つかったら教えるから、またForenameにも付き合ってほしいのねん……。			コウブツで成り上がるのねん							
ユヅカ代官屋敷のギョリンは、物珍しそうに冒険者を見ている。			ユヅカ代官屋敷のギョリンは、物珍しそうに冒険者を見ている。			ボクはギョリン！							
ギョリンと話した。成り上がり商人になるために、力を貸してほしいのだという。近くの倉にギョリンが集めたものがあるというので、無二江流域にいる「ギョリン」と話そう。			ギョリンと話した。成り上がり商人になるために、力を貸してほしいのだという。近くの倉にギョリンが集めたものがあるというので、無二江流域にいる「ギョリン」と話そう。			ボクはギョリン！							
ギョリンと話した。ギョリンが集めたものを見せてもらったが、ヒトには売れなさそうなものばかりであった。そのことを伝えると、魚釣りをするというギョリン。無二江流域にいる「ギョリン」と話そう。			ギョリンと話した。ギョリンが集めたものを見せてもらったが、ヒトには売れなさそうなものばかりであった。そのことを伝えると、魚釣りをするというギョリン。無二江流域にいる「ギョリン」と話そう。			ボクはギョリン！							
ギョリンと話した。魚釣りをしようとしていたところ、釣竿を落としてしまったようだ。無二江流域にある「ギョリンの釣竿」を入手しよう。			ギョリンと話した。魚釣りをしようとしていたところ、釣竿を落としてしまったようだ。無二江流域にある「ギョリンの釣竿」を入手しよう。			ボクはギョリン！							
ギョリンの釣竿を入手した。無二江流域にいる「ギョリン」に「ギョリンの釣竿」を渡そう。			ギョリンの釣竿を入手した。無二江流域にいる「ギョリン」に「ギョリンの釣竿」を渡そう。			ボクはギョリン！							
ギョリンにギョリンの釣竿を渡した。ギョリンは、釣竿を落としてから考えた結果、魚釣り以外の稼ぎ方を考えてみるという。無二江流域の「ギョリン」と話そう。			ギョリンにギョリンの釣竿を渡した。ギョリンは、釣竿を落としてから考えた結果、魚釣り以外の稼ぎ方を考えてみるという。無二江流域の「ギョリン」と話そう。			ボクはギョリン！							
ギョリンと話した。絵巻物を読み返して、次は鉱物探しをやってみようと思っていると語るギョリンであった。			ギョリンと話した。絵巻物を読み返して、次は鉱物探しをやってみようと思っていると語るギョリンであった。			ボクはギョリン！							
ギョリンと話す			ギョリンと話す			ボクはギョリン！							
ギョリンと再度話す			ギョリンと再度話す			ボクはギョリン！							
ギョリンの釣竿を入手			ギョリンの釣竿を入手			ボクはギョリン！							
ギョリンにギョリンの釣竿を渡す			ギョリンにギョリンの釣竿を渡す			ボクはギョリン！							
ギョリンと話す			ギョリンと話す			ボクはギョリン！							
ここらへんじゃ見かけない、その身なりの感じは……もしかして旅の方？そうだとしたら、協力してほしいことがあるんだよん！			ここらへんじゃ見かけない、その身なりの感じは……もしかして旅の方？そうだとしたら、協力してほしいことがあるんだよん！			ボクはギョリン！							
詳しい話をする前にっと……はじめまして、ボクはギョリン！このお屋敷にみんなと一緒に住んでいるんだけど、とある夢があるんだよねん。			詳しい話をする前にっと……はじめまして、ボクはギョリン！このお屋敷にみんなと一緒に住んでいるんだけど、とある夢があるんだよねん。			ボクはギョリン！							
それは、「成り上がり商人」になること！お金持ちになって、ボクだけの特別な前掛けを、作るのが夢なんだよねん！　えっへん！			それは、「成り上がり商人」になること！お金持ちになって、ボクだけの特別な前掛けを、作るのが夢なんだよねん！　えっへん！			ボクはギョリン！							
いやね、お屋敷にあった絵巻物の中に、貧乏商人が成功して、大金持ちになる昔話があって……それを読んで以来、ボクは成り上がりに夢中なのよん！			いやね、お屋敷にあった絵巻物の中に、貧乏商人が成功して、大金持ちになる昔話があって……それを読んで以来、ボクは成り上がりに夢中なのよん！			ボクはギョリン！							
その昔話にはさ、「物知りな旅人」が出てきて、商人に、いろんな知恵を貸してくれてたのよねん。そこに現れたのが旅の方……これは運命だと思うのよん！			その昔話にはさ、「物知りな旅人」が出てきて、商人に、いろんな知恵を貸してくれてたのよねん。そこに現れたのが旅の方……これは運命だと思うのよん！			ボクはギョリン！							
……そういえば、まだ聞いてなかったけれど、あなた、お名前はなんて言うのん？			……そういえば、まだ聞いてなかったけれど、あなた、お名前はなんて言うのん？			ボクはギョリン！							
Forename Surnameって言うのん？じゃあ、Forenameって呼ぶよん！……あれ、何の話をしてたんだっけ？			Forename Surnameって言うのん？じゃあ、Forenameって呼ぶよん！……あれ、何の話をしてたんだっけ？			ボクはギョリン！							
……そうだ、お手伝いの話だったねん！ついつい忘れちゃうところだったよん、まったくもう……んふっ♪			……そうだ、お手伝いの話だったねん！ついつい忘れちゃうところだったよん、まったくもう……んふっ♪			ボクはギョリン！							
んっとね、近くに倉があるんだけど、そこに、ボクがこれまでに集めたいろんなものがあるのん。その中に、売れそうなものがないか見てほしいんだよねん！			んっとね、近くに倉があるんだけど、そこに、ボクがこれまでに集めたいろんなものがあるのん。その中に、売れそうなものがないか見てほしいんだよねん！			ボクはギョリン！							
さぁForename、こっちこっち！ついて来てね～ん！			さぁForename、こっちこっち！ついて来てね～ん！			ボクはギョリン！							
さっそく取ってくるから、ちょっと待っててほしいのねん！			さっそく取ってくるから、ちょっと待っててほしいのねん！			ボクはギョリン！							
じゃじゃーん！これが、今までボクが集めてきたものたちだよ、スゴいでしょ～ん？			じゃじゃーん！これが、今までボクが集めてきたものたちだよ、スゴいでしょ～ん？			ボクはギョリン！							
焼いた川虫にぃ、カエルの干物！この、と～っても入り心地のいい壺は特にイチオシだよんっ♪			焼いた川虫にぃ、カエルの干物！この、と～っても入り心地のいい壺は特にイチオシだよんっ♪			ボクはギョリン！							
