レヴナンツトールのコー・ラブンタと、目が合った気がする。			レヴナンツトールのコー・ラブンタと、目が合った気がする。			秘されしオルト・エウレカ							
名は、聖王アルトリウス。アラグよりも早くイルサバード大陸を統一した、異国の英雄だ。			名は、聖王アルトリウス。アラグよりも早くイルサバード大陸を統一した、異国の英雄だ。			エウレカの真相							
彼の国は栄えたが、やがて勢いを増したアラグ帝国に呑まれ、アルトリウス自身も軍門にくだる結果となった。以降はアラグの将軍として、一生涯を終えたという。			彼の国は栄えたが、やがて勢いを増したアラグ帝国に呑まれ、アルトリウス自身も軍門にくだる結果となった。以降はアラグの将軍として、一生涯を終えたという。			エウレカの真相							
後世に蘇った彼は、再び将軍の責務を果たすこととなる。……が、どうにも当時のアラグ帝国の方針と、相容れなかったようでな。			後世に蘇った彼は、再び将軍の責務を果たすこととなる。……が、どうにも当時のアラグ帝国の方針と、相容れなかったようでな。			エウレカの真相							
将軍という立場には留まり続けたものの、反乱軍の方へ肩入れするようになっていったのだよ。			将軍という立場には留まり続けたものの、反乱軍の方へ肩入れするようになっていったのだよ。			エウレカの真相							
中でも、革命の志士ティターンとは、思想においてか、武人としての筋においてかはわからんが、通じるものがあったらしい。			中でも、革命の志士ティターンとは、思想においてか、武人としての筋においてかはわからんが、通じるものがあったらしい。			エウレカの真相							
両者は幾度も戦場で刃を交えながらも、互いに敬意を払い、友情にも似た絆を結んでいたと聞く。			両者は幾度も戦場で刃を交えながらも、互いに敬意を払い、友情にも似た絆を結んでいたと聞く。			エウレカの真相							
……もっとも、それを看過するアラグ帝国ではない。送り込まれた刺客が、アルトリウスを突き刺したのだ。			……もっとも、それを看過するアラグ帝国ではない。送り込まれた刺客が、アルトリウスを突き刺したのだ。			エウレカの真相							
あの剣……エクスカリバーでな。			あの剣……エクスカリバーでな。			エウレカの真相							
アルトリウスに神が降ろされ、その身は異形と化した。適性を持たなかった彼の精神は引き裂かれ、剣の……その所有者であるアラグ軍の傀儡になったというわけだ。			アルトリウスに神が降ろされ、その身は異形と化した。適性を持たなかった彼の精神は引き裂かれ、剣の……その所有者であるアラグ軍の傀儡になったというわけだ。			エウレカの真相							
かのティターンの乱を鎮圧し、彼を捕らえたのもアルトリウスであったというから、皮肉なことよな……。			かのティターンの乱を鎮圧し、彼を捕らえたのもアルトリウスであったというから、皮肉なことよな……。			エウレカの真相							
……昔話は以上となる。約束どおり話し終えたし、わらわはお暇するとしよう。			……昔話は以上となる。約束どおり話し終えたし、わらわはお暇するとしよう。			エウレカの真相							
(-ノアの魂-)なに、この場所でやるべきこともなくなった以上、いつまでもコーの身体に居座るべきではないからな。			(-ノアの魂-)なに、この場所でやるべきこともなくなった以上、いつまでもコーの身体に居座るべきではないからな。			エウレカの真相							
(-ノアの魂-)わらわは旅立つ。その先で別の器が見つかれば入るもよし、気に入るものがなければ霧散するもよしだ。			(-ノアの魂-)わらわは旅立つ。その先で別の器が見つかれば入るもよし、気に入るものがなければ霧散するもよしだ。			エウレカの真相							
(-ノアの魂-)そう深刻な顔をするな。わらわは過日の幻影が如きもの……夢のように現れ、夢のように消えていく。			(-ノアの魂-)そう深刻な顔をするな。わらわは過日の幻影が如きもの……夢のように現れ、夢のように消えていく。			エウレカの真相							
(-ノアの魂-)そんな中で、お前に依頼をすることができたのは、実に幸運で……何より愉快だった。			(-ノアの魂-)そんな中で、お前に依頼をすることができたのは、実に幸運で……何より愉快だった。			エウレカの真相							
(-ノアの魂-)これからも達者でな。ノアの名を現世に掲げた、勇敢なる冒険者よ。			(-ノアの魂-)これからも達者でな。ノアの名を現世に掲げた、勇敢なる冒険者よ。			エウレカの真相							
(-？？？？-)ま……待ってください……！			(-？？？？-)ま……待ってください……！			エウレカの真相							
行っちゃダメです……行かないでください、ノアさん……！			行っちゃダメです……行かないでください、ノアさん……！			エウレカの真相							
(-ノアの魂-)コー、お前……。			(-ノアの魂-)コー、お前……。			エウレカの真相							
あなたの弟子の頑張りを、誰かに知ってほしかったんでしょう？なら、Forenameさんだけじゃなくて、私にだって教えてくれてもいいじゃないですか……！			あなたの弟子の頑張りを、誰かに知ってほしかったんでしょう？なら、Forenameさんだけじゃなくて、私にだって教えてくれてもいいじゃないですか……！			エウレカの真相							
ほかにも、もっと……アラグ文明のことも、あなた自身のことも、歴史書だけじゃわからないことばかり……。			ほかにも、もっと……アラグ文明のことも、あなた自身のことも、歴史書だけじゃわからないことばかり……。			エウレカの真相							
身体なんていくらでも貸しますから、これからもここにいて、私と話をしてください……！			身体なんていくらでも貸しますから、これからもここにいて、私と話をしてください……！			エウレカの真相							
ええ、そうですよ……このままお別れだなんて言わせません……			ええ、そうですよ……このままお別れだなんて言わせません……			エウレカの真相							
だって…………			だって…………			エウレカの真相							
私っ、こ、こ、こんな目立つ服を、恥ずかしいけど頑張って着てたんですよ！？			私っ、こ、こ、こんな目立つ服を、恥ずかしいけど頑張って着てたんですよ！？			エウレカの真相							
協力のお礼、してくれてもいいんじゃないですか！？……ですよね！？			協力のお礼、してくれてもいいんじゃないですか！？……ですよね！？			エウレカの真相							
だったら私の我儘だって、ひとつくらいは聞いてくださーーーいっ！			だったら私の我儘だって、ひとつくらいは聞いてくださーーーいっ！			エウレカの真相							
(-ノアの魂-)…………それを言われては、致し方あるまい。			(-ノアの魂-)…………それを言われては、致し方あるまい。			エウレカの真相							
(-ノアの魂-)物好きよなぁ、お前も。あっちもこっちも、意外と頑固な弟子ばかり……。			(-ノアの魂-)物好きよなぁ、お前も。あっちもこっちも、意外と頑固な弟子ばかり……。			エウレカの真相							
(-ノアの魂-)まあよい。お前の我儘に付き合いがてら、今しばらくは現世を楽しむとしよう。			(-ノアの魂-)まあよい。お前の我儘に付き合いがてら、今しばらくは現世を楽しむとしよう。			エウレカの真相							
Forenameさん、私からもお礼を……。この度は、ノアさんからの依頼を受けてくださって、本当にありがとうございました。			Forenameさん、私からもお礼を……。この度は、ノアさんからの依頼を受けてくださって、本当にありがとうございました。			エウレカの真相							
またオルト・エウレカを探索したくなったときには、聖コイナク財団の仲間たちと、全力で協力させてもらいますね。			またオルト・エウレカを探索したくなったときには、聖コイナク財団の仲間たちと、全力で協力させてもらいますね。			エウレカの真相							
これからも……ノアさん共々、よろしくお願いいたします！			これからも……ノアさん共々、よろしくお願いいたします！			エウレカの真相							
それじゃあ、私たちは前庭に戻ります。いろいろ気になってたことを、ノアさんに聞きたいし……当面は、変わらずあそこにおりますので！			それじゃあ、私たちは前庭に戻ります。いろいろ気になってたことを、ノアさんに聞きたいし……当面は、変わらずあそこにおりますので！			エウレカの真相							
オルト・エウレカの完全踏破、おめでとうございます！			オルト・エウレカの完全踏破、おめでとうございます！			エウレカの真相							
最深部で回収した「オルト・トームストーン」を、八剣士の前庭の「創出システム」に渡すことで、4種類のアクセサリと交換できます。			最深部で回収した「オルト・トームストーン」を、八剣士の前庭の「創出システム」に渡すことで、4種類のアクセサリと交換できます。			エウレカの真相							
それらのアクセサリをすべて所持、もしくは装備し、「コー・ラブンタ」に話しかけることで、アチーブメントと、特別なアイテムを入手できます。			それらのアクセサリをすべて所持、もしくは装備し、「コー・ラブンタ」に話しかけることで、アチーブメントと、特別なアイテムを入手できます。			エウレカの真相							
監視所のサンクレッドは、人心地ついたようだ。			監視所のサンクレッドは、人心地ついたようだ。			竜騎士は迷い、竜は語る							
星戦士団の門兵と話す			星戦士団の門兵と話す			竜騎士は迷い、竜は語る							
エスティニアンと話して同行させる			エスティニアンと話して同行させる			竜騎士は迷い、竜は語る							
エスティニアンを連れて案内役の星戦士と話す			エスティニアンを連れて案内役の星戦士と話す			竜騎士は迷い、竜は語る							
エスティニアンを連れて見回り中の星戦士と話す			エスティニアンを連れて見回り中の星戦士と話す			竜騎士は迷い、竜は語る							
エスティニアンを連れて警備中の星戦士と話す			エスティニアンを連れて警備中の星戦士と話す			竜騎士は迷い、竜は語る							
エスティニアンを連れてメーガドゥータ宮の官人と話す			エスティニアンを連れてメーガドゥータ宮の官人と話す			竜騎士は迷い、竜は語る							
アリゼーと話す			アリゼーと話す			竜騎士は迷い、竜は語る							
ふー……。さすがに、アルカソーダラの巨体を運ぶのは骨が折れたな。だがまあ、生きて運びだせて何よりだ。			ふー……。さすがに、アルカソーダラの巨体を運ぶのは骨が折れたな。だがまあ、生きて運びだせて何よりだ。			竜騎士は迷い、竜は語る							
さて、ヴァルシャンからの伝言だ。俺たちも、ひと息ついたら、ラザハンの「メーガドゥータ宮」に来てほしい……だそうだ。			さて、ヴァルシャンからの伝言だ。俺たちも、ひと息ついたら、ラザハンの「メーガドゥータ宮」に来てほしい……だそうだ。			竜騎士は迷い、竜は語る							
治療にあたってる面々にも、キリがよくなったところで、そこに集合するよう呼び掛けてくれるらしい。			治療にあたってる面々にも、キリがよくなったところで、そこに集合するよう呼び掛けてくれるらしい。			竜騎士は迷い、竜は語る							
ということで、お前とエスティニアンで向かっててくれ。俺はデミールの遺烈郷に寄ってから行く。			ということで、お前とエスティニアンで向かっててくれ。俺はデミールの遺烈郷に寄ってから行く。			竜騎士は迷い、竜は語る							
……搬送の合間に、エーテル切れを起こしたグ・ラハを、あそこの錬金術師たちに預けたんだよ。今ごろ錬金薬漬けになってるだろうから、回収しないとな。			……搬送の合間に、エーテル切れを起こしたグ・ラハを、あそこの錬金術師たちに預けたんだよ。今ごろ錬金薬漬けになってるだろうから、回収しないとな。			竜騎士は迷い、竜は語る							
そういうことなら、俺たちで都に向かうか。ひとまず、橋のところにいる門兵に声をかけてみるとしよう。			そういうことなら、俺たちで都に向かうか。ひとまず、橋のところにいる門兵に声をかけてみるとしよう。			竜騎士は迷い、竜は語る							
それじゃあ、俺はグ・ラハを迎えにいってくる。「ハイエーテル」でも飲ませてやってくれと頼んだんだが、錬金術師たちのはしゃぎようを見るに……推して知るべしだ。			それじゃあ、俺はグ・ラハを迎えにいってくる。「ハイエーテル」でも飲ませてやってくれと頼んだんだが、錬金術師たちのはしゃぎようを見るに……推して知るべしだ。			竜騎士は迷い、竜は語る							
まあ、ニッダーナたちを助け出せたことも報告したから、その喜びもあったんだろうさ。			まあ、ニッダーナたちを助け出せたことも報告したから、その喜びもあったんだろうさ。			竜騎士は迷い、竜は語る							
塔がなくなったんだ、都の厳戒態勢も解けるだろうな。			塔がなくなったんだ、都の厳戒態勢も解けるだろうな。			竜騎士は迷い、竜は語る							
あっ、あなた方は……！いらっしゃったらお通しするよう、言われております！			あっ、あなた方は……！いらっしゃったらお通しするよう、言われております！			竜騎士は迷い、竜は語る							
ただ、自分はここを離れるわけにいきませんので、都市内まではご案内できません……。			ただ、自分はここを離れるわけにいきませんので、都市内まではご案内できません……。			竜騎士は迷い、竜は語る							
真眼門から入ってすぐの通りに、別の兵が控えておりますので、彼に道を聞いていただければと思います。では、どうぞお進みください！			真眼門から入ってすぐの通りに、別の兵が控えておりますので、彼に道を聞いていただければと思います。では、どうぞお進みください！			竜騎士は迷い、竜は語る							
ふむ……。俺は前にサベネア島に来たときにも、この都に立ち寄っている。これが3回目のラザハンというわけだ。			ふむ……。俺は前にサベネア島に来たときにも、この都に立ち寄っている。これが3回目のラザハンというわけだ。			竜騎士は迷い、竜は語る							
……が、いかんせん、この街は道が複雑すぎる。おとなしく案内役に話を聞いた方がよさそうだな。			……が、いかんせん、この街は道が複雑すぎる。おとなしく案内役に話を聞いた方がよさそうだな。			竜騎士は迷い、竜は語る							
先導は、お前に任せた。言っておくが、俺に観光案内なんぞ求めるなよ？			先導は、お前に任せた。言っておくが、俺に観光案内なんぞ求めるなよ？			竜騎士は迷い、竜は語る							
何をする？			何をする？			竜騎士は迷い、竜は語る							
話す			話す			竜騎士は迷い、竜は語る							
同行状態を解除する			同行状態を解除する			竜騎士は迷い、竜は語る							
キャンセル			キャンセル			竜騎士は迷い、竜は語る							
案内役は、真眼門から入ってすぐの通りにいるんだったな。			案内役は、真眼門から入ってすぐの通りにいるんだったな。			竜騎士は迷い、竜は語る							
……通りの名前？そんなもの、そもそも気に留めん。			……通りの名前？そんなもの、そもそも気に留めん。			竜騎士は迷い、竜は語る							
同行状態を解除します。本当によろしいですか？			同行状態を解除します。本当によろしいですか？			竜騎士は迷い、竜は語る							
フ……さては道に迷ったな、相棒。まあいいさ、最初の真眼門に戻って待ってるぞ。			フ……さては道に迷ったな、相棒。まあいいさ、最初の真眼門に戻って待ってるぞ。			竜騎士は迷い、竜は語る							
よし……。今度こそ、メーガドゥータ宮に行くぞ。			よし……。今度こそ、メーガドゥータ宮に行くぞ。			竜騎士は迷い、竜は語る							
同行者がまだ到着していない。近くまで迎えにいって、ともに話を聞こう。			同行者がまだ到着していない。近くまで迎えにいって、ともに話を聞こう。			竜騎士は迷い、竜は語る							
おや、もしやForename様では？太守様より、メーガドゥータ宮にご案内するよう、仰せつかっております。			おや、もしやForename様では？太守様より、メーガドゥータ宮にご案内するよう、仰せつかっております。			竜騎士は迷い、竜は語る							
エスティニアンを置いていくわけにはいかない……！彼を同行させてこよう。			エスティニアンを置いていくわけにはいかない……！彼を同行させてこよう。			竜騎士は迷い、竜は語る							
おや、もしやForename様では？太守様より、メーガドゥータ宮にご案内するよう、仰せつかっております。			おや、もしやForename様では？太守様より、メーガドゥータ宮にご案内するよう、仰せつかっております。			竜騎士は迷い、竜は語る							
メーガドゥータ宮があるダーマ区は、都市の最上部です。街の東側からでも、西側からでも上っていくことはできます。			メーガドゥータ宮があるダーマ区は、都市の最上部です。街の東側からでも、西側からでも上っていくことはできます。			竜騎士は迷い、竜は語る							
常ならば、バザールなどに近い東側をおすすめするのですが、厳戒態勢が敷かれていた関係で、どこも準備中で……。エーテライトも、一時的に封鎖している状態です。			常ならば、バザールなどに近い東側をおすすめするのですが、厳戒態勢が敷かれていた関係で、どこも準備中で……。エーテライトも、一時的に封鎖している状態です。			竜騎士は迷い、竜は語る							
そのため、今は西側の経路をお伝えしましょう。まずはすぐそこ、天気予報士の手前の階段を上ってください。			そのため、今は西側の経路をお伝えしましょう。まずはすぐそこ、天気予報士の手前の階段を上ってください。			竜騎士は迷い、竜は語る							
その後、もう一度西向きの階段を上ると、パクシャ通りに入りますので、通りに沿って上へ……。			その後、もう一度西向きの階段を上ると、パクシャ通りに入りますので、通りに沿って上へ……。			竜騎士は迷い、竜は語る							
突き当たりの少し前にある大きな扉を入っていただくと、「ルヴェーダ製糸局」です。そこに見回りの星戦士がいるはずですので、続きは彼女に……。			突き当たりの少し前にある大きな扉を入っていただくと、「ルヴェーダ製糸局」です。そこに見回りの星戦士がいるはずですので、続きは彼女に……。			竜騎士は迷い、竜は語る							
要は、上に行けばいいわけか。難しい話じゃあないな。			要は、上に行けばいいわけか。難しい話じゃあないな。			竜騎士は迷い、竜は語る							
メーガドゥータ宮があるダーマ区は、都市の最上部です。まずはすぐそこ、天気予報士の手前の階段を上ってください。			メーガドゥータ宮があるダーマ区は、都市の最上部です。まずはすぐそこ、天気予報士の手前の階段を上ってください。			竜騎士は迷い、竜は語る							
その後、もう一度西向きの階段を上ると、パクシャ通りに入りますので、通りに沿って上へ……。			その後、もう一度西向きの階段を上ると、パクシャ通りに入りますので、通りに沿って上へ……。			竜騎士は迷い、竜は語る							
突き当たりの少し前にある大きな扉を入っていただくと、「ルヴェーダ製糸局」です。そこに見回りの星戦士がいるはずですので、続きは彼女に……。			突き当たりの少し前にある大きな扉を入っていただくと、「ルヴェーダ製糸局」です。そこに見回りの星戦士がいるはずですので、続きは彼女に……。			竜騎士は迷い、竜は語る							
「輝く扉」について話す			「輝く扉」について話す			竜騎士は迷い、竜は語る							
案内役の話を聞いてたか、相棒。とりあえず、上だそうだぞ。			案内役の話を聞いてたか、相棒。とりあえず、上だそうだぞ。			竜騎士は迷い、竜は語る							
ああ、この扉については知ってるぞ。近くの島にある、富豪一族の宝物庫に繋がっているらしい。だから当然、普段は閉じられている……。			ああ、この扉については知ってるぞ。近くの島にある、富豪一族の宝物庫に繋がっているらしい。だから当然、普段は閉じられている……。			竜騎士は迷い、竜は語る							
だが、その一族は「運の神」を守り神としてるそうでな。ときに宝物庫の一角を開放しては、入った奴が財宝を手に入れられるか、運試しをさせるんだと。			だが、その一族は「運の神」を守り神としてるそうでな。ときに宝物庫の一角を開放しては、入った奴が財宝を手に入れられるか、運試しをさせるんだと。			竜騎士は迷い、竜は語る							
ほかにも、運に恵まれた奴は、各地に隠された転送紋の刻まれた宝箱から、その宝物庫にご招待されるそうだ。			ほかにも、運に恵まれた奴は、各地に隠された転送紋の刻まれた宝箱から、その宝物庫にご招待されるそうだ。			竜騎士は迷い、竜は語る							
……いや、儲け話なら覚えておいて損はないと思ってな。金勘定は面倒だが、路銀が尽きるともっと面倒なことになる。それを思い知った直後だったのさ……。			……いや、儲け話なら覚えておいて損はないと思ってな。金勘定は面倒だが、路銀が尽きるともっと面倒なことになる。それを思い知った直後だったのさ……。			竜騎士は迷い、竜は語る							
メーガドゥータ宮へ向かわれるのですか？でしたら……。			メーガドゥータ宮へ向かわれるのですか？でしたら……。			竜騎士は迷い、竜は語る							
メーガドゥータ宮へ向かわれるのですか？でしたら、この通路をそのまま南西の方に進んで、階段の上にある扉を出てください。			メーガドゥータ宮へ向かわれるのですか？でしたら、この通路をそのまま南西の方に進んで、階段の上にある扉を出てください。			竜騎士は迷い、竜は語る							
するとランディング前に出ますので、そこの星戦士に改めて聞いていただくのがよろしいかと！			するとランディング前に出ますので、そこの星戦士に改めて聞いていただくのがよろしいかと！			竜騎士は迷い、竜は語る							
ちなみに、私の左右にある通路を進むと、ルヴェーダ製糸局の作業場に入ってしまいます。見学は可能ですが、迷わないようにお気をつけくださいね。			ちなみに、私の左右にある通路を進むと、ルヴェーダ製糸局の作業場に入ってしまいます。見学は可能ですが、迷わないようにお気をつけくださいね。			竜騎士は迷い、竜は語る							
この通路をそのまま南西の方に進んで、階段の上にある扉を出てください。			この通路をそのまま南西の方に進んで、階段の上にある扉を出てください。			竜騎士は迷い、竜は語る							
するとランディング前に出ますので、そこの星戦士に改めて、メーガドゥータ宮への道を聞いていただくのがよろしいかと！			するとランディング前に出ますので、そこの星戦士に改めて、メーガドゥータ宮への道を聞いていただくのがよろしいかと！			竜騎士は迷い、竜は語る							
「極彩色の織物」について話す			「極彩色の織物」について話す			竜騎士は迷い、竜は語る							
太守の屋敷に行くだけでも、ひと苦労だな……。お偉方の根城といえば、教皇庁やクガネ城くらい、デカデカとそびえていてもよさそうなものだが。			太守の屋敷に行くだけでも、ひと苦労だな……。お偉方の根城といえば、教皇庁やクガネ城くらい、デカデカとそびえていてもよさそうなものだが。			竜騎士は迷い、竜は語る							
ああ、これが例のサベネア織か。すごい色だな……金糸が使われている奴なんかは、アイメリクが気に入るんじゃないか？			ああ、これが例のサベネア織か。すごい色だな……金糸が使われている奴なんかは、アイメリクが気に入るんじゃないか？			竜騎士は迷い、竜は語る							
服や装飾品の善し悪しは、俺にはちっともわからん。旅の備えで1、2着は持ち歩いてるが、それだけだ。足りなければ、適当に現地調達すればいいしな……。			服や装飾品の善し悪しは、俺にはちっともわからん。旅の備えで1、2着は持ち歩いてるが、それだけだ。足りなければ、適当に現地調達すればいいしな……。			竜騎士は迷い、竜は語る							
申し訳ありません。飛空艇は、まだ一般利用を再開していないんです。もう少し状況が落ち着いてから、またお越しください。			申し訳ありません。飛空艇は、まだ一般利用を再開していないんです。もう少し状況が落ち着いてから、またお越しください。			竜騎士は迷い、竜は語る							
申し訳ありません。飛空艇は、まだ一般利用を再開していないんです。もう少し状況が落ち着いてから、またお越しください。			申し訳ありません。飛空艇は、まだ一般利用を再開していないんです。もう少し状況が落ち着いてから、またお越しください。			竜騎士は迷い、竜は語る							
ふむ……。厳戒態勢が解かれていくのは、これからみたいだな。			ふむ……。厳戒態勢が解かれていくのは、これからみたいだな。			竜騎士は迷い、竜は語る							
それはさておき、俺たちはランディングじゃなく、メーガドゥータ宮に用があるんだが。			それはさておき、俺たちはランディングじゃなく、メーガドゥータ宮に用があるんだが。			竜騎士は迷い、竜は語る							
おっと、それは失礼いたしました！			おっと、それは失礼いたしました！			竜騎士は迷い、竜は語る							
であれば、そこの階段を上り、そのまま直進していただければ、間もなくです。迷うことはないと思いますよ！			であれば、そこの階段を上り、そのまま直進していただければ、間もなくです。迷うことはないと思いますよ！			竜騎士は迷い、竜は語る							
メーガドゥータ宮は、そこの階段を上り、そのまま直進していただければ、間もなくです。迷うことはないと思いますよ！			メーガドゥータ宮は、そこの階段を上り、そのまま直進していただければ、間もなくです。迷うことはないと思いますよ！			竜騎士は迷い、竜は語る							
「ダーマ区」について話す			「ダーマ区」について話す			竜騎士は迷い、竜は語る							
それにしても、この都は迷路か何かか……？同じ異国でも、クガネの街はもっとわかりやすかったぞ。			それにしても、この都は迷路か何かか……？同じ異国でも、クガネの街はもっとわかりやすかったぞ。			竜騎士は迷い、竜は語る							
なにせ、平たい街だったからな。迷ったとしても、高いところから見渡せば一発だ。			なにせ、平たい街だったからな。迷ったとしても、高いところから見渡せば一発だ。			竜騎士は迷い、竜は語る							
ああ、確かにここは、ヴァルシャンの案内で通った覚えがある。この先がメーガドゥータ宮だったな。			ああ、確かにここは、ヴァルシャンの案内で通った覚えがある。この先がメーガドゥータ宮だったな。			竜騎士は迷い、竜は語る							
あいつも見せたがってたが、平時の都はもっと賑やかだった。お前もそのうち、活気を取り戻したラザハンに来てみるといい。			あいつも見せたがってたが、平時の都はもっと賑やかだった。お前もそのうち、活気を取り戻したラザハンに来てみるといい。			竜騎士は迷い、竜は語る							
道は至極厄介だが、食い物は悪くなかったぞ。とくに、ハンサとかいう鳥の肉は美味かったな。			道は至極厄介だが、食い物は悪くなかったぞ。とくに、ハンサとかいう鳥の肉は美味かったな。			竜騎士は迷い、竜は語る							
(-畜産局のハンサ-)クワァァァーッ！？			(-畜産局のハンサ-)クワァァァーッ！？			竜騎士は迷い、竜は語る							
ようこそいらっしゃいました。メーガドゥータ宮に、何かご用でしょうか？			ようこそいらっしゃいました。メーガドゥータ宮に、何かご用でしょうか？			竜騎士は迷い、竜は語る							
ようこそいらっしゃいました。メーガドゥータ宮に、何かご用でしょうか？			ようこそいらっしゃいました。メーガドゥータ宮に、何かご用でしょうか？			竜騎士は迷い、竜は語る							
ああ、太守に呼ばれてここに来た。Forenameと、エスティニアンだ。			ああ、太守に呼ばれてここに来た。Forenameと、エスティニアンだ。			竜騎士は迷い、竜は語る							
これはこれは……太守より、お話は聞いております。			これはこれは……太守より、お話は聞いております。			竜騎士は迷い、竜は語る							
お仲間の方々も、順次ご到着なさっています。中へご案内いたしますので、皆様がおそろいになるまで、そちらでお待ちください。			お仲間の方々も、順次ご到着なさっています。中へご案内いたしますので、皆様がおそろいになるまで、そちらでお待ちください。			竜騎士は迷い、竜は語る							
話を邪魔する形になって、すまなかったね。本当に、もうよかったのかい？			話を邪魔する形になって、すまなかったね。本当に、もうよかったのかい？			竜騎士は迷い、竜は語る							
ヴリトラと、何を話していたの？塔の調査にまつわることとか？			ヴリトラと、何を話していたの？塔の調査にまつわることとか？			竜騎士は迷い、竜は語る							
ふうん……？本当に雑談だったなら、まあ、いいけど。			ふうん……？本当に雑談だったなら、まあ、いいけど。			竜騎士は迷い、竜は語る							
ほかのみんなには、先にアルキミヤ製薬堂に行ってもらったわ。私たちも、追いかけましょ。			ほかのみんなには、先にアルキミヤ製薬堂に行ってもらったわ。私たちも、追いかけましょ。			竜騎士は迷い、竜は語る							
メーガドゥータ宮前のアルフィノは、製薬堂へと出発するようだ。			メーガドゥータ宮前のアルフィノは、製薬堂へと出発するようだ。			君が抱く歓びの色							
アリゼーと話す			アリゼーと話す			君が抱く歓びの色							
アリゼーと再度話す			アリゼーと再度話す			君が抱く歓びの色							
アルフィノと話す			アルフィノと話す			君が抱く歓びの色							
アリゼーと話す			アリゼーと話す			君が抱く歓びの色							
バルデシオン分館のクルルと話す			バルデシオン分館のクルルと話す			君が抱く歓びの色							
オジカ・ツンジカと話す			オジカ・ツンジカと話す			君が抱く歓びの色							
ヴリトラ、優しそうな竜だったわね。お姉さんのティアマットも、そうだった……。			ヴリトラ、優しそうな竜だったわね。お姉さんのティアマットも、そうだった……。			君が抱く歓びの色							
製薬堂までの道順は、官人から聞いてあるんだ。まずは、桑畑のあたりまで行こう。			製薬堂までの道順は、官人から聞いてあるんだ。まずは、桑畑のあたりまで行こう。			君が抱く歓びの色							
桑畑は、シルクを作るための養蚕用だろうね。それが太守の宮の前にまであるだなんて、まさにサベネア島らしい光景だ。			桑畑は、シルクを作るための養蚕用だろうね。それが太守の宮の前にまであるだなんて、まさにサベネア島らしい光景だ。			君が抱く歓びの色							
ここから、桑畑を右手に見ながら進んでいくんですって。つまり……こっちよね？			ここから、桑畑を右手に見ながら進んでいくんですって。つまり……こっちよね？			君が抱く歓びの色							
道案内の受け売りだが、このあたりはユジュ区というらしい。「ユジュ」の意味は「結ぶ」で、その名のとおり、各地区を結んでいる場所だそうだ。			道案内の受け売りだが、このあたりはユジュ区というらしい。「ユジュ」の意味は「結ぶ」で、その名のとおり、各地区を結んでいる場所だそうだ。			君が抱く歓びの色							
……ここで間違えなければ、無事に製薬堂へ辿りつけるだろうと言われたよ。			……ここで間違えなければ、無事に製薬堂へ辿りつけるだろうと言われたよ。			君が抱く歓びの色							
突き当たったら、正面の扉に入って、階段を下れ……。多分、これがその扉だわ。			突き当たったら、正面の扉に入って、階段を下れ……。多分、これがその扉だわ。			君が抱く歓びの色							
ラザハンって、本当に路が複雑なのね。クリスタリウムも最初は戸惑ったけど、ここはそれ以上かも。見慣れない装飾だから、よけいにそう感じるのかしら？			ラザハンって、本当に路が複雑なのね。クリスタリウムも最初は戸惑ったけど、ここはそれ以上かも。見慣れない装飾だから、よけいにそう感じるのかしら？			君が抱く歓びの色							
とりあえず、入ってみましょ。正解なら、下り階段があるはずよ！			とりあえず、入ってみましょ。正解なら、下り階段があるはずよ！			君が抱く歓びの色							
こっちであってたみたい！3人で迷う羽目にならなくて、安心したわ……。			こっちであってたみたい！3人で迷う羽目にならなくて、安心したわ……。			君が抱く歓びの色							
エーテライト・プラザに出たね。よかった、聞いていたとおりだよ。			エーテライト・プラザに出たね。よかった、聞いていたとおりだよ。			君が抱く歓びの色							
エーテライトを挟んで反対側にある、広い通路……その先が、国営の錬金術工房、アルキミヤ製薬堂だそうだ。			エーテライトを挟んで反対側にある、広い通路……その先が、国営の錬金術工房、アルキミヤ製薬堂だそうだ。			君が抱く歓びの色							
「護魂の霊鱗」を受け取るための手形は、先に行った皆に渡してある。無事に話が進んでいるといいね。			「護魂の霊鱗」を受け取るための手形は、先に行った皆に渡してある。無事に話が進んでいるといいね。			君が抱く歓びの色							
遅かったな。何かあったのか？			遅かったな。何かあったのか？			君が抱く歓びの色							
この地に束の間の平和はもたらされん。されど、各地はいまだ混迷の中……霊鱗をもって、次なる手を打たねばなりません。			この地に束の間の平和はもたらされん。されど、各地はいまだ混迷の中……霊鱗をもって、次なる手を打たねばなりません。			君が抱く歓びの色							
さすが、大きな工房だね。ここも含めて、いったいいくつの工房が、霊鱗作りに協力してくれたのだろう……？			さすが、大きな工房だね。ここも含めて、いったいいくつの工房が、霊鱗作りに協力してくれたのだろう……？			君が抱く歓びの色							
あなたも来たのね。ちょうどいいわ、なかなかいい報告ができそうよ。			あなたも来たのね。ちょうどいいわ、なかなかいい報告ができそうよ。			君が抱く歓びの色							
バルデシオン委員会の活動でも、ラザハンの錬金術師たちに、協力を依頼することがあったの。未知の遺物を解析するために、知恵を貸してもらったりね。			バルデシオン委員会の活動でも、ラザハンの錬金術師たちに、協力を依頼することがあったの。未知の遺物を解析するために、知恵を貸してもらったりね。			君が抱く歓びの色							
