ヌベイ旧鉱山のグスジョンは、約束を果たしてくれるようだ。			ヌベイ旧鉱山のグスジョンは、約束を果たしてくれるようだ。			どうか見つけて							
今回は、エメトセルクの出迎えもないみたいね。本当に、読めない男……。			今回は、エメトセルクの出迎えもないみたいね。本当に、読めない男……。			君を救う痛み							
……Forenameさん。もしかして、と思うのですが……その体…………。			……Forenameさん。もしかして、と思うのですが……その体…………。			君を救う痛み							
あっ……いえ、気のせいだったみたいです！ご、ごめんなさい……。			あっ……いえ、気のせいだったみたいです！ご、ごめんなさい……。			君を救う痛み							
ひとまず、私が感じる大罪喰いの気配が、間違っていないようでよかったです。			ひとまず、私が感じる大罪喰いの気配が、間違っていないようでよかったです。			君を救う痛み							
残すところはコルシア島……ですが、さすがにここからでは感知できないので、一旦、クリスタリウムに戻りませんか……？			残すところはコルシア島……ですが、さすがにここからでは感知できないので、一旦、クリスタリウムに戻りませんか……？			君を救う痛み							
休憩も、水晶公への報告も必要だと思うので……。そのあと、改めて出発しましょう。			休憩も、水晶公への報告も必要だと思うので……。そのあと、改めて出発しましょう。			君を救う痛み							
あの子、Forenameの異変に気づいてる……？			あの子、Forenameの異変に気づいてる……？			君を救う痛み							
あ……Forenameさん……。			あ……Forenameさん……。			君を救う痛み							
みんななら、水晶公のところに、報告に行ったわ。私は……ちょっと気になることがあって、あなたを待っていたのよ。			みんななら、水晶公のところに、報告に行ったわ。私は……ちょっと気になることがあって、あなたを待っていたのよ。			君を救う痛み							
……あなたも同じでしょう、リーン？			……あなたも同じでしょう、リーン？			君を救う痛み							
はい……。「光の巫女」の力を手に入れたことで、わかるようになったんです。			はい……。「光の巫女」の力を手に入れたことで、わかるようになったんです。			君を救う痛み							
Forenameさんが、光を異常に蓄えていること。大罪喰いを倒すと、それが一層強くなることも……。			Forenameさんが、光を異常に蓄えていること。大罪喰いを倒すと、それが一層強くなることも……。			君を救う痛み							
やっぱりね……。「光の巫女」から視てもそうってことは、いよいよ気のせいでは済まされなくってよ。			やっぱりね……。「光の巫女」から視てもそうってことは、いよいよ気のせいでは済まされなくってよ。			君を救う痛み							
それで、あなた自身としてはどうなの？何か異変を感じたりは？			それで、あなた自身としてはどうなの？何か異変を感じたりは？			君を救う痛み							
ちょっと、Forename……！？			ちょっと、Forename……！？			君を救う痛み							
お願い、びっくりさせないで頂戴……。このまま大事になるんじゃないかと思ったわ……。			お願い、びっくりさせないで頂戴……。このまま大事になるんじゃないかと思ったわ……。			君を救う痛み							
リーン、「光の巫女」としての力で、何か対策ができたりしないの……？			リーン、「光の巫女」としての力で、何か対策ができたりしないの……？			君を救う痛み							
……たとえば、荒ぶる光を、一時的に鎮めるようなことはできるかもしれません。			……たとえば、荒ぶる光を、一時的に鎮めるようなことはできるかもしれません。			君を救う痛み							
ただ、光そのものを取り除くことはできない……。ミンフィリアが「光の氾濫」を止められはしたものの、打ち消すことはできなかったのと、同じです。			ただ、光そのものを取り除くことはできない……。ミンフィリアが「光の氾濫」を止められはしたものの、打ち消すことはできなかったのと、同じです。			君を救う痛み							
そう……。結局、ウリエンジェが準備しているという策に、頼るしかないのかしらね……。			そう……。結局、ウリエンジェが準備しているという策に、頼るしかないのかしらね……。			君を救う痛み							
なんにせよ、無理は禁物よ。仮に次が最後だとしても、戦いはまだあるのだから、あなたは休むことを心掛けなさいな。			なんにせよ、無理は禁物よ。仮に次が最後だとしても、戦いはまだあるのだから、あなたは休むことを心掛けなさいな。			君を救う痛み							
水晶公への報告は、私たちと、ほかのみんなで済ませておくわ。あなたはこのまま居室に戻って、休みなさい。……いいこと？　約束できて？			水晶公への報告は、私たちと、ほかのみんなで済ませておくわ。あなたはこのまま居室に戻って、休みなさい。……いいこと？　約束できて？			君を救う痛み							
何と言う？			何と言う？			君を救う痛み							
わかった、報告は頼む			わかった、報告は頼む			君を救う痛み							
嫌だ、自分も行く			嫌だ、自分も行く			君を救う痛み							
マトーヤお母さん……			マトーヤお母さん……			君を救う痛み							
……いい子ね。束の間だけど、ゆっくり過ごすといいわ。では、またあとでね。			……いい子ね。束の間だけど、ゆっくり過ごすといいわ。では、またあとでね。			君を救う痛み							
子どもじゃないんだから、聞き分けて。そうでないと、無理やり昏倒させるわよ？			子どもじゃないんだから、聞き分けて。そうでないと、無理やり昏倒させるわよ？			君を救う痛み							
わかったなら、お行きなさいな。……またあとで会いましょう。			わかったなら、お行きなさいな。……またあとで会いましょう。			君を救う痛み							
…………今、何て？			…………今、何て？			君を救う痛み							
大変だわ、あなたもう手遅れかもしれない。一刻も早く居室に戻って、ぐっすり眠ることをお勧めするわ。……またあとで、正気に戻ってから会いましょう？			大変だわ、あなたもう手遅れかもしれない。一刻も早く居室に戻って、ぐっすり眠ることをお勧めするわ。……またあとで、正気に戻ってから会いましょう？			君を救う痛み							
……Surnameさん？足元が少々おぼつかないようですが、大丈夫ですか……？			……Surnameさん？足元が少々おぼつかないようですが、大丈夫ですか……？			君を救う痛み							
ああいえ、気のせいでしたら、申し訳ございません。ただ、もし本当におつかれなのでしたら、どうぞお部屋で、ゆっくりとお休みくださいませ……。			ああいえ、気のせいでしたら、申し訳ございません。ただ、もし本当におつかれなのでしたら、どうぞお部屋で、ゆっくりとお休みくださいませ……。			君を救う痛み							
「居室」で休みますか？			「居室」で休みますか？			君を救う痛み							
承知いたしました。……本当に、お加減が優れないようでしたら、いつでも我々をお呼びくださいね。			承知いたしました。……本当に、お加減が優れないようでしたら、いつでも我々をお呼びくださいね。			君を救う痛み							
――やはり ここまでは問題ないようだ			――やはり ここまでは問題ないようだ			君を救う痛み							
となると 時間転移の支点とするのは もう少し先アラミゴ奪還のころが適当だろうか――			となると 時間転移の支点とするのは もう少し先アラミゴ奪還のころが適当だろうか――			君を救う痛み							
おい、読書はそろそろ終わったか？			おい、読書はそろそろ終わったか？			君を救う痛み							
ここも、いい加減マズそうだ……。襲われる前に撤退するぞ。			ここも、いい加減マズそうだ……。襲われる前に撤退するぞ。			君を救う痛み							
わかったでも どこへ行く？			わかったでも どこへ行く？			君を救う痛み							
ひとまずは、この市街地跡を抜ける。あとはもう、飛空艇までなるようになれだ。			ひとまずは、この市街地跡を抜ける。あとはもう、飛空艇までなるようになれだ。			君を救う痛み							
ま、心配はいらないさ。どこもかしこも地獄の有り様、どっちに進んでも等しくハズレだよ。			ま、心配はいらないさ。どこもかしこも地獄の有り様、どっちに進んでも等しくハズレだよ。			君を救う痛み							
また派手にやってやがるな……。こりゃ、最後の十二騎士像も持たないかもしれん……。			また派手にやってやがるな……。こりゃ、最後の十二騎士像も持たないかもしれん……。			君を救う痛み							
――できることは ないのだろうか			――できることは ないのだろうか			君を救う痛み							
この戦況に対してか？ないな、もう誰かが立ち上がればいいって話じゃないんだ。			この戦況に対してか？ないな、もう誰かが立ち上がればいいって話じゃないんだ。			君を救う痛み							
エオルゼアの国々は今や、どこもあってないようなもの。東州の方はより酷いし、あのひんがしの国でさえ、ついに危ないって噂になってる。			エオルゼアの国々は今や、どこもあってないようなもの。東州の方はより酷いし、あのひんがしの国でさえ、ついに危ないって噂になってる。			君を救う痛み							
戦いが収まるのは、人がお互いを殺し尽くしたときだろうよ。命も文明も根こそぎ滅びる……まさしく霊災だ。			戦いが収まるのは、人がお互いを殺し尽くしたときだろうよ。命も文明も根こそぎ滅びる……まさしく霊災だ。			君を救う痛み							
だからもう、救いようがないさ…………この世界は、な。			だからもう、救いようがないさ…………この世界は、な。			君を救う痛み							
……その回顧録。俺はなんといっても、皇都決戦のところが好きなんだ。友軍の窮地に、白い竜に乗った英雄が駆けつける……。			……その回顧録。俺はなんといっても、皇都決戦のところが好きなんだ。友軍の窮地に、白い竜に乗った英雄が駆けつける……。			君を救う痛み							
そいつは、さぞ眩しかったろうよ。俺も最期は、そんな希望にあとを託して、安らかに逝きたいもんだ。			そいつは、さぞ眩しかったろうよ。俺も最期は、そんな希望にあとを託して、安らかに逝きたいもんだ。			君を救う痛み							
――運命を変えなければそれを以て 伝えたいことがあるのだ			――運命を変えなければそれを以て 伝えたいことがあるのだ			君を救う痛み							
その名を しるべに必ず 道を見つけてみせる――			その名を しるべに必ず 道を見つけてみせる――			君を救う痛み							
今のは……			今のは……			君を救う痛み							
不思議な夢を、見た気がする……			不思議な夢を、見た気がする……			君を救う痛み							
誰かの過去……？			誰かの過去……？			君を救う痛み							
クラウンリフト前のサンクレッドは、さっそく行動に移るようだ。			クラウンリフト前のサンクレッドは、さっそく行動に移るようだ。			失われた楽園の夢							
廃船街で魅了された者を探す			廃船街で魅了された者を探す			失われた楽園の夢							
ソーリッチにドリームパウダーを使う			ソーリッチにドリームパウダーを使う			失われた楽園の夢							
樹幹の層で魅了された者を探す			樹幹の層で魅了された者を探す			失われた楽園の夢							
たおやかな自由市民にドリームパウダーを使う			たおやかな自由市民にドリームパウダーを使う			失われた楽園の夢							
樹梢の層で魅了された者を探す			樹梢の層で魅了された者を探す			失われた楽園の夢							
紳士風の自由市民にドリームパウダーを使う			紳士風の自由市民にドリームパウダーを使う			失われた楽園の夢							
リーンと話す			リーンと話す			失われた楽園の夢							
時間をくれて、ありがとう。怪我人は、見つけ次第、治療していくよ。			時間をくれて、ありがとう。怪我人は、見つけ次第、治療していくよ。			失われた楽園の夢							
操られなかった人の中にも、騒乱に巻き込まれて、怪我した人がいるみたい。気をつけて見回ってみるわ。			操られなかった人の中にも、騒乱に巻き込まれて、怪我した人がいるみたい。気をつけて見回ってみるわ。			失われた楽園の夢							
大丈夫……あなたの心を縛る術を、今ほどきます……。			大丈夫……あなたの心を縛る術を、今ほどきます……。			失われた楽園の夢							
ぁ……ぅう……オレ……は…………。			ぁ……ぅう……オレ……は…………。			失われた楽園の夢							
ユールモア軍は、指揮官を失い、完全に戦意喪失しています。もはや脅威となることはないでしょう……。			ユールモア軍は、指揮官を失い、完全に戦意喪失しています。もはや脅威となることはないでしょう……。			失われた楽園の夢							
なるほど……ユールモアの人々がどんな暮らしをしてたか、ここを見るだけでもよくわかるわ。これからが大変そうね……。			なるほど……ユールモアの人々がどんな暮らしをしてたか、ここを見るだけでもよくわかるわ。これからが大変そうね……。			失われた楽園の夢							
それじゃあ、お前にはこの、「ドリームパウダー」をいくらか渡しておこう。			それじゃあ、お前にはこの、「ドリームパウダー」をいくらか渡しておこう。			失われた楽園の夢							
役立つと思って、ミーン工芸館からわけてもらったものだ……今回はこれで、まだ魅了されている住民を眠らせよう。リーンが看る前に、暴れ出さないようにな。			役立つと思って、ミーン工芸館からわけてもらったものだ……今回はこれで、まだ魅了されている住民を眠らせよう。リーンが看る前に、暴れ出さないようにな。			失われた楽園の夢							
お前は、まず「廃船街」に行き、対象者がいないか探してくれ。終わったら「樹幹の層」「樹梢の層」と、上りながら捜索を続けてほしい。			お前は、まず「廃船街」に行き、対象者がいないか探してくれ。終わったら「樹幹の層」「樹梢の層」と、上りながら捜索を続けてほしい。			失われた楽園の夢							
俺も、適当な順番で見回ってくるとしよう。終わったら、リーンに報告してやってくれ。			俺も、適当な順番で見回ってくるとしよう。終わったら、リーンに報告してやってくれ。			失われた楽園の夢							
うぅうぅぅ……ばうすり、ヴァ、ヴァウスリー様……いだいだ偉大なる……ヴァうすリ……さまぁ……イヒッ……。			うぅうぅぅ……ばうすり、ヴァ、ヴァウスリー様……いだいだ偉大なる……ヴァうすリ……さまぁ……イヒッ……。			失われた楽園の夢							
はひっ……ぅ…………ぐー……。			はひっ……ぅ…………ぐー……。			失われた楽園の夢							
ぐー……ぐー……メオル……むにゃ……。			ぐー……ぐー……メオル……むにゃ……。			失われた楽園の夢							
あ、あなたは……！			あ、あなたは……！			失われた楽園の夢							
アァ……ァ……イタイ……イタイ……ヴァウスリーさまぁ……。			アァ……ァ……イタイ……イタイ……ヴァウスリーさまぁ……。			失われた楽園の夢							
もしやあなたは、以前、渡り廊下から転落しかけた私を助けてくださった方……！？			もしやあなたは、以前、渡り廊下から転落しかけた私を助けてくださった方……！？			失われた楽園の夢							
お、奥様に乱暴な真似はしないでください……！どんな状態でも、その方は私の大事な主……それに、怪我もしていらっしゃるんです！			お、奥様に乱暴な真似はしないでください……！どんな状態でも、その方は私の大事な主……それに、怪我もしていらっしゃるんです！			失われた楽園の夢							
お願いします……！奥様に、乱暴なことだけは……！			お願いします……！奥様に、乱暴なことだけは……！			失われた楽園の夢							
ああっ、奥様に何を……！			ああっ、奥様に何を……！			失われた楽園の夢							
これは……眠っていらっしゃる……？もしや、奥様を落ち着かせてくださったので……？			これは……眠っていらっしゃる……？もしや、奥様を落ち着かせてくださったので……？			失われた楽園の夢							
は、ははは……はは……うっうっ……。ありがとうございます……。急におかしな様子になられて、本当に、どうしようかと……。			は、ははは……はは……うっうっ……。ありがとうございます……。急におかしな様子になられて、本当に、どうしようかと……。			失われた楽園の夢							
すー……すー……。			すー……すー……。			失われた楽園の夢							
私は大事ありません……。どうかこのまま、奥様のお傍にいさせてください。			私は大事ありません……。どうかこのまま、奥様のお傍にいさせてください。			失われた楽園の夢							
邪魔モノ……止め……止めなけれバ……ラククク、楽園……ここは……ココハ……。			邪魔モノ……止め……止めなけれバ……ラククク、楽園……ここは……ココハ……。			失われた楽園の夢							
う……ぁぁ…………すぅ…………。……どこへ……私の、愛しの……金糸雀……。			う……ぁぁ…………すぅ…………。……どこへ……私の、愛しの……金糸雀……。			失われた楽園の夢							
行かないでくれ、私の…………すぅ……すぅ……。			行かないでくれ、私の…………すぅ……すぅ……。			失われた楽園の夢							
あっ、Forenameさん……！都市内を見回ってきてくださったんですか……？			あっ、Forenameさん……！都市内を見回ってきてくださったんですか……？			失われた楽園の夢							
こちらは、どうにかヴァウスリーの術を取り除けています。ええっと、次の人は……。			こちらは、どうにかヴァウスリーの術を取り除けています。ええっと、次の人は……。			失われた楽園の夢							
なるほど……廃船街やほかの場所にも、まだまだ術中にある方がいらっしゃるんですね。			なるほど……廃船街やほかの場所にも、まだまだ術中にある方がいらっしゃるんですね。			失われた楽園の夢							
大丈夫です、私、全員治すまでがんばります！ミンフィリアから授かった大事な力ですから、みなさんのために使いたいんです。			大丈夫です、私、全員治すまでがんばります！ミンフィリアから授かった大事な力ですから、みなさんのために使いたいんです。			失われた楽園の夢							
何と言う？			何と言う？			失われた楽園の夢							
ここまで対象者を運んでこようか？			ここまで対象者を運んでこようか？			失われた楽園の夢							
ここは任せて、負傷者の手当をしてくる			ここは任せて、負傷者の手当をしてくる			失われた楽園の夢							
ありがとうございます！そうしていただけると、効率よく看られそうです。			ありがとうございます！そうしていただけると、効率よく看られそうです。			失われた楽園の夢							
Forenameさんが連れてくる速度に、負けないようにしないと……！みんなで、必ずやりきりましょう。			Forenameさんが連れてくる速度に、負けないようにしないと……！みんなで、必ずやりきりましょう。			失われた楽園の夢							
ありがとうございます、是非そうしてください。アルフィノさんや、アリゼーさんと合流すれば、指示をもらえると思います。			ありがとうございます、是非そうしてください。アルフィノさんや、アリゼーさんと合流すれば、指示をもらえると思います。			失われた楽園の夢							
途中で精神干渉を受けている人を見つけたら、こちらに運ぶか誘導を……。みんなで、必ずやりきりましょう！			途中で精神干渉を受けている人を見つけたら、こちらに運ぶか誘導を……。みんなで、必ずやりきりましょう！			失われた楽園の夢							
ペンダント居住館の管理人は、冒険者の様子をうかがっている。			ペンダント居住館の管理人は、冒険者の様子をうかがっている。			コルシア島の決戦							
ペンダント居住館の管理人は、水晶公からの伝言を告げてくれた。クリスタリウムの「星見の間」に向かおう。			ペンダント居住館の管理人は、水晶公からの伝言を告げてくれた。クリスタリウムの「星見の間」に向かおう。			コルシア島の決戦							
星見の間で、最後の決戦に備えて話し合いをした。コルシア島のライト村にいる「アルフィノ」と話そう。			星見の間で、最後の決戦に備えて話し合いをした。コルシア島のライト村にいる「アルフィノ」と話そう。			コルシア島の決戦							
アルフィノと話した。コルシア島のゲートタウンへと進みつつ、道中に人がいた場合は、話しかけよう。			アルフィノと話した。コルシア島のゲートタウンへと進みつつ、道中に人がいた場合は、話しかけよう。			コルシア島の決戦							
道中にいた怪しげな人々に声をかけた。ゲートタウンの「サンクレッド」と話そう。			道中にいた怪しげな人々に声をかけた。ゲートタウンの「サンクレッド」と話そう。			コルシア島の決戦							
サンクレッドと話した。どうやら、ユールモア周辺に、ただならぬ異変が起きているらしい。大罪喰いの討伐に向けて、もっと深く調べてみよう。			サンクレッドと話した。どうやら、ユールモア周辺に、ただならぬ異変が起きているらしい。大罪喰いの討伐に向けて、もっと深く調べてみよう。			コルシア島の決戦							
星見の間に向かう			星見の間に向かう			コルシア島の決戦							
ライト村のアルフィノと話す			ライト村のアルフィノと話す			コルシア島の決戦							
道中の人と話す			道中の人と話す			コルシア島の決戦							
サンクレッドと話す			サンクレッドと話す			コルシア島の決戦							
お目覚めですか、Surnameさん。お加減の方は、いかがでしょうか……？			お目覚めですか、Surnameさん。お加減の方は、いかがでしょうか……？			コルシア島の決戦							
公より、あなたへの伝言をお預かりしております。具合が落ち着いているようであれば、出立の支度を整えたのち、「星見の間」に来るように……とのことです。			公より、あなたへの伝言をお預かりしております。具合が落ち着いているようであれば、出立の支度を整えたのち、「星見の間」に来るように……とのことです。			コルシア島の決戦							
……私はこの居住館の管理人として、あなたが次も無事に戻ってくることを願っています。どうかお気をつけて、いってらっしゃいませ。			……私はこの居住館の管理人として、あなたが次も無事に戻ってくることを願っています。どうかお気をつけて、いってらっしゃいませ。			コルシア島の決戦							
その後は変わりないだろうか？あなたの状態についての対策は、私の方でも考えておく。だからどうか……最後の勝利まで、無事でいてくれ。			その後は変わりないだろうか？あなたの状態についての対策は、私の方でも考えておく。だからどうか……最後の勝利まで、無事でいてくれ。			コルシア島の決戦							
……そういえば、レイクランドでの戦いのあと、きちんとご挨拶をしていませんでしたね。			……そういえば、レイクランドでの戦いのあと、きちんとご挨拶をしていませんでしたね。			コルシア島の決戦							
おかげさまで、怪我も回復し、職務に復帰しています。喪った仲間たちのためにも、最後まで、「闇の戦士たち」を補佐したいと思います。			おかげさまで、怪我も回復し、職務に復帰しています。喪った仲間たちのためにも、最後まで、「闇の戦士たち」を補佐したいと思います。			コルシア島の決戦							
……なんだ、あれほど丁寧に解説したあとだというのに、まだ私から聞きたいことでも？			……なんだ、あれほど丁寧に解説したあとだというのに、まだ私から聞きたいことでも？			コルシア島の決戦							
何と言う？			何と言う？			コルシア島の決戦							
オリジナルのアシエンと転生組について			オリジナルのアシエンと転生組について			コルシア島の決戦							
聞きたいことはない			聞きたいことはない			コルシア島の決戦							
ああ、そのことか……。その話をするなら、恐らくお前たちがしているであろう、勘違いを正すところからだな……。			ああ、そのことか……。その話をするなら、恐らくお前たちがしているであろう、勘違いを正すところからだな……。			コルシア島の決戦							
エリディブス、ラハブレア、イゲオルム、ナプリアレス……それらアシエンの名は、いわゆる「本名」ではない。とある職責を司る「座」の名前だ。			エリディブス、ラハブレア、イゲオルム、ナプリアレス……それらアシエンの名は、いわゆる「本名」ではない。とある職責を司る「座」の名前だ。			コルシア島の決戦							
とすれば、当然、別人が継承することもできる。これだけ長く活動していれば、当然脱落した奴もいるが、そのときは、誰かをその「座」に就ければいいという話だ。			とすれば、当然、別人が継承することもできる。これだけ長く活動していれば、当然脱落した奴もいるが、そのときは、誰かをその「座」に就ければいいという話だ。			コルシア島の決戦							
それが顕著なのが転生組だな。彼らは……彼らのもととなった人物は、ハイデリンの一撃で、魂ごと14に分断されてしまった……。			それが顕著なのが転生組だな。彼らは……彼らのもととなった人物は、ハイデリンの一撃で、魂ごと14に分断されてしまった……。			コルシア島の決戦							
努めてポジティブに言えば、14人の候補が誕生したわけだ。それの中からいずれかを、私たちオリジナルが引き上げ、使命と力を取り戻させて「座」に就ける。			努めてポジティブに言えば、14人の候補が誕生したわけだ。それの中からいずれかを、私たちオリジナルが引き上げ、使命と力を取り戻させて「座」に就ける。			コルシア島の決戦							
まあ、縁も由来もない奴を就任させることもできなくはないが、ゾディアークの召喚者たる我々は、魂すら奴に浸食されている。……最初から染まった魂の方が、失敗しないというわけだ。			まあ、縁も由来もない奴を就任させることもできなくはないが、ゾディアークの召喚者たる我々は、魂すら奴に浸食されている。……最初から染まった魂の方が、失敗しないというわけだ。			コルシア島の決戦							
何と言う？			何と言う？			コルシア島の決戦							
それなら、オリジナルのアシエンを倒せば……			それなら、オリジナルのアシエンを倒せば……			コルシア島の決戦							
ところで、エメトセルクの本名は？			ところで、エメトセルクの本名は？			コルシア島の決戦							
そうだな、新しいアシエンを任命できる者がいなくなり、我々は消えゆくだけの存在になるだろう。……「なりそこない」の命に、それができればの話だが。			そうだな、新しいアシエンを任命できる者がいなくなり、我々は消えゆくだけの存在になるだろう。……「なりそこない」の命に、それができればの話だが。			コルシア島の決戦							
……ここでそれを聞くか？まあ、いつかときが来て、お前はそれを知るかもしれないし、知らないまま終わるかも……だ。			……ここでそれを聞くか？まあ、いつかときが来て、お前はそれを知るかもしれないし、知らないまま終わるかも……だ。			コルシア島の決戦							
だったら、とっとと最後の大罪喰い討伐に行け。私も、気が向いたらまた、出向いてやろう。			だったら、とっとと最後の大罪喰い討伐に行け。私も、気が向いたらまた、出向いてやろう。			コルシア島の決戦							
この感じ……どういうこと……？			この感じ……どういうこと……？			コルシア島の決戦							
よし、これで全員合流だ。コルシア島に知り合いの少ないアリゼーたちは、先行してゲートタウンの様子を見に行ってくれているんだ。			よし、これで全員合流だ。コルシア島に知り合いの少ないアリゼーたちは、先行してゲートタウンの様子を見に行ってくれているんだ。			コルシア島の決戦							
……君とユールモアに潜入したあのときから、ずいぶん時間が経ったようにも思うよ。			……君とユールモアに潜入したあのときから、ずいぶん時間が経ったようにも思うよ。			コルシア島の決戦							
どうしてあのとき、ヴァウスリーに対してあれほど怒りが湧いたのか……戦いを続けながら考えていたんだ。			どうしてあのとき、ヴァウスリーに対してあれほど怒りが湧いたのか……戦いを続けながら考えていたんだ。			コルシア島の決戦							
人の不幸さえ愉しまんとする悪辣な言動は、確かに許しがたいものだ。だが、恐らく私は、それと同時に…………			人の不幸さえ愉しまんとする悪辣な言動は、確かに許しがたいものだ。だが、恐らく私は、それと同時に…………			コルシア島の決戦							
自身の理屈こそが理想そのもので、自分こそが人を導いていると信じて疑わない愚者を、かつての自分に重ねたのかもしれない……。			自身の理屈こそが理想そのもので、自分こそが人を導いていると信じて疑わない愚者を、かつての自分に重ねたのかもしれない……。			コルシア島の決戦							
だからこそ、私は彼に、都合よく美化された絵画ではなく、真実を突きつけなければならないんだ。			だからこそ、私は彼に、都合よく美化された絵画ではなく、真実を突きつけなければならないんだ。			コルシア島の決戦							
……私にそうしてくれた人たちには、まだまだ、到底及ばないだろうがね。			……私にそうしてくれた人たちには、まだまだ、到底及ばないだろうがね。			コルシア島の決戦							
さて、リーン。大罪喰いの気配は、感じ取れただろうか？			さて、リーン。大罪喰いの気配は、感じ取れただろうか？			コルシア島の決戦							
それが……なんだか、不思議なんです……。罪喰いとも人とも知れない、おかしな気配が、ユールモア周辺に集まっていて……。			それが……なんだか、不思議なんです……。罪喰いとも人とも知れない、おかしな気配が、ユールモア周辺に集まっていて……。			コルシア島の決戦							
もうすこし、近くまで行ってみてもいいでしょうか……？			もうすこし、近くまで行ってみてもいいでしょうか……？			コルシア島の決戦							
もちろんだとも。私たちもそろそろここを出て、先行している皆と合流しよう。			もちろんだとも。私たちもそろそろここを出て、先行している皆と合流しよう。			コルシア島の決戦							
Forename……すまないが、君に先頭を任せてもいいだろうか？			Forename……すまないが、君に先頭を任せてもいいだろうか？			コルシア島の決戦							
ゲートタウンまでの道中に人がいたら、それとなく声をかけて、退去させてほしいんだ。私やリーンを見つけて、余計な騒ぎを起こされないようにね。			ゲートタウンまでの道中に人がいたら、それとなく声をかけて、退去させてほしいんだ。私やリーンを見つけて、余計な騒ぎを起こされないようにね。			コルシア島の決戦							
ゲートタウンまでの道中に人がいたら、声をかけて、退去させてほしいんだ。私たちは、君の少しあとをついていくよ。			ゲートタウンまでの道中に人がいたら、声をかけて、退去させてほしいんだ。私たちは、君の少しあとをついていくよ。			コルシア島の決戦							
髪も目も変わっているから、「光の巫女」だなんて、気づかれないと思うのですが……サンクレッドが、そういうときこそ油断するな……と。			髪も目も変わっているから、「光の巫女」だなんて、気づかれないと思うのですが……サンクレッドが、そういうときこそ油断するな……と。			コルシア島の決戦							
ぅ……ぁぅ……うー……。			ぅ……ぁぅ……うー……。			コルシア島の決戦							
声をかけてみたが、青年はうわごとを発するばかりだ……。			声をかけてみたが、青年はうわごとを発するばかりだ……。			コルシア島の決戦							
ぅりー……ヴァウ……ァー……。			ぅりー……ヴァウ……ァー……。			コルシア島の決戦							
ドン・ヴァウスリー……ドン・ヴァウスリー……ああ……我らが……我らががががが……ああああッ！			ドン・ヴァウスリー……ドン・ヴァウスリー……ああ……我らが……我らががががが……ああああッ！			コルシア島の決戦							
ヴァウスリー様……万歳……万歳……ヴァウしゅリーしゃマ……バンじゃイ……ィ……。			ヴァウスリー様……万歳……万歳……ヴァウしゅリーしゃマ……バンじゃイ……ィ……。			コルシア島の決戦							
イィー……ァ……ィ……。			イィー……ァ……ィ……。			コルシア島の決戦							
よかった、あなたもご無事でしたか。しかし、この状況は……。			よかった、あなたもご無事でしたか。しかし、この状況は……。			コルシア島の決戦							
み、みんなの様子がおかしいんだ……！何がどうなっちまったんだよ！？			み、みんなの様子がおかしいんだ……！何がどうなっちまったんだよ！？			コルシア島の決戦							
ああ、合流してくれたのか。こっちから連絡をよこさず、悪かった。この状況を、なんと説明したものかと思ってな……。			ああ、合流してくれたのか。こっちから連絡をよこさず、悪かった。この状況を、なんと説明したものかと思ってな……。			コルシア島の決戦							
……その様子だと、お前も、妙な状態の住民に会ったんだな？ゲートタウンにも、同じような奴があふれてるんだ。			……その様子だと、お前も、妙な状態の住民に会ったんだな？ゲートタウンにも、同じような奴があふれてるんだ。			コルシア島の決戦							
かといって、全員が変になってるわけでもない。今、ヤ・シュトラとアリゼーが見回ってくれてるが、調べるほどに妙だぞ……こいつは……。			かといって、全員が変になってるわけでもない。今、ヤ・シュトラとアリゼーが見回ってくれてるが、調べるほどに妙だぞ……こいつは……。			コルシア島の決戦							
ゲートタウンのウリエンジェは、考え込んでいる様子だ。			ゲートタウンのウリエンジェは、考え込んでいる様子だ。			膨らんだ嘘							
仲間たちとカイ・シルの協力によって、異変の元凶が露わになってきた。ゲートタウンの「アルフィノ」と話し、ユールモアに突入しよう。			仲間たちとカイ・シルの協力によって、異変の元凶が露わになってきた。ゲートタウンの「アルフィノ」と話し、ユールモアに突入しよう。			膨らんだ嘘							
ユールモアに突入した。			ユールモアに突入した。			膨らんだ嘘							
元首の執務室に到着したが、ヴァウスリーには逃げられてしまった。ユールモアのエーテライト・プラザ付近にいる「サンクレッド」と話そう。			元首の執務室に到着したが、ヴァウスリーには逃げられてしまった。ユールモアのエーテライト・プラザ付近にいる「サンクレッド」と話そう。			膨らんだ嘘							
サンクレッドと話した。不幸中の幸いか、リーンの力で、ヴァウスリーによる精神干渉は解くことができるようだ。アルフィノの願いに応じ、ユールモアの混乱を収束させよう。			サンクレッドと話した。不幸中の幸いか、リーンの力で、ヴァウスリーによる精神干渉は解くことができるようだ。アルフィノの願いに応じ、ユールモアの混乱を収束させよう。			膨らんだ嘘							
アルフィノと話す			アルフィノと話す			膨らんだ嘘							
サンクレッドと話す			サンクレッドと話す			膨らんだ嘘							
市民の体力を削り、無力化しろ！			市民の体力を削り、無力化しろ！			膨らんだ嘘							
兵士の体力を削り、無力化しろ！			兵士の体力を削り、無力化しろ！			膨らんだ嘘							
道化師たちを倒せ！			道化師たちを倒せ！			膨らんだ嘘							
上階を目指せ！			上階を目指せ！			膨らんだ嘘							
ランジートを倒せ！			ランジートを倒せ！			膨らんだ嘘							
