ピーリングストーンズのメ・ラツ・ヌンは、再び冒険者に頼みたいことがあるようだ。			ピーリングストーンズのメ・ラツ・ヌンは、再び冒険者に頼みたいことがあるようだ。			大精霊が宿る木							
シュー……お前もアラミゴ解放軍の協力者か？私はアナンタ族、ウィルラ派の闘士だ。いざともに戦わん！			シュー……お前もアラミゴ解放軍の協力者か？私はアナンタ族、ウィルラ派の闘士だ。いざともに戦わん！			ラールガーの軍星							
うむ、これで全員そろったようじゃな。ワシら本命の突入部隊に加えて、ほかにも複数ルートから、軍旗の掛け替えを目指せるように、配置も完了しておる。			うむ、これで全員そろったようじゃな。ワシら本命の突入部隊に加えて、ほかにも複数ルートから、軍旗の掛け替えを目指せるように、配置も完了しておる。			ラールガーの軍星							
さて、そろそろ同盟軍も動き出す頃合いじゃが、武器や防具の準備はいいだろうな？			さて、そろそろ同盟軍も動き出す頃合いじゃが、武器や防具の準備はいいだろうな？			ラールガーの軍星							
本隊の撤退は、陽動ということか……！だが、それだけの手勢で落とせると思うなよッ！貴様たちは、この場で私が始末するッ！			本隊の撤退は、陽動ということか……！だが、それだけの手勢で落とせると思うなよッ！貴様たちは、この場で私が始末するッ！			ラールガーの軍星							
アバ、オリ……俺は、俺はやったぞ！			アバ、オリ……俺は、俺はやったぞ！			ラールガーの軍星							
はぁ、はぁ、はぁ……。帝国の軍旗をマジックプリズムで書き換えるときに、落としちゃわないかどうか心配で、緊張しましたぁ～！			はぁ、はぁ、はぁ……。帝国の軍旗をマジックプリズムで書き換えるときに、落としちゃわないかどうか心配で、緊張しましたぁ～！			ラールガーの軍星							
皆、よく戦ってくれた！誇りに思うぞい！			皆、よく戦ってくれた！誇りに思うぞい！			ラールガーの軍星							
シュー……お前の戦いぶり、実に見事だった。ヒトの子とは思えないほど、素早く鋭い動き……。感服したぞ……！			シュー……お前の戦いぶり、実に見事だった。ヒトの子とは思えないほど、素早く鋭い動き……。感服したぞ……！			ラールガーの軍星							
フォルドラを逃しちゃったのは残念だけど、それでも、アタシたち勝ったんだよね？			フォルドラを逃しちゃったのは残念だけど、それでも、アタシたち勝ったんだよね？			ラールガーの軍星							
まだまだ小さな一歩に過ぎないけど、この調子で、どんどん前に進んでいこう。アラミゴを帝国の手から取り戻す、その時まで！			まだまだ小さな一歩に過ぎないけど、この調子で、どんどん前に進んでいこう。アラミゴを帝国の手から取り戻す、その時まで！			ラールガーの軍星							
さあ、一気にベロジナ大橋に……カステッルム・ベロジナに接近するのじゃ！			さあ、一気にベロジナ大橋に……カステッルム・ベロジナに接近するのじゃ！			ラールガーの軍星							
敵の斥候部隊！？ここで気付かれたら、せっかくの陽動作戦が台無しだよ！			敵の斥候部隊！？ここで気付かれたら、せっかくの陽動作戦が台無しだよ！			ラールガーの軍星							
迂回している時間はない！騒がれる前に、黙らせてしまうんだ！			迂回している時間はない！騒がれる前に、黙らせてしまうんだ！			ラールガーの軍星							
よし、斥候部隊を蹴散らしたぞ！カステッルム・ベロジナへ急ごう！			よし、斥候部隊を蹴散らしたぞ！カステッルム・ベロジナへ急ごう！			ラールガーの軍星							
Forename、あまり離れないで！部隊のみんなと動かないと！			Forename、あまり離れないで！部隊のみんなと動かないと！			ラールガーの軍星							
Forenameが、先行してしまったか……仕方ない、俺たちも続こう！			Forenameが、先行してしまったか……仕方ない、俺たちも続こう！			ラールガーの軍星							
敵の防衛部隊の姿が見えん……。どうやら同盟軍本体の陽動は、成功したようじゃな。			敵の防衛部隊の姿が見えん……。どうやら同盟軍本体の陽動は、成功したようじゃな。			ラールガーの軍星							
今のうちに、カステッルム・ベロジナに取り付くんだ！			今のうちに、カステッルム・ベロジナに取り付くんだ！			ラールガーの軍星							
残留していた帝国軍の防衛部隊だな！？こいつらさえ蹴散らせば！			残留していた帝国軍の防衛部隊だな！？こいつらさえ蹴散らせば！			ラールガーの軍星							
見て、あの大砲を！メ・ナーゴが塔に取り付けるように、排除しないと！			見て、あの大砲を！メ・ナーゴが塔に取り付けるように、排除しないと！			ラールガーの軍星							
やった、大砲の破壊に成功！これでメ・ナーゴも塔に近づけるはず！			やった、大砲の破壊に成功！これでメ・ナーゴも塔に近づけるはず！			ラールガーの軍星							
全砲門開け！エオルゼアの蛮族どもを根絶やしにするのだ！			全砲門開け！エオルゼアの蛮族どもを根絶やしにするのだ！			ラールガーの軍星							
貴様は、ラールガーズリーチで戦った蛮族の英雄……あのときは後れを取ったが、ここで始末してくれる！			貴様は、ラールガーズリーチで戦った蛮族の英雄……あのときは後れを取ったが、ここで始末してくれる！			ラールガーの軍星							
ゼノス様より頂戴したこの「ガンブレード」にかけて、貴様を葬ってやる！			ゼノス様より頂戴したこの「ガンブレード」にかけて、貴様を葬ってやる！			ラールガーの軍星							
英雄と呼ばれるだけのことは、あるってことか……だが、これならどうだ！？			英雄と呼ばれるだけのことは、あるってことか……だが、これならどうだ！？			ラールガーの軍星							
ここで……ここで負けるものか！ようやく栄光をつかみかけたのだ……敗者になどなれるものかッ！			ここで……ここで負けるものか！ようやく栄光をつかみかけたのだ……敗者になどなれるものかッ！			ラールガーの軍星							
よしッ、グリフィンが塔に……！！ナーゴォ、いっけえええッ！！！			よしッ、グリフィンが塔に……！！ナーゴォ、いっけえええッ！！！			ラールガーの軍星							
しまった……油断したか……！？			しまった……油断したか……！？			ラールガーの軍星							
ごめん、やられちゃった……みたい……。			ごめん、やられちゃった……みたい……。			ラールガーの軍星							
ここらが引き際か……すまぬが退かせてもらうぞい……。			ここらが引き際か……すまぬが退かせてもらうぞい……。			ラールガーの軍星							
フェリードックのアルフィノは、帰還できたことに安堵しているようだ。			フェリードックのアルフィノは、帰還できたことに安堵しているようだ。			待っていた者、いない者							
カストルム・オリエンスのサンクレッドと話す			カストルム・オリエンスのサンクレッドと話す			待っていた者、いない者							
コンラッドと話す			コンラッドと話す			待っていた者、いない者							
ピピンと話す			ピピンと話す			待っていた者、いない者							
いよいよ、次はアラミゴだね……。ドマのように、絶対に帝国の支配から解放してやるんだから！			いよいよ、次はアラミゴだね……。ドマのように、絶対に帝国の支配から解放してやるんだから！			待っていた者、いない者							
なんだか、東方に向けて出港した日が、遠い昔のことのように思えてくるわね。			なんだか、東方に向けて出港した日が、遠い昔のことのように思えてくるわね。			待っていた者、いない者							
ドマ奪還が成ったことを、メルウィブ提督にも伝えなければ……。			ドマ奪還が成ったことを、メルウィブ提督にも伝えなければ……。			待っていた者、いない者							
ようやく、エオルゼアへと帰って来ることができたね。往路と違って、順調な航海が続いてくれて安心したよ。			ようやく、エオルゼアへと帰って来ることができたね。往路と違って、順調な航海が続いてくれて安心したよ。			待っていた者、いない者							
海の怪談話の続きがなくて、よかったわね？			海の怪談話の続きがなくて、よかったわね？			待っていた者、いない者							
も、もう、あの話はいいだろう……！			も、もう、あの話はいいだろう……！			待っていた者、いない者							
とにかく、この東方遠征は、長く厳しい戦いの連続であったが、それでも収穫の多い旅だった。			とにかく、この東方遠征は、長く厳しい戦いの連続であったが、それでも収穫の多い旅だった。			待っていた者、いない者							
「暁の血盟」の協力がなければ、こうも早くドマを解放することはできなかっただろう。今度は、我らドマの民がアラミゴ奪還に力を尽くす番だな。			「暁の血盟」の協力がなければ、こうも早くドマを解放することはできなかっただろう。今度は、我らドマの民がアラミゴ奪還に力を尽くす番だな。			待っていた者、いない者							
その気持ちは、嬉しいんだけどさ……。ユウギリは、まずレヴナンツトールに行くべきだと思うんだよね。開拓団にいるドマのみんなに、早く朗報を伝えてあげなくちゃ！			その気持ちは、嬉しいんだけどさ……。ユウギリは、まずレヴナンツトールに行くべきだと思うんだよね。開拓団にいるドマのみんなに、早く朗報を伝えてあげなくちゃ！			待っていた者、いない者							
……かたじけない。では、私はレヴナンツトールへと向かうが、その際には、必ず「石の家」の者たちにも報告を行っておこう。			……かたじけない。では、私はレヴナンツトールへと向かうが、その際には、必ず「石の家」の者たちにも報告を行っておこう。			待っていた者、いない者							
もう着いていたのだな！			もう着いていたのだな！			待っていた者、いない者							
メルウィブ提督ではありませんか！どうしてここに？			メルウィブ提督ではありませんか！どうしてここに？			待っていた者、いない者							
東アルデナード商会から、君たちの帰還を知らされてな。伝えたいことがあり、こうして出迎えに来た次第だ。			東アルデナード商会から、君たちの帰還を知らされてな。伝えたいことがあり、こうして出迎えに来た次第だ。			待っていた者、いない者							
それって、ギラバニアの状況？			それって、ギラバニアの状況？			待っていた者、いない者							
ああ、ギラバニアの前線では、一進一退の攻防が続いている。帝国軍の圧力は相変わらずだが、四都市の軍勢の連携が、強まってきたことで、圧倒されることは少なくなっているようだ。			ああ、ギラバニアの前線では、一進一退の攻防が続いている。帝国軍の圧力は相変わらずだが、四都市の軍勢の連携が、強まってきたことで、圧倒されることは少なくなっているようだ。			待っていた者、いない者							
こうして戦線を維持する裏で、アラミゴ解放軍の組織再編も進んでいるという点は好材料だろう。しかし、ひとつ問題が起きた。			こうして戦線を維持する裏で、アラミゴ解放軍の組織再編も進んでいるという点は好材料だろう。しかし、ひとつ問題が起きた。			待っていた者、いない者							
「暁」のクルル嬢が帝国軍部隊によって拉致された……。負傷者を後方へ送るための移送作戦中に、敵部隊の襲撃を受けたとのことだ。			「暁」のクルル嬢が帝国軍部隊によって拉致された……。負傷者を後方へ送るための移送作戦中に、敵部隊の襲撃を受けたとのことだ。			待っていた者、いない者							
な、なんですって！			な、なんですって！			待っていた者、いない者							
こちらに残っていた「暁」の賢人が、既に対応を始めている。詳しいことは、前線にいるサンクレッド殿から聞いてくれ。長旅で疲れていることと思うが、急いだほうがいい。			こちらに残っていた「暁」の賢人が、既に対応を始めている。詳しいことは、前線にいるサンクレッド殿から聞いてくれ。長旅で疲れていることと思うが、急いだほうがいい。			待っていた者、いない者							
そんな……クルルさんが……！？す、すぐに助けに、助けに行かなければ……！			そんな……クルルさんが……！？す、すぐに助けに、助けに行かなければ……！			待っていた者、いない者							
だが、どこへ…………。……いや、落ち着け、まずは情報収集だ……！			だが、どこへ…………。……いや、落ち着け、まずは情報収集だ……！			待っていた者、いない者							
我々は、ただちにカストルム・オリエンスに向かい、「サンクレッド」に、事情を聞きに行くこととします。メルウィブ提督、ユウギリ殿、失礼します！			我々は、ただちにカストルム・オリエンスに向かい、「サンクレッド」に、事情を聞きに行くこととします。メルウィブ提督、ユウギリ殿、失礼します！			待っていた者、いない者							
よく来てくれた。だが、我々への報告の前に、まずはサンクレッド殿のところへ。			よく来てくれた。だが、我々への報告の前に、まずはサンクレッド殿のところへ。			待っていた者、いない者							
無事の帰還を歓迎しよう。……どうやら、また一段と強さを増したようだな。目の輝きを見れば、激戦をくぐり抜けてきたことがよくわかる。			無事の帰還を歓迎しよう。……どうやら、また一段と強さを増したようだな。目の輝きを見れば、激戦をくぐり抜けてきたことがよくわかる。			待っていた者、いない者							
我らグリダニア領に帝国軍の侵入を許すとは、双蛇党にとっても痛恨事と言えましょう。			我らグリダニア領に帝国軍の侵入を許すとは、双蛇党にとっても痛恨事と言えましょう。			待っていた者、いない者							
おのれ、帝国軍め……卑劣なことを！			おのれ、帝国軍め……卑劣なことを！			待っていた者、いない者							
Forename……すまない。俺が付いていながら、こんなことに……。			Forename……すまない。俺が付いていながら、こんなことに……。			待っていた者、いない者							
久しぶりに会えて、嬉しいです！でも、クルルさんが……。			久しぶりに会えて、嬉しいです！でも、クルルさんが……。			待っていた者、いない者							
戻ったか！まずいことになったぞ！			戻ったか！まずいことになったぞ！			待っていた者、いない者							
……クルルのことは、メルウィブ提督から聞いたわ。それで、いったい何があったというの？			……クルルのことは、メルウィブ提督から聞いたわ。それで、いったい何があったというの？			待っていた者、いない者							
ヤ・シュトラの容態が安定してきたために、本格的な療養のため、「石の家」に移送することになったんだ。その道中で、帝国軍に襲われた……！			ヤ・シュトラの容態が安定してきたために、本格的な療養のため、「石の家」に移送することになったんだ。その道中で、帝国軍に襲われた……！			待っていた者、いない者							
もちろん、看護役としてのクルル以外にも、アレンヴァルドの部隊が、護衛として同行してくれていたが……。			もちろん、看護役としてのクルル以外にも、アレンヴァルドの部隊が、護衛として同行してくれていたが……。			待っていた者、いない者							
すまない……。俺がついていながら……。			すまない……。俺がついていながら……。			待っていた者、いない者							
誰も責めはしないわ……。精一杯、戦って怪我人のヤ・シュトラを守ってくれたんでしょ？だから、襲撃の状況を詳しく教えてちょうだい。			誰も責めはしないわ……。精一杯、戦って怪我人のヤ・シュトラを守ってくれたんでしょ？だから、襲撃の状況を詳しく教えてちょうだい。			待っていた者、いない者							
ああ、襲ってきたのは帝国軍のアラミゴ人部隊「髑髏連隊」だ。連中は、俺たちの知らないルートで長城を越えて、黒衣森に潜んで待ち伏せしていた……。			ああ、襲ってきたのは帝国軍のアラミゴ人部隊「髑髏連隊」だ。連中は、俺たちの知らないルートで長城を越えて、黒衣森に潜んで待ち伏せしていた……。			待っていた者、いない者							
完全に計画的な攻撃だった……。襲撃を受けて、髑髏連隊の隊長と相対したとき、俺は視たんだ……彼女の過去を……。			完全に計画的な攻撃だった……。襲撃を受けて、髑髏連隊の隊長と相対したとき、俺は視たんだ……彼女の過去を……。			待っていた者、いない者							
そうか、君は「超える力」を持っているんだったな……！			そうか、君は「超える力」を持っているんだったな……！			待っていた者、いない者							
Forenameほどの力じゃないけどな……。過去を幻視するときのエーテル酔いに似た感覚で、反応が鈍った隙を、突かれちまった。			Forenameほどの力じゃないけどな……。過去を幻視するときのエーテル酔いに似た感覚で、反応が鈍った隙を、突かれちまった。			待っていた者、いない者							
それで……アレンヴァルドは何を視たの？髑髏連隊の隊長……フォルドラの過去を視たんでしょ？			それで……アレンヴァルドは何を視たの？髑髏連隊の隊長……フォルドラの過去を視たんでしょ？			待っていた者、いない者							
市民権を持ち、帝国人として育てられながらも、アラミゴ人からは売国奴と、生粋の帝国人からは蛮族と罵られ、帝国軍の中で権力を得ようと、必死に足掻く彼女の姿だ……。			市民権を持ち、帝国人として育てられながらも、アラミゴ人からは売国奴と、生粋の帝国人からは蛮族と罵られ、帝国軍の中で権力を得ようと、必死に足掻く彼女の姿だ……。			待っていた者、いない者							
過去の情景の中で、フォルドラはゼノスから命じられていた。名指しで「暁」のクルル・バルデシオンを捕らえて来いと……。			過去の情景の中で、フォルドラはゼノスから命じられていた。名指しで「暁」のクルル・バルデシオンを捕らえて来いと……。			待っていた者、いない者							
同盟軍の諜報部隊と連携しながら、クルルの行方を追っているが、今のところ情報はない。ただし、狙いを定めて誘拐した以上、理由があるはずだ。			同盟軍の諜報部隊と連携しながら、クルルの行方を追っているが、今のところ情報はない。ただし、狙いを定めて誘拐した以上、理由があるはずだ。			待っていた者、いない者							
……理由があるからには、直ぐに殺されはしない。救出するチャンスは、あると言いたいんだね？			……理由があるからには、直ぐに殺されはしない。救出するチャンスは、あると言いたいんだね？			待っていた者、いない者							
ああ、俺はこれから単独で帝国軍の警戒網を突破し、どうにかしてアラミゴの都市内へと潜入するつもりだ。クルルの監禁場所を突き止めるためにな……。			ああ、俺はこれから単独で帝国軍の警戒網を突破し、どうにかしてアラミゴの都市内へと潜入するつもりだ。クルルの監禁場所を突き止めるためにな……。			待っていた者、いない者							
だから、お前たちはエオルゼア同盟軍やアラミゴ解放軍と連携し、帝国軍を蹴散らしながら、着実に進軍してくれ。それが囚われた仲間を助けるための近道にもなるはずだ。			だから、お前たちはエオルゼア同盟軍やアラミゴ解放軍と連携し、帝国軍を蹴散らしながら、着実に進軍してくれ。それが囚われた仲間を助けるための近道にもなるはずだ。			待っていた者、いない者							
……了解した。悔しいが、クルルさんの居所がわからない以上、今の私たちにできることは少ない……。			……了解した。悔しいが、クルルさんの居所がわからない以上、今の私たちにできることは少ない……。			待っていた者、いない者							
焦りは隙を生む……お前たちは、続報を待っていてくれ。そうだ、近くに解放軍のコンラッドたちが来ているはずだ。彼らにも、一声かけて情報を共有しておいてくれ。			焦りは隙を生む……お前たちは、続報を待っていてくれ。そうだ、近くに解放軍のコンラッドたちが来ているはずだ。彼らにも、一声かけて情報を共有しておいてくれ。			待っていた者、いない者							
それじゃあ、Forenameとアタシ、ふたりでコンラッドたちを呼んでこよう。アルフィノたちは、ここで待っていて！			それじゃあ、Forenameとアタシ、ふたりでコンラッドたちを呼んでこよう。アルフィノたちは、ここで待っていて！			待っていた者、いない者							
ナーゴとの再会、本当なら喜びたいのだけれど、今は、とてもそんな気分にはなれないよ……。髑髏連隊のフォルドラ……同じアラミゴの同胞なのに……。			ナーゴとの再会、本当なら喜びたいのだけれど、今は、とてもそんな気分にはなれないよ……。髑髏連隊のフォルドラ……同じアラミゴの同胞なのに……。			待っていた者、いない者							
焦っても仕方がないとわかっていても、心のどこかでは、早くクルルさんの元に駆けつけたいと、いらだたしく思ってしまうんだ……。			焦っても仕方がないとわかっていても、心のどこかでは、早くクルルさんの元に駆けつけたいと、いらだたしく思ってしまうんだ……。			待っていた者、いない者							
そう、落ち込まないで……。ヤ・シュトラが無事だったのは、不幸中の幸いだったわ。今は力を合わせて、クルルを助けることを考えましょう。			そう、落ち込まないで……。ヤ・シュトラが無事だったのは、不幸中の幸いだったわ。今は力を合わせて、クルルを助けることを考えましょう。			待っていた者、いない者							
他人の過去の情景は、何の前触れもなく突然に現れる。今回は、その隙を敵に利用されちまったんだ。すまない……。			他人の過去の情景は、何の前触れもなく突然に現れる。今回は、その隙を敵に利用されちまったんだ。すまない……。			待っていた者、いない者							
関係者が集まるのを待ってから、軍議を開かせてくれ。			関係者が集まるのを待ってから、軍議を開かせてくれ。			待っていた者、いない者							
こんなところで、お主らに出会うとは……！皆、無事なようで安心したぞい。			こんなところで、お主らに出会うとは……！皆、無事なようで安心したぞい。			待っていた者、いない者							
お帰りなさい、ふたりとも！……でも、クルルさんが…………。			お帰りなさい、ふたりとも！……でも、クルルさんが…………。			待っていた者、いない者							
今、仲間から詳しい報告を聞いたところ……。あのゼノスが相手なんだから、大丈夫なんて言えないけど、でも、絶対に助けてみせるから……！			今、仲間から詳しい報告を聞いたところ……。あのゼノスが相手なんだから、大丈夫なんて言えないけど、でも、絶対に助けてみせるから……！			待っていた者、いない者							
うむ、その意気じゃよ。どうやら東方では、厳しくもよい経験を積んできたようじゃの。			うむ、その意気じゃよ。どうやら東方では、厳しくもよい経験を積んできたようじゃの。			待っていた者、いない者							
うん……。簡単には言い尽くせない旅だったけれど……それで、アラミゴ解放軍の状況は？			うん……。簡単には言い尽くせない旅だったけれど……それで、アラミゴ解放軍の状況は？			待っていた者、いない者							
こちらも、それなりに成果はあっての。後ほど詳しく伝えようと思うが、メ・ナーゴやアレンヴァルドら、若手の活躍で、いくつかの作戦を成功させたのだ。			こちらも、それなりに成果はあっての。後ほど詳しく伝えようと思うが、メ・ナーゴやアレンヴァルドら、若手の活躍で、いくつかの作戦を成功させたのだ。			待っていた者、いない者							
不滅隊のアラミゴ人部隊の助けを借りながら、アラミゴ都市内の政治犯収容所や山間の強制労働施設から、大勢の人を助け出したりもしたぞい。			不滅隊のアラミゴ人部隊の助けを借りながら、アラミゴ都市内の政治犯収容所や山間の強制労働施設から、大勢の人を助け出したりもしたぞい。			待っていた者、いない者							
そうして救出した人々に加え、リトルアラミゴやウルダハの流民街からも、続々と志願兵が集まってくれてな、組織の立て直しも進んでおる。			そうして救出した人々に加え、リトルアラミゴやウルダハの流民街からも、続々と志願兵が集まってくれてな、組織の立て直しも進んでおる。			待っていた者、いない者							
……そっか、アタシたちが東方遠征に行っている間も、みんな戦い続けていてくれたんだね……。			……そっか、アタシたちが東方遠征に行っている間も、みんな戦い続けていてくれたんだね……。			待っていた者、いない者							
うむ、未だに解決せねばならぬ問題も多いが、諦めずに踏ん張ったおかげで、一歩ずつ前に進んでおる。お主らも、クルル嬢のことを含め、決して諦めるでないぞ！			うむ、未だに解決せねばならぬ問題も多いが、諦めずに踏ん張ったおかげで、一歩ずつ前に進んでおる。お主らも、クルル嬢のことを含め、決して諦めるでないぞ！			待っていた者、いない者							
さて、「暁」の方々が帰還したのであれば、同盟軍の面々を交え、一度、集まった方が良さそうじゃの。皆、ドマでの出来事を知りたがっておるじゃろうからな。			さて、「暁」の方々が帰還したのであれば、同盟軍の面々を交え、一度、集まった方が良さそうじゃの。皆、ドマでの出来事を知りたがっておるじゃろうからな。			待っていた者、いない者							
わかった。アタシは、アレンヴァルドたちを呼んでくるね。みんなは「ピピン少闘将」のところに向かってちょうだい。			わかった。アタシは、アレンヴァルドたちを呼んでくるね。みんなは「ピピン少闘将」のところに向かってちょうだい。			待っていた者、いない者							
こっちは大丈夫。先に「ピピン少闘将」のところに向かって。			こっちは大丈夫。先に「ピピン少闘将」のところに向かって。			待っていた者、いない者							
気持ちを切り替えなければ……。クルルさん救出のチャンスを、見逃さないためにも……。			気持ちを切り替えなければ……。クルルさん救出のチャンスを、見逃さないためにも……。			待っていた者、いない者							
アレンヴァルドから詳しい事情を聞いたんだけど、ヤ・シュトラは、すでに石の家に戻り、療養中ですって……。エフェミたちに任せておいて問題なさそうね。			アレンヴァルドから詳しい事情を聞いたんだけど、ヤ・シュトラは、すでに石の家に戻り、療養中ですって……。エフェミたちに任せておいて問題なさそうね。			待っていた者、いない者							
仲間と力を合わせ、クルルを助け出すためにできることを、ひとつずつこなしていきましょう。			仲間と力を合わせ、クルルを助け出すためにできることを、ひとつずつこなしていきましょう。			待っていた者、いない者							
ヤ・シュトラさんなら無事だよ。戦える状況ではないが……。			ヤ・シュトラさんなら無事だよ。戦える状況ではないが……。			待っていた者、いない者							
不滅隊の「ピピン少闘将」のところへゆくとしよう。皆、ドマでの出来事を知りたがっておるじゃろうからな。			不滅隊の「ピピン少闘将」のところへゆくとしよう。皆、ドマでの出来事を知りたがっておるじゃろうからな。			待っていた者、いない者							
野戦病院でのクルルさんの献身的な働きは、解放軍の闘士たちの間でも有名でした。絶対に救い出しましょうね！			野戦病院でのクルルさんの献身的な働きは、解放軍の闘士たちの間でも有名でした。絶対に救い出しましょうね！			待っていた者、いない者							
Surname殿……サンクレッド殿から話は聞いたようだな。			Surname殿……サンクレッド殿から話は聞いたようだな。			待っていた者、いない者							
クルル嬢のことは、心配だとは思うが……関係者にドマ遠征の報告をしてもらってもいいだろうか？すまないが、よろしく頼むよ。			クルル嬢のことは、心配だとは思うが……関係者にドマ遠征の報告をしてもらってもいいだろうか？すまないが、よろしく頼むよ。			待っていた者、いない者							
小波止場のアルフィノは、仲間にも帰還を伝えたいようだ。			小波止場のアルフィノは、仲間にも帰還を伝えたいようだ。			別れと帰還							
ウルダハ商館の応接室に向かう			ウルダハ商館の応接室に向かう			別れと帰還							
タタルと話す			タタルと話す			別れと帰還							
リセと話す			リセと話す			別れと帰還							
帰ってきたね……。なんだか、景色が違って見えるよ。			帰ってきたね……。なんだか、景色が違って見えるよ。			別れと帰還							
……この港に立つと、あのしゃがれた大声が、今にも聞こえてきそうで……ね。			……この港に立つと、あのしゃがれた大声が、今にも聞こえてきそうで……ね。			別れと帰還							
俺たちは、すぐにここを出る。そちらも達者でな。			俺たちは、すぐにここを出る。そちらも達者でな。			別れと帰還							
クガネの港なんざ、俺たちもいつぶりかねぇ……。			クガネの港なんざ、俺たちもいつぶりかねぇ……。			別れと帰還							
それでは、タタルの待つ「ウルダハ商館」に戻ろう。連絡は入れてあるから、帰還を待ちわびているはずさ。			それでは、タタルの待つ「ウルダハ商館」に戻ろう。連絡は入れてあるから、帰還を待ちわびているはずさ。			別れと帰還							
ふたりとも、ここまで助かったわ。案じるまでもないでしょうけど、島まで安全な航海を。ほかの海賊たちにも、よろしくね。			ふたりとも、ここまで助かったわ。案じるまでもないでしょうけど、島まで安全な航海を。ほかの海賊たちにも、よろしくね。			別れと帰還							
またな！紅玉海に来たときは、オノコロ島に立ち寄れよ。			またな！紅玉海に来たときは、オノコロ島に立ち寄れよ。			別れと帰還							
みなさんっ！おかえりなさいでっす！			みなさんっ！おかえりなさいでっす！			別れと帰還							
ああ、ただいま、タタル。それにハンコック殿も……海賊衆の件は、助かりました。			ああ、ただいま、タタル。それにハンコック殿も……海賊衆の件は、助かりました。			別れと帰還							
いえいえ、めっそうもありまセ～ン！私は自分の商売をしただけですからネ。			いえいえ、めっそうもありまセ～ン！私は自分の商売をしただけですからネ。			別れと帰還							
何にせよ、無事に戻ってきてくださって何よりでっす。			何にせよ、無事に戻ってきてくださって何よりでっす。			別れと帰還							
急いでエオルゼアに戻る件も、伺っておりまっす。向こうに連絡を入れるとともに、4名分の船の手配をすませておきまっした！			急いでエオルゼアに戻る件も、伺っておりまっす。向こうに連絡を入れるとともに、4名分の船の手配をすませておきまっした！			別れと帰還							
4名分……？タタル、もしや君は戻らないのかい？			4名分……？タタル、もしや君は戻らないのかい？			別れと帰還							
……はいでっす。ドマが奪還されたとはいえ……いえ、奪還できたからこそ、こちらに残って、東西を繋ぐ連絡役が必要でっすから。			……はいでっす。ドマが奪還されたとはいえ……いえ、奪還できたからこそ、こちらに残って、東西を繋ぐ連絡役が必要でっすから。			別れと帰還							
その役目なら、私がやりましょうと言ったのデスが……。			その役目なら、私がやりましょうと言ったのデスが……。			別れと帰還							
ハンコックさんは、隙あらば利益に走るので、油断ならないのでっす！			ハンコックさんは、隙あらば利益に走るので、油断ならないのでっす！			別れと帰還							
……このとおり、手厳しいデ～ス。			……このとおり、手厳しいデ～ス。			別れと帰還							
なので、私がこちらに残って、東方の様子をお伝えしまっす。潮風亭も老舗の店も、今じゃみんなお得意様……ドーンとお任せくださいでっす！			なので、私がこちらに残って、東方の様子をお伝えしまっす。潮風亭も老舗の店も、今じゃみんなお得意様……ドーンとお任せくださいでっす！			別れと帰還							
ではではみなさん、帰還にそなえてご準備を！お買いものなどありましたら、今のうちでっす！			ではではみなさん、帰還にそなえてご準備を！お買いものなどありましたら、今のうちでっす！			別れと帰還							
乗船の手続きは、私の方ですませておきまっすので、ご準備ができたら、「第二波止場」に集合でっす！			乗船の手続きは、私の方ですませておきまっすので、ご準備ができたら、「第二波止場」に集合でっす！			別れと帰還							
タタルも、すっかりたくましくなったね。ひとりで残していくのが心配だなんて言ったら、逆に諭されてしまいそうだ。			タタルも、すっかりたくましくなったね。ひとりで残していくのが心配だなんて言ったら、逆に諭されてしまいそうだ。			別れと帰還							
さて、私も出立の準備を整えておこうかな。			さて、私も出立の準備を整えておこうかな。			別れと帰還							
わざわざ船を手配したのは、タタルさんなりの気遣いかと。戦い続けのみなさんを、少しでも休ませてあげたいと、おっしゃってましたからネ。			わざわざ船を手配したのは、タタルさんなりの気遣いかと。戦い続けのみなさんを、少しでも休ませてあげたいと、おっしゃってましたからネ。			別れと帰還							
事を急ぐときだからこそ、その厚意に甘えるべきだと思いマス。あちらの戦場に戻れば、どちらかが倒れるまで、休むことなどできないのデスから……。			事を急ぐときだからこそ、その厚意に甘えるべきだと思いマス。あちらの戦場に戻れば、どちらかが倒れるまで、休むことなどできないのデスから……。			別れと帰還							
フフフ！Forenameさんが、一着でっしたね！みなさんが集合するまで、一緒に待つでっす。			フフフ！Forenameさんが、一着でっしたね！みなさんが集合するまで、一緒に待つでっす。			別れと帰還							
赤い街並みに見慣れていたせいか、リムサ・ロミンサの白がまぶしく感じられた。私も、この旅で少し視点を変えられたということだろうか……。			赤い街並みに見慣れていたせいか、リムサ・ロミンサの白がまぶしく感じられた。私も、この旅で少し視点を変えられたということだろうか……。			別れと帰還							
あとで、ウリエンジェにも帰還の報告をしてやらないとね。この細剣には、それなりにお世話になったわけだし。			あとで、ウリエンジェにも帰還の報告をしてやらないとね。この細剣には、それなりにお世話になったわけだし。			別れと帰還							
ああ、これでやっと、ドマ開拓団の仲間たちにも吉報を届けられる……！			ああ、これでやっと、ドマ開拓団の仲間たちにも吉報を届けられる……！			別れと帰還							
