テイルフェザーのエルヴォワは、とても面倒そうな案件を抱えているようだ。			テイルフェザーのエルヴォワは、とても面倒そうな案件を抱えているようだ。			口より手を							
もちろん蒼天騎士が立ちはだかるだろうが、それが狙いでもある……。その隙に、私たちはアイメリク様を救い出し、後に合流しよう。			もちろん蒼天騎士が立ちはだかるだろうが、それが狙いでもある……。その隙に、私たちはアイメリク様を救い出し、後に合流しよう。			ただ盟友のため							
突入口は、すでに我が方が抑えている故、安心してくれ。「グランド・ホプロン」の「神殿騎士団の従騎士」の案内に、従ってくれればいい……それでは、行動開始だ！			突入口は、すでに我が方が抑えている故、安心してくれ。「グランド・ホプロン」の「神殿騎士団の従騎士」の案内に、従ってくれればいい……それでは、行動開始だ！			ただ盟友のため							
Forename様ですね。ルキア様の部隊は、すでに別の侵入口より、地下監房へ向かいました。			Forename様ですね。ルキア様の部隊は、すでに別の侵入口より、地下監房へ向かいました。			ただ盟友のため							
さあ、お急ぎください！「イシュガルド教皇庁」へ突入する準備は、よろしいですか？			さあ、お急ぎください！「イシュガルド教皇庁」へ突入する準備は、よろしいですか？			ただ盟友のため							
さあ、お急ぎください！			さあ、お急ぎください！			ただ盟友のため							
なにやら、大作戦の予感……。どうか、お気をつけてくださいでっす！			なにやら、大作戦の予感……。どうか、お気をつけてくださいでっす！			ただ盟友のため							
お疲れさまです、Forename様。皆様は「フォルタン家の屋敷」に向かわれました……。屋敷の方へお戻りになってください……。			お疲れさまです、Forename様。皆様は「フォルタン家の屋敷」に向かわれました……。屋敷の方へお戻りになってください……。			ただ盟友のため							
お疲れさまです、Forename様。皆様は「フォルタン家の屋敷」に向かわれました……。屋敷の方へお戻りになってください……。			お疲れさまです、Forename様。皆様は「フォルタン家の屋敷」に向かわれました……。屋敷の方へお戻りになってください……。			ただ盟友のため							
お待ちしておりました、Forename様。皆様、すでにお集まりです！急ぎ、お入りください……！			お待ちしておりました、Forename様。皆様、すでにお集まりです！急ぎ、お入りください……！			ただ盟友のため							
……なんと言い表せばいいかわからない。フォルタン伯爵の後ろ姿を見ていたら、胸が張り裂けそうだった……。			……なんと言い表せばいいかわからない。フォルタン伯爵の後ろ姿を見ていたら、胸が張り裂けそうだった……。			ただ盟友のため							
オルシュファン卿は、ウルダハを追われ、気落ちしていた私を受け入れてくれたばかりか、力強く励ましてくださった……。			オルシュファン卿は、ウルダハを追われ、気落ちしていた私を受け入れてくれたばかりか、力強く励ましてくださった……。			ただ盟友のため							
常に前向きで、揺るぎなき信念を持つ、まさしく「騎士」の鑑のような人物であった……。			常に前向きで、揺るぎなき信念を持つ、まさしく「騎士」の鑑のような人物であった……。			ただ盟友のため							
君にとっては、格別な友人でもあっただろう……。……すまない……私の言葉など無用だな……。			君にとっては、格別な友人でもあっただろう……。……すまない……私の言葉など無用だな……。			ただ盟友のため							
……オルシュファン様………………。			……オルシュファン様………………。			ただ盟友のため							
まさか……そんな………………。			まさか……そんな………………。			ただ盟友のため							
うっ……うっ……。こんなの、悲しすぎまっす……。			うっ……うっ……。こんなの、悲しすぎまっす……。			ただ盟友のため							
神殿騎士団本部のルキアは、伝えたい情報があるようだ。			神殿騎士団本部のルキアは、伝えたい情報があるようだ。			新たな蛮神を追って							
教皇トールダン7世が向かったのは、アバラシア雲海の高空層らしい。高空層へ行くには、シドの力を借りる必要がある。イシュガルドのスカイスチール機工房にいる「シド」と話そう。			教皇トールダン7世が向かったのは、アバラシア雲海の高空層らしい。高空層へ行くには、シドの力を借りる必要がある。イシュガルドのスカイスチール機工房にいる「シド」と話そう。			新たな蛮神を追って							
シドにこれまでのことを話した。ガイウスの一件を思い出し、アシエンが教皇トールダン7世に口添えしていたことを危険視するシド。冒険者たちのために、エンタープライズ号を出してくれるようだ。			シドにこれまでのことを話した。ガイウスの一件を思い出し、アシエンが教皇トールダン7世に口添えしていたことを危険視するシド。冒険者たちのために、エンタープライズ号を出してくれるようだ。			新たな蛮神を追って							
スカイスチール機工房のシドと話す			スカイスチール機工房のシドと話す			新たな蛮神を追って							
教皇と蒼天騎士たちを乗せた飛空艇は、東の空へと消えた。そこで私は直ちに、皇都上空を監視する監視所……「キャンプ・クラウドトップ」に確認してみたのだ。			教皇と蒼天騎士たちを乗せた飛空艇は、東の空へと消えた。そこで私は直ちに、皇都上空を監視する監視所……「キャンプ・クラウドトップ」に確認してみたのだ。			新たな蛮神を追って							
すると、当地を管轄するラニエット卿から、教皇座乗艇「ソレイユ号」の目撃情報が寄せられた。			すると、当地を管轄するラニエット卿から、教皇座乗艇「ソレイユ号」の目撃情報が寄せられた。			新たな蛮神を追って							
……では、教皇たちは「アバラシア雲海」にいると？			……では、教皇たちは「アバラシア雲海」にいると？			新たな蛮神を追って							
ああ、そう考えていいだろう。ラニエット卿からの報告によると「ソレイユ号」は、雲海北部に広がる高空層に向かったらしい。			ああ、そう考えていいだろう。ラニエット卿からの報告によると「ソレイユ号」は、雲海北部に広がる高空層に向かったらしい。			新たな蛮神を追って							
かの地は、バヌバヌ族の勢力が強く、ラニエット卿らアインハルト家の騎兵団は駐屯していない。危地に赴ける手段を探す必要がある。			かの地は、バヌバヌ族の勢力が強く、ラニエット卿らアインハルト家の騎兵団は駐屯していない。危地に赴ける手段を探す必要がある。			新たな蛮神を追って							
Forename、「シド」に事情を話して、「エンタープライズ号」を出してもらえないか聞いてみよう。			Forename、「シド」に事情を話して、「エンタープライズ号」を出してもらえないか聞いてみよう。			新たな蛮神を追って							
私の方でも、独自に支援体制を整えておく。……それでは頼んだぞ。			私の方でも、独自に支援体制を整えておく。……それでは頼んだぞ。			新たな蛮神を追って							
しかし、教皇を追うと言っても、どこに向かえばいいものやら……。			しかし、教皇を追うと言っても、どこに向かえばいいものやら……。			新たな蛮神を追って							
Forename、「シド」に事情を話して、「エンタープライズ号」を出してもらえないか聞いてみよう。			Forename、「シド」に事情を話して、「エンタープライズ号」を出してもらえないか聞いてみよう。			新たな蛮神を追って							
今にして思えば、建国十二騎士が備えたという聖なる力は、ラタトスクの眼を喰らったことで得たものだったのだな。……なんと穢れた力なのだ。			今にして思えば、建国十二騎士が備えたという聖なる力は、ラタトスクの眼を喰らったことで得たものだったのだな。……なんと穢れた力なのだ。			新たな蛮神を追って							
よぉ、おふたりさん。相変わらず、活躍しているようじゃないか。			よぉ、おふたりさん。相変わらず、活躍しているようじゃないか。			新たな蛮神を追って							
とてもではないが、活躍などと言える状況ではないよ……。ここイシュガルドに、新たな蛮神問題が発生したんだ。その過程で、大切な仲間を失ってしまった……。			とてもではないが、活躍などと言える状況ではないよ……。ここイシュガルドに、新たな蛮神問題が発生したんだ。その過程で、大切な仲間を失ってしまった……。			新たな蛮神を追って							
すまない……知らなかったとはいえ、配慮が足りなかったな。しかし、教皇が蛮神の力に、手を出すとは……。			すまない……知らなかったとはいえ、配慮が足りなかったな。しかし、教皇が蛮神の力に、手を出すとは……。			新たな蛮神を追って							
アシエンたちが教皇に接触していたことは、Forenameが掴んでいたんだがね……。何より気になるのは、「魔大陸」という言葉さ。			アシエンたちが教皇に接触していたことは、Forenameが掴んでいたんだがね……。何より気になるのは、「魔大陸」という言葉さ。			新たな蛮神を追って							
……そいつを聞いて、ガイウスを思い出したぜ。アシエンは奴に、古代アラグ帝国が作り上げた対蛮神兵器……「アルテマウェポン」の知識を授けていた。			……そいつを聞いて、ガイウスを思い出したぜ。アシエンは奴に、古代アラグ帝国が作り上げた対蛮神兵器……「アルテマウェポン」の知識を授けていた。			新たな蛮神を追って							
ガイウスは、その力を己の理想のために使ったが、結果として、エオルゼアを混沌の渦に叩き込んだ……。……アシエンどもの思惑どおりにな。			ガイウスは、その力を己の理想のために使ったが、結果として、エオルゼアを混沌の渦に叩き込んだ……。……アシエンどもの思惑どおりにな。			新たな蛮神を追って							
「魔大陸」が何を示すのかはわからない。だが、アシエンが教皇に授けた知識であるとすれば、とてつもない危険な力を秘めている可能性が高いだろう。			「魔大陸」が何を示すのかはわからない。だが、アシエンが教皇に授けた知識であるとすれば、とてつもない危険な力を秘めている可能性が高いだろう。			新たな蛮神を追って							
教皇を放ってはおけないってことは、よくわかったぜ……。よし、「エンタープライズ」を出してやる。			教皇を放ってはおけないってことは、よくわかったぜ……。よし、「エンタープライズ」を出してやる。			新たな蛮神を追って							
「イシュガルド・ランディング」に来てくれ。「アバラシア雲海」だろうが、どこだろうが運んでやるぜ！			「イシュガルド・ランディング」に来てくれ。「アバラシア雲海」だろうが、どこだろうが運んでやるぜ！			新たな蛮神を追って							
ブルーウィンドウのアルフィノは、冒険者に話したいことがあるようだ。			ブルーウィンドウのアルフィノは、冒険者に話したいことがあるようだ。			北方より来たりし者							
アルフィノから、蛮神「ビスマルク」の討伐をバヌバヌ族に知らせようと提案された。オク・ズンドに向かった冒険者たちだったが、新皇帝ヴァリスに率いられた帝国軍本隊がオク・ズンドに侵攻していた。ガレマール帝国軍も、魔大陸を追っていたようだ。ルキアの援護により、どうにか犠牲が出る前に、ガレマール帝国軍を追い払うことができた。アバラシア雲海のオク・ズンドにいる「アルフィノ」と話そう。			アルフィノから、蛮神「ビスマルク」の討伐をバヌバヌ族に知らせようと提案された。オク・ズンドに向かった冒険者たちだったが、新皇帝ヴァリスに率いられた帝国軍本隊がオク・ズンドに侵攻していた。ガレマール帝国軍も、魔大陸を追っていたようだ。ルキアの援護により、どうにか犠牲が出る前に、ガレマール帝国軍を追い払うことができた。アバラシア雲海のオク・ズンドにいる「アルフィノ」と話そう。			北方より来たりし者							
アルフィノと話した。バヌバヌ族への報告はアルフィノに任せ、ブルーウィンドウの「シド」と合流しよう。			アルフィノと話した。バヌバヌ族への報告はアルフィノに任せ、ブルーウィンドウの「シド」と合流しよう。			北方より来たりし者							
シドと合流して、帝国軍のことを説明した。そこに、アルフィノと、魔導アーマーをともなったルキアも合流した。さあ、教皇を追って、魔大陸へ向かおう。			シドと合流して、帝国軍のことを説明した。そこに、アルフィノと、魔導アーマーをともなったルキアも合流した。さあ、教皇を追って、魔大陸へ向かおう。			北方より来たりし者							
アルフィノと話す			アルフィノと話す			北方より来たりし者							
シドと話す			シドと話す			北方より来たりし者							
教皇たちは「魔大陸」へ向かったとみて間違いないだろう。シドたちが、急ぎ、追撃の準備を進めてくれるそうだ。その間、君がビスマルクを鎮めたことを、報告に行こうと思う。			教皇たちは「魔大陸」へ向かったとみて間違いないだろう。シドたちが、急ぎ、追撃の準備を進めてくれるそうだ。その間、君がビスマルクを鎮めたことを、報告に行こうと思う。			北方より来たりし者							
雲神が鎮まったとなれば、バヌバヌ族も喜ぶだろうしね。なにより、「オク・ズンド」の長老たちも、きっと心配しているはずさ。			雲神が鎮まったとなれば、バヌバヌ族も喜ぶだろうしね。なにより、「オク・ズンド」の長老たちも、きっと心配しているはずさ。			北方より来たりし者							
教皇たちを追うための準備は、俺たちに任せてくれ。お前さんはアルフィノと、バヌバヌ族の皆に、雲神討伐の報告に行ってきな。			教皇たちを追うための準備は、俺たちに任せてくれ。お前さんはアルフィノと、バヌバヌ族の皆に、雲神討伐の報告に行ってきな。			北方より来たりし者							
教皇座乗艇「ソレイユ号」の進路から、「魔大陸」の位置を割り出してみせるさ。			教皇座乗艇「ソレイユ号」の進路から、「魔大陸」の位置を割り出してみせるさ。			北方より来たりし者							
あの時、上空は北西の風が吹いていたッス。となれば、船体はこっちに流されて、そこから光が指したから……「魔大陸」がどの辺りにあるか、わかってきたッス！			あの時、上空は北西の風が吹いていたッス。となれば、船体はこっちに流されて、そこから光が指したから……「魔大陸」がどの辺りにあるか、わかってきたッス！			北方より来たりし者							
ヴァリス・ゾス・ガルヴァス……。新たに帝冠を手にしたガレマール帝国の新皇帝と、この雲海で対面することになろうとは……。			ヴァリス・ゾス・ガルヴァス……。新たに帝冠を手にしたガレマール帝国の新皇帝と、この雲海で対面することになろうとは……。			北方より来たりし者							
同行していた青鎧の将は、おそらくは軍団長クラス……。厄介だな、軍団が出てきているとなれば、どこまで帝国の手が伸びているか見当がつかない。			同行していた青鎧の将は、おそらくは軍団長クラス……。厄介だな、軍団が出てきているとなれば、どこまで帝国の手が伸びているか見当がつかない。			北方より来たりし者							
Forename。君は取って返し、「シド」と合流してくれないか。彼らの下に、帝国軍がやってこないともかぎらない。			Forename。君は取って返し、「シド」と合流してくれないか。彼らの下に、帝国軍がやってこないともかぎらない。			北方より来たりし者							
私は、バヌバヌ族の長老に、事のあらましを報告してから、ルキア殿と一緒に「エンタープライズ」に向かおう。			私は、バヌバヌ族の長老に、事のあらましを報告してから、ルキア殿と一緒に「エンタープライズ」に向かおう。			北方より来たりし者							
私は、バヌバヌ族の長老に、事のあらましを報告してから、ルキア殿と一緒に「エンタープライズ」に向かおう。			私は、バヌバヌ族の長老に、事のあらましを報告してから、ルキア殿と一緒に「エンタープライズ」に向かおう。			北方より来たりし者							
君たちの助けになればと、神殿騎士団の飛空艇で、コイツを運んできたんだが……。……詳しい事情は、後で話させてもらおう。			君たちの助けになればと、神殿騎士団の飛空艇で、コイツを運んできたんだが……。……詳しい事情は、後で話させてもらおう。			北方より来たりし者							
ア、アグリウス級が飛来したのを見たぞ。大丈夫だったのか？			ア、アグリウス級が飛来したのを見たぞ。大丈夫だったのか？			北方より来たりし者							
物凄い銃声が、ここまで聞こえたッス。や、やっぱり帝国軍ッスか？			物凄い銃声が、ここまで聞こえたッス。や、やっぱり帝国軍ッスか？			北方より来たりし者							
黒き鎧の者どもたち……。なんと、なんと、忌まわしいことか……。			黒き鎧の者どもたち……。なんと、なんと、忌まわしいことか……。			北方より来たりし者							
さっきのは、アグリウス級か……！？			さっきのは、アグリウス級か……！？			北方より来たりし者							
無事だったか、Forename！銃声が響いた後に、アグリウス級が降りてきたもんで、ビッグスやウェッジと、心配していたところだ。			無事だったか、Forename！銃声が響いた後に、アグリウス級が降りてきたもんで、ビッグスやウェッジと、心配していたところだ。			北方より来たりし者							
……クソッ、やはり帝国軍か！イシュガルド教皇に、アシエン、新皇帝……。よりにもよって、面倒な連中が集まったもんだな。			……クソッ、やはり帝国軍か！イシュガルド教皇に、アシエン、新皇帝……。よりにもよって、面倒な連中が集まったもんだな。			北方より来たりし者							
遅れてすまない。バヌバヌ族の長老には、事のあらましを報告してきた。ビスマルクを鎮めた件は、非常に喜んでいたよ。			遅れてすまない。バヌバヌ族の長老には、事のあらましを報告してきた。ビスマルクを鎮めた件は、非常に喜んでいたよ。			北方より来たりし者							
Forename。君には、よくよく礼を伝えてほしいとのことだ。			Forename。君には、よくよく礼を伝えてほしいとのことだ。			北方より来たりし者							
幸い、バヌバヌ族の村人たちには、大きな人的被害はなかったそうだ……。突然の侵攻で、ひどく怯えてはいたがな。			幸い、バヌバヌ族の村人たちには、大きな人的被害はなかったそうだ……。突然の侵攻で、ひどく怯えてはいたがな。			北方より来たりし者							
あの集落に「鍵」がないとわかった以上、帝国軍が、ふたたび襲う可能性は少ないだろう。シド、教皇追撃のための準備はどうだい？			あの集落に「鍵」がないとわかった以上、帝国軍が、ふたたび襲う可能性は少ないだろう。シド、教皇追撃のための準備はどうだい？			北方より来たりし者							
ああ、「エンタープライズ」の準備はバッチリだ。「ソレイユ号」の行き先……「魔大陸」の位置も押さえてある。さあ、出発しようぜ！			ああ、「エンタープライズ」の準備はバッチリだ。「ソレイユ号」の行き先……「魔大陸」の位置も押さえてある。さあ、出発しようぜ！			北方より来たりし者							
忘れられた騎士亭のアルフィノは、何か気がかりがあるようだ。			忘れられた騎士亭のアルフィノは、何か気がかりがあるようだ。			変革への一歩							
雲霧街で情報収集をしているタタルを、探すことになった。イシュガルドの雲霧街にある「指定地点」で周囲を見渡そう。			雲霧街で情報収集をしているタタルを、探すことになった。イシュガルドの雲霧街にある「指定地点」で周囲を見渡そう。			変革への一歩							
周囲を見渡してみたが、タタルは見つからなかった。別のところで探してみよう。雲霧街にある、2箇所目の「指定地点」で周囲を見渡そう。			周囲を見渡してみたが、タタルは見つからなかった。別のところで探してみよう。雲霧街にある、2箇所目の「指定地点」で周囲を見渡そう。			変革への一歩							
タタルを見つけたが、貧しい身なりの男たちに追われていた。助けに入ったところ、探していた「長耳」ことヒルダに出会った。雲霧街の「ヒルダ」と話そう。			タタルを見つけたが、貧しい身なりの男たちに追われていた。助けに入ったところ、探していた「長耳」ことヒルダに出会った。雲霧街の「ヒルダ」と話そう。			変革への一歩							
場所を変えて、ヒルダと話すことになった。忘れられた騎士亭の「ヒルダ」と話そう。			場所を変えて、ヒルダと話すことになった。忘れられた騎士亭の「ヒルダ」と話そう。			変革への一歩							
ヒルダに事情を伝えた。その最中、蒼天騎士シャリベルが襲ってきたため、冒険者たちはこれを撃退。駆けつけたルキアの話によると、アイメリクが異端疑惑で捕まり、蒼天騎士団が動き出したそうだ。話を聞いていたヒルダは、冒険者たちへの協力を申し出る。忘れられた騎士亭付近の「ヒルダ」と話そう。			ヒルダに事情を伝えた。その最中、蒼天騎士シャリベルが襲ってきたため、冒険者たちはこれを撃退。駆けつけたルキアの話によると、アイメリクが異端疑惑で捕まり、蒼天騎士団が動き出したそうだ。話を聞いていたヒルダは、冒険者たちへの協力を申し出る。忘れられた騎士亭付近の「ヒルダ」と話そう。			変革への一歩							
ヒルダと話した。「長耳」たる事情を、イシュガルドではよくある話と言い切ったヒルダ。彼女がイシュガルドの変革に協力してくれる理由が、そこにあるのかもしれない。			ヒルダと話した。「長耳」たる事情を、イシュガルドではよくある話と言い切ったヒルダ。彼女がイシュガルドの変革に協力してくれる理由が、そこにあるのかもしれない。			変革への一歩							
指定地点で見渡す			指定地点で見渡す			変革への一歩							
2箇所目の指定地点で見渡す			2箇所目の指定地点で見渡す			変革への一歩							
ヒルダと話す			ヒルダと話す			変革への一歩							
忘れられた騎士亭のヒルダと話す			忘れられた騎士亭のヒルダと話す			変革への一歩							
ヒルダと話す			ヒルダと話す			変革への一歩							
君が得た情報を頼りに、「長耳」の捜索を続けよう。			君が得た情報を頼りに、「長耳」の捜索を続けよう。			変革への一歩							
……ところで、「タタル」を見かけなかったか？彼女も情報収集をしてくれているはずだが……心配だ、探してみよう。			……ところで、「タタル」を見かけなかったか？彼女も情報収集をしてくれているはずだが……心配だ、探してみよう。			変革への一歩							
ダメだ、こっちにはいないようだ。君は向こう側を探してみてくれ。			ダメだ、こっちにはいないようだ。君は向こう側を探してみてくれ。			変革への一歩							
周囲にタタルの姿はない……。ほかの場所を探してみよう。			周囲にタタルの姿はない……。ほかの場所を探してみよう。			変革への一歩							
ダメだ、向こう側を一通り見回ってみたが、タタルの姿はなかったよ……。いったい、どこに……。			ダメだ、向こう側を一通り見回ってみたが、タタルの姿はなかったよ……。いったい、どこに……。			変革への一歩							
ぎにゃああああ～！！！			ぎにゃああああ～！！！			変革への一歩							
い、いまのは！タタルじゃないか！！			い、いまのは！タタルじゃないか！！			変革への一歩							
何者かに追われている！？Forename、行くぞ！			何者かに追われている！？Forename、行くぞ！			変革への一歩							
こんな場所じゃ、落ち着いて話もできやしないね。ひとまず「忘れられた騎士亭」にでも行って、じっくり話を聞こうじゃないのさ。			こんな場所じゃ、落ち着いて話もできやしないね。ひとまず「忘れられた騎士亭」にでも行って、じっくり話を聞こうじゃないのさ。			変革への一歩							
どうやら彼女が噂の「長耳」のようだな……。			どうやら彼女が噂の「長耳」のようだな……。			変革への一歩							
自慢の「マンダヴィル交渉術」を使う間もなかったでっす。た、助かりまっした……。			自慢の「マンダヴィル交渉術」を使う間もなかったでっす。た、助かりまっした……。			変革への一歩							
俺は、お前らを信用してないからな！			俺は、お前らを信用してないからな！			変革への一歩							
ヒルダに指一本でも触れてみろ……シバき倒してやるぞ！			ヒルダに指一本でも触れてみろ……シバき倒してやるぞ！			変革への一歩							
ようやく交渉が始められるな。			ようやく交渉が始められるな。			変革への一歩							
ど、どうなることかと思ったでっす。今でも、心臓がバクバクしてるでっす……。			ど、どうなることかと思ったでっす。今でも、心臓がバクバクしてるでっす……。			変革への一歩							
……ん？ああ、この「長耳」が気になるのかい？			……ん？ああ、この「長耳」が気になるのかい？			変革への一歩							
その表情からすると、アタシの生まれにまつわる事情について、ある程度知っているようだね……。			その表情からすると、アタシの生まれにまつわる事情について、ある程度知っているようだね……。			変革への一歩							
貴族が使用人に手を出すなんてことは、皇都じゃ珍しくない。そして、身ごもった平民の女が、捨てられることも……。			貴族が使用人に手を出すなんてことは、皇都じゃ珍しくない。そして、身ごもった平民の女が、捨てられることも……。			変革への一歩							
そう、よくある「ありふれた話」なんだ……。平民は貴族に利用され、捨てられ、戦いに駆り出される。そんな現状を変えたくて、アタシは銃を取った。			そう、よくある「ありふれた話」なんだ……。平民は貴族に利用され、捨てられ、戦いに駆り出される。そんな現状を変えたくて、アタシは銃を取った。			変革への一歩							
もちろん、貴族だからと言って、全員がクソ野郎じゃないことくらい、わかってるよ。この銃を……戦う力をくれたのも貴族なんだからね。			もちろん、貴族だからと言って、全員がクソ野郎じゃないことくらい、わかってるよ。この銃を……戦う力をくれたのも貴族なんだからね。			変革への一歩							
もちろん、貴族だからと言って、全員がクソ野郎じゃないことくらい、わかってるよ。この銃をくれた奴のこと、アンタも知ってるんだろ？			もちろん、貴族だからと言って、全員がクソ野郎じゃないことくらい、わかってるよ。この銃をくれた奴のこと、アンタも知ってるんだろ？			変革への一歩							
……ま、しみったれた身の上話はここまでだ。イシュガルドを変えるため、やってやろうじゃないのさ。			……ま、しみったれた身の上話はここまでだ。イシュガルドを変えるため、やってやろうじゃないのさ。			変革への一歩							
なんとか撃退できたが……やはり、神殿騎士団の一部は教皇側に付いたか……。			なんとか撃退できたが……やはり、神殿騎士団の一部は教皇側に付いたか……。			変革への一歩							
ご無事でなによりでっす！それにしても、あの蒼天騎士……何だか物凄く気持ち悪かったでっす。			ご無事でなによりでっす！それにしても、あの蒼天騎士……何だか物凄く気持ち悪かったでっす。			変革への一歩							
お前ら、やるじゃねぇか！			お前ら、やるじゃねぇか！			変革への一歩							
蒼天騎士をブチのめすなんてよ……。見ていて最高にスカッとしたぜ！！			蒼天騎士をブチのめすなんてよ……。見ていて最高にスカッとしたぜ！！			変革への一歩							
乗り込む前に一戦交えることになるとは……。これで相手も、防備を固めることになるだろう。			乗り込む前に一戦交えることになるとは……。これで相手も、防備を固めることになるだろう。			変革への一歩							
先ほどの蒼天騎士は、シャリベル卿……苛烈な異端審問で功績を挙げたゲス野郎だ。			先ほどの蒼天騎士は、シャリベル卿……苛烈な異端審問で功績を挙げたゲス野郎だ。			変革への一歩							
蒼天騎士シャリベルを倒せ！			蒼天騎士シャリベルを倒せ！			変革への一歩							
蒼天騎士様、直々の登場とは恐れ入る！相手にとって不足はないよ！			蒼天騎士様、直々の登場とは恐れ入る！相手にとって不足はないよ！			変革への一歩							
少しばかり、遊んでアゲる……。さあ、神殿騎士の皆さん、教皇猊下への忠誠心を示しなサイ！			少しばかり、遊んでアゲる……。さあ、神殿騎士の皆さん、教皇猊下への忠誠心を示しなサイ！			変革への一歩							
シャリベル卿、我らも加勢いたします！			シャリベル卿、我らも加勢いたします！			変革への一歩							
チッ……ゾロゾロとよくもまぁ……！			チッ……ゾロゾロとよくもまぁ……！			変革への一歩							
まったく情けない子たちネェ……。アタシが力をあたえてアゲル……。			まったく情けない子たちネェ……。アタシが力をあたえてアゲル……。			変革への一歩							
心配になって来てみれば……蒼天騎士と神殿騎士が相手とは……！！			心配になって来てみれば……蒼天騎士と神殿騎士が相手とは……！！			変革への一歩							
オルシュファン卿！ありがたい、感謝する！			オルシュファン卿！ありがたい、感謝する！			変革への一歩							
おんやぁ……フォルタン家の私生児かイ？四大名家が教皇猊下に剣を向けるとは……面白いじゃナイ！			おんやぁ……フォルタン家の私生児かイ？四大名家が教皇猊下に剣を向けるとは……面白いじゃナイ！			変革への一歩							
詳しい話は後だ、たたみかけるよ！			詳しい話は後だ、たたみかけるよ！			変革への一歩							
新しい召喚法を試すときか！……来い、カーバンクル・ルビー！			新しい召喚法を試すときか！……来い、カーバンクル・ルビー！			変革への一歩							
くっ……私に、もう少し力があれば……。			くっ……私に、もう少し力があれば……。			変革への一歩							
チッ……ドブネズミが……。			チッ……ドブネズミが……。			変革への一歩							
蒼天騎士の力、ここまでとは……。			蒼天騎士の力、ここまでとは……。			変革への一歩							
スカイスチール機工房のアルフィノは、出発前にやりたいことがあるようだ。			スカイスチール機工房のアルフィノは、出発前にやりたいことがあるようだ。			いざ高空層へ							
アルフィノと話した。イシュガルド・ランディングの「シド」と話そう。			アルフィノと話した。イシュガルド・ランディングの「シド」と話そう。			いざ高空層へ							
シドと話した。彼らの準備は整っているようだ。イシュガルド・ランディングの「ウェッジ」と話し、「アバラシア雲海」の高空層へ向かおう。			シドと話した。彼らの準備は整っているようだ。イシュガルド・ランディングの「ウェッジ」と話し、「アバラシア雲海」の高空層へ向かおう。			いざ高空層へ							
ウェッジと話した。いざ、アバラシア雲海の高空層へ向かおう。			ウェッジと話した。いざ、アバラシア雲海の高空層へ向かおう。			いざ高空層へ							
アバラシア雲海の高空層に到着した。アバラシア雲海のブルーウィンドウにいる「アルフィノ」と話そう。			アバラシア雲海の高空層に到着した。アバラシア雲海のブルーウィンドウにいる「アルフィノ」と話そう。			いざ高空層へ							
アルフィノと話した。彼の話によると、高空層の浮島は、バヌバヌ族の勢力が強いそうだ。注意して、探索を開始しよう。			アルフィノと話した。彼の話によると、高空層の浮島は、バヌバヌ族の勢力が強いそうだ。注意して、探索を開始しよう。			いざ高空層へ							
イシュガルド・ランディングのシドと話す			イシュガルド・ランディングのシドと話す			いざ高空層へ							
ウェッジと話し、アバラシア雲海に向かう			ウェッジと話し、アバラシア雲海に向かう			いざ高空層へ							
アルフィノと話す			アルフィノと話す			いざ高空層へ							
よし、私は、タタルと情報共有をしてから向かう。ミンフィリアたち行方不明者の捜索の件もあるからね。			よし、私は、タタルと情報共有をしてから向かう。ミンフィリアたち行方不明者の捜索の件もあるからね。			いざ高空層へ							
君は「イシュガルド・ランディング」に向かい、一足先に、「シド」たちと合流しておいてほしい。			君は「イシュガルド・ランディング」に向かい、一足先に、「シド」たちと合流しておいてほしい。			いざ高空層へ							
きたか、Forename。ビッグスとウェッジにも声をかけておいた。こっちは準備完了だ、いつでも出せるぜ。			きたか、Forename。ビッグスとウェッジにも声をかけておいた。こっちは準備完了だ、いつでも出せるぜ。			いざ高空層へ							
後はアルフィノの到着を待てば……っと。			後はアルフィノの到着を待てば……っと。			いざ高空層へ							
タタルには事情を話し、留守を任せてきたよ。行方不明者の捜索については、ウルダハの不滅隊とも、連携して進めてくれているらしい。			タタルには事情を話し、留守を任せてきたよ。行方不明者の捜索については、ウルダハの不滅隊とも、連携して進めてくれているらしい。			いざ高空層へ							
「暁」の皆の行方については心配ではあるが、捜索はタタルやウリエンジェ、リオルたちに任せよう。私たちは、私たちができることをしなければね。			「暁」の皆の行方については心配ではあるが、捜索はタタルやウリエンジェ、リオルたちに任せよう。私たちは、私たちができることをしなければね。			いざ高空層へ							
よっしゃ、お客さん方、出発するぜ。準備ができたら、「ウェッジ」に声をかけて、「エンタープライズ」に乗ってくれ！			よっしゃ、お客さん方、出発するぜ。準備ができたら、「ウェッジ」に声をかけて、「エンタープライズ」に乗ってくれ！			いざ高空層へ							
話は親方から聞いたッス。どんな高空だって「エンタープライズ」で、送り届けてみせるッス！			話は親方から聞いたッス。どんな高空だって「エンタープライズ」で、送り届けてみせるッス！			いざ高空層へ							
聞いたぞ……オルシュファン卿のこともな……。無理だとは思うが……あまり落ち込まないでくれ。			聞いたぞ……オルシュファン卿のこともな……。無理だとは思うが……あまり落ち込まないでくれ。			いざ高空層へ							
「エンタープライズ」は、いつでも出せるッス。準備は万全ッスか？			「エンタープライズ」は、いつでも出せるッス。準備は万全ッスか？			いざ高空層へ							
