ウォーラーの残響のエレンヴィルは、仲間たちに提案したいことがあるようだ。			ウォーラーの残響のエレンヴィルは、仲間たちに提案したいことがあるようだ。			ウクラマトの平和							
肝心のエーテルシーカーと離れてしまったら、ヴァリガルマンダのエーテルを追跡できないぞ。ウォーラーの残響の前からやり直しだ。			肝心のエーテルシーカーと離れてしまったら、ヴァリガルマンダのエーテルを追跡できないぞ。ウォーラーの残響の前からやり直しだ。			追跡！ エーテルシーカー							
ウォーラーの残響前に戻っているエーテルシーカーに話しかけ、「先導」を再開させてください。			ウォーラーの残響前に戻っているエーテルシーカーに話しかけ、「先導」を再開させてください。			追跡！ エーテルシーカー							
戻ったか。気を取り直していくぞ。			戻ったか。気を取り直していくぞ。			追跡！ エーテルシーカー							
ピピピ……火属性えーてる　反応地点　ニ　到達シマシタ！追跡ヲ　終了シマス！			ピピピ……火属性えーてる　反応地点　ニ　到達シマシタ！追跡ヲ　終了シマス！			追跡！ エーテルシーカー							
どうやら、あれに反応してしまったみたいだな。			どうやら、あれに反応してしまったみたいだな。			追跡！ エーテルシーカー							
放っておいたら追跡の邪魔になる。悪いが、討伐してくれ。			放っておいたら追跡の邪魔になる。悪いが、討伐してくれ。			追跡！ エーテルシーカー							
検出スル　えーてる　ノ　属性ヲ指定シテクダサイ！			検出スル　えーてる　ノ　属性ヲ指定シテクダサイ！			追跡！ エーテルシーカー							
あいつを倒せば、別の火属性のエーテルを追えるようになる。……おたくまで火傷をしないようにだけ注意してくれ。			あいつを倒せば、別の火属性のエーテルを追えるようになる。……おたくまで火傷をしないようにだけ注意してくれ。			追跡！ エーテルシーカー							
手間かけたな。			手間かけたな。			追跡！ エーテルシーカー							
もう一度、火属性のエーテルに絞って追跡してくれ。			もう一度、火属性のエーテルに絞って追跡してくれ。			追跡！ エーテルシーカー							
了解シマシタ！火属性えーてる　ノ　検出ヲ　開始シマス！			了解シマシタ！火属性えーてる　ノ　検出ヲ　開始シマス！			追跡！ エーテルシーカー							
ピピピ……火属性えーてる　反応地点　ニ　到達シマシタ！追跡ヲ　終了シマス！			ピピピ……火属性えーてる　反応地点　ニ　到達シマシタ！追跡ヲ　終了シマス！			追跡！ エーテルシーカー							
今度はあいつか……。			今度はあいつか……。			追跡！ エーテルシーカー							
もう一度、討伐を頼めるか？			もう一度、討伐を頼めるか？			追跡！ エーテルシーカー							
検出スル　えーてる　ノ　属性ヲ指定シテクダサイ！			検出スル　えーてる　ノ　属性ヲ指定シテクダサイ！			追跡！ エーテルシーカー							
まさしくこの状況が、魔法人形を使う方法の弱点だ。はまれば一生、火属性の魔物を追いかける羽目になる。			まさしくこの状況が、魔法人形を使う方法の弱点だ。はまれば一生、火属性の魔物を追いかける羽目になる。			追跡！ エーテルシーカー							
助かった。今の戦闘で負傷したりは……おたくにかぎってはあり得ないか。			助かった。今の戦闘で負傷したりは……おたくにかぎってはあり得ないか。			追跡！ エーテルシーカー							
火属性のエーテルの追跡を再開する。そろそろ成果を挙げてくれよ。			火属性のエーテルの追跡を再開する。そろそろ成果を挙げてくれよ。			追跡！ エーテルシーカー							
了解シマシタ！火属性えーてる　ノ　検出ヲ　開始シマス！			了解シマシタ！火属性えーてる　ノ　検出ヲ　開始シマス！			追跡！ エーテルシーカー							
ピピピ……火属性えーてる　反応地点　ニ　到達シマシタ！追跡ヲ　終了シマス！			ピピピ……火属性えーてる　反応地点　ニ　到達シマシタ！追跡ヲ　終了シマス！			追跡！ エーテルシーカー							
約80年前……ヴァリガルマンダが暴れたときに穿たれたというクレーターか。この消えない火が、生体エーテルとして検知されるとはな。			約80年前……ヴァリガルマンダが暴れたときに穿たれたというクレーターか。この消えない火が、生体エーテルとして検知されるとはな。			追跡！ エーテルシーカー							
トライヨラ叙事詩では、奴が暴走すると、火は燃え続け、氷は溶けず、雷は止まなくなると詠われていた。連王はそれを逆手にとって、溶けない氷の中に封印したわけだ。			トライヨラ叙事詩では、奴が暴走すると、火は燃え続け、氷は溶けず、雷は止まなくなると詠われていた。連王はそれを逆手にとって、溶けない氷の中に封印したわけだ。			追跡！ エーテルシーカー							
前にも言ったが、この火は本当の自然現象ではなく、今も発動し続けてる魔法のようなもの……。叙事詩の内容は脚色じゃなく、事実だったってことだ。			前にも言ったが、この火は本当の自然現象ではなく、今も発動し続けてる魔法のようなもの……。叙事詩の内容は脚色じゃなく、事実だったってことだ。			追跡！ エーテルシーカー							
ヴァリガルマンダが生んだ火が生体エーテルと判定されるなら、魔法人形に読み込ませれば、検知精度も高まるはず。少し待っててくれ。			ヴァリガルマンダが生んだ火が生体エーテルと判定されるなら、魔法人形に読み込ませれば、検知精度も高まるはず。少し待っててくれ。			追跡！ エーテルシーカー							
了解だ。再開する気になったら、「千古への慰め」まで来てくれ。			了解だ。再開する気になったら、「千古への慰め」まで来てくれ。			追跡！ エーテルシーカー							
肝心のエーテルシーカーと離れてしまったら、ヴァリガルマンダのエーテルを追跡できないぞ。「千古への慰め」からやり直しだ。			肝心のエーテルシーカーと離れてしまったら、ヴァリガルマンダのエーテルを追跡できないぞ。「千古への慰め」からやり直しだ。			追跡！ エーテルシーカー							
「千古への慰め」に戻っているエーテルシーカーに話しかけ、「先導」を再開させてください。			「千古への慰め」に戻っているエーテルシーカーに話しかけ、「先導」を再開させてください。			追跡！ エーテルシーカー							
提示サレタ　さんぷるヲ　読ミ取リマシタ！検出対象　ノ　属性ばらんす　ヲ　再設定シマス！			提示サレタ　さんぷるヲ　読ミ取リマシタ！検出対象　ノ　属性ばらんす　ヲ　再設定シマス！			追跡！ エーテルシーカー							
読み込みは完了した。これでヴァリガルマンダのエーテルに絞って追跡できるはずだ。			読み込みは完了した。これでヴァリガルマンダのエーテルに絞って追跡できるはずだ。			追跡！ エーテルシーカー							
……最初からこの火の可能性に気づいてれば、おたくを何度も戦わせることもなかったな。			……最初からこの火の可能性に気づいてれば、おたくを何度も戦わせることもなかったな。			追跡！ エーテルシーカー							
悪かった、これは素直に俺の知識不足だ。次はもっと上手くやる……ガイド役だって、この旅から学んでるんだ。			悪かった、これは素直に俺の知識不足だ。次はもっと上手くやる……ガイド役だって、この旅から学んでるんだ。			追跡！ エーテルシーカー							
ウォーラーの残響のアルフィノは、ヨカフイ族たちを助けたいようだ。			ウォーラーの残響のアルフィノは、ヨカフイ族たちを助けたいようだ。			騒乱の残響							
負傷したヨカフイ族たちと話す			負傷したヨカフイ族たちと話す			騒乱の残響							
指定地点で待機			指定地点で待機			騒乱の残響							
祭拝殿の門番と話す			祭拝殿の門番と話す			騒乱の残響							
ウクラマトと話す			ウクラマトと話す			騒乱の残響							
しっかりしろ！もうすぐ癒やし手が来るからな！！			しっかりしろ！もうすぐ癒やし手が来るからな！！			騒乱の残響							
もう大丈夫よ。治癒魔法をかけたから、少し休めば立てるようになるわ。			もう大丈夫よ。治癒魔法をかけたから、少し休めば立てるようになるわ。			騒乱の残響							
シャーレアン製のポーションだ。少しずつ飲むといい。			シャーレアン製のポーションだ。少しずつ飲むといい。			騒乱の残響							
大丈夫、命に関わるような傷じゃないわ。でも、無理すれば傷口が開くから、なるべく動かないようにね。			大丈夫、命に関わるような傷じゃないわ。でも、無理すれば傷口が開くから、なるべく動かないようにね。			騒乱の残響							
ウリエンジェによると、ウォーラーの残響一帯に、強い火属性のエーテルが漂っているとのこと。ここでいったい何が……？			ウリエンジェによると、ウォーラーの残響一帯に、強い火属性のエーテルが漂っているとのこと。ここでいったい何が……？			騒乱の残響							
火傷を負ったヨカフイ族が多いようだが、石造りの建物が多いせいか、火災には至らなかったようだ。その点は不幸中の幸いと言えるかもな……。			火傷を負ったヨカフイ族が多いようだが、石造りの建物が多いせいか、火災には至らなかったようだ。その点は不幸中の幸いと言えるかもな……。			騒乱の残響							
ヴァリガルマンダの封印が解けたことは気がかりですが、今は何より、怪我人の治療が先決です。			ヴァリガルマンダの封印が解けたことは気がかりですが、今は何より、怪我人の治療が先決です。			騒乱の残響							
準備が出来ているなら、怪我をしたヨカフイ族たちに声をかけて回ってもらいたい。もしも意識のない者がいたら、私を呼んでくれ。			準備が出来ているなら、怪我をしたヨカフイ族たちに声をかけて回ってもらいたい。もしも意識のない者がいたら、私を呼んでくれ。			騒乱の残響							
それでは、私も治療に向かうよ。ひととおり見終えたら、またこの場所で集まろう。			それでは、私も治療に向かうよ。ひととおり見終えたら、またこの場所で集まろう。			騒乱の残響							
ヨカフイ族たちの救助がひととおり終わったら、先ほどの場所で集まろう。			ヨカフイ族たちの救助がひととおり終わったら、先ほどの場所で集まろう。			騒乱の残響							
お前は、さっきの……？			お前は、さっきの……？			騒乱の残響							
一瞬、辺りが赤い光に包まれたかと思ったら、身体中が熱くなって思うように動かなくなってな。いったい、何が起こったと言うのだ……？			一瞬、辺りが赤い光に包まれたかと思ったら、身体中が熱くなって思うように動かなくなってな。いったい、何が起こったと言うのだ……？			騒乱の残響							
状況はわからないが、今は傷を癒やさなければ。			状況はわからないが、今は傷を癒やさなければ。			騒乱の残響							
いてて……。			いてて……。			騒乱の残響							
肌が焼けるように熱くてね……布が触れただけでも激痛さ。とはいえ、命に関わるような状態じゃないから、ほかの人の治療を優先してあげてほしい。			肌が焼けるように熱くてね……布が触れただけでも激痛さ。とはいえ、命に関わるような状態じゃないから、ほかの人の治療を優先してあげてほしい。			騒乱の残響							
君たちがいてくれて助かったよ。			君たちがいてくれて助かったよ。			騒乱の残響							
うぅ……。			うぅ……。			騒乱の残響							
傷はたいしたことないんだが、やたらと喉が渇いてな……。まるで、身体中の水分が蒸発してしまったような気分だよ。			傷はたいしたことないんだが、やたらと喉が渇いてな……。まるで、身体中の水分が蒸発してしまったような気分だよ。			騒乱の残響							
まさか、我らが外つ国の者に助けられるとは……。			まさか、我らが外つ国の者に助けられるとは……。			騒乱の残響							
そちらは終わったようだね。意識を失っている重傷者はいなかったかい？			そちらは終わったようだね。意識を失っている重傷者はいなかったかい？			騒乱の残響							
そうか……！それならひと安心だよ。			そうか……！それならひと安心だよ。			騒乱の残響							
こっちも怪我人の手当てが終わったぜ。			こっちも怪我人の手当てが終わったぜ。			騒乱の残響							
負傷者の大半が、多かれ少なかれ火傷を負っていたわ。いったい、この集落で何があったというの？			負傷者の大半が、多かれ少なかれ火傷を負っていたわ。いったい、この集落で何があったというの？			騒乱の残響							
詳しいことは、私にも……。			詳しいことは、私にも……。			騒乱の残響							
ウォーコー・ゾーモーに現れたヨカフイ族……ヴォーポーローの、負傷した部下の治療を終えたあと、エーテルの高まりを感じて急行したら、この惨状でしたから。			ウォーコー・ゾーモーに現れたヨカフイ族……ヴォーポーローの、負傷した部下の治療を終えたあと、エーテルの高まりを感じて急行したら、この惨状でしたから。			騒乱の残響							
集落の負傷者に声をかけたところ、ヴァリガルマンダの封印が解けたとうわごとを言っていてね。至急、君たちに連絡を入れたのさ。			集落の負傷者に声をかけたところ、ヴァリガルマンダの封印が解けたとうわごとを言っていてね。至急、君たちに連絡を入れたのさ。			騒乱の残響							
そういうことなら、状況を詳しく確認したいところね。			そういうことなら、状況を詳しく確認したいところね。			騒乱の残響							
ああ、ヴァリガルマンダを封印してた、カーリョーザー祭拝殿に行ってみようぜ！！「祭拝殿の門番」と話せば、中に入れてくれるだろ！			ああ、ヴァリガルマンダを封印してた、カーリョーザー祭拝殿に行ってみようぜ！！「祭拝殿の門番」と話せば、中に入れてくれるだろ！			騒乱の残響							
いったい何が起きたのか、祭拝殿に行けばはっきりするはずだ！			いったい何が起きたのか、祭拝殿に行けばはっきりするはずだ！			騒乱の残響							
封印に綻びが生じているとは聞いていたけれど、あと数年は保つだろうと思っていたわ。なのに、どうして……。			封印に綻びが生じているとは聞いていたけれど、あと数年は保つだろうと思っていたわ。なのに、どうして……。			騒乱の残響							
祭司長グーフールーもここに戻ってきてるはずだ。何かしら情報を得られてるといいが。			祭司長グーフールーもここに戻ってきてるはずだ。何かしら情報を得られてるといいが。			騒乱の残響							
いっそ、何かの間違いであってくれればいいのだが……この状況では望むべくもなさそうだ。			いっそ、何かの間違いであってくれればいいのだが……この状況では望むべくもなさそうだ。			騒乱の残響							
あれこれ推測していても仕方がないわ。まずは祭拝殿の中を見てみましょう。			あれこれ推測していても仕方がないわ。まずは祭拝殿の中を見てみましょう。			騒乱の残響							
祭司長はすでにお戻りになっています。さあ、どうぞ中へ……！			祭司長はすでにお戻りになっています。さあ、どうぞ中へ……！			騒乱の残響							
ふたりの術者がまったく同時に火の魔法を放つ……そんなこと、同じ身体を共有する双頭でもなければ不可能だわ。			ふたりの術者がまったく同時に火の魔法を放つ……そんなこと、同じ身体を共有する双頭でもなければ不可能だわ。			騒乱の残響							
まったく……ガイド役を任されはしたが、ヴァリガルマンダの追跡なんて聞いてないぞ。奴を放っておくわけにはいかないってことには、同意するが。			まったく……ガイド役を任されはしたが、ヴァリガルマンダの追跡なんて聞いてないぞ。奴を放っておくわけにはいかないってことには、同意するが。			騒乱の残響							
生ける天災とも呼ばれる存在を解き放つ者が、王位を得てしまったら、この国はどうなるか……。			生ける天災とも呼ばれる存在を解き放つ者が、王位を得てしまったら、この国はどうなるか……。			騒乱の残響							
バクージャジャの奴……どこまでもやり方が汚いんだから！何が祝福の兄弟よ！			バクージャジャの奴……どこまでもやり方が汚いんだから！何が祝福の兄弟よ！			騒乱の残響							
それで、エレンヴィル。ヴァリガルマンダを追う方法はねぇのか？			それで、エレンヴィル。ヴァリガルマンダを追う方法はねぇのか？			騒乱の残響							
目撃情報と地形その他を照らし合わせながら、移動ルートを推測する方法が、もっとも確実だが……その分、時間はかかる。			目撃情報と地形その他を照らし合わせながら、移動ルートを推測する方法が、もっとも確実だが……その分、時間はかかる。			騒乱の残響							
あとはもうひとつ……。あまり確実とは言えないが、上手くいけば、より早く奴の足取りを掴めるかもしれない手がある。			あとはもうひとつ……。あまり確実とは言えないが、上手くいけば、より早く奴の足取りを掴めるかもしれない手がある。			騒乱の残響							
ヴァリガルマンダは、種の限界を超えたトラルヴィドラールではあるが、それでも、俺たちと同じ生物であることに違いない。			ヴァリガルマンダは、種の限界を超えたトラルヴィドラールではあるが、それでも、俺たちと同じ生物であることに違いない。			騒乱の残響							
つまり、奴の身体にもエーテルが宿っていて、固有の属性バランスを帯びてるはず……。なら、こいつが使えるかもしれん。			つまり、奴の身体にもエーテルが宿っていて、固有の属性バランスを帯びてるはず……。なら、こいつが使えるかもしれん。			騒乱の残響							
おい、なんだよそれ！指の人形なんか出して、こんなときにふざけてんのか！？			おい、なんだよそれ！指の人形なんか出して、こんなときにふざけてんのか！？			騒乱の残響							
ふざけちゃいない。こいつは、エーテルを検知する魔法人形……生き物を扱うグリーナーの、立派な仕事道具だ。			ふざけちゃいない。こいつは、エーテルを検知する魔法人形……生き物を扱うグリーナーの、立派な仕事道具だ。			騒乱の残響							
へ、へえ……便利なもん持ってるじゃねぇか……。			へ、へえ……便利なもん持ってるじゃねぇか……。			騒乱の残響							
こいつなら、特定の属性の生体エーテルを追跡できるが……ヴァリガルマンダは、火、氷、雷の3つの属性を操ると言う。問題は、どの属性に限定して追わせるか……。			こいつなら、特定の属性の生体エーテルを追跡できるが……ヴァリガルマンダは、火、氷、雷の3つの属性を操ると言う。問題は、どの属性に限定して追わせるか……。			騒乱の残響							
思い出してみてくれ。ヨカフイ族たちは、一様に火傷を負っていた。			思い出してみてくれ。ヨカフイ族たちは、一様に火傷を負っていた。			騒乱の残響							
つまり、ヴァリガルマンダは強烈な火属性の魔力を、放射した可能性が高い、ということだ。			つまり、ヴァリガルマンダは強烈な火属性の魔力を、放射した可能性が高い、ということだ。			騒乱の残響							
氷漬けにされたヴァリガルマンダを目覚めさせるために、バクージャジャは、火属性の魔力を高めさせたのだろう。			氷漬けにされたヴァリガルマンダを目覚めさせるために、バクージャジャは、火属性の魔力を高めさせたのだろう。			騒乱の残響							
なら、火属性のエーテルに絞って追跡させよう。			なら、火属性のエーテルに絞って追跡させよう。			騒乱の残響							
ただし、この魔法人形は万能ってわけじゃない。今回は追跡対象の情報を、予め入力できてはいないし、火属性の生体エーテルなら、どんなものにも反応しちまうはずだ。			ただし、この魔法人形は万能ってわけじゃない。今回は追跡対象の情報を、予め入力できてはいないし、火属性の生体エーテルなら、どんなものにも反応しちまうはずだ。			騒乱の残響							
確実だけど時間のかかる、情報をもとにした追跡方法と、上手くいけば早期発見が可能な、魔法人形に頼った方法……ここは、ふたつのやり方を並行して進めるのが良さそうね。			確実だけど時間のかかる、情報をもとにした追跡方法と、上手くいけば早期発見が可能な、魔法人形に頼った方法……ここは、ふたつのやり方を並行して進めるのが良さそうね。			騒乱の残響							
どっちかが上手くいけばいいってわけだな！			どっちかが上手くいけばいいってわけだな！			騒乱の残響							
だったら、おたくは俺と来てくれ。魔法人形は火属性の魔物や魔法生物にも反応する可能性がある。万が一のときのために、戦える奴がほしい。			だったら、おたくは俺と来てくれ。魔法人形は火属性の魔物や魔法生物にも反応する可能性がある。万が一のときのために、戦える奴がほしい。			騒乱の残響							
なら、残りの面子は集落で聞き込みね。目撃情報が多ければ多いほど、追跡の確度も高まるはずだもの。			なら、残りの面子は集落で聞き込みね。目撃情報が多ければ多いほど、追跡の確度も高まるはずだもの。			騒乱の残響							
私は、ヨカフイ族の治療を続けていても構わないだろうか？大怪我を負っている者は少ないようだが、ヴァリガルマンダから受けた傷となれば油断しないほうがいい。			私は、ヨカフイ族の治療を続けていても構わないだろうか？大怪我を負っている者は少ないようだが、ヴァリガルマンダから受けた傷となれば油断しないほうがいい。			騒乱の残響							
異変が生じてもすぐに対応できるよう、この場に留まって、経過を観察しておこう。			異変が生じてもすぐに対応できるよう、この場に留まって、経過を観察しておこう。			騒乱の残響							
それじゃ、みんな頼んだぞ！			それじゃ、みんな頼んだぞ！			騒乱の残響							
俺たちも行くとするか。			俺たちも行くとするか。			騒乱の残響							
ウォーコー・ゾーモー前のウクラマトは、山頂を見上げている。			ウォーコー・ゾーモー前のウクラマトは、山頂を見上げている。			祭司長グーフールー							
ウォーコー・ゾーモーの前で、ヴォーポーローを筆頭としたチーワグー塩田のヨカフイ族がウクラマトを狙って現れた。ウクラマトが対話を試みていると、怪鳥が現れてヨカフイ族を襲う。咄嗟にヨカフイ族をかばうウクラマトの行動に疑問を感じたヴォーポーローに、何のつもりだと尋ねられたウクラマトは、お前らを好きになりたいからだと真っ直ぐに答える。連王の選者である祭司長グーフールーに出会うべく、仲間とともに「ウォーコー・ゾーモー」の山頂を目指そう。※進入地点付近にいる仲間たちと話し「パーティを編成して突入」するか、メインコマンドの「コンテンツサポーター」を選ぶことで、仲間NPCと一緒に攻略ができます。※プレイヤー同士のパーティで攻略する場合は、コンテンツファインダーから攻略に参加してください。			ウォーコー・ゾーモーの前で、ヴォーポーローを筆頭としたチーワグー塩田のヨカフイ族がウクラマトを狙って現れた。ウクラマトが対話を試みていると、怪鳥が現れてヨカフイ族を襲う。咄嗟にヨカフイ族をかばうウクラマトの行動に疑問を感じたヴォーポーローに、何のつもりだと尋ねられたウクラマトは、お前らを好きになりたいからだと真っ直ぐに答える。連王の選者である祭司長グーフールーに出会うべく、仲間とともに「ウォーコー・ゾーモー」の山頂を目指そう。※進入地点付近にいる仲間たちと話し「パーティを編成して突入」するか、メインコマンドの「コンテンツサポーター」を選ぶことで、仲間NPCと一緒に攻略ができます。※プレイヤー同士のパーティで攻略する場合は、コンテンツファインダーから攻略に参加してください。			祭司長グーフールー							
ウォーコー・ゾーモーの山頂にて、祭司長グーフールーに力を示した。「墓の試練」を超えた証を受け取ろう。			ウォーコー・ゾーモーの山頂にて、祭司長グーフールーに力を示した。「墓の試練」を超えた証を受け取ろう。			祭司長グーフールー							
「墓の試練」を超えて秘石を受け取ったあと、グーフールーにグルージャジャたちの生前墓を案内してもらった。ウクラマトは墓に刻まれた言葉を見て自身の平和の形について悩むが、冒険者の言葉を受けて自分のやり方で平和を護ることを決める。そこへアルフィノから、ヴァリガルマンダの封印が解けたとリンクパール通信が入った。オルコ・パチャのウォーラーの残響にいる「アルフィノ」と話そう。			「墓の試練」を超えて秘石を受け取ったあと、グーフールーにグルージャジャたちの生前墓を案内してもらった。ウクラマトは墓に刻まれた言葉を見て自身の平和の形について悩むが、冒険者の言葉を受けて自分のやり方で平和を護ることを決める。そこへアルフィノから、ヴァリガルマンダの封印が解けたとリンクパール通信が入った。オルコ・パチャのウォーラーの残響にいる「アルフィノ」と話そう。			祭司長グーフールー							
ウォーラーの残響に戻ると、ヨカフイ族たちが倒れていた。準備ができ次第、手当に回ろう。			ウォーラーの残響に戻ると、ヨカフイ族たちが倒れていた。準備ができ次第、手当に回ろう。			祭司長グーフールー							
「山嶺登頂 ウォーコー・ゾーモー」を攻略			「山嶺登頂 ウォーコー・ゾーモー」を攻略			祭司長グーフールー							
アルフィノと話す			アルフィノと話す			祭司長グーフールー							
これが、ウォーコー・ゾーモー……近くで見ると、その高さに圧倒されるわね。			これが、ウォーコー・ゾーモー……近くで見ると、その高さに圧倒されるわね。			祭司長グーフールー							
今回ばかりは、俺のガイドは期待しないでくれ。秘境であるウォーコー・ゾーモーについて書かれた文献は、トライヨラにも、ほとんど存在しないんだ。			今回ばかりは、俺のガイドは期待しないでくれ。秘境であるウォーコー・ゾーモーについて書かれた文献は、トライヨラにも、ほとんど存在しないんだ。			祭司長グーフールー							
ウクラマトには簡単な治癒魔法をかけておいたよ。ここまでの険しい山道で、足腰に限界がきていたみたいだからね。			ウクラマトには簡単な治癒魔法をかけておいたよ。ここまでの険しい山道で、足腰に限界がきていたみたいだからね。			祭司長グーフールー							
山頂を目指す道中で、バクージャジャたちと出くわすかもしれないわね。そのときは、コザマル・カでの借りを返してあげないと！			山頂を目指す道中で、バクージャジャたちと出くわすかもしれないわね。そのときは、コザマル・カでの借りを返してあげないと！			祭司長グーフールー							
一族の悲願を叶える、その先駆けとしてトライヨラの王女の命を奪うはずが、逆に助けられるとは、何たる不覚……。			一族の悲願を叶える、その先駆けとしてトライヨラの王女の命を奪うはずが、逆に助けられるとは、何たる不覚……。			祭司長グーフールー							
この借りを返さないうちには、貴様らの仲間に手を出しはせん。			この借りを返さないうちには、貴様らの仲間に手を出しはせん。			祭司長グーフールー							
彼の手当ては任せてくれ。「墓の試練」の方は皆に頼んだよ。			彼の手当ては任せてくれ。「墓の試練」の方は皆に頼んだよ。			祭司長グーフールー							
わかってると思うが、俺は戦えないんでね。せいぜい、邪魔にならないように後方をついていくさ。			わかってると思うが、俺は戦えないんでね。せいぜい、邪魔にならないように後方をついていくさ。			祭司長グーフールー							
どうする？			どうする？			祭司長グーフールー							
話す			話す			祭司長グーフールー							
パーティを編成して突入			パーティを編成して突入			祭司長グーフールー							
キャンセル			キャンセル			祭司長グーフールー							
待ってろよ、グーフールー！			待ってろよ、グーフールー！			祭司長グーフールー							
さっきの鳥の魔物は、この山を縄張りにしているのかもしれないわ。注意しておきましょう。			さっきの鳥の魔物は、この山を縄張りにしているのかもしれないわ。注意しておきましょう。			祭司長グーフールー							
イフイカ・トゥムではエレンヴィルの護衛役だったけど、今回は存分にやらせてもらうわ！			イフイカ・トゥムではエレンヴィルの護衛役だったけど、今回は存分にやらせてもらうわ！			祭司長グーフールー							
しっかりしろ！もうすぐ癒やし手が来るからな！！			しっかりしろ！もうすぐ癒やし手が来るからな！！			祭司長グーフールー							
もう大丈夫よ。治癒魔法をかけたから、少し休めば立てるようになるわ。			もう大丈夫よ。治癒魔法をかけたから、少し休めば立てるようになるわ。			祭司長グーフールー							
シャーレアン製のポーションだ。少しずつ飲むといい。			シャーレアン製のポーションだ。少しずつ飲むといい。			祭司長グーフールー							
大丈夫、命に関わるような傷じゃないわ。でも、無理すれば傷口が開くから、なるべく動かないようにね。			大丈夫、命に関わるような傷じゃないわ。でも、無理すれば傷口が開くから、なるべく動かないようにね。			祭司長グーフールー							
ウリエンジェによると、ウォーラーの残響一帯に、強い火属性のエーテルが漂っているとのこと。ここでいったい何が……？			ウリエンジェによると、ウォーラーの残響一帯に、強い火属性のエーテルが漂っているとのこと。ここでいったい何が……？			祭司長グーフールー							
火傷を負ったヨカフイ族が多いようだが、石造りの建物が多いせいか、火災には至らなかったようだ。その点は不幸中の幸いと言えるかもな……。			火傷を負ったヨカフイ族が多いようだが、石造りの建物が多いせいか、火災には至らなかったようだ。その点は不幸中の幸いと言えるかもな……。			祭司長グーフールー							
ヴァリガルマンダの封印が解けたことは気がかりですが、今は何より、怪我人の治療が先決です。			ヴァリガルマンダの封印が解けたことは気がかりですが、今は何より、怪我人の治療が先決です。			祭司長グーフールー							
君も戻ったか。			君も戻ったか。			祭司長グーフールー							
この状況を説明したいのはやまやまだが、急激なエーテルの高まりを感じて戻ってきたときには、すでにヨカフイ族たちが倒れていたんだ。			この状況を説明したいのはやまやまだが、急激なエーテルの高まりを感じて戻ってきたときには、すでにヨカフイ族たちが倒れていたんだ。			祭司長グーフールー							
今、皆が手分けしてヨカフイ族の手当をしている。ウォーコー・ゾーモーから戻ったばかりで疲れているだろうが、準備が出来次第、君の力も貸してくれ。			今、皆が手分けしてヨカフイ族の手当をしている。ウォーコー・ゾーモーから戻ったばかりで疲れているだろうが、準備が出来次第、君の力も貸してくれ。			祭司長グーフールー							
「山嶺登頂 ウォーコー・ゾーモー」に、仲間NPCの幻体を連れて、突入できるようになりました！「コンテンツ情報」の「フェイス」から、挑戦が可能です。			「山嶺登頂 ウォーコー・ゾーモー」に、仲間NPCの幻体を連れて、突入できるようになりました！「コンテンツ情報」の「フェイス」から、挑戦が可能です。			祭司長グーフールー							
朋友の灯火のウクラマトは、ヨカフイ族の集落へ向かいたいようだ。			朋友の灯火のウクラマトは、ヨカフイ族の集落へ向かいたいようだ。			記憶の民、ヨカフイ族							
ヨカフイ族の集落には山道を進んでいくようだ。コザマル・カのアースンシャイア西にいる「ウクラマト」と話そう。			ヨカフイ族の集落には山道を進んでいくようだ。コザマル・カのアースンシャイア西にいる「ウクラマト」と話そう。			記憶の民、ヨカフイ族							
ウクラマトは秘石を奪われた件について立ち直ったようだ。オルコ・パチャの万ヶ踏跡にいる「エレンヴィル」と話そう。			ウクラマトは秘石を奪われた件について立ち直ったようだ。オルコ・パチャの万ヶ踏跡にいる「エレンヴィル」と話そう。			記憶の民、ヨカフイ族							
エレンヴィルと話した。オルコ・パチャのウォーラーの残響にいる「ウクラマト」と話そう。			エレンヴィルと話した。オルコ・パチャのウォーラーの残響にいる「ウクラマト」と話そう。			記憶の民、ヨカフイ族							
ヨカフイ族の集落であるウォーラーの残響に到着した。彼らはヴァリガルマンダの封印を見守っているらしい。連王の選者を探すため、オルコ・パチャのカーリョーザー祭拝殿前にいる「ウクラマト」と話そう。			ヨカフイ族の集落であるウォーラーの残響に到着した。彼らはヴァリガルマンダの封印を見守っているらしい。連王の選者を探すため、オルコ・パチャのカーリョーザー祭拝殿前にいる「ウクラマト」と話そう。			記憶の民、ヨカフイ族							
カーリョーザー祭拝殿には、氷漬けのヴァリガルマンダが封印されていた。約80年前、グルージャジャが仲間とともにヴァリガルマンダと戦い、最終的にヴァリガルマンダ自身の魔力を暴走させて封印したらしい。話を聞かせてくれた祭司ズームーウーから、グーフールーを見つけだすことが「墓の試練」であると聞けた。ウォーラーの残響の「ウクラマト」と話そう。			カーリョーザー祭拝殿には、氷漬けのヴァリガルマンダが封印されていた。約80年前、グルージャジャが仲間とともにヴァリガルマンダと戦い、最終的にヴァリガルマンダ自身の魔力を暴走させて封印したらしい。話を聞かせてくれた祭司ズームーウーから、グーフールーを見つけだすことが「墓の試練」であると聞けた。ウォーラーの残響の「ウクラマト」と話そう。			記憶の民、ヨカフイ族							
ウクラマトと話した。彼女はヴァリガルマンダが解放されたときのことを考えているようだ。			ウクラマトと話した。彼女はヴァリガルマンダが解放されたときのことを考えているようだ。			記憶の民、ヨカフイ族							
