エバーキープ前のウクラマトは、冒険者たちに頼みがあるようだ。			エバーキープ前のウクラマトは、冒険者たちに頼みがあるようだ。			護る者、壊す者							
最初は、酔いがまわりすぎただけかと思ったが、あまりの迫力っぷりに怖くなって駆け出したのじゃ！			最初は、酔いがまわりすぎただけかと思ったが、あまりの迫力っぷりに怖くなって駆け出したのじゃ！			贈り物には毒を込めて							
浜辺ですっかり包囲されてワシがうろたえておると、どこからともなく聞こえてくる、女と男の笑い声！まさにこの世の終わりかと思ったぞ……。			浜辺ですっかり包囲されてワシがうろたえておると、どこからともなく聞こえてくる、女と男の笑い声！まさにこの世の終わりかと思ったぞ……。			贈り物には毒を込めて							
(-？？？？-)そんな様子のおかしいゲゲルジュの旦那を一喝して、正気を取り戻させたのが俺、というわけだ。			(-？？？？-)そんな様子のおかしいゲゲルジュの旦那を一喝して、正気を取り戻させたのが俺、というわけだ。			贈り物には毒を込めて							
状況からして、ワインに一服盛られたのは間違いない。ま、ボトル1本飲み干したあとのことだから、今となっては調べようもないがな。			状況からして、ワインに一服盛られたのは間違いない。ま、ボトル1本飲み干したあとのことだから、今となっては調べようもないがな。			贈り物には毒を込めて							
カワイコちゃんからの差し入れだったからな、ついつい油断してしまったのう～！			カワイコちゃんからの差し入れだったからな、ついつい油断してしまったのう～！			贈り物には毒を込めて							
レインキャッチャー樹林のほうで、魔法人形がうろついてたって目撃情報が入っている。探してる連中のものかはわからないがな。			レインキャッチャー樹林のほうで、魔法人形がうろついてたって目撃情報が入っている。探してる連中のものかはわからないがな。			贈り物には毒を込めて							
どうする、お前たちで調べに行ってみるか？頼めるなら、こっちとしても助かるが。			どうする、お前たちで調べに行ってみるか？頼めるなら、こっちとしても助かるが。			贈り物には毒を込めて							
情報をもらえて助かったわ。わかったことがあれば、あとで伝えにくるわね。			情報をもらえて助かったわ。わかったことがあれば、あとで伝えにくるわね。			贈り物には毒を込めて							
ああ、よろしく頼むぞ。			ああ、よろしく頼むぞ。			贈り物には毒を込めて							
それじゃあ、出発する前に、さっきの場所で、軽く打ち合わせをしましょう。			それじゃあ、出発する前に、さっきの場所で、軽く打ち合わせをしましょう。			贈り物には毒を込めて							
状況からして、エルレットたちの仕業で間違いなさそうね。キャンプ・ブロンズレイクでは幻覚で笑わせていたけど、ここでは怖がらせていたと……。			状況からして、エルレットたちの仕業で間違いなさそうね。キャンプ・ブロンズレイクでは幻覚で笑わせていたけど、ここでは怖がらせていたと……。			贈り物には毒を込めて							
同じ幻覚毒なのかと思ったけど、ワインに盛られた毒は、温泉で使われたものとは違うのかも。			同じ幻覚毒なのかと思ったけど、ワインに盛られた毒は、温泉で使われたものとは違うのかも。			贈り物には毒を込めて							
だとしたら、エルレットが祭器の力で扱える毒の種類は、どんどん増えていってる、ということになるわ。今後はより慎重に彼女たちを追わないとね。			だとしたら、エルレットが祭器の力で扱える毒の種類は、どんどん増えていってる、ということになるわ。今後はより慎重に彼女たちを追わないとね。			贈り物には毒を込めて							
ひとまずは「レインキャッチャー樹林」という場所で、魔法人形を探してみましょう。			ひとまずは「レインキャッチャー樹林」という場所で、魔法人形を探してみましょう。			贈り物には毒を込めて							
きっと襲ってくるだろうから、とっちめてやれば、何か手がかりが得られるかもしれないわ。			きっと襲ってくるだろうから、とっちめてやれば、何か手がかりが得られるかもしれないわ。			贈り物には毒を込めて							
見つけた人形を片付けてみたものの、結局ここで何をしていたのか、わからずじまいだったわ。アナタも、周辺を調べてみてもらえる？			見つけた人形を片付けてみたものの、結局ここで何をしていたのか、わからずじまいだったわ。アナタも、周辺を調べてみてもらえる？			贈り物には毒を込めて							
戦闘音を聞きつけたのか、さらに魔法人形が現れた！			戦闘音を聞きつけたのか、さらに魔法人形が現れた！			贈り物には毒を込めて							
このあたりにいる人形は、ひととおり倒せたみたい。ただ、何をしていたのか手がかりが掴めなくて……アナタのほうはどうだった？			このあたりにいる人形は、ひととおり倒せたみたい。ただ、何をしていたのか手がかりが掴めなくて……アナタのほうはどうだった？			贈り物には毒を込めて							
これは、記録……？バイルブランド島の川について、調査をしていたみたいね。			これは、記録……？バイルブランド島の川について、調査をしていたみたいね。			贈り物には毒を込めて							
たしかに、ワタシが見つけた人形も水辺をウロウロしていたわ。キャンプ・ブロンズレイクでは温泉に毒を付与していたから、今度は川に……？			たしかに、ワタシが見つけた人形も水辺をウロウロしていたわ。キャンプ・ブロンズレイクでは温泉に毒を付与していたから、今度は川に……？			贈り物には毒を込めて							
いけない、下がって！			いけない、下がって！			贈り物には毒を込めて							
お姉さん、耐えるね～！そこに隠してた魔法人形には、かなり強い麻痺毒を仕込んだのに。			お姉さん、耐えるね～！そこに隠してた魔法人形には、かなり強い麻痺毒を仕込んだのに。			贈り物には毒を込めて							
お姉さんの集落、周辺が毒まみれでしたからね。彼女も僕と同じで、耐性があるのかもしれないですよ。			お姉さんの集落、周辺が毒まみれでしたからね。彼女も僕と同じで、耐性があるのかもしれないですよ。			贈り物には毒を込めて							
まあ、それはともかく！お姉さんたち、もう祭器のことは諦めてくれないかなぁ？			まあ、それはともかく！お姉さんたち、もう祭器のことは諦めてくれないかなぁ？			贈り物には毒を込めて							
私としてもね、こんな風に怪我させたいわけじゃないの！ただ「イタズラ」を楽しみたいだけなのに、あんたたちが邪魔するのがいけないんだから。			私としてもね、こんな風に怪我させたいわけじゃないの！ただ「イタズラ」を楽しみたいだけなのに、あんたたちが邪魔するのがいけないんだから。			贈り物には毒を込めて							
せっかく僕が作った魔法人形も、もう何体潰されたか……。			せっかく僕が作った魔法人形も、もう何体潰されたか……。			贈り物には毒を込めて							
いいかげんにして、祭器を返しなさい。それは、アナタのような子が扱うべき物じゃないわ。			いいかげんにして、祭器を返しなさい。それは、アナタのような子が扱うべき物じゃないわ。			贈り物には毒を込めて							
怖い怖い、そうやってす～ぐ怒る！別に私、誰かを殺したりとかしたわけじゃないし、ただ楽しく遊んでるだけなのに。			怖い怖い、そうやってす～ぐ怒る！別に私、誰かを殺したりとかしたわけじゃないし、ただ楽しく遊んでるだけなのに。			贈り物には毒を込めて							
そうやって、「イタズラ」が趣味の私をみんなして責めるけど、ウチの首領は、私の個性として認めてくれたもん！自分も周囲から理解されなかったって、共感までしてくれたし！			そうやって、「イタズラ」が趣味の私をみんなして責めるけど、ウチの首領は、私の個性として認めてくれたもん！自分も周囲から理解されなかったって、共感までしてくれたし！			贈り物には毒を込めて							
だからね、周りに何と言われようと知ったこっちゃないわ！私の自由を、楽しい趣味を阻んでくるやつは、徹底的にオシオキしてやるんだから！			だからね、周りに何と言われようと知ったこっちゃないわ！私の自由を、楽しい趣味を阻んでくるやつは、徹底的にオシオキしてやるんだから！			贈り物には毒を込めて							
近々とびっきりの「イタズラ」を仕掛けるつもりだから、せいぜい楽しみに待っててね～！			近々とびっきりの「イタズラ」を仕掛けるつもりだから、せいぜい楽しみに待っててね～！			贈り物には毒を込めて							
ごめんなさい、もう大丈夫よ。			ごめんなさい、もう大丈夫よ。			贈り物には毒を込めて							
まさか、人形が草むらに隠れてたなんて……気づくのが遅れたけど、アナタが無事でよかった！			まさか、人形が草むらに隠れてたなんて……気づくのが遅れたけど、アナタが無事でよかった！			贈り物には毒を込めて							
それにしても、あの煙幕の酷いにおいは勘弁してほしいわ。これで3度目だけど、いいかげん鼻がおかしくなりそう。			それにしても、あの煙幕の酷いにおいは勘弁してほしいわ。これで3度目だけど、いいかげん鼻がおかしくなりそう。			贈り物には毒を込めて							
とりあえず、これ以上ここでできることはなさそうね。情報をゲゲルジュたちに共有するためにも、コスタ・デル・ソルまで戻りましょう。			とりあえず、これ以上ここでできることはなさそうね。情報をゲゲルジュたちに共有するためにも、コスタ・デル・ソルまで戻りましょう。			贈り物には毒を込めて							
それじゃあForename、ゲゲルジュのところへ行きましょうか。			それじゃあForename、ゲゲルジュのところへ行きましょうか。			贈り物には毒を込めて							
なんじゃ、もう戻ってくるとは早いのう～。			なんじゃ、もう戻ってくるとは早いのう～。			贈り物には毒を込めて							
Surname、レインキャッチャー樹林の状況はどうだった？			Surname、レインキャッチャー樹林の状況はどうだった？			贈り物には毒を込めて							
魔法人形で河川を調べていた……？			魔法人形で河川を調べていた……？			贈り物には毒を込めて							
彼女たちは、キャンプ・ブロンズレイクの温泉でも、毒を使った騒動を起こしている前例がある……今度は川に何かするつもりなのでしょうね。			彼女たちは、キャンプ・ブロンズレイクの温泉でも、毒を使った騒動を起こしている前例がある……今度は川に何かするつもりなのでしょうね。			贈り物には毒を込めて							
なるほど、そこが繋がっていたのか。キャンプ・ブロンズレイクでの一件は聞いていたが、ゲゲルジュの旦那に毒を盛ったヤツが、その犯人だったとはな。			なるほど、そこが繋がっていたのか。キャンプ・ブロンズレイクでの一件は聞いていたが、ゲゲルジュの旦那に毒を盛ったヤツが、その犯人だったとはな。			贈り物には毒を込めて							
やれやれ……どの川でやらかすつもりか読めないのは厄介だな。			やれやれ……どの川でやらかすつもりか読めないのは厄介だな。			贈り物には毒を込めて							
またあんな幻覚を見せられては、たまったものではない！ここは、黒渦団に一報入れておくかのう～。			またあんな幻覚を見せられては、たまったものではない！ここは、黒渦団に一報入れておくかのう～。			贈り物には毒を込めて							
ワタシ、彼女から……エルレットから、取り戻さなくてはならないものがあるの。			ワタシ、彼女から……エルレットから、取り戻さなくてはならないものがあるの。			贈り物には毒を込めて							
だから、もしこの東ラノシアで彼女たちの動きがあったら、連絡をもらえないかしら？			だから、もしこの東ラノシアで彼女たちの動きがあったら、連絡をもらえないかしら？			贈り物には毒を込めて							
ほう、訳アリってことか。			ほう、訳アリってことか。			贈り物には毒を込めて							
ぬほほほほ、カワイコちゃんのお願いなら、断る理由もないのう～！何かわかれば、使いの者を向かわせよう！			ぬほほほほ、カワイコちゃんのお願いなら、断る理由もないのう～！何かわかれば、使いの者を向かわせよう！			贈り物には毒を込めて							
カ、カワイコちゃん……。ええと、その……ありがとう、助かるわ。			カ、カワイコちゃん……。ええと、その……ありがとう、助かるわ。			贈り物には毒を込めて							
今度は荒事になってでも、エルレットたちを止めないと。いったんリムサ・ロミンサに戻って、準備を整えましょう。			今度は荒事になってでも、エルレットたちを止めないと。いったんリムサ・ロミンサに戻って、準備を整えましょう。			贈り物には毒を込めて							
Forenameのおかげで、情報提供のお願いも聞いてもらえて助かったわ。			Forenameのおかげで、情報提供のお願いも聞いてもらえて助かったわ。			贈り物には毒を込めて							
ただ、エルレットたちを取り押さえる好機だったのに、ワタシが油断したせいで……本当にごめんなさい。			ただ、エルレットたちを取り押さえる好機だったのに、ワタシが油断したせいで……本当にごめんなさい。			贈り物には毒を込めて							
でも、次はアナタの足を引っ張らないようにしてみせるわ。これ以上、祭器の奪還が遅れると、彼女の「イタズラ」でどんな被害が出るかわからないもの……。			でも、次はアナタの足を引っ張らないようにしてみせるわ。これ以上、祭器の奪還が遅れると、彼女の「イタズラ」でどんな被害が出るかわからないもの……。			贈り物には毒を込めて							
お互い腕を磨いて、しっかり準備を進めながら、ゲゲルジュからの連絡を待ちましょう。			お互い腕を磨いて、しっかり準備を進めながら、ゲゲルジュからの連絡を待ちましょう。			贈り物には毒を込めて							
イェドリマンのテペケは、手紙が届いたことを報告したいようだ。			イェドリマンのテペケは、手紙が届いたことを報告したいようだ。			人気の裏に隠された素顔							
手紙は、意識がなかったテペケの父親が目を覚ましたという知らせだった。テペケに代わり、トライヨラのシャバーブチェにいる「ズーヘ」と話そう。			手紙は、意識がなかったテペケの父親が目を覚ましたという知らせだった。テペケに代わり、トライヨラのシャバーブチェにいる「ズーヘ」と話そう。			人気の裏に隠された素顔							
テペケの父親の居場所を聞いた。シャーローニ荒野のパリヨーナン沃野で父親の「ネッゼ」を探そう。			テペケの父親の居場所を聞いた。シャーローニ荒野のパリヨーナン沃野で父親の「ネッゼ」を探そう。			人気の裏に隠された素顔							
ネッゼを襲う魔物を倒した。パリヨーナン沃野で「ネッゼ」を救助しよう。			ネッゼを襲う魔物を倒した。パリヨーナン沃野で「ネッゼ」を救助しよう。			人気の裏に隠された素顔							
ネッゼと、祭器の能力を発動させる条件について話した。ラザハンのエーテライト・プラザにいる「テペケ」と話そう。			ネッゼと、祭器の能力を発動させる条件について話した。ラザハンのエーテライト・プラザにいる「テペケ」と話そう。			人気の裏に隠された素顔							
ラザハンに現れたヴィラザーンだが、賛同を得られぬまま、祭器の能力を発動させ、その場から去っていった。ラザハンのアルザダール通りにいる「ヴィラザーンの父」から話を聞こう。			ラザハンに現れたヴィラザーンだが、賛同を得られぬまま、祭器の能力を発動させ、その場から去っていった。ラザハンのアルザダール通りにいる「ヴィラザーンの父」から話を聞こう。			人気の裏に隠された素顔							
テペケはヴィラザーンの態度に気になるところがあるようだ。イェドリマンに戻り、「テペケ」と話そう。			テペケはヴィラザーンの態度に気になるところがあるようだ。イェドリマンに戻り、「テペケ」と話そう。			人気の裏に隠された素顔							
祭器の能力は、危険を感知することで発動し、危険の大きさに応じてより大きな石を落下させられるようだ。テペケが戦いに相応しい舞台を用意する間、魔道士としての力を鍛えておこう！※いずれかの遠隔魔法DPSジョブのレベルが100以上になると、イェドリマンのテペケから次の遠隔魔法DPSロールクエストを受注することができます。			祭器の能力は、危険を感知することで発動し、危険の大きさに応じてより大きな石を落下させられるようだ。テペケが戦いに相応しい舞台を用意する間、魔道士としての力を鍛えておこう！※いずれかの遠隔魔法DPSジョブのレベルが100以上になると、イェドリマンのテペケから次の遠隔魔法DPSロールクエストを受注することができます。			人気の裏に隠された素顔							
トライヨラのズーヘと話す			トライヨラのズーヘと話す			人気の裏に隠された素顔							
パリヨーナン沃野でネッゼを探す			パリヨーナン沃野でネッゼを探す			人気の裏に隠された素顔							
ネッゼを救助			ネッゼを救助			人気の裏に隠された素顔							
ラザハンのテペケと話す			ラザハンのテペケと話す			人気の裏に隠された素顔							
ヴィラザーンの父と話す			ヴィラザーンの父と話す			人気の裏に隠された素顔							
イェドリマンのテペケと話す			イェドリマンのテペケと話す			人気の裏に隠された素顔							
本クエストを進行するためには、「メインクエスト：黄金のレガシー」の、「サカ・トラルへ」を完了する必要があります。			本クエストを進行するためには、「メインクエスト：黄金のレガシー」の、「サカ・トラルへ」を完了する必要があります。			人気の裏に隠された素顔							
ジャスティス・Ｒは、前回の一件から姿を現していません。それもあって、調査もあまり進展していないのですが……先ほど、トラル大陸から手紙が届いたんです！			ジャスティス・Ｒは、前回の一件から姿を現していません。それもあって、調査もあまり進展していないのですが……先ほど、トラル大陸から手紙が届いたんです！			人気の裏に隠された素顔							
差出人は私の母、ズーヘ……。なんとヴィラザーンの襲撃を受けて昏睡していた父が目覚め、トライヨラまで来ているそうなんです！			差出人は私の母、ズーヘ……。なんとヴィラザーンの襲撃を受けて昏睡していた父が目覚め、トライヨラまで来ているそうなんです！			人気の裏に隠された素顔							
すぐにでも会いに戻りたいのですが……祭器の奪還を誓った身としては、そうもいきません。それに星戦士団の方と、合同調査の予定も入っていますしね。			すぐにでも会いに戻りたいのですが……祭器の奪還を誓った身としては、そうもいきません。それに星戦士団の方と、合同調査の予定も入っていますしね。			人気の裏に隠された素顔							
とはいえ、父は守護役として、故郷の誰よりも祭器について詳しい人でもあります。			とはいえ、父は守護役として、故郷の誰よりも祭器について詳しい人でもあります。			人気の裏に隠された素顔							
これまでの情報を伝えれば、私たちが見落としていることに気づいてくれるかもしれません。			これまでの情報を伝えれば、私たちが見落としていることに気づいてくれるかもしれません。			人気の裏に隠された素顔							
そこでForenameさんに、お願いです！私に代わってトライヨラに向かい、父と話してきてくれませんか？なにか助言がないか聞いてきてほしいのです。			そこでForenameさんに、お願いです！私に代わってトライヨラに向かい、父と話してきてくれませんか？なにか助言がないか聞いてきてほしいのです。			人気の裏に隠された素顔							
そして、父との話が終わりましたら、ラザハンのエーテライト・プラザまでお越しください。合流して、お互いの情報を共有しましょう！			そして、父との話が終わりましたら、ラザハンのエーテライト・プラザまでお越しください。合流して、お互いの情報を共有しましょう！			人気の裏に隠された素顔							
父なら、これまで調べた内容から、なにか思い至ることがあるかもしれません。どうか、トライヨラのシャバーブチェへ！			父なら、これまで調べた内容から、なにか思い至ることがあるかもしれません。どうか、トライヨラのシャバーブチェへ！			人気の裏に隠された素顔							
あらあら、Forenameさんではありませんか！ではテペケも……それとも、おひとりでこられたのです？			あらあら、Forenameさんではありませんか！ではテペケも……それとも、おひとりでこられたのです？			人気の裏に隠された素顔							
それでは、手紙は無事に届いたのですね！あの子も元気そうで良かった……。			それでは、手紙は無事に届いたのですね！あの子も元気そうで良かった……。			人気の裏に隠された素顔							
ただあいにく、夫は今いないのです。トライヨラまでやってきたと思ったら、使命を果たさなければと、あちこち駆け回っておりまして……。			ただあいにく、夫は今いないのです。トライヨラまでやってきたと思ったら、使命を果たさなければと、あちこち駆け回っておりまして……。			人気の裏に隠された素顔							
夫の「ネッゼ」はトライヨラで、何らかの情報を掴んだようです。「シャーローニ荒野のパリヨーナン沃野を目指す」と、言っていましたので、そちらに向かうとよいでしょう。			夫の「ネッゼ」はトライヨラで、何らかの情報を掴んだようです。「シャーローニ荒野のパリヨーナン沃野を目指す」と、言っていましたので、そちらに向かうとよいでしょう。			人気の裏に隠された素顔							
旅の方でしょうか……おかげで助かりました。病み上がりで、魔物を相手取るのは無謀だったようです。			旅の方でしょうか……おかげで助かりました。病み上がりで、魔物を相手取るのは無謀だったようです。			人気の裏に隠された素顔							
なるほど、あなたがForenameさんでしたか！祭器を追ってくださっているあなたには、どれだけ感謝しても足りません。			なるほど、あなたがForenameさんでしたか！祭器を追ってくださっているあなたには、どれだけ感謝しても足りません。			人気の裏に隠された素顔							
サベネア島での出来事を教えてくださり、ありがとうございます。祭器の能力が「落石」だというのは、私も初めて知りました……。			サベネア島での出来事を教えてくださり、ありがとうございます。祭器の能力が「落石」だというのは、私も初めて知りました……。			人気の裏に隠された素顔							
実は私もこちらで、祭器に封じられた、トラルヴィドラールのことを調べていたのですよ。			実は私もこちらで、祭器に封じられた、トラルヴィドラールのことを調べていたのですよ。			人気の裏に隠された素顔							
連王による大陸統一をきっかけに、私の故郷からもトライヨラへと移住した同胞がおりました。わずかでも情報を得られればと、彼らをあたってみたのです。			連王による大陸統一をきっかけに、私の故郷からもトライヨラへと移住した同胞がおりました。わずかでも情報を得られればと、彼らをあたってみたのです。			人気の裏に隠された素顔							
あいにく、同胞たちも祭器の能力は知りませんでしたが、この荒野で、「フクロウ」の魔物を見たという者がおりましてね。			あいにく、同胞たちも祭器の能力は知りませんでしたが、この荒野で、「フクロウ」の魔物を見たという者がおりましてね。			人気の裏に隠された素顔							
そう、あの祭器に封じられたトラルヴィドラールもまた、フクロウの魔物が転じた存在……。			そう、あの祭器に封じられたトラルヴィドラールもまた、フクロウの魔物が転じた存在……。			人気の裏に隠された素顔							
つまり、元となった魔物の生態を調べることで、能力の解明につながる手がかりが得られると考えたわけです。			つまり、元となった魔物の生態を調べることで、能力の解明につながる手がかりが得られると考えたわけです。			人気の裏に隠された素顔							
先ほど、あなた自身が戦っておられたとおり、フクロウの魔物は、岩を操るような術は持っておりませんでした。トラルヴィドラールと化したあとに、獲得した能力なのでしょう。			先ほど、あなた自身が戦っておられたとおり、フクロウの魔物は、岩を操るような術は持っておりませんでした。トラルヴィドラールと化したあとに、獲得した能力なのでしょう。			人気の裏に隠された素顔							
ですが、ひとつ気付いたことがあります。あの魔物は決して、自ら人を襲うような攻撃性はなく、むしろ遠方から私を怯えた様子で見つめていたのですよ。			ですが、ひとつ気付いたことがあります。あの魔物は決して、自ら人を襲うような攻撃性はなく、むしろ遠方から私を怯えた様子で見つめていたのですよ。			人気の裏に隠された素顔							
見知らぬ存在を警戒するのは、野生の生物として当然ですが、いざ私が近づいていくと、突然に態度を変え……襲いかかってきたのです。			見知らぬ存在を警戒するのは、野生の生物として当然ですが、いざ私が近づいていくと、突然に態度を変え……襲いかかってきたのです。			人気の裏に隠された素顔							
何と言う？			何と言う？			人気の裏に隠された素顔							
危険を感じて、先制攻撃してきたのかもしれない			危険を感じて、先制攻撃してきたのかもしれない			人気の裏に隠された素顔							
逃げるよりも戦うことを選んだ？			逃げるよりも戦うことを選んだ？			人気の裏に隠された素顔							
ええ、それほどの危険を感じながらも、決して逃げず……むしろ自分から仕掛けることによって身を守ろうとしたのです。同様の性質を、トラルヴィドラールも持っていたとすれば……			ええ、それほどの危険を感じながらも、決して逃げず……むしろ自分から仕掛けることによって身を守ろうとしたのです。同様の性質を、トラルヴィドラールも持っていたとすれば……			人気の裏に隠された素顔							
そういえば、トライヨラで会った同胞が言っていました！かつて長老から聞いた祭器にまつわる逸話には、続きがあったと……。			そういえば、トライヨラで会った同胞が言っていました！かつて長老から聞いた祭器にまつわる逸話には、続きがあったと……。			人気の裏に隠された素顔							
「トラルヴィドラールが祭器に封じられたのは、　誰かに狩られたからではなく、自滅したからである……。　心を保てず、力を用いた故のことだ」と。			「トラルヴィドラールが祭器に封じられたのは、　誰かに狩られたからではなく、自滅したからである……。　心を保てず、力を用いた故のことだ」と。			人気の裏に隠された素顔							
フクロウの魔物が見せた生態と考え合わせれば……心……つまり「危険」を感じながらも、その場に留まることが、祭器発動の条件なのやもしれません！			フクロウの魔物が見せた生態と考え合わせれば……心……つまり「危険」を感じながらも、その場に留まることが、祭器発動の条件なのやもしれません！			人気の裏に隠された素顔							
この仮説を確かめるには、ジャスティス・Ｒとやらが、祭器を使う場に居合わせ、その様子を窺う必要がありますね。このことを我が娘、テペケに伝えていただけますか？			この仮説を確かめるには、ジャスティス・Ｒとやらが、祭器を使う場に居合わせ、その様子を窺う必要がありますね。このことを我が娘、テペケに伝えていただけますか？			人気の裏に隠された素顔							
ありがとうございます。親としては、すぐに駆けつけたいところなのですが、ご覧の通りの状況では、足手まといになるだけ……。			ありがとうございます。親としては、すぐに駆けつけたいところなのですが、ご覧の通りの状況では、足手まといになるだけ……。			人気の裏に隠された素顔							
どうか、娘を頼みます。魔道士としての見識で真実を見極め、祭器と共に、テペケと戻られることを祈っております。			どうか、娘を頼みます。魔道士としての見識で真実を見極め、祭器と共に、テペケと戻られることを祈っております。			人気の裏に隠された素顔							
ラザハンへと戻り、今立てた仮説をテペケにも伝えてやってください。			ラザハンへと戻り、今立てた仮説をテペケにも伝えてやってください。			人気の裏に隠された素顔							
ああ、Forenameさん！た、大変ですよ！			ああ、Forenameさん！た、大変ですよ！			人気の裏に隠された素顔							
今さっき、ラザハンの街中に、ジャスティス・Ｒが現れたと連絡が入ったんです！トライヨラでのことは後で……急いで向かいましょう！			今さっき、ラザハンの街中に、ジャスティス・Ｒが現れたと連絡が入ったんです！トライヨラでのことは後で……急いで向かいましょう！			人気の裏に隠された素顔							
ふふふ……！英雄殿からの助言もあり、素顔を晒すことに決めたが……皆、佇まいから正体を察していることであろう。			ふふふ……！英雄殿からの助言もあり、素顔を晒すことに決めたが……皆、佇まいから正体を察していることであろう。			人気の裏に隠された素顔							
私は、ジャスティス・Ｒ改め、ヴィラザーン！サベネア島を守るため、この地に舞い降りたヒーローである！			私は、ジャスティス・Ｒ改め、ヴィラザーン！サベネア島を守るため、この地に舞い降りたヒーローである！			人気の裏に隠された素顔							
最近、私の活動を自作自演と断じている者がいる！それに関連して、ウズネアカナルで不幸な事故もあったが……この場で、はっきりと宣言しておこう。			最近、私の活動を自作自演と断じている者がいる！それに関連して、ウズネアカナルで不幸な事故もあったが……この場で、はっきりと宣言しておこう。			人気の裏に隠された素顔							
すべては、私に嫉妬する不届き者の妄言！私は、皆の尊敬と愛情を集めるヒーローを目指し、真摯に活動をしているに過ぎない！			すべては、私に嫉妬する不届き者の妄言！私は、皆の尊敬と愛情を集めるヒーローを目指し、真摯に活動をしているに過ぎない！			人気の裏に隠された素顔							
おい、どうする？大した騒ぎにはなっていないが……捕らえるか？			おい、どうする？大した騒ぎにはなっていないが……捕らえるか？			人気の裏に隠された素顔							
いや……小悪党だが、奴には岩石を降らせる力があるそうだ。いったん様子を見よう……。			いや……小悪党だが、奴には岩石を降らせる力があるそうだ。いったん様子を見よう……。			人気の裏に隠された素顔							
すべての者から尊敬され、愛されたい。そうした夢を皆、一度は思い描いたことがあるだろう？			すべての者から尊敬され、愛されたい。そうした夢を皆、一度は思い描いたことがあるだろう？			人気の裏に隠された素顔							
私は、それを決して夢では終わらせない。ヒーローとなり、皆の注目を集めるようになった今こそ、さらなる飛躍を遂げるべきだと、そう考えたのだ。			私は、それを決して夢では終わらせない。ヒーローとなり、皆の注目を集めるようになった今こそ、さらなる飛躍を遂げるべきだと、そう考えたのだ。			人気の裏に隠された素顔							
今こそ宣言しよう！私はこの国の……ラザハンの「王」になる！			今こそ宣言しよう！私はこの国の……ラザハンの「王」になる！			人気の裏に隠された素顔							
……あの野郎、正気か？			……あの野郎、正気か？			人気の裏に隠された素顔							
私は、無敵の力を持っている。この国に私が君臨すれば、もはや何も恐れるものはない！			私は、無敵の力を持っている。この国に私が君臨すれば、もはや何も恐れるものはない！			人気の裏に隠された素顔							
国民は皆、私に守られ、私を尊敬し、私への愛を叫ぶ……。それこそが、新たなるラザハンの姿なのだ！			国民は皆、私に守られ、私を尊敬し、私への愛を叫ぶ……。それこそが、新たなるラザハンの姿なのだ！			人気の裏に隠された素顔							
ヴィラザーン、勝手なことを言わないでください！あなたの力で守れるのは、自分自身のみ。その力は、周囲の人をむしろ危険に晒すでしょう！			ヴィラザーン、勝手なことを言わないでください！あなたの力で守れるのは、自分自身のみ。その力は、周囲の人をむしろ危険に晒すでしょう！			人気の裏に隠された素顔							
まあ多少の被害は出るかもしれんな。だが、戦いとなれば犠牲はつきもの……。君臨する王が無事ならば、それで国は安泰であろう！			まあ多少の被害は出るかもしれんな。だが、戦いとなれば犠牲はつきもの……。君臨する王が無事ならば、それで国は安泰であろう！			人気の裏に隠された素顔							
よりによって、民を何よりも大切に想っている、ヴリトラ様が治めるこの国で、よくもあそこまで……。その厚顔無恥さだけは、恐るべきものだな。			よりによって、民を何よりも大切に想っている、ヴリトラ様が治めるこの国で、よくもあそこまで……。その厚顔無恥さだけは、恐るべきものだな。			人気の裏に隠された素顔							
おや、どうした皆の衆！誰も私の理想についてこれないか！			おや、どうした皆の衆！誰も私の理想についてこれないか！			人気の裏に隠された素顔							
だが、私は寛大だからな。皆が私の考えを受け入れ、心を改めるまで、ヒーローとして、この国を支えてやろう！			だが、私は寛大だからな。皆が私の考えを受け入れ、心を改めるまで、ヒーローとして、この国を支えてやろう！			人気の裏に隠された素顔							
嗚呼、ヴィラザーン！それ以上、馬鹿な真似をするのはやめてくれ！			嗚呼、ヴィラザーン！それ以上、馬鹿な真似をするのはやめてくれ！			人気の裏に隠された素顔							
誰も、お前の言葉など本気にしていない。今ならまだ、大した罪にも問われないだろう。どうか己の過ちを認めて、こちらに……！			誰も、お前の言葉など本気にしていない。今ならまだ、大した罪にも問われないだろう。どうか己の過ちを認めて、こちらに……！			人気の裏に隠された素顔							
ふん、綺麗事で誤魔化しながら、私に敵意を向けるか。だがその「危険」こそ、我が能力の源だと教えてやろう！			ふん、綺麗事で誤魔化しながら、私に敵意を向けるか。だがその「危険」こそ、我が能力の源だと教えてやろう！			人気の裏に隠された素顔							
何をする気か知らぬが、やめなさい。どうか、私のもとへ……。			何をする気か知らぬが、やめなさい。どうか、私のもとへ……。			人気の裏に隠された素顔							
それ以上、近づいちゃだめです！			それ以上、近づいちゃだめです！			人気の裏に隠された素顔							
おや、あなた方は……？			おや、あなた方は……？			人気の裏に隠された素顔							
わ、わわわ……！			わ、わわわ……！			人気の裏に隠された素顔							
おい、待て！ここで戦うと、市民に被害が……！			おい、待て！ここで戦うと、市民に被害が……！			人気の裏に隠された素顔							
ふん、みっともない男だ。興が削がれたな……。			ふん、みっともない男だ。興が削がれたな……。			人気の裏に隠された素顔							
