オールド・シャーレアンのノルトータは、哲学者議会の発表内容に驚いているようだ。			オールド・シャーレアンのノルトータは、哲学者議会の発表内容に驚いているようだ。			ギルドシップのモブハント（上級）							
チャーレットという人物について、「白羽根の会」と連携しながら調査を進めている。偽神獣の手がかりを得る目的も当然あるが、それだけではない。			チャーレットという人物について、「白羽根の会」と連携しながら調査を進めている。偽神獣の手がかりを得る目的も当然あるが、それだけではない。			旅立った仲間たちと共に							
獣となってしまった以上、人には戻れない。どんなに温和な人物であったとしても、自我は失われ、いつか誰かを傷つけてしまうだろう。			獣となってしまった以上、人には戻れない。どんなに温和な人物であったとしても、自我は失われ、いつか誰かを傷つけてしまうだろう。			旅立った仲間たちと共に							
そうなる前に手を下さねばならぬ。獣となってしまった者にとっても、恐らくそれが唯一の救いになるはずだ……。			そうなる前に手を下さねばならぬ。獣となってしまった者にとっても、恐らくそれが唯一の救いになるはずだ……。			旅立った仲間たちと共に							
フォルドラの捜索は、メ・ナーゴの部隊を中心に動いている。……そして、こうも伝えてある。彼女に助けを求められたときには、必ず手を貸すようにと。			フォルドラの捜索は、メ・ナーゴの部隊を中心に動いている。……そして、こうも伝えてある。彼女に助けを求められたときには、必ず手を貸すようにと。			旅立った仲間たちと共に							
では、何か進展があればすぐに知らせよう。偽神獣との決戦は近い、貴様も準備を整えておいてくれ。			では、何か進展があればすぐに知らせよう。偽神獣との決戦は近い、貴様も準備を整えておいてくれ。			旅立った仲間たちと共に							
うう、フォルドラさん……。早く戻ってきてください……。			うう、フォルドラさん……。早く戻ってきてください……。			旅立った仲間たちと共に							
黒渦団：軍令部の黒渦団の書記官は、まだ伝えられる情報はないようだ。			黒渦団：軍令部の黒渦団の書記官は、まだ伝えられる情報はないようだ。			海雄旅団の秘策							
黒渦団の書記官と話していると、ヴェイスケートからリンクパール通信が入った。偽神獣が使用する、生物のエーテルを吸収する技について、話したいことがあるようだ。東ラノシアのコスタ・デル・ソルの「ヴェイスケート」と話そう。			黒渦団の書記官と話していると、ヴェイスケートからリンクパール通信が入った。偽神獣が使用する、生物のエーテルを吸収する技について、話したいことがあるようだ。東ラノシアのコスタ・デル・ソルの「ヴェイスケート」と話そう。			海雄旅団の秘策							
ヴェイスケートは、偽神獣の技への対抗策を考えていたようだが、思いつかなかったようだ。しかし、海雄旅団において最強の存在であった、とある男を呼び戻すことができれば、偽神獣の技を阻止することも可能だという。その男と会うために、東ラノシアのブラッドショアの「指定地点」で指笛を吹こう。			ヴェイスケートは、偽神獣の技への対抗策を考えていたようだが、思いつかなかったようだ。しかし、海雄旅団において最強の存在であった、とある男を呼び戻すことができれば、偽神獣の技を阻止することも可能だという。その男と会うために、東ラノシアのブラッドショアの「指定地点」で指笛を吹こう。			海雄旅団の秘策							
指定地点で指笛を吹いて、現れたロレンスと話した。ロレンスは、偽神獣の技を封じるためには、遠方から銃撃することで、行動を妨害する必要があるが、その役割はメルウィブには向いていないという。東ラノシアの隠れ滝付近の高台で「ロレンス」と話そう。			指定地点で指笛を吹いて、現れたロレンスと話した。ロレンスは、偽神獣の技を封じるためには、遠方から銃撃することで、行動を妨害する必要があるが、その役割はメルウィブには向いていないという。東ラノシアの隠れ滝付近の高台で「ロレンス」と話そう。			海雄旅団の秘策							
ロレンスと再度話して、シルバーサンド一家海賊団の昔話を聞いた。シルバーサンド一家の首領であり、メルウィブの父のブルーフィスは、リヴァイアサンとの戦闘でテンパードにされ、逆賊として娘であるメルウィブの手で討たれたという。コスタ・デル・ソルの「ヴェイスケート」と話そう。			ロレンスと再度話して、シルバーサンド一家海賊団の昔話を聞いた。シルバーサンド一家の首領であり、メルウィブの父のブルーフィスは、リヴァイアサンとの戦闘でテンパードにされ、逆賊として娘であるメルウィブの手で討たれたという。コスタ・デル・ソルの「ヴェイスケート」と話そう。			海雄旅団の秘策							
ヴェイスケートと話した。ロレンスの協力を取り付けたことで、偽神獣への対策は整った。下甲板層の黒渦団：軍令部の「黒渦団の書記官」と話そう。			ヴェイスケートと話した。ロレンスの協力を取り付けたことで、偽神獣への対策は整った。下甲板層の黒渦団：軍令部の「黒渦団の書記官」と話そう。			海雄旅団の秘策							
黒渦団の書記官と話した。書記官は、ロレンスの名に聞き覚えがあるようだが、どこで聞いたかは思い出せないようだ。偽神獣の捜索に進展があるまで待機しよう。※いずれかの近接物理DPSジョブのレベルが90以上になると、黒渦団：軍令部の黒渦団の書記官から次の近接物理DPSロールクエストを受注することができます。			黒渦団の書記官と話した。書記官は、ロレンスの名に聞き覚えがあるようだが、どこで聞いたかは思い出せないようだ。偽神獣の捜索に進展があるまで待機しよう。※いずれかの近接物理DPSジョブのレベルが90以上になると、黒渦団：軍令部の黒渦団の書記官から次の近接物理DPSロールクエストを受注することができます。			海雄旅団の秘策							
コスタ・デル・ソルのヴェイスケートと話す			コスタ・デル・ソルのヴェイスケートと話す			海雄旅団の秘策							
指定地点で指笛を吹く			指定地点で指笛を吹く			海雄旅団の秘策							
ロレンスと話す			ロレンスと話す			海雄旅団の秘策							
ヴェイスケートと話す			ヴェイスケートと話す			海雄旅団の秘策							
黒渦団：軍令部の黒渦団の書記官と話す			黒渦団：軍令部の黒渦団の書記官と話す			海雄旅団の秘策							
どうも、Forenameさん。偽神獣の行方については、依然捜索中です。すみませんが、時間が経ってからまたお越しください。			どうも、Forenameさん。偽神獣の行方については、依然捜索中です。すみませんが、時間が経ってからまたお越しください。			海雄旅団の秘策							
(-ヴェイスケートの声-)おう、団長代行。			(-ヴェイスケートの声-)おう、団長代行。			海雄旅団の秘策							
(-ヴェイスケートの声-)例の偽神獣の技について、話したいことがあってな。悪いが、コスタ・デル・ソルまで来てくれないか？			(-ヴェイスケートの声-)例の偽神獣の技について、話したいことがあってな。悪いが、コスタ・デル・ソルまで来てくれないか？			海雄旅団の秘策							
何らかの対抗策でも思いつかれたのでしょうか？ともかく、お手数ですがコスタ・デル・ソルに向かい、「ヴェイスケート」殿から詳しい話を聞いてきてください。			何らかの対抗策でも思いつかれたのでしょうか？ともかく、お手数ですがコスタ・デル・ソルに向かい、「ヴェイスケート」殿から詳しい話を聞いてきてください。			海雄旅団の秘策							
わざわざ来てもらって悪いな。			わざわざ来てもらって悪いな。			海雄旅団の秘策							
あれから、いろいろと考えてみたんだが、例の偽神獣の技に対抗する手段は、思いつかなくてな。			あれから、いろいろと考えてみたんだが、例の偽神獣の技に対抗する手段は、思いつかなくてな。			海雄旅団の秘策							
だが、ある男を呼び戻せば、話は変わってくる。かつての海雄旅団において「最強」の存在であった、その男がいれば、例の技の発動を阻止することも可能なはずだ。			だが、ある男を呼び戻せば、話は変わってくる。かつての海雄旅団において「最強」の存在であった、その男がいれば、例の技の発動を阻止することも可能なはずだ。			海雄旅団の秘策							
なぜなら、その男は常人離れした眼を持っていてな。たった一度「視る」だけで、どんな攻撃も見切ることができるのさ。			なぜなら、その男は常人離れした眼を持っていてな。たった一度「視る」だけで、どんな攻撃も見切ることができるのさ。			海雄旅団の秘策							
リヴァイアサンやタイタンに勝利できたのも、その男の眼があればこそ……。そうでなかったなら、俺たちはとっくに全滅していただろう。			リヴァイアサンやタイタンに勝利できたのも、その男の眼があればこそ……。そうでなかったなら、俺たちはとっくに全滅していただろう。			海雄旅団の秘策							
ただ……ちょっと性格に難があってな。いや、それを言い出したら、そもそも海雄旅団自体が、問題児ばかりの集まりなんだが……。			ただ……ちょっと性格に難があってな。いや、それを言い出したら、そもそも海雄旅団自体が、問題児ばかりの集まりなんだが……。			海雄旅団の秘策							
その男は、とにかく表に出るのを嫌う性格でな。俺が何かを言ったところで、素直に助力してくれるとも思えん。			その男は、とにかく表に出るのを嫌う性格でな。俺が何かを言ったところで、素直に助力してくれるとも思えん。			海雄旅団の秘策							
だが、海雄旅団の団長代行であるお前が、「団長令」として命じれば、あるいはと思ってな……。			だが、海雄旅団の団長代行であるお前が、「団長令」として命じれば、あるいはと思ってな……。			海雄旅団の秘策							
のっぴきならない事態が起こった時、ブラッドショアの三叉路で、「三つ指笛」を吹くことで、奴は姿を現す。			のっぴきならない事態が起こった時、ブラッドショアの三叉路で、「三つ指笛」を吹くことで、奴は姿を現す。			海雄旅団の秘策							
指笛を吹くのは、いつでも構わない。どうせ、今もどこかで「視て」いるだろうからな……。			指笛を吹くのは、いつでも構わない。どうせ、今もどこかで「視て」いるだろうからな……。			海雄旅団の秘策							
いや、こっちの話だ。すまないが、頼んだぞ。			いや、こっちの話だ。すまないが、頼んだぞ。			海雄旅団の秘策							
偽神獣の行方については、依然捜索中です。すみませんが、時間が経ってからまたお越しください。			偽神獣の行方については、依然捜索中です。すみませんが、時間が経ってからまたお越しください。			海雄旅団の秘策							
(-？？？？-)やれやれ……もう二度と、表舞台に上がるつもりはなかったんだがな。			(-？？？？-)やれやれ……もう二度と、表舞台に上がるつもりはなかったんだがな。			海雄旅団の秘策							
俺は元海雄旅団の……狙撃手ロレンスだ。アンタは「エオルゼアの英雄」さんだろ？知ってるぜ、ずっと「視て」たからな。			俺は元海雄旅団の……狙撃手ロレンスだ。アンタは「エオルゼアの英雄」さんだろ？知ってるぜ、ずっと「視て」たからな。			海雄旅団の秘策							
おっと、別にアンタのことを監視してたわけじゃない。うちの団員たちが上手くやってるか見学してただけさ。			おっと、別にアンタのことを監視してたわけじゃない。うちの団員たちが上手くやってるか見学してただけさ。			海雄旅団の秘策							
それにしても、ヴェイスケートだけじゃなく、まさか「霧髭」のおっさんにまで追いかけ回されるなんてな。まったく、勘弁してほしいもんだ。			それにしても、ヴェイスケートだけじゃなく、まさか「霧髭」のおっさんにまで追いかけ回されるなんてな。まったく、勘弁してほしいもんだ。			海雄旅団の秘策							
で、ついには「エオルゼアの英雄」のご登場ってわけだ。何の用で来たのかはわかってるさ、大方、偽神獣との戦いに俺を駆り出そうってんだろ？			で、ついには「エオルゼアの英雄」のご登場ってわけだ。何の用で来たのかはわかってるさ、大方、偽神獣との戦いに俺を駆り出そうってんだろ？			海雄旅団の秘策							
何と言う？			何と言う？			海雄旅団の秘策							
団長代行として命令する、協力しろ			団長代行として命令する、協力しろ			海雄旅団の秘策							
強き力は、弱き者のために			強き力は、弱き者のために			海雄旅団の秘策							
団長代行ねぇ……ハハッ！たしかに、絶対である「団長令」を持ち出されちゃ、断るわけにもいかねぇやな。			団長代行ねぇ……ハハッ！たしかに、絶対である「団長令」を持ち出されちゃ、断るわけにもいかねぇやな。			海雄旅団の秘策							
……ハッ、その言葉を持ち出されちゃ、断る手立てが見つからねぇな。			……ハッ、その言葉を持ち出されちゃ、断る手立てが見つからねぇな。			海雄旅団の秘策							
しかしな、団長代行。協力とは言うが、俺に何をさせようってんだ？			しかしな、団長代行。協力とは言うが、俺に何をさせようってんだ？			海雄旅団の秘策							
なるほどな。偽神獣とやらに勝つためには、そいつの得意技を封じる必要がある、と。			なるほどな。偽神獣とやらに勝つためには、そいつの得意技を封じる必要がある、と。			海雄旅団の秘策							
見たところ、アンタは近接攻撃に長けていそうだ。となると遠方から銃撃し、敵の行動を妨害するのが良さそうだ。さて、その役目の適任者は誰だと思う？			見たところ、アンタは近接攻撃に長けていそうだ。となると遠方から銃撃し、敵の行動を妨害するのが良さそうだ。さて、その役目の適任者は誰だと思う？			海雄旅団の秘策							
何と言う？			何と言う？			海雄旅団の秘策							
二丁短銃使いのメルウィブが適任だ			二丁短銃使いのメルウィブが適任だ			海雄旅団の秘策							
狙撃手のロレンスが適任だ			狙撃手のロレンスが適任だ			海雄旅団の秘策							
残念だが、不正解だ。			残念だが、不正解だ。			海雄旅団の秘策							
そのとおり。さては、ヴェイスケートあたりに、俺の「眼」のことを聞いてきたな……？			そのとおり。さては、ヴェイスケートあたりに、俺の「眼」のことを聞いてきたな……？			海雄旅団の秘策							
知ってのとおり、メルウィブの射撃の腕前は、リムサ・ロミンサでも随一と言っていい。			知ってのとおり、メルウィブの射撃の腕前は、リムサ・ロミンサでも随一と言っていい。			海雄旅団の秘策							
だが、メルウィブは援護役にゃ向いてない。それはあいつの戦い方に問題が……そうだな、少し昔話をしよう。生憎ここは景色が悪い、場所を移動するぞ。			だが、メルウィブは援護役にゃ向いてない。それはあいつの戦い方に問題が……そうだな、少し昔話をしよう。生憎ここは景色が悪い、場所を移動するぞ。			海雄旅団の秘策							
ブラッドショアの三叉路で「三つ指笛」を吹けば、あの男は現れるはずだ。			ブラッドショアの三叉路で「三つ指笛」を吹けば、あの男は現れるはずだ。			海雄旅団の秘策							
来たか。ここからだと、海がよく見えるだろ？俺のお気に入りの場所なのさ。			来たか。ここからだと、海がよく見えるだろ？俺のお気に入りの場所なのさ。			海雄旅団の秘策							
それじゃ、語らせてもらうとしよう。あまり面白い話じゃないが、居眠りせずに聞いてくれよ？			それじゃ、語らせてもらうとしよう。あまり面白い話じゃないが、居眠りせずに聞いてくれよ？			海雄旅団の秘策							
昔、シルバーサンド一家って海賊団があってな。俺とメルウィブは、そこの団員だったんだ。首領のブルーフィスは、ほかでもないメルウィブの親父さんさ。			昔、シルバーサンド一家って海賊団があってな。俺とメルウィブは、そこの団員だったんだ。首領のブルーフィスは、ほかでもないメルウィブの親父さんさ。			海雄旅団の秘策							
ブルーフィスのおやっさんは、本当に真面目な人でな。海の厳しさを教えるためならば、自分の娘だろうが容赦はなかった。			ブルーフィスのおやっさんは、本当に真面目な人でな。海の厳しさを教えるためならば、自分の娘だろうが容赦はなかった。			海雄旅団の秘策							
そんなおやっさんを、一家全員が慕っていた。あんなことになるまではな……。			そんなおやっさんを、一家全員が慕っていた。あんなことになるまではな……。			海雄旅団の秘策							
第六星暦1562年のことだ。当時のリムサ・ロミンサでは、商船がサハギン族に襲われる事件が多発していた。			第六星暦1562年のことだ。当時のリムサ・ロミンサでは、商船がサハギン族に襲われる事件が多発していた。			海雄旅団の秘策							
当時、おやっさんは娘のメルウィブを、跡継ぎとして育てようと、首領の座を譲っていたんだが……まだまだ発言権は大きくてな。			当時、おやっさんは娘のメルウィブを、跡継ぎとして育てようと、首領の座を譲っていたんだが……まだまだ発言権は大きくてな。			海雄旅団の秘策							
仁義に厚いおやっさんは、海都の船を守れと俺たちに言った。メルウィブを筆頭に、一家の誰もがその声に賛同し、俺たちは連日、海に出たのさ。			仁義に厚いおやっさんは、海都の船を守れと俺たちに言った。メルウィブを筆頭に、一家の誰もがその声に賛同し、俺たちは連日、海に出たのさ。			海雄旅団の秘策							
だがある時、いつものようにサハギン族を撃退しようとした時、追い詰められた連中が、リヴァイアサンを召喚したんだ。			だがある時、いつものようにサハギン族を撃退しようとした時、追い詰められた連中が、リヴァイアサンを召喚したんだ。			海雄旅団の秘策							
俺たちは初めて見る蛮神を相手に、苦戦を強いられ、船まで沈められてな……。おやっさんが援軍を率いてこなければ、やられていただろう。			俺たちは初めて見る蛮神を相手に、苦戦を強いられ、船まで沈められてな……。おやっさんが援軍を率いてこなければ、やられていただろう。			海雄旅団の秘策							
どうにか俺たちは生き延びた……。だが、この戦いでシルバーサンド一家は致命傷を負っちまった。ブルーフィスのおやっさんが、テンパードにされちまったのさ。			どうにか俺たちは生き延びた……。だが、この戦いでシルバーサンド一家は致命傷を負っちまった。ブルーフィスのおやっさんが、テンパードにされちまったのさ。			海雄旅団の秘策							
当時はテンパードって概念すらなかったからな、困惑したもんさ。突然、おやっさんの態度が豹変して、言動もおかしくなって……ある日、部下の半数を連れて、こつ然と姿を消した。			当時はテンパードって概念すらなかったからな、困惑したもんさ。突然、おやっさんの態度が豹変して、言動もおかしくなって……ある日、部下の半数を連れて、こつ然と姿を消した。			海雄旅団の秘策							
蒼茫洋に「海蛇の舌」を名乗る海賊団が現れ、リムサ・ロミンサの船を襲い始めたのは数日後のこと。そう、おやっさんたちは、サハギン側に寝返ったんだ。			蒼茫洋に「海蛇の舌」を名乗る海賊団が現れ、リムサ・ロミンサの船を襲い始めたのは数日後のこと。そう、おやっさんたちは、サハギン側に寝返ったんだ。			海雄旅団の秘策							
身内から逆賊を出しちまったら、落とし前を付けなきゃならない。メルウィブと俺は、少数の味方を連れて、おやっさんの隠れ家へ向かった……。			身内から逆賊を出しちまったら、落とし前を付けなきゃならない。メルウィブと俺は、少数の味方を連れて、おやっさんの隠れ家へ向かった……。			海雄旅団の秘策							
二丁の短銃をぶっ放しながら突っ込むメルウィブを、俺の狙撃で支援し、道を切り開いていった。			二丁の短銃をぶっ放しながら突っ込むメルウィブを、俺の狙撃で支援し、道を切り開いていった。			海雄旅団の秘策							
ところが、その先で待っていたのは、俺たちの知る大海賊ブルーフィスとは別人の何かだった。やせ細り、眼だけぎらつかせ、水神を崇める言葉を吐いて……。			ところが、その先で待っていたのは、俺たちの知る大海賊ブルーフィスとは別人の何かだった。やせ細り、眼だけぎらつかせ、水神を崇める言葉を吐いて……。			海雄旅団の秘策							
メルウィブは、実のおやっさんに決闘を挑んだ。そして……死の制裁(デスペナルティ)を与えたのさ。			メルウィブは、実のおやっさんに決闘を挑んだ。そして……死の制裁(デスペナルティ)を与えたのさ。			海雄旅団の秘策							
その後は知ってのとおり。シルバーサンド一家を立てなおしたメルウィブは、トライデントレースに勝って、リムサ・ロミンサの提督になった。			その後は知ってのとおり。シルバーサンド一家を立てなおしたメルウィブは、トライデントレースに勝って、リムサ・ロミンサの提督になった。			海雄旅団の秘策							
二丁の短銃を手に敵陣へと突っ込む、あいつの戦い方は、一見すると無謀にも思えるが……それが、ブルーフィスのおやっさんに教わった首領の姿だったのさ。			二丁の短銃を手に敵陣へと突っ込む、あいつの戦い方は、一見すると無謀にも思えるが……それが、ブルーフィスのおやっさんに教わった首領の姿だったのさ。			海雄旅団の秘策							
だから今回も、あいつの道を作るのは俺の役割だ。「後のことは任せる」と、おやっさんからも言われてるしな。			だから今回も、あいつの道を作るのは俺の役割だ。「後のことは任せる」と、おやっさんからも言われてるしな。			海雄旅団の秘策							
問題は、団長代行として、俺に命令するほどの腕前を、アンタが持っているかだが……これまでに「視て」きた働きぶりを思えば、疑うまでもない。			問題は、団長代行として、俺に命令するほどの腕前を、アンタが持っているかだが……これまでに「視て」きた働きぶりを思えば、疑うまでもない。			海雄旅団の秘策							
今回の件、引き受けたぜ。アンタは「ヴェイスケート」に一声かけておいてくれ。それじゃあ、また後でな。			今回の件、引き受けたぜ。アンタは「ヴェイスケート」に一声かけておいてくれ。それじゃあ、また後でな。			海雄旅団の秘策							
「ロレンス」には会えたのか？自分勝手に気まぐれでやる気がなく方向音痴だが、悪い男じゃない。金遣いも荒いしすぐに消息不明になる奴だが、頼りにはなる。			「ロレンス」には会えたのか？自分勝手に気まぐれでやる気がなく方向音痴だが、悪い男じゃない。金遣いも荒いしすぐに消息不明になる奴だが、頼りにはなる。			海雄旅団の秘策							
戻ったか。ロレンスとは会えたのか？			戻ったか。ロレンスとは会えたのか？			海雄旅団の秘策							
そうか、協力をとりつけてくれたか！突拍子もない反応をすることもあるから心配していたんだが、うまく説得してくれて、感謝するぞ。			そうか、協力をとりつけてくれたか！突拍子もない反応をすることもあるから心配していたんだが、うまく説得してくれて、感謝するぞ。			海雄旅団の秘策							
だが、このことは、ほかの連中には内緒にしておいてくれ。特に、ランドゥネルにはな……。			だが、このことは、ほかの連中には内緒にしておいてくれ。特に、ランドゥネルにはな……。			海雄旅団の秘策							
何はともあれ、これで偽神獣の対策は整った。あとは網を張って、奴が引っかかるのを待つだけだな。			何はともあれ、これで偽神獣の対策は整った。あとは網を張って、奴が引っかかるのを待つだけだな。			海雄旅団の秘策							
偽神獣の捜索には、この手のことが得意な元団員にも協力を要請しておいた。じきに見つかるはずだから、待っていてくれ。			偽神獣の捜索には、この手のことが得意な元団員にも協力を要請しておいた。じきに見つかるはずだから、待っていてくれ。			海雄旅団の秘策							
それでは、黒渦団本部の書記官殿を通して、事の経緯を共有しておいてくれるか？			それでは、黒渦団本部の書記官殿を通して、事の経緯を共有しておいてくれるか？			海雄旅団の秘策							
依然偽神獣の行方は捜索中です。そちらは何か動きがありましたか？			依然偽神獣の行方は捜索中です。そちらは何か動きがありましたか？			海雄旅団の秘策							
ロレンスなる男が、海雄旅団に復帰したと……。その男の存在が、偽神獣が使う技への対策にもなるんですね。承知しました、提督には私から報告しておきます！			ロレンスなる男が、海雄旅団に復帰したと……。その男の存在が、偽神獣が使う技への対策にもなるんですね。承知しました、提督には私から報告しておきます！			海雄旅団の秘策							
偽神獣の足取りも含め、進展があり次第、お知らせいたします。			偽神獣の足取りも含め、進展があり次第、お知らせいたします。			海雄旅団の秘策							
しかし、ロレンス……どこかで聞いた名ですが……。			しかし、ロレンス……どこかで聞いた名ですが……。			海雄旅団の秘策							
黒渦団本部の書記官殿にも、情報の共有を頼んだぞ。			黒渦団本部の書記官殿にも、情報の共有を頼んだぞ。			海雄旅団の秘策							
ドマ町人地のユウギリは、冒険者を待っていたようだ。			ドマ町人地のユウギリは、冒険者を待っていたようだ。			遺品に宿る魂							
ヒエンから獣化の対策のため、ガンエン廟に民を埋葬し国葬を行うことにしたと聞いた。遺体の代わりに遺品を埋葬するため、その回収に冒険者が同行することになった。ヤンサのナマイ村にいる「ヒエン」と話そう。			ヒエンから獣化の対策のため、ガンエン廟に民を埋葬し国葬を行うことにしたと聞いた。遺体の代わりに遺品を埋葬するため、その回収に冒険者が同行することになった。ヤンサのナマイ村にいる「ヒエン」と話そう。			遺品に宿る魂							
遺品回収に同行して遺族の話を聞くことになった。ヒエンと同行して、ナマイ村の遺族たちと話そう。※同行状態が解除された場合、再度「ヒエン」に話しかけることで同行を再開できます			遺品回収に同行して遺族の話を聞くことになった。ヒエンと同行して、ナマイ村の遺族たちと話そう。※同行状態が解除された場合、再度「ヒエン」に話しかけることで同行を再開できます			遺品に宿る魂							
ヒエンの遺品回収に同行して遺族の話を聞いた。ヒエンと休憩することになった。ヤンサの玄水連山の棚田にいる「ヒエン」と話そう。			ヒエンの遺品回収に同行して遺族の話を聞いた。ヒエンと休憩することになった。ヤンサの玄水連山の棚田にいる「ヒエン」と話そう。			遺品に宿る魂							
ヒエンと話したところ、ゴウセツが現れて、ヒエンの父であるカイエンの遺品を埋葬することになった。空を飛ばないと行けない場所にあるというので、ヒエンはヨルを呼んだ。玄水連山の棚田にいる「ヒエン」と話し、梅泉郷へ向かおう。			ヒエンと話したところ、ゴウセツが現れて、ヒエンの父であるカイエンの遺品を埋葬することになった。空を飛ばないと行けない場所にあるというので、ヒエンはヨルを呼んだ。玄水連山の棚田にいる「ヒエン」と話し、梅泉郷へ向かおう。			遺品に宿る魂							
ヒエンと話し、ヨルに乗って梅泉郷へ向かった。ヒエンは埋められていた「セイテンタイセイ」の人形を掘り返した。彼が幼い頃にカイエンから与えられたものだという。ドマ町人地の「ヒエン」と話そう。			ヒエンと話し、ヨルに乗って梅泉郷へ向かった。ヒエンは埋められていた「セイテンタイセイ」の人形を掘り返した。彼が幼い頃にカイエンから与えられたものだという。ドマ町人地の「ヒエン」と話そう。			遺品に宿る魂							
ヒエンと話した。彼は遺品がすべて集まり次第、ドマの国葬を執り行うという。折を見て、またユウギリを訪ねよう。※いずれかの遠隔物理DPSジョブのレベルが90以上になると、ドマ町人地のユウギリから次の遠隔物理DPSロールクエストを受注することができます。			ヒエンと話した。彼は遺品がすべて集まり次第、ドマの国葬を執り行うという。折を見て、またユウギリを訪ねよう。※いずれかの遠隔物理DPSジョブのレベルが90以上になると、ドマ町人地のユウギリから次の遠隔物理DPSロールクエストを受注することができます。			遺品に宿る魂							
ナマイ村のヒエンと話して同行させる			ナマイ村のヒエンと話して同行させる			遺品に宿る魂							
ヒエンを連れて遺族たちと話す			ヒエンを連れて遺族たちと話す			遺品に宿る魂							
ヒエンと話す			ヒエンと話す			遺品に宿る魂							
ヒエンと再度話す			ヒエンと再度話す			遺品に宿る魂							
ドマ町人地のヒエンと話す			ドマ町人地のヒエンと話す			遺品に宿る魂							
Forename殿。海賊衆によると、あれから偽神獣の姿は目撃されていないそうだ。おそらく、我らを恐れてのことだろう。			Forename殿。海賊衆によると、あれから偽神獣の姿は目撃されていないそうだ。おそらく、我らを恐れてのことだろう。			遺品に宿る魂							
一方で、ゴウセツと共に練っていた、獣化を防ぐための方策がまとまったと聞く。ヒエン様から、説明を受けるとしよう。			一方で、ゴウセツと共に練っていた、獣化を防ぐための方策がまとまったと聞く。ヒエン様から、説明を受けるとしよう。			遺品に宿る魂							
すでに聞き及んでおるかもしれんが、帰還者たちを保護していることもあり、偽神獣に動きはない。			すでに聞き及んでおるかもしれんが、帰還者たちを保護していることもあり、偽神獣に動きはない。			遺品に宿る魂							
その間、獣化を防ぐための方策を練っておったのだが……ゴウセツ、説明を頼めるか？			その間、獣化を防ぐための方策を練っておったのだが……ゴウセツ、説明を頼めるか？			遺品に宿る魂							
トンボが語っていたように。徴用兵の遺族らは、愛する者の遺体すら戻ってこないとあって、弔うこともできておらぬ。			トンボが語っていたように。徴用兵の遺族らは、愛する者の遺体すら戻ってこないとあって、弔うこともできておらぬ。			遺品に宿る魂							
埋葬とは死者に敬意を示すと同時に、別れを告げる機会でござる。それができぬとあっては、死を受け入れることも難しい。			埋葬とは死者に敬意を示すと同時に、別れを告げる機会でござる。それができぬとあっては、死を受け入れることも難しい。			遺品に宿る魂							
そこで、わしは決意した。我が祖先の霊廟である「ガンエン廟」に、戦没者すべての魂を祀り、厳かに国葬を執り行うとな。			そこで、わしは決意した。我が祖先の霊廟である「ガンエン廟」に、戦没者すべての魂を祀り、厳かに国葬を執り行うとな。			遺品に宿る魂							
遺体なくして、いかに弔うのかと思うやもしれんが、ここ東方には物に魂が宿るという思想があってな。生前に使っていた遺品を安置しようと思う。			遺体なくして、いかに弔うのかと思うやもしれんが、ここ東方には物に魂が宿るという思想があってな。生前に使っていた遺品を安置しようと思う。			遺品に宿る魂							
すでに、国葬の開催について触れも出しておる。遺族からは賛同の声も多く、遺品の用意も進み始めているのだ。			すでに、国葬の開催について触れも出しておる。遺族からは賛同の声も多く、遺品の用意も進み始めているのだ。			遺品に宿る魂							
これより、遺品の受け取りに向かうのだが……同時に持ち主の逸話を聞いて回るつもりだ。			これより、遺品の受け取りに向かうのだが……同時に持ち主の逸話を聞いて回るつもりだ。			遺品に宿る魂							
いかに生き、いかに想われていたのかを知り、語り継ぐことこそ、死者への供養となり、遺族の慰めにもなろう。			いかに生き、いかに想われていたのかを知り、語り継ぐことこそ、死者への供養となり、遺族の慰めにもなろう。			遺品に宿る魂							
どうかそなたも、わしとともに同行してくれぬか？解放の英雄の記憶に刻まれるとあらば、喜ぶ者もいよう。			どうかそなたも、わしとともに同行してくれぬか？解放の英雄の記憶に刻まれるとあらば、喜ぶ者もいよう。			遺品に宿る魂							
ユウギリは、イサリ村を頼む。ゴウセツは……			ユウギリは、イサリ村を頼む。ゴウセツは……			遺品に宿る魂							
拙者は、野暮用がありますれば……。			拙者は、野暮用がありますれば……。			遺品に宿る魂							
あいわかった。では、Forenameよ、わしとそなたで、ナマイ村へ向かおうぞ。			あいわかった。では、Forenameよ、わしとそなたで、ナマイ村へ向かおうぞ。			遺品に宿る魂							
遺品を用意しました。ヒエン様にお渡ししたいと思います。			遺品を用意しました。ヒエン様にお渡ししたいと思います。			遺品に宿る魂							
遺品をガンエン廟に安置してくださるとは……有難き幸せに存じまする。			遺品をガンエン廟に安置してくださるとは……有難き幸せに存じまする。			遺品に宿る魂							
重かったけど、遺品を用意したよ。			重かったけど、遺品を用意したよ。			遺品に宿る魂							
遺品の受け取りは、わしがやろう。そなたは遺族たちの話に耳を傾けてくれるだけでいい。			遺品の受け取りは、わしがやろう。そなたは遺族たちの話に耳を傾けてくれるだけでいい。			遺品に宿る魂							
ひとつだけ断っておきたいのだが、大切な遺品を預かる手前、わしは魔物との戦いを避けたい。			ひとつだけ断っておきたいのだが、大切な遺品を預かる手前、わしは魔物との戦いを避けたい。			遺品に宿る魂							
