忘れられた騎士亭前のユステシアは、冒険者に興味があるようだ。			忘れられた騎士亭前のユステシアは、冒険者に興味があるようだ。			イシュガルドのモブハント（中級）							
なぜ「陽の流派」と「陰の流派」が協力できないのか……僕は、いまいちど問いただしたい！			なぜ「陽の流派」と「陰の流派」が協力できないのか……僕は、いまいちど問いただしたい！			第七のチャクラ							
……それに、僕は思うのです。彼女たちには、何か事情があるのではないかと。			……それに、僕は思うのです。彼女たちには、何か事情があるのではないかと。			第七のチャクラ							
Forename……チャクハを探しに北部森林へ行きましょう！			Forename……チャクハを探しに北部森林へ行きましょう！			第七のチャクラ							
うう…………。			うう…………。			第七のチャクラ							
Forename！チャクハが倒れていたのです！いったい、いったい何が……！？			Forename！チャクハが倒れていたのです！いったい、いったい何が……！？			第七のチャクラ							
……ウィダルゲルト…………それに、Forenameさん……？			……ウィダルゲルト…………それに、Forenameさん……？			第七のチャクラ							
……フフ、みっともないところを見せてしまいましたね。この怪我は、ゼンツァとの決闘の結果……。命に係わるようなものではありません、あの娘は優しいから……。			……フフ、みっともないところを見せてしまいましたね。この怪我は、ゼンツァとの決闘の結果……。命に係わるようなものではありません、あの娘は優しいから……。			第七のチャクラ							
ふたりで生きるために、なんでも言うことを聞いたのにな……。……結局、どちらかのチャクラを開くため、死ぬまで戦えって言われちゃいました……馬鹿みたいです。			ふたりで生きるために、なんでも言うことを聞いたのにな……。……結局、どちらかのチャクラを開くため、死ぬまで戦えって言われちゃいました……馬鹿みたいです。			第七のチャクラ							
どちらかが死ぬまで戦え……？死闘を通じて、チャクラを開くためだというのか……。しかし、いったい誰に命じられたというのです！？			どちらかが死ぬまで戦え……？死闘を通じて、チャクラを開くためだというのか……。しかし、いったい誰に命じられたというのです！？			第七のチャクラ							
……「陰の流派」の最高師範。私たちの師匠「ハ・ラハ・ティア」です……。			……「陰の流派」の最高師範。私たちの師匠「ハ・ラハ・ティア」です……。			第七のチャクラ							
私たちふたりを育ててくれた恩師……。師匠に嫌われたら、ふたりの生きる場所は無いと思って、なんでも従ってきた……でも違いました。			私たちふたりを育ててくれた恩師……。師匠に嫌われたら、ふたりの生きる場所は無いと思って、なんでも従ってきた……でも違いました。			第七のチャクラ							
結局、私たちはただの「後継者候補」……。師匠の家族でもなければ、仲間でもない。弱ければ切り捨てられるだけの存在だった……。			結局、私たちはただの「後継者候補」……。師匠の家族でもなければ、仲間でもない。弱ければ切り捨てられるだけの存在だった……。			第七のチャクラ							
戦いの最中、ゼンツァが私を崖から突き落としたんです。偶然を装い、私を師匠のもとから逃すために……。			戦いの最中、ゼンツァが私を崖から突き落としたんです。偶然を装い、私を師匠のもとから逃すために……。			第七のチャクラ							
でも、私だけが助かっても意味はないのです。ゼンツァを……ゼンツァを師匠の元から救い出さなくちゃ。あの娘だって、いつ切り捨てられるかわからない！			でも、私だけが助かっても意味はないのです。ゼンツァを……ゼンツァを師匠の元から救い出さなくちゃ。あの娘だって、いつ切り捨てられるかわからない！			第七のチャクラ							
直に私の生死を確認するため、追っ手が来るでしょう。あなた方は巻き込めない…………私はもう行きます。			直に私の生死を確認するため、追っ手が来るでしょう。あなた方は巻き込めない…………私はもう行きます。			第七のチャクラ							
チャクハ、もう少し詳しく話を聞かせてください！「境樹」の方に向かい、そこで隠れましょう！			チャクハ、もう少し詳しく話を聞かせてください！「境樹」の方に向かい、そこで隠れましょう！			第七のチャクラ							
……ダメです！私はあなたを裏切った、あなたに拳を向けた。どうして私を助けようとするのですか！？			……ダメです！私はあなたを裏切った、あなたに拳を向けた。どうして私を助けようとするのですか！？			第七のチャクラ							
……僕はかつて、あなたたちの師匠と同じ過ちを犯した。力に溺れ、力を求め、Forenameを利用した。そして最後に彼女彼を裏切り、拳を向けた。			……僕はかつて、あなたたちの師匠と同じ過ちを犯した。力に溺れ、力を求め、Forenameを利用した。そして最後に彼女彼を裏切り、拳を向けた。			第七のチャクラ							
しかし、それは間違っていたのだ。だから僕は、力に溺れる者を見過ごすことはできない。その被害者を、見捨てることはできない。			しかし、それは間違っていたのだ。だから僕は、力に溺れる者を見過ごすことはできない。その被害者を、見捨てることはできない。			第七のチャクラ							
……そして何より、かつての弟子が困っているんだ。僕は、君たちふたりを救いたい。			……そして何より、かつての弟子が困っているんだ。僕は、君たちふたりを救いたい。			第七のチャクラ							
……ウィダルゲルト…………。			……ウィダルゲルト…………。			第七のチャクラ							
僕が彼女を連れて行きます。Forename、あなたは付近の敵を掃討して、安全を確保した後に「境樹」に来てもらえますか？			僕が彼女を連れて行きます。Forename、あなたは付近の敵を掃討して、安全を確保した後に「境樹」に来てもらえますか？			第七のチャクラ							
僕が彼女を連れて行きます。Forename、あなたは付近の敵を掃討して、安全を確保した後に「境樹」に来てもらえますか？			僕が彼女を連れて行きます。Forename、あなたは付近の敵を掃討して、安全を確保した後に「境樹」に来てもらえますか？			第七のチャクラ							
ウィダルゲルト…………。			ウィダルゲルト…………。			第七のチャクラ							
……ありがとうございます。			……ありがとうございます。			第七のチャクラ							
ここならば、しばらく安全が確保できるでしょう。チャクハ、僕はわからないことだらけなんだ。話せることを、すべて話してくれ。			ここならば、しばらく安全が確保できるでしょう。チャクハ、僕はわからないことだらけなんだ。話せることを、すべて話してくれ。			第七のチャクラ							
……争いのすべては、陰陽十四のチャクラを全開させるためなのです。			……争いのすべては、陰陽十四のチャクラを全開させるためなのです。			第七のチャクラ							
七つの陽のチャクラ、七つの陰のチャクラ……。表裏一体の十四のチャクラすべてを開くには、互いの流派の「第七のチャクラを開いた人材」が必要でした。			七つの陽のチャクラ、七つの陰のチャクラ……。表裏一体の十四のチャクラすべてを開くには、互いの流派の「第七のチャクラを開いた人材」が必要でした。			第七のチャクラ							
これまでは、第七のチャクラを開いた者同士が、密かに決闘をしていました……。			これまでは、第七のチャクラを開いた者同士が、密かに決闘をしていました……。			第七のチャクラ							
でも、星導山寺院の焼き討ちによって「陽の流派」が潰えた。そのため、「陰の流派」もまた、高みに登る道筋が、途絶えてしまったのです。			でも、星導山寺院の焼き討ちによって「陽の流派」が潰えた。そのため、「陰の流派」もまた、高みに登る道筋が、途絶えてしまったのです。			第七のチャクラ							
我が師匠は、陽の流派の生き残りを探していました。そこで、ウィダルゲルト、あなたの存命を知ったため、私たちを「陽の流派」に送り込んだのです。			我が師匠は、陽の流派の生き残りを探していました。そこで、ウィダルゲルト、あなたの存命を知ったため、私たちを「陽の流派」に送り込んだのです。			第七のチャクラ							
師匠から「陽の流派」は「利用するもの」であると教わりました。だから、仲間となり協力するのは論外だったのです。……私たちは、それを信じていました。			師匠から「陽の流派」は「利用するもの」であると教わりました。だから、仲間となり協力するのは論外だったのです。……私たちは、それを信じていました。			第七のチャクラ							
なるほど……あなたたちの事情はわかりました。しかし、元はといえば「陰の流派」と「陽の流派」は、同じ道を歩んでいたのでしょう？			なるほど……あなたたちの事情はわかりました。しかし、元はといえば「陰の流派」と「陽の流派」は、同じ道を歩んでいたのでしょう？			第七のチャクラ							
ならば、僕が「陽の流派」の代表として、「陰の流派」の代表……ハ・ラハ・ティアを説得します。そして、真の「ラールガー星導教」を再興させるのです！			ならば、僕が「陽の流派」の代表として、「陰の流派」の代表……ハ・ラハ・ティアを説得します。そして、真の「ラールガー星導教」を再興させるのです！			第七のチャクラ							
……師匠は、簡単に説得に応じることはありません。何より師匠はとても強い……今のままでは危険です。彼は陰陽「第七のチャクラ」を開いているのですから。			……師匠は、簡単に説得に応じることはありません。何より師匠はとても強い……今のままでは危険です。彼は陰陽「第七のチャクラ」を開いているのですから。			第七のチャクラ							
私たちは「異なる側面のチャクラ」を開いてきましたが、これまでの戦いでは、それでも陰陽「第六のチャクラ」まで……。とても、師匠には対抗できないでしょう。			私たちは「異なる側面のチャクラ」を開いてきましたが、これまでの戦いでは、それでも陰陽「第六のチャクラ」まで……。とても、師匠には対抗できないでしょう。			第七のチャクラ							
Forenameさんは、すでに陽の「第七のチャクラ」を開いておられるようですが、陰については「第六のチャクラ」までしか開いていません。			Forenameさんは、すでに陽の「第七のチャクラ」を開いておられるようですが、陰については「第六のチャクラ」までしか開いていません。			第七のチャクラ							
師匠と互角に渡り合うには、陰陽「第七のチャクラ」すべてを開く以外に方法はありません。……しかし、それには使い手同士が殺し合うしか。			師匠と互角に渡り合うには、陰陽「第七のチャクラ」すべてを開く以外に方法はありません。……しかし、それには使い手同士が殺し合うしか。			第七のチャクラ							
僕たちが協力し合えば、別の道が見いだせるかもしれません。現にForenameは、陽の「第七のチャクラ」を開いている。力を合わせ、ともにゼンツァを助けましょう！			僕たちが協力し合えば、別の道が見いだせるかもしれません。現にForenameは、陽の「第七のチャクラ」を開いている。力を合わせ、ともにゼンツァを助けましょう！			第七のチャクラ							
一度は裏切った私たちを……ありがとう……。一緒にがんばらせてください！！			一度は裏切った私たちを……ありがとう……。一緒にがんばらせてください！！			第七のチャクラ							
とはいえ、チャクハの怪我のこともあります。Forename、一度「レヴナンツトール」に戻り、今後の対策を練りましょう。			とはいえ、チャクハの怪我のこともあります。Forename、一度「レヴナンツトール」に戻り、今後の対策を練りましょう。			第七のチャクラ							
Forename、戻りましたか。チャクハは今、癒し手に預けています。彼女が回復したら、互いのチャクラを開く鍛錬をしましょう。			Forename、戻りましたか。チャクハは今、癒し手に預けています。彼女が回復したら、互いのチャクラを開く鍛錬をしましょう。			第七のチャクラ							
彼女は、ハ・ラハ・ティアに相当怯えていた……。話し合いでは決着がつかない可能性が高い。いざとなったら、力ずくで倒さねばならない相手です。			彼女は、ハ・ラハ・ティアに相当怯えていた……。話し合いでは決着がつかない可能性が高い。いざとなったら、力ずくで倒さねばならない相手です。			第七のチャクラ							
その日まで、あなたは鍛錬を続けていてください。同じ「陽の流派」として、ともにがんばりましょう！			その日まで、あなたは鍛錬を続けていてください。同じ「陽の流派」として、ともにがんばりましょう！			第七のチャクラ							
ワンダラーパレスのスリト・カリトは、冒険者に頼みたいことがあるようだ。			ワンダラーパレスのスリト・カリトは、冒険者に頼みたいことがあるようだ。			海兵魂、海兵魂、海兵魂！							
スリト・カリトと話した。高地ラノシアのブロンズレイクにいる「ハルガ・トルガ」と話そう。			スリト・カリトと話した。高地ラノシアのブロンズレイクにいる「ハルガ・トルガ」と話そう。			海兵魂、海兵魂、海兵魂！							
ハルガ・トルガと話した。チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで『海兵魂』を含む言葉を入力し、「ハルガ・トルガ」に答えよう。			ハルガ・トルガと話した。チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで『海兵魂』を含む言葉を入力し、「ハルガ・トルガ」に答えよう。			海兵魂、海兵魂、海兵魂！							
ハルガ・トルガに答えたが、まだ声が小さいらしい。再度、チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで『海兵魂』を含む言葉を入力し、「ハルガ・トルガ」に答えよう。			ハルガ・トルガに答えたが、まだ声が小さいらしい。再度、チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで『海兵魂』を含む言葉を入力し、「ハルガ・トルガ」に答えよう。			海兵魂、海兵魂、海兵魂！							
ハルガ・トルガに答えた。ブロンズレイク東の「マムージャの隊長」に、エモート「大笑いする」をし、襲われたら討伐しよう。			ハルガ・トルガに答えた。ブロンズレイク東の「マムージャの隊長」に、エモート「大笑いする」をし、襲われたら討伐しよう。			海兵魂、海兵魂、海兵魂！							
マムージャの隊長を討伐した。ブロンズレイクの「ハルガ・トルガ」に報告しよう。			マムージャの隊長を討伐した。ブロンズレイクの「ハルガ・トルガ」に報告しよう。			海兵魂、海兵魂、海兵魂！							
ハルガ・トルガに報告した。「消えた妖異」を退治するため、訓練を思い出しながら修行に励もう。※学者のレベルが58以上になると、ワンダラーパレスのスリト・カリトから次の学者クエストを受注することができます。			ハルガ・トルガに報告した。「消えた妖異」を退治するため、訓練を思い出しながら修行に励もう。※学者のレベルが58以上になると、ワンダラーパレスのスリト・カリトから次の学者クエストを受注することができます。			海兵魂、海兵魂、海兵魂！							
ハルガ・トルガと話す			ハルガ・トルガと話す			海兵魂、海兵魂、海兵魂！							
チャットの「Say」モードで『海兵魂』を含む好きな言葉を入力しハルガ・トルガに答える			チャットの「Say」モードで『海兵魂』を含む好きな言葉を入力しハルガ・トルガに答える			海兵魂、海兵魂、海兵魂！							
再度チャットの「Say」モードで『海兵魂』を含む好きな言葉を入力しハルガ・トルガに答える			再度チャットの「Say」モードで『海兵魂』を含む好きな言葉を入力しハルガ・トルガに答える			海兵魂、海兵魂、海兵魂！							
マムージャの隊長にエモート「大笑いする」をして襲われたら討伐			マムージャの隊長にエモート「大笑いする」をして襲われたら討伐			海兵魂、海兵魂、海兵魂！							
ハルガ・トルガに報告			ハルガ・トルガに報告			海兵魂、海兵魂、海兵魂！							
よく来てくれた、ふたりとも。そして、Forenameよ……耳や鼻がそげ落ちてはおらんようだな？			よく来てくれた、ふたりとも。そして、Forenameよ……耳や鼻がそげ落ちてはおらんようだな？			海兵魂、海兵魂、海兵魂！							
……ふふふ、安心していいぞ。例の「南洋の飾り壺」と、お主が倒したという妖異の死体……どちらからも「トンベリ病」に繋がる毒素は見つからなかった。			……ふふふ、安心していいぞ。例の「南洋の飾り壺」と、お主が倒したという妖異の死体……どちらからも「トンベリ病」に繋がる毒素は見つからなかった。			海兵魂、海兵魂、海兵魂！							
だが、「バニシュ」系の隠蔽魔法を使用した痕跡が見られた。つまり、壺に封じられていた妖異が、眷属を囮に使いつつ、魔法で姿を隠して消え去ったということだ。			だが、「バニシュ」系の隠蔽魔法を使用した痕跡が見られた。つまり、壺に封じられていた妖異が、眷属を囮に使いつつ、魔法で姿を隠して消え去ったということだ。			海兵魂、海兵魂、海兵魂！							
そ、それじゃあ、その「消えた妖異」が、「トンベリ病」をバラ撒いた犯人だってことですか？			そ、それじゃあ、その「消えた妖異」が、「トンベリ病」をバラ撒いた犯人だってことですか？			海兵魂、海兵魂、海兵魂！							
断定はできないが、その可能性が極めて高い。恐らく姿を消して逃げたのは、1500年間の封印により、戦うほどの魔力が残っていなかったためだろう。			断定はできないが、その可能性が極めて高い。恐らく姿を消して逃げたのは、1500年間の封印により、戦うほどの魔力が残っていなかったためだろう。			海兵魂、海兵魂、海兵魂！							
たたたた、大変だ！奴が力を取り戻したら、「トンベリ病」が広まってしまう！かつてニームで起きた大流行のように！！			たたたた、大変だ！奴が力を取り戻したら、「トンベリ病」が広まってしまう！かつてニームで起きた大流行のように！！			海兵魂、海兵魂、海兵魂！							
うむ、これは危機だ……しかし、好機でもある！妖異を倒して調べることができれば、「トンベリ病」の秘密を、解き明かすことができるかもしれないのだから！			うむ、これは危機だ……しかし、好機でもある！妖異を倒して調べることができれば、「トンベリ病」の秘密を、解き明かすことができるかもしれないのだから！			海兵魂、海兵魂、海兵魂！							
た、確かに……。ビビってばかりはいられないぞ、Forename君！やろう、僕らで「消えた妖異」を追いかけて倒すんだ！			た、確かに……。ビビってばかりはいられないぞ、Forename君！やろう、僕らで「消えた妖異」を追いかけて倒すんだ！			海兵魂、海兵魂、海兵魂！							
だが、相手は姿を消す能力の持ち主。私が行方を捜している間に、君たちには決戦に備えてもらおう。……紹介しよう、君たちに必勝の力をもたらす教官を！			だが、相手は姿を消す能力の持ち主。私が行方を捜している間に、君たちには決戦に備えてもらおう。……紹介しよう、君たちに必勝の力をもたらす教官を！			海兵魂、海兵魂、海兵魂！							
俺の名は、ハルガ・トルガ！ニーム海兵団戦闘訓練主任、海兵軍曹だ！貴様らをシゴいてシゴいて、シゴき倒してやる、覚悟しろ！			俺の名は、ハルガ・トルガ！ニーム海兵団戦闘訓練主任、海兵軍曹だ！貴様らをシゴいてシゴいて、シゴき倒してやる、覚悟しろ！			海兵魂、海兵魂、海兵魂！							
で、で、伝説の最強軍団の訓練を僕たちが！？す、すごいぞ、Forename君！僕たちは、まだまだ強くなれるんだ！			で、で、伝説の最強軍団の訓練を僕たちが！？す、すごいぞ、Forename君！僕たちは、まだまだ強くなれるんだ！			海兵魂、海兵魂、海兵魂！							
ハルガ・トルガの訓練は厳しいぞ。しかし、成し遂げれば必ずや力となるだろう。			ハルガ・トルガの訓練は厳しいぞ。しかし、成し遂げれば必ずや力となるだろう。			海兵魂、海兵魂、海兵魂！							
うおおおおお、ぼ、僕はやるぞ！本物の海兵になるんだぁぁぁ！			うおおおおお、ぼ、僕はやるぞ！本物の海兵になるんだぁぁぁ！			海兵魂、海兵魂、海兵魂！							
貴様ら、新生「海兵団」を名乗っているそうだな！？お前のような「微笑みメガネ」が海兵だと？ハッハッハッハッ……笑わせるな！！			貴様ら、新生「海兵団」を名乗っているそうだな！？お前のような「微笑みメガネ」が海兵だと？ハッハッハッハッ……笑わせるな！！			海兵魂、海兵魂、海兵魂！							
それに、こっちが軍学を継承した「次代の学者」だと？お前のような「アホヅラガリヒョロクソチビドブネコクソデカウロコケダラケデカミミ娘野郎」が！？ふたりして、俺を笑い死にさせるつもりか！！			それに、こっちが軍学を継承した「次代の学者」だと？お前のような「アホヅラガリヒョロクソチビドブネコクソデカウロコケダラケデカミミ娘野郎」が！？ふたりして、俺を笑い死にさせるつもりか！！			海兵魂、海兵魂、海兵魂！							
だが、俺の訓練を乗り越えれば、貴様らお笑い「珍兵団」も、いっぱしの戦力になるだろう！さあ、やる気があるなら、「海兵魂」と吠えてみろ！！			だが、俺の訓練を乗り越えれば、貴様らお笑い「珍兵団」も、いっぱしの戦力になるだろう！さあ、やる気があるなら、「海兵魂」と吠えてみろ！！			海兵魂、海兵魂、海兵魂！							
チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで『海兵魂』を含む好きな言葉を入力し、ハルガ・トルガに答えましょう。			チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで『海兵魂』を含む好きな言葉を入力し、ハルガ・トルガに答えましょう。			海兵魂、海兵魂、海兵魂！							
海兵魂			海兵魂			海兵魂、海兵魂、海兵魂！							
どうした、「海兵魂」と吠えてみろ！やる気がないなら、とっとと帰って、マメット相手に学者ごっこでもしていやがれ！！			どうした、「海兵魂」と吠えてみろ！やる気がないなら、とっとと帰って、マメット相手に学者ごっこでもしていやがれ！！			海兵魂、海兵魂、海兵魂！							
チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで『海兵魂』を含む好きな言葉を入力し、ハルガ・トルガに答えましょう。			チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで『海兵魂』を含む好きな言葉を入力し、ハルガ・トルガに答えましょう。			海兵魂、海兵魂、海兵魂！							
海兵魂……！！			海兵魂……！！			海兵魂、海兵魂、海兵魂！							
なんだ貴様ら、その小さな声は！貴様らのおちょぼ口は、嘔吐するためだけのゲロ穴か！？最強軍団の一員になりたいなら、魂の叫びを上げて見ろ！！			なんだ貴様ら、その小さな声は！貴様らのおちょぼ口は、嘔吐するためだけのゲロ穴か！？最強軍団の一員になりたいなら、魂の叫びを上げて見ろ！！			海兵魂、海兵魂、海兵魂！							
再度、チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで『海兵魂』を含む好きな言葉を入力し、ハルガ・トルガに答えましょう。			再度、チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで『海兵魂』を含む好きな言葉を入力し、ハルガ・トルガに答えましょう。			海兵魂、海兵魂、海兵魂！							
海兵魂ぃぃぃぃぃぃぃぃ！！			海兵魂ぃぃぃぃぃぃぃぃ！！			海兵魂、海兵魂、海兵魂！							
そうだ、そうだ、その「海兵魂」を忘れるな！よし、今回は貴様らに別々の課題をあたえてやるぞ！！			そうだ、そうだ、その「海兵魂」を忘れるな！よし、今回は貴様らに別々の課題をあたえてやるぞ！！			海兵魂、海兵魂、海兵魂！							
おい、「アホヅラガリヒョロクソチビドブネコクソデカウロコケダラケデカミミ娘野郎」！そこらでイキがってる「マムージャ傭兵隊長」を見つけて、「大笑い」してバカにしてやれ！			おい、「アホヅラガリヒョロクソチビドブネコクソデカウロコケダラケデカミミ娘野郎」！そこらでイキがってる「マムージャ傭兵隊長」を見つけて、「大笑い」してバカにしてやれ！			海兵魂、海兵魂、海兵魂！							
奴らは、ワンダラーパレスを狙うクズ野郎だ！ブチギレた奴らが襲ってきたら、返り討ちにしてやれ！行け、早く行け、今すぐ行ってこい！！			奴らは、ワンダラーパレスを狙うクズ野郎だ！ブチギレた奴らが襲ってきたら、返り討ちにしてやれ！行け、早く行け、今すぐ行ってこい！！			海兵魂、海兵魂、海兵魂！							
奴らは、ワンダラーパレスを狙うクズ野郎だ！ブチギレた奴らが襲ってきたら、返り討ちにしてやれ！行け、早く行け、今すぐ行ってこい！！			奴らは、ワンダラーパレスを狙うクズ野郎だ！ブチギレた奴らが襲ってきたら、返り討ちにしてやれ！行け、早く行け、今すぐ行ってこい！！			海兵魂、海兵魂、海兵魂！							
なん、だ、貴様は！我ら「光鱗戦闘団」、を、バカにしているの、か？許せ、ん！　皆の者、こやつを叩きのめ、せ！			なん、だ、貴様は！我ら「光鱗戦闘団」、を、バカにしているの、か？許せ、ん！　皆の者、こやつを叩きのめ、せ！			海兵魂、海兵魂、海兵魂！							
なん、だ、貴様は！我ら、を、「光鱗戦闘団」の一員と知、り、声をかけているの、か？			なん、だ、貴様は！我ら、を、「光鱗戦闘団」の一員と知、り、声をかけているの、か？			海兵魂、海兵魂、海兵魂！							
ふたりとも、どうにかこうにか課題を達成したようだな！！「微笑みメガネ」と「アホヅラガリヒョロクソチビドブネコクソデカウロコケダラケデカミミ娘野郎」にしては、上出来だと褒めてやる……			ふたりとも、どうにかこうにか課題を達成したようだな！！「微笑みメガネ」と「アホヅラガリヒョロクソチビドブネコクソデカウロコケダラケデカミミ娘野郎」にしては、上出来だと褒めてやる……			海兵魂、海兵魂、海兵魂！							
……とでも、思ったか！この程度の課題であれば、もっと早くできたはずだ！やっぱり、貴様らはお笑い「珍兵団」だ！！			……とでも、思ったか！この程度の課題であれば、もっと早くできたはずだ！やっぱり、貴様らはお笑い「珍兵団」だ！！			海兵魂、海兵魂、海兵魂！							
そ、そんなぁ…………。たったひとりで、「サラマンダー油」を手に入れて、妙なオジサンに塗りつける訓練に、何の意味があるんですか！			そ、そんなぁ…………。たったひとりで、「サラマンダー油」を手に入れて、妙なオジサンに塗りつける訓練に、何の意味があるんですか！			海兵魂、海兵魂、海兵魂！							
だから、貴様はバカだというのだ！戦場は無慈悲だ！！　己の弱さが、仲間の命を奪う！！			だから、貴様はバカだというのだ！戦場は無慈悲だ！！　己の弱さが、仲間の命を奪う！！			海兵魂、海兵魂、海兵魂！							
弱い海兵は仲間を守れない！　弱い学者は仲間を救えない！最強軍団に、仲間の命を脅かす足手まといは不要だ！！最低限の「個の力」が必要なのだ！！			弱い海兵は仲間を守れない！　弱い学者は仲間を救えない！最強軍団に、仲間の命を脅かす足手まといは不要だ！！最低限の「個の力」が必要なのだ！！			海兵魂、海兵魂、海兵魂！							
「微笑みメガネ」は、あの肉体を見て何も感じなかったのか？「アホヅラガリヒョロクソチビドブネコクソデカウロコケダラケデカミミ娘野郎」は、多数の敵との戦いで、何も得るものがなかったとでも……！？			「微笑みメガネ」は、あの肉体を見て何も感じなかったのか？「アホヅラガリヒョロクソチビドブネコクソデカウロコケダラケデカミミ娘野郎」は、多数の敵との戦いで、何も得るものがなかったとでも……！？			海兵魂、海兵魂、海兵魂！							
それぞれ、今日の訓練を思い出し、修行し直してこい！貴様らが強くならねば、「消えた妖異」をブチのめし、人々を病の脅威から救うことなどできんのだぞ！！			それぞれ、今日の訓練を思い出し、修行し直してこい！貴様らが強くならねば、「消えた妖異」をブチのめし、人々を病の脅威から救うことなどできんのだぞ！！			海兵魂、海兵魂、海兵魂！							
う、う、うおおおおお、僕がバカでしたぁぁぁ！僕は必ず強い海兵になって、「消えた妖異」を倒してみせます！海兵魂！　海兵魂ぃぃ！　海兵魂ぃぃぃぃ！			う、う、うおおおおお、僕がバカでしたぁぁぁ！僕は必ず強い海兵になって、「消えた妖異」を倒してみせます！海兵魂！　海兵魂ぃぃ！　海兵魂ぃぃぃぃ！			海兵魂、海兵魂、海兵魂！							
ひ、ひとりで「サラマンダー油」を採取して、妙なオジサンに塗りつけてくるって課題をあたえられたんだ……。すごい、ヌメヌメで……うっ、うっ……。			ひ、ひとりで「サラマンダー油」を採取して、妙なオジサンに塗りつけてくるって課題をあたえられたんだ……。すごい、ヌメヌメで……うっ、うっ……。			海兵魂、海兵魂、海兵魂！							
ミルバネス礼拝堂のラライの元に、ふたたび手紙が届いたようだ。			ミルバネス礼拝堂のラライの元に、ふたたび手紙が届いたようだ。			強き破壊が生む惨劇							
ラライから、ドゾル・メロックから手紙があったと聞いた。ドゾル・メロックが、窮地に立たされているようだ。北部森林のアルダースプリングスへ向かい、ドゾル・メロックを探そう。			ラライから、ドゾル・メロックから手紙があったと聞いた。ドゾル・メロックが、窮地に立たされているようだ。北部森林のアルダースプリングスへ向かい、ドゾル・メロックを探そう。			強き破壊が生む惨劇							
ドゾル・メロックを取り囲んでいた「まつろわぬ魔道士」を討伐した。アルダースプリングスの「ドゾル・メロック」を救助しよう。			ドゾル・メロックを取り囲んでいた「まつろわぬ魔道士」を討伐した。アルダースプリングスの「ドゾル・メロック」を救助しよう。			強き破壊が生む惨劇							
「まつろわぬ魔道士」の構成員を討伐し、ドゾル・メロックを救助した。かけつけたザイ・ア・ネルハーは、ふたたび構成員が死んでしまったことを責めるが、その直後、構成員が「内側から焼かれていた」ことが判明。ドゾル・メロックは、彼らが、「シャトトの魔石」も持たずに、強力な黒魔法を使ったために、構成員たちは死んでしまったのではないかと意見を述べ、ザイ・ア・ネルハーは、己の誤解に気づき、冒険者に謝罪をして去っていった。ウルダハに戻り、ミルバネス礼拝堂の「ラライ」に報告しよう。			「まつろわぬ魔道士」の構成員を討伐し、ドゾル・メロックを救助した。かけつけたザイ・ア・ネルハーは、ふたたび構成員が死んでしまったことを責めるが、その直後、構成員が「内側から焼かれていた」ことが判明。ドゾル・メロックは、彼らが、「シャトトの魔石」も持たずに、強力な黒魔法を使ったために、構成員たちは死んでしまったのではないかと意見を述べ、ザイ・ア・ネルハーは、己の誤解に気づき、冒険者に謝罪をして去っていった。ウルダハに戻り、ミルバネス礼拝堂の「ラライ」に報告しよう。			強き破壊が生む惨劇							
ラライに報告をした。「まつろわぬ魔道士」が黒魔法を制御する知識を得られていないのなら、うまく勢力を拡大できていない可能性がある。「まつろわぬ魔道士」が焦って行動を起こすのを待ちつつ、力を蓄えておこう。※黒魔道士のレベルが58以上になると、ミルバネス礼拝堂のラライから、次の黒魔道士クエストを受注することができます。			ラライに報告をした。「まつろわぬ魔道士」が黒魔法を制御する知識を得られていないのなら、うまく勢力を拡大できていない可能性がある。「まつろわぬ魔道士」が焦って行動を起こすのを待ちつつ、力を蓄えておこう。※黒魔道士のレベルが58以上になると、ミルバネス礼拝堂のラライから、次の黒魔道士クエストを受注することができます。			強き破壊が生む惨劇							
アルダースプリングスでドゾル・メロックを探す			アルダースプリングスでドゾル・メロックを探す			強き破壊が生む惨劇							
ドゾル・メロックを救助する			ドゾル・メロックを救助する			強き破壊が生む惨劇							
ミルバネス礼拝堂のラライに報告			ミルバネス礼拝堂のラライに報告			強き破壊が生む惨劇							
大変です、Forename Surnameよ！私の元に、ふたたび手紙が届きました！			大変です、Forename Surnameよ！私の元に、ふたたび手紙が届きました！			強き破壊が生む惨劇							
「やばい！　命の危機！　アルダースプリングスに隠れてる。　Forenameに伝えてくれ！　どぞる」……。			「やばい！　命の危機！　アルダースプリングスに隠れてる。　Forenameに伝えてくれ！　どぞる」……。			強き破壊が生む惨劇							
……この汚い文字と、「どぞる」という言葉。			……この汚い文字と、「どぞる」という言葉。			強き破壊が生む惨劇							
