アルザダール通りのグ・ラハ・ティアは、渡したいものがあるようだ。			アルザダール通りのグ・ラハ・ティアは、渡したいものがあるようだ。			闇の戦士の再訪							
それというのも、この村の者たちがそろいもそろって、声をかけても頭を下げるばかりで、口を開いてくれぬのだ。理由は皆目わからぬがな……。			それというのも、この村の者たちがそろいもそろって、声をかけても頭を下げるばかりで、口を開いてくれぬのだ。理由は皆目わからぬがな……。			黄泉神降臨							
思えば、偽神獣が出現したのも、この村であった。これは何かあるのやもしれぬ……。			思えば、偽神獣が出現したのも、この村であった。これは何かあるのやもしれぬ……。			黄泉神降臨							
ふたりが来てくれたのは好都合だった。どうかそなたらで、村人から話を聞きだしてくれぬだろうか？偽神獣のこと、そして何故、わしを警戒するのかについてな。			ふたりが来てくれたのは好都合だった。どうかそなたらで、村人から話を聞きだしてくれぬだろうか？偽神獣のこと、そして何故、わしを警戒するのかについてな。			黄泉神降臨							
承知……。私は念のため変装して身元を隠しておきます。聞き込みを終え次第、ヒエン様のもとに戻りましょう。			承知……。私は念のため変装して身元を隠しておきます。聞き込みを終え次第、ヒエン様のもとに戻りましょう。			黄泉神降臨							
それでは、ふたりとも頼んだぞ。			それでは、ふたりとも頼んだぞ。			黄泉神降臨							
偽神獣のこと、そして何故、わしを警戒するのかについて、そなたとユウギリに、村人から聞きだしてもらいたい。聞き込みが済んだら報告を頼む。			偽神獣のこと、そして何故、わしを警戒するのかについて、そなたとユウギリに、村人から聞きだしてもらいたい。聞き込みが済んだら報告を頼む。			黄泉神降臨							
偽神獣だって？イサリ村には黄泉神(よもつかみ)イザナミ様が降臨されたのだ！決して「終末の獣」などという魔物ではない！			偽神獣だって？イサリ村には黄泉神(よもつかみ)イザナミ様が降臨されたのだ！決して「終末の獣」などという魔物ではない！			黄泉神降臨							
薄情なヒエン様とは違って、イザナミ様は我らの心を救ってくださる、慈悲深き神なのだ！			薄情なヒエン様とは違って、イザナミ様は我らの心を救ってくださる、慈悲深き神なのだ！			黄泉神降臨							
ああ、ヒエン様のことか……。俺は先の捕虜交換で帰国できた元徴用兵だからな、救ってくれた殿様には感謝しているぜ。			ああ、ヒエン様のことか……。俺は先の捕虜交換で帰国できた元徴用兵だからな、救ってくれた殿様には感謝しているぜ。			黄泉神降臨							
だが、この村は激しい弾圧を受けていたから……ヨツユを処刑しなかった殿様に、不満を抱いている者も多いんだ。特に親類縁者を強制徴用で喪った連中はな……。			だが、この村は激しい弾圧を受けていたから……ヨツユを処刑しなかった殿様に、不満を抱いている者も多いんだ。特に親類縁者を強制徴用で喪った連中はな……。			黄泉神降臨							
偽神獣についてお聞きしたいと……。あの化物になったのは、確かにこの村で暮らしていた女です。帝国に徴用された夫の帰りを、待ち続けていたんですが……。			偽神獣についてお聞きしたいと……。あの化物になったのは、確かにこの村で暮らしていた女です。帝国に徴用された夫の帰りを、待ち続けていたんですが……。			黄泉神降臨							
奇妙なのは、彼女の義母キセイの態度ですよ。もともと信心深い人だったんですが、化物になった義娘のことを、黄泉神(よもつかみ)イザナミ様になったのだと触れ回っているんです。			奇妙なのは、彼女の義母キセイの態度ですよ。もともと信心深い人だったんですが、化物になった義娘のことを、黄泉神(よもつかみ)イザナミ様になったのだと触れ回っているんです。			黄泉神降臨							
もちろん、私は信じちゃいませんよ？でも、キセイに影響されてイザナミ様と信じる者もいて……徒党を組んで、崇めたりしているんです。			もちろん、私は信じちゃいませんよ？でも、キセイに影響されてイザナミ様と信じる者もいて……徒党を組んで、崇めたりしているんです。			黄泉神降臨							
イサリ村には黄泉神イザナミ様が降臨されたのだ！薄情なヒエン様とは違って、我らの心を救ってくださる、慈悲深き神なのだ！			イサリ村には黄泉神イザナミ様が降臨されたのだ！薄情なヒエン様とは違って、我らの心を救ってくださる、慈悲深き神なのだ！			黄泉神降臨							
イサリ村には親類縁者を亡くした者が多い。そんな連中からしてみれば、ヨツユを処刑しなかった殿様は、不満の対象になっているんだろう。			イサリ村には親類縁者を亡くした者が多い。そんな連中からしてみれば、ヨツユを処刑しなかった殿様は、不満の対象になっているんだろう。			黄泉神降臨							
キセイを始め、あの化物のことを、黄泉神イザナミ様だと信じる者たちがいるんですよ。私は、信じちゃいませんけどね……。			キセイを始め、あの化物のことを、黄泉神イザナミ様だと信じる者たちがいるんですよ。私は、信じちゃいませんけどね……。			黄泉神降臨							
聞き込むほどに、由々しき事態になっていることがわかった。貴殿からも、ヒエン様に報告を頼む。			聞き込むほどに、由々しき事態になっていることがわかった。貴殿からも、ヒエン様に報告を頼む。			黄泉神降臨							
……なるほど、聞き込みに感謝する。どうりで皆、わしの前で口を閉ざすわけだ。だが、偽神獣を黄泉神イザナミとして崇めているとは……。			……なるほど、聞き込みに感謝する。どうりで皆、わしの前で口を閉ざすわけだ。だが、偽神獣を黄泉神イザナミとして崇めているとは……。			黄泉神降臨							
イザナミとは東方に伝わる、国を生んだとされる神の一柱。死者の世界である黄泉国(よもつくに)の主宰神でもあり、人に死を与えるといわれている。			イザナミとは東方に伝わる、国を生んだとされる神の一柱。死者の世界である黄泉国(よもつくに)の主宰神でもあり、人に死を与えるといわれている。			黄泉神降臨							
偽神獣を、崇めるべき神と信じる民がいるとなると、討伐にあたっての障害になりかねんな……。			偽神獣を、崇めるべき神と信じる民がいるとなると、討伐にあたっての障害になりかねんな……。			黄泉神降臨							
私は、その虚偽を広めた張本人、キセイが村々を巡り、死者の口寄せを行っていると聞きました。そして、まさにこれから、この村で集まりがあるとのこと。			私は、その虚偽を広めた張本人、キセイが村々を巡り、死者の口寄せを行っていると聞きました。そして、まさにこれから、この村で集まりがあるとのこと。			黄泉神降臨							
その集会……覗いておきたいところだが、わしが向かって、いらぬ警戒を招くのは避けたい。続けざまになってすまぬが、そなたらに調査を頼めるだろうか？			その集会……覗いておきたいところだが、わしが向かって、いらぬ警戒を招くのは避けたい。続けざまになってすまぬが、そなたらに調査を頼めるだろうか？			黄泉神降臨							
キセイの集会は村の酒場で行われる。聴衆に紛れ、潜り込むことにしよう。			キセイの集会は村の酒場で行われる。聴衆に紛れ、潜り込むことにしよう。			黄泉神降臨							
黄泉国におわす霊魂よ、わが身に降り給えーーーッ！			黄泉国におわす霊魂よ、わが身に降り給えーーーッ！			黄泉神降臨							
(-野太い男のような声-)…………アキツ。			(-野太い男のような声-)…………アキツ。			黄泉神降臨							
親父……なのか……？			親父……なのか……？			黄泉神降臨							
(-野太い男のような声-)漁網は……しっかり……手入れしているか？			(-野太い男のような声-)漁網は……しっかり……手入れしているか？			黄泉神降臨							
お、親父……！ああ、教わったように漁網は大事にしている。おかげで漁は順調だから、こっちのことは心配しないでくれ。			お、親父……！ああ、教わったように漁網は大事にしている。おかげで漁は順調だから、こっちのことは心配しないでくれ。			黄泉神降臨							
照れくさくて言えなかったけど、親父に伝えたかったことがあるんだ……。あんたの息子であること、ずっと誇りに思っているよ。			照れくさくて言えなかったけど、親父に伝えたかったことがあるんだ……。あんたの息子であること、ずっと誇りに思っているよ。			黄泉神降臨							
(-野太い男のような声-)俺もだ、アキツ……どうかお前は……俺のぶんまで……海とともに……暮らしてくれ……。			(-野太い男のような声-)俺もだ、アキツ……どうかお前は……俺のぶんまで……海とともに……暮らしてくれ……。			黄泉神降臨							
(-野太い男のような声-)うう……ううう……く……苦しい……助け……て……。			(-野太い男のような声-)うう……ううう……く……苦しい……助け……て……。			黄泉神降臨							
親父、どうしたんだッ！？			親父、どうしたんだッ！？			黄泉神降臨							
そなたの父は苦しんでおる……。			そなたの父は苦しんでおる……。			黄泉神降臨							
それもこれも、死すべき者たちが誤って生き延びたため。黄泉国の亡者が足りぬことで、責め苦を受けておるのだ。			それもこれも、死すべき者たちが誤って生き延びたため。黄泉国の亡者が足りぬことで、責め苦を受けておるのだ。			黄泉神降臨							
そ、そんな……。じゃあ、どうしたら親父は救われるんだ……？			そ、そんな……。じゃあ、どうしたら親父は救われるんだ……？			黄泉神降臨							
安心するがいい。我らのもとに、黄泉神イザナミ様が現れてくださった。			安心するがいい。我らのもとに、黄泉神イザナミ様が現れてくださった。			黄泉神降臨							
イザナミ様が死すべき者たちを黄泉国へと送ることで、そなたの父も含め、すべての亡者が安らかに眠れるであろう。			イザナミ様が死すべき者たちを黄泉国へと送ることで、そなたの父も含め、すべての亡者が安らかに眠れるであろう。			黄泉神降臨							
お、俺の父ちゃんとも話をさせてくれ！			お、俺の父ちゃんとも話をさせてくれ！			黄泉神降臨							
私の夫の霊魂も口寄せして！			私の夫の霊魂も口寄せして！			黄泉神降臨							
俺も頼む！			俺も頼む！			黄泉神降臨							
死者の口寄せ……。果たしてそんなことが可能なのだろうか……？			死者の口寄せ……。果たしてそんなことが可能なのだろうか……？			黄泉神降臨							
ふたりとも、ご苦労だった。して、集会の様子は？			ふたりとも、ご苦労だった。して、集会の様子は？			黄泉神降臨							
死んだ男の魂を口寄せして、息子と会話させた、と……。にわかには信じがたい話ではあるな……。			死んだ男の魂を口寄せして、息子と会話させた、と……。にわかには信じがたい話ではあるな……。			黄泉神降臨							
しかし、村人たちは信じ切っている様子でした。			しかし、村人たちは信じ切っている様子でした。			黄泉神降臨							
……わしは、先日の一件のあと、各地を巡る中で、幾人もの遺族と対面してきた。			……わしは、先日の一件のあと、各地を巡る中で、幾人もの遺族と対面してきた。			黄泉神降臨							
だが、いずれの者も心に負った傷は深く、そう簡単に癒せるものではないと実感させられるばかりでな。わしは無力感に苛まれてさえいたのだ。			だが、いずれの者も心に負った傷は深く、そう簡単に癒せるものではないと実感させられるばかりでな。わしは無力感に苛まれてさえいたのだ。			黄泉神降臨							
ところが、どういうわけかトンボの兄の件以来、獣化する者が、ぱたりと姿を消している……。			ところが、どういうわけかトンボの兄の件以来、獣化する者が、ぱたりと姿を消している……。			黄泉神降臨							
ともすると、キセイの口寄せとやらが、人々の絶望を和らげ、救いの一助となっているのやもしれん。死した愛する者との対話は、大きな慰めとなろうからな。			ともすると、キセイの口寄せとやらが、人々の絶望を和らげ、救いの一助となっているのやもしれん。死した愛する者との対話は、大きな慰めとなろうからな。			黄泉神降臨							
だが、偽神獣をイザナミと見立て、死すべき者たちを黄泉国へ送るという話は、聞き捨てならん。			だが、偽神獣をイザナミと見立て、死すべき者たちを黄泉国へ送るという話は、聞き捨てならん。			黄泉神降臨							
(-怯えた叫び声-)イ、イザナミ様が現れたー！！			(-怯えた叫び声-)イ、イザナミ様が現れたー！！			黄泉神降臨							
まさか偽神獣が！？急ぎ向かおう……！！			まさか偽神獣が！？急ぎ向かおう……！！			黄泉神降臨							
イザナミ様が……イザナミ様が現れてその人を……！			イザナミ様が……イザナミ様が現れてその人を……！			黄泉神降臨							
ひと足遅かったか……。			ひと足遅かったか……。			黄泉神降臨							
何と言う？			何と言う？			黄泉神降臨							
先程、聞き込みをした村人のひとりだ！			先程、聞き込みをした村人のひとりだ！			黄泉神降臨							
たしか捕虜交換で戻ってきた元徴用兵だったはず……。			たしか捕虜交換で戻ってきた元徴用兵だったはず……。			黄泉神降臨							
そうか、この男と話をしたばかりだったと……。			そうか、この男と話をしたばかりだったと……。			黄泉神降臨							
しかし……彼も、そして偽神獣が最初に殺めた者も、どちらも元徴用兵というのは、偶然にしては出来すぎている。もしや偽神獣の狙いは……			しかし……彼も、そして偽神獣が最初に殺めた者も、どちらも元徴用兵というのは、偶然にしては出来すぎている。もしや偽神獣の狙いは……			黄泉神降臨							
(-？？？？-)偽神獣などの仕業ではありませぬ。これはイザナミ様の御業にございまする……！			(-？？？？-)偽神獣などの仕業ではありませぬ。これはイザナミ様の御業にございまする……！			黄泉神降臨							
ドマの殿様とお見受け致します。偽神獣なる化物が現れたと御触れを出されておりますが、それは大間違いであると、忠告させていただきまする。			ドマの殿様とお見受け致します。偽神獣なる化物が現れたと御触れを出されておりますが、それは大間違いであると、忠告させていただきまする。			黄泉神降臨							
私はこの目でしかと見たのです。我が義娘、ミナトの身体を依り代にして、黄泉神イザナミ様が現世に降臨されるところを……。			私はこの目でしかと見たのです。我が義娘、ミナトの身体を依り代にして、黄泉神イザナミ様が現世に降臨されるところを……。			黄泉神降臨							
ミナト！早まってはいけないよ！			ミナト！早まってはいけないよ！			黄泉神降臨							
とめないでお義母さん！私はもう辛くて辛くて生きていけないッ！			とめないでお義母さん！私はもう辛くて辛くて生きていけないッ！			黄泉神降臨							
夫は帝国軍に徴兵され、戻らぬまま。だというのに、連れ去った張本人のヨツユは赦され、ヒエン様に庇い立てられる始末……！			夫は帝国軍に徴兵され、戻らぬまま。だというのに、連れ去った張本人のヨツユは赦され、ヒエン様に庇い立てられる始末……！			黄泉神降臨							
このままでは、私……捕虜交換で戻ってきた人たちのことも、恨めしく思ってしまう。			このままでは、私……捕虜交換で戻ってきた人たちのことも、恨めしく思ってしまう。			黄泉神降臨							
私の恨みは決して晴らされず、嘆きの声も届かない。だったらいっそ、私もあの人のもとへ……！			私の恨みは決して晴らされず、嘆きの声も届かない。だったらいっそ、私もあの人のもとへ……！			黄泉神降臨							
きっと、黄泉神イザナミ様が現れて、我らをお救いくださるはずだよ！			きっと、黄泉神イザナミ様が現れて、我らをお救いくださるはずだよ！			黄泉神降臨							
そうだとしたら……良いですね……。			そうだとしたら……良いですね……。			黄泉神降臨							
イザナミ様は亡者を苦しみから救うため、死すべき者たちを黄泉国に送っているのでございます。ゆえに、殿様といえど手出しは許されませぬぞ……！			イザナミ様は亡者を苦しみから救うため、死すべき者たちを黄泉国に送っているのでございます。ゆえに、殿様といえど手出しは許されませぬぞ……！			黄泉神降臨							
犠牲者は捕虜交換で戻ってきた者たちばかりだ。それが死すべき者たちだったというなら……とても受け入れるわけにはいかんな。			犠牲者は捕虜交換で戻ってきた者たちばかりだ。それが死すべき者たちだったというなら……とても受け入れるわけにはいかんな。			黄泉神降臨							
私の夫と息子は徴兵され、戻ってはきませなんだ。なれど、ヒエン様……貴方はヨツユを裁かずお赦しになった。			私の夫と息子は徴兵され、戻ってはきませなんだ。なれど、ヒエン様……貴方はヨツユを裁かずお赦しになった。			黄泉神降臨							
民を守ると誓いを立てた国の長が、仇を見逃したとき、遺された私と義娘の心を、誰が救うのでありましょうや……？			民を守ると誓いを立てた国の長が、仇を見逃したとき、遺された私と義娘の心を、誰が救うのでありましょうや……？			黄泉神降臨							
我らは民の心を踏みにじる殿様よりも、お救いくださる黄泉神の御心に従いまする。			我らは民の心を踏みにじる殿様よりも、お救いくださる黄泉神の御心に従いまする。			黄泉神降臨							
頭を押さえていたようだが、まさか過去視を……？			頭を押さえていたようだが、まさか過去視を……？			黄泉神降臨							
犠牲者の遺体は、先ほどの村人に、丁重に弔うようにと頼んでおいた。			犠牲者の遺体は、先ほどの村人に、丁重に弔うようにと頼んでおいた。			黄泉神降臨							
ところで、キセイと話しておるときに、何やらふらついておったようだが？			ところで、キセイと話しておるときに、何やらふらついておったようだが？			黄泉神降臨							
そうか、キセイの過去を……義娘が偽神獣化するところを視たと……。			そうか、キセイの過去を……義娘が偽神獣化するところを視たと……。			黄泉神降臨							
……目の前で人が、よりによって義娘が、異形と化すのを目の当たりにすれば、どうにか己の知識で解釈しようとするのも無理はない。			……目の前で人が、よりによって義娘が、異形と化すのを目の当たりにすれば、どうにか己の知識で解釈しようとするのも無理はない。			黄泉神降臨							
そのキセイという者は、もとより信心深かったと言ったな。ならば理屈を説いたところで、簡単に心を変えはすまい。偽神獣討伐の障害とならなければよいのだが……。			そのキセイという者は、もとより信心深かったと言ったな。ならば理屈を説いたところで、簡単に心を変えはすまい。偽神獣討伐の障害とならなければよいのだが……。			黄泉神降臨							
ともかくドマ町人地に戻ることにしよう。手痛い犠牲は出たが、これから成すべきことはわかった。			ともかくドマ町人地に戻ることにしよう。手痛い犠牲は出たが、これから成すべきことはわかった。			黄泉神降臨							
ヒエン様は何を成そうとしているのだろうか……。			ヒエン様は何を成そうとしているのだろうか……。			黄泉神降臨							
犠牲者を出してしまったことは痛恨事ではあるが、そなたが視た過去から、偽神獣の発生要因と狙いが判明した。			犠牲者を出してしまったことは痛恨事ではあるが、そなたが視た過去から、偽神獣の発生要因と狙いが判明した。			黄泉神降臨							
偽神獣へと転化したミナトという女は、心根の優しい者だったのだろう。			偽神獣へと転化したミナトという女は、心根の優しい者だったのだろう。			黄泉神降臨							
夫を喪った一方で、帰還を果たした隣人たちを……そして何より、仇であるヨツユを処断しなかったわしを見て、彼女は絶望を深めてしまった。			夫を喪った一方で、帰還を果たした隣人たちを……そして何より、仇であるヨツユを処断しなかったわしを見て、彼女は絶望を深めてしまった。			黄泉神降臨							
それが最善と信じて取った行動であっても、己が決断で、獣に転じるほどの絶望を抱いた者がいたという事実。わしは、これを受け止め、背負って、生きてゆかねばならん。			それが最善と信じて取った行動であっても、己が決断で、獣に転じるほどの絶望を抱いた者がいたという事実。わしは、これを受け止め、背負って、生きてゆかねばならん。			黄泉神降臨							
無事に戻った者たちを恨めしく思いたくない。そう言って身投げしようとした、ミナトのためにも……これ以上、偽神獣に殺しをさせてはならん。			無事に戻った者たちを恨めしく思いたくない。そう言って身投げしようとした、ミナトのためにも……これ以上、偽神獣に殺しをさせてはならん。			黄泉神降臨							
ゆえにわしは、捕虜交換の帰還者たちが襲われぬよう、できる限り、帰燕館に匿おうと思う。			ゆえにわしは、捕虜交換の帰還者たちが襲われぬよう、できる限り、帰燕館に匿おうと思う。			黄泉神降臨							
その上であらためて、偽神獣討伐のための策を練るのだ。Forename、此度も助かった。また、折を見て訪ねてくれ。			その上であらためて、偽神獣討伐のための策を練るのだ。Forename、此度も助かった。また、折を見て訪ねてくれ。			黄泉神降臨							
イシュガルドの作戦立案室にいるアルトアレールは、報告を待っているようだ。			イシュガルドの作戦立案室にいるアルトアレールは、報告を待っているようだ。			赦しもなく、救いもなく							
アイメリク、アルトアレールとともに、クレム助祭から話を聞いた。偽神獣ファーヴニルの行動を予測するため、ファーヴニルの正体を探ることとなった。イシュガルドの上層の「グランド・ホプロン」周辺で、偽神獣と化した青年の目撃情報を集めよう。			アイメリク、アルトアレールとともに、クレム助祭から話を聞いた。偽神獣ファーヴニルの行動を予測するため、ファーヴニルの正体を探ることとなった。イシュガルドの上層の「グランド・ホプロン」周辺で、偽神獣と化した青年の目撃情報を集めよう。			赦しもなく、救いもなく							
皇都の市民から話を聞いた。イシュガルドの上層、尊者の凱旋門付近にいる「アイメリク」に報告しよう。			皇都の市民から話を聞いた。イシュガルドの上層、尊者の凱旋門付近にいる「アイメリク」に報告しよう。			赦しもなく、救いもなく							
アイメリク、アルトアレールと聞き込みした情報をすり合わせた。ヴァンドローを知る者に話を聞くため、アルトアレールが蒼天街へ赴いてくれることとなった。アイメリクとともに、イシュガルドの下層、雲霧街の「指定地点」で待機しよう。			アイメリク、アルトアレールと聞き込みした情報をすり合わせた。ヴァンドローを知る者に話を聞くため、アルトアレールが蒼天街へ赴いてくれることとなった。アイメリクとともに、イシュガルドの下層、雲霧街の「指定地点」で待機しよう。			赦しもなく、救いもなく							
ヴァンドローという青年を看病していたロヴリックから話を聞いた。偽神獣となったヴァンドローは、蒼天街のルーシュマンド記念病院に入院していた患者だったようだ。今後の作戦を練るため作戦立案室に戻って「アルトアレール」と話そう。一度外に出た場合は、神殿騎士団本部にいる「神殿騎士団の衛兵」が、作戦立案室へ案内してくれるようだ。			ヴァンドローという青年を看病していたロヴリックから話を聞いた。偽神獣となったヴァンドローは、蒼天街のルーシュマンド記念病院に入院していた患者だったようだ。今後の作戦を練るため作戦立案室に戻って「アルトアレール」と話そう。一度外に出た場合は、神殿騎士団本部にいる「神殿騎士団の衛兵」が、作戦立案室へ案内してくれるようだ。			赦しもなく、救いもなく							
アイメリク、アルトアレールと話した。ヴァンドローの正体に迫るため、引き続き彼らに協力しよう。※いずれかの遠隔魔法DPSジョブのレベルが87以上になると、神殿騎士団本部内、作戦立案室のアルトアレールから次の遠隔魔法DPSロールクエストを受注することができます。			アイメリク、アルトアレールと話した。ヴァンドローの正体に迫るため、引き続き彼らに協力しよう。※いずれかの遠隔魔法DPSジョブのレベルが87以上になると、神殿騎士団本部内、作戦立案室のアルトアレールから次の遠隔魔法DPSロールクエストを受注することができます。			赦しもなく、救いもなく							
グランド・ホプロン周辺で偽神獣となった男の目撃証言を集める			グランド・ホプロン周辺で偽神獣となった男の目撃証言を集める			赦しもなく、救いもなく							
アイメリクと話す			アイメリクと話す			赦しもなく、救いもなく							
雲霧街の指定地点で待機			雲霧街の指定地点で待機			赦しもなく、救いもなく							
作戦立案室のアルトアレールと話す			作戦立案室のアルトアレールと話す			赦しもなく、救いもなく							
Forename殿。来てくれたか。			Forename殿。来てくれたか。			赦しもなく、救いもなく							
保護した聖職者たちの事情聴取だが、クレム助祭が、慎重に進めてくれていてな。まもなく、報告に来てくれるはずなのだが……。			保護した聖職者たちの事情聴取だが、クレム助祭が、慎重に進めてくれていてな。まもなく、報告に来てくれるはずなのだが……。			赦しもなく、救いもなく							
アイメリク卿にも話は伝えてあるゆえ、すぐにいらっしゃるはずだ。みなで話を聞こう。			アイメリク卿にも話は伝えてあるゆえ、すぐにいらっしゃるはずだ。みなで話を聞こう。			赦しもなく、救いもなく							
クレム助祭、ご足労感謝する。さっそくだが、いくつか聞かせてほしいことがある。			クレム助祭、ご足労感謝する。さっそくだが、いくつか聞かせてほしいことがある。			赦しもなく、救いもなく							
ええ、わたくしに答えられるものであれば、是非とも協力させてください。			ええ、わたくしに答えられるものであれば、是非とも協力させてください。			赦しもなく、救いもなく							
ではさっそくだが……保護した者たちは、獣に転じた異端審問官と知己であり、彼らはイシュガルド正教の聖職者であった。			ではさっそくだが……保護した者たちは、獣に転じた異端審問官と知己であり、彼らはイシュガルド正教の聖職者であった。			赦しもなく、救いもなく							
そして人里離れた地域に移り住んだ理由は、皇都の一部市民による、正教への糾弾を恐れるため……。これに間違いはないか？			そして人里離れた地域に移り住んだ理由は、皇都の一部市民による、正教への糾弾を恐れるため……。これに間違いはないか？			赦しもなく、救いもなく							
ええ、そのようです。皇都は敬虔な信徒が多かったぶん反動も大きく、一部には厳しい批判の声もありましたから。			ええ、そのようです。皇都は敬虔な信徒が多かったぶん反動も大きく、一部には厳しい批判の声もありましたから。			赦しもなく、救いもなく							
正教が偽りの歴史を教えてきたことは事実ですが、何も知らされていなかったのは、我々も同じなのです。それを問いただしても、軋轢を生むだけだというのに……。			正教が偽りの歴史を教えてきたことは事実ですが、何も知らされていなかったのは、我々も同じなのです。それを問いただしても、軋轢を生むだけだというのに……。			赦しもなく、救いもなく							
貴殿の言うとおりだ。だが、誰かを責めずにはいられない者が少なくないのも、悲しいかな、現実ではあるのだろう……。			貴殿の言うとおりだ。だが、誰かを責めずにはいられない者が少なくないのも、悲しいかな、現実ではあるのだろう……。			赦しもなく、救いもなく							
もうひとつ聞かせてくれ。獣化してしまった者たちを含めて、貴殿ら聖職者が、竜詩戦争終結後に、どんな葛藤を抱いてきたのかを……。			もうひとつ聞かせてくれ。獣化してしまった者たちを含めて、貴殿ら聖職者が、竜詩戦争終結後に、どんな葛藤を抱いてきたのかを……。			赦しもなく、救いもなく							
戦争の終結は、もちろん悲願ではありましたが……我ら聖職者たちにかぎっては、現状に満足している者はいないと言っていいでしょう。			戦争の終結は、もちろん悲願ではありましたが……我ら聖職者たちにかぎっては、現状に満足している者はいないと言っていいでしょう。			赦しもなく、救いもなく							
我々聖職者にとって、我が身を捧げんとした正教は、己を己たらしめる思想の核のようなものです。			我々聖職者にとって、我が身を捧げんとした正教は、己を己たらしめる思想の核のようなものです。			赦しもなく、救いもなく							
その欺瞞と真実を知って、みな葛藤しています。裏切られた悲しみ、何も知らなかった自分への無力感や自責、そして、思想や行動の規範が失われた喪失感……。			その欺瞞と真実を知って、みな葛藤しています。裏切られた悲しみ、何も知らなかった自分への無力感や自責、そして、思想や行動の規範が失われた喪失感……。			赦しもなく、救いもなく							
我々はずっと……暗闇の只中にいる思いです。			我々はずっと……暗闇の只中にいる思いです。			赦しもなく、救いもなく							
しかし、わたくしは信じております。正教が新しい道をみつけ、また人々の希望となることを……。			しかし、わたくしは信じております。正教が新しい道をみつけ、また人々の希望となることを……。			赦しもなく、救いもなく							
正直なところを語ってくれて、ありがとう。しかし、これで確信が持てた……。			正直なところを語ってくれて、ありがとう。しかし、これで確信が持てた……。			赦しもなく、救いもなく							
クレム助祭、貴殿には話しておきたいことがある。エオルゼア各地で発生している人の獣化現象は、人の「絶望」に起因する。			クレム助祭、貴殿には話しておきたいことがある。エオルゼア各地で発生している人の獣化現象は、人の「絶望」に起因する。			赦しもなく、救いもなく							
貴殿の話してくれた聖職者たちの抱える不安。それがときに絶望にまで至り、彼らを獣化させているというのが、現状の私たちの推察だ。			貴殿の話してくれた聖職者たちの抱える不安。それがときに絶望にまで至り、彼らを獣化させているというのが、現状の私たちの推察だ。			赦しもなく、救いもなく							
貴殿も聖職者ではあるが、改革の希望を信じていたがゆえに、獣に転じなかったのだろう。その心根の強さを見込み、調査に協力してほしい。			貴殿も聖職者ではあるが、改革の希望を信じていたがゆえに、獣に転じなかったのだろう。その心根の強さを見込み、調査に協力してほしい。			赦しもなく、救いもなく							
…………同志を絶望から救うためならば、喜んで。			…………同志を絶望から救うためならば、喜んで。			赦しもなく、救いもなく							
クレム助祭のおかげで、推察はより現実味を帯びたが、そうなると偽神獣の正体が気にかかりますな。			クレム助祭のおかげで、推察はより現実味を帯びたが、そうなると偽神獣の正体が気にかかりますな。			赦しもなく、救いもなく							
この皇都で誰よりも正教の現状を嘆き、強大な偽神獣となった……彼もまた、聖職者だったのでしょうか？			この皇都で誰よりも正教の現状を嘆き、強大な偽神獣となった……彼もまた、聖職者だったのでしょうか？			赦しもなく、救いもなく							
わたくしが姿を見たのは、転じる前の一瞬でしたが……外套も羽織らず、ひどく簡素な身なりをした男性でした。聖職者のようには、とても……。			わたくしが姿を見たのは、転じる前の一瞬でしたが……外套も羽織らず、ひどく簡素な身なりをした男性でした。聖職者のようには、とても……。			赦しもなく、救いもなく							
ラザハンの報告書によると、偽神獣の行動は、生前の人格や記憶に影響を受けている可能性があるという。			ラザハンの報告書によると、偽神獣の行動は、生前の人格や記憶に影響を受けている可能性があるという。			赦しもなく、救いもなく							
偽神獣の行動原理がわかれば、討伐にも役立てるだろう。そのためにも、偽神獣ファーヴニルの正体を探らねばな。			偽神獣の行動原理がわかれば、討伐にも役立てるだろう。そのためにも、偽神獣ファーヴニルの正体を探らねばな。			赦しもなく、救いもなく							
クレム助祭には、不安を抱える聖職者への呼びかけを頼みたい。彼らの心が、少しでも落ち着くように。			クレム助祭には、不安を抱える聖職者への呼びかけを頼みたい。彼らの心が、少しでも落ち着くように。			赦しもなく、救いもなく							
もちろんです。人の心に寄り添い、救うことこそが、わたくしの使命ですから。			もちろんです。人の心に寄り添い、救うことこそが、わたくしの使命ですから。			赦しもなく、救いもなく							
やはり、鍵は偽神獣の正体にある。神殿騎士団に捜査を任せてきたが、いまいちど、我々も目撃情報の洗い出しを行ってみよう。			やはり、鍵は偽神獣の正体にある。神殿騎士団に捜査を任せてきたが、いまいちど、我々も目撃情報の洗い出しを行ってみよう。			赦しもなく、救いもなく							
偽神獣が発生した際、グランド・ホプロンには、聖職者たちだけではなく一般市民がいたはずだ。皇都の上層で、偽神獣となった男の目撃証言を集めよう。			偽神獣が発生した際、グランド・ホプロンには、聖職者たちだけではなく一般市民がいたはずだ。皇都の上層で、偽神獣となった男の目撃証言を集めよう。			赦しもなく、救いもなく							
Forename。君は「グランド・ホプロン」の周辺での聞き込みを頼む。			Forename。君は「グランド・ホプロン」の周辺での聞き込みを頼む。			赦しもなく、救いもなく							
手分けをして、偽神獣となった男の目撃証言を集めよう。			手分けをして、偽神獣となった男の目撃証言を集めよう。			赦しもなく、救いもなく							
