ミーン工芸館のベスリクは、冒険者に相談したいことがあるようだ。			ミーン工芸館のベスリクは、冒険者に相談したいことがあるようだ。			生きるべき場所							
さて……。大変な困難はあったが、お前たちは見事に乗り越え、今、この一帯の神殿には魔力が満ちている。			さて……。大変な困難はあったが、お前たちは見事に乗り越え、今、この一帯の神殿には魔力が満ちている。			キタンナ神影洞							
目的の「キタンナ神影洞」の扉もまた、開くことができるだろう。			目的の「キタンナ神影洞」の扉もまた、開くことができるだろう。			キタンナ神影洞							
敵襲があったりで、うやむやになっていたけれど……そちらは、大罪喰いについて、ほかに何かめぼしい情報を得られて？			敵襲があったりで、うやむやになっていたけれど……そちらは、大罪喰いについて、ほかに何かめぼしい情報を得られて？			キタンナ神影洞							
調査に費やせた時間は短いものでしたが、周辺の地形や、護り手たちの巡回路の確認、情報提供者であるコリル嬢への再聴取はできました。			調査に費やせた時間は短いものでしたが、周辺の地形や、護り手たちの巡回路の確認、情報提供者であるコリル嬢への再聴取はできました。			キタンナ神影洞							
結果、ラケティカ大飛瀑で発見された罪喰いは、確かに大罪喰いの特性を有していたと判明……。			結果、ラケティカ大飛瀑で発見された罪喰いは、確かに大罪喰いの特性を有していたと判明……。			キタンナ神影洞							
そして、こちらが大飛瀑に行きにくいのと同様の理由で、その個体もまた、居場所を変えていない可能性が高い……と結論づけました。			そして、こちらが大飛瀑に行きにくいのと同様の理由で、その個体もまた、居場所を変えていない可能性が高い……と結論づけました。			キタンナ神影洞							
つまり、「キタンナ神影洞」を抜けた先で、その大罪喰い候補と出会える可能性が、かなり高いということね？			つまり、「キタンナ神影洞」を抜けた先で、その大罪喰い候補と出会える可能性が、かなり高いということね？			キタンナ神影洞							
私たちの、肉体と頭脳の労働は、どうやら無駄にはならなさそうよ。……さっそく、「キタンナ神影洞」に向かいましょう。			私たちの、肉体と頭脳の労働は、どうやら無駄にはならなさそうよ。……さっそく、「キタンナ神影洞」に向かいましょう。			キタンナ神影洞							
お前たちにとっては、大飛瀑に通じる道にすぎないだろうが、あそこは、ロンカの帝が護らんとした叡智の中でも、「もっとも古きもの」が祀られた神殿とされている。			お前たちにとっては、大飛瀑に通じる道にすぎないだろうが、あそこは、ロンカの帝が護らんとした叡智の中でも、「もっとも古きもの」が祀られた神殿とされている。			キタンナ神影洞							
その叡智を同盟者に伝えんとしてきた我々としては、目的を達したあとでもいい、祀られた叡智も、受け取ってきてもらえると嬉しい。			その叡智を同盟者に伝えんとしてきた我々としては、目的を達したあとでもいい、祀られた叡智も、受け取ってきてもらえると嬉しい。			キタンナ神影洞							
あら、私は最初から、それも楽しみにしていてよ？仮に今調査しきれなかったとしても、あとで必ず調べ尽くしにくるから、覚悟しておいてね。			あら、私は最初から、それも楽しみにしていてよ？仮に今調査しきれなかったとしても、あとで必ず調べ尽くしにくるから、覚悟しておいてね。			キタンナ神影洞							
あはは、そりゃあ帝も喜ぶな！			あはは、そりゃあ帝も喜ぶな！			キタンナ神影洞							
けど気をつけろよ、神殿に魔力を通したってことは、防衛機構も稼働しはじめてるはずだぞ。			けど気をつけろよ、神殿に魔力を通したってことは、防衛機構も稼働しはじめてるはずだぞ。			キタンナ神影洞							
はい……。大ピラミッドでも仕掛けに容赦がなかったように、同盟者だからといって、手加減はしてもらえません……。			はい……。大ピラミッドでも仕掛けに容赦がなかったように、同盟者だからといって、手加減はしてもらえません……。			キタンナ神影洞							
本当に、気をつけて行ってきてくださいね……！			本当に、気をつけて行ってきてくださいね……！			キタンナ神影洞							
「キタンナ神影洞」に続く扉は、この東屋から、東に足場を下ったところにある。……我らが同盟者に、幸運を。			「キタンナ神影洞」に続く扉は、この東屋から、東に足場を下ったところにある。……我らが同盟者に、幸運を。			キタンナ神影洞							
姐さん……今さら止めたりはしないけど、本当に気をつけて。オイラ、「夜の民」のみんなと一緒に、スリザーバウで、姐さんたちの帰りを待つよ。			姐さん……今さら止めたりはしないけど、本当に気をつけて。オイラ、「夜の民」のみんなと一緒に、スリザーバウで、姐さんたちの帰りを待つよ。			キタンナ神影洞							
ええ……ありがとう、ルナル。とびきりの、あなたたちが目にしたことない光景を土産にして、きっと戻ると約束するわ。			ええ……ありがとう、ルナル。とびきりの、あなたたちが目にしたことない光景を土産にして、きっと戻ると約束するわ。			キタンナ神影洞							
さあ、「キタンナ神影洞」に向かいましょう……！			さあ、「キタンナ神影洞」に向かいましょう……！			キタンナ神影洞							
ここね……さっそく、扉に触れてみましょう。			ここね……さっそく、扉に触れてみましょう。			キタンナ神影洞							
こちらの準備は万全だ。			こちらの準備は万全だ。			キタンナ神影洞							
中はどうなっているんでしょう……？			中はどうなっているんでしょう……？			キタンナ神影洞							
いざ、ロンカの神秘を、この目に……。			いざ、ロンカの神秘を、この目に……。			キタンナ神影洞							
Forename、姐さんをよろしく頼む。オイラ、みんなの無事を、心から祈るよ……。			Forename、姐さんをよろしく頼む。オイラ、みんなの無事を、心から祈るよ……。			キタンナ神影洞							
「キタンナ神影洞」に続く扉は、この東屋から、東に足場を下ったところにある。……我らが同盟者に、幸運を。			「キタンナ神影洞」に続く扉は、この東屋から、東に足場を下ったところにある。……我らが同盟者に、幸運を。			キタンナ神影洞							
ロンカの防衛機構、マジで容赦ないから、がんばれよー！			ロンカの防衛機構、マジで容赦ないから、がんばれよー！			キタンナ神影洞							
私たちは、引き続き、森の様子に気を配っておきますねぇ。どうかどうか、お気をつけてぇ……！			私たちは、引き続き、森の様子に気を配っておきますねぇ。どうかどうか、お気をつけてぇ……！			キタンナ神影洞							
なんだ、私は一緒に行かないぞ？戦力としては期待するなと、最初に言っておいただろう。			なんだ、私は一緒に行かないぞ？戦力としては期待するなと、最初に言っておいただろう。			キタンナ神影洞							
だが、まあ、英雄殿に声をかけていただいた記念だ。何か質問があるなら答えるが……どうする？			だが、まあ、英雄殿に声をかけていただいた記念だ。何か質問があるなら答えるが……どうする？			キタンナ神影洞							
何と言う？			何と言う？			キタンナ神影洞							
第一世界に、ほかのアシエンはいるのか？			第一世界に、ほかのアシエンはいるのか？			キタンナ神影洞							
聞きたいことはない			聞きたいことはない			キタンナ神影洞							
ふむ、今は私だけだ。別に複数で押しかけちゃならない決まりもないんだが、最近は人員不足で空位の「座」も多くてな……おお世知辛い。			ふむ、今は私だけだ。別に複数で押しかけちゃならない決まりもないんだが、最近は人員不足で空位の「座」も多くてな……おお世知辛い。			キタンナ神影洞							
私たちの活動に、堅苦しい決まりはない。最初のころは世界ごとに担当がしっかりあったんだが、まー……はりきったイゲオルムが、やりすぎたからなぁ……。			私たちの活動に、堅苦しい決まりはない。最初のころは世界ごとに担当がしっかりあったんだが、まー……はりきったイゲオルムが、やりすぎたからなぁ……。			キタンナ神影洞							
昨今では、必要に応じて手を組むし、ひとりでコツコツやりたければそれで……という気風だ。お前のところにだって、ペアで現れた奴もいただろう？			昨今では、必要に応じて手を組むし、ひとりでコツコツやりたければそれで……という気風だ。お前のところにだって、ペアで現れた奴もいただろう？			キタンナ神影洞							
ああ、ペアといえば……長らく第一世界で活動していたのは、ミトロンとアログリフという、仲のいいふたりだった。			ああ、ペアといえば……長らく第一世界で活動していたのは、ミトロンとアログリフという、仲のいいふたりだった。			キタンナ神影洞							
結果、そろって100年前の「光の戦士たち」にやられたけどな。まあ、どちらも転生組だから、やろうと思えば替えがきくわけだが……。			結果、そろって100年前の「光の戦士たち」にやられたけどな。まあ、どちらも転生組だから、やろうと思えば替えがきくわけだが……。			キタンナ神影洞							
……そのあたりは、またいずれ話してやろう。お前が、私に声をかけるのを、ゆめゆめ忘れずにいたならな？			……そのあたりは、またいずれ話してやろう。お前が、私に声をかけるのを、ゆめゆめ忘れずにいたならな？			キタンナ神影洞							
ならグズグズしているな、とっとと神影洞とやらに行け。お前が大罪喰いを倒してくるのを、私なりに、待ちわびているんだぞ……？			ならグズグズしているな、とっとと神影洞とやらに行け。お前が大罪喰いを倒してくるのを、私なりに、待ちわびているんだぞ……？			キタンナ神影洞							
扉に魔力が流れているのを感じる。押せば開くことができそうだ……！			扉に魔力が流れているのを感じる。押せば開くことができそうだ……！			キタンナ神影洞							
……無事、扉を開けそうね。			……無事、扉を開けそうね。			キタンナ神影洞							
ラケティカ大飛瀑の方まで進んだなら、続けて、大罪喰いとの戦闘になる可能性もある。気を引きしめて……行きましょう！			ラケティカ大飛瀑の方まで進んだなら、続けて、大罪喰いとの戦闘になる可能性もある。気を引きしめて……行きましょう！			キタンナ神影洞							
どうする？			どうする？			キタンナ神影洞							
話す			話す			キタンナ神影洞							
パーティを編成して突入			パーティを編成して突入			キタンナ神影洞							
キャンセル			キャンセル			キタンナ神影洞							
そういえば、こっちに来て戦い方を変えたことについて、あなたに話をしていなかったかしら……？自分では馴染みすぎていて、すっかり失念していたわ……。			そういえば、こっちに来て戦い方を変えたことについて、あなたに話をしていなかったかしら……？自分では馴染みすぎていて、すっかり失念していたわ……。			キタンナ神影洞							
当初は、あなたもいない状態だったし、護るばかりではなく、攻め込み、進む力が、私自身にも必要だったのよ。			当初は、あなたもいない状態だったし、護るばかりではなく、攻め込み、進む力が、私自身にも必要だったのよ。			キタンナ神影洞							
もともと魔力の操作は得意な方だったから、攻撃魔法に転化させるのも、コツさえつかめば早かったわ。今は、こっちの方が性に合ってるとすら思うほどよ？			もともと魔力の操作は得意な方だったから、攻撃魔法に転化させるのも、コツさえつかめば早かったわ。今は、こっちの方が性に合ってるとすら思うほどよ？			キタンナ神影洞							
古代文明の遺跡か……。気をつけてないと、フラッと脇道にそれて、調査を始めちまいそうな賢人が、2人ほどいるな……。			古代文明の遺跡か……。気をつけてないと、フラッと脇道にそれて、調査を始めちまいそうな賢人が、2人ほどいるな……。			キタンナ神影洞							
まあ、どうにかこうにか、引っ張っていくさ。……行こう、Forename！			まあ、どうにかこうにか、引っ張っていくさ。……行こう、Forename！			キタンナ神影洞							
何千年も前に建てられた神殿……。それに今自分が挑むというのが、なんだかとても、不思議なんです。			何千年も前に建てられた神殿……。それに今自分が挑むというのが、なんだかとても、不思議なんです。			キタンナ神影洞							
「ミンフィリア」みたいに転生することがなくたって、こうして、誰かが築いた歴史が、自分の代まで伝わっている……本当にすごい……すごいですよね……。			「ミンフィリア」みたいに転生することがなくたって、こうして、誰かが築いた歴史が、自分の代まで伝わっている……本当にすごい……すごいですよね……。			キタンナ神影洞							
コリル嬢に再聴取をした結果、彼女の母君が話していた、大罪喰いの姿についても、思い出していただくことができました。			コリル嬢に再聴取をした結果、彼女の母君が話していた、大罪喰いの姿についても、思い出していただくことができました。			キタンナ神影洞							
なんでも、3つの頭を持ち、羽に覆われ、犬のようであり猿のようでもある……だとか……。……アルフィノ様がいらしたら、絵にしていただけたのですが。			なんでも、3つの頭を持ち、羽に覆われ、犬のようであり猿のようでもある……だとか……。……アルフィノ様がいらしたら、絵にしていただけたのですが。			キタンナ神影洞							
最古にして、最強の、蛮神……。それが「星の意志」の正体なら、「ミンフィリア」は……。			最古にして、最強の、蛮神……。それが「星の意志」の正体なら、「ミンフィリア」は……。			キタンナ神影洞							
最古の蛮神……蛮神……。ごめんなさい、サンクレッドから聞いてはいるんですが、こちらの世界では見かけないので、ピンとこなくて……。			最古の蛮神……蛮神……。ごめんなさい、サンクレッドから聞いてはいるんですが、こちらの世界では見かけないので、ピンとこなくて……。			キタンナ神影洞							
真実とは、唯一であるようでいて、見る者によって形を変えるものです……。エメトセルクの語ったことも、あるいは……。			真実とは、唯一であるようでいて、見る者によって形を変えるものです……。エメトセルクの語ったことも、あるいは……。			キタンナ神影洞							
戻って来たか……しかし、皆はどうした？			戻って来たか……しかし、皆はどうした？			キタンナ神影洞							
あーっ、やっと帰ってきた！なあ、どうしたんだよこの空っ！？			あーっ、やっと帰ってきた！なあ、どうしたんだよこの空っ！？			キタンナ神影洞							
おかえりなさい……！いったい中で何があったんですかぁ～！？			おかえりなさい……！いったい中で何があったんですかぁ～！？			キタンナ神影洞							
ふぅ……。どうにか戻ってこられたわけだけれど……。			ふぅ……。どうにか戻ってこられたわけだけれど……。			キタンナ神影洞							
蛮神である、ゾディアークとハイデリン……。そして、その召喚者だったアシエン……。まさか、ここにきて、そんな話まで聞くことになるとはね。			蛮神である、ゾディアークとハイデリン……。そして、その召喚者だったアシエン……。まさか、ここにきて、そんな話まで聞くことになるとはね。			キタンナ神影洞							
午睡の東屋のウリエンジェは、手当を代わってくれるようだ。			午睡の東屋のウリエンジェは、手当を代わってくれるようだ。			揺らめく灯火							
エメトセルクと話す			エメトセルクと話す			揺らめく灯火							
標の灯火を使い地脈の本流を探す			標の灯火を使い地脈の本流を探す			揺らめく灯火							
地脈の本流で指笛を吹く			地脈の本流で指笛を吹く			揺らめく灯火							
エメトセルクと話す			エメトセルクと話す			揺らめく灯火							
ヤ・シュトラと話す			ヤ・シュトラと話す			揺らめく灯火							
…………あね……さ……。			…………あね……さ……。			揺らめく灯火							
では、私がルナル導師の治療をいたしましょう。Forenameさんは、しばし休憩を……。			では、私がルナル導師の治療をいたしましょう。Forenameさんは、しばし休憩を……。			揺らめく灯火							
罠……というわけではなさそうだが、十分に注意しろよ、Forename……。			罠……というわけではなさそうだが、十分に注意しろよ、Forename……。			揺らめく灯火							
これで、マトーヤさんが助かるんでしょうか……？			これで、マトーヤさんが助かるんでしょうか……？			揺らめく灯火							
地脈への介入というのは、魔法に覚えがある者でも、そうそう為せる技ではありません。ここは、彼に頼るほかないかと……。			地脈への介入というのは、魔法に覚えがある者でも、そうそう為せる技ではありません。ここは、彼に頼るほかないかと……。			揺らめく灯火							
何が何だかわからないが、姐さんはまだ生きてるってことだよな！？　そうだろ！？			何が何だかわからないが、姐さんはまだ生きてるってことだよな！？　そうだろ！？			揺らめく灯火							
事情はわからないが、その者をここに連れてきたことは、間違いではなかったようだな。……私も、あの賢き同盟者には、できれば戻ってほしい。			事情はわからないが、その者をここに連れてきたことは、間違いではなかったようだな。……私も、あの賢き同盟者には、できれば戻ってほしい。			揺らめく灯火							
いやー、こんな状況なのに木の上でのんびりしてるとか、どう考えても怪しいヤツだったからな。捕まえてきて、お手柄だったろ？			いやー、こんな状況なのに木の上でのんびりしてるとか、どう考えても怪しいヤツだったからな。捕まえてきて、お手柄だったろ？			揺らめく灯火							
ひとまず、敵を連れてきたんじゃなくて、安心しましたぁ～。もしそうだったら、ほら……「ふさわしい対応」をしないといけませんからぁ。			ひとまず、敵を連れてきたんじゃなくて、安心しましたぁ～。もしそうだったら、ほら……「ふさわしい対応」をしないといけませんからぁ。			揺らめく灯火							
ん……それじゃあ、やってやるから、お前も手を貸せ。まずは、引き揚げに足る、太い地脈が流れている場所を探す必要がある。			ん……それじゃあ、やってやるから、お前も手を貸せ。まずは、引き揚げに足る、太い地脈が流れている場所を探す必要がある。			揺らめく灯火							
そうだな……これを持っていけ。私の魔力でできている「標の灯火」だ。			そうだな……これを持っていけ。私の魔力でできている「標の灯火」だ。			揺らめく灯火							
これが大きく揺れる場所ほど、地脈が太い。揺れを頼りに、ここぞという場所を探し出せ。			これが大きく揺れる場所ほど、地脈が太い。揺れを頼りに、ここぞという場所を探し出せ。			揺らめく灯火							
見つけたら……あー……まあ、合図の指笛でも吹け。面倒だが、私から出向いてやるとしよう。			見つけたら……あー……まあ、合図の指笛でも吹け。面倒だが、私から出向いてやるとしよう。			揺らめく灯火							
今回の探索では、指定地点が表示されません。			今回の探索では、指定地点が表示されません。			揺らめく灯火							
マップに記された範囲内で、イベントアイテム「標の灯火」を使用して、「地脈の本流」を探りあてましょう！			マップに記された範囲内で、イベントアイテム「標の灯火」を使用して、「地脈の本流」を探りあてましょう！			揺らめく灯火							
ほらどうした、さっさと行け。「標の灯火」は、太い地脈のそばほど、大きく揺らぐ。ここぞという場所を探しあてるんだ。			ほらどうした、さっさと行け。「標の灯火」は、太い地脈のそばほど、大きく揺らぐ。ここぞという場所を探しあてるんだ。			揺らめく灯火							
炎が、ひときわ大きく揺らめいた！このあたりに「地脈の本流」があるようだ。			炎が、ひときわ大きく揺らめいた！このあたりに「地脈の本流」があるようだ。			揺らめく灯火							
炎が、大きく揺らめいた。少しだけ場所を変えて、再度「標の灯火」を見てみよう。			炎が、大きく揺らめいた。少しだけ場所を変えて、再度「標の灯火」を見てみよう。			揺らめく灯火							
炎が、小さく揺らめいた……。もう少し場所を変えて、再度「標の灯火」を見てみよう。			炎が、小さく揺らめいた……。もう少し場所を変えて、再度「標の灯火」を見てみよう。			揺らめく灯火							
炎が、ほんのかすかに揺らめいた……。場所を変えて、再度「標の灯火」を見てみよう。			炎が、ほんのかすかに揺らめいた……。場所を変えて、再度「標の灯火」を見てみよう。			揺らめく灯火							
炎は、まったく揺らめかない……。太い地脈は、ほかの場所にあるようだ。			炎は、まったく揺らめかない……。太い地脈は、ほかの場所にあるようだ。			揺らめく灯火							
あら、エメトセルクは……？			あら、エメトセルクは……？			揺らめく灯火							
エンシェント・テレポに巻き込まれた経験が、役に立ったようで、何よりだ。			エンシェント・テレポに巻き込まれた経験が、役に立ったようで、何よりだ。			揺らめく灯火							
……しかし、エメトセルクのおかげで、彼女の身を隠す「相棒」は不要だったか。万一に備えて、捕まえておいたんだがな……。			……しかし、エメトセルクのおかげで、彼女の身を隠す「相棒」は不要だったか。万一に備えて、捕まえておいたんだがな……。			揺らめく灯火							
マトーヤさんが一緒にいると、なんだかとっても、頼もしいです。でも……体は大丈夫なのかな……？			マトーヤさんが一緒にいると、なんだかとっても、頼もしいです。でも……体は大丈夫なのかな……？			揺らめく灯火							
歴史を見ても、2度も地脈の放浪から生還した者は稀でしょう。それが異なる世界の地脈ともなれば……私はそれほど幸運な者を、彼女のほかに知りません。			歴史を見ても、2度も地脈の放浪から生還した者は稀でしょう。それが異なる世界の地脈ともなれば……私はそれほど幸運な者を、彼女のほかに知りません。			揺らめく灯火							
それほどの数奇な運命を経て、彼女が戻ったことが、私はとても嬉しいのです。			それほどの数奇な運命を経て、彼女が戻ったことが、私はとても嬉しいのです。			揺らめく灯火							
本当に、マトーヤの姐さんが無事でよかった……。オイラの不調なんて、みんなどっかに飛んでいっちゃったよ。			本当に、マトーヤの姐さんが無事でよかった……。オイラの不調なんて、みんなどっかに飛んでいっちゃったよ。			揺らめく灯火							
賢き同盟者の帰還を、心から歓迎しよう。帝のおっしゃったとおり、失うべき者は失い、得るべきものは得る宿命にあるのだな。			賢き同盟者の帰還を、心から歓迎しよう。帝のおっしゃったとおり、失うべき者は失い、得るべきものは得る宿命にあるのだな。			揺らめく灯火							
いや～、よかったよかった！これでいよいよ、遺跡探索の再開だな？			いや～、よかったよかった！これでいよいよ、遺跡探索の再開だな？			揺らめく灯火							
本当に、みなさんが無事再会できてよかったですぅ。私たちも、三千年待ったからには、同盟者さんたちを、ロンカの神殿にご案内したいですし！			本当に、みなさんが無事再会できてよかったですぅ。私たちも、三千年待ったからには、同盟者さんたちを、ロンカの神殿にご案内したいですし！			揺らめく灯火							
……あんな風に、抱き合って感動の再会を果たした奴らも、いずれは反目しあい、互いを裏切るかもしれない。			……あんな風に、抱き合って感動の再会を果たした奴らも、いずれは反目しあい、互いを裏切るかもしれない。			揺らめく灯火							
なあ、そう思うだろう？お前たちときたら、いまだにそんなことの繰り返しだものな。			なあ、そう思うだろう？お前たちときたら、いまだにそんなことの繰り返しだものな。			揺らめく灯火							
何と言う？			何と言う？			揺らめく灯火							
彼らはそんなことをしない			彼らはそんなことをしない			揺らめく灯火							
元凶を振りまいておいてよく言う			元凶を振りまいておいてよく言う			揺らめく灯火							
はいはい、その手のセリフは、あらゆる時代で聞き飽きてる。そしてそれが覆る瞬間も、飽きるほど見てるぞ。「ソル」をしていたときだって、何度もな……。			はいはい、その手のセリフは、あらゆる時代で聞き飽きてる。そしてそれが覆る瞬間も、飽きるほど見てるぞ。「ソル」をしていたときだって、何度もな……。			揺らめく灯火							
ああ、なるほど……。それはずいぶん都合のいい解釈をしているな。			ああ、なるほど……。それはずいぶん都合のいい解釈をしているな。			揺らめく灯火							
いいか、アシエンは争いの種を撒く。なぜって、必要だからだ……争いは進化を促し、野望を生み、その果てに大抵だれかがやらかして、霊災が起きる……。			いいか、アシエンは争いの種を撒く。なぜって、必要だからだ……争いは進化を促し、野望を生み、その果てに大抵だれかがやらかして、霊災が起きる……。			揺らめく灯火							
しかし、私たちが撒いた種に、黒い感情を注いで育て、花を咲かせたのは……いつだって、お前たちだったよ。			しかし、私たちが撒いた種に、黒い感情を注いで育て、花を咲かせたのは……いつだって、お前たちだったよ。			揺らめく灯火							
……おっと、反論も口論も、面倒だから願い下げだ。今の言葉を黙って受け止めることが、此度の私の助力に対する、謝礼だとでも思っておけ。			……おっと、反論も口論も、面倒だから願い下げだ。今の言葉を黙って受け止めることが、此度の私の助力に対する、謝礼だとでも思っておけ。			揺らめく灯火							
じゃ、戻るぞ。ファノヴの里だったか……歩くのは厭だな……。			じゃ、戻るぞ。ファノヴの里だったか……歩くのは厭だな……。			揺らめく灯火							
なんだ、反論も口論も願い下げだと言っただろう。それよりも、戦力はそろったんだ、とっとと大罪喰い討伐に乗り出すがいい。			なんだ、反論も口論も願い下げだと言っただろう。それよりも、戦力はそろったんだ、とっとと大罪喰い討伐に乗り出すがいい。			揺らめく灯火							
Forename、心配をかけてごめんなさい。けれど、おかげさまで「夜の民」を護ることができたし、こうして私も戻ってこられた……。			Forename、心配をかけてごめんなさい。けれど、おかげさまで「夜の民」を護ることができたし、こうして私も戻ってこられた……。			揺らめく灯火							
まったく、欲張ってみるものね。この勢いで、最後の目的……大罪喰いの討伐も、成し遂げるとしましょう。			まったく、欲張ってみるものね。この勢いで、最後の目的……大罪喰いの討伐も、成し遂げるとしましょう。			揺らめく灯火							
四つの明星のアルメは、沈んだ様子だ。			四つの明星のアルメは、沈んだ様子だ。			魔女の護ったもの							
ウリエンジェと話す			ウリエンジェと話す			魔女の護ったもの							
ルナルに常闇の解毒薬を使う			ルナルに常闇の解毒薬を使う			魔女の護ったもの							
ルナルを介抱			ルナルを介抱			魔女の護ったもの							
ルナルを再度介抱			ルナルを再度介抱			魔女の護ったもの							
ウリエンジェと話す			ウリエンジェと話す			魔女の護ったもの							
………………。			………………。			魔女の護ったもの							
ヤ・シュトラさんが……そんな……。			ヤ・シュトラさんが……そんな……。			魔女の護ったもの							
……私たちの合流が、もう少し早ければ。せんなきことでも、そう考えずにはいられません……。			……私たちの合流が、もう少し早ければ。せんなきことでも、そう考えずにはいられません……。			魔女の護ったもの							
本当に……本当に、ごめんなさい……。私たちが、もっと敵を食い止められていたら……うぅ……。			本当に……本当に、ごめんなさい……。私たちが、もっと敵を食い止められていたら……うぅ……。			魔女の護ったもの							
……なあ、ここの地形に詳しいお前たちなら、あの大穴がどこかへ繋がっていたりしないか、少しでも心当たりがないか？			……なあ、ここの地形に詳しいお前たちなら、あの大穴がどこかへ繋がっていたりしないか、少しでも心当たりがないか？			魔女の護ったもの							
もし出口のようなものがあるのなら、必ずや、我々の知るところとなっているだろう……。			もし出口のようなものがあるのなら、必ずや、我々の知るところとなっているだろう……。			魔女の護ったもの							
それ以前に、あの穴は恐ろしく深い。石を投げ入れてみたが、我らヴィースの耳をもってしても、底に当たる音は聞こえなかった。			それ以前に、あの穴は恐ろしく深い。石を投げ入れてみたが、我らヴィースの耳をもってしても、底に当たる音は聞こえなかった。			魔女の護ったもの							
あんな場所に落ちたなら……まず、助かりはしまい……。残念だが、それが我々の告げられる事実だ……。			あんな場所に落ちたなら……まず、助かりはしまい……。残念だが、それが我々の告げられる事実だ……。			魔女の護ったもの							
おーい！いろいろ確認がとれたぞ！			おーい！いろいろ確認がとれたぞ！			魔女の護ったもの							
まず、ユールモア軍と「常闇の愛し子」だけど、ここから撤退した流れで、イキス・マヤエの森から完全に退去……			まず、ユールモア軍と「常闇の愛し子」だけど、ここから撤退した流れで、イキス・マヤエの森から完全に退去……			魔女の護ったもの							
まだ西の森に留まっちゃいるが、ひとまず、スリザーバウも解放されてるみたいだ。			まだ西の森に留まっちゃいるが、ひとまず、スリザーバウも解放されてるみたいだ。			魔女の護ったもの							
……ただ、例の将校が言ってたとおり、ユールモア軍に抵抗したときに、毒を盛られた人がいたようだよ。			……ただ、例の将校が言ってたとおり、ユールモア軍に抵抗したときに、毒を盛られた人がいたようだよ。			魔女の護ったもの							
みんなスリザーバウで苦しんでるらしいから、助けたいなら、その解毒薬を持って、早く行った方がいい。			みんなスリザーバウで苦しんでるらしいから、助けたいなら、その解毒薬を持って、早く行った方がいい。			魔女の護ったもの							
それから、森の様子を調べてる途中、スリザーバウと里の間で行き倒れになってた奴を見つけたから、ひとまず「午睡の東屋」に運び込んでおいたぞ。			それから、森の様子を調べてる途中、スリザーバウと里の間で行き倒れになってた奴を見つけたから、ひとまず「午睡の東屋」に運び込んでおいたぞ。			魔女の護ったもの							
同じ毒を受けてるみたいだから、多分、スリザーバウの奴だ。そっちも、手当をするなら早い方がいい。			同じ毒を受けてるみたいだから、多分、スリザーバウの奴だ。そっちも、手当をするなら早い方がいい。			魔女の護ったもの							
なら、解毒薬を半分わけてくれ。俺とミンフィリアで、スリザーバウに行ってくる。			なら、解毒薬を半分わけてくれ。俺とミンフィリアで、スリザーバウに行ってくる。			魔女の護ったもの							
お前とウリエンジェは、その「午睡の東屋」に運び込まれたって奴を、手当しに行ってやってくれ。			お前とウリエンジェは、その「午睡の東屋」に運び込まれたって奴を、手当しに行ってやってくれ。			魔女の護ったもの							
いいのかな、ここを離れて……。ヤ・シュトラさんのこと、まだ……。			いいのかな、ここを離れて……。ヤ・シュトラさんのこと、まだ……。			魔女の護ったもの							
……きっと、こうしてほしいと言うはずだ。解毒薬のために、迷うことなく谷底に飛び込んだ彼女ならな。			……きっと、こうしてほしいと言うはずだ。解毒薬のために、迷うことなく谷底に飛び込んだ彼女ならな。			魔女の護ったもの							
俺たちは、その意志を……彼女が護ろうとした奴らに、届けるべきだ。			俺たちは、その意志を……彼女が護ろうとした奴らに、届けるべきだ。			魔女の護ったもの							
……はい！			……はい！			魔女の護ったもの							
私たちは、引き続き森の偵察だ。まだ紛れ込んでいる敵兵がいないとも限らない。			私たちは、引き続き森の偵察だ。まだ紛れ込んでいる敵兵がいないとも限らない。			魔女の護ったもの							
私たちも急ぎ手当に向かいましょう。「午睡の東屋」は、ファノヴの里の一角にあったはずです。			私たちも急ぎ手当に向かいましょう。「午睡の東屋」は、ファノヴの里の一角にあったはずです。			魔女の護ったもの							
サンクレッドの言ったとおり……目の前にある命を救うことが、ヤ・シュトラの覚悟に応える、唯一の方法でしょう。救うべきが「夜の民」であるなら、なおさらに……。			サンクレッドの言ったとおり……目の前にある命を救うことが、ヤ・シュトラの覚悟に応える、唯一の方法でしょう。救うべきが「夜の民」であるなら、なおさらに……。			魔女の護ったもの							
……ぅ……うぅ…………。			……ぅ……うぅ…………。			魔女の護ったもの							
ああ、なんという……。保護された行き倒れというのは、彼……ルナル導師のことだったのですね。			ああ、なんという……。保護された行き倒れというのは、彼……ルナル導師のことだったのですね。			魔女の護ったもの							
彼は、私たちが東の森に進んでいたことを知っていた。ゆえに、進軍するユールモア軍を止めんと、追いすがったのかもしれません……。			彼は、私たちが東の森に進んでいたことを知っていた。ゆえに、進軍するユールモア軍を止めんと、追いすがったのかもしれません……。			魔女の護ったもの							
Forenameさん……急ぎ、彼に「常闇の解毒薬」を与え、介抱を……！魔女マトーヤの残した薬で、彼を救うのです。			Forenameさん……急ぎ、彼に「常闇の解毒薬」を与え、介抱を……！魔女マトーヤの残した薬で、彼を救うのです。			魔女の護ったもの							
急ぎ、ルナル導師に「常闇の解毒薬」を与え、介抱を……！			急ぎ、ルナル導師に「常闇の解毒薬」を与え、介抱を……！			魔女の護ったもの							
…………うぅ……。			…………うぅ……。			魔女の護ったもの							
