嘆きの海のウリエンジェは、冒険者を静かに待っている。			嘆きの海のウリエンジェは、冒険者を静かに待っている。			想い想われ、すれ違い							
あら、みんなも間もなく帰ってくるのね！だったら、それから一緒に聞かせてもらうわ。			あら、みんなも間もなく帰ってくるのね！だったら、それから一緒に聞かせてもらうわ。			アーテリスの明日							
帰ってきた人はメインホールに案内するから、あなたもそっちで待っていて！			帰ってきた人はメインホールに案内するから、あなたもそっちで待っていて！			アーテリスの明日							
あなたが戻ってくる前に、どうにか起き上がれるようになってて、よかったわ。まだ万全じゃないにしろ、月での話、聞きたすぎるもの……！			あなたが戻ってくる前に、どうにか起き上がれるようになってて、よかったわ。まだ万全じゃないにしろ、月での話、聞きたすぎるもの……！			アーテリスの明日							
このまま仲間たちの帰還を待ちますか？			このまま仲間たちの帰還を待ちますか？			アーテリスの明日							
みんな早かったのね。出遅れちゃって、ごめんなさい。			みんな早かったのね。出遅れちゃって、ごめんなさい。			アーテリスの明日							
彼らも今さっき到着したところよ。ひとまず治療、おつかれさま。			彼らも今さっき到着したところよ。ひとまず治療、おつかれさま。			アーテリスの明日							
これで、あとはウリエンジェさんだけかしら？			これで、あとはウリエンジェさんだけかしら？			アーテリスの明日							
いや……あいつは来ない。その理由も含めて、月での出来事を聞いてくれ。			いや……あいつは来ない。その理由も含めて、月での出来事を聞いてくれ。			アーテリスの明日							
あの終末が、現代に……。			あの終末が、現代に……。			アーテリスの明日							
月に乗れば逃げられる……。だが、それじゃあこの星は……第一世界は……。			月に乗れば逃げられる……。だが、それじゃあこの星は……第一世界は……。			アーテリスの明日							
……お前たちが、逃げずに抵抗したいのはわかった。俺だって、そんなわけのわからない現象に、何もかも奪われてたまるか。			……お前たちが、逃げずに抵抗したいのはわかった。俺だって、そんなわけのわからない現象に、何もかも奪われてたまるか。			アーテリスの明日							
だが、実際問題、どうする気だ？一度は世界を壊しかけた災厄を相手に、策はあるのか？			だが、実際問題、どうする気だ？一度は世界を壊しかけた災厄を相手に、策はあるのか？			アーテリスの明日							
正直なところ、現状では何もないわ。			正直なところ、現状では何もないわ。			アーテリスの明日							
月の監視者が語ったように、それが天脈の循環不全によって引き起こされるなら、星全体のエーテルの流れを変えなければならない。			月の監視者が語ったように、それが天脈の循環不全によって引き起こされるなら、星全体のエーテルの流れを変えなければならない。			アーテリスの明日							
古代人たちは、それをゾディアークで成し遂げたけれど……彼らでさえ半数を贄として捧げたのよ。私たちが同様のものを生み出すことは、まず不可能でしょう。			古代人たちは、それをゾディアークで成し遂げたけれど……彼らでさえ半数を贄として捧げたのよ。私たちが同様のものを生み出すことは、まず不可能でしょう。			アーテリスの明日							
あるいは、彼らですら突き止められなかった、「根本的な原因」にあたるものが、別にあるのかもしれないけれど……			あるいは、彼らですら突き止められなかった、「根本的な原因」にあたるものが、別にあるのかもしれないけれど……			アーテリスの明日							
そちらに関する手がかりも、少なくとも嘆きの海では、掴むことができなかったわ。			そちらに関する手がかりも、少なくとも嘆きの海では、掴むことができなかったわ。			アーテリスの明日							
原因以前に、災厄そのものについても、わからない点が多すぎるね……。			原因以前に、災厄そのものについても、わからない点が多すぎるね……。			アーテリスの明日							
現代においても、過去と同じ現象が起きるのか……創造魔法を使わない私たちに、どんな影響が出るのか……。			現代においても、過去と同じ現象が起きるのか……創造魔法を使わない私たちに、どんな影響が出るのか……。			アーテリスの明日							
そのあたりがわかれば、過去との類似点や相違点から、もう少し掘り下げられるかもしれないが……。			そのあたりがわかれば、過去との類似点や相違点から、もう少し掘り下げられるかもしれないが……。			アーテリスの明日							
そうね……。今できるとしたら、レポリットの「協力者」である、哲学者議会の心づもりを聞くことくらいかしら。			そうね……。今できるとしたら、レポリットの「協力者」である、哲学者議会の心づもりを聞くことくらいかしら。			アーテリスの明日							
み、みなさん、一大事でっす！			み、みなさん、一大事でっす！			アーテリスの明日							
哲学者議会から、市民全員に重大な話があるとかで……広場に集まるようにと、号令がかかってまっす！			哲学者議会から、市民全員に重大な話があるとかで……広場に集まるようにと、号令がかかってまっす！			アーテリスの明日							
っ……お父様…………！			っ……お父様…………！			アーテリスの明日							
私たちも、行ってみましょう！			私たちも、行ってみましょう！			アーテリスの明日							
おかえりぃ～！哲学者議会が、大演説をブッたんだって？クルルから簡単にだけど聞いたよ～。			おかえりぃ～！哲学者議会が、大演説をブッたんだって？クルルから簡単にだけど聞いたよ～。			アーテリスの明日							
俺はさ、バル島の消滅から逃れたけど、「なんで俺は助かっちゃったんだろう」って、例に漏れず思ったわけさ。			俺はさ、バル島の消滅から逃れたけど、「なんで俺は助かっちゃったんだろう」って、例に漏れず思ったわけさ。			アーテリスの明日							
だから今回は、みんなに付き合うつもりだよ～！……って言っておきながら、ギリギリで逃げたりして？			だから今回は、みんなに付き合うつもりだよ～！……って言っておきながら、ギリギリで逃げたりして？			アーテリスの明日							
まあ、そういう話は、一度休んでからでいいじゃない～！君、めちゃくちゃ奮闘してきたって聞いたし、床で寝る前にベッドへゴロンだぁ～！			まあ、そういう話は、一度休んでからでいいじゃない～！君、めちゃくちゃ奮闘してきたって聞いたし、床で寝る前にベッドへゴロンだぁ～！			アーテリスの明日							
「ナップルーム」で休みますか？			「ナップルーム」で休みますか？			アーテリスの明日							
キャロットリウムのリヴィングウェイは、落ち着かない様子だ。			キャロットリウムのリヴィングウェイは、落ち着かない様子だ。			異文化最先端							
リヴィングウェイと話す			リヴィングウェイと話す			異文化最先端							
そわそわレポリットと話す			そわそわレポリットと話す			異文化最先端							
衣替状態でどきどきレポリットと話す			衣替状態でどきどきレポリットと話す			異文化最先端							
衣替状態でリヴィングウェイと話す			衣替状態でリヴィングウェイと話す			異文化最先端							
じとじとレポリットと話す			じとじとレポリットと話す			異文化最先端							
グローウィングウェイと話す			グローウィングウェイと話す			異文化最先端							
グローウィングウェイと再度話す			グローウィングウェイと再度話す			異文化最先端							
どのニンジンも、優秀な食品ではあるんだがな……。			どのニンジンも、優秀な食品ではあるんだがな……。			異文化最先端							
…………。			…………。			異文化最先端							
いろいろと思うところはあるけれど、ひとまずは、ほかのものも見せてもらいましょうか。			いろいろと思うところはあるけれど、ひとまずは、ほかのものも見せてもらいましょうか。			異文化最先端							
ニンジン、また食べてくれるか……？			ニンジン、また食べてくれるか……？			異文化最先端							
で、では、食料のことはこれくらいにして……次は生活必需品のチェックをお願いいたしますわ！			で、では、食料のことはこれくらいにして……次は生活必需品のチェックをお願いいたしますわ！			異文化最先端							
続いて見ていただきたいのは、ズバリ「衣服」ですわ。これは自信がありましてよ！どうぞ皆様、こちらにいらしてくださいませ！			続いて見ていただきたいのは、ズバリ「衣服」ですわ。これは自信がありましてよ！どうぞ皆様、こちらにいらしてくださいませ！			異文化最先端							
今度も、とてもじゃないが衣服を作る場所には見えないな。			今度も、とてもじゃないが衣服を作る場所には見えないな。			異文化最先端							
月に住まい、未知の技術を有する一族が織り上げし服……これは、賢人にふさわしき、謎めいた逸品と出会えるのでは……！？			月に住まい、未知の技術を有する一族が織り上げし服……これは、賢人にふさわしき、謎めいた逸品と出会えるのでは……！？			異文化最先端							
こちらにも、巨大な装置が並んでいるわね。また、上が作業場になっているのかしら？			こちらにも、巨大な装置が並んでいるわね。また、上が作業場になっているのかしら？			異文化最先端							
はい、ここでストップですわ。このあたりに設置されたマシンでは、衣服や雑貨の製作に必要な素材を生産していますのよ。			はい、ここでストップですわ。このあたりに設置されたマシンでは、衣服や雑貨の製作に必要な素材を生産していますのよ。			異文化最先端							
それらの製作には、昔ながらの形式……創造魔法を用いています。			それらの製作には、昔ながらの形式……創造魔法を用いています。			異文化最先端							
わたくしたちはハイデリン様が創った、「創造魔法を使える創造生物」ということになりますわね。……もちろん、ほかにも優れたところはたくさんありますがっ！			わたくしたちはハイデリン様が創った、「創造魔法を使える創造生物」ということになりますわね。……もちろん、ほかにも優れたところはたくさんありますがっ！			異文化最先端							
コホン！えー、話を戻すと、創造魔法で服を創ろうとしたとき、わたくしたちでは魔力が足りません。			コホン！えー、話を戻すと、創造魔法で服を創ろうとしたとき、わたくしたちでは魔力が足りません。			異文化最先端							
そこで、この結晶化マシンを使ってエーテルをクリスタルにし、服や道具の「もと」として使っているのです。			そこで、この結晶化マシンを使ってエーテルをクリスタルにし、服や道具の「もと」として使っているのです。			異文化最先端							
あら、それはなかなか興味深いわね。			あら、それはなかなか興味深いわね。			異文化最先端							
フフン、そうでしょう？今のヒトが仕事に応じて衣服を替え、効率化をはかるのだということも、織り込み済みですわ！			フフン、そうでしょう？今のヒトが仕事に応じて衣服を替え、効率化をはかるのだということも、織り込み済みですわ！			異文化最先端							
というわけで、このあたりの結晶化マシンで作業中のレポリットに声をかけ、月製の衣服に着替えてみてくださいませ！			というわけで、このあたりの結晶化マシンで作業中のレポリットに声をかけ、月製の衣服に着替えてみてくださいませ！			異文化最先端							
いくつか着てみたら、こちらにお戻りになって、感想を教えてもらえると助かりますわ！			いくつか着てみたら、こちらにお戻りになって、感想を教えてもらえると助かりますわ！			異文化最先端							
サイズは予想外でしたが、その程度なら、すぐに設計図(イデア)を調整できます。担当の者に要望を伝えて、お好みの服に着替えてくださいませ！			サイズは予想外でしたが、その程度なら、すぐに設計図(イデア)を調整できます。担当の者に要望を伝えて、お好みの服に着替えてくださいませ！			異文化最先端							
うわわ、もしかしてキミがアーテリスのヒト！？さっきマッピングウェイから通達があったんだけど……本当に小さいんだねぇ。			うわわ、もしかしてキミがアーテリスのヒト！？さっきマッピングウェイから通達があったんだけど……本当に小さいんだねぇ。			異文化最先端							
……服の試着？　もちろん大歓迎だよ！キミにぴったりのサイズのものを、この場で創っちゃおう。			……服の試着？　もちろん大歓迎だよ！キミにぴったりのサイズのものを、この場で創っちゃおう。			異文化最先端							
さあさあ、どんな服をご所望なのか、遠慮なく言ってごらん！			さあさあ、どんな服をご所望なのか、遠慮なく言ってごらん！			異文化最先端							
何と言う？			何と言う？			異文化最先端							
歴戦の冒険者らしい感じ			歴戦の冒険者らしい感じ			異文化最先端							
機能的で落ち着いた感じ			機能的で落ち着いた感じ			異文化最先端							
お洒落で洗練された感じ			お洒落で洗練された感じ			異文化最先端							
レキセンノ……？			レキセンノ……？			異文化最先端							
オチツイタ……？			オチツイタ……？			異文化最先端							
オシャレ……？			オシャレ……？			異文化最先端							
大丈夫、なんとかなるなる！すぐに用意するから、待っててね！			大丈夫、なんとかなるなる！すぐに用意するから、待っててね！			異文化最先端							
えへへ、かんせーい！			えへへ、かんせーい！			異文化最先端							
よしよし、サイズもぴったりだね！どんなもんだい！			よしよし、サイズもぴったりだね！どんなもんだい！			異文化最先端							
レキセンはよくわからなかったんだけど、ボウケンは、たくさん遊ぶことでしょ？だから伸縮自在で丈夫な服にしたんだぁ！			レキセンはよくわからなかったんだけど、ボウケンは、たくさん遊ぶことでしょ？だから伸縮自在で丈夫な服にしたんだぁ！			異文化最先端							
服が落ち着いてるっていうのが、よくわからなくて……とりあえず、勝手にモゾモゾ動いたりしない、機能的な服を創ってみたんだぁ！			服が落ち着いてるっていうのが、よくわからなくて……とりあえず、勝手にモゾモゾ動いたりしない、機能的な服を創ってみたんだぁ！			異文化最先端							
オシャレでセンレンは、よくわからなかったけど……きっと、最先端の機能をつけてほしいってことだよね？だから微振動して汚れを落とす機能を加えてみたんだぁ！			オシャレでセンレンは、よくわからなかったけど……きっと、最先端の機能をつけてほしいってことだよね？だから微振動して汚れを落とす機能を加えてみたんだぁ！			異文化最先端							
ふぅ……！緊張したけど、想像以上のデキになって良かったぁ！			ふぅ……！緊張したけど、想像以上のデキになって良かったぁ！			異文化最先端							
あっ、せっかくだから、それを着たまま別のレポリットのところへ行って、「ほかの服を着せて」って頼んでみるのはどう？			あっ、せっかくだから、それを着たまま別のレポリットのところへ行って、「ほかの服を着せて」って頼んでみるのはどう？			異文化最先端							
うんうん、是非そうするといいよ！いってらっしゃーい！			うんうん、是非そうするといいよ！いってらっしゃーい！			異文化最先端							
わわっ、あの服をなくしちゃったの？だったらこれどうぞ！			わわっ、あの服をなくしちゃったの？だったらこれどうぞ！			異文化最先端							
服を整えようか？まかせてー！			服を整えようか？まかせてー！			異文化最先端							
ア、アアア、アーテリスのヒト！？どどっど、どういったご用件でしょうか！？			ア、アアア、アーテリスのヒト！？どどっど、どういったご用件でしょうか！？			異文化最先端							
このクエストを進行させるには、衣替状態で目的を達成する必要があります。「そわそわレポリット」に話しかけて、着替えましょう！			このクエストを進行させるには、衣替状態で目的を達成する必要があります。「そわそわレポリット」に話しかけて、着替えましょう！			異文化最先端							
ア、アアア、アーテリスのヒト！？どどっど、どういったご用件でしょうか！？			ア、アアア、アーテリスのヒト！？どどっど、どういったご用件でしょうか！？			異文化最先端							
ふ、服の試着……！ううう……ついに我々の努力が実り、お役に立てる日が来たのですね！			ふ、服の試着……！ううう……ついに我々の努力が実り、お役に立てる日が来たのですね！			異文化最先端							
ええ！　どうぞ！なんなりとお申し付けくださいっ！			ええ！　どうぞ！なんなりとお申し付けくださいっ！			異文化最先端							
何と言う？			何と言う？			異文化最先端							
もう少し見栄えのいいものを……			もう少し見栄えのいいものを……			異文化最先端							
別のデザインの服はある？			別のデザインの服はある？			異文化最先端							
お任せで！			お任せで！			異文化最先端							
……そ、そうきましたか！すぐにご用意を……ええと……ええと……			……そ、そうきましたか！すぐにご用意を……ええと……ええと……			異文化最先端							
……ア、アレだ！			……ア、アレだ！			異文化最先端							
うん……うんうん、うん。とってもいいですね！！			うん……うんうん、うん。とってもいいですね！！			異文化最先端							
性能や状況を指定するのではなく、「見栄え」という切り口で衣服を求めるなんて……！現代のヒトは目の付け所が違いますね！			性能や状況を指定するのではなく、「見栄え」という切り口で衣服を求めるなんて……！現代のヒトは目の付け所が違いますね！			異文化最先端							
違う素材を用いたローブのイデアがあって助かりました。ほら、スペシャルな感じがしますでしょう？			違う素材を用いたローブのイデアがあって助かりました。ほら、スペシャルな感じがしますでしょう？			異文化最先端							
あなたは大変お茶目な方でいらっしゃる。用途を告げるのではなく、「別のデザイン」と言うなんて！			あなたは大変お茶目な方でいらっしゃる。用途を告げるのではなく、「別のデザイン」と言うなんて！			異文化最先端							
でも、ええ、私もプロフェッショナルですのでね。基本の普段着に、各種専用作業着をつけたし、まさに万能と呼べる装いにいたしました！			でも、ええ、私もプロフェッショナルですのでね。基本の普段着に、各種専用作業着をつけたし、まさに万能と呼べる装いにいたしました！			異文化最先端							
実はそちら、比較的新しく考案されたイデアでして。今までにない斬新な機能が備わっているのです。			実はそちら、比較的新しく考案されたイデアでして。今までにない斬新な機能が備わっているのです。			異文化最先端							
なんと……香るんですよ。ニンジンの、新鮮な葉の部分の匂いがするんです！たまりませんねぇ。			なんと……香るんですよ。ニンジンの、新鮮な葉の部分の匂いがするんです！たまりませんねぇ。			異文化最先端							
難しいご要望をいただいたときは焦りましたが、完璧にやりとげることができて、一安心です。			難しいご要望をいただいたときは焦りましたが、完璧にやりとげることができて、一安心です。			異文化最先端							
リヴィングウェイには、その格好のまま、ご報告に行かれるといいでしょう。彼女もきっと喜びますよ！			リヴィングウェイには、その格好のまま、ご報告に行かれるといいでしょう。彼女もきっと喜びますよ！			異文化最先端							
あれ……あの服を脱いでしまったんですか？では、もう一度創りますね！			あれ……あの服を脱いでしまったんですか？では、もう一度創りますね！			異文化最先端							
ぜ、是非こちらの格好で、リヴィングウェイのもとへ……！			ぜ、是非こちらの格好で、リヴィングウェイのもとへ……！			異文化最先端							
えへへ、たくさんのヒトが着てくれたら嬉しいなぁ！			えへへ、たくさんのヒトが着てくれたら嬉しいなぁ！			異文化最先端							
あら、試着がお済みになっていないようですわ。			あら、試着がお済みになっていないようですわ。			異文化最先端							
このクエストを進行させるには、衣替状態で目的を達成する必要があります。「どきどきレポリット」に話しかけて、着替えましょう！			このクエストを進行させるには、衣替状態で目的を達成する必要があります。「どきどきレポリット」に話しかけて、着替えましょう！			異文化最先端							
あら、すばらしい服を創ってもらえましたわね！			あら、すばらしい服を創ってもらえましたわね！			異文化最先端							
その生地も、試行錯誤の末にできあがった上等品。身体を包んだ瞬間、「月最高」「レポリット大好き」と、思ってしまったのではありませんこと！？			その生地も、試行錯誤の末にできあがった上等品。身体を包んだ瞬間、「月最高」「レポリット大好き」と、思ってしまったのではありませんこと！？			異文化最先端							
フフフ……いける、今度こそいけますわ！ああほら、お仲間の皆様も帰ってきましたわよ！			フフフ……いける、今度こそいけますわ！ああほら、お仲間の皆様も帰ってきましたわよ！			異文化最先端							
待たせたな……。			待たせたな……。			異文化最先端							
レポリットたちの創った服、試着させてもらったわ。			レポリットたちの創った服、試着させてもらったわ。			異文化最先端							
いかがでしょう、こちらの装いは……？			いかがでしょう、こちらの装いは……？			異文化最先端							
(-一同-)………………。			(-一同-)………………。			異文化最先端							
……とりあえず、もとの服に着替えてくるか。			……とりあえず、もとの服に着替えてくるか。			異文化最先端							
うぅ……どうして……何が気に入らなかったんですの……？			うぅ……どうして……何が気に入らなかったんですの……？			異文化最先端							
月の監視者は、周りと違う服はあまりよくないと……彼の時代のヒトは、皆同じようなローブを着ていたと、教えてくれました……。			月の監視者は、周りと違う服はあまりよくないと……彼の時代のヒトは、皆同じようなローブを着ていたと、教えてくれました……。			異文化最先端							
それをふまえつつも、現代のヒトが、着替えによって仕事の効率を上げているという点も、しっかり汲んだはずですのに……！			それをふまえつつも、現代のヒトが、着替えによって仕事の効率を上げているという点も、しっかり汲んだはずですのに……！			異文化最先端							
そう落胆するものでもないわ。このあと終末がきて、本当に月へ逃げることになったとして、ひとまず着るものを創ってもらえるだけで助かるもの。			そう落胆するものでもないわ。このあと終末がきて、本当に月へ逃げることになったとして、ひとまず着るものを創ってもらえるだけで助かるもの。			異文化最先端							
ただ、そうね……あなたたちが考えているほど、人は合理的ではないのよ。			ただ、そうね……あなたたちが考えているほど、人は合理的ではないのよ。			異文化最先端							
たとえば私がこの服に戻ったのは、こちらの方が好きだからよ。服としての性能が劣っているとしても、嗜好や思い入れがそうさせるの。			たとえば私がこの服に戻ったのは、こちらの方が好きだからよ。服としての性能が劣っているとしても、嗜好や思い入れがそうさせるの。			異文化最先端							
同様に、衣服は各々の中で、多くの要素と結びついている……風土や文化、過去の出来事なんかとね。それを覚えておいて頂戴。			同様に、衣服は各々の中で、多くの要素と結びついている……風土や文化、過去の出来事なんかとね。それを覚えておいて頂戴。			異文化最先端							
食料のことといい、アーテリスの皆様の考えは、とても複雑で難しいですわ……。			食料のことといい、アーテリスの皆様の考えは、とても複雑で難しいですわ……。			異文化最先端							
自分の生命の存続が第一だと、シンプルに考えてくださればいいのに……。			自分の生命の存続が第一だと、シンプルに考えてくださればいいのに……。			異文化最先端							
基本はそうさ。ただ、何に代えても譲れないものを見つけちまう、馬鹿で幸福な奴もいるんだよ。			基本はそうさ。ただ、何に代えても譲れないものを見つけちまう、馬鹿で幸福な奴もいるんだよ。			異文化最先端							
……で、だ。俺の譲れないもののために、ひとつ質問しておきたい。			……で、だ。俺の譲れないもののために、ひとつ質問しておきたい。			異文化最先端							
ハイデリンは、お前たちを……星の外へと逃げる道を、原初世界以外の世界にも仕込んでるのか？			ハイデリンは、お前たちを……星の外へと逃げる道を、原初世界以外の世界にも仕込んでるのか？			異文化最先端							
いないとも言い切れませんが、少なくともわたくしは、そんな存在聞いたことがありませんわ。			いないとも言い切れませんが、少なくともわたくしは、そんな存在聞いたことがありませんわ。			異文化最先端							
わたくしたちは、あくまで原初世界に生み落とされた存在。月に乗せて助け出せるのも、この世界の方々だけです。			わたくしたちは、あくまで原初世界に生み落とされた存在。月に乗せて助け出せるのも、この世界の方々だけです。			異文化最先端							
それでも、14すべての世界のヒトを、終末で失うよりは……ひとつだけでも救えるほうが、ずっといいと思いませんこと？			それでも、14すべての世界のヒトを、終末で失うよりは……ひとつだけでも救えるほうが、ずっといいと思いませんこと？			異文化最先端							
…………そうか。			…………そうか。			異文化最先端							
ねえ、次は自由に見学させてもらってもいいかしら？話してもらったことを咀嚼する時間もほしいところだし。			ねえ、次は自由に見学させてもらってもいいかしら？話してもらったことを咀嚼する時間もほしいところだし。			異文化最先端							
え、ええ、もちろん構いませんわ。			え、ええ、もちろん構いませんわ。			異文化最先端							
じゃあ、一旦解散して、またあとで集まりましょう。			じゃあ、一旦解散して、またあとで集まりましょう。			異文化最先端							
私はもう少し、レポリットの皆さんのお話を伺いたく……。			私はもう少し、レポリットの皆さんのお話を伺いたく……。			異文化最先端							
…………！			…………！			異文化最先端							
だ、大歓迎ですわ！わたくしも、丁度あなたと話をしてみたいと、思っておりましたの。			だ、大歓迎ですわ！わたくしも、丁度あなたと話をしてみたいと、思っておりましたの。			異文化最先端							
では、あちらへ参りましょう。せっかくですもの、仲間たちも呼びますわ！			では、あちらへ参りましょう。せっかくですもの、仲間たちも呼びますわ！			異文化最先端							
(-じとじとレポリット-)じーーーーっ……。			(-じとじとレポリット-)じーーーーっ……。			異文化最先端							
うわあああっ……見つかったァッ…………！？			うわあああっ……見つかったァッ…………！？			異文化最先端							
ええと、これはあの、そのですね……！アーテリスの方々がいらしていると知って、つい様子を窺いに来てしまいました、ハイ。			ええと、これはあの、そのですね……！アーテリスの方々がいらしていると知って、つい様子を窺いに来てしまいました、ハイ。			異文化最先端							
と言いますのも……私、どうにも心配で……。			と言いますのも……私、どうにも心配で……。			異文化最先端							
私たちの創った環境は気に入ってもらえるのか……。月への避難を快諾してくださるのか……。皆様が無事に終末から逃げられるのか……！？			私たちの創った環境は気に入ってもらえるのか……。月への避難を快諾してくださるのか……。皆様が無事に終末から逃げられるのか……！？			異文化最先端							
矢も盾もたまらず見に来てみれば、なにやらあまり順調ではない雰囲気ッ！ああ、もう、心配で胸が張り裂けそうでございますぅ……！			矢も盾もたまらず見に来てみれば、なにやらあまり順調ではない雰囲気ッ！ああ、もう、心配で胸が張り裂けそうでございますぅ……！			異文化最先端							
そそそそ、そうだ！私と一緒に、居住区の見学に行きませんか！？月が本当に素晴らしいところだと、ご理解いただけるはずです！			そそそそ、そうだ！私と一緒に、居住区の見学に行きませんか！？月が本当に素晴らしいところだと、ご理解いただけるはずです！			異文化最先端							
申し遅れましたが、私はグローウィングウェイ。エントランスホールに、居住区への転移装置がありますので、そこでお待ちしておりますーーー！！			申し遅れましたが、私はグローウィングウェイ。エントランスホールに、居住区への転移装置がありますので、そこでお待ちしておりますーーー！！			異文化最先端							
ひゃあああ、来てくれたァッ……！			ひゃあああ、来てくれたァッ……！			異文化最先端							
あああありがとうございます！アーテリスの……ええと……			あああありがとうございます！アーテリスの……ええと……			異文化最先端							
アーテリスのForename Surnameさん！ほぅ……やっぱり本場の名前は素敵ですねぇ……！			アーテリスのForename Surnameさん！ほぅ……やっぱり本場の名前は素敵ですねぇ……！			異文化最先端							
ではでは、Forenameさん、こちらの転移装置で、私たちが腕によりをかけて創った、居住区のひとつにご案内したいと思います。			ではでは、Forenameさん、こちらの転移装置で、私たちが腕によりをかけて創った、居住区のひとつにご案内したいと思います。			異文化最先端							
きっと、ええ、気に入っていただけるかとッ！さっそくお送りしてもよろしいですか？			きっと、ええ、気に入っていただけるかとッ！さっそくお送りしてもよろしいですか？			異文化最先端							
居住区に移動しますか？			居住区に移動しますか？			異文化最先端							
ううぅ……もう、なんとお詫び申し上げればいいか……。今後はこのような手違いがないようにしますので、ハイ……。			ううぅ……もう、なんとお詫び申し上げればいいか……。今後はこのような手違いがないようにしますので、ハイ……。			異文化最先端							
ひとまず、居住区の工事が終わるまでの暫定処置として、そこの転移装置と、先ほどの下層の転移装置を結びましたので、移動にお役立てください……。			ひとまず、居住区の工事が終わるまでの暫定処置として、そこの転移装置と、先ほどの下層の転移装置を結びましたので、移動にお役立てください……。			異文化最先端							
ああ……それにしても残念です。素晴らしい居住区をぜひお見せしたかったのですが……。			ああ……それにしても残念です。素晴らしい居住区をぜひお見せしたかったのですが……。			異文化最先端							
ベストウェイ・バローの「上層」と「下層」が、転移装置で行き来できるようになった！			ベストウェイ・バローの「上層」と「下層」が、転移装置で行き来できるようになった！			異文化最先端							
ベストウェイ・バローのリヴィングウェイは、焦っているようだ。			ベストウェイ・バローのリヴィングウェイは、焦っているようだ。			好きも嫌いもありゃしない							
リヴィングウェイと話す			リヴィングウェイと話す			好きも嫌いもありゃしない							
食材保管コンテナを調べる			食材保管コンテナを調べる			好きも嫌いもありゃしない							
クッキングウェイに特大キャロットを見せる			クッキングウェイに特大キャロットを見せる			好きも嫌いもありゃしない							
クッキングウェイの近くで特大キャロットを使う			クッキングウェイの近くで特大キャロットを使う			好きも嫌いもありゃしない							
クッキングウェイと話す			クッキングウェイと話す			好きも嫌いもありゃしない							
妙なことに巻き込まれたな……。だが、こいつらにはまだ聞くべきことがありそうだ。			妙なことに巻き込まれたな……。だが、こいつらにはまだ聞くべきことがありそうだ。			好きも嫌いもありゃしない							
大きさの間違いは不幸な事故でありましょうが……それによって、レポリットたちがどれほど真剣に、船としての月を整備してきたかを垣間見たようにも思います。			大きさの間違いは不幸な事故でありましょうが……それによって、レポリットたちがどれほど真剣に、船としての月を整備してきたかを垣間見たようにも思います。			好きも嫌いもありゃしない							
これほど大きな住処は、あの小さな身体にとって不便……にもかかわらず、人のためにとここを創り上げたのですから。			これほど大きな住処は、あの小さな身体にとって不便……にもかかわらず、人のためにとここを創り上げたのですから。			好きも嫌いもありゃしない							
私たち現行人類には、身体が小さくなったなんて認識はないもの。そもそも伝えるべきだと気づかなかったのでしょうね。			私たち現行人類には、身体が小さくなったなんて認識はないもの。そもそも伝えるべきだと気づかなかったのでしょうね。			好きも嫌いもありゃしない							
ビルディングウェイの居住区改修、終末が来るまでに間に合うといいけど……。			ビルディングウェイの居住区改修、終末が来るまでに間に合うといいけど……。			好きも嫌いもありゃしない							
まあ、もし駄目でも、小さすぎるよりはいいよねぇ？広～いベッドで、ゴロゴロし放題だもの。			まあ、もし駄目でも、小さすぎるよりはいいよねぇ？広～いベッドで、ゴロゴロし放題だもの。			好きも嫌いもありゃしない							
さあ、さあ、さあッ！ヒトが暮らしていくのに必要な情報を、あれやこれやと教えてくださいませ！			さあ、さあ、さあッ！ヒトが暮らしていくのに必要な情報を、あれやこれやと教えてくださいませ！			好きも嫌いもありゃしない							
先ほども申し上げたとおり、ゾディアークが消えて終末が再来しかけている今、一刻も早く、地上の皆様を月へお迎えせねばなりません。			先ほども申し上げたとおり、ゾディアークが消えて終末が再来しかけている今、一刻も早く、地上の皆様を月へお迎えせねばなりません。			好きも嫌いもありゃしない							
そのために、皆様が移住を躊躇してしまうような要因は、できるかぎり潰しておかなければならないのですわ！			そのために、皆様が移住を躊躇してしまうような要因は、できるかぎり潰しておかなければならないのですわ！			好きも嫌いもありゃしない							
幸いここ「ベストウェイ・バロー」は、わたくしたち最大の拠点にして、月の環境整備を司る施設……			幸いここ「ベストウェイ・バロー」は、わたくしたち最大の拠点にして、月の環境整備を司る施設……			好きも嫌いもありゃしない							
現生生命の生活に必要な品々もそろっておりますので、問題がないか、チェックしてくださいませッ！			現生生命の生活に必要な品々もそろっておりますので、問題がないか、チェックしてくださいませッ！			好きも嫌いもありゃしない							
まずは最重要項目である、食料から！西側のブロック、「キャロットリウム」に向かいましょう。			まずは最重要項目である、食料から！西側のブロック、「キャロットリウム」に向かいましょう。			好きも嫌いもありゃしない							
彼女の情熱はすごいわね。終末は回避できない、星はどうあっても腐り落ちるだなんて、できれば信じたくない話なのだけれど……。			彼女の情熱はすごいわね。終末は回避できない、星はどうあっても腐り落ちるだなんて、できれば信じたくない話なのだけれど……。			好きも嫌いもありゃしない							
ここで駄々をこねていても仕方がないわ。まずは彼女の要望に応えて、レポリットたちの考えや、船としての月について、調べられるだけ調べましょう。			ここで駄々をこねていても仕方がないわ。まずは彼女の要望に応えて、レポリットたちの考えや、船としての月について、調べられるだけ調べましょう。			好きも嫌いもありゃしない							
