不滅隊：作戦本部のダンシング・ウルフ大闘士は、現状に焦れているようだ。			不滅隊：作戦本部のダンシング・ウルフ大闘士は、現状に焦れているようだ。			残留する力をその身に							
「青の手」を討伐した。まだ廃品を奪おうとしている「青の手」がいるようだ。シャーレアン工匠街で再度「青の手」を討伐しよう。			「青の手」を討伐した。まだ廃品を奪おうとしている「青の手」がいるようだ。シャーレアン工匠街で再度「青の手」を討伐しよう。			冒険者はゴブの仲間							
「青の手」を再度討伐した。ショートストップ野営地の「タップクリクス」に報告しよう。			「青の手」を再度討伐した。ショートストップ野営地の「タップクリクス」に報告しよう。			冒険者はゴブの仲間							
タップクリクスに報告した。彼は「青の手」を倒した冒険者を仲間と認めてくれた。			タップクリクスに報告した。彼は「青の手」を倒した冒険者を仲間と認めてくれた。			冒険者はゴブの仲間							
シャーレアン工匠街で「青の手」を討伐			シャーレアン工匠街で「青の手」を討伐			冒険者はゴブの仲間							
再度「青の手」を討伐			再度「青の手」を討伐			冒険者はゴブの仲間							
タップクリクスに報告			タップクリクスに報告			冒険者はゴブの仲間							
シュコォ……シュコォ……最近「青の手」　ここらの廃品　奪ってく！ゴブたち集めた　ここらの廃品　奪ってく！			シュコォ……シュコォ……最近「青の手」　ここらの廃品　奪ってく！ゴブたち集めた　ここらの廃品　奪ってく！			冒険者はゴブの仲間							
ところであにた　「青の手」連中　無関係？ゴブは　あにたが仲間と　信じたい～。でもでも　これも　お仕事だ～　警戒　するの　お仕事だ～。			ところであにた　「青の手」連中　無関係？ゴブは　あにたが仲間と　信じたい～。でもでも　これも　お仕事だ～　警戒　するの　お仕事だ～。			冒険者はゴブの仲間							
無関係だと　言うのなら　証明　証明　大証明！「青の手」見つけて　迎撃し　ゴブらの仲間と　証明せよ！			無関係だと　言うのなら　証明　証明　大証明！「青の手」見つけて　迎撃し　ゴブらの仲間と　証明せよ！			冒険者はゴブの仲間							
無関係だと　言うのなら　証明　証明　大証明！「青の手」見つけて　迎撃し　ゴブらの仲間と　証明せよ！			無関係だと　言うのなら　証明　証明　大証明！「青の手」見つけて　迎撃し　ゴブらの仲間と　証明せよ！			冒険者はゴブの仲間							
青の手の力　思い知れ～！			青の手の力　思い知れ～！			冒険者はゴブの仲間							
シュコォ…シュコォ…ズタズタだ～！			シュコォ…シュコォ…ズタズタだ～！			冒険者はゴブの仲間							
シュコォ…シュコォ…バラバラだ～！			シュコォ…シュコォ…バラバラだ～！			冒険者はゴブの仲間							
無関係だと　言うのなら　証明　証明　大証明！「青の手」見つけて　迎撃し　ゴブらの仲間と　証明せよ！			無関係だと　言うのなら　証明　証明　大証明！「青の手」見つけて　迎撃し　ゴブらの仲間と　証明せよ！			冒険者はゴブの仲間							
仲間　倒れた　やり返せ～！			仲間　倒れた　やり返せ～！			冒険者はゴブの仲間							
シュコォ…シュコォ…切りきざめ～！			シュコォ…シュコォ…切りきざめ～！			冒険者はゴブの仲間							
シュコォ…シュコォ…ぶった切れ～！			シュコォ…シュコォ…ぶった切れ～！			冒険者はゴブの仲間							
シュコォ……シュコォ……「青の手」倒した　冒険者　ゴブははなから　信じてた～！さっすが　ゴブの目　狂いなし～！			シュコォ……シュコォ……「青の手」倒した　冒険者　ゴブははなから　信じてた～！さっすが　ゴブの目　狂いなし～！			冒険者はゴブの仲間							
ここらの廃品　ゴブらのもの！手出しするヤツ　容赦なし～！			ここらの廃品　ゴブらのもの！手出しするヤツ　容赦なし～！			冒険者はゴブの仲間							
「青の手」連中　ゴブらの敵！「青の手」連中　あにたの敵！つまり　ゴブらは　お仲間ね～！！			「青の手」連中　ゴブらの敵！「青の手」連中　あにたの敵！つまり　ゴブらは　お仲間ね～！！			冒険者はゴブの仲間							
イディルシャイアのスローフィクスは、冒険者に依頼したいことがあるようだ。			イディルシャイアのスローフィクスは、冒険者に依頼したいことがあるようだ。			廃都の初仕事							
スローフィクスから、シャーレアン人が残した放棄されたゴーレムを壊してくれと頼まれた。イディルシャイアの「ヤ・シュトラ」に相談しよう。			スローフィクスから、シャーレアン人が残した放棄されたゴーレムを壊してくれと頼まれた。イディルシャイアの「ヤ・シュトラ」に相談しよう。			廃都の初仕事							
ゴーレムを排除する合言葉を、ヤ・シュトラから教わった。チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで『真理は死んだ』と入力し、イディルシャイアの「放棄されたゴーレム」に合言葉を言おう。			ゴーレムを排除する合言葉を、ヤ・シュトラから教わった。チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで『真理は死んだ』と入力し、イディルシャイアの「放棄されたゴーレム」に合言葉を言おう。			廃都の初仕事							
合言葉を告げ、放棄されたゴーレムを排除した。イディルシャイアの「スローフィクス」に報告しよう。			合言葉を告げ、放棄されたゴーレムを排除した。イディルシャイアの「スローフィクス」に報告しよう。			廃都の初仕事							
スローフィクスに報告した。これで拡張工事に専念ができると、彼はとても喜んだ。			スローフィクスに報告した。これで拡張工事に専念ができると、彼はとても喜んだ。			廃都の初仕事							
ヤ・シュトラに相談			ヤ・シュトラに相談			廃都の初仕事							
チャットの「Say」モードで『真理は死んだ』と入力し放棄されたゴーレムに合言葉を言う			チャットの「Say」モードで『真理は死んだ』と入力し放棄されたゴーレムに合言葉を言う			廃都の初仕事							
スローフィクスに報告			スローフィクスに報告			廃都の初仕事							
シュコォ……シュコォ……それでは　さっそく　依頼ゴブ！			シュコォ……シュコォ……それでは　さっそく　依頼ゴブ！			廃都の初仕事							
「イディルシャイア」には　危険がいっぱい。シャーレアン人の遺した　魔法仕掛けの罠あちこち　そちこち　いっぱいゴブ。			「イディルシャイア」には　危険がいっぱい。シャーレアン人の遺した　魔法仕掛けの罠あちこち　そちこち　いっぱいゴブ。			廃都の初仕事							
工事の邪魔になっている、「放棄されたゴーレム」　どかしてほしいゴブ！お前さんがシャーレアン人なら　壊し方もわかるはずゴブ！			工事の邪魔になっている、「放棄されたゴーレム」　どかしてほしいゴブ！お前さんがシャーレアン人なら　壊し方もわかるはずゴブ！			廃都の初仕事							
工事の邪魔になっている、「放棄されたゴーレム」　どかしてほしいゴブ！お前さんがシャーレアン人なら　壊し方もわかるはずゴブ！			工事の邪魔になっている、「放棄されたゴーレム」　どかしてほしいゴブ！お前さんがシャーレアン人なら　壊し方もわかるはずゴブ！			廃都の初仕事							
確かに、ここには利用できるものが多そうだが……。			確かに、ここには利用できるものが多そうだが……。			廃都の初仕事							
まさか、廃都「シャーレアン」に、住んでいる人たちがいたなんて……。			まさか、廃都「シャーレアン」に、住んでいる人たちがいたなんて……。			廃都の初仕事							
15年前に放棄されたゴーレムか……。			15年前に放棄されたゴーレムか……。			廃都の初仕事							
ゴーレムが居座っているですって？おそらくは、侵入者対策に設置された物でしょうね。それなら、簡単に排除できるはず……。			ゴーレムが居座っているですって？おそらくは、侵入者対策に設置された物でしょうね。それなら、簡単に排除できるはず……。			廃都の初仕事							
「真理は死んだ」という合言葉を聞かせれば、強制的にゴーレムの動作を、終了させることができるわ。上手くいけば、戦わずに排除できるでしょう。			「真理は死んだ」という合言葉を聞かせれば、強制的にゴーレムの動作を、終了させることができるわ。上手くいけば、戦わずに排除できるでしょう。			廃都の初仕事							
どうやら数も多そうだし、3人で分担しましょう。それぞれ、自分の担当箇所が終わったら、「スローフィクス」に報告することにしましょうか。			どうやら数も多そうだし、3人で分担しましょう。それぞれ、自分の担当箇所が終わったら、「スローフィクス」に報告することにしましょうか。			廃都の初仕事							
チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで『真理は死んだ』と合言葉を入力しましょう。			チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで『真理は死んだ』と合言葉を入力しましょう。			廃都の初仕事							
真理は死んだ			真理は死んだ			廃都の初仕事							
「真理は死んだ」という合言葉を聞かせれば、強制的にゴーレムの動作を、終了させることができるわ。上手くいけば、戦わずに排除できるでしょう。			「真理は死んだ」という合言葉を聞かせれば、強制的にゴーレムの動作を、終了させることができるわ。上手くいけば、戦わずに排除できるでしょう。			廃都の初仕事							
ここから先は、私に任せてくれ。君は向こう側を頼むよ。			ここから先は、私に任せてくれ。君は向こう側を頼むよ。			廃都の初仕事							
ゴゴゴゴゴゴ…………。			ゴゴゴゴゴゴ…………。			廃都の初仕事							
チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで『真理は死んだ』と合言葉を入力しましょう。			チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで『真理は死んだ』と合言葉を入力しましょう。			廃都の初仕事							
合言葉を聞かせると、ゴーレムは崩れ去った……。			合言葉を聞かせると、ゴーレムは崩れ去った……。			廃都の初仕事							
シュコォ……シュコォ……。よしよし　ひとまず　お疲れさん。なかなか　どうして　ありがとさん。			シュコォ……シュコォ……。よしよし　ひとまず　お疲れさん。なかなか　どうして　ありがとさん。			廃都の初仕事							
これでゴーレム　悩みとおさらば。拡張工事に　専念できるゴブ！			これでゴーレム　悩みとおさらば。拡張工事に　専念できるゴブ！			廃都の初仕事							
あら、お帰りなさい。私の方は、何の問題もなく終わったわ。			あら、お帰りなさい。私の方は、何の問題もなく終わったわ。			廃都の初仕事							
Forenameは、無事だったかい？故障だか何だか知らないが、合言葉を受け入れず、襲ってきてね……なんとか実力行使で破壊したよ。			Forenameは、無事だったかい？故障だか何だか知らないが、合言葉を受け入れず、襲ってきてね……なんとか実力行使で破壊したよ。			廃都の初仕事							
セノタフ大石碑のウールニクスは、冒険者を値踏みしている。			セノタフ大石碑のウールニクスは、冒険者を値踏みしている。			門番だって虫は怖い							
ウールニクスは、タランチュラホークの被害に苦しんでいるらしい。低地ドラヴァニアのシャーレアン選者街にいる「タランチュラホーク」を3体討伐しよう。			ウールニクスは、タランチュラホークの被害に苦しんでいるらしい。低地ドラヴァニアのシャーレアン選者街にいる「タランチュラホーク」を3体討伐しよう。			門番だって虫は怖い							
タランチュラホークを討伐した。セノタフ大石碑の「ウールニクス」に報告しよう。			タランチュラホークを討伐した。セノタフ大石碑の「ウールニクス」に報告しよう。			門番だって虫は怖い							
タランチュラホークを駆除したことをウールニクスに伝えた。これで、彼も安心して門番の仕事に専念できるだろう。			タランチュラホークを駆除したことをウールニクスに伝えた。これで、彼も安心して門番の仕事に専念できるだろう。			門番だって虫は怖い							
タランチュラホークを討伐			タランチュラホークを討伐			門番だって虫は怖い							
セノタフ大石碑のウールニクスに報告			セノタフ大石碑のウールニクスに報告			門番だって虫は怖い							
シュコォ……シュコォ……お前さん　なかなか　強そう　やり手そう～。			シュコォ……シュコォ……お前さん　なかなか　強そう　やり手そう～。			門番だって虫は怖い							
「タランチュラホーク」　3匹退治　頼みたい～。数が増え　門まで来るから　困ってる～。「選者街」で　数を減らして　ちょ～だいよ～。			「タランチュラホーク」　3匹退治　頼みたい～。数が増え　門まで来るから　困ってる～。「選者街」で　数を減らして　ちょ～だいよ～。			門番だって虫は怖い							
「タランチュラホーク」　3匹　退治　頼みたい～。数が増え　門まで来るから　困ってる～。「選者街」で　数を減らして　ちょ～だいよ～。			「タランチュラホーク」　3匹　退治　頼みたい～。数が増え　門まで来るから　困ってる～。「選者街」で　数を減らして　ちょ～だいよ～。			門番だって虫は怖い							
シュコォ……シュコォ……さすが　やり手の冒険者　ありがたいね　助かった～。			シュコォ……シュコォ……さすが　やり手の冒険者　ありがたいね　助かった～。			門番だって虫は怖い							
虫に刺されて　逃げ惑い　門番放置で　怒られた～。虫さえ減って　来なくなりゃ　安心しきって　見張れるぞ～。助け合いは　すばらしい　これからどうぞ　よろしく頼む～！			虫に刺されて　逃げ惑い　門番放置で　怒られた～。虫さえ減って　来なくなりゃ　安心しきって　見張れるぞ～。助け合いは　すばらしい　これからどうぞ　よろしく頼む～！			門番だって虫は怖い							
シャーレアン工匠街のフェルトスモクスは、げんなりした様子で肩を落としている。			シャーレアン工匠街のフェルトスモクスは、げんなりした様子で肩を落としている。			魔眼を使ってスランプ脱出？							
フェルトスモクスは、魚が釣れなくて落ち込み、散歩をしていたようだ。フェルトスモクスから、ワイルドビーストの魔眼を持ってくるよう頼まれた。シャーレアン工匠街で「ワイルドビースト」を討伐して、「ワイルドビーストの魔眼」を3つ入手しよう。			フェルトスモクスは、魚が釣れなくて落ち込み、散歩をしていたようだ。フェルトスモクスから、ワイルドビーストの魔眼を持ってくるよう頼まれた。シャーレアン工匠街で「ワイルドビースト」を討伐して、「ワイルドビーストの魔眼」を3つ入手しよう。			魔眼を使ってスランプ脱出？							
ワイルドビーストの魔眼を入手した。シャーレアン工匠街の「フェルトスモクス」に、「ワイルドビーストの魔眼」を渡そう。			ワイルドビーストの魔眼を入手した。シャーレアン工匠街の「フェルトスモクス」に、「ワイルドビーストの魔眼」を渡そう。			魔眼を使ってスランプ脱出？							
フェルトスモクスにワイルドビーストの魔眼を渡した。フェルトスモクスは、ワイルドビーストの魔眼を釣り餌として使い、スランプ脱出を目指すようだ。			フェルトスモクスにワイルドビーストの魔眼を渡した。フェルトスモクスは、ワイルドビーストの魔眼を釣り餌として使い、スランプ脱出を目指すようだ。			魔眼を使ってスランプ脱出？							
ワイルドビーストからワイルドビーストの魔眼を入手			ワイルドビーストからワイルドビーストの魔眼を入手			魔眼を使ってスランプ脱出？							
フェルトスモクスにワイルドビーストの魔眼を渡す			フェルトスモクスにワイルドビーストの魔眼を渡す			魔眼を使ってスランプ脱出？							
シュコォ……シュコォ……気晴らし　気ままに　散歩中……それでも　気持ちは　晴れぬまま……。			シュコォ……シュコォ……気晴らし　気ままに　散歩中……それでも　気持ちは　晴れぬまま……。			魔眼を使ってスランプ脱出？							
ホントは　釣りを　楽しみたい……なぜか　スランプ　なかなか　釣れぬ……。			ホントは　釣りを　楽しみたい……なぜか　スランプ　なかなか　釣れぬ……。			魔眼を使ってスランプ脱出？							
そこゆく　どこゆく　冒険者　ひとつ仕事を　頼みたい……「ワイルドビースト」　ブチのめしそいつの魔眼を　3個ほど　取ってほしいぞ　お願いぞ……。			そこゆく　どこゆく　冒険者　ひとつ仕事を　頼みたい……「ワイルドビースト」　ブチのめしそいつの魔眼を　3個ほど　取ってほしいぞ　お願いぞ……。			魔眼を使ってスランプ脱出？							
そこゆく　どこゆく　冒険者　ひとつ仕事を　頼みたい……「ワイルドビースト」　ブチのめしそいつの魔眼を　3個ほど　取ってほしいぞ　お願いぞ……。			そこゆく　どこゆく　冒険者　ひとつ仕事を　頼みたい……「ワイルドビースト」　ブチのめしそいつの魔眼を　3個ほど　取ってほしいぞ　お願いぞ……。			魔眼を使ってスランプ脱出？							
「ワイルドビースト」　ブチのめしそいつの魔眼を　3個ほど　取ってほしいぞ　お願いぞ……。			「ワイルドビースト」　ブチのめしそいつの魔眼を　3個ほど　取ってほしいぞ　お願いぞ……。			魔眼を使ってスランプ脱出？							
シュコォ……シュコォ……おやおや　まあまあ　ありがとさん！これさえ　あれば　スランプ脱出！			シュコォ……シュコォ……おやおや　まあまあ　ありがとさん！これさえ　あれば　スランプ脱出！			魔眼を使ってスランプ脱出？							
プニプニ魔眼を　釣り餌にすれば爆釣　大量　間違いなし！さっそく　試して　みようぞな～！			プニプニ魔眼を　釣り餌にすれば爆釣　大量　間違いなし！さっそく　試して　みようぞな～！			魔眼を使ってスランプ脱出？							
イディルシャイアのミッドナイト・デューは、冒険者を試したいようだ。			イディルシャイアのミッドナイト・デューは、冒険者を試したいようだ。			イディルシャイアでこんにちは							
ミッドナイト・デューから、この集落に馴染むための仕事を任された。イディルシャイアの「荷運びの冒険者」と話そう。			ミッドナイト・デューから、この集落に馴染むための仕事を任された。イディルシャイアの「荷運びの冒険者」と話そう。			イディルシャイアでこんにちは							
荷運びの冒険者は、熟れた果実をばらまいてしまったらしい。イディルシャイアで「熟れた果実」を5個入手しよう。			荷運びの冒険者は、熟れた果実をばらまいてしまったらしい。イディルシャイアで「熟れた果実」を5個入手しよう。			イディルシャイアでこんにちは							
熟れた果実を5個入手した。イディルシャイアの「荷運びの冒険者」に「熟れた果実」を渡そう。			熟れた果実を5個入手した。イディルシャイアの「荷運びの冒険者」に「熟れた果実」を渡そう。			イディルシャイアでこんにちは							
荷運びの冒険者に熟れた果実を渡した。どうやら無事に受け入れてもらえたようだ。イディルシャイアの「ミッドナイト・デュー」に報告しよう。			荷運びの冒険者に熟れた果実を渡した。どうやら無事に受け入れてもらえたようだ。イディルシャイアの「ミッドナイト・デュー」に報告しよう。			イディルシャイアでこんにちは							
イディルシャイアの冒険者に受け入れられたことを、ミッドナイト・デューに報告した。ミッドナイト・デューたちも、様々な軋轢を経たうえで、ゴブリン族たちと意気投合することができたのだそうだ。			イディルシャイアの冒険者に受け入れられたことを、ミッドナイト・デューに報告した。ミッドナイト・デューたちも、様々な軋轢を経たうえで、ゴブリン族たちと意気投合することができたのだそうだ。			イディルシャイアでこんにちは							
荷運びの冒険者と話す			荷運びの冒険者と話す			イディルシャイアでこんにちは							
熟れた果実を入手			熟れた果実を入手			イディルシャイアでこんにちは							
荷運びの冒険者に熟れた果実を渡す			荷運びの冒険者に熟れた果実を渡す			イディルシャイアでこんにちは							
ミッドナイト・デューに報告			ミッドナイト・デューに報告			イディルシャイアでこんにちは							
アンタ、仕事を手伝ってみないかい？			アンタ、仕事を手伝ってみないかい？			イディルシャイアでこんにちは							
ここは、寄せ集めが作った新興の集落だからね。お互いを知るには、一緒に働くのが手っ取り早いのさ。そうだね……試してみようじゃないか。			ここは、寄せ集めが作った新興の集落だからね。お互いを知るには、一緒に働くのが手っ取り早いのさ。そうだね……試してみようじゃないか。			イディルシャイアでこんにちは							
アタシたちの同業の冒険者が、そこらで荷運びをしてるはずだ。ちょいと、奴の手伝いに行っておくれ。			アタシたちの同業の冒険者が、そこらで荷運びをしてるはずだ。ちょいと、奴の手伝いに行っておくれ。			イディルシャイアでこんにちは							
アタシたちの同業の冒険者が、そこらで荷運びをしてるはずだ。ちょいと、奴の手伝いに行っておくれ。			アタシたちの同業の冒険者が、そこらで荷運びをしてるはずだ。ちょいと、奴の手伝いに行っておくれ。			イディルシャイアでこんにちは							
……ん？　あれ！？壺の底に穴が空いてるぞ……どうりで軽いと思った！			……ん？　あれ！？壺の底に穴が空いてるぞ……どうりで軽いと思った！			イディルシャイアでこんにちは							
……おおっ、あんた、ちょうどいいところに！手が空いてたら、そこら辺に「熟れた果実」がないか、探してみちゃくれないかな？			……おおっ、あんた、ちょうどいいところに！手が空いてたら、そこら辺に「熟れた果実」がないか、探してみちゃくれないかな？			イディルシャイアでこんにちは							
……おおっ、あんた、ちょうどいいところに！手が空いてたら、そこら辺に「熟れた果実」がないか、探してみちゃくれないかな？			……おおっ、あんた、ちょうどいいところに！手が空いてたら、そこら辺に「熟れた果実」がないか、探してみちゃくれないかな？			イディルシャイアでこんにちは							
シュコォ……シュコォ……冒険者　熟れた果実を　拾ったぞ～持ち主　探して　渡してちょ～だい			シュコォ……シュコォ……冒険者　熟れた果実を　拾ったぞ～持ち主　探して　渡してちょ～だい			イディルシャイアでこんにちは							
シュコォ……シュコォ……ゴロゴロ転がる　熟れた果実　拾ったぞ～探してたのなら　はいどうぞ～			シュコォ……シュコォ……ゴロゴロ転がる　熟れた果実　拾ったぞ～探してたのなら　はいどうぞ～			イディルシャイアでこんにちは							
シュコォ……シュコォ……持ち主に　熟れた果実　渡せたか～？			シュコォ……シュコォ……持ち主に　熟れた果実　渡せたか～？			イディルシャイアでこんにちは							
シュコォ……シュコォ……熟れた果実　転がってきたときゃ　ビックリしたぞ～！			シュコォ……シュコォ……熟れた果実　転がってきたときゃ　ビックリしたぞ～！			イディルシャイアでこんにちは							
……おおっ、あんた、ちょうどいいところに！手が空いてたら、そこら辺に「熟れた果実」がないか、探してみちゃくれないかな？			……おおっ、あんた、ちょうどいいところに！手が空いてたら、そこら辺に「熟れた果実」がないか、探してみちゃくれないかな？			イディルシャイアでこんにちは							
ひぃ、ふぅ、みぃ……。ちゃんと、全部あるみたいだ！ありがとな、助かった！！			ひぃ、ふぅ、みぃ……。ちゃんと、全部あるみたいだ！ありがとな、助かった！！			イディルシャイアでこんにちは							
……って、あんた、ミッドナイト・デューに言われてきたのか。ははっ！　挨拶する前に、世話になっちまった。これからもよろしくな！			……って、あんた、ミッドナイト・デューに言われてきたのか。ははっ！　挨拶する前に、世話になっちまった。これからもよろしくな！			イディルシャイアでこんにちは							
お前さんのおかげで、果実が全部集まったぜ。これからもよろしくな！			お前さんのおかげで、果実が全部集まったぜ。これからもよろしくな！			イディルシャイアでこんにちは							
戻ってきたね……。どうやら、その様子だとウチの仲間たちと、上手くやっていけそうじゃないか。			戻ってきたね……。どうやら、その様子だとウチの仲間たちと、上手くやっていけそうじゃないか。			イディルシャイアでこんにちは							
アタシらも、来たばかりの時は、荒れてたけどね。今じゃ、ここで出会ったゴブリン族とも意気投合して、お互い支えあいながら、新しい街をこさえようとしてるのさ。			アタシらも、来たばかりの時は、荒れてたけどね。今じゃ、ここで出会ったゴブリン族とも意気投合して、お互い支えあいながら、新しい街をこさえようとしてるのさ。			イディルシャイアでこんにちは							
助け合うってことに、種族なんて関係ない。案外、ゴブリン族とわかりあうのも簡単なんだ。試すようなことをしてすまなかったね、よろしく頼むよ。			助け合うってことに、種族なんて関係ない。案外、ゴブリン族とわかりあうのも簡単なんだ。試すようなことをしてすまなかったね、よろしく頼むよ。			イディルシャイアでこんにちは							
イディルシャイアのドライドクスは、ガラクタを前にして慌てているようだ。			イディルシャイアのドライドクスは、ガラクタを前にして慌てているようだ。			大事な大事なガラクタ							
ドライドクスから話を聞いた。袋に入れて集めていた廃品を、誰かに盗まれたらしい。低地ドラヴァニアのシャーレアン工匠街で、「ガラクタ袋」を4つ探しだそう。			ドライドクスから話を聞いた。袋に入れて集めていた廃品を、誰かに盗まれたらしい。低地ドラヴァニアのシャーレアン工匠街で、「ガラクタ袋」を4つ探しだそう。			大事な大事なガラクタ							
ガラクタ袋を4つ入手した。イディルシャイアの「ドライドクス」に「ガラクタ袋」を渡そう。			ガラクタ袋を4つ入手した。イディルシャイアの「ドライドクス」に「ガラクタ袋」を渡そう。			大事な大事なガラクタ							
ドライドクスにガラクタ袋を渡した。このガラクタ袋には、再利用できる物が詰まっているらしい。学術都市シャーレアンに残された廃品には、貴重な資源となるものも多いようだ。			ドライドクスにガラクタ袋を渡した。このガラクタ袋には、再利用できる物が詰まっているらしい。学術都市シャーレアンに残された廃品には、貴重な資源となるものも多いようだ。			大事な大事なガラクタ							
シャーレアン工匠街でガラクタ袋を入手			シャーレアン工匠街でガラクタ袋を入手			大事な大事なガラクタ							
イディルシャイアのドライドクスにガラクタ袋を渡す			イディルシャイアのドライドクスにガラクタ袋を渡す			大事な大事なガラクタ							
シュコォ……シュコォ……ここに集めた　「ガラクタ袋」　突然　忽然　消えたぞな！？ゴブの血と汗　涙の結晶　すぐに見つけて　ほしいのよ！			シュコォ……シュコォ……ここに集めた　「ガラクタ袋」　突然　忽然　消えたぞな！？ゴブの血と汗　涙の結晶　すぐに見つけて　ほしいのよ！			大事な大事なガラクタ							
「ガラクタ袋」は　全部で4つ！きっと「青の手」　盗んでいった！だからお願い　冒険者　探して奪還　お願いよ～！			「ガラクタ袋」は　全部で4つ！きっと「青の手」　盗んでいった！だからお願い　冒険者　探して奪還　お願いよ～！			大事な大事なガラクタ							
「ガラクタ袋」は　全部で4つ！きっと「青の手」　盗んでいった！だからお願い　冒険者　探して奪還　お願いよ～！			「ガラクタ袋」は　全部で4つ！きっと「青の手」　盗んでいった！だからお願い　冒険者　探して奪還　お願いよ～！			大事な大事なガラクタ							
「ガラクタ袋」は　全部で4つ！きっと「青の手」　盗んでいった！だからお願い　冒険者　探して奪還　お願いよ～！			「ガラクタ袋」は　全部で4つ！きっと「青の手」　盗んでいった！だからお願い　冒険者　探して奪還　お願いよ～！			大事な大事なガラクタ							
シュコォ……シュコォ……間違いなしの　問題なし　これはゴブの「ガラクタ袋」！無事で　見つかり　万々歳！！			シュコォ……シュコォ……間違いなしの　問題なし　これはゴブの「ガラクタ袋」！無事で　見つかり　万々歳！！			大事な大事なガラクタ							
中身はガラクタ　それでも資源！廃都の遺品は　磨けば光る　立派で貴重で　大事な資源！これらを使えば　イディルシャイアも　ピカピカよ～！			中身はガラクタ　それでも資源！廃都の遺品は　磨けば光る　立派で貴重で　大事な資源！これらを使えば　イディルシャイアも　ピカピカよ～！			大事な大事なガラクタ							
イディルシャイアのホールピクスは、やる気満々のようだ。			イディルシャイアのホールピクスは、やる気満々のようだ。			尖兵となれ！							
ホールピクスから、縄張り争いに勝利するため、「青の手」のゴブリン族を倒すよう頼まれた。低地ドラヴァニアの大工房アーキテクトンで、「ゴブリン・ブランディッシャー」、「ゴブリン・ティンカラー」、「ゴブリン・シャープシューター」、「ゴブリン・グライダー」のいずれかを6体討伐しよう。			ホールピクスから、縄張り争いに勝利するため、「青の手」のゴブリン族を倒すよう頼まれた。低地ドラヴァニアの大工房アーキテクトンで、「ゴブリン・ブランディッシャー」、「ゴブリン・ティンカラー」、「ゴブリン・シャープシューター」、「ゴブリン・グライダー」のいずれかを6体討伐しよう。			尖兵となれ！							
「青の手」のゴブリン族を討伐した。イディルシャイアの「ホールピクス」に報告しよう。			「青の手」のゴブリン族を討伐した。イディルシャイアの「ホールピクス」に報告しよう。			尖兵となれ！							
ホールピクスに報告した。ホールピクスは、知識を手に入れるためなら何でもする「青の手」を危険視しているようだ。			ホールピクスに報告した。ホールピクスは、知識を手に入れるためなら何でもする「青の手」を危険視しているようだ。			尖兵となれ！							
大工房アーキテクトンの「青の手」のゴブリン族を討伐			大工房アーキテクトンの「青の手」のゴブリン族を討伐			尖兵となれ！							
イディルシャイアのホールピクスに報告			イディルシャイアのホールピクスに報告			尖兵となれ！							
シュコォ……シュコォ……時は　来たれり！　狼煙を上げよ！「青の手」との縄張り争い　今日こそ決着！			シュコォ……シュコォ……時は　来たれり！　狼煙を上げよ！「青の手」との縄張り争い　今日こそ決着！			尖兵となれ！							
決戦の地は　「大工房アーキテクトン」！「青の手」　ゴブリン　6体討伐　任せたぞ！			決戦の地は　「大工房アーキテクトン」！「青の手」　ゴブリン　6体討伐　任せたぞ！			尖兵となれ！							
決戦の地は　「大工房アーキテクトン」！「青の手」　ゴブリン　6体討伐　任せたぞ！			決戦の地は　「大工房アーキテクトン」！「青の手」　ゴブリン　6体討伐　任せたぞ！			尖兵となれ！							
シュコォ……シュコォ……獅子奮迅の大活躍　見事なりや　冒険者！これで主導権は　ゴブらのもの！　今後の戦い　絶対有利！			シュコォ……シュコォ……獅子奮迅の大活躍　見事なりや　冒険者！これで主導権は　ゴブらのもの！　今後の戦い　絶対有利！			尖兵となれ！							
知識を求める「青の手」は　手段問わずの　悪漢ぞろい！知識を集める「青の手」は　秘密主義の　ケチンボぞろい！対立激化し　今じゃ　ドンパチ！			知識を求める「青の手」は　手段問わずの　悪漢ぞろい！知識を集める「青の手」は　秘密主義の　ケチンボぞろい！対立激化し　今じゃ　ドンパチ！			尖兵となれ！							
何かよからぬ　たくらみを　画策　暗躍　間違いなし！だから　警戒　強めるぞ～！　ビシバシ戦い　勝ってやる～！			何かよからぬ　たくらみを　画策　暗躍　間違いなし！だから　警戒　強めるぞ～！　ビシバシ戦い　勝ってやる～！			尖兵となれ！							
イディルシャイアのラウドジョクスは、商品を切らしてしまったようだ。			イディルシャイアのラウドジョクスは、商品を切らしてしまったようだ。			ラウドジョクスの特製ブレンド							
