主なき遺構前のヤ・シュトラは、次なる行動に移るようだ。			主なき遺構前のヤ・シュトラは、次なる行動に移るようだ。			輝きは不滅なりて							
あなたはアマロで、エメトセルクが言い残した地……「テンペスト」と呼ばれる黒き海の底を、目指そうとなさっていたのですね。			あなたはアマロで、エメトセルクが言い残した地……「テンペスト」と呼ばれる黒き海の底を、目指そうとなさっていたのですね。			消えることなき希望の唄							
それについては、私たちも調べを進めておりました。いかなる手段で向かうのが最善かも含めて……です。			それについては、私たちも調べを進めておりました。いかなる手段で向かうのが最善かも含めて……です。			消えることなき希望の唄							
目星はすでについておりますが、お話しする前に、クリスタリウムでやり残したことがないか、改めてご確認を。海底を目指すとなれば……大冒険になりますがゆえ。			目星はすでについておりますが、お話しする前に、クリスタリウムでやり残したことがないか、改めてご確認を。海底を目指すとなれば……大冒険になりますがゆえ。			消えることなき希望の唄							
アミティーのチャイ・ヌズは、緊張の面持ちだ。			アミティーのチャイ・ヌズは、緊張の面持ちだ。			光をもたらす者							
ついに、巨大タロース起動の準備ができた。アミティーの「水晶公」と話そう。			ついに、巨大タロース起動の準備ができた。アミティーの「水晶公」と話そう。			光をもたらす者							
巨大タロースが起動し、グルグ火山への道ができた。コルシア島のグルグ火山前にいる「ヤ・シュトラ」と話そう。			巨大タロースが起動し、グルグ火山への道ができた。コルシア島のグルグ火山前にいる「ヤ・シュトラ」と話そう。			光をもたらす者							
ヤ・シュトラたちと合流した。罪喰いとの戦いに決着をつけるべく、「グルグ火山」に突入しよう。※進入地点付近にいる仲間たちと話し「パーティを編成して突入」するか、メインコマンドの「コンテンツサポーター」を選ぶことで、仲間NPCと一緒に攻略ができます。※プレイヤー同士のパーティで攻略する場合は、コンテンツファインダーから攻略に参加してください。			ヤ・シュトラたちと合流した。罪喰いとの戦いに決着をつけるべく、「グルグ火山」に突入しよう。※進入地点付近にいる仲間たちと話し「パーティを編成して突入」するか、メインコマンドの「コンテンツサポーター」を選ぶことで、仲間NPCと一緒に攻略ができます。※プレイヤー同士のパーティで攻略する場合は、コンテンツファインダーから攻略に参加してください。			光をもたらす者							
グルグ火山上層に到達した。さらに先を目指そう。一度外に出た場合は、コルシア島のグルグ火山前にいる「案内役の衛兵」が、イマキュレートクラウンへ案内してくれるようだ。			グルグ火山上層に到達した。さらに先を目指そう。一度外に出た場合は、コルシア島のグルグ火山前にいる「案内役の衛兵」が、イマキュレートクラウンへ案内してくれるようだ。			光をもたらす者							
仲間たちの協力で、先へ進むことができた。待ち受けるヴァウスリー、否、全能者「イノセンス」を討伐しよう！※コンテンツファインダーから攻略に参加できます。			仲間たちの協力で、先へ進むことができた。待ち受けるヴァウスリー、否、全能者「イノセンス」を討伐しよう！※コンテンツファインダーから攻略に参加できます。			光をもたらす者							
イノセンスを討伐した。イマキュレートクラウンの「リーン」と話そう。一度外に出た場合は、コルシア島のグルグ火山前にいる「案内役の衛兵」が、イマキュレートクラウンへ案内してくれるようだ。			イノセンスを討伐した。イマキュレートクラウンの「リーン」と話そう。一度外に出た場合は、コルシア島のグルグ火山前にいる「案内役の衛兵」が、イマキュレートクラウンへ案内してくれるようだ。			光をもたらす者							
リーンと話した。これですべては解決となるのだろうか……？※次のクエストは、クリスタリウムの「ペンダント居住館の管理人」から受注できます。			リーンと話した。これですべては解決となるのだろうか……？※次のクエストは、クリスタリウムの「ペンダント居住館の管理人」から受注できます。			光をもたらす者							
水晶公と話す			水晶公と話す			光をもたらす者							
ヤ・シュトラと話す			ヤ・シュトラと話す			光をもたらす者							
「偽造天界 グルグ火山」を攻略			「偽造天界 グルグ火山」を攻略			光をもたらす者							
大罪喰い「イノセンス」を討伐			大罪喰い「イノセンス」を討伐			光をもたらす者							
リーンと話す			リーンと話す			光をもたらす者							
水晶公が、無事に戻っていらしてよかったわ！あなたも、少しは休憩できたかしら？コルシア島の風は、とても気持ちいいのよ。			水晶公が、無事に戻っていらしてよかったわ！あなたも、少しは休憩できたかしら？コルシア島の風は、とても気持ちいいのよ。			光をもたらす者							
私の方は、もう心配ない。チャイ・ヌズに、タロースの状況を聞いてみよう。			私の方は、もう心配ない。チャイ・ヌズに、タロースの状況を聞いてみよう。			光をもたらす者							
お前たちが、どこぞに出歩いている間に、タロース起動の準備が整ったと連絡があったぞ。			お前たちが、どこぞに出歩いている間に、タロース起動の準備が整ったと連絡があったぞ。			光をもたらす者							
あとは、魔力を流しこむだけ……。その号令は、どうする？			あとは、魔力を流しこむだけ……。その号令は、どうする？			光をもたらす者							
Forename、タロースがたちあがれば、さすがにヴァウスリーも動くだろう。そうなってはもう、中断は利かない……。			Forename、タロースがたちあがれば、さすがにヴァウスリーも動くだろう。そうなってはもう、中断は利かない……。			光をもたらす者							
ゆえに、あなたの戦支度がすべてすんだら、私に声をかけてくれ。あなたの号令を、待機中の仲間たちに届けよう。			ゆえに、あなたの戦支度がすべてすんだら、私に声をかけてくれ。あなたの号令を、待機中の仲間たちに届けよう。			光をもたらす者							
あ、ああ……ついに……ついにだぞ……！大丈夫、大丈夫、私はやるだけのことをやった……！何も間違いはないはずだ！			あ、ああ……ついに……ついにだぞ……！大丈夫、大丈夫、私はやるだけのことをやった……！何も間違いはないはずだ！			光をもたらす者							
緊張しなくても大丈夫よ。私の旦那様が、熱心にやった仕事だもの。絶対に失敗しないって、私、断言できるわ。			緊張しなくても大丈夫よ。私の旦那様が、熱心にやった仕事だもの。絶対に失敗しないって、私、断言できるわ。			光をもたらす者							
さて、どうする……？準備ができているのなら、タロース起動の号令をかけよう。			さて、どうする……？準備ができているのなら、タロース起動の号令をかけよう。			光をもたらす者							
何と言う？			何と言う？			光をもたらす者							
タロース、発進！			タロース、発進！			光をもたらす者							
もう少し待って			もう少し待って			光をもたらす者							
承知した……！では、皆に号令を伝えよう！			承知した……！では、皆に号令を伝えよう！			光をもたらす者							
ああ、焦る必要はない。支度がすべて整ったら、また声をかけてくれ。			ああ、焦る必要はない。支度がすべて整ったら、また声をかけてくれ。			光をもたらす者							
タロースの起動にあたった人々は、私が危なくない場所に誘導しておく。あなたは、北にある火山のふもとで、皆と合流してくれ。			タロースの起動にあたった人々は、私が危なくない場所に誘導しておく。あなたは、北にある火山のふもとで、皆と合流してくれ。			光をもたらす者							
……必ず勝とう、この戦いに！			……必ず勝とう、この戦いに！			光をもたらす者							
ははは、はは……！何が何やらだが、やりとげた、やりとげたぞ私は！			ははは、はは……！何が何やらだが、やりとげた、やりとげたぞ私は！			光をもたらす者							
さあ行け！今度は、お前たちの本気を見せてもらう番だ！			さあ行け！今度は、お前たちの本気を見せてもらう番だ！			光をもたらす者							
Forenameちゃん、気をつけて行ってくるのよ。アルフィノちゃんたちも連れて、必ず無事に帰ってきてね……！			Forenameちゃん、気をつけて行ってくるのよ。アルフィノちゃんたちも連れて、必ず無事に帰ってきてね……！			光をもたらす者							
君も来たか……！			君も来たか……！			光をもたらす者							
いよいよね……！			いよいよね……！			光をもたらす者							
準備はできてるか？			準備はできてるか？			光をもたらす者							
これで、ヴァウスリーのもとに……Forenameさん……！			これで、ヴァウスリーのもとに……Forenameさん……！			光をもたらす者							
罪喰いたちが暴れています。とにかく、急ぐといたしましょう。			罪喰いたちが暴れています。とにかく、急ぐといたしましょう。			光をもたらす者							
……これで、全員そろったわね。			……これで、全員そろったわね。			光をもたらす者							
タロースはグルグ火山を掴んだ……今ならこの巨大な岩の身体を伝って、山に乗り込めるわ。			タロースはグルグ火山を掴んだ……今ならこの巨大な岩の身体を伝って、山に乗り込めるわ。			光をもたらす者							
もちろん、罪喰いたちが、全力で襲い掛かってくるでしょうけど……			もちろん、罪喰いたちが、全力で襲い掛かってくるでしょうけど……			光をもたらす者							
ああ……！こちらも全力で応戦して、駆け抜ける！今度こそ、ヴァウスリーのところまで……！			ああ……！こちらも全力で応戦して、駆け抜ける！今度こそ、ヴァウスリーのところまで……！			光をもたらす者							
何と言う？			何と言う？			光をもたらす者							
さあ、行こう！			さあ、行こう！			光をもたらす者							
後れはとるなよ			後れはとるなよ			光をもたらす者							
気をつけて進もう			気をつけて進もう			光をもたらす者							
どうする？			どうする？			光をもたらす者							
話す			話す			光をもたらす者							
パーティを編成して突入			パーティを編成して突入			光をもたらす者							
キャンセル			キャンセル			光をもたらす者							
ヴァウスリーの言っていた、「楽園」というもの。私はまだ、その言葉が指すものを、思い描けないよ。あるいは……一生そうなのかもしれない。			ヴァウスリーの言っていた、「楽園」というもの。私はまだ、その言葉が指すものを、思い描けないよ。あるいは……一生そうなのかもしれない。			光をもたらす者							
ただ、ひとつ断言できるとすれば。市民たちを捨て、手駒の罪喰いたちと籠った山は、決して人の楽園などにはなりえない。			ただ、ひとつ断言できるとすれば。市民たちを捨て、手駒の罪喰いたちと籠った山は、決して人の楽園などにはなりえない。			光をもたらす者							
その事実を、いつわりなき真実を……今度こそ受け取ってもらうぞ、ヴァウスリー……！			その事実を、いつわりなき真実を……今度こそ受け取ってもらうぞ、ヴァウスリー……！			光をもたらす者							
はじめたときは、途方もない話だと思ったけれど……ついに、最後の大罪喰い討伐まできたわ。			はじめたときは、途方もない話だと思ったけれど……ついに、最後の大罪喰い討伐まできたわ。			光をもたらす者							
準備は万全、護衛で体も温まってる。今さら何も言うことはないわ……気持ちはすべて剣に乗せて、必ず道を拓いてあげる！			準備は万全、護衛で体も温まってる。今さら何も言うことはないわ……気持ちはすべて剣に乗せて、必ず道を拓いてあげる！			光をもたらす者							
上では、どれくらいの罪喰いが襲ってくるか……。10……100……いや、そんなカワイイ数じゃないか。			上では、どれくらいの罪喰いが襲ってくるか……。10……100……いや、そんなカワイイ数じゃないか。			光をもたらす者							
なに、構うことはないさ。この世界を救う……「彼女」の願いに手が届くなら、俺は、何があってもやりきってみせる……！			なに、構うことはないさ。この世界を救う……「彼女」の願いに手が届くなら、俺は、何があってもやりきってみせる……！			光をもたらす者							
私、必ず最後まで戦い抜きます。これはノルヴラントを……私たちの住む世界を救うための、戦いだから……！			私、必ず最後まで戦い抜きます。これはノルヴラントを……私たちの住む世界を救うための、戦いだから……！			光をもたらす者							
サンクレッドとミンフィリア、みなさんと出会って、ここがどんなに素敵で、過酷で、愛すべき場所か知りました。きっと、あの街を出なかったヴァウスリーよりも……ずっと！			サンクレッドとミンフィリア、みなさんと出会って、ここがどんなに素敵で、過酷で、愛すべき場所か知りました。きっと、あの街を出なかったヴァウスリーよりも……ずっと！			光をもたらす者							
あの山を掴んでいるのは、ただの石人形ではありません。集いし者……去りし者……第一世界に生きてきた、未来を望みし、すべての命です。			あの山を掴んでいるのは、ただの石人形ではありません。集いし者……去りし者……第一世界に生きてきた、未来を望みし、すべての命です。			光をもたらす者							
同時に、世界の壁を越え……尊い平和と、あなたの無事を望む者の祈りでもありましょう。私もまた己の祈りを、あなたを護る力へと換えましょう。			同時に、世界の壁を越え……尊い平和と、あなたの無事を望む者の祈りでもありましょう。私もまた己の祈りを、あなたを護る力へと換えましょう。			光をもたらす者							
「闇の戦士」の正体に、気づいている子も、そうでない子もいるようだけど……それぞれの場所から、固唾を飲んで見守っていることでしょう。			「闇の戦士」の正体に、気づいている子も、そうでない子もいるようだけど……それぞれの場所から、固唾を飲んで見守っていることでしょう。			光をもたらす者							
私、こういう大舞台は、あまり得意ではないのだけれど……あれだけ遠ければ、どんな暴れ方をしても見えないでしょう？ならいいわ、存分に魔女の力を披露してあげる。			私、こういう大舞台は、あまり得意ではないのだけれど……あれだけ遠ければ、どんな暴れ方をしても見えないでしょう？ならいいわ、存分に魔女の力を披露してあげる。			光をもたらす者							
おつかれさまです！グルグ火山の上に、ヴァウスリーが築いた宮殿……「イマキュレートクラウン」に向かわれますか？			おつかれさまです！グルグ火山の上に、ヴァウスリーが築いた宮殿……「イマキュレートクラウン」に向かわれますか？			光をもたらす者							
「イマキュレートクラウン」へ移動しますか？			「イマキュレートクラウン」へ移動しますか？			光をもたらす者							
ヴァウスリー……君は……そんな力まで得て、どうして……。			ヴァウスリー……君は……そんな力まで得て、どうして……。			光をもたらす者							
遅くなってごめんなさい。……激戦だったみたいだけど、無事でよかったわ。			遅くなってごめんなさい。……激戦だったみたいだけど、無事でよかったわ。			光をもたらす者							
退路は確保してある。あとは……お前の思うようにやってくれ。			退路は確保してある。あとは……お前の思うようにやってくれ。			光をもたらす者							
……おつかれさまです。これで、ついに、最後の光が……。			……おつかれさまです。これで、ついに、最後の光が……。			光をもたらす者							
少し見ないうちに、ずいぶん姿が変わったものだわ……。恐らく、罪喰いとしての性質が高まったことで、変質したのね。			少し見ないうちに、ずいぶん姿が変わったものだわ……。恐らく、罪喰いとしての性質が高まったことで、変質したのね。			光をもたらす者							
おつかれさまです！ヴァウスリーが天空に築いた宮殿……「イマキュレートクラウン」に向かわれますか？			おつかれさまです！ヴァウスリーが天空に築いた宮殿……「イマキュレートクラウン」に向かわれますか？			光をもたらす者							
Forenameさん、彼は……			Forenameさん、彼は……			光をもたらす者							
……そう、なんですね。ついにヴァウスリーとの……大罪喰いとの決着がついた……。			……そう、なんですね。ついにヴァウスリーとの……大罪喰いとの決着がついた……。			光をもたらす者							
これで、ノルヴラントすべてに、あるべき闇が戻る。ふたつの世界は、救われるんですね……！			これで、ノルヴラントすべてに、あるべき闇が戻る。ふたつの世界は、救われるんですね……！			光をもたらす者							
これより物語が大きく進展するため、カットシーンが連続して再生されます。			これより物語が大きく進展するため、カットシーンが連続して再生されます。			光をもたらす者							
しばらく時間がかかるため、十分にプレイ時間を確保したうえで、クエストをコンプリートすることを、お勧めいたします。			しばらく時間がかかるため、十分にプレイ時間を確保したうえで、クエストをコンプリートすることを、お勧めいたします。			光をもたらす者							
一度この場を離れた場合は、コルシア島のグルグ火山前にいる、「案内役の衛兵」に話しかけることで、ここへ戻ってくることができます。			一度この場を離れた場合は、コルシア島のグルグ火山前にいる、「案内役の衛兵」に話しかけることで、ここへ戻ってくることができます。			光をもたらす者							
ミーン工芸館のカットリスは、冒険者の様子を窺っている。			ミーン工芸館のカットリスは、冒険者の様子を窺っている。			最果てに並ぶ							
指定地点で待機			指定地点で待機			最果てに並ぶ							
クリスタリウムで水晶公の情報を集める			クリスタリウムで水晶公の情報を集める			最果てに並ぶ							
従者の門のライナと話す			従者の門のライナと話す			最果てに並ぶ							
……Forename？大丈夫かい、やっぱり元気がなさそうじゃないか。			……Forename？大丈夫かい、やっぱり元気がなさそうじゃないか。			最果てに並ぶ							
つらいなら、居室に戻るか……ああそうだ、テメノスルカリー牧場のそばにある、見張り台で休憩していったらどうだい？			つらいなら、居室に戻るか……ああそうだ、テメノスルカリー牧場のそばにある、見張り台で休憩していったらどうだい？			最果てに並ぶ							
こんな空を見ても気は晴れないかもしれないけど……あそこは風が気持ちいいんだって、前に公に言われたことがあるんだ。			こんな空を見ても気は晴れないかもしれないけど……あそこは風が気持ちいいんだって、前に公に言われたことがあるんだ。			最果てに並ぶ							
とにかく、無理はするんじゃないよ……？			とにかく、無理はするんじゃないよ……？			最果てに並ぶ							
おや……目覚めたばかりだろうに、もう出歩いて平気なのかい、ご同輩？			おや……目覚めたばかりだろうに、もう出歩いて平気なのかい、ご同輩？			最果てに並ぶ							
……水晶公について聞きたい？構わないが、目新しい話ができるかどうかは怪しいな。皆が知るとおりの、賢者であり、謎めいた人物だからね。			……水晶公について聞きたい？構わないが、目新しい話ができるかどうかは怪しいな。皆が知るとおりの、賢者であり、謎めいた人物だからね。			最果てに並ぶ							
彼はこの街の発展に際して、人々にあらゆる自由を許してくれた。彼の塔の中から、物資を持ち出すことさえね。			彼はこの街の発展に際して、人々にあらゆる自由を許してくれた。彼の塔の中から、物資を持ち出すことさえね。			最果てに並ぶ							
禁じたことといえば、ひとつだけ……塔の中に、彼以外の人が住むことさ。			禁じたことといえば、ひとつだけ……塔の中に、彼以外の人が住むことさ。			最果てに並ぶ							
いつだったかな……その理由を問うた仲間がいてね。すると水晶公は小さく笑って、こう言ったのさ。			いつだったかな……その理由を問うた仲間がいてね。すると水晶公は小さく笑って、こう言ったのさ。			最果てに並ぶ							
「あの魔法の塔は、現れたときと同じように、　いつか唐突に消えてしまうかもしれないから」とね。			「あの魔法の塔は、現れたときと同じように、　いつか唐突に消えてしまうかもしれないから」とね。			最果てに並ぶ							
結局、今日に至っても塔が消えたりはしていないが……あのお方のことだ、まったくの嘘ではないのだと思うよ。			結局、今日に至っても塔が消えたりはしていないが……あのお方のことだ、まったくの嘘ではないのだと思うよ。			最果てに並ぶ							
そうでなくとも、私たちは周囲に作った自分たちの街を、大事に、誇りに思っているからね。禁を破ってまで、中に押し入ろうなどとは思うものか。			そうでなくとも、私たちは周囲に作った自分たちの街を、大事に、誇りに思っているからね。禁を破ってまで、中に押し入ろうなどとは思うものか。			最果てに並ぶ							
うおっ、お前、元気になったのか！？こっちはずっと心配してたんだぞ……！			うおっ、お前、元気になったのか！？こっちはずっと心配してたんだぞ……！			最果てに並ぶ							
なに？　水晶公の話を聞きたいだって？そうは言われても、あの人の素性については、「お互いのために問わない」ってのが不文律だったからな。			なに？　水晶公の話を聞きたいだって？そうは言われても、あの人の素性については、「お互いのために問わない」ってのが不文律だったからな。			最果てに並ぶ							
目新しいことを知ってるとすれば、うーん……やっぱり、ライナじゃないか？			目新しいことを知ってるとすれば、うーん……やっぱり、ライナじゃないか？			最果てに並ぶ							
あいつは、生まれて間もなく両親を罪喰いにやられてな。何かと気にかけてくれた公とは……まあ、容姿こそチグハグだが、祖父と孫娘みたいなモンなんだ。			あいつは、生まれて間もなく両親を罪喰いにやられてな。何かと気にかけてくれた公とは……まあ、容姿こそチグハグだが、祖父と孫娘みたいなモンなんだ。			最果てに並ぶ							
だから、今回の件も人一倍こたえてるはずなんだが、どうにか平静を保って「従者の門」の警備にあたってるよ。よければ、あとで会いに行ってみるといい。			だから、今回の件も人一倍こたえてるはずなんだが、どうにか平静を保って「従者の門」の警備にあたってるよ。よければ、あとで会いに行ってみるといい。			最果てに並ぶ							
心配って言えば、アリゼーたちもだ。前に、アム・アレーンから乗せて帰ってきたときも、酷い顔をしてると思ったが……今回はなおのことだったぞ。			心配って言えば、アリゼーたちもだ。前に、アム・アレーンから乗せて帰ってきたときも、酷い顔をしてると思ったが……今回はなおのことだったぞ。			最果てに並ぶ							
あれっ、何かお忘れものでも……？光についての調査でしたら、これといった進展はまだ……。申し訳ありません……。			あれっ、何かお忘れものでも……？光についての調査でしたら、これといった進展はまだ……。申し訳ありません……。			最果てに並ぶ							
……水晶公についての資料、ですか？それならば、書物に頼らずとも、お伝えできますよ。			……水晶公についての資料、ですか？それならば、書物に頼らずとも、お伝えできますよ。			最果てに並ぶ							
「光の氾濫」から10年も経たないころ、突如としてレイクランドにクリスタルタワーが現れ、その召喚者たる水晶公の存在が、知られるようになりました。			「光の氾濫」から10年も経たないころ、突如としてレイクランドにクリスタルタワーが現れ、その召喚者たる水晶公の存在が、知られるようになりました。			最果てに並ぶ							
以降、住む場所を失くしたレイクランド連邦の人々や、フッブート王国の崩壊によって難民となった人々を受け入れ、クリスタリウムという街が成立、発展していきます……。			以降、住む場所を失くしたレイクランド連邦の人々や、フッブート王国の崩壊によって難民となった人々を受け入れ、クリスタリウムという街が成立、発展していきます……。			最果てに並ぶ							
そんな中で、頑なに名を明かさない彼を、「王」と呼ぼうとする者たちもいたそうです。しかし、彼は「自分はその器ではない」と否定した……。			そんな中で、頑なに名を明かさない彼を、「王」と呼ぼうとする者たちもいたそうです。しかし、彼は「自分はその器ではない」と否定した……。			最果てに並ぶ							
そこで、塔と彼の容姿にちなんで、人々は「水晶公」という呼び名をつけました。本名については……恐らく、誰も知らないままでしょう。			そこで、塔と彼の容姿にちなんで、人々は「水晶公」という呼び名をつけました。本名については……恐らく、誰も知らないままでしょう。			最果てに並ぶ							
公は、容姿もあまり晒そうとはしませんでした。ただ……その……耳はともかく、尻尾については、時折見えてしまっていましたが……。			公は、容姿もあまり晒そうとはしませんでした。ただ……その……耳はともかく、尻尾については、時折見えてしまっていましたが……。			最果てに並ぶ							
あなた……目を覚ましたんですか……！			あなた……目を覚ましたんですか……！			最果てに並ぶ							
ああ……よかったです、本当に……。これで、あとは公が戻ってきてくだされば……。			ああ……よかったです、本当に……。これで、あとは公が戻ってきてくだされば……。			最果てに並ぶ							
……水晶公は「あの男」に拐われたそうですね。その居場所についても、皆さんは、何かしら心当たりがあるようでした。			……水晶公は「あの男」に拐われたそうですね。その居場所についても、皆さんは、何かしら心当たりがあるようでした。			最果てに並ぶ							
しかし、今は少し待てと……。倒れたあなたを見れば、私ひとりが逸ったところで、事態を解決するには及ばないと理解はできました……。			しかし、今は少し待てと……。倒れたあなたを見れば、私ひとりが逸ったところで、事態を解決するには及ばないと理解はできました……。			最果てに並ぶ							
ですが、私は、どうしても……。			ですが、私は、どうしても……。			最果てに並ぶ							
……あなた方を追ってコルシア島に旅立つ直前、公は私に、ひとつの鍵を託していったのです。			……あなた方を追ってコルシア島に旅立つ直前、公は私に、ひとつの鍵を託していったのです。			最果てに並ぶ							
「星見の間」の奥にある、塔の心臓部……公以外が立ち入ることのできない「深慮の間」の鍵を……。			「星見の間」の奥にある、塔の心臓部……公以外が立ち入ることのできない「深慮の間」の鍵を……。			最果てに並ぶ							
曰く、これより塔の中には、何人たりとも入れるなと……。罪喰いが来てどうしようもない場合にだけ、「深慮の間」に行き、防壁を展開せよとのことでした。			曰く、これより塔の中には、何人たりとも入れるなと……。罪喰いが来てどうしようもない場合にだけ、「深慮の間」に行き、防壁を展開せよとのことでした。			最果てに並ぶ							
そんなことを言われるのは初めてで……でも、決戦前ではさもあろうと思い、私は鍵を受け取りました。			そんなことを言われるのは初めてで……でも、決戦前ではさもあろうと思い、私は鍵を受け取りました。			最果てに並ぶ							
しかし、Forename……今になって私は思うのです。			しかし、Forename……今になって私は思うのです。			最果てに並ぶ							
あのとき、公は何か……自分の身にただならぬことが起きると予感していて、私に鍵を託したのではないかと……。			あのとき、公は何か……自分の身にただならぬことが起きると予感していて、私に鍵を託したのではないかと……。			最果てに並ぶ							
教えてください、あの人はいったい……皆さんは、本当は何を……！			教えてください、あの人はいったい……皆さんは、本当は何を……！			最果てに並ぶ							
……すみません。公を信じているなら、こんな風に、本人のいないところで聞くべきではありませんね。			……すみません。公を信じているなら、こんな風に、本人のいないところで聞くべきではありませんね。			最果てに並ぶ							
それにしても、あなたはどうして、この場所へ……？			それにしても、あなたはどうして、この場所へ……？			最果てに並ぶ							
そうですか……あなたもまた、公にまつわる答えを探していると……。			そうですか……あなたもまた、公にまつわる答えを探していると……。			最果てに並ぶ							
でしたら、「深慮の間」へ行ってみるのはいかがでしょうか。ほかならぬ、あなたなら……その場所で得られる情報も、あるかもしれません。			でしたら、「深慮の間」へ行ってみるのはいかがでしょうか。ほかならぬ、あなたなら……その場所で得られる情報も、あるかもしれません。			最果てに並ぶ							
ペンダント居住館の管理人は、驚いているようだ。			ペンダント居住館の管理人は、驚いているようだ。			舞台上で最も哀れな役者							
ブラギと話す			ブラギと話す			舞台上で最も哀れな役者							
シェッサミールと話す			シェッサミールと話す			舞台上で最も哀れな役者							
モーレンと話す			モーレンと話す			舞台上で最も哀れな役者							
カットリスと話す			カットリスと話す			舞台上で最も哀れな役者							
ああ、Surnameさん……！よかった、目を覚まされたのですね……！			ああ、Surnameさん……！よかった、目を覚まされたのですね……！			舞台上で最も哀れな役者							
グルグ火山での作戦にて、負傷なさったのでしょう？運び込まれてきたときは、一切の生気を失っておられて……本当に、心配いたしました……。			グルグ火山での作戦にて、負傷なさったのでしょう？運び込まれてきたときは、一切の生気を失っておられて……本当に、心配いたしました……。			舞台上で最も哀れな役者							
……加えて、空もあのような状態です。何が起きているのかと、皆、不安に思っておりました……。			……加えて、空もあのような状態です。何が起きているのかと、皆、不安に思っておりました……。			舞台上で最も哀れな役者							
あなたがお目覚めになったことは、久々の朗報ですよ。もしお加減が悪くないのでしたら、案じていた住民たちに、顔を見せてやってはいただけませんか……？			あなたがお目覚めになったことは、久々の朗報ですよ。もしお加減が悪くないのでしたら、案じていた住民たちに、顔を見せてやってはいただけませんか……？			舞台上で最も哀れな役者							
あなたを運ぶのを手伝った「ブラギ」など、幾度もここを訪ねてきては、容態を知りたがっておりましたから……。			あなたを運ぶのを手伝った「ブラギ」など、幾度もここを訪ねてきては、容態を知りたがっておりましたから……。			舞台上で最も哀れな役者							
お前……目を覚ましたのか……！			お前……目を覚ましたのか……！			舞台上で最も哀れな役者							
そうか……本当によかった……。お前を搬送してきた仲間たちがボロボロだったから、見てられなくて、運ぶ手伝いを申し出たんだ……。			そうか……本当によかった……。お前を搬送してきた仲間たちがボロボロだったから、見てられなくて、運ぶ手伝いを申し出たんだ……。			舞台上で最も哀れな役者							
だが、お前の体はあまりに冷たく、ぐったりしていて……そのまま……最悪の結末になるんじゃないかと、不安だった。			だが、お前の体はあまりに冷たく、ぐったりしていて……そのまま……最悪の結末になるんじゃないかと、不安だった。			舞台上で最も哀れな役者							
聞けば、水晶公も、戦いの折に「怪しい男」に拐われたとか……。いったい、どうしてこんなことに……。			聞けば、水晶公も、戦いの折に「怪しい男」に拐われたとか……。いったい、どうしてこんなことに……。			舞台上で最も哀れな役者							
……いや、嘆いていても解決しない。こういうときこそ立ち上がるのが、クリスタリウムの民だ。			……いや、嘆いていても解決しない。こういうときこそ立ち上がるのが、クリスタリウムの民だ。			舞台上で最も哀れな役者							
幸い、ユールモアとの流通が復活している……。いつでも「この事態を引き起こしている元凶」と戦えるよう、街の準備を整えておこう……。			幸い、ユールモアとの流通が復活している……。いつでも「この事態を引き起こしている元凶」と戦えるよう、街の準備を整えておこう……。			舞台上で最も哀れな役者							
そういえば、スパジャイリクス医療館の「シェッサミール」も、お前のことを、ひどく案じていたぞ……。			そういえば、スパジャイリクス医療館の「シェッサミール」も、お前のことを、ひどく案じていたぞ……。			舞台上で最も哀れな役者							
お前が目覚めて、心から安心した……。だが、我らが公のことは……。			お前が目覚めて、心から安心した……。だが、我らが公のことは……。			舞台上で最も哀れな役者							
ああ……ああ……！もう歩けるようになったのねぇ……！			ああ……ああ……！もう歩けるようになったのねぇ……！			舞台上で最も哀れな役者							
貴方は面会謝絶で、医療館の者でも会ってはいけないと、固く言いつけられていたの……。			貴方は面会謝絶で、医療館の者でも会ってはいけないと、固く言いつけられていたの……。			舞台上で最も哀れな役者							
リーンちゃんたちからは、「罪喰い化に似た症状」だと聞いたわ……。だとしたら、確かに私たちでも手の施しようがないけれど……。			リーンちゃんたちからは、「罪喰い化に似た症状」だと聞いたわ……。だとしたら、確かに私たちでも手の施しようがないけれど……。			舞台上で最も哀れな役者							
みんなは、何か有効な手立てがないか探すと言って、各地を飛び回り続けているみたい……。見かけるたびに憔悴していて、とても心配よ……。			みんなは、何か有効な手立てがないか探すと言って、各地を飛び回り続けているみたい……。見かけるたびに憔悴していて、とても心配よ……。			舞台上で最も哀れな役者							
あなたが目覚めたって連絡はしておくから、会ったら、一緒にきちんと休んでちょうだいね……。			あなたが目覚めたって連絡はしておくから、会ったら、一緒にきちんと休んでちょうだいね……。			舞台上で最も哀れな役者							
……ああ、そうだわ。博物陳列館の「モーレン」も、ずっと根を詰めているの……。よければ、会っていってあげて……。			……ああ、そうだわ。博物陳列館の「モーレン」も、ずっと根を詰めているの……。よければ、会っていってあげて……。			舞台上で最も哀れな役者							
元気の出るお薬を差し上げたいところだけれど……影響がわからないうちは、危険だものねぇ……。			元気の出るお薬を差し上げたいところだけれど……影響がわからないうちは、危険だものねぇ……。			舞台上で最も哀れな役者							
悔しいことだけれど……いつだって、最後は祈るしかないの……。あなたが、みんなが、公が……どうか健やかでありますよう。			悔しいことだけれど……いつだって、最後は祈るしかないの……。あなたが、みんなが、公が……どうか健やかでありますよう。			舞台上で最も哀れな役者							
