クリスタリウムのハルドルは、冒険者のことを認めつつあるようだ。			クリスタリウムのハルドルは、冒険者のことを認めつつあるようだ。			ナッツクランのモブハント（中級）							
ふぅ……ふぅ……。私たちは、困っているヒトのもとを訪れて手助けをし、相応の対価をもらうことを名誉としています……。			ふぅ……ふぅ……。私たちは、困っているヒトのもとを訪れて手助けをし、相応の対価をもらうことを名誉としています……。			3つ目の宝を求めて							
しかし、フッブート王国が滅んでからは、そういった取引の機会に恵まれず……久々に頼みごとなどされますと……抗いがたい……。			しかし、フッブート王国が滅んでからは、そういった取引の機会に恵まれず……久々に頼みごとなどされますと……抗いがたい……。			3つ目の宝を求めて							
……わかりました。かくなる上は、できるだけ早急にお返事することを、お約束いたしましょう。			……わかりました。かくなる上は、できるだけ早急にお返事することを、お約束いたしましょう。			3つ目の宝を求めて							
代わりに、結論が出るまではここに留まり、皆の名誉になるような取引をしてやってほしいのです。			代わりに、結論が出るまではここに留まり、皆の名誉になるような取引をしてやってほしいのです。			3つ目の宝を求めて							
プラ・エンニ茸窟のウィド＝インクは、冒険者を奥へ促したいようだ。			プラ・エンニ茸窟のウィド＝インクは、冒険者を奥へ促したいようだ。			仕事には対価を							
マーン＝オセと話す			マーン＝オセと話す			仕事には対価を							
モスフングスからモスフングスの脚を入手			モスフングスからモスフングスの脚を入手			仕事には対価を							
マーン＝オセにモスフングスの脚を渡す			マーン＝オセにモスフングスの脚を渡す			仕事には対価を							
要求される対価が、簡単に渡せるものだといいが。			要求される対価が、簡単に渡せるものだといいが。			仕事には対価を							
ン・モゥ族に、手伝ってもらいたいこと……何か、あったかな……。			ン・モゥ族に、手伝ってもらいたいこと……何か、あったかな……。			仕事には対価を							
ン・モゥ族は、善き隣人のような妖精です。ただ、温厚そうな彼らにも、厳密な不文律が存在する……。			ン・モゥ族は、善き隣人のような妖精です。ただ、温厚そうな彼らにも、厳密な不文律が存在する……。			仕事には対価を							
取引の際には、要求されたのと、ぴったり同じだけの対価を払うよう、お気をつけください。			取引の際には、要求されたのと、ぴったり同じだけの対価を払うよう、お気をつけください。			仕事には対価を							
ではでは、あなたも是非、ン・モゥ族と取引をしていってくださいませ。			ではでは、あなたも是非、ン・モゥ族と取引をしていってくださいませ。			仕事には対価を							
そうですなぁ……修理屋の「マーン＝オセ」など、いかがでしょう？かつてはフッブートの騎士たちに重宝された、名職人でした。			そうですなぁ……修理屋の「マーン＝オセ」など、いかがでしょう？かつてはフッブートの騎士たちに重宝された、名職人でした。			仕事には対価を							
しかし今はその腕を、キノコのようにカビさせるばかり。ヒトと取引できるとあらば、きっと喜ぶでしょう。……では、私は「石の杖」の件を相談して参ります。			しかし今はその腕を、キノコのようにカビさせるばかり。ヒトと取引できるとあらば、きっと喜ぶでしょう。……では、私は「石の杖」の件を相談して参ります。			仕事には対価を							
葉っぱが、1182枚……1183枚……1184枚……。あれ……あそこはもう数えたっけ……。			葉っぱが、1182枚……1183枚……1184枚……。あれ……あそこはもう数えたっけ……。			仕事には対価を							
ひあああ！？えっ……あっ……え……ヒト！？			ひあああ！？えっ……あっ……え……ヒト！？			仕事には対価を							
うわあああい！　やったーーーー！！こんにちは、ヒトのヒト！武器や防具がくたびれてきて、困ってはいませんか！？			うわあああい！　やったーーーー！！こんにちは、ヒトのヒト！武器や防具がくたびれてきて、困ってはいませんか！？			仕事には対価を							
もしボクに、「モスフングスの脚」を2つくれたなら、あなたの装備を修理しますよ！			もしボクに、「モスフングスの脚」を2つくれたなら、あなたの装備を修理しますよ！			仕事には対価を							
「モスフングスの脚」は、この洞窟の外にいる「モスフングス」から切り落とせます。よければ、いえ、是非ッ！　取引をしましょう！			「モスフングスの脚」は、この洞窟の外にいる「モスフングス」から切り落とせます。よければ、いえ、是非ッ！　取引をしましょう！			仕事には対価を							
「モスフングスの脚」を2つくれたら、あなたの装備を修理しますよ！……えへへへ、これ、久々に言ったなぁ～！			「モスフングスの脚」を2つくれたら、あなたの装備を修理しますよ！……えへへへ、これ、久々に言ったなぁ～！			仕事には対価を							
いかがですか、ヒトのヒト！「モスフングスの脚」は手に入りましたか？			いかがですか、ヒトのヒト！「モスフングスの脚」は手に入りましたか？			仕事には対価を							
実はあれ、ボクの仕事道具なんです。あの脚でキュキュッとこすると、鉄でも革でもツヤが出せる。お仕事再開とあらば、補充しなくちゃなりませんからね！			実はあれ、ボクの仕事道具なんです。あの脚でキュキュッとこすると、鉄でも革でもツヤが出せる。お仕事再開とあらば、補充しなくちゃなりませんからね！			仕事には対価を							
いくつ渡す？			いくつ渡す？			仕事には対価を							
1つ			1つ			仕事には対価を							
2つ			2つ			仕事には対価を							
3つ			3つ			仕事には対価を							
え……2つお願いしたのに、1つきり……？			え……2つお願いしたのに、1つきり……？			仕事には対価を							
あ、あ、ああ、そんな、そんなッ！約束が違うッ！　約束が違うッ！			あ、あ、ああ、そんな、そんなッ！約束が違うッ！　約束が違うッ！			仕事には対価を							
さてはオマエ、ボクの仕事を安くみたな……！だったらそれと相応に、身に着けているもの全部、めちゃくちゃにしてやるぞ……！			さてはオマエ、ボクの仕事を安くみたな……！だったらそれと相応に、身に着けているもの全部、めちゃくちゃにしてやるぞ……！			仕事には対価を							
……って、なぁんだ、ちゃんと2つお持ちじゃないですか。も～、妖精をからかうなんて、よくないですよ！			……って、なぁんだ、ちゃんと2つお持ちじゃないですか。も～、妖精をからかうなんて、よくないですよ！			仕事には対価を							
キッチリぴったりの対価をいただいてこそ、名誉ある仕事です。もちろん、多すぎても駄目ですよ。それは、ボクの腕が見くびられているってことですから。			キッチリぴったりの対価をいただいてこそ、名誉ある仕事です。もちろん、多すぎても駄目ですよ。それは、ボクの腕が見くびられているってことですから。			仕事には対価を							
何はともあれ、結果的に約束は果たされました。これでボクは、あなたの小さな修理屋です。さっそく装備を点検させてもらいますね。			何はともあれ、結果的に約束は果たされました。これでボクは、あなたの小さな修理屋です。さっそく装備を点検させてもらいますね。			仕事には対価を							
わぁい、確かに2つ、頂戴いたしました！こうして働きに相応な期待をかけていただくことが、ボクたちにとって、いちばんの名誉なのです！			わぁい、確かに2つ、頂戴いたしました！こうして働きに相応な期待をかけていただくことが、ボクたちにとって、いちばんの名誉なのです！			仕事には対価を							
だから、いただくものはキッチリぴったりでないと。少なすぎれば仕事を安く見られているということですし、多すぎれば、腕を見くびられている証拠です。			だから、いただくものはキッチリぴったりでないと。少なすぎれば仕事を安く見られているということですし、多すぎれば、腕を見くびられている証拠です。			仕事には対価を							
ではでは、すばらしい取引に応じて、ボクはあなたの小さな修理屋となりましょう。さっそく装備を点検させてもらいますね。			ではでは、すばらしい取引に応じて、ボクはあなたの小さな修理屋となりましょう。さっそく装備を点検させてもらいますね。			仕事には対価を							
え……2つお願いしたのに、3つもやると……？			え……2つお願いしたのに、3つもやると……？			仕事には対価を							
あ、あ、ああ、そんな、そんなッ！約束が違うッ！　約束が違うッ！			あ、あ、ああ、そんな、そんなッ！約束が違うッ！　約束が違うッ！			仕事には対価を							
さてはオマエ、ボクの腕を見くびったな……！2つきりの対価では、やりきれないと踏んだんだろう！			さてはオマエ、ボクの腕を見くびったな……！2つきりの対価では、やりきれないと踏んだんだろう！			仕事には対価を							
心外だ、心外だ！信用して仕事を任せないなら、身に着けているもの全部、めちゃくちゃにしてやるぞ……！			心外だ、心外だ！信用して仕事を任せないなら、身に着けているもの全部、めちゃくちゃにしてやるぞ……！			仕事には対価を							
……って、なぁんだ、持ってるのは2つだけじゃないですか。も～、妖精をからかうなんて、よくないですよ！			……って、なぁんだ、持ってるのは2つだけじゃないですか。も～、妖精をからかうなんて、よくないですよ！			仕事には対価を							
キッチリぴったりの対価をいただいてこそ、名誉ある仕事。いただくものが多すぎても、もちろん少なすぎても、ボクらにとっては許しがたい事態です。			キッチリぴったりの対価をいただいてこそ、名誉ある仕事。いただくものが多すぎても、もちろん少なすぎても、ボクらにとっては許しがたい事態です。			仕事には対価を							
ともあれ今回は、結果的に約束が果たされました。これでボクは、あなたの小さな修理屋です。さっそく装備を点検させてもらいますね。			ともあれ今回は、結果的に約束が果たされました。これでボクは、あなたの小さな修理屋です。さっそく装備を点検させてもらいますね。			仕事には対価を							
ふむ……ふむ……なるほど……。状態は、よくわかりました。			ふむ……ふむ……なるほど……。状態は、よくわかりました。			仕事には対価を							
多少の材料費はかかりそうですが、どれも修理は可能です！ただ、もし近々装備を変える予定があるのでしたら、無理に今する必要もないでしょう。			多少の材料費はかかりそうですが、どれも修理は可能です！ただ、もし近々装備を変える予定があるのでしたら、無理に今する必要もないでしょう。			仕事には対価を							
1回分の材料費をお渡ししておくので、あなたが修理を望むとき、望む品に、お使いください！			1回分の材料費をお渡ししておくので、あなたが修理を望むとき、望む品に、お使いください！			仕事には対価を							
マーン＝オセの「修理屋」がオープンした！			マーン＝オセの「修理屋」がオープンした！			仕事には対価を							
あ、そうだ！よければ、次はあっちにいる「イス＝ギュフ」と、取引をしてみませんか？			あ、そうだ！よければ、次はあっちにいる「イス＝ギュフ」と、取引をしてみませんか？			仕事には対価を							
その装備の具合、あなたは歴戦の旅人さんなんでしょう？だったら、いい取引ができるはずです！			その装備の具合、あなたは歴戦の旅人さんなんでしょう？だったら、いい取引ができるはずです！			仕事には対価を							
プラ・エンニ茸窟のイス＝ギュフは、嬉しそうな様子だ。			プラ・エンニ茸窟のイス＝ギュフは、嬉しそうな様子だ。			だってここは茸窟							
フレイムスポアを除去			フレイムスポアを除去			だってここは茸窟							
イス＝ギュフと話す			イス＝ギュフと話す			だってここは茸窟							
フレイムスポアを除去			フレイムスポアを除去			だってここは茸窟							
視線の主を探す			視線の主を探す			だってここは茸窟							
イス＝ギュフと話す			イス＝ギュフと話す			だってここは茸窟							
あらまぁ！ウリエンジェさん以外のヒトが来てくれるなんて、いったいいつぶりかしら？			あらまぁ！ウリエンジェさん以外のヒトが来てくれるなんて、いったいいつぶりかしら？			だってここは茸窟							
久しぶりの旅人さん、よければお願いを聞いてくださらない？この洞窟の中に生えてしまった、危険なキノコ「フレイムスポア」を抜いてほしいの。			久しぶりの旅人さん、よければお願いを聞いてくださらない？この洞窟の中に生えてしまった、危険なキノコ「フレイムスポア」を抜いてほしいの。			だってここは茸窟							
私たちは大抵のことを魔法で片づけられるけど、あれは燃やすと毒の灰になってしまうから、手で抜かなくてはいけなくて……大変なの。			私たちは大抵のことを魔法で片づけられるけど、あれは燃やすと毒の灰になってしまうから、手で抜かなくてはいけなくて……大変なの。			だってここは茸窟							
もし引き受けてくださるのなら、それを対価として、私の集めた選りすぐりの品々を贈るわ。旅の役にも立つはずよ！			もし引き受けてくださるのなら、それを対価として、私の集めた選りすぐりの品々を贈るわ。旅の役にも立つはずよ！			だってここは茸窟							
この洞窟の中に生えている、「フレイムスポア」を抜いてきてほしいの。すみずみまで、しっかり探してみてね！			この洞窟の中に生えている、「フレイムスポア」を抜いてきてほしいの。すみずみまで、しっかり探してみてね！			だってここは茸窟							
あらまあ、「フレイムスポア」を抜いてきてくれたのね！なんて素早い仕事なのかしら！			あらまあ、「フレイムスポア」を抜いてきてくれたのね！なんて素早い仕事なのかしら！			だってここは茸窟							
……そういえば、西の入口の方も見てくださった？そこでも「フレイムスポア」を見かけたという話を聞いたから、まだ行ってないようなら、よろしくね。			……そういえば、西の入口の方も見てくださった？そこでも「フレイムスポア」を見かけたという話を聞いたから、まだ行ってないようなら、よろしくね。			だってここは茸窟							
西の入口の方にも、「フレイムスポア」が生えているらしいの。まったく、気がつくと増えていて困っちゃうわ！			西の入口の方にも、「フレイムスポア」が生えているらしいの。まったく、気がつくと増えていて困っちゃうわ！			だってここは茸窟							
フレイムスポアは除去できたが、妙な視線を感じる……。入口の方から、誰かがこちらを見ているようだ。			フレイムスポアは除去できたが、妙な視線を感じる……。入口の方から、誰かがこちらを見ているようだ。			だってここは茸窟							
…………！			…………！			だってここは茸窟							
あ……えっと……私、ちょうど自分の取引が終わったので、その……			あ……えっと……私、ちょうど自分の取引が終わったので、その……			だってここは茸窟							
…………い、いえ。ごめんなさい、報告をすませてきます……！			…………い、いえ。ごめんなさい、報告をすませてきます……！			だってここは茸窟							
どうかしら？入口の方も含めて、「フレイムスポア」は除去できた？			どうかしら？入口の方も含めて、「フレイムスポア」は除去できた？			だってここは茸窟							
それはよかった！しばらくは、毒の胞子に鼻がムズムズすることもなくなるわ！			それはよかった！しばらくは、毒の胞子に鼻がムズムズすることもなくなるわ！			だってここは茸窟							
……昔はね、こういう取引を、毎日のようにしていたの。私は野山で素材を集めてくるのが得意だったから、それを持って、お城まで取引に行ったりもしたわ。			……昔はね、こういう取引を、毎日のようにしていたの。私は野山で素材を集めてくるのが得意だったから、それを持って、お城まで取引に行ったりもしたわ。			だってここは茸窟							
あのお城、今は妖精語でリェー・ギア城と呼ばれてるけど、あれを建てたフッブート王家の時代には、翠光の城……グリュネスリヒト城って呼ばれていたのよ。			あのお城、今は妖精語でリェー・ギア城と呼ばれてるけど、あれを建てたフッブート王家の時代には、翠光の城……グリュネスリヒト城って呼ばれていたのよ。			だってここは茸窟							
王族や騎士たち、それに城下町の住民も、最後まで残ったヒトたちは、結局、罪喰いの餌食に……。			王族や騎士たち、それに城下町の住民も、最後まで残ったヒトたちは、結局、罪喰いの餌食に……。			だってここは茸窟							
さぁて、対価をいただいたからには、私もあなたに、相応の贈り物をさせてもらわないとね！			さぁて、対価をいただいたからには、私もあなたに、相応の贈り物をさせてもらわないとね！			だってここは茸窟							
それから、道具や素材を欲したときには、ぜひまた私のところに来て頂戴。お互いに良い取引をするとしましょう！			それから、道具や素材を欲したときには、ぜひまた私のところに来て頂戴。お互いに良い取引をするとしましょう！			だってここは茸窟							
イス＝ギュフの「よろず屋」がオープンした！			イス＝ギュフの「よろず屋」がオープンした！			だってここは茸窟							
そういえば、最近「ウィド＝ラド」の元気がないみたいなの。			そういえば、最近「ウィド＝ラド」の元気がないみたいなの。			だってここは茸窟							
あなた、もしよければ、彼と取引してあげて？名誉な仕事ができれば、きっと元気をとりもどすわ。			あなた、もしよければ、彼と取引してあげて？名誉な仕事ができれば、きっと元気をとりもどすわ。			だってここは茸窟							
プラ・エンニ茸窟のウィド＝ラドは、ぼんやりとしているようだ。			プラ・エンニ茸窟のウィド＝ラドは、ぼんやりとしているようだ。			アンチロウ							
ミンフィリアと話す			ミンフィリアと話す			アンチロウ							
インビジブルインクの小瓶を回収			インビジブルインクの小瓶を回収			アンチロウ							
ミンフィリアと話す			ミンフィリアと話す			アンチロウ							
ウィド＝ラドにインビジブルインクを渡す			ウィド＝ラドにインビジブルインクを渡す			アンチロウ							
ほぁ……！？あんた、自分と取引してくれるっすか……？			ほぁ……！？あんた、自分と取引してくれるっすか……？			アンチロウ							
といっても、自分は今、何もできないブタキノコ野郎っす……。得意の魔道具製作をしようにも、「インビジブルインク」を「アンチロウ」たちに奪われて……。			といっても、自分は今、何もできないブタキノコ野郎っす……。得意の魔道具製作をしようにも、「インビジブルインク」を「アンチロウ」たちに奪われて……。			アンチロウ							
ああ、えっと、「アンチロウ」っていうのは、自分たちと同じン・モゥ族でありながら、仕事嫌いな連中っす。			ああ、えっと、「アンチロウ」っていうのは、自分たちと同じン・モゥ族でありながら、仕事嫌いな連中っす。			アンチロウ							
名誉も何もなく、遊び惚けて、野盗まがいの生活をしてる……。自分も、散歩の帰りにカツアゲされたんすよ！			名誉も何もなく、遊び惚けて、野盗まがいの生活をしてる……。自分も、散歩の帰りにカツアゲされたんすよ！			アンチロウ							
……そうだ、もし腕に自信があるなら、奪われた「インビジブルインク」を、取り戻してくれないっすか！？			……そうだ、もし腕に自信があるなら、奪われた「インビジブルインク」を、取り戻してくれないっすか！？			アンチロウ							
それほどのことをしてくれたのなら、とっておきの魔道具を作ってあげるっす！！			それほどのことをしてくれたのなら、とっておきの魔道具を作ってあげるっす！！			アンチロウ							
あ、あの……Forenameさん……そのお仕事、私も一緒に行っていいでしょうか……？			あ、あの……Forenameさん……そのお仕事、私も一緒に行っていいでしょうか……？			アンチロウ							
お手伝いを……それに、そばで勉強させてもらいたくて……もしよければ、なのですが……。			お手伝いを……それに、そばで勉強させてもらいたくて……もしよければ、なのですが……。			アンチロウ							
何と言う？			何と言う？			アンチロウ							
もちろん！			もちろん！			アンチロウ							
迷惑はかけるな			迷惑はかけるな			アンチロウ							
……はいっ！			……はいっ！			アンチロウ							
はいっ、注意して臨みます……！			はいっ、注意して臨みます……！			アンチロウ							
奪われた「インビジブルインク」は、複数あるんす。南にあるアンチロウの根城「コラード菌床」から、ひとつでも多く奪還してほしいっす！			奪われた「インビジブルインク」は、複数あるんす。南にあるアンチロウの根城「コラード菌床」から、ひとつでも多く奪還してほしいっす！			アンチロウ							
アンチロウの根城は、南にある「コラード菌床」っす。あいつら、よそ者を見つけるとすぐに襲い掛かってくるから、気をつけるっす！			アンチロウの根城は、南にある「コラード菌床」っす。あいつら、よそ者を見つけるとすぐに襲い掛かってくるから、気をつけるっす！			アンチロウ							
この割れ目の先が「コラード菌床」みたいですね……。少し覗いてみましたが、アンチロウらしきン・モゥ族が、たくさんいました……。			この割れ目の先が「コラード菌床」みたいですね……。少し覗いてみましたが、アンチロウらしきン・モゥ族が、たくさんいました……。			アンチロウ							
でも、大丈夫……行けます！依頼の品を、手分けして探しましょう。			でも、大丈夫……行けます！依頼の品を、手分けして探しましょう。			アンチロウ							
目につく分を回収したら撤退して、少し離れたところで待機していますね。では……！			目につく分を回収したら撤退して、少し離れたところで待機していますね。では……！			アンチロウ							
皆との取引は終わりましたかな？			皆との取引は終わりましたかな？			アンチロウ							
あばばば……！許して、許してほしいっす……ティターニア様ぁ！			あばばば……！許して、許してほしいっす……ティターニア様ぁ！			アンチロウ							
あ、ああ、あんたっすか。「インビジブルインク」は取り戻せたっす？			あ、ああ、あんたっすか。「インビジブルインク」は取り戻せたっす？			アンチロウ							
わわっ！　これ、ほとんど全部そろってるっす！すごいすごい、感謝感激っす！			わわっ！　これ、ほとんど全部そろってるっす！すごいすごい、感謝感激っす！			アンチロウ							
久々にティターニア様の声が聞こえちゃって、ますます気落ちするとこだったけど、おかげで、ちょっと元気がわいてきたっすー！			久々にティターニア様の声が聞こえちゃって、ますます気落ちするとこだったけど、おかげで、ちょっと元気がわいてきたっすー！			アンチロウ							
……あれ？　もしかして、あんたも妖精王の声を聞いたんす？それは……お互い、不運だったっすね……。			……あれ？　もしかして、あんたも妖精王の声を聞いたんす？それは……お互い、不運だったっすね……。			アンチロウ							
普通、どんな生き物も、罪喰いになった時点で知性を失うっす。ティターニア様も例外じゃないんすが、本能だけが、半端に残っちゃったみたいなんす。			普通、どんな生き物も、罪喰いになった時点で知性を失うっす。ティターニア様も例外じゃないんすが、本能だけが、半端に残っちゃったみたいなんす。			アンチロウ							
それで、「遊びたい」とか「ここから出せ」とか……そういう強い執念が、封印の隙間から漏れ出して、ときどき誰かのもとに届いちゃうっす……。			それで、「遊びたい」とか「ここから出せ」とか……そういう強い執念が、封印の隙間から漏れ出して、ときどき誰かのもとに届いちゃうっす……。			アンチロウ							
本当はみんな、わかってるんすよ。あの声を、永遠に無視し続けることなんてできないって……。			本当はみんな、わかってるんすよ。あの声を、永遠に無視し続けることなんてできないって……。			アンチロウ							
っとっと、話がそれたっすね。あんたの素晴らしい仕事ぶりに、相応の働きをお返しするっす。サラサラサラリ、サッサカサ！　はい、持っていくっす！			っとっと、話がそれたっすね。あんたの素晴らしい仕事ぶりに、相応の働きをお返しするっす。サラサラサラリ、サッサカサ！　はい、持っていくっす！			アンチロウ							
プラ・エンニ茸窟のウィド＝ラドは、ご満悦のようだ。			プラ・エンニ茸窟のウィド＝ラドは、ご満悦のようだ。			長老の言うことには							
ウィド＝ラドから、長老が戻ってきたと聞いた。プラ・エンニ茸窟の「ウィド＝インク」と話そう。			ウィド＝ラドから、長老が戻ってきたと聞いた。プラ・エンニ茸窟の「ウィド＝インク」と話そう。			長老の言うことには							
ウィド＝インクから、石の杖を受け取った。イル・メグのヴォレクドルフにいる「大柄なアマロ」と話そう。			ウィド＝インクから、石の杖を受け取った。イル・メグのヴォレクドルフにいる「大柄なアマロ」と話そう。			長老の言うことには							
大柄なアマロことセトは、水晶の靴を渡すことを拒んだ。ヴォレクドルフの「リスパ」に、エモート「なでる」をしよう。			大柄なアマロことセトは、水晶の靴を渡すことを拒んだ。ヴォレクドルフの「リスパ」に、エモート「なでる」をしよう。			長老の言うことには							
リスパをなでた。ヴォレクドルフの「エオ＝アン」に、エモート「なでる」をしよう。			リスパをなでた。ヴォレクドルフの「エオ＝アン」に、エモート「なでる」をしよう。			長老の言うことには							
エオ＝アンをなでた。ヴォレクドルフの「ニンバス」に、エモート「なでる」をしよう。			エオ＝アンをなでた。ヴォレクドルフの「ニンバス」に、エモート「なでる」をしよう。			長老の言うことには							
ニンバスをなでた。ヴォレクドルフの「ウリエンジェ」と話そう。			ニンバスをなでた。ヴォレクドルフの「ウリエンジェ」と話そう。			長老の言うことには							
ウリエンジェと話した。ヴォレクドルフにいる先祖返りのアマロたちは、人に大変好意的なようだ。案じるが故に協力を拒む彼らに対して、どうしたら交渉ができるだろうか……			ウリエンジェと話した。ヴォレクドルフにいる先祖返りのアマロたちは、人に大変好意的なようだ。案じるが故に協力を拒む彼らに対して、どうしたら交渉ができるだろうか……			長老の言うことには							
ウィド＝インクと話す			ウィド＝インクと話す			長老の言うことには							
大柄のアマロと話す			大柄のアマロと話す			長老の言うことには							
リスパに「なでる」をする			リスパに「なでる」をする			長老の言うことには							
エオ＝アンに「なでる」をする			エオ＝アンに「なでる」をする			長老の言うことには							
ニンバスに「なでる」をする			ニンバスに「なでる」をする			長老の言うことには							
ウリエンジェと話す			ウリエンジェと話す			長老の言うことには							
皆との取引は終わりましたかな？			皆との取引は終わりましたかな？			長老の言うことには							
は～、いい取引をさせてもらったっす。やっぱり、名誉ある仕事はいいものっす。			は～、いい取引をさせてもらったっす。やっぱり、名誉ある仕事はいいものっす。			長老の言うことには							
……そういえば、さっき長老が戻ってきてたっすよ。あんたたちの評判を聞いて回ってたんで、何か話があるかもしれないっす！			……そういえば、さっき長老が戻ってきてたっすよ。あんたたちの評判を聞いて回ってたんで、何か話があるかもしれないっす！			長老の言うことには							
ウィド＝インク長老なら、奥の焚火のそばにいるはずっす！			ウィド＝インク長老なら、奥の焚火のそばにいるはずっす！			長老の言うことには							
おお、戻られましたか。皆から聞きましたよ、とてもよい取引をしていただいたとか。			おお、戻られましたか。皆から聞きましたよ、とてもよい取引をしていただいたとか。			長老の言うことには							
私の方も、「石の杖」についての結論を、それはもう大急ぎで出して参りました。ほかの皆様が取引から戻り次第、お話しいたしましょう。			私の方も、「石の杖」についての結論を、それはもう大急ぎで出して参りました。ほかの皆様が取引から戻り次第、お話しいたしましょう。			長老の言うことには							
まずは……皆様、数々の名誉ある取引をしてくださったそうで、本当にありがとうございました。			まずは……皆様、数々の名誉ある取引をしてくださったそうで、本当にありがとうございました。			長老の言うことには							
皆、久々に手腕を振るえて、それはもう、ほこほこと喜んでおりましたよ！			皆、久々に手腕を振るえて、それはもう、ほこほこと喜んでおりましたよ！			長老の言うことには							
それで、えー……「石の杖」についての結論なのですが……。			それで、えー……「石の杖」についての結論なのですが……。			長老の言うことには							
私たちに、根本的解決の手立てがないのは確か。ティターニア様を、永遠にあのままにしておけぬのも確か。加えて、皆様のお人柄を加味し……			私たちに、根本的解決の手立てがないのは確か。ティターニア様を、永遠にあのままにしておけぬのも確か。加えて、皆様のお人柄を加味し……			長老の言うことには							
皆様を信じて、お渡しする……という結論に至りました。			皆様を信じて、お渡しする……という結論に至りました。			長老の言うことには							
どうぞ、お持ちください。それがン・モゥ族の預かりし宝「石の杖」にございます。			どうぞ、お持ちください。それがン・モゥ族の預かりし宝「石の杖」にございます。			長老の言うことには							
これで、宝は3つ目……大罪喰い討伐まで、あと一息だな。			これで、宝は3つ目……大罪喰い討伐まで、あと一息だな。			長老の言うことには							
よいですか、「ティターニア」とは本来、いにしえより引き継がれし、ピクシー族の長の名です。自然の格別なる恩寵を受けた者が、それを継いできたのだとか。			よいですか、「ティターニア」とは本来、いにしえより引き継がれし、ピクシー族の長の名です。自然の格別なる恩寵を受けた者が、それを継いできたのだとか。			長老の言うことには							
それがイル・メグ成立の際に転じて、奔放にして混沌たる妖精たちに秩序をもたらす者……妖精王となった。			それがイル・メグ成立の際に転じて、奔放にして混沌たる妖精たちに秩序をもたらす者……妖精王となった。			長老の言うことには							
王のもとに集いし妖精たちは、その力を強固にするため、水に、樹に、風に……あらゆる自然と王とを結ぶ、祝福を授けました。			王のもとに集いし妖精たちは、その力を強固にするため、水に、樹に、風に……あらゆる自然と王とを結ぶ、祝福を授けました。			長老の言うことには							
罪喰いとなっても、その力は変わっておりませぬ。討とうとすれば、あらゆる自然の猛威が、あなた方を苛むでしょう。			罪喰いとなっても、その力は変わっておりませぬ。討とうとすれば、あらゆる自然の猛威が、あなた方を苛むでしょう。			長老の言うことには							
強敵、ですね……。			強敵、ですね……。			長老の言うことには							
ええ……。ですので、もし戦いの覚悟が決まらないということであれば、もっともっと、ここにいてくださってもいいのですよ？			ええ……。ですので、もし戦いの覚悟が決まらないということであれば、もっともっと、ここにいてくださってもいいのですよ？			長老の言うことには							
そうです……私自身はまだ、何の取引もしていませんし……あなた方が去ったら、次はいつヒトが来てくれるか……そんなの待てない……困ります……ハァ……ハァ……。			そうです……私自身はまだ、何の取引もしていませんし……あなた方が去ったら、次はいつヒトが来てくれるか……そんなの待てない……困ります……ハァ……ハァ……。			長老の言うことには							
ストーーーーーーーーーップ！			ストーーーーーーーーーップ！			長老の言うことには							
もーっ！黙って見てたら、誰も彼も！油断も隙もありゃしないのだわっ！			もーっ！黙って見てたら、誰も彼も！油断も隙もありゃしないのだわっ！			長老の言うことには							
これは、わ・た・し・の・若木なの！あなたたちのでも、フーア族のでもないわ！誘いこむのは全面禁止っ！			これは、わ・た・し・の・若木なの！あなたたちのでも、フーア族のでもないわ！誘いこむのは全面禁止っ！			長老の言うことには							
それでは、最後の宝「水晶の靴」をお借りしに、アマロの集落「ヴォレクドルフ」に向かうといたしましょう。			それでは、最後の宝「水晶の靴」をお借りしに、アマロの集落「ヴォレクドルフ」に向かうといたしましょう。			長老の言うことには							
クリスタリウムでもアマロをご覧になったかもしれませんが、あの集落にいるのは「先祖返り」と呼ばれる特別なアマロたち。人語を解する彼らとなら、交渉も可能かと……。			クリスタリウムでもアマロをご覧になったかもしれませんが、あの集落にいるのは「先祖返り」と呼ばれる特別なアマロたち。人語を解する彼らとなら、交渉も可能かと……。			長老の言うことには							
あなたが去るのは遺憾ですが……ヴォレクドルフをお訪ねになるのなら、まず、もっとも大きなアマロに声をかけるとよいでしょう。			あなたが去るのは遺憾ですが……ヴォレクドルフをお訪ねになるのなら、まず、もっとも大きなアマロに声をかけるとよいでしょう。			長老の言うことには							
それがアマロたちの代表にして、宝を有している者です。眠っているようでしたら、「セト」と名を呼べばいい。……皆様の健闘と無事を願っておりますよ。			それがアマロたちの代表にして、宝を有している者です。眠っているようでしたら、「セト」と名を呼べばいい。……皆様の健闘と無事を願っておりますよ。			長老の言うことには							
ヴォレクドルフをお訪ねになるのなら、もっとも大きなアマロ「セト」に声をかけるとよいでしょう。あるいは……ここに残ってくださっても、いいのですよ？			ヴォレクドルフをお訪ねになるのなら、もっとも大きなアマロ「セト」に声をかけるとよいでしょう。あるいは……ここに残ってくださっても、いいのですよ？			長老の言うことには							
グルル……いちばん大きなアマロを探してる？それなら、もう少し奥まで進んでみろよ！			グルル……いちばん大きなアマロを探してる？それなら、もう少し奥まで進んでみろよ！			長老の言うことには							
代表のアマロ……ああ、セトのことかな。彼だったら、そこの塀の向こうさ。			代表のアマロ……ああ、セトのことかな。彼だったら、そこの塀の向こうさ。			長老の言うことには							
