バルデシオン分館のクルルは、グ・ラハ・ティアと何か話していたようだ。			バルデシオン分館のクルルは、グ・ラハ・ティアと何か話していたようだ。			シャーレアン魔法大学							
私たちは、ガレマルドが崩壊したとの報を受け、エオルゼアや東方の諸国で募られた有志とともに、帝国民の救援に来たんだ。			私たちは、ガレマルドが崩壊したとの報を受け、エオルゼアや東方の諸国で募られた有志とともに、帝国民の救援に来たんだ。			エブラーナ氷原							
決して、君たちを傷つけるつもりはない。無理やりに連れていったりもしない。絶対にだ……！			決して、君たちを傷つけるつもりはない。無理やりに連れていったりもしない。絶対にだ……！			エブラーナ氷原							
救援って……あなたたち異民族が、何かの術で、帝都を破滅させたんじゃないんですか……！？			救援って……あなたたち異民族が、何かの術で、帝都を破滅させたんじゃないんですか……！？			エブラーナ氷原							
違うわ。私たちも、帝都でいったい何が起きたのかを、調査しているところよ。			違うわ。私たちも、帝都でいったい何が起きたのかを、調査しているところよ。			エブラーナ氷原							
……その裏にいるはずのテロフォロイって連中は、つい先日、世界に対して宣戦布告をした。私たちにとっても敵なの。			……その裏にいるはずのテロフォロイって連中は、つい先日、世界に対して宣戦布告をした。私たちにとっても敵なの。			エブラーナ氷原							
帝都に入る前、テロフォロイによって心を操られた帝国兵と衝突……彼らをどうにか保護することができた。			帝都に入る前、テロフォロイによって心を操られた帝国兵と衝突……彼らをどうにか保護することができた。			エブラーナ氷原							
そして今、はじめて会話のできる帝国の民と……君と会うことができたんだ。			そして今、はじめて会話のできる帝国の民と……君と会うことができたんだ。			エブラーナ氷原							
頼む、ここで何が起きたのかを教えてくれ。君はどうして無事なんだい？ほかに生存者は……！？			頼む、ここで何が起きたのかを教えてくれ。君はどうして無事なんだい？ほかに生存者は……！？			エブラーナ氷原							
(-リキニア-)……私は、リキニアです。どうして無事だったのかは、自分でもよくわかりません。			(-リキニア-)……私は、リキニアです。どうして無事だったのかは、自分でもよくわかりません。			エブラーナ氷原							
(-リキニア-)あの夜……帝都に終わりが訪れた、あの忌々しい夜のことは、すべてがはっきりとしない悪夢のようなんです。自分が悲鳴を上げたかどうかさえ……曖昧で……。			(-リキニア-)あの夜……帝都に終わりが訪れた、あの忌々しい夜のことは、すべてがはっきりとしない悪夢のようなんです。自分が悲鳴を上げたかどうかさえ……曖昧で……。			エブラーナ氷原							
(-リキニア-)気がつくと、帝都が静まりかえっていました。雪がうんと降っている夜だって、ああはならない……動くもののない、やっぱり悪夢みたいな……静寂……。			(-リキニア-)気がつくと、帝都が静まりかえっていました。雪がうんと降っている夜だって、ああはならない……動くもののない、やっぱり悪夢みたいな……静寂……。			エブラーナ氷原							
(-リキニア-)第I軍団と第III軍団の戦いが終わったのかしらと思いました。確かめようと外に出て……それで……			(-リキニア-)第I軍団と第III軍団の戦いが終わったのかしらと思いました。確かめようと外に出て……それで……			エブラーナ氷原							
(-リキニア-)…………語れません。あの恐怖を言葉になんて、到底できない。			(-リキニア-)…………語れません。あの恐怖を言葉になんて、到底できない。			エブラーナ氷原							
(-リキニア-)ただ生き延びたかった……。あちこちで空を仰いでいる亡骸の仲間には……心を失った「何か」にも……なりたくなかったの。			(-リキニア-)ただ生き延びたかった……。あちこちで空を仰いでいる亡骸の仲間には……心を失った「何か」にも……なりたくなかったの。			エブラーナ氷原							
(-リキニア-)戦い方なんて知りません。私の家に軍人はいなかったから……。だから、ひたすら逃げてきました。			(-リキニア-)戦い方なんて知りません。私の家に軍人はいなかったから……。だから、ひたすら逃げてきました。			エブラーナ氷原							
ここは、あなたの家なの……？			ここは、あなたの家なの……？			エブラーナ氷原							
(-リキニア-)もともとは「臣(おみ)の褒賞」という、功績を立てた退役軍人に贈られる別荘でした。今は私と……			(-リキニア-)もともとは「臣(おみ)の褒賞」という、功績を立てた退役軍人に贈られる別荘でした。今は私と……			エブラーナ氷原							
(-リキニア-)……すみません。爆弾が仕掛けてあるだなんて、嘘です。中には、同じように逃げ延びてきた仲間がいます。			(-リキニア-)……すみません。爆弾が仕掛けてあるだなんて、嘘です。中には、同じように逃げ延びてきた仲間がいます。			エブラーナ氷原							
(-リキニア-)みんな、苦しい生活で弱り切っているんです。どうか助けてはいただけないでしょうか。			(-リキニア-)みんな、苦しい生活で弱り切っているんです。どうか助けてはいただけないでしょうか。			エブラーナ氷原							
もちろんだとも！できるかぎりのことをさせてもらうよ。			もちろんだとも！できるかぎりのことをさせてもらうよ。			エブラーナ氷原							
(-リキニア-)……ありがとうございます。では、私が中に入って、仲間たちに事情を話してきます。申し訳ありませんが、少しだけそのままお待ちください。			(-リキニア-)……ありがとうございます。では、私が中に入って、仲間たちに事情を話してきます。申し訳ありませんが、少しだけそのままお待ちください。			エブラーナ氷原							
(-リキニア-)お待たせしました。ここに逃げてきているのは、これで全員です。			(-リキニア-)お待たせしました。ここに逃げてきているのは、これで全員です。			エブラーナ氷原							
話はリキニアから聞きました。遥々、我々を救援にきてくださったとのこと……感謝いたします……。			話はリキニアから聞きました。遥々、我々を救援にきてくださったとのこと……感謝いたします……。			エブラーナ氷原							
……失礼ですが、何か燃料をお持ちではないですか。青燐水の蓄えが少なく、ろくに暖房をつけられていません。			……失礼ですが、何か燃料をお持ちではないですか。青燐水の蓄えが少なく、ろくに暖房をつけられていません。			エブラーナ氷原							
お話をさせていただこうにも、口も頭も凍りついたかのようで……。			お話をさせていただこうにも、口も頭も凍りついたかのようで……。			エブラーナ氷原							
だったら、私が薪の代わりにできそうな枝を探してこよう。アリゼーは魔法で火を頼めるかい？			だったら、私が薪の代わりにできそうな枝を探してこよう。アリゼーは魔法で火を頼めるかい？			エブラーナ氷原							
すぐに焚火の支度をするわ。そこの東屋を使わせてもらっていい？			すぐに焚火の支度をするわ。そこの東屋を使わせてもらっていい？			エブラーナ氷原							
……ええ、もちろんです。お手数をおかけしますが、よろしくお願いします。			……ええ、もちろんです。お手数をおかけしますが、よろしくお願いします。			エブラーナ氷原							
(-リキニア-)………………。			(-リキニア-)………………。			エブラーナ氷原							
臣の褒賞のリキニアは、何か考え込んでいる様子だ。			臣の褒賞のリキニアは、何か考え込んでいる様子だ。			帰らん、地平の彼方へ							
アルフィノと話す			アルフィノと話す			帰らん、地平の彼方へ							
血色の悪い帝都市民に派遣団の防氷薬を渡す			血色の悪い帝都市民に派遣団の防氷薬を渡す			帰らん、地平の彼方へ							
痩せこけた帝都市民に派遣団の防氷薬を渡す			痩せこけた帝都市民に派遣団の防氷薬を渡す			帰らん、地平の彼方へ							
呆然とした帝都市民に派遣団の防氷薬を渡す			呆然とした帝都市民に派遣団の防氷薬を渡す			帰らん、地平の彼方へ							
リキニアに派遣団の防氷薬を渡す			リキニアに派遣団の防氷薬を渡す			帰らん、地平の彼方へ							
武装した属州民を探す			武装した属州民を探す			帰らん、地平の彼方へ							
タッパーズデンに向かう			タッパーズデンに向かう			帰らん、地平の彼方へ							
アリゼーと話す			アリゼーと話す			帰らん、地平の彼方へ							
軽い凍傷を起こしているね。すぐに手当てを……。			軽い凍傷を起こしているね。すぐに手当てを……。			帰らん、地平の彼方へ							
何か食べさせてあげたいけど……それには、キャンプまで戻らないといけないわね。			何か食べさせてあげたいけど……それには、キャンプまで戻らないといけないわね。			帰らん、地平の彼方へ							
ああ……あたたかい…………。			ああ……あたたかい…………。			帰らん、地平の彼方へ							
な、何もしてない……何もしてないぞ、俺は……。			な、何もしてない……何もしてないぞ、俺は……。			帰らん、地平の彼方へ							
………………。			………………。			帰らん、地平の彼方へ							
あ……ああ、すみません。助けが来て安心したのか、ぼうっとしちゃって。			あ……ああ、すみません。助けが来て安心したのか、ぼうっとしちゃって。			帰らん、地平の彼方へ							
私はさっき走りましたし、焚火にあたらなくても大丈夫です。その分、彼らを火のそばに置いてあげてください。			私はさっき走りましたし、焚火にあたらなくても大丈夫です。その分、彼らを火のそばに置いてあげてください。			帰らん、地平の彼方へ							
彼らは本当に弱っていて……。少し元気を取り戻さないと、雪道を歩くのも難しいでしょう。あなたも向こうで、労ってやってはもらえませんか？			彼らは本当に弱っていて……。少し元気を取り戻さないと、雪道を歩くのも難しいでしょう。あなたも向こうで、労ってやってはもらえませんか？			帰らん、地平の彼方へ							
こんなことになるまで、私は学生でしたし、彼らは役人をしていたそうです。同じ帝都に住んでいたけれど、ちっとも知らない仲……。			こんなことになるまで、私は学生でしたし、彼らは役人をしていたそうです。同じ帝都に住んでいたけれど、ちっとも知らない仲……。			帰らん、地平の彼方へ							
けれど、瓦礫の中で出会い、協力してここまで生き延びてきました。それこそがガレアン人、私たちの性分なのです。			けれど、瓦礫の中で出会い、協力してここまで生き延びてきました。それこそがガレアン人、私たちの性分なのです。			帰らん、地平の彼方へ							
君も手当てを手伝ってくれるのかい？では、エマネラン殿からもらった防氷薬を、全員に配ってもらえるだろうか。			君も手当てを手伝ってくれるのかい？では、エマネラン殿からもらった防氷薬を、全員に配ってもらえるだろうか。			帰らん、地平の彼方へ							
逃げる際にできた傷や凍傷は、治癒魔法で癒せる……けれど、寒さを和らげてあげることはできないからね。			逃げる際にできた傷や凍傷は、治癒魔法で癒せる……けれど、寒さを和らげてあげることはできないからね。			帰らん、地平の彼方へ							
あの土壇場で、相手が寒いといけないと思えること……それがエマネラン殿の慕われる理由なのだろうね。			あの土壇場で、相手が寒いといけないと思えること……それがエマネラン殿の慕われる理由なのだろうね。			帰らん、地平の彼方へ							
「雪の家」で出された、あたたかい飲み物にも、そんな気遣いがあったように思う。……敵う気がしないな、フォルタン家の人々には。			「雪の家」で出された、あたたかい飲み物にも、そんな気遣いがあったように思う。……敵う気がしないな、フォルタン家の人々には。			帰らん、地平の彼方へ							
おかげさまで……少しずつ、あたたまってきた気がします。こうも芯から冷えてしまうと、すぐにとはいきませんが……。			おかげさまで……少しずつ、あたたまってきた気がします。こうも芯から冷えてしまうと、すぐにとはいきませんが……。			帰らん、地平の彼方へ							
氷属性の力を防ぐ……つまり寒さを和らげる薬ですか。ありがたく頂戴しておきます……。			氷属性の力を防ぐ……つまり寒さを和らげる薬ですか。ありがたく頂戴しておきます……。			帰らん、地平の彼方へ							
ガレマルドは今や、都市ではありません。氷原に置き去られた廃墟です。			ガレマルドは今や、都市ではありません。氷原に置き去られた廃墟です。			帰らん、地平の彼方へ							
この場所のように、辛うじて形を留めている建物があっても、風雪を凌げるというだけ……。食料も、水も、もたらしてくれる仕組みは途絶えたままです。			この場所のように、辛うじて形を留めている建物があっても、風雪を凌げるというだけ……。食料も、水も、もたらしてくれる仕組みは途絶えたままです。			帰らん、地平の彼方へ							
私たちは青燐機関を扱えますが、大セルレア湖の湖底から青燐水を汲み上げることはできない。精製の方法も、知りはしないのです……。			私たちは青燐機関を扱えますが、大セルレア湖の湖底から青燐水を汲み上げることはできない。精製の方法も、知りはしないのです……。			帰らん、地平の彼方へ							
私たちガレアン人は、この厳しい土地を、わずかな人数で生き抜いてきたのです……。			私たちガレアン人は、この厳しい土地を、わずかな人数で生き抜いてきたのです……。			帰らん、地平の彼方へ							
そのためには、規則が必要でした。仕事の振り分けや、付随する階級制度……それらは血族への愛によって生まれ、営まれてきたのです。			そのためには、規則が必要でした。仕事の振り分けや、付随する階級制度……それらは血族への愛によって生まれ、営まれてきたのです。			帰らん、地平の彼方へ							
な、何か用か……！俺は問題ない……何も……大丈夫だ……！			な、何か用か……！俺は問題ない……何も……大丈夫だ……！			帰らん、地平の彼方へ							
く、薬……？何が入ってるんだ、気味の悪い……。さては俺たちを殺すための毒薬じゃ……			く、薬……？何が入ってるんだ、気味の悪い……。さては俺たちを殺すための毒薬じゃ……			帰らん、地平の彼方へ							
あっ、ああ、うん、何でもない、何でもないんだ！どうもタチの悪い冗談が飛び出しちまう……癖なんだ……ここのところ最悪な事態ばっかりだったからかな……。			あっ、ああ、うん、何でもない、何でもないんだ！どうもタチの悪い冗談が飛び出しちまう……癖なんだ……ここのところ最悪な事態ばっかりだったからかな……。			帰らん、地平の彼方へ							
帝都のこの惨状は、内戦によるものじゃない。あれも……今思えば愚かな……悲劇だったが、本当に恐ろしかったのは、そのあとに起きたことだ。			帝都のこの惨状は、内戦によるものじゃない。あれも……今思えば愚かな……悲劇だったが、本当に恐ろしかったのは、そのあとに起きたことだ。			帰らん、地平の彼方へ							
内戦の最中のある夜、大きな音がした。地鳴りのような、何かとてつもなく巨大な猛獣が、グオオと唸りを上げたかのような音だ。			内戦の最中のある夜、大きな音がした。地鳴りのような、何かとてつもなく巨大な猛獣が、グオオと唸りを上げたかのような音だ。			帰らん、地平の彼方へ							
続けて、衝撃……大爆発が起きたのかと思った……。それで帝都は破壊され、同胞たちは……何か、声の届かないものになっちまったんだ。			続けて、衝撃……大爆発が起きたのかと思った……。それで帝都は破壊され、同胞たちは……何か、声の届かないものになっちまったんだ。			帰らん、地平の彼方へ							
奴らは建物の瓦礫を集めると、魔導城の方に運びはじめた。意識がはっきりしてる生き残りが、それを止めようとしたら……応答のひとつもなしに、瓦礫で滅多打ちときた。			奴らは建物の瓦礫を集めると、魔導城の方に運びはじめた。意識がはっきりしてる生き残りが、それを止めようとしたら……応答のひとつもなしに、瓦礫で滅多打ちときた。			帰らん、地平の彼方へ							
それが今のガレマルド……俺たちの暮らした都だ……。			それが今のガレマルド……俺たちの暮らした都だ……。			帰らん、地平の彼方へ							
いけない、しゃべりすぎたな……うん、しゃべりすぎた……。もう黙るよ、余計に腹が減るといけない……。			いけない、しゃべりすぎたな……うん、しゃべりすぎた……。もう黙るよ、余計に腹が減るといけない……。			帰らん、地平の彼方へ							
…………はい、何でございましょう。			…………はい、何でございましょう。			帰らん、地平の彼方へ							
ああ、薬……。お心遣いに、感謝いたします……。			ああ、薬……。お心遣いに、感謝いたします……。			帰らん、地平の彼方へ							
……珍しいですか？無線電信、いわゆる「ラジオ」という装置ですよ。離れたところで発された声や音を拾い、こうして流せるんです。			……珍しいですか？無線電信、いわゆる「ラジオ」という装置ですよ。離れたところで発された声や音を拾い、こうして流せるんです。			帰らん、地平の彼方へ							
ラジオにはいろいろな形がありますが、ロクス・アモエヌスで採れる鉱石を回路の一部に用いたこれは、大変な人気があり、帝都で広く普及しています。			ラジオにはいろいろな形がありますが、ロクス・アモエヌスで採れる鉱石を回路の一部に用いたこれは、大変な人気があり、帝都で広く普及しています。			帰らん、地平の彼方へ							
もっとも……放送局員ももう、逃げ出したか、やられてしまったのでしょうね。流れてくるのはこの曲だけ……ただ繰り返されている……。			もっとも……放送局員ももう、逃げ出したか、やられてしまったのでしょうね。流れてくるのはこの曲だけ……ただ繰り返されている……。			帰らん、地平の彼方へ							
『帰らん、地平の彼方へ』……。北の地で生きる悲哀と、豊かなるロクス・アモエヌスへの憧れ。そこを奪還しに向かう兵士たちの決意を歌った名曲です。			『帰らん、地平の彼方へ』……。北の地で生きる悲哀と、豊かなるロクス・アモエヌスへの憧れ。そこを奪還しに向かう兵士たちの決意を歌った名曲です。			帰らん、地平の彼方へ							
奪還の前は、願いを込めて。それが成し遂げられたあとは、勝利のしるしとして……人々は幾度となく、これを口ずさんできました。			奪還の前は、願いを込めて。それが成し遂げられたあとは、勝利のしるしとして……人々は幾度となく、これを口ずさんできました。			帰らん、地平の彼方へ							
今も、これを聞いていると励まされます。目の前の現実が苦難に満ちていても、いつかは必ず、打ち勝てるのだと……。			今も、これを聞いていると励まされます。目の前の現実が苦難に満ちていても、いつかは必ず、打ち勝てるのだと……。			帰らん、地平の彼方へ							
事実、ヴァリス陛下は、まだ屈してはおられない。時折ラジオを通じて、私たちに呼びかけてくださるのです。			事実、ヴァリス陛下は、まだ屈してはおられない。時折ラジオを通じて、私たちに呼びかけてくださるのです。			帰らん、地平の彼方へ							
いっときは訃報が流布しましたが、陛下はこのような国難の到来を察知して、あえて公の場から退かれたに違いありません。			いっときは訃報が流布しましたが、陛下はこのような国難の到来を察知して、あえて公の場から退かれたに違いありません。			帰らん、地平の彼方へ							
ええ、ええ……ヴァリス陛下はご健在ですとも……。			ええ、ええ……ヴァリス陛下はご健在ですとも……。			帰らん、地平の彼方へ							
ああ……はやく陛下にお会いしたいものです……。この苦境から、ガレアンを救い出してくださるはず……。			ああ……はやく陛下にお会いしたいものです……。この苦境から、ガレアンを救い出してくださるはず……。			帰らん、地平の彼方へ							
えっ、薬ですか？　私にも……？			えっ、薬ですか？　私にも……？			帰らん、地平の彼方へ							
……ありがとうございます。よそには、こんなものがあるんですね。			……ありがとうございます。よそには、こんなものがあるんですね。			帰らん、地平の彼方へ							
あの、いくつか質問をしてもいいですか？状況を、ちゃんと知っておきたくて……。			あの、いくつか質問をしてもいいですか？状況を、ちゃんと知っておきたくて……。			帰らん、地平の彼方へ							
では……。あなたたちは、ラテルム村に拠点を構えているんですか？拠点はそれひとつですか？			では……。あなたたちは、ラテルム村に拠点を構えているんですか？拠点はそれひとつですか？			帰らん、地平の彼方へ							
数日前に、ウェルギリア様が率いる一団が、マグナ・グラキエス方面に出ていくのを見ました。あなたたちが交戦したというのは、彼女たちのことですか？			数日前に、ウェルギリア様が率いる一団が、マグナ・グラキエス方面に出ていくのを見ました。あなたたちが交戦したというのは、彼女たちのことですか？			帰らん、地平の彼方へ							
そうですか……。拠点はひとつ、キャンプ・ブロークングラスと呼ばれている。操られた兵士たちはみんな、保護された……。			そうですか……。拠点はひとつ、キャンプ・ブロークングラスと呼ばれている。操られた兵士たちはみんな、保護された……。			帰らん、地平の彼方へ							
ちなみに、マグナ・グラキエスまでは何でお越しに？徒歩で中央山脈を……？			ちなみに、マグナ・グラキエスまでは何でお越しに？徒歩で中央山脈を……？			帰らん、地平の彼方へ							
飛空艇ですか……。それは……私じゃ…………。			飛空艇ですか……。それは……私じゃ…………。			帰らん、地平の彼方へ							
(-微かな声-)お姉ちゃん……？みんな、どこにいるの……？			(-微かな声-)お姉ちゃん……？みんな、どこにいるの……？			帰らん、地平の彼方へ							
…………どうかしましたか？			…………どうかしましたか？			帰らん、地平の彼方へ							
中から声がした……？いえ、私には聞こえませんでした。全員こうして庭に出ていますし、ありえないことです。			中から声がした……？いえ、私には聞こえませんでした。全員こうして庭に出ていますし、ありえないことです。			帰らん、地平の彼方へ							
ああ、もしかしたらアルマスティの幼獣が入り込んだのかも。前にも一度あったんですよ。			ああ、もしかしたらアルマスティの幼獣が入り込んだのかも。前にも一度あったんですよ。			帰らん、地平の彼方へ							
巡回してくれる兵もいなくなってしまって、このあたりは獣がのさばり放題……いつ襲われるとも知れず、恐ろしいことです。			巡回してくれる兵もいなくなってしまって、このあたりは獣がのさばり放題……いつ襲われるとも知れず、恐ろしいことです。			帰らん、地平の彼方へ							
そうだ、あなたたちは軍団長と渡り合えるほど強いんですよね？だとしたら、ひとつお願いを聞いていただけないでしょうか。			そうだ、あなたたちは軍団長と渡り合えるほど強いんですよね？だとしたら、ひとつお願いを聞いていただけないでしょうか。			帰らん、地平の彼方へ							
実は、ここから南西に行った、大セルレア湖のほとりに、青燐水の採水と精製に携わっていた人たちが暮らしてるんです。			実は、ここから南西に行った、大セルレア湖のほとりに、青燐水の採水と精製に携わっていた人たちが暮らしてるんです。			帰らん、地平の彼方へ							
彼らは、属州から働きにきた労働者たち。私たちが青燐水をわけてほしいと頼むと、たくさんの食料を要求してくるんです。			彼らは、属州から働きにきた労働者たち。私たちが青燐水をわけてほしいと頼むと、たくさんの食料を要求してくるんです。			帰らん、地平の彼方へ							
おまけに、凍った湖上には獰猛な獣が徘徊していて、私たちでは往復するのも命懸け……。			おまけに、凍った湖上には獰猛な獣が徘徊していて、私たちでは往復するのも命懸け……。			帰らん、地平の彼方へ							
どうか、行って彼らに事情を伝え、あなたたちのキャンプに保護してもらうまでの間に使う分だけ、青燐水をわけてもらえないか交渉してみてください……！			どうか、行って彼らに事情を伝え、あなたたちのキャンプに保護してもらうまでの間に使う分だけ、青燐水をわけてもらえないか交渉してみてください……！			帰らん、地平の彼方へ							
何と言う？			何と言う？			帰らん、地平の彼方へ							
わかった、任せて！			わかった、任せて！			帰らん、地平の彼方へ							
それは構わないが……			それは構わないが……			帰らん、地平の彼方へ							
よかった……。ありがとうございます、本当に……！			よかった……。ありがとうございます、本当に……！			帰らん、地平の彼方へ							
建物の中にアルマスティの幼獣がいないかは、私がしっかり確認しておきます。帰っていらっしゃったときに、結果を報告しますね。			建物の中にアルマスティの幼獣がいないかは、私がしっかり確認しておきます。帰っていらっしゃったときに、結果を報告しますね。			帰らん、地平の彼方へ							
向かっていただく彼らの隠れ家は、「タッパーズデン」とも呼ばれる湖畔の洞窟です。			向かっていただく彼らの隠れ家は、「タッパーズデン」とも呼ばれる湖畔の洞窟です。			帰らん、地平の彼方へ							
入口には、必ず見張り役が立っているはずなので、まずはその人たちに声をかけてみてください。			入口には、必ず見張り役が立っているはずなので、まずはその人たちに声をかけてみてください。			帰らん、地平の彼方へ							
「タッパーズデン」はここから南西、大セルレア湖のほとりにあります。あなたになら、彼らも青燐水を譲ってくれるかも……。			「タッパーズデン」はここから南西、大セルレア湖のほとりにあります。あなたになら、彼らも青燐水を譲ってくれるかも……。			帰らん、地平の彼方へ							
止まりな！テメェ、どうやって俺たちのことを嗅ぎつけてきた。			止まりな！テメェ、どうやって俺たちのことを嗅ぎつけてきた。			帰らん、地平の彼方へ							
……「臣の褒賞」から？っつーと、あの鼻持ちならないガレアン人たちの手先か。			……「臣の褒賞」から？っつーと、あの鼻持ちならないガレアン人たちの手先か。			帰らん、地平の彼方へ							
あいつらめ、自分たちは青燐水わけてもらう側だってのに、態度が横柄すぎるんだよ。属州民には、何の対価も支払う必要がないと思ってやがる。			あいつらめ、自分たちは青燐水わけてもらう側だってのに、態度が横柄すぎるんだよ。属州民には、何の対価も支払う必要がないと思ってやがる。			帰らん、地平の彼方へ							
んで自分たちが相手にされなくなったら、今度は手先を寄越してくるってか。癪に障るぜ、悪いが追い返させてもらう！			んで自分たちが相手にされなくなったら、今度は手先を寄越してくるってか。癪に障るぜ、悪いが追い返させてもらう！			帰らん、地平の彼方へ							
なんて強さだ…引っ込むぞ！			なんて強さだ…引っ込むぞ！			帰らん、地平の彼方へ							
目が回るぅ…			目が回るぅ…			帰らん、地平の彼方へ							
(-？？？？-)あっ、いた、Forename！			(-？？？？-)あっ、いた、Forename！			帰らん、地平の彼方へ							
リキニアから、あなたを追いかけてほしいって言われたのよ。青燐水のタンクは重いし、それを持ってるときに獣に襲われたら危ない……って。			リキニアから、あなたを追いかけてほしいって言われたのよ。青燐水のタンクは重いし、それを持ってるときに獣に襲われたら危ない……って。			帰らん、地平の彼方へ							
ここが、タッパーズデンね。とりあえず、入ってみましょうか。			ここが、タッパーズデンね。とりあえず、入ってみましょうか。			帰らん、地平の彼方へ							
……ん？なんだアンタらは、見張りはどうした？			……ん？なんだアンタらは、見張りはどうした？			帰らん、地平の彼方へ							
な、なんだって！よその国から、ガレマルドでの救援活動に……！？			な、なんだって！よその国から、ガレマルドでの救援活動に……！？			帰らん、地平の彼方へ							
なんてこった……こいつは奇跡か……？俺たちはてっきり、ここで野垂れ死ぬしかないのかと……！			なんてこった……こいつは奇跡か……？俺たちはてっきり、ここで野垂れ死ぬしかないのかと……！			帰らん、地平の彼方へ							
間に合ってよかった。あなたたちは、別の地域から来た人たちなのよね……？			間に合ってよかった。あなたたちは、別の地域から来た人たちなのよね……？			帰らん、地平の彼方へ							
ああ、ギラバニアにヤンサにボズヤ、ダルマスカ……出身はいろいろだが、青燐水を供給する作業の担い手として、属州から集められたんだ。			ああ、ギラバニアにヤンサにボズヤ、ダルマスカ……出身はいろいろだが、青燐水を供給する作業の担い手として、属州から集められたんだ。			帰らん、地平の彼方へ							
この国流に言うなら「アン」……非市民階級の労働者ってわけだ。			この国流に言うなら「アン」……非市民階級の労働者ってわけだ。			帰らん、地平の彼方へ							
どういうわけか、あの騒動の中でも無事でいられてな。汲み上げた青燐水を燃やして暖を取りながら、細々と生き延びてきたのさ。			どういうわけか、あの騒動の中でも無事でいられてな。汲み上げた青燐水を燃やして暖を取りながら、細々と生き延びてきたのさ。			帰らん、地平の彼方へ							
青燐水って、この洞窟の前にある湖の底から湧いてるのよね？完全に凍りついてるように見えたけど、汲み取る方法があるのね。			青燐水って、この洞窟の前にある湖の底から湧いてるのよね？完全に凍りついてるように見えたけど、汲み取る方法があるのね。			帰らん、地平の彼方へ							
ま、そこらは、俺たちのみぞ知る秘密ってやつだ！			ま、そこらは、俺たちのみぞ知る秘密ってやつだ！			帰らん、地平の彼方へ							
……とはいえ、大型の施設を動かしてるわけでもなし、手に入れられる量は微々たるもんさ。加えて、青燐水じゃ、腹は壊せても膨れねぇ。			……とはいえ、大型の施設を動かしてるわけでもなし、手に入れられる量は微々たるもんさ。加えて、青燐水じゃ、腹は壊せても膨れねぇ。			帰らん、地平の彼方へ							
ってことで、おふたりさん。そのイルサバード派遣団とやらに、俺たちとも物資の取引をしないかって、頼んじゃくれないか？			ってことで、おふたりさん。そのイルサバード派遣団とやらに、俺たちとも物資の取引をしないかって、頼んじゃくれないか？			帰らん、地平の彼方へ							
それは構わないけど……故郷へ送るとかじゃなくて、物資の取引でいいの？			それは構わないけど……故郷へ送るとかじゃなくて、物資の取引でいいの？			帰らん、地平の彼方へ							
いよいよ立ち行かなくなったら、それも考えるさ。			いよいよ立ち行かなくなったら、それも考えるさ。			帰らん、地平の彼方へ							
だが、いかんせん俺たちは、ここで長く働きすぎた。故郷を恋しく思いはするが、待っててくれる奴はいないし、この仕事で得た知識は、ほかの土地じゃあ使えない……。			だが、いかんせん俺たちは、ここで長く働きすぎた。故郷を恋しく思いはするが、待っててくれる奴はいないし、この仕事で得た知識は、ほかの土地じゃあ使えない……。			帰らん、地平の彼方へ							
だから、居座れるだけは居座るさ。これから帝国が再建するにせよ、なくなるにせよ……青燐水が湧くかぎり、技術は買ってもらえそうだからな。			だから、居座れるだけは居座るさ。これから帝国が再建するにせよ、なくなるにせよ……青燐水が湧くかぎり、技術は買ってもらえそうだからな。			帰らん、地平の彼方へ							
帝国が、なくなる……。そっか……そういう可能性だって、もちろんあるのよね……。			帝国が、なくなる……。そっか……そういう可能性だって、もちろんあるのよね……。			帰らん、地平の彼方へ							
お前を襲った見張りたちのこと、悪く思わないでやってくれ。青燐水を必要としてる生き残り連中から、何度もなじられたり、脅されたりしてきたんだよ。			お前を襲った見張りたちのこと、悪く思わないでやってくれ。青燐水を必要としてる生き残り連中から、何度もなじられたり、脅されたりしてきたんだよ。			帰らん、地平の彼方へ							
事情は、あとで俺から説明しておく。派遣団との最初の取引は、傷薬になるかもしれないな。			事情は、あとで俺から説明しておく。派遣団との最初の取引は、傷薬になるかもしれないな。			帰らん、地平の彼方へ							
ああ……ごめんなさい。帝都がこんな状況だと、派遣団がどれほど手を貸しても、ガレマール帝国がもとの形に戻ることはない……。			ああ……ごめんなさい。帝都がこんな状況だと、派遣団がどれほど手を貸しても、ガレマール帝国がもとの形に戻ることはない……。			帰らん、地平の彼方へ							
当たり前の話よね。属州の動向によっては、国の消滅だってあり得るって、多分、私もわかってた……。			当たり前の話よね。属州の動向によっては、国の消滅だってあり得るって、多分、私もわかってた……。			帰らん、地平の彼方へ							
けど……なんでしょうね……自分が今いる場所の名前が、地図から消えるかもってこと、理解しきれてなかった気がする……。			けど……なんでしょうね……自分が今いる場所の名前が、地図から消えるかもってこと、理解しきれてなかった気がする……。			帰らん、地平の彼方へ							
……って、今はとにかく、リキニアたちに青燐水を持っていってあげるのが先ね。改めて、ここの人たちに相談してみましょ！			……って、今はとにかく、リキニアたちに青燐水を持っていってあげるのが先ね。改めて、ここの人たちに相談してみましょ！			帰らん、地平の彼方へ							
タッパーズデンのヤレックは、話を聞いてくれそうな様子だ。			タッパーズデンのヤレックは、話を聞いてくれそうな様子だ。			高潔なガレアン							
アリゼーと話す			アリゼーと話す			高潔なガレアン							
アルフィノを探す			アルフィノを探す			高潔なガレアン							
