あんたが持っているソレは……。もしかして、ミリスの「探検手帳」じゃないか？			あんたが持っているソレは……。もしかして、ミリスの「探検手帳」じゃないか？			蒼天の探検手帳							
この辺りに向かったと聞き、調査をしていたところ、アマルジャ族の彼が、襲われているのを見かけたんだ……。もっとも、犯人は逃してしまったけどね。			この辺りに向かったと聞き、調査をしていたところ、アマルジャ族の彼が、襲われているのを見かけたんだ……。もっとも、犯人は逃してしまったけどね。			破壊を憎む者							
君は、僕の探している男とは無関係のようだが……。禁忌である「黒魔法」を使う者を見逃すわけにはいかない。何も知らないとは言わせないよ……！			君は、僕の探している男とは無関係のようだが……。禁忌である「黒魔法」を使う者を見逃すわけにはいかない。何も知らないとは言わせないよ……！			破壊を憎む者							
「ナルの書」と「ザルの書」……。そんな恐ろしい書物があったとは……。			「ナルの書」と「ザルの書」……。そんな恐ろしい書物があったとは……。			破壊を憎む者							
その「ラライ」という者とも話す必要がありそうだな……。3人で、今後のことを話そう。			その「ラライ」という者とも話す必要がありそうだな……。3人で、今後のことを話そう。			破壊を憎む者							
黒魔法の知識を狙う者……。「シャトトの魔石」を持つ汝よりも、黒魔法を使いこなせる者がいようとは考えられぬが……。			黒魔法の知識を狙う者……。「シャトトの魔石」を持つ汝よりも、黒魔法を使いこなせる者がいようとは考えられぬが……。			破壊を憎む者							
吾輩は、ダ・ザとドゾル・メロックを捜索し、此度の事態について伝えておく。汝は、「ラライ」の元へ戻るべきであろう。			吾輩は、ダ・ザとドゾル・メロックを捜索し、此度の事態について伝えておく。汝は、「ラライ」の元へ戻るべきであろう。			破壊を憎む者							
吾輩は、ダ・ザとドゾル・メロックを捜索し、此度の事態について伝えておこう。汝は、預言者「ラライ」の元へ戻るべきであろう。			吾輩は、ダ・ザとドゾル・メロックを捜索し、此度の事態について伝えておこう。汝は、預言者「ラライ」の元へ戻るべきであろう。			破壊を憎む者							
このラライという女、なんて頭が固いんだ……！破壊の力の危険性を理解していないのか！？			このラライという女、なんて頭が固いんだ……！破壊の力の危険性を理解していないのか！？			破壊を憎む者							
Forename Surnameよ！急にやってきて、キャンキャン喚くこの男は何者ですか！「愚かなことをした」だの、「黒魔法は使うな」だの！			Forename Surnameよ！急にやってきて、キャンキャン喚くこの男は何者ですか！「愚かなことをした」だの、「黒魔法は使うな」だの！			破壊を憎む者							
「破壊の力」を使う黒魔道士が、こんなにもいたとは！君たちの師匠であるククルカという男には、呆れて物も言えないよ。			「破壊の力」を使う黒魔道士が、こんなにもいたとは！君たちの師匠であるククルカという男には、呆れて物も言えないよ。			破壊を憎む者							
その男が余計な研究をしたせいで、「まつろわぬ魔道士」が生まれてしまったんだ！			その男が余計な研究をしたせいで、「まつろわぬ魔道士」が生まれてしまったんだ！			破壊を憎む者							
ある男を追っているという話をしたろう……？「まつろわぬ魔道士」とは、その人物が作り上げた、破壊の力を追い求める、危険思想の集団だ！			ある男を追っているという話をしたろう……？「まつろわぬ魔道士」とは、その人物が作り上げた、破壊の力を追い求める、危険思想の集団だ！			破壊を憎む者							
僕が追っているのは、奴らの指導者「ウォルディーヴ」。かつては、幻術士ギルドの一員だった男……。			僕が追っているのは、奴らの指導者「ウォルディーヴ」。かつては、幻術士ギルドの一員だった男……。			破壊を憎む者							
彼は「癒しの力」を使う幻術士でありながら、いつしか、他者を支配する力を望むようになっていった……。そして辿り着いたのが、「破壊の力」である黒魔法！			彼は「癒しの力」を使う幻術士でありながら、いつしか、他者を支配する力を望むようになっていった……。そして辿り着いたのが、「破壊の力」である黒魔法！			破壊を憎む者							
その思考が問題視され、ギルドを追放されたのだが……ウォルディーヴは、去り際に、こう言い残した。「破壊の力の脅威を思い知らせてやる」とね……。			その思考が問題視され、ギルドを追放されたのだが……ウォルディーヴは、去り際に、こう言い残した。「破壊の力の脅威を思い知らせてやる」とね……。			破壊を憎む者							
そして、年月を経て、ついにヤツは姿を現した……。黒魔法を現代に蘇らせ、その脅威を世に知らしめるために！			そして、年月を経て、ついにヤツは姿を現した……。黒魔法を現代に蘇らせ、その脅威を世に知らしめるために！			破壊を憎む者							
そ、そのウォルディーヴという男が、「ザルの書」を持ちだして、我欲のために黒魔法を、利用しようとしているのですか……！？			そ、そのウォルディーヴという男が、「ザルの書」を持ちだして、我欲のために黒魔法を、利用しようとしているのですか……！？			破壊を憎む者							
時期的にも、間違いないだろう……。そして連中は、徐々にではあるが黒魔法を修得しつつある。このまま野放しにしておくわけにはいかない！			時期的にも、間違いないだろう……。そして連中は、徐々にではあるが黒魔法を修得しつつある。このまま野放しにしておくわけにはいかない！			破壊を憎む者							
敵が、個人ではなく集団となると、事態は私が考えていたよりも、遥かに深刻です……。こちらも対抗手段を整えなくては……！			敵が、個人ではなく集団となると、事態は私が考えていたよりも、遥かに深刻です……。こちらも対抗手段を整えなくては……！			破壊を憎む者							
あなたが調査に赴いてくれている間に、だいぶ「ナルの書」の解読も進みました！新たに判明した黒魔法を、あなたに授けましょう！			あなたが調査に赴いてくれている間に、だいぶ「ナルの書」の解読も進みました！新たに判明した黒魔法を、あなたに授けましょう！			破壊を憎む者							
「破壊の力」に「破壊の力」で対抗するだって……！そんなことでは、被害が広がるだけじゃないか！結果として待つのは、悲劇だけだぞ！			「破壊の力」に「破壊の力」で対抗するだって……！そんなことでは、被害が広がるだけじゃないか！結果として待つのは、悲劇だけだぞ！			破壊を憎む者							
彼女彼は、「破壊の力」の担い手として、ククルカ様から、正統に使命を託された黒魔道士！力に溺れ、無駄に被害を増やすような戦い方はしません！			彼女彼は、「破壊の力」の担い手として、ククルカ様から、正統に使命を託された黒魔道士！力に溺れ、無駄に被害を増やすような戦い方はしません！			破壊を憎む者							
黒魔道士というのは野蛮な思考しかできないのか……。緊急事態でなければ、即刻、監獄送りにしてやるのに……！			黒魔道士というのは野蛮な思考しかできないのか……。緊急事態でなければ、即刻、監獄送りにしてやるのに……！			破壊を憎む者							
獣人たちとも繋がりのある、その情報網だけは評価しよう。何か進展があれば、情報交換には応じてやる……。ただし、僕の邪魔だけはしないでもらうぞ！			獣人たちとも繋がりのある、その情報網だけは評価しよう。何か進展があれば、情報交換には応じてやる……。ただし、僕の邪魔だけはしないでもらうぞ！			破壊を憎む者							
な、なんて身勝手な言い分でしょう……！まさか、あんな男と協力しなければならないなんて……！			な、なんて身勝手な言い分でしょう……！まさか、あんな男と協力しなければならないなんて……！			破壊を憎む者							
あんな、クソ真面目男の言うことは気にせず、私たちは私たちにできる備えをしましょう！			あんな、クソ真面目男の言うことは気にせず、私たちは私たちにできる備えをしましょう！			破壊を憎む者							
解読できた禁術の名は、「黒魔紋」。きっと、あなたの助けとなることでしょう……。あなたが修行を積んでいる間に、私も調査を進めておきます！			解読できた禁術の名は、「黒魔紋」。きっと、あなたの助けとなることでしょう……。あなたが修行を積んでいる間に、私も調査を進めておきます！			破壊を憎む者							
フォールゴウドのエシヴァは、冒険者に提案があるようだ。			フォールゴウドのエシヴァは、冒険者に提案があるようだ。			浄化の旅へ							
エシヴァから、クルザス方面への旅を提案された。クルザス中央高地のキャンプ・ドラゴンヘッドで「エシヴァ」と話そう。			エシヴァから、クルザス方面への旅を提案された。クルザス中央高地のキャンプ・ドラゴンヘッドで「エシヴァ」と話そう。			浄化の旅へ							
エシヴァによると、水脈の流れと合致する場所で魔物が暴れているらしい。クルザス中央高地のドラゴンヘッドで「エシヴァ」と合流しよう。			エシヴァによると、水脈の流れと合致する場所で魔物が暴れているらしい。クルザス中央高地のドラゴンヘッドで「エシヴァ」と合流しよう。			浄化の旅へ							
「不浄なるもの」にあてられた魔物を討伐した。ドラゴンヘッドで「不浄なるもの」を鎮めて浄化しよう。			「不浄なるもの」にあてられた魔物を討伐した。ドラゴンヘッドで「不浄なるもの」を鎮めて浄化しよう。			浄化の旅へ							
「不浄なるもの」を鎮めて浄化した。キャンプ・ドラゴンヘッドで「エシヴァ」と話そう。			「不浄なるもの」を鎮めて浄化した。キャンプ・ドラゴンヘッドで「エシヴァ」と話そう。			浄化の旅へ							
エシヴァは、次の目的地を調査しておくという。その間に、しっかりと修行を積んでおこう。※白魔道士のレベルが54以上になると、キャンプ・ドラゴンヘッドのエシヴァから、次の白魔道士クエストを受注することができます。			エシヴァは、次の目的地を調査しておくという。その間に、しっかりと修行を積んでおこう。※白魔道士のレベルが54以上になると、キャンプ・ドラゴンヘッドのエシヴァから、次の白魔道士クエストを受注することができます。			浄化の旅へ							
キャンプ・ドラゴンヘッドのエシヴァと話す			キャンプ・ドラゴンヘッドのエシヴァと話す			浄化の旅へ							
エシヴァと合流			エシヴァと合流			浄化の旅へ							
不浄なるものを鎮めて浄化する			不浄なるものを鎮めて浄化する			浄化の旅へ							
エシヴァと話す			エシヴァと話す			浄化の旅へ							
敵を殲滅せよ！			敵を殲滅せよ！			浄化の旅へ							
あっ、Forenameさん！ひととおり、ア・トワ様の旅の記録を読み終えたのですが、気になる記述がありまして……。			あっ、Forenameさん！ひととおり、ア・トワ様の旅の記録を読み終えたのですが、気になる記述がありまして……。			浄化の旅へ							
地下水脈を通じて「不浄なるもの」が流れ込み、ア・トワ様が調査に赴いたことがあったようなのです。水源地である北方のアバラシア山脈へ……。			地下水脈を通じて「不浄なるもの」が流れ込み、ア・トワ様が調査に赴いたことがあったようなのです。水源地である北方のアバラシア山脈へ……。			浄化の旅へ							
そして、旅の結果、浄化が行われたようですが、「地下水脈を通じて」という部分が引っかかるんです。			そして、旅の結果、浄化が行われたようですが、「地下水脈を通じて」という部分が引っかかるんです。			浄化の旅へ							
今回の「不浄なるもの」ですが、大精霊が警告を発するほどの危機が間近に迫っているのに、角尊や道士様は、誰も気付いていませんでした……。			今回の「不浄なるもの」ですが、大精霊が警告を発するほどの危機が間近に迫っているのに、角尊や道士様は、誰も気付いていませんでした……。			浄化の旅へ							
何より大精霊が「流れ込む」と表現したのも気になります。つまり、「不浄なるもの」が地下水脈を伝っていたため、発見できなかったのではないかと思うんです。			何より大精霊が「流れ込む」と表現したのも気になります。つまり、「不浄なるもの」が地下水脈を伝っていたため、発見できなかったのではないかと思うんです。			浄化の旅へ							
ア・トワ様による浄化から、かなりの年月が経過しています。それからの間に、新たな「不浄なるもの」の根源が、発生していたとしても不思議はありません。			ア・トワ様による浄化から、かなりの年月が経過しています。それからの間に、新たな「不浄なるもの」の根源が、発生していたとしても不思議はありません。			浄化の旅へ							
まずは、アバラシア山脈の南端……クルザス中央高地の「ドラゴンヘッド」近辺から、調査を開始してみましょう！			まずは、アバラシア山脈の南端……クルザス中央高地の「ドラゴンヘッド」近辺から、調査を開始してみましょう！			浄化の旅へ							
……見える世界すべてが凍てついています。地域によって、こんなにも景色が違うんですね。			……見える世界すべてが凍てついています。地域によって、こんなにも景色が違うんですね。			浄化の旅へ							
すみません、私、黒衣森を出たことがなかったので……。Forenameさんには、もう見慣れた光景ですよね。			すみません、私、黒衣森を出たことがなかったので……。Forenameさんには、もう見慣れた光景ですよね。			浄化の旅へ							
あなたが来るまで、現地の騎兵の方に、水脈に関する話を聞いていたのですが……。			あなたが来るまで、現地の騎兵の方に、水脈に関する話を聞いていたのですが……。			浄化の旅へ							
どうやら、その水脈の流れと合致する場所で、頻繁に魔物が現れ、問題になっていると言うじゃありませんか。しかも、異常に凶暴化しているらしく……。			どうやら、その水脈の流れと合致する場所で、頻繁に魔物が現れ、問題になっていると言うじゃありませんか。しかも、異常に凶暴化しているらしく……。			浄化の旅へ							
もしかして……「不浄なるもの」の穢れたエーテルに魔物があてられ、興奮した結果なのかもしれません！			もしかして……「不浄なるもの」の穢れたエーテルに魔物があてられ、興奮した結果なのかもしれません！			浄化の旅へ							
現在、南の方でフォルタン家の騎兵たちが、魔物の掃討作戦を展開しているそうです。私たちも行ってみましょう！			現在、南の方でフォルタン家の騎兵たちが、魔物の掃討作戦を展開しているそうです。私たちも行ってみましょう！			浄化の旅へ							
やはり「不浄なるもの」のせいで魔物が暴れています……！浄化の前に、騎士様とともに魔物を倒しましょう！			やはり「不浄なるもの」のせいで魔物が暴れています……！浄化の前に、騎士様とともに魔物を倒しましょう！			浄化の旅へ							
なんとか魔物は片付きました……。それにしても、あれが「不浄なるもの」……！Forenameさん、浄化をお願いします！			なんとか魔物は片付きました……。それにしても、あれが「不浄なるもの」……！Forenameさん、浄化をお願いします！			浄化の旅へ							
私にも、空気が澄み渡っていくのがわかります。これが白魔道士の力なんですね……。			私にも、空気が澄み渡っていくのがわかります。これが白魔道士の力なんですね……。			浄化の旅へ							
祖父が記した記録のとおりです……。そして、あなたのソウルクリスタルから、ひときわ強い輝きを感じますよ！			祖父が記した記録のとおりです……。そして、あなたのソウルクリスタルから、ひときわ強い輝きを感じますよ！			浄化の旅へ							
おそらく、浄化を経験したことで、ソウルクリスタルに宿ったア・トワ様の記憶が、あなたに力をもたらしたのでしょう……。			おそらく、浄化を経験したことで、ソウルクリスタルに宿ったア・トワ様の記憶が、あなたに力をもたらしたのでしょう……。			浄化の旅へ							
「不浄なるもの」を浄化することで、大いなる癒しの力を得ることができる。どうやらこの旅には、そうした一面もあるようですね……。			「不浄なるもの」を浄化することで、大いなる癒しの力を得ることができる。どうやらこの旅には、そうした一面もあるようですね……。			浄化の旅へ							
しかし、浄化の旅が白魔道士に成長を促すのだとしたら、ますます、角尊たちが森の外へ出ないのが理解できません。			しかし、浄化の旅が白魔道士に成長を促すのだとしたら、ますます、角尊たちが森の外へ出ないのが理解できません。			浄化の旅へ							
いったい、彼らはいつまで古い習慣に従って、森の中に閉じこもっているつもりなんでしょう……。			いったい、彼らはいつまで古い習慣に従って、森の中に閉じこもっているつもりなんでしょう……。			浄化の旅へ							
ともかく、ここで浄化をしたことで、新しくわかったことが沢山あります。「キャンプ・ドラゴンヘッド」で情報を整理しましょう。			ともかく、ここで浄化をしたことで、新しくわかったことが沢山あります。「キャンプ・ドラゴンヘッド」で情報を整理しましょう。			浄化の旅へ							
Forenameさん、おつかれさまでした。やはりあの魔物たちは、地下水脈を伝って流れる、「不浄なるもの」にあてられていたようですね。			Forenameさん、おつかれさまでした。やはりあの魔物たちは、地下水脈を伝って流れる、「不浄なるもの」にあてられていたようですね。			浄化の旅へ							
祖父が遺した記録によると、地下水脈の源流は、さらに西方のようです……。			祖父が遺した記録によると、地下水脈の源流は、さらに西方のようです……。			浄化の旅へ							
しかし、閉ざされたイシュガルドに入るには許可が必要です。幸いにも、Forenameさんは、イシュガルド貴族の方々とも懇意だとか。			しかし、閉ざされたイシュガルドに入るには許可が必要です。幸いにも、Forenameさんは、イシュガルド貴族の方々とも懇意だとか。			浄化の旅へ							
Forenameさんを保証人として、幻術皇名義の通行申請書を出してもらうよう、碩老樹瞑想窟に連絡しておきます。			Forenameさんを保証人として、幻術皇名義の通行申請書を出してもらうよう、碩老樹瞑想窟に連絡しておきます。			浄化の旅へ							
まったく……角尊がこの場にいれば、そんな面倒な手間を踏まずにすんだのに……。まあ、そんなこと愚痴っても仕方ありませんね。			まったく……角尊がこの場にいれば、そんな面倒な手間を踏まずにすんだのに……。まあ、そんなこと愚痴っても仕方ありませんね。			浄化の旅へ							
イシュガルドは同盟に復帰し、門戸も開かれつつあります。かの国に入国することは、以前ほど難しくはありません。			イシュガルドは同盟に復帰し、門戸も開かれつつあります。かの国に入国することは、以前ほど難しくはありません。			浄化の旅へ							
……ですが、これよりも先は、ア・トワ様も立ち入っていない未踏の地。より強い浄化の力が必要になるでしょう。			……ですが、これよりも先は、ア・トワ様も立ち入っていない未踏の地。より強い浄化の力が必要になるでしょう。			浄化の旅へ							
角尊たちのような白魔道士がこの場にいれば、みなで力を合わせ、先を急ぐこともできたでしょうが……。今は、あなたの癒しの力に頼るしかありません。			角尊たちのような白魔道士がこの場にいれば、みなで力を合わせ、先を急ぐこともできたでしょうが……。今は、あなたの癒しの力に頼るしかありません。			浄化の旅へ							
私は、次の目的地を特定するため、このあたりの地理などを調べてみます。			私は、次の目的地を特定するため、このあたりの地理などを調べてみます。			浄化の旅へ							
少し時間が必要ですので、その間に、新たに得た癒しの力に慣れておいてください。しっかりと修行を積んで、またここで会いましょう！			少し時間が必要ですので、その間に、新たに得た癒しの力に慣れておいてください。しっかりと修行を積んで、またここで会いましょう！			浄化の旅へ							
私が敵を叩きます！Forenameさんは、皆さんの回復を！			私が敵を叩きます！Forenameさんは、皆さんの回復を！			浄化の旅へ							
くっ、穢れたエーテルに魔物が引き寄せられています！			くっ、穢れたエーテルに魔物が引き寄せられています！			浄化の旅へ							
また魔物が来ましたか……！			また魔物が来ましたか……！			浄化の旅へ							
キリがありませんね……！元凶のスタグナントスプライトを、先に倒さないと！			キリがありませんね……！元凶のスタグナントスプライトを、先に倒さないと！			浄化の旅へ							
よし、これで……！あとは残った魔物を掃討するだけです！			よし、これで……！あとは残った魔物を掃討するだけです！			浄化の旅へ							
お役に立てず、すみません……！			お役に立てず、すみません……！			浄化の旅へ							
キャンプ・ブロンズレイクのブロークン・マウンテンは「新たな戦技」を探すにあたり、気がかりなことがあるようだ。			キャンプ・ブロンズレイクのブロークン・マウンテンは「新たな戦技」を探すにあたり、気がかりなことがあるようだ。			暴かれし戦士の秘							
ブロークン・マウンテンは「新たな戦技」を探す前に、確認したいことがあるという。クルザス中央高地の聖ダナフェンの落涙にいる「ブロークン・マウンテン」と合流しよう。			ブロークン・マウンテンは「新たな戦技」を探す前に、確認したいことがあるという。クルザス中央高地の聖ダナフェンの落涙にいる「ブロークン・マウンテン」と合流しよう。			暴かれし戦士の秘							
ブロークン・マウンテンと合流し、キュリアス・ゴージの暴走を止めた。「原初の魂」を制御できていないキュリアス・ゴージは、兄によって「新たな戦技」探しを禁じられた。今後の方針について、キャンプ・ブロンズレイクの「ブロークン・マウンテン」と話そう。			ブロークン・マウンテンと合流し、キュリアス・ゴージの暴走を止めた。「原初の魂」を制御できていないキュリアス・ゴージは、兄によって「新たな戦技」探しを禁じられた。今後の方針について、キャンプ・ブロンズレイクの「ブロークン・マウンテン」と話そう。			暴かれし戦士の秘							
ブロークン・マウンテンと話した。「新たな戦技」の修得には、肉体を極限まで鍛え、その肉体に相応しい戦いに勝利する必要があるようだ。さらなる高みを目指して、鍛練を積んでおこう。※戦士のレベルが54以上になると、キャンプ・ブロンズレイクのブロークン・マウンテンから次の戦士クエストを受注することができます。			ブロークン・マウンテンと話した。「新たな戦技」の修得には、肉体を極限まで鍛え、その肉体に相応しい戦いに勝利する必要があるようだ。さらなる高みを目指して、鍛練を積んでおこう。※戦士のレベルが54以上になると、キャンプ・ブロンズレイクのブロークン・マウンテンから次の戦士クエストを受注することができます。			暴かれし戦士の秘							
聖ダナフェンの落涙のブロークン・マウンテンと話す			聖ダナフェンの落涙のブロークン・マウンテンと話す			暴かれし戦士の秘							
キャンプ・ブロンズレイクのブロークン・マウンテンと話す			キャンプ・ブロンズレイクのブロークン・マウンテンと話す			暴かれし戦士の秘							
キュリアス・ゴージを倒せ！			キュリアス・ゴージを倒せ！			暴かれし戦士の秘							
Forename、肉体の鍛練は順調のようだな。「新たな戦技」に関する解読も進み、その修得に必要な要素の仮説を立てるに至った。			Forename、肉体の鍛練は順調のようだな。「新たな戦技」に関する解読も進み、その修得に必要な要素の仮説を立てるに至った。			暴かれし戦士の秘							
さっそく、君たちに教えたいところだが……ひとつだけ気がかりなことがある。まずは、それを解消しておきたい。			さっそく、君たちに教えたいところだが……ひとつだけ気がかりなことがある。まずは、それを解消しておきたい。			暴かれし戦士の秘							
クルザス中央高地の「聖ダナフェンの落涙」に出没する、ある魔物を、弟とともに討伐してみてほしいのだ。現地で、落ち合おう。			クルザス中央高地の「聖ダナフェンの落涙」に出没する、ある魔物を、弟とともに討伐してみてほしいのだ。現地で、落ち合おう。			暴かれし戦士の秘							
「聖ダナフェンの落涙」で、オメといっしょに、魔物を倒すように、兄者に言われた。			「聖ダナフェンの落涙」で、オメといっしょに、魔物を倒すように、兄者に言われた。			暴かれし戦士の秘							
力が……震える……。			力が……震える……。			暴かれし戦士の秘							
来たか……気をつけろ……。突然、魔物に襲われて、弟が反撃した拍子に……			来たか……気をつけろ……。突然、魔物に襲われて、弟が反撃した拍子に……			暴かれし戦士の秘							
……「原初の魂」に飲み込まれたのだ！！			……「原初の魂」に飲み込まれたのだ！！			暴かれし戦士の秘							
不安があったが、やはりまだ克服できていなかったか……。止めようとしたが、不覚をとった……。すまぬが、弟を止めてくれ！			不安があったが、やはりまだ克服できていなかったか……。止めようとしたが、不覚をとった……。すまぬが、弟を止めてくれ！			暴かれし戦士の秘							
ウォォォォォ……！			ウォォォォォ……！			暴かれし戦士の秘							
弟は野獣の如く、闘争本能をむきだしにしている！全力で立ち向かわなければ、君の身が危ないぞ！！			弟は野獣の如く、闘争本能をむきだしにしている！全力で立ち向かわなければ、君の身が危ないぞ！！			暴かれし戦士の秘							
ガォォォォォォォォォォ！！			ガォォォォォォォォォォ！！			暴かれし戦士の秘							
攻撃を受けて、弟の「原初の魂」が激しく震えているのか！			攻撃を受けて、弟の「原初の魂」が激しく震えているのか！			暴かれし戦士の秘							
グガガォガォォガォォォォアァァァァァァ！！			グガガォガォォガォォォォアァァァァァァ！！			暴かれし戦士の秘							
弟が発する戦闘本能が具現化したのか！？			弟が発する戦闘本能が具現化したのか！？			暴かれし戦士の秘							
おい……Forename……！しっかりしろ！！			おい……Forename……！しっかりしろ！！			暴かれし戦士の秘							
よかった、目覚めたようだな。君は、弟を打ち負かした瞬間に気を失ったのだ。いったい、どうしたんだ？			よかった、目覚めたようだな。君は、弟を打ち負かした瞬間に気を失ったのだ。いったい、どうしたんだ？			暴かれし戦士の秘							
君の内側で、肉体が砕けそうなほどの衝撃が走っただって？			君の内側で、肉体が砕けそうなほどの衝撃が走っただって？			暴かれし戦士の秘							
体はしびれているが、問題はなさそうか……。確かに、倒れてすぐに目覚めているし、君がそう言うならば、心配はなさそうだな……。			体はしびれているが、問題はなさそうか……。確かに、倒れてすぐに目覚めているし、君がそう言うならば、心配はなさそうだな……。			暴かれし戦士の秘							
Forename、すまねぇ。オラのせいで、危険な目にあわせちまって。			Forename、すまねぇ。オラのせいで、危険な目にあわせちまって。			暴かれし戦士の秘							
弟も、私がすぐに治療したから、心配は無用だ。			弟も、私がすぐに治療したから、心配は無用だ。			暴かれし戦士の秘							
しかし、我が弟よ……予期していたが、やはり「原初の魂」を制御できていないようだな。実は、これを確認するために、ふたりをここに呼んだのだ。			しかし、我が弟よ……予期していたが、やはり「原初の魂」を制御できていないようだな。実は、これを確認するために、ふたりをここに呼んだのだ。			暴かれし戦士の秘							
隠すつもりはなかったんだ……。ただ、「原初の魂」が震えすぎると、記憶まであいまいになるもんで、確信を持てなかったんだ。			隠すつもりはなかったんだ……。ただ、「原初の魂」が震えすぎると、記憶まであいまいになるもんで、確信を持てなかったんだ。			暴かれし戦士の秘							
いや、ちがうな……オラが事実を認めたくなかったんだ。「原初の魂」によって理性が失われることが知れ渡ったら、また、戦士は忌み嫌われ、放逐されちまうからな。			いや、ちがうな……オラが事実を認めたくなかったんだ。「原初の魂」によって理性が失われることが知れ渡ったら、また、戦士は忌み嫌われ、放逐されちまうからな。			暴かれし戦士の秘							
Forenameには、「新たな戦技」の修得をめざし旅に出てもらう。だが、今のお前は足手まといだから、同行は認めないぞ。			Forenameには、「新たな戦技」の修得をめざし旅に出てもらう。だが、今のお前は足手まといだから、同行は認めないぞ。			暴かれし戦士の秘							
詳しい話は、帰ってから説明しよう。キャンプ・ブロンズレイクで待っているぞ。			詳しい話は、帰ってから説明しよう。キャンプ・ブロンズレイクで待っているぞ。			暴かれし戦士の秘							
くそっ……。オメは、戦士の高みに向かってまっすぐ登ってるってのに、オラときたら、同じ場所でウダウダとどまってるだけだ……！			くそっ……。オメは、戦士の高みに向かってまっすぐ登ってるってのに、オラときたら、同じ場所でウダウダとどまってるだけだ……！			暴かれし戦士の秘							
「新たな戦技」を探す旅……がんばれよ……。オメが、戦士の可能性を証明してくれよな……。			「新たな戦技」を探す旅……がんばれよ……。オメが、戦士の可能性を証明してくれよな……。			暴かれし戦士の秘							
オメは、戦士の高みに向かってまっすぐ登ってるってのに、オラときたら、同じ場所でうだうだとどまってるだけだ……。「新たな戦技」を探す旅、がんばれよ……。			オメは、戦士の高みに向かってまっすぐ登ってるってのに、オラときたら、同じ場所でうだうだとどまってるだけだ……。「新たな戦技」を探す旅、がんばれよ……。			暴かれし戦士の秘							
よく来てくれたな。……なに、弟が落ち込んでいたって？君と比べて進歩がないのだから無理もない。			よく来てくれたな。……なに、弟が落ち込んでいたって？君と比べて進歩がないのだから無理もない。			暴かれし戦士の秘							
このままでは危険すぎて、戦士の技は広められないしな。ゆえに私は「野性を手懐ける方法」に絞り、古文書の解読を進めていたのだ。			このままでは危険すぎて、戦士の技は広められないしな。ゆえに私は「野性を手懐ける方法」に絞り、古文書の解読を進めていたのだ。			暴かれし戦士の秘							
しかし、結局、先に見つかったのは「新たな戦技」の記述だ。弟のためにも、戦士の問題を早く解決したいところだが……「新たな戦技」探しにも、全力で協力させてもらおう。			しかし、結局、先に見つかったのは「新たな戦技」の記述だ。弟のためにも、戦士の問題を早く解決したいところだが……「新たな戦技」探しにも、全力で協力させてもらおう。			暴かれし戦士の秘							
そうすることで、なぜ君が「原初の魂」を使いこなせて、私や弟が、暴走を許してしまったのかが、わかるかもしれない。			そうすることで、なぜ君が「原初の魂」を使いこなせて、私や弟が、暴走を許してしまったのかが、わかるかもしれない。			暴かれし戦士の秘							
……ところで、気になることが、もうひとつある。君が弟との戦いの直後に、気を失ってしまった点だ……。戦闘の最中に何があったのか……思い出すことはできるか？			……ところで、気になることが、もうひとつある。君が弟との戦いの直後に、気を失ってしまった点だ……。戦闘の最中に何があったのか……思い出すことはできるか？			暴かれし戦士の秘							
……なんと、弟との激戦の記憶を呼び起こしたことで、肉体が砕けそうなほど、「原初の魂」が激しく震えただと！？			……なんと、弟との激戦の記憶を呼び起こしたことで、肉体が砕けそうなほど、「原初の魂」が激しく震えただと！？			暴かれし戦士の秘							
そうか、荒技とともに古文書に記されていた一文……「強き肉体は、強き敵を求め、強き魂に至る」とは、この事か！なるほど……少しだけ見えてきたぞ。			そうか、荒技とともに古文書に記されていた一文……「強き肉体は、強き敵を求め、強き魂に至る」とは、この事か！なるほど……少しだけ見えてきたぞ。			暴かれし戦士の秘							
己の限界を超えるほど肉体を鍛え、その肉体に相応しい強敵に挑み、「原初の魂」を震わせると、新たな戦技の勘所を掴むようだ。			己の限界を超えるほど肉体を鍛え、その肉体に相応しい強敵に挑み、「原初の魂」を震わせると、新たな戦技の勘所を掴むようだ。			暴かれし戦士の秘							
それこそが、古の英雄の境地に達する秘訣！さあ、さらなる鍛練を積み、限界を超えるのだ！			それこそが、古の英雄の境地に達する秘訣！さあ、さらなる鍛練を積み、限界を超えるのだ！			暴かれし戦士の秘							
エーテライト・プラザのサンソン大牙士は、怒りをこらえきれないようだ。			エーテライト・プラザのサンソン大牙士は、怒りをこらえきれないようだ。			放蕩と堅物							
サンソン大牙士によると、ギドゥロが歌のうまい騎士と対決をするため、都市を出ていってしまったらしい。ギドゥロを追うため、クルザス西部高地のファルコンネストで「サンソン大牙士」と話そう。			サンソン大牙士によると、ギドゥロが歌のうまい騎士と対決をするため、都市を出ていってしまったらしい。ギドゥロを追うため、クルザス西部高地のファルコンネストで「サンソン大牙士」と話そう。			放蕩と堅物							
ギドゥロは、集落の外にまで行ってしまったらしい。クルザス西部高地のツインプールズで「ギドゥロ」を探そう。			ギドゥロは、集落の外にまで行ってしまったらしい。クルザス西部高地のツインプールズで「ギドゥロ」を探そう。			放蕩と堅物							
