パーラカの里のマトシャは、何かを切り出すタイミングを計っているようだ。			パーラカの里のマトシャは、何かを切り出すタイミングを計っているようだ。			暗闇を彩りながら							
だが今回は、サベネア島近海域と違って、過去のデータが存在しないから比較は難しい。			だが今回は、サベネア島近海域と違って、過去のデータが存在しないから比較は難しい。			刻まれた北の年月							
そこで役立つのが貝類さ！貝殻に残る成長線という筋からは、樹木の年輪のように、年ごとの成長ぶりや水脈の状況が判別できるんだ！			そこで役立つのが貝類さ！貝殻に残る成長線という筋からは、樹木の年輪のように、年ごとの成長ぶりや水脈の状況が判別できるんだ！			刻まれた北の年月							
古い図鑑を調べたんだが、ガレマルド一帯の水場には、「ガレマールクラム」という貝が棲息してるはず。それが採れたらいいんだけど……。			古い図鑑を調べたんだが、ガレマルド一帯の水場には、「ガレマールクラム」という貝が棲息してるはず。それが採れたらいいんだけど……。			刻まれた北の年月							
何と言う？			何と言う？			刻まれた北の年月							
ガレマルドなら行ったことがある			ガレマルドなら行ったことがある			刻まれた北の年月							
どこへでも任せておけ			どこへでも任せておけ			刻まれた北の年月							
ううっ、頼もしい……！ガレマルドのデータが手に入れば、論文の完成は一気に近づくからな！			ううっ、頼もしい……！ガレマルドのデータが手に入れば、論文の完成は一気に近づくからな！			刻まれた北の年月							
あの手の貝類の釣り餌には、「ウマビル」が使えるんじゃないかな。ガレマルド一帯の水場に広く棲息してるはずだから、派遣団が駐屯するキャンプ・ブロークングラス辺りにもいると思う。			あの手の貝類の釣り餌には、「ウマビル」が使えるんじゃないかな。ガレマルド一帯の水場に広く棲息してるはずだから、派遣団が駐屯するキャンプ・ブロークングラス辺りにもいると思う。			刻まれた北の年月							
危険な地域にお前だけを送り出すのは心苦しいけど……くれぐれも、気をつけて行ってきてくれよ！			危険な地域にお前だけを送り出すのは心苦しいけど……くれぐれも、気をつけて行ってきてくれよ！			刻まれた北の年月							
件の貝はガレマルド一帯の水場に広く棲息してるはずだから、派遣団が駐屯するキャンプ・ブロークングラス辺りにもいると思う。釣り餌には「ウマビル」が使えるはずだ。			件の貝はガレマルド一帯の水場に広く棲息してるはずだから、派遣団が駐屯するキャンプ・ブロークングラス辺りにもいると思う。釣り餌には「ウマビル」が使えるはずだ。			刻まれた北の年月							
現地は危険な状況が続いてるって聞いてるよ……。うう、そんな地域にも物怖じせず踏み込んでこそ、一流のグリーナーなんだろうな……！！			現地は危険な状況が続いてるって聞いてるよ……。うう、そんな地域にも物怖じせず踏み込んでこそ、一流のグリーナーなんだろうな……！！			刻まれた北の年月							
おおっ、これがガレマルドで採集したサンプル……！！これは他の研究者にとっても、垂涎の品かもな！ありがとう！			おおっ、これがガレマルドで採集したサンプル……！！これは他の研究者にとっても、垂涎の品かもな！ありがとう！			刻まれた北の年月							
ガレマルドからこんな見事なサンプルを……！！ますます他の研究者からも、羨ましがられそうだな！本当にありがとう！			ガレマルドからこんな見事なサンプルを……！！ますます他の研究者からも、羨ましがられそうだな！本当にありがとう！			刻まれた北の年月							
ふふん、人が増えると研究も捗るような気がするな！お前のおかげで忙しくなってきたから、うちの学生にも、データ分析を手伝ってもらうことにしたんだ。			ふふん、人が増えると研究も捗るような気がするな！お前のおかげで忙しくなってきたから、うちの学生にも、データ分析を手伝ってもらうことにしたんだ。			刻まれた北の年月							
さておき、危険な地域での採集協力には感謝してるぜ！ガレマルドの水脈に関するデータが手に入るとは、エーテル学界隈がざわついてるくらいだよ！			さておき、危険な地域での採集協力には感謝してるぜ！ガレマルドの水脈に関するデータが手に入るとは、エーテル学界隈がざわついてるくらいだよ！			刻まれた北の年月							
その分、俺の次の論文への注目も高まってきてるんだけどぉ……はぁぁ……意識したら緊張してきた…………。			その分、俺の次の論文への注目も高まってきてるんだけどぉ……はぁぁ……意識したら緊張してきた…………。			刻まれた北の年月							
順調そうですね。聞きましたよ、ガレマルドのサンプルが入手できたとか！未知の水脈解明が進むこと、実に喜ばしい。			順調そうですね。聞きましたよ、ガレマルドのサンプルが入手できたとか！未知の水脈解明が進むこと、実に喜ばしい。			刻まれた北の年月							
ネレー教授！そうなんです、今回も彼女彼が尽力してくれて……。			ネレー教授！そうなんです、今回も彼女彼が尽力してくれて……。			刻まれた北の年月							
気鋭の研究者であるチャ・ラカ……そして、腕利きグリーナーのForename君。ふたりは、実に良い相棒同士であるようですね。			気鋭の研究者であるチャ・ラカ……そして、腕利きグリーナーのForename君。ふたりは、実に良い相棒同士であるようですね。			刻まれた北の年月							
……そうだ！そんなお前が採ってきてくれたサンプルから、今回どんなデータが計測できたか、話しておかなくちゃな。			……そうだ！そんなお前が採ってきてくれたサンプルから、今回どんなデータが計測できたか、話しておかなくちゃな。			刻まれた北の年月							
ガレマールクラムに見込みをつけたのは大正解だった！サンプルからは最大で97年ぶんの成長線が確認できたんだ。約100年の水脈の状況が推測できるということさ。			ガレマールクラムに見込みをつけたのは大正解だった！サンプルからは最大で97年ぶんの成長線が確認できたんだ。約100年の水脈の状況が推測できるということさ。			刻まれた北の年月							
興味深いのは、サベネア島近海のデータと比較したところ、エーテル濃度が、まるでシーソーのように連動していたこと！			興味深いのは、サベネア島近海のデータと比較したところ、エーテル濃度が、まるでシーソーのように連動していたこと！			刻まれた北の年月							
ガレマルドのエーテル値が濃いときは、サベネア島では薄く……逆もまた、ぴったりと一致していたんだ。			ガレマルドのエーテル値が濃いときは、サベネア島では薄く……逆もまた、ぴったりと一致していたんだ。			刻まれた北の年月							
全世界の水脈が一定のリズムで揺らいでいるという、チャ・ラカの「水脈潮汐説」を裏付ける結果と言えるでしょう。			全世界の水脈が一定のリズムで揺らいでいるという、チャ・ラカの「水脈潮汐説」を裏付ける結果と言えるでしょう。			刻まれた北の年月							
さらに多くの地域のデータと比較し、連動性が証明されれば、たとえば豊漁不漁の予測が高確率で可能になります。この研究は、水産業のリスク管理にも役立つものになるでしょう。			さらに多くの地域のデータと比較し、連動性が証明されれば、たとえば豊漁不漁の予測が高確率で可能になります。この研究は、水産業のリスク管理にも役立つものになるでしょう。			刻まれた北の年月							
ですよね……！研究結果を人々の暮らしにも役立ててもらうためにも、俺もがんばります！			ですよね……！研究結果を人々の暮らしにも役立ててもらうためにも、俺もがんばります！			刻まれた北の年月							
お前のおかげで理想的なデータも次々手に入ってるし、論文の進捗も順調ってところだ。仮説にも、なんだか自信が出てきた気がするよ！			お前のおかげで理想的なデータも次々手に入ってるし、論文の進捗も順調ってところだ。仮説にも、なんだか自信が出てきた気がするよ！			刻まれた北の年月							
お前の協力があれば、論文完成も遠くない！これからも、さらに調査を続けていこうな！			お前の協力があれば、論文完成も遠くない！これからも、さらに調査を続けていこうな！			刻まれた北の年月							
今は順調のようですが……やがてチャ・ラカにも、研究者としての試練のときが訪れるかもしれません。			今は順調のようですが……やがてチャ・ラカにも、研究者としての試練のときが訪れるかもしれません。			刻まれた北の年月							
ただ世の役に立つ研究をしたいという動機を超え、やっと芽生えだした研究者としての真理への執着が、彼を苦しませることもあるでしょう。			ただ世の役に立つ研究をしたいという動機を超え、やっと芽生えだした研究者としての真理への執着が、彼を苦しませることもあるでしょう。			刻まれた北の年月							
君には、そのときは彼の背中を押し、先を進む助けとなってやってほしい。……お願いできるでしょうか？			君には、そのときは彼の背中を押し、先を進む助けとなってやってほしい。……お願いできるでしょうか？			刻まれた北の年月							
エーテル学部の貢献ランクが上昇しました！チャ・ラカ・ティアはあなたの事を、「研究室の御用人」と感じているようです！			エーテル学部の貢献ランクが上昇しました！チャ・ラカ・ティアはあなたの事を、「研究室の御用人」と感じているようです！			刻まれた北の年月							
また、「チャ・ラカ・ティア」から受注可能な、シャーレアン魔法大学取引のストーリークエストが発行されました！			また、「チャ・ラカ・ティア」から受注可能な、シャーレアン魔法大学取引のストーリークエストが発行されました！			刻まれた北の年月							
次のクエストを進行するためには、「メインクエスト：暁月のフィナーレ」の「この世界の終末」を完了する必要があります。			次のクエストを進行するためには、「メインクエスト：暁月のフィナーレ」の「この世界の終末」を完了する必要があります。			刻まれた北の年月							
工匠殿のデブロイは、香りの改善策をひらめいたようだ。			工匠殿のデブロイは、香りの改善策をひらめいたようだ。			香りこそ命							
デブロイから油脂の製作を依頼された。「特製の油脂」を6個製作し、工匠殿の「デブロイ」へ納品しよう。※納品は、収集価値「150」以上で可能となりますが、「320」以上で納品した場合、より多くの報酬が得られます。			デブロイから油脂の製作を依頼された。「特製の油脂」を6個製作し、工匠殿の「デブロイ」へ納品しよう。※納品は、収集価値「150」以上で可能となりますが、「320」以上で納品した場合、より多くの報酬が得られます。			香りこそ命							
デブロイに「特製の油脂」を納品した。メルヴィンブレッドを完成させるため、準備が整い次第ふたたびデブロイに声をかけよう。			デブロイに「特製の油脂」を納品した。メルヴィンブレッドを完成させるため、準備が整い次第ふたたびデブロイに声をかけよう。			香りこそ命							
デブロイに特製の油脂を納品			デブロイに特製の油脂を納品			香りこそ命							
よく来てくれました、同志Forename！			よく来てくれました、同志Forename！			香りこそ命							
香りを改善する方法を閃きましたよ！生地に混ぜる油脂を香り高くするんです！			香りを改善する方法を閃きましたよ！生地に混ぜる油脂を香り高くするんです！			香りこそ命							
そうすれば、食欲をそそるばかりか、風味も改善すること間違いなし！当然、脂肪分ですので、少量で効果を発揮させなければいけません！			そうすれば、食欲をそそるばかりか、風味も改善すること間違いなし！当然、脂肪分ですので、少量で効果を発揮させなければいけません！			香りこそ命							
つまり、低脂肪で香り高い油脂……この矛盾する要望を、あなたの技術で両立していただきたいのです！どうか「特製の油脂」の開発をお願いします！			つまり、低脂肪で香り高い油脂……この矛盾する要望を、あなたの技術で両立していただきたいのです！どうか「特製の油脂」の開発をお願いします！			香りこそ命							
試作品四号に食欲をそそる香り付けをするために、「特製の油脂」の開発をお願いします！			試作品四号に食欲をそそる香り付けをするために、「特製の油脂」の開発をお願いします！			香りこそ命							
どうもありがとうございます！うん、いい香りが漂ってきました、お腹が空いてきますね！			どうもありがとうございます！うん、いい香りが漂ってきました、お腹が空いてきますね！			香りこそ命							
こ、これはなんと芳しい！ダメだ、涎が垂れてきちゃいました……。この香りが付いたら誰もが皆、食いつかずにいられないでしょう！			こ、これはなんと芳しい！ダメだ、涎が垂れてきちゃいました……。この香りが付いたら誰もが皆、食いつかずにいられないでしょう！			香りこそ命							
納品してくれて、ありがとうございます！特製の油脂で香り付けした試作品四号は、ラストスタンドで大人気、試作品なのに注文が殺到しています！			納品してくれて、ありがとうございます！特製の油脂で香り付けした試作品四号は、ラストスタンドで大人気、試作品なのに注文が殺到しています！			香りこそ命							
想定外だったのは、香りを目的に使った油脂が、焼き上がりを、さらにふっくらとさせてくれたこと……！			想定外だったのは、香りを目的に使った油脂が、焼き上がりを、さらにふっくらとさせてくれたこと……！			香りこそ命							
念の為、脂肪分も計測しましたが、完全食として許容範囲内の値に収まっていました！もはや完璧と言えるのではないでしょうか！？			念の為、脂肪分も計測しましたが、完全食として許容範囲内の値に収まっていました！もはや完璧と言えるのではないでしょうか！？			香りこそ命							
ぜひとも、ディコン店長に感想を聞きたいので、一緒にラストスタンドに向かいましょう！			ぜひとも、ディコン店長に感想を聞きたいので、一緒にラストスタンドに向かいましょう！			香りこそ命							
店長、香りの付いた試作品四号はどうでしたか……？			店長、香りの付いた試作品四号はどうでしたか……？			香りこそ命							
あれは……ダメだ……。			あれは……ダメだ……。			香りこそ命							
ウチで出してるパンより美味いなんて、ダメに決まってる！満点だ、ちくしょうめ……！			ウチで出してるパンより美味いなんて、ダメに決まってる！満点だ、ちくしょうめ……！			香りこそ命							
や、やったー！			や、やったー！			香りこそ命							
ディコン店長に満点をいただけたなら、これをもって試作を終え、完成を宣言しても良いのでは！？同志Forename、どうもありが……			ディコン店長に満点をいただけたなら、これをもって試作を終え、完成を宣言しても良いのでは！？同志Forename、どうもありが……			香りこそ命							
(-？？？？-)君には失望したよ、こんなところで油を売っていたとは……。			(-？？？？-)君には失望したよ、こんなところで油を売っていたとは……。			香りこそ命							
それも、私の命じた「消化効率の改善」を行わず、美食を追求していたなんてね……。			それも、私の命じた「消化効率の改善」を行わず、美食を追求していたなんてね……。			香りこそ命							
……ここまで来たら、言い訳はしません！教授のおっしゃるとおり、私は美食を追求していました！			……ここまで来たら、言い訳はしません！教授のおっしゃるとおり、私は美食を追求していました！			香りこそ命							
でも、ヘルスブレッドを食べて気持ち悪くなってしまうのは、消化の問題ではありません……単に不味いからです！			でも、ヘルスブレッドを食べて気持ち悪くなってしまうのは、消化の問題ではありません……単に不味いからです！			香りこそ命							
教授、騙されたと思って、私たちが味を改善した、試作品四号を一度、食べてみてください。			教授、騙されたと思って、私たちが味を改善した、試作品四号を一度、食べてみてください。			香りこそ命							
断る……。私は美食には微塵も興味がない、嫌悪すら感じるほどだ。			断る……。私は美食には微塵も興味がない、嫌悪すら感じるほどだ。			香りこそ命							
だが、その栄養価を分析させてもらうとしよう。そもそも、完全食として基準を満たしているかどうかをね……。			だが、その栄養価を分析させてもらうとしよう。そもそも、完全食として基準を満たしているかどうかをね……。			香りこそ命							
結論から言おう、君が作った試作品四号は不合格だ。重要な栄養素、「アスコルビン酸」が不足していた。これでは到底、完全食とは名乗れない。			結論から言おう、君が作った試作品四号は不合格だ。重要な栄養素、「アスコルビン酸」が不足していた。これでは到底、完全食とは名乗れない。			香りこそ命							
アスコルビン酸が不足すれば、人は壊血病になってしまう。特に、遠洋航海に出る船乗りに多い病気でね、有事の際にも注意が必要となる。			アスコルビン酸が不足すれば、人は壊血病になってしまう。特に、遠洋航海に出る船乗りに多い病気でね、有事の際にも注意が必要となる。			香りこそ命							
壊血病対策には柑橘類が良いとされるが、いつでもどこでも新鮮な柑橘類が採れるとは限らない。ゆえに完全食は、これを防ぐ力を持っていなければならん。			壊血病対策には柑橘類が良いとされるが、いつでもどこでも新鮮な柑橘類が採れるとは限らない。ゆえに完全食は、これを防ぐ力を持っていなければならん。			香りこそ命							
私はすでに、アスコルビン酸を添加することに成功している。ヘルスブレッドは完成したも同然だ。			私はすでに、アスコルビン酸を添加することに成功している。ヘルスブレッドは完成したも同然だ。			香りこそ命							
ど、どうやって、アスコルビン酸を添加するのですか……？			ど、どうやって、アスコルビン酸を添加するのですか……？			香りこそ命							
指示に背いた君に、研究成果を教えるわけにはいかない。デブロイ、残念だが君をこの任から解かせてもらう。			指示に背いた君に、研究成果を教えるわけにはいかない。デブロイ、残念だが君をこの任から解かせてもらう。			香りこそ命							
わかりました……。では、私は教授の力を借りずに完全食を完成させ、哲学者議会の品評会に提出し、採用を勝ち取ってみせますッ！			わかりました……。では、私は教授の力を借りずに完全食を完成させ、哲学者議会の品評会に提出し、採用を勝ち取ってみせますッ！			香りこそ命							
……おもしろい。			……おもしろい。			香りこそ命							
やれるものならば、やってみるがいい。			やれるものならば、やってみるがいい。			香りこそ命							
しかし、君の完全食が採用されなかった場合、研究費を私的流用した罪で、我がガルヴロッシュ研究室から……いや、シャーレアン魔法大学から追放させてもらうよ。			しかし、君の完全食が採用されなかった場合、研究費を私的流用した罪で、我がガルヴロッシュ研究室から……いや、シャーレアン魔法大学から追放させてもらうよ。			香りこそ命							
ガルヴロッシュ教授……ことがウチの従業員の将来に影響するってんなら、口を挟ませてもらうぞ。			ガルヴロッシュ教授……ことがウチの従業員の将来に影響するってんなら、口を挟ませてもらうぞ。			香りこそ命							
この店の設立者であるメルヴィンさんから聞いていたんだが……彼とあんたは、大学時代の同級生であり、親友同士だったんだろ？なのに、何故そんなにも美食を嫌うんだ？			この店の設立者であるメルヴィンさんから聞いていたんだが……彼とあんたは、大学時代の同級生であり、親友同士だったんだろ？なのに、何故そんなにも美食を嫌うんだ？			香りこそ命							
彼はとても優秀だった……。しかし、美食に傾倒し退学していった。			彼はとても優秀だった……。しかし、美食に傾倒し退学していった。			香りこそ命							
そして、こんな店を立ち上げた末に、早世した。美食の研究に没頭するあまり、健康を顧みることなく、試食と称して暴飲暴食を続けた結果だろう。			そして、こんな店を立ち上げた末に、早世した。美食の研究に没頭するあまり、健康を顧みることなく、試食と称して暴飲暴食を続けた結果だろう。			香りこそ命							
美食は敵だ。才能あふれる若者を惑わし、殺した、害毒なのだッ……！			美食は敵だ。才能あふれる若者を惑わし、殺した、害毒なのだッ……！			香りこそ命							
ほかに言いたいことがないのなら、これで失礼するよ。効率的に研究を進めなければ……。			ほかに言いたいことがないのなら、これで失礼するよ。効率的に研究を進めなければ……。			香りこそ命							
まさか、教授とメルヴィンさんが同級生で、しかも、親友だったなんて知りませんでした……。			まさか、教授とメルヴィンさんが同級生で、しかも、親友だったなんて知りませんでした……。			香りこそ命							
そして、教授の力を借りず完全食を作ると豪語しておいて、本当に心苦しいのですが……			そして、教授の力を借りず完全食を作ると豪語しておいて、本当に心苦しいのですが……			香りこそ命							
同志Forename！シャーレアンの食文化を護るためにも、どうか、引き続き協力をお願いいたします！			同志Forename！シャーレアンの食文化を護るためにも、どうか、引き続き協力をお願いいたします！			香りこそ命							
何と言う？			何と言う？			香りこそ命							
任せてくれ			任せてくれ			香りこそ命							
激マズ滅ぶべし……！			激マズ滅ぶべし……！			香りこそ命							
ありがとうございます！それでは、アスコルビン酸を添加する方法を探して、試作品五号を……いえ……			ありがとうございます！それでは、アスコルビン酸を添加する方法を探して、試作品五号を……いえ……			香りこそ命							
美食の普及に尽力したメルヴィンさんに因んで、私たちの完全食は、「メルヴィンブレッド」と命名しましょう。			美食の普及に尽力したメルヴィンさんに因んで、私たちの完全食は、「メルヴィンブレッド」と命名しましょう。			香りこそ命							
メルヴィンブレッドを完成させるため、どうかこれからもご協力をお願いいたします！			メルヴィンブレッドを完成させるため、どうかこれからもご協力をお願いいたします！			香りこそ命							
医学部の貢献ランクが上昇しました！デブロイはあなたの事を、「掛け替えのない職人さん」と感じているようです！			医学部の貢献ランクが上昇しました！デブロイはあなたの事を、「掛け替えのない職人さん」と感じているようです！			香りこそ命							
また、「デブロイ」から受注可能な、シャーレアン魔法大学取引のストーリークエストが発行されました！			また、「デブロイ」から受注可能な、シャーレアン魔法大学取引のストーリークエストが発行されました！			香りこそ命							
次のクエストを進行するためには、「メインクエスト：暁月のフィナーレ」の、「暗闇を彩りながら」を完了する必要があります。			次のクエストを進行するためには、「メインクエスト：暁月のフィナーレ」の、「暗闇を彩りながら」を完了する必要があります。			香りこそ命							
工匠殿のルルシャは、気になる部品があるようだ。			工匠殿のルルシャは、気になる部品があるようだ。			投資されるべき研究							
ルルシャから部品の製作を依頼された。「黄金の動力部品」を6個製作し、工匠殿の「ルルシャ」へ納品しよう。※納品は、収集価値「150」以上で可能となりますが、「320」以上で納品した場合、より多くの報酬が得られます。			ルルシャから部品の製作を依頼された。「黄金の動力部品」を6個製作し、工匠殿の「ルルシャ」へ納品しよう。※納品は、収集価値「150」以上で可能となりますが、「320」以上で納品した場合、より多くの報酬が得られます。			投資されるべき研究							
ルルシャに「黄金の動力部品」を納品した。心核の素材が届くのを待つ間、さらに腕を磨いておこう。			ルルシャに「黄金の動力部品」を納品した。心核の素材が届くのを待つ間、さらに腕を磨いておこう。			投資されるべき研究							
ルルシャに黄金の動力部品を納品			ルルシャに黄金の動力部品を納品			投資されるべき研究							
あらあら、Forenameさん！忙しいでしょうに、顔を出してくれて嬉しいわ。			あらあら、Forenameさん！忙しいでしょうに、顔を出してくれて嬉しいわ。			投資されるべき研究							
ちゃんとご飯は食べているかしら、睡眠もしっかりとるのよ？うちの学生には、不摂生が祟って倒れる子もいるから、あなたも気をつけてちょうだいねぇ。			ちゃんとご飯は食べているかしら、睡眠もしっかりとるのよ？うちの学生には、不摂生が祟って倒れる子もいるから、あなたも気をつけてちょうだいねぇ。			投資されるべき研究							
……なんて、余計なお世話だったら、ごめんなさい。お婆ちゃん、ついつい心配になっちゃって。			……なんて、余計なお世話だったら、ごめんなさい。お婆ちゃん、ついつい心配になっちゃって。			投資されるべき研究							
雑談はこのくらいで、そろそろ修復のお話をしましょうねぇ。前回、歯車を交換しただけではダメだったわけだけど、その要因を調べてみたの。			雑談はこのくらいで、そろそろ修復のお話をしましょうねぇ。前回、歯車を交換しただけではダメだったわけだけど、その要因を調べてみたの。			投資されるべき研究							
故障の原因として考えられるのは、動力源である心核と、それを支える動力部品なのだけれど……			故障の原因として考えられるのは、動力源である心核と、それを支える動力部品なのだけれど……			投資されるべき研究							
心核の素材は、俺のほうで調べておきました！でも、これがまた流通量の少ない、稀少な鉱石でして……			心核の素材は、俺のほうで調べておきました！でも、これがまた流通量の少ない、稀少な鉱石でして……			投資されるべき研究							
折悪く、手すきのグリーナーがつかまらなかったんで、港に出入りしている商人さんへお願いをして、取り寄せることにしたんですよ～。			折悪く、手すきのグリーナーがつかまらなかったんで、港に出入りしている商人さんへお願いをして、取り寄せることにしたんですよ～。			投資されるべき研究							
そういうわけでね、調達には少し時間がかかりそうだから、動力部品のほうから進めようと思っているの。			そういうわけでね、調達には少し時間がかかりそうだから、動力部品のほうから進めようと思っているの。			投資されるべき研究							
お願いしたいのは、動力源である心核を支える動力部品よ。			お願いしたいのは、動力源である心核を支える動力部品よ。			投資されるべき研究							
はぁぁ……複雑な部品ですから、正確に再現できるといいんですけど～。			はぁぁ……複雑な部品ですから、正確に再現できるといいんですけど～。			投資されるべき研究							
最近、いろいろと心配事が多いから、眠る前の「今日のひとり反省会」が長引いちゃって……。どうにか寝ようと、羊を1億頭まで数えたら朝になってましたよ。			最近、いろいろと心配事が多いから、眠る前の「今日のひとり反省会」が長引いちゃって……。どうにか寝ようと、羊を1億頭まで数えたら朝になってましたよ。			投資されるべき研究							
あらまあ！それは困ったわねぇ……。			あらまあ！それは困ったわねぇ……。			投資されるべき研究							
ボリックの安眠のためにも、今回は「黄金の動力部品」の準備をお願いできる？			ボリックの安眠のためにも、今回は「黄金の動力部品」の準備をお願いできる？			投資されるべき研究							
あの商人に頼んでよかったのか、心配で……。高値をふっかけられて、交渉が大変だったんですよ～。			あの商人に頼んでよかったのか、心配で……。高値をふっかけられて、交渉が大変だったんですよ～。			投資されるべき研究							
ボリックがゆっくり安眠できるように、今回は「黄金の動力部品」の準備をお願いね。			ボリックがゆっくり安眠できるように、今回は「黄金の動力部品」の準備をお願いね。			投資されるべき研究							
部品を作ってくれて、ありがとうねぇ。これならきっと、心核のぐらつきも改善するわ。			部品を作ってくれて、ありがとうねぇ。これならきっと、心核のぐらつきも改善するわ。			投資されるべき研究							
部品を作ってくれて、ありがとうねぇ。あなたの作る部品は高品質で、安心感があるわ。これなら、しっかりと固定することができそうよ。			部品を作ってくれて、ありがとうねぇ。あなたの作る部品は高品質で、安心感があるわ。これなら、しっかりと固定することができそうよ。			投資されるべき研究							
動力部品の交換で、内部もかなり安定したわ。心核の交換はまだだけれど、起動するか試してみましょうねぇ。			動力部品の交換で、内部もかなり安定したわ。心核の交換はまだだけれど、起動するか試してみましょうねぇ。			投資されるべき研究							
黄金のチャタ号が、以前よりも動くようになった！心核を交換すれば、うまく起動するだろうか……？			黄金のチャタ号が、以前よりも動くようになった！心核を交換すれば、うまく起動するだろうか……？			投資されるべき研究							
少しずつではあるけれど、よくなってきているのがわかるわねぇ。あとは、心核の素材が届くのを待つばかりだわ。			少しずつではあるけれど、よくなってきているのがわかるわねぇ。あとは、心核の素材が届くのを待つばかりだわ。			投資されるべき研究							
(-苛立った声-)まだ、そんなガラクタの修復なんかしているのか！！			(-苛立った声-)まだ、そんなガラクタの修復なんかしているのか！！			投資されるべき研究							
無駄な作業は、即刻中止するようにと伝えたはずだぞ！未知言語の解読という、私の素晴らしい研究にこそ、資金を集中させるべきだというのにっ……！			無駄な作業は、即刻中止するようにと伝えたはずだぞ！未知言語の解読という、私の素晴らしい研究にこそ、資金を集中させるべきだというのにっ……！			投資されるべき研究							
そこのどんくさい助手よ！君だって、現状に不安を覚えているのではないか？行く先々で、ルルシャ教授への不満を聞かされているだろうに！			そこのどんくさい助手よ！君だって、現状に不安を覚えているのではないか？行く先々で、ルルシャ教授への不満を聞かされているだろうに！			投資されるべき研究							
いや～……。ええと、それはその～……。			いや～……。ええと、それはその～……。			投資されるべき研究							
た、確かにこの遺物は玩具に見えます！けどっ……それでも、俺は教授の助手として、これを修復する意義があると信じたいんですっ……！			た、確かにこの遺物は玩具に見えます！けどっ……それでも、俺は教授の助手として、これを修復する意義があると信じたいんですっ……！			投資されるべき研究							
そこの君……あのキィ・アリアポーに見込まれたというのなら、それなりに腕は立つのだろう？			そこの君……あのキィ・アリアポーに見込まれたというのなら、それなりに腕は立つのだろう？			投資されるべき研究							
だというのに……絶望的に仕事選びができないようだ！有益な仕事を選ばねば、その技術は腐るだけだぞ！			だというのに……絶望的に仕事選びができないようだ！有益な仕事を選ばねば、その技術は腐るだけだぞ！			投資されるべき研究							
何と言う？			何と言う？			投資されるべき研究							
やりがいのある仕事だと思っている			やりがいのある仕事だと思っている			投資されるべき研究							
お給料がよかったので、つい……			お給料がよかったので、つい……			投資されるべき研究							
…………			…………			投資されるべき研究							
そろいもそろって、呆れたものだな。いつまでも、そんなことをしていられるとは思うなよ！			そろいもそろって、呆れたものだな。いつまでも、そんなことをしていられるとは思うなよ！			投資されるべき研究							
あらあら、すごい剣幕ねぇ……。			あらあら、すごい剣幕ねぇ……。			投資されるべき研究							
気分を悪くしたのなら、ごめんなさいね？それでも今は、できることを着実にやっていくしかないわ。心核を交換すれば、動いてくれるかもしれないもの。			気分を悪くしたのなら、ごめんなさいね？それでも今は、できることを着実にやっていくしかないわ。心核を交換すれば、動いてくれるかもしれないもの。			投資されるべき研究							
どうかこれに懲りずに、また力を貸してちょうだいね。			どうかこれに懲りずに、また力を貸してちょうだいね。			投資されるべき研究							
考古学部の貢献ランクが上昇しました！ルルシャはあなたの事を、「遺物修復の大黒柱」と感じているようです！			考古学部の貢献ランクが上昇しました！ルルシャはあなたの事を、「遺物修復の大黒柱」と感じているようです！			投資されるべき研究							
また、「ルルシャ」から受注可能な、シャーレアン魔法大学取引のストーリークエストが発行されました！			また、「ルルシャ」から受注可能な、シャーレアン魔法大学取引のストーリークエストが発行されました！			投資されるべき研究							
選者殿のヒナゲシは、研究に熱中しているようだ。			選者殿のヒナゲシは、研究に熱中しているようだ。			極限環境の女							
ヒナゲシから研究対象の採集を依頼された。「極限文化の必需品」を6個、採集し、選者殿の「ヒナゲシ」へ納品しよう。「極限文化の必需品」は、採掘師の場合は嘆きの海の霊土の剣付近で、園芸師の場合は嘆きの海のヘイムダル級観察艇の残骸付近で採集できる。※納品は、収集価値「240」以上で可能となりますが、「600」以上で納品した場合、より多くの報酬が得られます。			ヒナゲシから研究対象の採集を依頼された。「極限文化の必需品」を6個、採集し、選者殿の「ヒナゲシ」へ納品しよう。「極限文化の必需品」は、採掘師の場合は嘆きの海の霊土の剣付近で、園芸師の場合は嘆きの海のヘイムダル級観察艇の残骸付近で採集できる。※納品は、収集価値「240」以上で可能となりますが、「600」以上で納品した場合、より多くの報酬が得られます。			極限環境の女							
ヒナゲシに「極限文化の必需品」を納品した。さらなる文化研究のため、準備が整い次第ふたたびヒナゲシに声をかけよう。			ヒナゲシに「極限文化の必需品」を納品した。さらなる文化研究のため、準備が整い次第ふたたびヒナゲシに声をかけよう。			極限環境の女							
霊土の剣付近で採集した極限文化の必需品をヒナゲシに納品ヘイムダル級観察艇の残骸付近で採集した極限文化の必需品をヒナゲシに納品採掘師または園芸師になり極限文化の必需品をヒナゲシに納品			霊土の剣付近で採集した極限文化の必需品をヒナゲシに納品ヘイムダル級観察艇の残骸付近で採集した極限文化の必需品をヒナゲシに納品採掘師または園芸師になり極限文化の必需品をヒナゲシに納品			極限環境の女							
本クエストを進行するためには、「メインクエスト：暁月のフィナーレ」の「月を繰る者たち」を完了する必要があります。			本クエストを進行するためには、「メインクエスト：暁月のフィナーレ」の「月を繰る者たち」を完了する必要があります。			極限環境の女							
