モモディは冒険者に依頼人を紹介したいようだ。			モモディは冒険者に依頼人を紹介したいようだ。			カッパーベルで消える夢							
君の地下迷宮への習熟具合は、我ら調査隊の誰よりも上……。引き続き地下迷宮に赴き、更なる深淵へと至る道を探し出し、「魔術師」の凶行を食い止めてほしい……！			君の地下迷宮への習熟具合は、我ら調査隊の誰よりも上……。引き続き地下迷宮に赴き、更なる深淵へと至る道を探し出し、「魔術師」の凶行を食い止めてほしい……！			深淵へ続く地下迷宮							
君にばかり、無理を強いてすまないな……。エ・ウナ様も我ら鬼哭隊も、君への尽力は惜しまない所存だ。森の全域に「魔術師」の脅威が及ぶ前に、どうか頼んだぞ！			君にばかり、無理を強いてすまないな……。エ・ウナ様も我ら鬼哭隊も、君への尽力は惜しまない所存だ。森の全域に「魔術師」の脅威が及ぶ前に、どうか頼んだぞ！			深淵へ続く地下迷宮							
ディープダンジョン「死者の宮殿」の、「B51」以降に挑戦できるようになりました。引き続き、「鬼哭隊の調査隊長」から挑戦が可能です。			ディープダンジョン「死者の宮殿」の、「B51」以降に挑戦できるようになりました。引き続き、「鬼哭隊の調査隊長」から挑戦が可能です。			深淵へ続く地下迷宮							
地下迷宮の探索には、相当の危険が伴う……。こうして出向いてくれたことは感謝するが、まずは、戦闘の身支度を整えてもらえるかね？			地下迷宮の探索には、相当の危険が伴う……。こうして出向いてくれたことは感謝するが、まずは、戦闘の身支度を整えてもらえるかね？			深淵へ続く地下迷宮							
本クエストを進行するためには、現在のクラス・ジョブが、リミテッドジョブを除く、レベル17以上の、ファイターかソーサラーである必要があります。			本クエストを進行するためには、現在のクラス・ジョブが、リミテッドジョブを除く、レベル17以上の、ファイターかソーサラーである必要があります。			深淵へ続く地下迷宮							
「暁の血盟」のミンフィリアは、冒険者の協力を待ち望んでいるようだ。			「暁の血盟」のミンフィリアは、冒険者の協力を待ち望んでいるようだ。			キャンプ・ドライボーンへ							
ミンフィリアに合言葉を伝え、「暁の血盟」への協力を了承した。「暁の血盟」は、Forenameやミンフィリアのような能力者と、エオルゼアを守るために活動する賢人たちから構成されているらしい。Forenameは、賢人たちのひとり「サンクレッド」とともに、ある2つの事件を調査するようミンフィリアから頼まれた。まずは「サンクレッド」と話をしてみよう。			ミンフィリアに合言葉を伝え、「暁の血盟」への協力を了承した。「暁の血盟」は、Forenameやミンフィリアのような能力者と、エオルゼアを守るために活動する賢人たちから構成されているらしい。Forenameは、賢人たちのひとり「サンクレッド」とともに、ある2つの事件を調査するようミンフィリアから頼まれた。まずは「サンクレッド」と話をしてみよう。			キャンプ・ドライボーンへ							
いずれも犯人はアマルジャ族と推測される「クリスタル強奪事件」と「貧民誘拐事件」。サンクレッドの推測では、2つの事件の根は同じところにあるのだという。貧民誘拐事件は、特にキャンプ・ドライボーンで多発しているらしい。キャンプ・ドライボーンの「イセムバード」に話しかけよう。			いずれも犯人はアマルジャ族と推測される「クリスタル強奪事件」と「貧民誘拐事件」。サンクレッドの推測では、2つの事件の根は同じところにあるのだという。貧民誘拐事件は、特にキャンプ・ドライボーンで多発しているらしい。キャンプ・ドライボーンの「イセムバード」に話しかけよう。			キャンプ・ドライボーンへ							
イセムバードは、冒険者たちに協力してくれるらしい。さっそく彼から話を聞いて、近辺の調査に乗り出そう。			イセムバードは、冒険者たちに協力してくれるらしい。さっそく彼から話を聞いて、近辺の調査に乗り出そう。			キャンプ・ドライボーンへ							
サンクレッドと話す			サンクレッドと話す			キャンプ・ドライボーンへ							
キャンプ・ドライボーンのイセムバードと話す			キャンプ・ドライボーンのイセムバードと話す			キャンプ・ドライボーンへ							
「暁の血盟」は、エオルゼア救済のため蛮神問題に取り組んでいるの。			「暁の血盟」は、エオルゼア救済のため蛮神問題に取り組んでいるの。			キャンプ・ドライボーンへ							
平坦な道ではないけれど、あなたにも利があるはず。いい返事を期待しているわ。			平坦な道ではないけれど、あなたにも利があるはず。いい返事を期待しているわ。			キャンプ・ドライボーンへ							
ミンフィリアに合言葉を告げる？			ミンフィリアに合言葉を告げる？			キャンプ・ドライボーンへ							
「のばら」			「のばら」			キャンプ・ドライボーンへ							
「ゆうき」			「ゆうき」			キャンプ・ドライボーンへ							
「ざせつ」			「ざせつ」			キャンプ・ドライボーンへ							
キャンセル			キャンセル			キャンプ・ドライボーンへ							
ええ、わたしたちの活動には勇気がいるわ。その心意気、とってもいいわね。			ええ、わたしたちの活動には勇気がいるわ。その心意気、とってもいいわね。			キャンプ・ドライボーンへ							
そ、そう……。あなたにも、いろいろあったのね……。			そ、そう……。あなたにも、いろいろあったのね……。			キャンプ・ドライボーンへ							
フフ、さっそく使っているわね。協力してくれると受け取っていいのかしら？			フフ、さっそく使っているわね。協力してくれると受け取っていいのかしら？			キャンプ・ドライボーンへ							
よかった、ありがとう！きっと協力してくれると思っていたの！			よかった、ありがとう！きっと協力してくれると思っていたの！			キャンプ・ドライボーンへ							
ごめんなさい……。エオルゼアのために戦ってくれたあなたを、こんな扱いにするなんて……。			ごめんなさい……。エオルゼアのために戦ってくれたあなたを、こんな扱いにするなんて……。			キャンプ・ドライボーンへ							
なぜ、みんなの記憶がないのか、理由は定かではないの。賢者ルイゾワが呼び出した、「十二神」の力の影響なのかもしれない……。			なぜ、みんなの記憶がないのか、理由は定かではないの。賢者ルイゾワが呼び出した、「十二神」の力の影響なのかもしれない……。			キャンプ・ドライボーンへ							
でも、きっと何かきっかけがあれば、みんな、あなたを思い出すはず。……本来は、あるべき記憶なんだもの……。			でも、きっと何かきっかけがあれば、みんな、あなたを思い出すはず。……本来は、あるべき記憶なんだもの……。			キャンプ・ドライボーンへ							
ありがとう……。			ありがとう……。			キャンプ・ドライボーンへ							
では、改めて「暁の血盟」の仲間たちを紹介しなきゃ。			では、改めて「暁の血盟」の仲間たちを紹介しなきゃ。			キャンプ・ドライボーンへ							
シャーレアン……という言葉に、聞き覚えはあるかしら？			シャーレアン……という言葉に、聞き覚えはあるかしら？			キャンプ・ドライボーンへ							
エオルゼア六大都市の1つで、アルデナード小大陸の北西にある都市国家よ。いえ、正確には「あった」というべきかしらね。			エオルゼア六大都市の1つで、アルデナード小大陸の北西にある都市国家よ。いえ、正確には「あった」というべきかしらね。			キャンプ・ドライボーンへ							
彼らは、古の知に精通し、エーテル学や魔法の分野では帝国さえ凌駕する知識と技術をもっていたの。			彼らは、古の知に精通し、エーテル学や魔法の分野では帝国さえ凌駕する知識と技術をもっていたの。			キャンプ・ドライボーンへ							
そんなシャーレアンの中で、賢人と呼ばれる人々が結成したのが、救世詩盟。			そんなシャーレアンの中で、賢人と呼ばれる人々が結成したのが、救世詩盟。			キャンプ・ドライボーンへ							
エオルゼアが、滅亡から逃れる希望があると信じて、この地に残って活動してくれた集団よ。ほかの住民は、北洋の本国に帰ってしまったけどね。			エオルゼアが、滅亡から逃れる希望があると信じて、この地に残って活動してくれた集団よ。ほかの住民は、北洋の本国に帰ってしまったけどね。			キャンプ・ドライボーンへ							
彼らが、そのシャーレアンの賢人たち。			彼らが、そのシャーレアンの賢人たち。			キャンプ・ドライボーンへ							
彼女がイダ。隣が、パパリモよ。2人とも、森の都グリダニアの調査を担当しているわ。			彼女がイダ。隣が、パパリモよ。2人とも、森の都グリダニアの調査を担当しているわ。			キャンプ・ドライボーンへ							
よろしくね！			よろしくね！			キャンプ・ドライボーンへ							
よろしく！			よろしく！			キャンプ・ドライボーンへ							
君なら協力してくれると信じていたよ。			君なら協力してくれると信じていたよ。			キャンプ・ドライボーンへ							
あたしもね！			あたしもね！			キャンプ・ドライボーンへ							
つぎ！彼は、サンクレッド！			つぎ！彼は、サンクレッド！			キャンプ・ドライボーンへ							
ここ、砂の都ウルダハの調査の担当者だ。			ここ、砂の都ウルダハの調査の担当者だ。			キャンプ・ドライボーンへ							
よろしくな！			よろしくな！			キャンプ・ドライボーンへ							
協力してくれると信じてたぜ！			協力してくれると信じてたぜ！			キャンプ・ドライボーンへ							
彼女は、ヤ・シュトラだ。海の都リムサ・ロミンサの調査の担当をしている。			彼女は、ヤ・シュトラだ。海の都リムサ・ロミンサの調査の担当をしている。			キャンプ・ドライボーンへ							
よろしくね。			よろしくね。			キャンプ・ドライボーンへ							
待っていたわ。			待っていたわ。			キャンプ・ドライボーンへ							
最後に、彼はウリエンジェ・オギュレ。この本部の執務長よ。困ったことがあったら、彼に聞くといいわ。			最後に、彼はウリエンジェ・オギュレ。この本部の執務長よ。困ったことがあったら、彼に聞くといいわ。			キャンプ・ドライボーンへ							
月明輝けども　必ずや暁迎えん……。			月明輝けども　必ずや暁迎えん……。			キャンプ・ドライボーンへ							
わが友の言葉……。この出会いに感謝を。			わが友の言葉……。この出会いに感謝を。			キャンプ・ドライボーンへ							
我々は、5年前の「カルテノーの戦い」で痛手を負い、指導者を失った……。			我々は、5年前の「カルテノーの戦い」で痛手を負い、指導者を失った……。			キャンプ・ドライボーンへ							
そして、我々と歩みを共にしていたミンフィリアたちと、「暁の血盟」を結成したの。			そして、我々と歩みを共にしていたミンフィリアたちと、「暁の血盟」を結成したの。			キャンプ・ドライボーンへ							
……このように、能力者とシャーレアンの賢人を中心に、「暁の血盟」は多くの盟員で構成されているわ。			……このように、能力者とシャーレアンの賢人を中心に、「暁の血盟」は多くの盟員で構成されているわ。			キャンプ・ドライボーンへ							
そして彼女……。受付や事務処理を担当している、タタルさんよ。			そして彼女……。受付や事務処理を担当している、タタルさんよ。			キャンプ・ドライボーンへ							
よろしくでっす！			よろしくでっす！			キャンプ・ドライボーンへ							
みんなで、仲良くやっていきましょう！			みんなで、仲良くやっていきましょう！			キャンプ・ドライボーンへ							
さてと……。			さてと……。			キャンプ・ドライボーンへ							
早速だけど、頼みがあるの！			早速だけど、頼みがあるの！			キャンプ・ドライボーンへ							
ウリエンジェさん。バルデシオン委員会からの資料は届いてる？			ウリエンジェさん。バルデシオン委員会からの資料は届いてる？			キャンプ・ドライボーンへ							
ええ、こちらに。			ええ、こちらに。			キャンプ・ドライボーンへ							
ウルダハのグランドカンパニー「不滅隊」から、ある事件への協力要請があったの。			ウルダハのグランドカンパニー「不滅隊」から、ある事件への協力要請があったの。			キャンプ・ドライボーンへ							
サンクレッド。説明をお願いできるかしら。			サンクレッド。説明をお願いできるかしら。			キャンプ・ドライボーンへ							
事件の概要はこうだ。			事件の概要はこうだ。			キャンプ・ドライボーンへ							
ナナワ銀山で採掘されたクリスタルを運ぶアマジナ鉱山社系のキャラバンが襲撃された。			ナナワ銀山で採掘されたクリスタルを運ぶアマジナ鉱山社系のキャラバンが襲撃された。			キャンプ・ドライボーンへ							
それだけじゃない。時を同じくして、ウルダハ近辺の貧民窟から、幾人もの人が消えている。			それだけじゃない。時を同じくして、ウルダハ近辺の貧民窟から、幾人もの人が消えている。			キャンプ・ドライボーンへ							
クリスタル強奪事件と、誘拐事件ってところね。			クリスタル強奪事件と、誘拐事件ってところね。			キャンプ・ドライボーンへ							
本来、こういった事件は、治安維持も務めるグランドカンパニーの仕事だわ。			本来、こういった事件は、治安維持も務めるグランドカンパニーの仕事だわ。			キャンプ・ドライボーンへ							
でも、この事件……。おそらく蛮神が絡んでいる。			でも、この事件……。おそらく蛮神が絡んでいる。			キャンプ・ドライボーンへ							
現場に残っていた手口。おそらく、首謀者はウルダハに棲むアマルジャ族だ。			現場に残っていた手口。おそらく、首謀者はウルダハに棲むアマルジャ族だ。			キャンプ・ドライボーンへ							
アマルジャ族には、クリスタルを強奪したり、人を誘拐する理由がある。それこそが蛮神関連ってわけだ。			アマルジャ族には、クリスタルを強奪したり、人を誘拐する理由がある。それこそが蛮神関連ってわけだ。			キャンプ・ドライボーンへ							
あなたに「蛮神問題」を理解してもらうためにも、この事件に関わってほしいの。			あなたに「蛮神問題」を理解してもらうためにも、この事件に関わってほしいの。			キャンプ・ドライボーンへ							
ありがとう！			ありがとう！			キャンプ・ドライボーンへ							
ウルダハの事情には、担当でもある、サンクレッドが詳しいわ。彼にあなたを支援してもらいます。			ウルダハの事情には、担当でもある、サンクレッドが詳しいわ。彼にあなたを支援してもらいます。			キャンプ・ドライボーンへ							
俺に任せてくれ！よろしくな！			俺に任せてくれ！よろしくな！			キャンプ・ドライボーンへ							
よし、さっそく事件の調査に入ろう。よろしくな、Surname！			よし、さっそく事件の調査に入ろう。よろしくな、Surname！			キャンプ・ドライボーンへ							
今回の「クリスタル強奪事件」と「誘拐事件」……この2つは、必ず関係している。			今回の「クリスタル強奪事件」と「誘拐事件」……この2つは、必ず関係している。			キャンプ・ドライボーンへ							
片方の事件を調べていけば、もう一方の事件の真相も、おのずと明らかになるはず。			片方の事件を調べていけば、もう一方の事件の真相も、おのずと明らかになるはず。			キャンプ・ドライボーンへ							
クリスタル強奪事件については、アマジナ鉱山社が、護衛を増やして対処するそうだ。			クリスタル強奪事件については、アマジナ鉱山社が、護衛を増やして対処するそうだ。			キャンプ・ドライボーンへ							
だから俺たちは、貧民の誘拐事件を追おう。			だから俺たちは、貧民の誘拐事件を追おう。			キャンプ・ドライボーンへ							
今のところ解っているのは、東ザナラーンの「キャンプ・ドライボーン」近辺で特に行方不明者が多いってことだけだ。			今のところ解っているのは、東ザナラーンの「キャンプ・ドライボーン」近辺で特に行方不明者が多いってことだけだ。			キャンプ・ドライボーンへ							
となれば、現地で情報収集しかないだろ？キャンプ・ドライボーンの顔役「イセムバード」から話を聞いてみるとしようじゃないか。			となれば、現地で情報収集しかないだろ？キャンプ・ドライボーンの顔役「イセムバード」から話を聞いてみるとしようじゃないか。			キャンプ・ドライボーンへ							
ああ、私がイセムバードだ。君は……誘拐事件を追っている冒険者だな？			ああ、私がイセムバードだ。君は……誘拐事件を追っている冒険者だな？			キャンプ・ドライボーンへ							
ミンフィリア君から話は聞いている。彼女とは、ちょっとした付き合いがあってね。			ミンフィリア君から話は聞いている。彼女とは、ちょっとした付き合いがあってね。			キャンプ・ドライボーンへ							
アマルジャ族に警戒しろ、とも言われているよ。なんでも、誘拐事件の犯人だそうじゃないか。			アマルジャ族に警戒しろ、とも言われているよ。なんでも、誘拐事件の犯人だそうじゃないか。			キャンプ・ドライボーンへ							
私もドライボーンの顔役として、事件解決への協力は惜しまないつもりだ。調査に入るときには、声をかけてくれ。			私もドライボーンの顔役として、事件解決への協力は惜しまないつもりだ。調査に入るときには、声をかけてくれ。			キャンプ・ドライボーンへ							
キャンプ・ドライボーンの顔役イセムバードは、行方不明事件について調査に協力してくれるようだ。			キャンプ・ドライボーンの顔役イセムバードは、行方不明事件について調査に協力してくれるようだ。			干からびた骨							
イセムバードは、近辺のアマルジャ被害を知ることを勧めている。つい先ほど、アマルジャ族が墓参り客を殺したらしい。アマルジャ族の残党が近くにいる可能性があるが、「無残な遺体」を弔うために回収しにいこう。			イセムバードは、近辺のアマルジャ被害を知ることを勧めている。つい先ほど、アマルジャ族が墓参り客を殺したらしい。アマルジャ族の残党が近くにいる可能性があるが、「無残な遺体」を弔うために回収しにいこう。			干からびた骨							
無残な遺体を回収した。「キャンプ・ドライボーン」に戻り「イセムバード」に渡そう。			無残な遺体を回収した。「キャンプ・ドライボーン」に戻り「イセムバード」に渡そう。			干からびた骨							
アマルジャ族は人目につくため、隠れて人をさらうのは難しい。イセムバードは、どこかに共謀者がいる可能性を考えているようだ。			アマルジャ族は人目につくため、隠れて人をさらうのは難しい。イセムバードは、どこかに共謀者がいる可能性を考えているようだ。			干からびた骨							
無残な遺体を回収する			無残な遺体を回収する			干からびた骨							
イセムバードに無残な遺体を渡す			イセムバードに無残な遺体を渡す			干からびた骨							
さっそく調査に入るのだな。それではまず、ミンフィリアが「犯人」と言い切っている、近辺のアマルジャ族について調べてみたらどうだ？			さっそく調査に入るのだな。それではまず、ミンフィリアが「犯人」と言い切っている、近辺のアマルジャ族について調べてみたらどうだ？			干からびた骨							
この辺りは、元々アマルジャ族の被害が多いのだ。不滅隊が警備に当たっているが、止められぬ悲劇も多い。			この辺りは、元々アマルジャ族の被害が多いのだ。不滅隊が警備に当たっているが、止められぬ悲劇も多い。			干からびた骨							
先刻も、聖アダマ・ランダマ教会への墓参り客が襲撃され、無残にも殺されてしまったと報せが入った。			先刻も、聖アダマ・ランダマ教会への墓参り客が襲撃され、無残にも殺されてしまったと報せが入った。			干からびた骨							
遺体がモングレルのエサになってしまう前に、回収してやりたいところだが……まだアマルジャ族がうろついてるかもしれん。			遺体がモングレルのエサになってしまう前に、回収してやりたいところだが……まだアマルジャ族がうろついてるかもしれん。			干からびた骨							
不滅隊に頼んでも良いのだが、君も腕が立つのだろう。東の街道で「無残な遺体」を回収してきてくれないか？			不滅隊に頼んでも良いのだが、君も腕が立つのだろう。東の街道で「無残な遺体」を回収してきてくれないか？			干からびた骨							
アマルジャ族を間近で見て、何か事件に気づくこともあるかもしれないぞ。			アマルジャ族を間近で見て、何か事件に気づくこともあるかもしれないぞ。			干からびた骨							
「無残な遺体」の回収はできたか。			「無残な遺体」の回収はできたか。			干からびた骨							
……これで彼らの魂も救われるだろう。遺体は私のほうで、埋葬の手続きをしておく。			……これで彼らの魂も救われるだろう。遺体は私のほうで、埋葬の手続きをしておく。			干からびた骨							
ところで、君はアマルジャ族を見て思わなかったか？あの目立つ姿で、貧民をどのようにさらっているのかと。			ところで、君はアマルジャ族を見て思わなかったか？あの目立つ姿で、貧民をどのようにさらっているのかと。			干からびた骨							
貧民はまるで、煙のように消えていくのだ。大きな声では言えぬが、例の行方不明者の事件……。他に「共謀者」がいるかもしれんぞ。			貧民はまるで、煙のように消えていくのだ。大きな声では言えぬが、例の行方不明者の事件……。他に「共謀者」がいるかもしれんぞ。			干からびた骨							
ここ、キャンプ・ドライボーンは墓場が近い。遺体の埋葬のため、いろんな奴が立ち寄っては去っていく。			ここ、キャンプ・ドライボーンは墓場が近い。遺体の埋葬のため、いろんな奴が立ち寄っては去っていく。			干からびた骨							
顔役の私も、訪れる者の顔を全て覚えているわけではない。アマルジャ族に貧民を引き渡すような怪しい奴がいても、特定するのは難しいだろう……。			顔役の私も、訪れる者の顔を全て覚えているわけではない。アマルジャ族に貧民を引き渡すような怪しい奴がいても、特定するのは難しいだろう……。			干からびた骨							
敵の気配を感じた！！			敵の気配を感じた！！			干からびた骨							
