モルド・スークのケリッグは、テイナーの修行について悩んでいるようだ。			モルド・スークのケリッグは、テイナーの修行について悩んでいるようだ。			がんばれ、テイナー							
指定地点で見渡す			指定地点で見渡す			クイックウェイを遡って							
2箇所目の指定地点で見渡す			2箇所目の指定地点で見渡す			クイックウェイを遡って							
アリゼーと話す			アリゼーと話す			クイックウェイを遡って							
アリゼーと再度話す			アリゼーと再度話す			クイックウェイを遡って							
アミティーの皆が、警戒をといてくれたようだね。グルグ火山について、聞き込みをしてみるよ。			アミティーの皆が、警戒をといてくれたようだね。グルグ火山について、聞き込みをしてみるよ。			クイックウェイを遡って							
話の流れからして、あなたとアルフィノが前に助けた人でしょ？本当、アルフィノったら、いつだって変わらないんだから……。			話の流れからして、あなたとアルフィノが前に助けた人でしょ？本当、アルフィノったら、いつだって変わらないんだから……。			クイックウェイを遡って							
しばらくは聞き込みがてら、積もる話もあるでしょうし、今のうちに私とあなたで、火山方面の偵察に行ってみない？深入りはしない程度に、近づいてみましょ。			しばらくは聞き込みがてら、積もる話もあるでしょうし、今のうちに私とあなたで、火山方面の偵察に行ってみない？深入りはしない程度に、近づいてみましょ。			クイックウェイを遡って							
ってことで、ちょっと出かけてくるわね！すぐ戻るから、聞き込みはよろしく。			ってことで、ちょっと出かけてくるわね！すぐ戻るから、聞き込みはよろしく。			クイックウェイを遡って							
えっ……あ、ああ、それは任されるが……くれぐれも気をつけるんだよ、ふたりとも。			えっ……あ、ああ、それは任されるが……くれぐれも気をつけるんだよ、ふたりとも。			クイックウェイを遡って							
すまないが、アリゼーのことを頼むよ。グルグ火山が敵の拠点であることは間違いない……少しでも危険を感じたら、引き返してきてくれ。			すまないが、アリゼーのことを頼むよ。グルグ火山が敵の拠点であることは間違いない……少しでも危険を感じたら、引き返してきてくれ。			クイックウェイを遡って							
ここで道が分かれてるわね……。今は少しでも多く、この土地について知りたいし、私は東、あなたは西に続く道に進むのはどう？			ここで道が分かれてるわね……。今は少しでも多く、この土地について知りたいし、私は東、あなたは西に続く道に進むのはどう？			クイックウェイを遡って							
最後は北側の、グルグ火山正面あたりで合流ね。道中、周りを見渡して、危険がないか確認しながら進んで。……それじゃあまた、火山前でね。			最後は北側の、グルグ火山正面あたりで合流ね。道中、周りを見渡して、危険がないか確認しながら進んで。……それじゃあまた、火山前でね。			クイックウェイを遡って							
罪喰いが飛来してきた！			罪喰いが飛来してきた！			クイックウェイを遡って							
君たちが発ったすぐあとに、ウリエンジェが水晶公を連れてアミティーに来たんだ。すれ違わなかったようで、よかったよ。			君たちが発ったすぐあとに、ウリエンジェが水晶公を連れてアミティーに来たんだ。すれ違わなかったようで、よかったよ。			クイックウェイを遡って							
先に偵察に行ってくれてたらしいな。それで、様子はどうだった……？			先に偵察に行ってくれてたらしいな。それで、様子はどうだった……？			クイックウェイを遡って							
大昇降機……ちょっと……いえ……とても怖かったです……。振動で床が抜けてしまうんじゃないかって……うぅ……。			大昇降機……ちょっと……いえ……とても怖かったです……。振動で床が抜けてしまうんじゃないかって……うぅ……。			クイックウェイを遡って							
あっ、だ、大丈夫です！もう地面の上なので、切り替えてがんばります……！			あっ、だ、大丈夫です！もう地面の上なので、切り替えてがんばります……！			クイックウェイを遡って							
このように、無事、そろっております。リーンには、少々酷な思いをさせてしまいましたが……。			このように、無事、そろっております。リーンには、少々酷な思いをさせてしまいましたが……。			クイックウェイを遡って							
上がってくるまで時間がかかってしまって、ごめんなさい。ちょうど水晶公が来たものだから、事情を話していたの。			上がってくるまで時間がかかってしまって、ごめんなさい。ちょうど水晶公が来たものだから、事情を話していたの。			クイックウェイを遡って							
……クリスタリウムを離れて平気なのかって？なに、老人とて、最後くらいは不調を押して張り切るものさ。街の方は、ライナたちに任せてきたよ。			……クリスタリウムを離れて平気なのかって？なに、老人とて、最後くらいは不調を押して張り切るものさ。街の方は、ライナたちに任せてきたよ。			クイックウェイを遡って							
ああ、我々のことは気にするな。			ああ、我々のことは気にするな。			クイックウェイを遡って							
あらあらまあまあ～！ブライトクリフ断崖の上は、こんな風になっていたのねぇ！			あらあらまあまあ～！ブライトクリフ断崖の上は、こんな風になっていたのねぇ！			クイックウェイを遡って							
…………あら？あのダイダロス社の夫妻は、どうしているのかしら。			…………あら？あのダイダロス社の夫妻は、どうしているのかしら。			クイックウェイを遡って							
まあいいわ、ひとまずこれで、全員ブライトクリフ断崖を越えられたわけね。			まあいいわ、ひとまずこれで、全員ブライトクリフ断崖を越えられたわけね。			クイックウェイを遡って							
次の目標は、ヴァウスリーの待つグルグ火山にたどり着くこと。さっきの調査の結果もふまえて、みんなの意見を聞いてみましょうよ。			次の目標は、ヴァウスリーの待つグルグ火山にたどり着くこと。さっきの調査の結果もふまえて、みんなの意見を聞いてみましょうよ。			クイックウェイを遡って							
ドワーフの洞窟前のコルットは、周囲を警戒している。			ドワーフの洞窟前のコルットは、周囲を警戒している。			ドヴェルグの煙突							
水晶公と話す			水晶公と話す			ドヴェルグの煙突							
水晶公と再度話す			水晶公と再度話す			ドヴェルグの煙突							
透明の状態でコグー一家のドワーフにドリームパウダーを使う			透明の状態でコグー一家のドワーフにドリームパウダーを使う			ドヴェルグの煙突							
水晶公と話す			水晶公と話す			ドヴェルグの煙突							
ふぅ……最後は間一髪だったな。無事でよかった、護衛おつかれさまだ。			ふぅ……最後は間一髪だったな。無事でよかった、護衛おつかれさまだ。			ドヴェルグの煙突							
ささ、おふたりとも、洞窟の奥へ！良質な硫黄が採れる、「ドヴェルグの煙突」にご案内するす！			ささ、おふたりとも、洞窟の奥へ！良質な硫黄が採れる、「ドヴェルグの煙突」にご案内するす！			ドヴェルグの煙突							
場所はここで間違いないす。あとは、問題の…………。			場所はここで間違いないす。あとは、問題の…………。			ドヴェルグの煙突							
うわっ、なんだ！？さては、トルー一家とつるんでる村の奴だろ！シッシッ！　よそ者は入ってくるな！			うわっ、なんだ！？さては、トルー一家とつるんでる村の奴だろ！シッシッ！　よそ者は入ってくるな！			ドヴェルグの煙突							
うわっ、なんだ！？同胞……じゃないよな、コグーの帽子を被ってないし……。シッシッ！　よそ者は入ってくるな！			うわっ、なんだ！？同胞……じゃないよな、コグーの帽子を被ってないし……。シッシッ！　よそ者は入ってくるな！			ドヴェルグの煙突							
ラリッ！？　な、な、な、何奴！？グラッグさまに報告せねば……！			ラリッ！？　な、な、な、何奴！？グラッグさまに報告せねば……！			ドヴェルグの煙突							
むむむ……？ずいぶんと変わった形のタロースが、迷い込んできてるなー？			むむむ……？ずいぶんと変わった形のタロースが、迷い込んできてるなー？			ドヴェルグの煙突							
むむむ……？こんな奴、仲間にいたっけなー……。コグーの帽子もしてない気がするし……タロース？			むむむ……？こんな奴、仲間にいたっけなー……。コグーの帽子もしてない気がするし……タロース？			ドヴェルグの煙突							
ここが、目的地らしいが……。			ここが、目的地らしいが……。			ドヴェルグの煙突							
あっ！　あれを見てください……！			あっ！　あれを見てください……！			ドヴェルグの煙突							
やっぱり……。ダサダサヒゲの「コグー一家」がいるす。			やっぱり……。ダサダサヒゲの「コグー一家」がいるす。			ドヴェルグの煙突							
こっちに気づいたら、邪魔してくるに違いないす。いっそ、やられる前に、やるしか……！			こっちに気づいたら、邪魔してくるに違いないす。いっそ、やられる前に、やるしか……！			ドヴェルグの煙突							
まあまあ、落ち着いてくれ。彼らとどんな因縁があるのかは知らないが、できることなら無益な被害は出したくない。			まあまあ、落ち着いてくれ。彼らとどんな因縁があるのかは知らないが、できることなら無益な被害は出したくない。			ドヴェルグの煙突							
私がお前に、姿を消す魔法をかけてあげよう。エーテルに引き寄せられてくる罪喰いには効果が薄いが、人の目であれば、欺けるはずだ。			私がお前に、姿を消す魔法をかけてあげよう。エーテルに引き寄せられてくる罪喰いには効果が薄いが、人の目であれば、欺けるはずだ。			ドヴェルグの煙突							
それが効いているうちに、「大地の種」を掘ってこられるかい？			それが効いているうちに、「大地の種」を掘ってこられるかい？			ドヴェルグの煙突							
お任せください！掘ることにかけてなら、速く、目ざとく、うまくできるす！とびきり上等な「大地の種」を手に入れてみせます！			お任せください！掘ることにかけてなら、速く、目ざとく、うまくできるす！とびきり上等な「大地の種」を手に入れてみせます！			ドヴェルグの煙突							
頼りにしているよ。では…………バニシュ！			頼りにしているよ。では…………バニシュ！			ドヴェルグの煙突							
わわ、本当に透明になった！それじゃあ、急いで掘ってくるすー！			わわ、本当に透明になった！それじゃあ、急いで掘ってくるすー！			ドヴェルグの煙突							
Forename、私たちでコルットの補佐をしよう。			Forename、私たちでコルットの補佐をしよう。			ドヴェルグの煙突							
コルットの姿は消せるが、音で気づかれる可能性も考えると、コグー一家には、できるだけこの場から退いてもらいたい。そこで……これだ。			コルットの姿は消せるが、音で気づかれる可能性も考えると、コグー一家には、できるだけこの場から退いてもらいたい。そこで……これだ。			ドヴェルグの煙突							
かつてミンフィリアを救出するときに使った、眠り薬「ドリームパウダー」だよ。ミーン工芸館の職人たちが、持たせてくれたのさ。			かつてミンフィリアを救出するときに使った、眠り薬「ドリームパウダー」だよ。ミーン工芸館の職人たちが、持たせてくれたのさ。			ドヴェルグの煙突							
何と言う？			何と言う？			ドヴェルグの煙突							
ユールモアでも使ったなぁ……			ユールモアでも使ったなぁ……			ドヴェルグの煙突							
サンクレッドも持っていたが……			サンクレッドも持っていたが……			ドヴェルグの煙突							
さては、あいつら……張り切って作りすぎて、余らせてたな……？			さては、あいつら……張り切って作りすぎて、余らせてたな……？			ドヴェルグの煙突							
ま、まあ、役に立つならばよしとしよう。			ま、まあ、役に立つならばよしとしよう。			ドヴェルグの煙突							
あなたにも透明になる魔法をかけるから、コグー一家のドワーフたちに近づいて、そっとそれを振り撒いてほしい。			あなたにも透明になる魔法をかけるから、コグー一家のドワーフたちに近づいて、そっとそれを振り撒いてほしい。			ドヴェルグの煙突							
耐え難い眠気を感じれば、彼らも残って作業は続けまいよ。			耐え難い眠気を感じれば、彼らも残って作業は続けまいよ。			ドヴェルグの煙突							
では、透明になる準備ができたら、声をかけてくれ。			では、透明になる準備ができたら、声をかけてくれ。			ドヴェルグの煙突							
それでは、あなたにも魔法をかけよう。姿が透明になっているうちに、「ドリームパウダー」を、コグー一家のドワーフたちに使うんだ。			それでは、あなたにも魔法をかけよう。姿が透明になっているうちに、「ドリームパウダー」を、コグー一家のドワーフたちに使うんだ。			ドヴェルグの煙突							
魔法が切れそうになったら、ここに戻ってきてほしい。すぐに掛けなおすとしよう。では……！			魔法が切れそうになったら、ここに戻ってきてほしい。すぐに掛けなおすとしよう。では……！			ドヴェルグの煙突							
もう一度、透明になる魔法をかけよう。……バニシュ！			もう一度、透明になる魔法をかけよう。……バニシュ！			ドヴェルグの煙突							
うわっ、なんだ！？さては、トルー一家とつるんでる村の奴だろ！シッシッ！　よそ者は入ってくるな！			うわっ、なんだ！？さては、トルー一家とつるんでる村の奴だろ！シッシッ！　よそ者は入ってくるな！			ドヴェルグの煙突							
うわっ、なんだ！？同胞……じゃないよな、コグーの帽子を被ってないし……。シッシッ！　よそ者は入ってくるな！			うわっ、なんだ！？同胞……じゃないよな、コグーの帽子を被ってないし……。シッシッ！　よそ者は入ってくるな！			ドヴェルグの煙突							
ほあ……なんだか猛烈に眠くなってきたぁ……。村に戻って一休みしよう……。			ほあ……なんだか猛烈に眠くなってきたぁ……。村に戻って一休みしよう……。			ドヴェルグの煙突							
ラリッ！？　な、な、な、何奴！？グラッグさまに報告せねば……！			ラリッ！？　な、な、な、何奴！？グラッグさまに報告せねば……！			ドヴェルグの煙突							
ふぁぁ～。いかん、急に眠くなってきた……。採掘中にうたた寝は危険……休んでこよう……。			ふぁぁ～。いかん、急に眠くなってきた……。採掘中にうたた寝は危険……休んでこよう……。			ドヴェルグの煙突							
むむむ……？ずいぶんと変わった形のタロースが、迷い込んできてるなー？			むむむ……？ずいぶんと変わった形のタロースが、迷い込んできてるなー？			ドヴェルグの煙突							
むむむ……？こんな奴、仲間にいたっけなー……。コグーの帽子もしてない気がするし……タロース？			むむむ……？こんな奴、仲間にいたっけなー……。コグーの帽子もしてない気がするし……タロース？			ドヴェルグの煙突							
おぅ……ぅ……むにゃー……。眠い……労働……今日はもう無理……。			おぅ……ぅ……むにゃー……。眠い……労働……今日はもう無理……。			ドヴェルグの煙突							
隠れて見ていたが、ここで採掘していたコグー一家のドワーフ族たちは、皆、外へ退散していったようだ。			隠れて見ていたが、ここで採掘していたコグー一家のドワーフ族たちは、皆、外へ退散していったようだ。			ドヴェルグの煙突							
おつかれさま、我々にできる仕事はここまでだ。あとはコルットが鉱石を掘り出してきてくれることを信じて、待っているとしよう。			おつかれさま、我々にできる仕事はここまでだ。あとはコルットが鉱石を掘り出してきてくれることを信じて、待っているとしよう。			ドヴェルグの煙突							
お待たせしましたー！			お待たせしましたー！			ドヴェルグの煙突							
純度の高い「大地の種」を集めてきましたよ！とりあえず、ひと袋だけ持ってきましたが、奥にもまだまだあります！			純度の高い「大地の種」を集めてきましたよ！とりあえず、ひと袋だけ持ってきましたが、奥にもまだまだあります！			ドヴェルグの煙突							
よくやってくれた。それほどの量があるのなら、チャイ・ヌズは必ずや、心核としてうまく活用してくれるだろう。			よくやってくれた。それほどの量があるのなら、チャイ・ヌズは必ずや、心核としてうまく活用してくれるだろう。			ドヴェルグの煙突							
さあ、早く運び出してしまうとしよう…………			さあ、早く運び出してしまうとしよう…………			ドヴェルグの煙突							
す、水晶公！？　大丈夫す！？			す、水晶公！？　大丈夫す！？			ドヴェルグの煙突							
……ああ、すまない。クリスタリウムを離れて、しばらく経ったからな……。			……ああ、すまない。クリスタリウムを離れて、しばらく経ったからな……。			ドヴェルグの煙突							
それに、少しばかり、はりきりすぎたらしい。せっかくの機会なのに……ままならないものだ……。			それに、少しばかり、はりきりすぎたらしい。せっかくの機会なのに……ままならないものだ……。			ドヴェルグの煙突							
(-？？？？-)コラ～ッ！そこで何をしてるのじゃ～ッ！			(-？？？？-)コラ～ッ！そこで何をしてるのじゃ～ッ！			ドヴェルグの煙突							
ゲゲッ！コグー一家の最長老、グラッグ！？			ゲゲッ！コグー一家の最長老、グラッグ！？			ドヴェルグの煙突							
むむっ、そっちはトルー一家の……！？			むむっ、そっちはトルー一家の……！？			ドヴェルグの煙突							
ははーん……ここで採掘をしている仲間たちが、次々に眠いと言って戻ってくるものじゃから、変なガスでも出たかと思って見に来たのじゃが……			ははーん……ここで採掘をしている仲間たちが、次々に眠いと言って戻ってくるものじゃから、変なガスでも出たかと思って見に来たのじゃが……			ドヴェルグの煙突							
お前たちの仕業だったのじゃな！？この卑怯なやりクチ、軟弱フニャフニャヒゲのトルーらしい姑息さよ！			お前たちの仕業だったのじゃな！？この卑怯なやりクチ、軟弱フニャフニャヒゲのトルーらしい姑息さよ！			ドヴェルグの煙突							
むかーっ、聞き捨てならないす！コグー一家のヒゲなんて、ゴワゴワのガビガビで、まるでノッカーの触手みたいす！			むかーっ、聞き捨てならないす！コグー一家のヒゲなんて、ゴワゴワのガビガビで、まるでノッカーの触手みたいす！			ドヴェルグの煙突							
あっしらのヒゲは、いつでもフワフワのモコモコ！油の塗りすぎで臭ってる、そっちのヒゲとは違うす！			あっしらのヒゲは、いつでもフワフワのモコモコ！油の塗りすぎで臭ってる、そっちのヒゲとは違うす！			ドヴェルグの煙突							
なんじゃと、小童が！お前たちの弱っちくて頼りないナヨナヨヒゲなど、ホブゴブリンの鼻毛の方が、いくぶんマシなくらいよ！			なんじゃと、小童が！お前たちの弱っちくて頼りないナヨナヨヒゲなど、ホブゴブリンの鼻毛の方が、いくぶんマシなくらいよ！			ドヴェルグの煙突							
(-コルットとグラッグ-)ムキィィィッ！			(-コルットとグラッグ-)ムキィィィッ！			ドヴェルグの煙突							
……なるほど、両者は犬猿の仲というわけか。これは、放っておくと決着がつかなさそうだ。			……なるほど、両者は犬猿の仲というわけか。これは、放っておくと決着がつかなさそうだ。			ドヴェルグの煙突							
ところで、Forename……ここにまだ、ドリームパウダーの余りがあるのだが？			ところで、Forename……ここにまだ、ドリームパウダーの余りがあるのだが？			ドヴェルグの煙突							
何と言う？			何と言う？			ドヴェルグの煙突							
どうぞどうぞ			どうぞどうぞ			ドヴェルグの煙突							
話の邪魔をするのはよくない			話の邪魔をするのはよくない			ドヴェルグの煙突							
おもしろいところなのに……			おもしろいところなのに……			ドヴェルグの煙突							
では、今は先を急がせてもらうとしよう。……あなたはいつか、彼らのイザコザに、また改めて巻き込まれるような気もするがね。			では、今は先を急がせてもらうとしよう。……あなたはいつか、彼らのイザコザに、また改めて巻き込まれるような気もするがね。			ドヴェルグの煙突							
優しい人だな、あなたは……。だが、私たちには先を急がねばならない理由がある。この場は少し強引に収めさせてもらおう。			優しい人だな、あなたは……。だが、私たちには先を急がねばならない理由がある。この場は少し強引に収めさせてもらおう。			ドヴェルグの煙突							
なに、あなたがそう思っているのなら、いつかまた改めて、彼らのドタバタに巻き込まれる日も来よう。しかし今は、この場を収めさせてもらうぞ。			なに、あなたがそう思っているのなら、いつかまた改めて、彼らのドタバタに巻き込まれる日も来よう。しかし今は、この場を収めさせてもらうぞ。			ドヴェルグの煙突							
ラリッ！？ほにゃにゃにゃにゃ～……			ラリッ！？ほにゃにゃにゃにゃ～……			ドヴェルグの煙突							
ずー……ずー……ふごふご……。			ずー……ずー……ふごふご……。			ドヴェルグの煙突							
コルットも……私に免じて、今は怒りを鎮めてほしい。			コルットも……私に免じて、今は怒りを鎮めてほしい。			ドヴェルグの煙突							
め、滅相もないす……。すみません、あっしら、コグー一家のこととなると、つい頭に血が上っちゃって……。			め、滅相もないす……。すみません、あっしら、コグー一家のこととなると、つい頭に血が上っちゃって……。			ドヴェルグの煙突							
いや、謝ることはないさ。お前は、そういった事情を押してまで、この場所に来てくれた。おかげで私たちは目的を果たせたのだ。			いや、謝ることはないさ。お前は、そういった事情を押してまで、この場所に来てくれた。おかげで私たちは目的を果たせたのだ。			ドヴェルグの煙突							
さあ、タロースの心核にする鉱石は、十分に揃った。ノルヴラントの平和にむけて、計画をさらに進めよう……！			さあ、タロースの心核にする鉱石は、十分に揃った。ノルヴラントの平和にむけて、計画をさらに進めよう……！			ドヴェルグの煙突							
ボトムラングのウリエンジェは、神妙な面持ちだ。			ボトムラングのウリエンジェは、神妙な面持ちだ。			高き場所より見る景色							
ウリエンジェから、しばし休むよう言われた。ボトムラングの「指定地点」で待機しよう。			ウリエンジェから、しばし休むよう言われた。ボトムラングの「指定地点」で待機しよう。			高き場所より見る景色							
しばし待機し、復活したラダー大昇降機に乗り込んだ。トップラングの「アルフィノ」と話そう。			しばし待機し、復活したラダー大昇降機に乗り込んだ。トップラングの「アルフィノ」と話そう。			高き場所より見る景色							
アルフィノと話した。トップラングの「アリゼー」と話そう。			アルフィノと話した。トップラングの「アリゼー」と話そう。			高き場所より見る景色							
アリゼーから謎の人影を見たと言われた。トップラングの「指定地点」から、正体不明の人影を探そう。			アリゼーから謎の人影を見たと言われた。トップラングの「指定地点」から、正体不明の人影を探そう。			高き場所より見る景色							
正体不明の人影を発見した。コルシア島のアミティーで、情報を集めよう。			正体不明の人影を発見した。コルシア島のアミティーで、情報を集めよう。			高き場所より見る景色							
いくつかの気になる点を調べた。アミティーのアルフィノと話そう。			いくつかの気になる点を調べた。アミティーのアルフィノと話そう。			高き場所より見る景色							
アルフィノと話していたところ、画家のトリストルがやってきた。この村は、ユールモアから追放されながらも生き延びた人々が、細々暮らす場所だという。彼らの協力も得ることができたので、引き続き、グルグ火山を目指そう。			アルフィノと話していたところ、画家のトリストルがやってきた。この村は、ユールモアから追放されながらも生き延びた人々が、細々暮らす場所だという。彼らの協力も得ることができたので、引き続き、グルグ火山を目指そう。			高き場所より見る景色							
指定地点で待機			指定地点で待機			高き場所より見る景色							
アルフィノと話す			アルフィノと話す			高き場所より見る景色							
アリゼーと話す			アリゼーと話す			高き場所より見る景色							
指定地点から、正体不明の人影を捜索			指定地点から、正体不明の人影を捜索			高き場所より見る景色							
村の情報を集める			村の情報を集める			高き場所より見る景色							
アルフィノと話す			アルフィノと話す			高き場所より見る景色							
みんなのおかげで、だいぶ準備が整ってきたんだ。ラダー大昇降機が動くことが、単なる経路確保に留まらず、コルシア島の変化の第一歩となってくれることを願うよ。			みんなのおかげで、だいぶ準備が整ってきたんだ。ラダー大昇降機が動くことが、単なる経路確保に留まらず、コルシア島の変化の第一歩となってくれることを願うよ。			高き場所より見る景色							
不足していた資材は、集められるだけ集めてきたわ。アルフィノが信じて拓いた道ですもの、やれるだけのことはやってあげるわよ。			不足していた資材は、集められるだけ集めてきたわ。アルフィノが信じて拓いた道ですもの、やれるだけのことはやってあげるわよ。			高き場所より見る景色							
住民たちのことにしても、いい流れになってる。このままの勢いで、ヴァウスリーに追いつきたいところだな。			住民たちのことにしても、いい流れになってる。このままの勢いで、ヴァウスリーに追いつきたいところだな。			高き場所より見る景色							
あっ、Forenameさん！木材は手に入りましたか……？			あっ、Forenameさん！木材は手に入りましたか……？			高き場所より見る景色							
この大昇降機、遠くから見たときは、黒いから鉄だとばっかり思っていたのですが……よく見ると、木が使われている部分も多いんですね。			この大昇降機、遠くから見たときは、黒いから鉄だとばっかり思っていたのですが……よく見ると、木が使われている部分も多いんですね。			高き場所より見る景色							
……大丈夫かしら、ダイダロス社の跡取りさんは。			……大丈夫かしら、ダイダロス社の跡取りさんは。			高き場所より見る景色							
ぐぬぬ……なんて半端な設計だ！うちのタロースだったら、もっと効率的に動くものを！これだから他社製品は……ブツブツ……。			ぐぬぬ……なんて半端な設計だ！うちのタロースだったら、もっと効率的に動くものを！これだから他社製品は……ブツブツ……。			高き場所より見る景色							
大変、あの人ったら、すごい汗だわ。それだけがんばってるなら、きっと間もなく、タロースが動くに違いないわね！			大変、あの人ったら、すごい汗だわ。それだけがんばってるなら、きっと間もなく、タロースが動くに違いないわね！			高き場所より見る景色							
おっと……感傷に浸るには、いささか早すぎましょう。今はまず、大昇降機を動かし、浮遊した山にたどり着かねばなりません。			おっと……感傷に浸るには、いささか早すぎましょう。今はまず、大昇降機を動かし、浮遊した山にたどり着かねばなりません。			高き場所より見る景色							
見たところ、人手は不足していないようですので、あなたはしばし、身を休めていてください。このあとも、戦いは続くのですから……。			見たところ、人手は不足していないようですので、あなたはしばし、身を休めていてください。このあとも、戦いは続くのですから……。			高き場所より見る景色							
あなたはしばし、身を休めていてください。造船所の職人たちも合流してくださるのなら、なおのこと……。昇降機が動いたあとに備えていただくのが、得策かと。			あなたはしばし、身を休めていてください。造船所の職人たちも合流してくださるのなら、なおのこと……。昇降機が動いたあとに備えていただくのが、得策かと。			高き場所より見る景色							
あれって……。			あれって……。			高き場所より見る景色							
君たちの仲間なら、昇降機に乗ろうとしてたけど、誰かが来たとかで、一旦そちらに行ったみたいよ。			君たちの仲間なら、昇降機に乗ろうとしてたけど、誰かが来たとかで、一旦そちらに行ったみたいよ。			高き場所より見る景色							
もし君が案じて降りてきたら、「すぐに行くから心配しないで」と伝えるよう言われたんだ。			もし君が案じて降りてきたら、「すぐに行くから心配しないで」と伝えるよう言われたんだ。			高き場所より見る景色							
ここが、ラダー大昇降機の上……先ほどまでいたボトムラングに対して、「トップラング」と呼ばれる場所だそうだ。			ここが、ラダー大昇降機の上……先ほどまでいたボトムラングに対して、「トップラング」と呼ばれる場所だそうだ。			高き場所より見る景色							
ひとまずは、この場でウリエンジェたちも昇ってくるのを、待っていようかと思うのだが……			ひとまずは、この場でウリエンジェたちも昇ってくるのを、待っていようかと思うのだが……			高き場所より見る景色							
(-アリゼー-)アルフィノ！　Forename！ちょっとこっちに来て！			(-アリゼー-)アルフィノ！　Forename！ちょっとこっちに来て！			高き場所より見る景色							
アリゼー……？階段の上だろうか、行ってみよう。			アリゼー……？階段の上だろうか、行ってみよう。			高き場所より見る景色							
あそこに見えるのは……。			あそこに見えるのは……。			高き場所より見る景色							
Forename、あなたも見て！北東の方角に、集落らしきものがあるのよ。			Forename、あなたも見て！北東の方角に、集落らしきものがあるのよ。			高き場所より見る景色							
しかし、断崖の上へは、もう20年は人が来ていないはず……。あれも廃村ではないのだろうか？			しかし、断崖の上へは、もう20年は人が来ていないはず……。あれも廃村ではないのだろうか？			高き場所より見る景色							
私も最初はそう思ったんだけどね……。じっと見ていたら、人が村からでてきて、コソコソ隠れながら、こっちに近づいて来たのよ。			私も最初はそう思ったんだけどね……。じっと見ていたら、人が村からでてきて、コソコソ隠れながら、こっちに近づいて来たのよ。			高き場所より見る景色							
ねえ、あなたも見てみて。近づいてきた人は、まだ近くにいるはずだわ。			ねえ、あなたも見てみて。近づいてきた人は、まだ近くにいるはずだわ。			高き場所より見る景色							
誰もいないはずの断崖の上にいる人物……。どういうことだ……？			誰もいないはずの断崖の上にいる人物……。どういうことだ……？			高き場所より見る景色							
あなたも、そこから見渡してみて。近づいてきた人は、まだ近くにいるはずだわ。			あなたも、そこから見渡してみて。近づいてきた人は、まだ近くにいるはずだわ。			高き場所より見る景色							
「正体不明の人影」の捜索を開始します。それらしき人物を発見したら、ズームをしてから、左クリック[???]ボタン/[???]ボタンで確認しましょう！			「正体不明の人影」の捜索を開始します。それらしき人物を発見したら、ズームをしてから、左クリック[???]ボタン/[???]ボタンで確認しましょう！			高き場所より見る景色							
ね、誰かいたでしょう？わからないままっていうのも不安だから、一度、あとを追いかけてみない？			ね、誰かいたでしょう？わからないままっていうのも不安だから、一度、あとを追いかけてみない？			高き場所より見る景色							
……一理ある。ウリエンジェたちが上がってくるのに、時間もかかっているみたいだし、行ってみようか。			……一理ある。ウリエンジェたちが上がってくるのに、時間もかかっているみたいだし、行ってみようか。			高き場所より見る景色							
そう来なくちゃ！北東に見えている村まで行って、人がいれば声をかけるし、姿がなければ探索をしてみましょう。			そう来なくちゃ！北東に見えている村まで行って、人がいれば声をかけるし、姿がなければ探索をしてみましょう。			高き場所より見る景色							
木箱にもタルにも、しっかり中身が詰まっているようだ。			木箱にもタルにも、しっかり中身が詰まっているようだ。			高き場所より見る景色							
物音がしたような気がするんだけど……中はよく見えないわね。			物音がしたような気がするんだけど……中はよく見えないわね。			高き場所より見る景色							
中から物音が聞こえた……。しかし、扉は固く閉ざされ、開かれる気配はない。			中から物音が聞こえた……。しかし、扉は固く閉ざされ、開かれる気配はない。			高き場所より見る景色							
保存食が日干しにされている。どれも、まだ食べられそうだ……。			保存食が日干しにされている。どれも、まだ食べられそうだ……。			高き場所より見る景色							
カウンターの上には、飲みかけの酒がある。奥の鍋も、火にかけられたままだ……。			カウンターの上には、飲みかけの酒がある。奥の鍋も、火にかけられたままだ……。			高き場所より見る景色							
ああ、Forename。そちらはどうだい……？			ああ、Forename。そちらはどうだい……？			高き場所より見る景色							
何と言う？			何と言う？			高き場所より見る景色							
最近まで人がいた痕跡がある			最近まで人がいた痕跡がある			高き場所より見る景色							
さっき逃げた人物が見当たらない			さっき逃げた人物が見当たらない			高き場所より見る景色							
……やっぱり廃墟では？			……やっぱり廃墟では？			高き場所より見る景色							
そうだね、私も同じ所感だよ。まるで、ついさっきまでは、普通に生活をしていたような……。			そうだね、私も同じ所感だよ。まるで、ついさっきまでは、普通に生活をしていたような……。			高き場所より見る景色							
そうだね……順当に考えると、隠れているのだろう。現に、村のいたるところに、最近まで人がいたかのような痕跡が残っている……。			そうだね……順当に考えると、隠れているのだろう。現に、村のいたるところに、最近まで人がいたかのような痕跡が残っている……。			高き場所より見る景色							
いや……村のいたるところに、最近まで人がいたかのような痕跡が残っている。ただの廃墟ではないようだ……。			いや……村のいたるところに、最近まで人がいたかのような痕跡が残っている。ただの廃墟ではないようだ……。			高き場所より見る景色							
私もそう思うわ。っていうか、家の中にまだ誰かいそうなのよね。扉は開けてくれないけど……。			私もそう思うわ。っていうか、家の中にまだ誰かいそうなのよね。扉は開けてくれないけど……。			高き場所より見る景色							
