レヴナンツトールのグラウムントは、冒険者に情報を提供してくれるようだ。			レヴナンツトールのグラウムントは、冒険者に情報を提供してくれるようだ。			帝国軍あざむき作戦							
この空は、わたくしのものよッ！			この空は、わたくしのものよッ！			暴虐の嵐神ガルーダ							
……虫ケラごときが空を舞うなどとくだらぬ夢を二度とみれぬよう……その臓腑をむしりッ、血祭りにあげてくれようぞッ！			……虫ケラごときが空を舞うなどとくだらぬ夢を二度とみれぬよう……その臓腑をむしりッ、血祭りにあげてくれようぞッ！			暴虐の嵐神ガルーダ							
我らがッァ、御神「ガルーダ」様にッィ、仇成す羽根ナシどもめッェ！　討ち取らえよッォ！聖地よりッィ、生きて返すなッァ！			我らがッァ、御神「ガルーダ」様にッィ、仇成す羽根ナシどもめッェ！　討ち取らえよッォ！聖地よりッィ、生きて返すなッァ！			暴虐の嵐神ガルーダ							
イクサル族どもは、俺たちが圧える！お前は、蛮神「ガルーダ」を倒せ！			イクサル族どもは、俺たちが圧える！お前は、蛮神「ガルーダ」を倒せ！			暴虐の嵐神ガルーダ							
蛮神との戦いも、これで最後だ！行け、Surname！「暁」のため……エオルゼアのために！			蛮神との戦いも、これで最後だ！行け、Surname！「暁」のため……エオルゼアのために！			暴虐の嵐神ガルーダ							
なれば……虚妄にまみれしそのそっ首ッ！薄紙のごときその羽もッ！　腕もッ！　足もッ！すべてッ！　むしり取ってくれようぞッ！！			なれば……虚妄にまみれしそのそっ首ッ！薄紙のごときその羽もッ！　腕もッ！　足もッ！すべてッ！　むしり取ってくれようぞッ！！			暴虐の嵐神ガルーダ							
オオオッ……オオオオオッ……。			オオオッ……オオオオオッ……。			暴虐の嵐神ガルーダ							
なにィ！？			なにィ！？			暴虐の嵐神ガルーダ							
アーッハハハハハハッ！無駄じゃッ、無駄なことじゃッ！			アーッハハハハハハッ！無駄じゃッ、無駄なことじゃッ！			暴虐の嵐神ガルーダ							
愚かなクソ虫めがッ！その程度で、わたくしが寂滅するとでも思うたかッ！			愚かなクソ虫めがッ！その程度で、わたくしが寂滅するとでも思うたかッ！			暴虐の嵐神ガルーダ							
ここには、我が下僕らによりて、無数のクリスタルが集められておるッ！			ここには、我が下僕らによりて、無数のクリスタルが集められておるッ！			暴虐の嵐神ガルーダ							
「クリスタルの力」はッ……！すなわち、わたくしの力ッ……！			「クリスタルの力」はッ……！すなわち、わたくしの力ッ……！			暴虐の嵐神ガルーダ							
いくら、わたくしを追い詰めたところでッ！我が下僕らの祈りは増して強まりッ、その願いによって、わたくしは更なる力を得るッ！			いくら、わたくしを追い詰めたところでッ！我が下僕らの祈りは増して強まりッ、その願いによって、わたくしは更なる力を得るッ！			暴虐の嵐神ガルーダ							
……もはや、この地に醜き神はおらぬッ！この地のクリスタルは、すべて、わたくしのものよッ！			……もはや、この地に醜き神はおらぬッ！この地のクリスタルは、すべて、わたくしのものよッ！			暴虐の嵐神ガルーダ							
わたくしは最強にして至上の神ッ、嵐神ガルーダじゃッ！アーッハハハハハハッ！			わたくしは最強にして至上の神ッ、嵐神ガルーダじゃッ！アーッハハハハハハッ！			暴虐の嵐神ガルーダ							
……くそッ！イクサル族どもの祈りを止めさせねば！			……くそッ！イクサル族どもの祈りを止めさせねば！			暴虐の嵐神ガルーダ							
おう！			おう！			暴虐の嵐神ガルーダ							
ぐあッ！			ぐあッ！			暴虐の嵐神ガルーダ							
アーッハハハハハハッ！そうはさせぬぞッ、クソ虫めがッ！			アーッハハハハハハッ！そうはさせぬぞッ、クソ虫めがッ！			暴虐の嵐神ガルーダ							
クソ虫の分際でッ、無上の存在であるわたくしにッ！……そして、我が下僕らに牙を向けた報いはッ！遺漏なく受けねばならぬのじゃッ！			クソ虫の分際でッ、無上の存在であるわたくしにッ！……そして、我が下僕らに牙を向けた報いはッ！遺漏なく受けねばならぬのじゃッ！			暴虐の嵐神ガルーダ							
まずは、グリダニアのクソ虫どもに野嵐をッ！			まずは、グリダニアのクソ虫どもに野嵐をッ！			暴虐の嵐神ガルーダ							
ウルダハのゲロ虫どもには砂嵐をッ！そしてッ、リムサ・ロミンサのウジ虫どもには颶嵐をッ！			ウルダハのゲロ虫どもには砂嵐をッ！そしてッ、リムサ・ロミンサのウジ虫どもには颶嵐をッ！			暴虐の嵐神ガルーダ							
わたくしの嵐で、エオルゼアすべてを包み込みッ、虫ケラどもを一匹残らず切り裂いてくれようぞッ！			わたくしの嵐で、エオルゼアすべてを包み込みッ、虫ケラどもを一匹残らず切り裂いてくれようぞッ！			暴虐の嵐神ガルーダ							
だが、まずは貴様らから……わたくしに直接刃を向けた貴様らからだッ！その罪を償うには死すら生ぬるいッ！			だが、まずは貴様らから……わたくしに直接刃を向けた貴様らからだッ！その罪を償うには死すら生ぬるいッ！			暴虐の嵐神ガルーダ							
信徒(テンパード)になるが良いッ！そして、その生命尽きるまで地を這い続けッ……。わたくしを一向に崇め続けるが良いわッ！			信徒(テンパード)になるが良いッ！そして、その生命尽きるまで地を這い続けッ……。わたくしを一向に崇め続けるが良いわッ！			暴虐の嵐神ガルーダ							
なんじゃとッ！？何故じゃッ……何故に貴様はテンパードにならぬッ！？			なんじゃとッ！？何故じゃッ……何故に貴様はテンパードにならぬッ！？			暴虐の嵐神ガルーダ							
か、体からッ……力が抜けるッ……！？「クリスタルの力」がッ……抜けていくじゃとッ……！？			か、体からッ……力が抜けるッ……！？「クリスタルの力」がッ……抜けていくじゃとッ……！？			暴虐の嵐神ガルーダ							
なんなのじゃッ……その力はッ……？何故、クソ虫ごときの前にッ……。わたくしは正しく力を発揮できぬのじゃッ……！？			なんなのじゃッ……その力はッ……？何故、クソ虫ごときの前にッ……。わたくしは正しく力を発揮できぬのじゃッ……！？			暴虐の嵐神ガルーダ							
何故じゃッ……何故に揺るがぬッ……。何故にひれ伏さぬのじゃッ……！			何故じゃッ……何故に揺るがぬッ……。何故にひれ伏さぬのじゃッ……！			暴虐の嵐神ガルーダ							
やったか！			やったか！			暴虐の嵐神ガルーダ							
ナッニィィィィ！！			ナッニィィィィ！！			暴虐の嵐神ガルーダ							
ガルーダ様ッァ！！			ガルーダ様ッァ！！			暴虐の嵐神ガルーダ							
その程度のものか！			その程度のものか！			暴虐の嵐神ガルーダ							
その程度のものか！蛮神「ガルーダ」よ！			その程度のものか！蛮神「ガルーダ」よ！			暴虐の嵐神ガルーダ							
現存する蛮神の中で、最も邪悪で、凶暴と言われるお前の力は、その程度のものなのか！			現存する蛮神の中で、最も邪悪で、凶暴と言われるお前の力は、その程度のものなのか！			暴虐の嵐神ガルーダ							
ガイウス！？			ガイウス！？			暴虐の嵐神ガルーダ							
久しいな、シド。父親から逃げ、国から逃げ、わしからも逃げ……。次は何から逃げる気だ？			久しいな、シド。父親から逃げ、国から逃げ、わしからも逃げ……。次は何から逃げる気だ？			暴虐の嵐神ガルーダ							
なんだと！？			なんだと！？			暴虐の嵐神ガルーダ							
うぬは、なぜここに居る？			うぬは、なぜここに居る？			暴虐の嵐神ガルーダ							
なッ！？			なッ！？			暴虐の嵐神ガルーダ							
我は大義のためにここに居る！			我は大義のためにここに居る！			暴虐の嵐神ガルーダ							
……その程度……じゃとッ！？			……その程度……じゃとッ！？			暴虐の嵐神ガルーダ							
わたくしは、至高の神じゃぞッ！おのれッ……たかが人風情がつけあがりおってッ！			わたくしは、至高の神じゃぞッ！おのれッ……たかが人風情がつけあがりおってッ！			暴虐の嵐神ガルーダ							
……そうか……理解できたぞッ……。その穢らわしい力ッ……星の加護じゃなッ！？			……そうか……理解できたぞッ……。その穢らわしい力ッ……星の加護じゃなッ！？			暴虐の嵐神ガルーダ							
なれば……。			なれば……。			暴虐の嵐神ガルーダ							
何をする気だ！？			何をする気だ！？			暴虐の嵐神ガルーダ							
あれは、アマルジャ族とコボルド族か！？……まさか！？			あれは、アマルジャ族とコボルド族か！？……まさか！？			暴虐の嵐神ガルーダ							
ガァァァァッ！死中求活ッ……降りたまえよ……。焔神イフリートォォッ！！			ガァァァァッ！死中求活ッ……降りたまえよ……。焔神イフリートォォッ！！			暴虐の嵐神ガルーダ							
いたーい　やめーて……。タイタンさーま　たすーけて……。たすーけ……。			いたーい　やめーて……。タイタンさーま　たすーけて……。たすーけ……。			暴虐の嵐神ガルーダ							
そんな、こんなことが……。			そんな、こんなことが……。			暴虐の嵐神ガルーダ							
何をしている！引くぞッ！			何をしている！引くぞッ！			暴虐の嵐神ガルーダ							
弱き神ども……汝らを喰ろうて、わたくしは、何者にも負けぬ高みへと至るのじゃッ！			弱き神ども……汝らを喰ろうて、わたくしは、何者にも負けぬ高みへと至るのじゃッ！			暴虐の嵐神ガルーダ							
「プロト・アルテマ」よ。見せてやれ、お前の力を！			「プロト・アルテマ」よ。見せてやれ、お前の力を！			暴虐の嵐神ガルーダ							
恐れるか、蛮神「ガルーダ」よ！			恐れるか、蛮神「ガルーダ」よ！			暴虐の嵐神ガルーダ							
これこそ、古代アラグ帝国において究極幻想とまで謳われた対蛮神兵器、「アルテマウェポン」なり。			これこそ、古代アラグ帝国において究極幻想とまで謳われた対蛮神兵器、「アルテマウェポン」なり。			暴虐の嵐神ガルーダ							
究極……幻想……じゃとッ！？			究極……幻想……じゃとッ！？			暴虐の嵐神ガルーダ							
すばらしい力だ！蛮神、恐るるに足らず！			すばらしい力だ！蛮神、恐るるに足らず！			暴虐の嵐神ガルーダ							
蛮神を吸収したことで、アルテマウェポンは最終進化を迎える！			蛮神を吸収したことで、アルテマウェポンは最終進化を迎える！			暴虐の嵐神ガルーダ							
持たざる者は、塵芥(ちりあくた)の如く消え逝くのみよ。			持たざる者は、塵芥(ちりあくた)の如く消え逝くのみよ。			暴虐の嵐神ガルーダ							
「カルテノー」でお前たちを救った、英雄「光の戦士たち」はもう居ない。			「カルテノー」でお前たちを救った、英雄「光の戦士たち」はもう居ない。			暴虐の嵐神ガルーダ							
この力を前に、どう動く。エオルゼアを統べる弱き為政者たちよ。			この力を前に、どう動く。エオルゼアを統べる弱き為政者たちよ。			暴虐の嵐神ガルーダ							
興趣が尽きぬな。			興趣が尽きぬな。			暴虐の嵐神ガルーダ							
な……なんだったのだ、今のは！何がどうなっている！？			な……なんだったのだ、今のは！何がどうなっている！？			暴虐の嵐神ガルーダ							
あの黒鎧は何者だ？			あの黒鎧は何者だ？			暴虐の嵐神ガルーダ							
ヤツの名は、ガイウス・ヴァン・バエサル。帝国軍第XIV軍団を率いる軍団長……。つまり、エオルゼア侵攻軍の長だ！			ヤツの名は、ガイウス・ヴァン・バエサル。帝国軍第XIV軍団を率いる軍団長……。つまり、エオルゼア侵攻軍の長だ！			暴虐の嵐神ガルーダ							
そうか、奴が猛将「漆黒の王狼」か……。お祖父様の手記にも、その名があった。			そうか、奴が猛将「漆黒の王狼」か……。お祖父様の手記にも、その名があった。			暴虐の嵐神ガルーダ							
エオルゼアの支配を諦めたとは思っちゃいなかったが、まさかこんな切り札を……。			エオルゼアの支配を諦めたとは思っちゃいなかったが、まさかこんな切り札を……。			暴虐の嵐神ガルーダ							
俺が記憶を失っている間、帝国軍とは膠着状態だったんじゃなかったのか？			俺が記憶を失っている間、帝国軍とは膠着状態だったんじゃなかったのか？			暴虐の嵐神ガルーダ							
そうだ。各地に拠点を築いてからは、目立った動きは把握していない。			そうだ。各地に拠点を築いてからは、目立った動きは把握していない。			暴虐の嵐神ガルーダ							
クソッ……。ガイウスめ、何を企んでいる。			クソッ……。ガイウスめ、何を企んでいる。			暴虐の嵐神ガルーダ							
ともあれ、蛮神「ガルーダ」の脅威は去った。釈然としない幕切れではあったがな……。			ともあれ、蛮神「ガルーダ」の脅威は去った。釈然としない幕切れではあったがな……。			暴虐の嵐神ガルーダ							
ああなっては、なおのこと、蛮神たちは、しばらく鳴りを潜めるだろう。			ああなっては、なおのこと、蛮神たちは、しばらく鳴りを潜めるだろう。			暴虐の嵐神ガルーダ							
蛮神の次は、やはり帝国ってわけか。			蛮神の次は、やはり帝国ってわけか。			暴虐の嵐神ガルーダ							
ああ……。あの兵器は、エオルゼアの新たな脅威となろう。叩かねばならん。			ああ……。あの兵器は、エオルゼアの新たな脅威となろう。叩かねばならん。			暴虐の嵐神ガルーダ							
とはいえ、情報を集めんことには動きようがない。我々にも休息が必要だ。			とはいえ、情報を集めんことには動きようがない。我々にも休息が必要だ。			暴虐の嵐神ガルーダ							
「暁の血盟」本部へ向かおう。			「暁の血盟」本部へ向かおう。			暴虐の嵐神ガルーダ							
希望の灯火は消えてはいない。あそこから、もう一度「暁」に明かりを灯そうじゃないか。			希望の灯火は消えてはいない。あそこから、もう一度「暁」に明かりを灯そうじゃないか。			暴虐の嵐神ガルーダ							
……ふぅ、ようやく着いたか。いろいろなことが一度に起こって、さすがの私も混乱気味だよ。			……ふぅ、ようやく着いたか。いろいろなことが一度に起こって、さすがの私も混乱気味だよ。			暴虐の嵐神ガルーダ							
しかし、Surname……。蛮神「ガルーダ」を制した君の力はいったい……。			しかし、Surname……。蛮神「ガルーダ」を制した君の力はいったい……。			暴虐の嵐神ガルーダ							
……いや、すまない。今は難しいことを考えるのはよそう。とにかく、蛮神「ガルーダ」は倒したのだ。			……いや、すまない。今は難しいことを考えるのはよそう。とにかく、蛮神「ガルーダ」は倒したのだ。			暴虐の嵐神ガルーダ							
蛮神「ガルーダ」が倒されたとなれば、どの蛮族も神降ろし……召喚を控えるだろう。蛮神が絶対的存在ではないことが証明されたのだからな。			蛮神「ガルーダ」が倒されたとなれば、どの蛮族も神降ろし……召喚を控えるだろう。蛮神が絶対的存在ではないことが証明されたのだからな。			暴虐の嵐神ガルーダ							
エオルゼアを騒がせていた「蛮神問題」は、一時的にではあるが解決した。本当に、よくやってくれた！			エオルゼアを騒がせていた「蛮神問題」は、一時的にではあるが解決した。本当に、よくやってくれた！			暴虐の嵐神ガルーダ							
蛮神「ガルーダ」は、嵐に守られた祭壇にいる。……さっそく「ハウリングアイ石塔群」へ向かうか？			蛮神「ガルーダ」は、嵐に守られた祭壇にいる。……さっそく「ハウリングアイ石塔群」へ向かうか？			暴虐の嵐神ガルーダ							
「ハウリングアイ石塔群」へ移動しますか？			「ハウリングアイ石塔群」へ移動しますか？			暴虐の嵐神ガルーダ							
グリダニア・ランディングのロビーへお入りになりますか？			グリダニア・ランディングのロビーへお入りになりますか？			暴虐の嵐神ガルーダ							
「ロビー」へ移動しますか？			「ロビー」へ移動しますか？			暴虐の嵐神ガルーダ							
ウルダハ・ランディングのロビーへお入りになりますか？			ウルダハ・ランディングのロビーへお入りになりますか？			暴虐の嵐神ガルーダ							
「ロビー」へ移動しますか？			「ロビー」へ移動しますか？			暴虐の嵐神ガルーダ							
はい			はい			暴虐の嵐神ガルーダ							
いいえ			いいえ			暴虐の嵐神ガルーダ							
黒渦団：軍令部のル・アシャ大甲佐は、冒険者に折り入って頼みたいことがあるようだ。			黒渦団：軍令部のル・アシャ大甲佐は、冒険者に折り入って頼みたいことがあるようだ。			深海より来たりしもの							
メルトール海峡で、民間船がサハギン族に襲われて沈没したらしい。東ラノシアのブラッドショアに向かい、「ヴィルトファルク一等甲兵」と話そう。			メルトール海峡で、民間船がサハギン族に襲われて沈没したらしい。東ラノシアのブラッドショアに向かい、「ヴィルトファルク一等甲兵」と話そう。			深海より来たりしもの							
ヴィルトファルク一等甲兵から、海岸に漂着した遭難者の救助を依頼された。ブラッドショアにいる「疲れ切った遭難者」を介抱し、怪我をしていた場合は「黒渦団の軍用薬」を使って助けよう。			ヴィルトファルク一等甲兵から、海岸に漂着した遭難者の救助を依頼された。ブラッドショアにいる「疲れ切った遭難者」を介抱し、怪我をしていた場合は「黒渦団の軍用薬」を使って助けよう。			深海より来たりしもの							
生き残った遭難者たちを助けることができた。ブラッドショアの「ヴィルトファルク一等甲兵」に報告しよう。			生き残った遭難者たちを助けることができた。ブラッドショアの「ヴィルトファルク一等甲兵」に報告しよう。			深海より来たりしもの							
ヴィルトファルク一等甲兵に報告した直後、サハギン族が現れた。彼らは人々を襲うどころか、遭難していた子どもを助け、海岸まで送り届けてくれたらしい。助けられた子ども、「ロビン」から話を聞こう。			ヴィルトファルク一等甲兵に報告した直後、サハギン族が現れた。彼らは人々を襲うどころか、遭難していた子どもを助け、海岸まで送り届けてくれたらしい。助けられた子ども、「ロビン」から話を聞こう。			深海より来たりしもの							
ロビンによると、彼を助けたサハギン族は、民間船を襲ったサハギン族とは違うらしい。ロビンは冒険者に、サカナのオジサンの落とし物を返すよう頼んだ。西ラノシアのノォヴの育成地へ向かい、「若きサハギン族」に「銀鮫の牙飾り」を渡そう。			ロビンによると、彼を助けたサハギン族は、民間船を襲ったサハギン族とは違うらしい。ロビンは冒険者に、サカナのオジサンの落とし物を返すよう頼んだ。西ラノシアのノォヴの育成地へ向かい、「若きサハギン族」に「銀鮫の牙飾り」を渡そう。			深海より来たりしもの							
若きサハギン族は、冒険者の誠意を理解し、育成地へと招待してくれた。ノォヴの育成地の長「ノォヴ」と話そう。			若きサハギン族は、冒険者の誠意を理解し、育成地へと招待してくれた。ノォヴの育成地の長「ノォヴ」と話そう。			深海より来たりしもの							
ノォヴは銀鮫の牙飾りの返還を喜び、冒険者を歓迎した。彼ら「ノォヴの育成地」に棲むサハギン族とは、いったいどのような集団なのだろうか……？			ノォヴは銀鮫の牙飾りの返還を喜び、冒険者を歓迎した。彼ら「ノォヴの育成地」に棲むサハギン族とは、いったいどのような集団なのだろうか……？			深海より来たりしもの							
ブラッドショアのヴィルトファルク一等甲兵と話す			ブラッドショアのヴィルトファルク一等甲兵と話す			深海より来たりしもの							
負傷した遭難者に黒渦団の軍用薬を使う			負傷した遭難者に黒渦団の軍用薬を使う			深海より来たりしもの							
疲れ切った遭難者を介抱する			疲れ切った遭難者を介抱する			深海より来たりしもの							
ヴィルトファルク一等甲兵と話す			ヴィルトファルク一等甲兵と話す			深海より来たりしもの							
ロビンと話す			ロビンと話す			深海より来たりしもの							
ノォヴの育成地の若きサハギン族に銀鮫の牙飾りを渡す			ノォヴの育成地の若きサハギン族に銀鮫の牙飾りを渡す			深海より来たりしもの							
ノォヴと話す			ノォヴと話す			深海より来たりしもの							
ああ、キミ、ちょうど良いところに！あたしたちに、力を貸してくれない？			ああ、キミ、ちょうど良いところに！あたしたちに、力を貸してくれない？			深海より来たりしもの							
つい先程、軍令部に緊急の報せが届いたんだ。メルトール海峡を航海中の民間船が、蛮族の襲撃を受けて沈没したって！			つい先程、軍令部に緊急の報せが届いたんだ。メルトール海峡を航海中の民間船が、蛮族の襲撃を受けて沈没したって！			深海より来たりしもの							
すでに軍艦が救助に向かっているけど、生存者を発見できるかは、微妙な状況らしいんだ……。			すでに軍艦が救助に向かっているけど、生存者を発見できるかは、微妙な状況らしいんだ……。			深海より来たりしもの							
海賊による船舶の襲撃、略奪はこれまでもあったけど、船ごと沈めるだなんて……ひどすぎるよ。			海賊による船舶の襲撃、略奪はこれまでもあったけど、船ごと沈めるだなんて……ひどすぎるよ。			深海より来たりしもの							
犯人はきっと海賊団「海蛇の舌」……そして、奴らを操る蛮族、「サハギン族」だ！あのサカナ野郎め……。			犯人はきっと海賊団「海蛇の舌」……そして、奴らを操る蛮族、「サハギン族」だ！あのサカナ野郎め……。			深海より来たりしもの							
でも、今は生存者を一人でも多く助けるのが先だよ！キミは東ラノシアの「ブラッドショア」に向かって、漂着した遭難者がいないか捜索して！			でも、今は生存者を一人でも多く助けるのが先だよ！キミは東ラノシアの「ブラッドショア」に向かって、漂着した遭難者がいないか捜索して！			深海より来たりしもの							
現地には、あたしの部下も向かってる。まずは「ヴィルトファルク一等甲兵」と話して、救出の手筈を確認してほしい……頼んだよ！			現地には、あたしの部下も向かってる。まずは「ヴィルトファルク一等甲兵」と話して、救出の手筈を確認してほしい……頼んだよ！			深海より来たりしもの							
サカナ野郎め、本当に許せない！でも、今は生存者を一人でも多く助けるのが先！「ブラッドショア」での捜索活動に協力して……頼んだよ！			サカナ野郎め、本当に許せない！でも、今は生存者を一人でも多く助けるのが先！「ブラッドショア」での捜索活動に協力して……頼んだよ！			深海より来たりしもの							
ル・アシャ大甲佐に遣わされた冒険者さんですね？自分は、ヴィルトファルク一等甲兵。……ル・アシャ大甲佐率いる特殊陸戦隊の一員です。			ル・アシャ大甲佐に遣わされた冒険者さんですね？自分は、ヴィルトファルク一等甲兵。……ル・アシャ大甲佐率いる特殊陸戦隊の一員です。			深海より来たりしもの							
……見てください、ごらんのとおりのありさまです。民間船は沖合で襲撃を受け、ほどなく沈没。漂着した生存者は、わずか数名……ひどい状況です。			……見てください、ごらんのとおりのありさまです。民間船は沖合で襲撃を受け、ほどなく沈没。漂着した生存者は、わずか数名……ひどい状況です。			深海より来たりしもの							
(-遭難者の女性-)うっ、うっ……ここは……どこなの？私の……私のかわいいロビンは……どこにいったの……？			(-遭難者の女性-)うっ、うっ……ここは……どこなの？私の……私のかわいいロビンは……どこにいったの……？			深海より来たりしもの							
……奥さん、落ち着いてください。息子さんは目下、捜索中です。ですから、お気を確かに……。			……奥さん、落ち着いてください。息子さんは目下、捜索中です。ですから、お気を確かに……。			深海より来たりしもの							
冒険者さん……このご婦人のように、沈みゆく船から投げ出された乗客の中には、運よく潮の流れに乗り、この海岸に漂着した生存者がいます。			冒険者さん……このご婦人のように、沈みゆく船から投げ出された乗客の中には、運よく潮の流れに乗り、この海岸に漂着した生存者がいます。			深海より来たりしもの							
海岸にいる遭難者を介抱し、救助の手助けをお願いします！怪我人には、この「黒渦団の軍用薬」を使ってください。私は、ご婦人を介抱していますので……。			海岸にいる遭難者を介抱し、救助の手助けをお願いします！怪我人には、この「黒渦団の軍用薬」を使ってください。私は、ご婦人を介抱していますので……。			深海より来たりしもの							
海岸に漂着した者の中に……子どもはいない、か。……くっ、奥さんにかける言葉もない……。それもこれも……すべて……サハギン族のせいだ……！			海岸に漂着した者の中に……子どもはいない、か。……くっ、奥さんにかける言葉もない……。それもこれも……すべて……サハギン族のせいだ……！			深海より来たりしもの							
(-遭難者の女性-)……私のロビンは……どこ……！？海に落ちたときには、しっかりこの腕に抱いていたのに……！ああ……私のかわいいボウヤ……！！			(-遭難者の女性-)……私のロビンは……どこ……！？海に落ちたときには、しっかりこの腕に抱いていたのに……！ああ……私のかわいいボウヤ……！！			深海より来たりしもの							
う……うう……ぐはっ、げほっげほっ……！			う……うう……ぐはっ、げほっげほっ……！			深海より来たりしもの							
はぁはぁ……俺は……助かった……のか？問答無用で、いきなり船を沈めにくるなんて……俺の長年の航海人生で……初めてだ……。			はぁはぁ……俺は……助かった……のか？問答無用で、いきなり船を沈めにくるなんて……俺の長年の航海人生で……初めてだ……。			深海より来たりしもの							
…………かはっ！息が……息が……で、き……ない……っ。			…………かはっ！息が……息が……で、き……ない……っ。			深海より来たりしもの							
げほっ！　はぁはぁはぁ……。た、助かった……ここはいったい……どこだ？天国……じゃないよ……な。			げほっ！　はぁはぁはぁ……。た、助かった……ここはいったい……どこだ？天国……じゃないよ……な。			深海より来たりしもの							
ぐっ……岩礁に背中をぶつけて……ち、血が……力が……抜けていく……。			ぐっ……岩礁に背中をぶつけて……ち、血が……力が……抜けていく……。			深海より来たりしもの							
あ、ありがとう……助かった……。突然、轟音とともに船が傾いたと思ったら……襲ってきたんだ。海賊と……サカナのような異形の蛮族どもが……。			あ、ありがとう……助かった……。突然、轟音とともに船が傾いたと思ったら……襲ってきたんだ。海賊と……サカナのような異形の蛮族どもが……。			深海より来たりしもの							
ぐうっ！か、肩の傷が……燃えるように熱いっ！俺はこのまま死んじまう……の……か？			ぐうっ！か、肩の傷が……燃えるように熱いっ！俺はこのまま死んじまう……の……か？			深海より来たりしもの							
ぐっ、染みるゼ……。畜生！　あのサカナ野郎どもめ……いきなり斬りかかってきやがった……！			ぐっ、染みるゼ……。畜生！　あのサカナ野郎どもめ……いきなり斬りかかってきやがった……！			深海より来たりしもの							
漂着した怪我人たちの介抱は終わったようですね。ありがとうございました、冒険者さん。貴方のお陰で、被害を最小限に抑えることができました。			漂着した怪我人たちの介抱は終わったようですね。ありがとうございました、冒険者さん。貴方のお陰で、被害を最小限に抑えることができました。			深海より来たりしもの							
それにしても、憎むべきはサハギン族……。軍艦ならともかく、無抵抗の民間船を沈めるなんて、まさしく鬼畜の所業……血も涙もない蛮族どもだ！			それにしても、憎むべきはサハギン族……。軍艦ならともかく、無抵抗の民間船を沈めるなんて、まさしく鬼畜の所業……血も涙もない蛮族どもだ！			深海より来たりしもの							
(-遭難者の女性-)うっ、うっ……ロビン……。私のかわいい……ロビン……。			(-遭難者の女性-)うっ、うっ……ロビン……。私のかわいい……ロビン……。			深海より来たりしもの							
……奥さん、胸中お察しいたします。おつらいでしょうが、お気を確かに……。			……奥さん、胸中お察しいたします。おつらいでしょうが、お気を確かに……。			深海より来たりしもの							
……むっ！？			……むっ！？			深海より来たりしもの							
こ、こんなところにまで……サハギン族だとっ！？			こ、こんなところにまで……サハギン族だとっ！？			深海より来たりしもの							
(-サハギン族たち-)フスィーッ………………フスィーッ。			(-サハギン族たち-)フスィーッ………………フスィーッ。			深海より来たりしもの							
貴様ら、何用だっ！？船を沈めるだけでは飽き足らず、とどめを刺しにきたか！？どこまで卑劣で外道な……サカナ野郎めッ！			貴様ら、何用だっ！？船を沈めるだけでは飽き足らず、とどめを刺しにきたか！？どこまで卑劣で外道な……サカナ野郎めッ！			深海より来たりしもの							
(-サハギン族の戦士-)フスィーッ……。			(-サハギン族の戦士-)フスィーッ……。			深海より来たりしもの							
(-元気な少年-)……ママっ！			(-元気な少年-)……ママっ！			深海より来たりしもの							
(-遭難者の女性-)ロ、ロビン……！ロビンなのっ……！？			(-遭難者の女性-)ロ、ロビン……！ロビンなのっ……！？			深海より来たりしもの							
(-ロビン-)ママっ！……ママーっ！！			(-ロビン-)ママっ！……ママーっ！！			深海より来たりしもの							
(-遭難者の女性-)ロビン！　ああ、生きていたのね！よかった……本当に……！			(-遭難者の女性-)ロビン！　ああ、生きていたのね！よかった……本当に……！			深海より来たりしもの							
な、何なんだ！？いったい、どうなってるんだ……！？			な、何なんだ！？いったい、どうなってるんだ……！？			深海より来たりしもの							
うん、ボク、もう平気だよ！海の中でママとはなればなれになって、溺れたところを、サカナのオジサンに助けられたんだ！			うん、ボク、もう平気だよ！海の中でママとはなればなれになって、溺れたところを、サカナのオジサンに助けられたんだ！			深海より来たりしもの							
あのね、あのサカナのオジサンたちは、悪いおサカナじゃないよ！船に乗りこんできたおサカナさんとは、別のおサカナさんなの！			あのね、あのサカナのオジサンたちは、悪いおサカナじゃないよ！船に乗りこんできたおサカナさんとは、別のおサカナさんなの！			深海より来たりしもの							
あっ！　そうだ、冒険者さん！ボクのお願い、聞いてくれる？			あっ！　そうだ、冒険者さん！ボクのお願い、聞いてくれる？			深海より来たりしもの							
この「銀鮫の牙飾り」が、ボクを乗せてくれた小舟に落ちてたんだ。これきっと、サカナのオジサンが大切にしている宝物だよ！			この「銀鮫の牙飾り」が、ボクを乗せてくれた小舟に落ちてたんだ。これきっと、サカナのオジサンが大切にしている宝物だよ！			深海より来たりしもの							
きっと今ごろサカナのオジサン、困ってると思うの。だからお願い、冒険者さん！この「銀鮫の牙飾り」をオジサンに返してあげて！			きっと今ごろサカナのオジサン、困ってると思うの。だからお願い、冒険者さん！この「銀鮫の牙飾り」をオジサンに返してあげて！			深海より来たりしもの							
サカナのオジサンは「西ラノシア」の方に帰っていったよ。きっとあっちの方に、オジサンのオウチがあると思うの。「助けてくれてありがとう」って伝えてね！			サカナのオジサンは「西ラノシア」の方に帰っていったよ。きっとあっちの方に、オジサンのオウチがあると思うの。「助けてくれてありがとう」って伝えてね！			深海より来たりしもの							
