アプカル滝のヤ・ミトラの調査は、難航しているようだ。			アプカル滝のヤ・ミトラの調査は、難航しているようだ。			闇に葬られた頁							
ワンダラーパレスのスリト・カリトと話す			ワンダラーパレスのスリト・カリトと話す			フェアリーの行方							
キャンプ・トランキルのアルカ・ゾルカに報告			キャンプ・トランキルのアルカ・ゾルカに報告			フェアリーの行方							
指定地点で見渡す			指定地点で見渡す			フェアリーの行方							
指定地点で再度見渡す			指定地点で再度見渡す			フェアリーの行方							
指定地点でさらに見渡す			指定地点でさらに見渡す			フェアリーの行方							
キャンプ・トランキルのアルカ・ゾルカに報告			キャンプ・トランキルのアルカ・ゾルカに報告			フェアリーの行方							
……おかしい、おかしいよ。あれからずっと、セトトは眠ったままだ。			……おかしい、おかしいよ。あれからずっと、セトトは眠ったままだ。			フェアリーの行方							
セトトは、トンベリ病によって体内エーテルに変異が生じている。その状態で無理やりフェアリーを召喚しようとして、極度のエーテル不足に陥った……			セトトは、トンベリ病によって体内エーテルに変異が生じている。その状態で無理やりフェアリーを召喚しようとして、極度のエーテル不足に陥った……			フェアリーの行方							
……というのが、スリト・カリトさんが立てた仮説だ。			……というのが、スリト・カリトさんが立てた仮説だ。			フェアリーの行方							
通常は、休息を取ることでエーテルは回復するはずなんだ。だからしばらく様子を見ていたんだけど、そんな兆しは見えない。			通常は、休息を取ることでエーテルは回復するはずなんだ。だからしばらく様子を見ていたんだけど、そんな兆しは見えない。			フェアリーの行方							
……すまないけど、Forename君。「スリト・カリト」さんに相談してきてくれないか？僕は、ここに残ってセトトの看病をしなくちゃ。			……すまないけど、Forename君。「スリト・カリト」さんに相談してきてくれないか？僕は、ここに残ってセトトの看病をしなくちゃ。			フェアリーの行方							
緑の化け物の嬢ちゃんは、この鬼哭隊六番槍隊長、ランドゥネルが責任持って面倒見てやる。だから、安心しな。			緑の化け物の嬢ちゃんは、この鬼哭隊六番槍隊長、ランドゥネルが責任持って面倒見てやる。だから、安心しな。			フェアリーの行方							
……そうか、セトトはまだ目を覚まさないか。			……そうか、セトトはまだ目を覚まさないか。			フェアリーの行方							
通常、フェアリー召喚とは、術者である学者のエーテルを分割し、使い魔として実体化させるもの。			通常、フェアリー召喚とは、術者である学者のエーテルを分割し、使い魔として実体化させるもの。			フェアリーの行方							
召喚を解くことで、エーテルは学者自身に還るため、セトトのような昏睡状態に陥るようなことはないのだ。			召喚を解くことで、エーテルは学者自身に還るため、セトトのような昏睡状態に陥るようなことはないのだ。			フェアリーの行方							
……待て、もしかすると私は思い違いをしているのかもしれない。セトトはフェアリーの召喚に失敗したと決めつけていたが、実は、不完全ながらも成功していたんじゃないのか？			……待て、もしかすると私は思い違いをしているのかもしれない。セトトはフェアリーの召喚に失敗したと決めつけていたが、実は、不完全ながらも成功していたんじゃないのか？			フェアリーの行方							
つまり、無理に召喚しようとしたときに、意識を失うほど、大量のエーテルを放出したという仮説だ。			つまり、無理に召喚しようとしたときに、意識を失うほど、大量のエーテルを放出したという仮説だ。			フェアリーの行方							
そうして、不完全ながらも形成されたフェアリーが、古城アムダプールの外へと飛び去って行ったのかもしれない。この推論が正しければ、彼女を目覚めさせる方法はひとつしかない。			そうして、不完全ながらも形成されたフェアリーが、古城アムダプールの外へと飛び去って行ったのかもしれない。この推論が正しければ、彼女を目覚めさせる方法はひとつしかない。			フェアリーの行方							
フェアリーの不完全体「ライラック」を捜し、消滅させることだ。そうすれば、エーテルがセトトの体へと還り、目を覚ますはず。急ぎ、「アルカ・ゾルカ」君に、このことを伝えてくれ！			フェアリーの不完全体「ライラック」を捜し、消滅させることだ。そうすれば、エーテルがセトトの体へと還り、目を覚ますはず。急ぎ、「アルカ・ゾルカ」君に、このことを伝えてくれ！			フェアリーの行方							
緑の化け物の嬢ちゃんは、まだ目を覚ましてねェ。本当に眠っているだけなのか？			緑の化け物の嬢ちゃんは、まだ目を覚ましてねェ。本当に眠っているだけなのか？			フェアリーの行方							
「スリト・カリト」さんに相談すれば、何かわかるかもしれない。すまないが、ブロンズレイクに急いでくれ！			「スリト・カリト」さんに相談すれば、何かわかるかもしれない。すまないが、ブロンズレイクに急いでくれ！			フェアリーの行方							
Forename君、戻ったか。それで、スリト・カリトさんはなんと？			Forename君、戻ったか。それで、スリト・カリトさんはなんと？			フェアリーの行方							
ライラックを探して、消滅させろって？			ライラックを探して、消滅させろって？			フェアリーの行方							
確かに、セトトが倒れたとき、紫色のオーラが、城の外へと飛び去っていったような……あれは、不完全な状態で呼び出されたライラックだったのか！			確かに、セトトが倒れたとき、紫色のオーラが、城の外へと飛び去っていったような……あれは、不完全な状態で呼び出されたライラックだったのか！			フェアリーの行方							
しかし、消え去ったライラックを、いったいどうやって探せばいいんだ……。			しかし、消え去ったライラックを、いったいどうやって探せばいいんだ……。			フェアリーの行方							
テメェら、どうかしたのか？			テメェら、どうかしたのか？			フェアリーの行方							
はァ……フェアリーの不完全体ねェ……。そいつは、紫の球みてェな姿をしてやがるのか？			はァ……フェアリーの不完全体ねェ……。そいつは、紫の球みてェな姿をしてやがるのか？			フェアリーの行方							
何か心当たりがあるのか？			何か心当たりがあるのか？			フェアリーの行方							
いやな、最近になって、「亡霊を見た」っつー相談をしに来る奴が、何人かいやがってよォ。鬼哭隊のエライサン方から、調査命令が下ってんだよな。			いやな、最近になって、「亡霊を見た」っつー相談をしに来る奴が、何人かいやがってよォ。鬼哭隊のエライサン方から、調査命令が下ってんだよな。			フェアリーの行方							
なんでも、そいつァ「紫色の鬼火」みてェな姿をしてるらしいぜ。			なんでも、そいつァ「紫色の鬼火」みてェな姿をしてるらしいぜ。			フェアリーの行方							
きっとそれだ！ライラックに違いない！			きっとそれだ！ライラックに違いない！			フェアリーの行方							
今すぐ探しに行ってやりてェが、ほかにもめんどくせェ任務が山積みでな。悪いが、もう少し待ってもらうことになる。			今すぐ探しに行ってやりてェが、ほかにもめんどくせェ任務が山積みでな。悪いが、もう少し待ってもらうことになる。			フェアリーの行方							
それなら、僕たちが探しに行くよ！鬼哭隊には、セトトの面倒を見てもらってるし、お礼がしたいんだ！			それなら、僕たちが探しに行くよ！鬼哭隊には、セトトの面倒を見てもらってるし、お礼がしたいんだ！			フェアリーの行方							
へェ、殊勝な心がけじゃねェか。なら教えてやる、「紫色の鬼火」は、アッパーパスと蛇殻林で目撃されてるみてェだぜ。			へェ、殊勝な心がけじゃねェか。なら教えてやる、「紫色の鬼火」は、アッパーパスと蛇殻林で目撃されてるみてェだぜ。			フェアリーの行方							
ありがとう、ランドゥネルさん！			ありがとう、ランドゥネルさん！			フェアリーの行方							
トンベリの嬢ちゃん、若い身そらで苦労してるみてェだしな。困ってる女を放っておくのは、鬼哭隊六番槍隊長、ランドゥネルの名が廃るってもんよ。			トンベリの嬢ちゃん、若い身そらで苦労してるみてェだしな。困ってる女を放っておくのは、鬼哭隊六番槍隊長、ランドゥネルの名が廃るってもんよ。			フェアリーの行方							
セトトのこと、だいぶ気にかけてくれてるみたいだね。やっぱり、悪い人じゃないんだな。			セトトのこと、だいぶ気にかけてくれてるみたいだね。やっぱり、悪い人じゃないんだな。			フェアリーの行方							
それじゃ、Forename君！手分けして「紫色の鬼火」を探そう！君は「アッパーパス」を頼んだぞ！			それじゃ、Forename君！手分けして「紫色の鬼火」を探そう！君は「アッパーパス」を頼んだぞ！			フェアリーの行方							
Forename君、私が話したことを急ぎ「アルカ・ゾルカ」君に伝えてくれ。なんとしても、ライラックを探し出さなければ。			Forename君、私が話したことを急ぎ「アルカ・ゾルカ」君に伝えてくれ。なんとしても、ライラックを探し出さなければ。			フェアリーの行方							
この辺りには、怪しい光は見えないようだ……。			この辺りには、怪しい光は見えないようだ……。			フェアリーの行方							
ゆらゆらと宙に浮かんでいる怪しい光を発見した！			ゆらゆらと宙に浮かんでいる怪しい光を発見した！			フェアリーの行方							
怪しく光る物体は、こちらの姿を確認すると、異音を発しながら、襲いかかってきた！			怪しく光る物体は、こちらの姿を確認すると、異音を発しながら、襲いかかってきた！			フェアリーの行方							
トンベリの嬢ちゃんのためにも、さっさと「紫色の鬼火」を見つけ出してやりてェとこだが……。			トンベリの嬢ちゃんのためにも、さっさと「紫色の鬼火」を見つけ出してやりてェとこだが……。			フェアリーの行方							
戻ったか、相棒！			戻ったか、相棒！			フェアリーの行方							
紫色の光を見つけて斬りかかってみたんだけど、ただのウィル・オ・ザ・ウィスプだったよ……。そっちはどうだった？			紫色の光を見つけて斬りかかってみたんだけど、ただのウィル・オ・ザ・ウィスプだったよ……。そっちはどうだった？			フェアリーの行方							
……そうか……君もハズレだったか。ちくしょう、ライラックはどこへ行ったんだ！？			……そうか……君もハズレだったか。ちくしょう、ライラックはどこへ行ったんだ！？			フェアリーの行方							
テメェら、空振りだったようだが、新たな情報が入ってきやがったぞ！「紫色の鬼火」が、俺の部下を襲って逃亡中だ！			テメェら、空振りだったようだが、新たな情報が入ってきやがったぞ！「紫色の鬼火」が、俺の部下を襲って逃亡中だ！			フェアリーの行方							
な、なんだってー！？			な、なんだってー！？			フェアリーの行方							
ヤツが逃げた先は、古アムダプール市街！すぐに追いかけてブチ殺してやりてェところだが、あの遺跡は、森を蝕む瘴気が満ちていて、封鎖されてるんだ。			ヤツが逃げた先は、古アムダプール市街！すぐに追いかけてブチ殺してやりてェところだが、あの遺跡は、森を蝕む瘴気が満ちていて、封鎖されてるんだ。			フェアリーの行方							
大封扉を開けて中に入るには、エライサン方の許しが必要だ。俺が掛け合ってくるから、それまでテメェらは待ってやがれ！			大封扉を開けて中に入るには、エライサン方の許しが必要だ。俺が掛け合ってくるから、それまでテメェらは待ってやがれ！			フェアリーの行方							
ランドゥネルさん、そこまでしてくれるなんて……。「紫色の鬼火」を探し出す任務とはいえ、どうしてそこまで……。			ランドゥネルさん、そこまでしてくれるなんて……。「紫色の鬼火」を探し出す任務とはいえ、どうしてそこまで……。			フェアリーの行方							
言ったろ、苦しんでる女を放っておくのは、俺の名が廃るってな。それに、ある人に言われてるんだよ。「強き力は弱き者のために」……ってな。			言ったろ、苦しんでる女を放っておくのは、俺の名が廃るってな。それに、ある人に言われてるんだよ。「強き力は弱き者のために」……ってな。			フェアリーの行方							
それはそうとテメェら、準備を怠るんじゃねェぞ。……こいつァ、少しアブねェシゴトになるぜ？			それはそうとテメェら、準備を怠るんじゃねェぞ。……こいつァ、少しアブねェシゴトになるぜ？			フェアリーの行方							
「アルカ・ゾルカ」が戻ってきたみてェだぞ。「紫色の鬼火」が見つかったか、話を聞いてみたらどうだ。			「アルカ・ゾルカ」が戻ってきたみてェだぞ。「紫色の鬼火」が見つかったか、話を聞いてみたらどうだ。			フェアリーの行方							
ロウェナ記念会館のラルフは、冒険者に一生のお願いがあるようだ。			ロウェナ記念会館のラルフは、冒険者に一生のお願いがあるようだ。			本場のレシピ							
ラルフは、寿司に挑戦してみたいという。冒険者はひんがしの国へ寿司のイロハを学びにいくことになった。クガネの望海楼にいる「カラク」と話そう。			ラルフは、寿司に挑戦してみたいという。冒険者はひんがしの国へ寿司のイロハを学びにいくことになった。クガネの望海楼にいる「カラク」と話そう。			本場のレシピ							
カラクと話した。寿司職人のシャモジは紅玉海へ漁に出ているという。紅玉海のベッコウ島付近の海中で「シャモジらしき者」を探そう。			カラクと話した。寿司職人のシャモジは紅玉海へ漁に出ているという。紅玉海のベッコウ島付近の海中で「シャモジらしき者」を探そう。			本場のレシピ							
シャモジらしき者を見つけた。彼はコウジン族で、取りつく島もなく去っていった。望海楼の「シャモジ」と話そう。			シャモジらしき者を見つけた。彼はコウジン族で、取りつく島もなく去っていった。望海楼の「シャモジ」と話そう。			本場のレシピ							
シャモジと話したところ、デルモンが現れて彼を説得してくれた。冒険者はシャモジから寿司のイロハを教わった。ロウェナ記念会館へ戻り「ラルフ」と話そう。			シャモジと話したところ、デルモンが現れて彼を説得してくれた。冒険者はシャモジから寿司のイロハを教わった。ロウェナ記念会館へ戻り「ラルフ」と話そう。			本場のレシピ							
ラルフと話した。彼に寿司のイロハを教え、寿司を作るよう頼まれた。ラルフからもらった「寿司の材料」をもとに「握り寿司」を製作し、ロウェナ記念会館の「ラルフ」に納品しよう。※「寿司の材料」を失った場合は、ロウェナ記念会館にいるポピンに話しかけましょう。材料を入手し、再挑戦が可能になります。			ラルフと話した。彼に寿司のイロハを教え、寿司を作るよう頼まれた。ラルフからもらった「寿司の材料」をもとに「握り寿司」を製作し、ロウェナ記念会館の「ラルフ」に納品しよう。※「寿司の材料」を失った場合は、ロウェナ記念会館にいるポピンに話しかけましょう。材料を入手し、再挑戦が可能になります。			本場のレシピ							
握り寿司をラルフに納品した。ウンザンたちをカフェテラスに招待しているという。ロウェナ記念会館のカフェテラスにいる「ラルフ」と話そう。			握り寿司をラルフに納品した。ウンザンたちをカフェテラスに招待しているという。ロウェナ記念会館のカフェテラスにいる「ラルフ」と話そう。			本場のレシピ							
ラルフと話した。ウンザンはラルフの寿司を嫌いではないという。だが、アンズとの結婚を認めないのは、調理師として半端者だからではなく、ラルフがアラミゴ出身のハイランダー族だからなのだと告げられた。ラルフは冒険者に戻ると言って去っていった。ロウェナ記念会館のカフェテラスに取り残された「アンズ」と話そう。			ラルフと話した。ウンザンはラルフの寿司を嫌いではないという。だが、アンズとの結婚を認めないのは、調理師として半端者だからではなく、ラルフがアラミゴ出身のハイランダー族だからなのだと告げられた。ラルフは冒険者に戻ると言って去っていった。ロウェナ記念会館のカフェテラスに取り残された「アンズ」と話そう。			本場のレシピ							
アンズと話した。彼女によると、ラルフには何か考えがあるという。ロウェナ記念会館の「ラルフ」と話そう。			アンズと話した。彼女によると、ラルフには何か考えがあるという。ロウェナ記念会館の「ラルフ」と話そう。			本場のレシピ							
ラルフと話したところ、彼は調理師を辞めて冒険者に戻っていた。だが、アンズとの結婚を諦めたわけではないようだ。新たなる東方料理に挑むため、修行を積もう。※調理師のレベルが70以上になると、レヴナンツトールのラルフから次の調理師クエストを受注することができます。			ラルフと話したところ、彼は調理師を辞めて冒険者に戻っていた。だが、アンズとの結婚を諦めたわけではないようだ。新たなる東方料理に挑むため、修行を積もう。※調理師のレベルが70以上になると、レヴナンツトールのラルフから次の調理師クエストを受注することができます。			本場のレシピ							
クガネのカラクと話す			クガネのカラクと話す			本場のレシピ							
紅玉海のシャモジらしき者を探す			紅玉海のシャモジらしき者を探す			本場のレシピ							
クガネのシャモジと話す			クガネのシャモジと話す			本場のレシピ							
レヴナンツトールのラルフに報告			レヴナンツトールのラルフに報告			本場のレシピ							
製作手帳 クラスクエスト：握り寿司を製作ラルフに握り寿司を納品			製作手帳 クラスクエスト：握り寿司を製作ラルフに握り寿司を納品			本場のレシピ							
ラルフと話す			ラルフと話す			本場のレシピ							
アンズと話す			アンズと話す			本場のレシピ							
ラルフと話す			ラルフと話す			本場のレシピ							
Forenameさん、来てくれたんだな。あれから、うどんの麺を何度も打ち直して、なんとか、ウンザンさんに指摘された、コシってやつを出せた。			Forenameさん、来てくれたんだな。あれから、うどんの麺を何度も打ち直して、なんとか、ウンザンさんに指摘された、コシってやつを出せた。			本場のレシピ							
つゆも、アンタが作ったものを参考に、試行錯誤を繰り返して、やっとのことで、店でうどんを売り出すことができたよ。			つゆも、アンタが作ったものを参考に、試行錯誤を繰り返して、やっとのことで、店でうどんを売り出すことができたよ。			本場のレシピ							
苦労の甲斐あってか、うどんはドマの民だけに留まらず、好奇心旺盛な冒険者たちにも、人気が出ているんだ……！			苦労の甲斐あってか、うどんはドマの民だけに留まらず、好奇心旺盛な冒険者たちにも、人気が出ているんだ……！			本場のレシピ							
そして、次に挑戦したい東方料理なんだが、ドマの民がみんな大好きだという、「寿司」に挑戦してみたい。なんでも、米に生魚をのせたもので、東方では最高のご馳走らしい。			そして、次に挑戦したい東方料理なんだが、ドマの民がみんな大好きだという、「寿司」に挑戦してみたい。なんでも、米に生魚をのせたもので、東方では最高のご馳走らしい。			本場のレシピ							
俺には想像もつかないんで、アンズに聞いてみたところ。寿司の発祥の地、ひんがしの国の寿司職人から、そのイロハを学ばないと、作ることは難しいというんだ。			俺には想像もつかないんで、アンズに聞いてみたところ。寿司の発祥の地、ひんがしの国の寿司職人から、そのイロハを学ばないと、作ることは難しいというんだ。			本場のレシピ							
しかし、俺は店を離れて遠くまで行くことはできない。アンタに、一生のお願いをさせてくれ……。			しかし、俺は店を離れて遠くまで行くことはできない。アンタに、一生のお願いをさせてくれ……。			本場のレシピ							
どうか、俺の代わりにクガネへ赴いて、寿司職人から、寿司のイロハを学んできてくれないか？			どうか、俺の代わりにクガネへ赴いて、寿司職人から、寿司のイロハを学んできてくれないか？			本場のレシピ							
寿司のイロハを学びにいく？			寿司のイロハを学びにいく？			本場のレシピ							
ありがとう、恩に着るよ！アンタには世話になりっ放しだな……。			ありがとう、恩に着るよ！アンタには世話になりっ放しだな……。			本場のレシピ							
そうか……。さすがに出過ぎた頼みだったか……。			そうか……。さすがに出過ぎた頼みだったか……。			本場のレシピ							
な、なあ……どうしてもダメか？頼むよ、アンタしか頼れる人はいないんだ……。			な、なあ……どうしてもダメか？頼むよ、アンタしか頼れる人はいないんだ……。			本場のレシピ							
ありがとう、恩に着るよ！アンタにはもう頭が上がらないな……。			ありがとう、恩に着るよ！アンタにはもう頭が上がらないな……。			本場のレシピ							
アンズによると、クガネという港町にある、宿屋「望海楼」の寿司職人こそ、超一流の腕を持っているそうだ。			アンズによると、クガネという港町にある、宿屋「望海楼」の寿司職人こそ、超一流の腕を持っているそうだ。			本場のレシピ							
向こうに着いたら、まずは、その「望海楼」の主人を訪ねてみてほしい。俺は、アンタが戻るまでに、最高の素材を揃えておくよ。			向こうに着いたら、まずは、その「望海楼」の主人を訪ねてみてほしい。俺は、アンタが戻るまでに、最高の素材を揃えておくよ。			本場のレシピ							
クガネに着いたら、まずは、宿屋「望海楼」の主人を訪ねてみてほしい。俺は、アンタが戻るまでに、最高の素材を揃えておくよ。			クガネに着いたら、まずは、宿屋「望海楼」の主人を訪ねてみてほしい。俺は、アンタが戻るまでに、最高の素材を揃えておくよ。			本場のレシピ							
おいでませ！火傷によし、切り傷によし、皮膚の病によし！海を望む温泉が自慢の宿、「望海楼」へようこそ！			おいでませ！火傷によし、切り傷によし、皮膚の病によし！海を望む温泉が自慢の宿、「望海楼」へようこそ！			本場のレシピ							
ふむ、うちの寿司職人にご用があると……。こちらは湯が自慢の温泉宿ですが、料理も最高のものを、お出ししていますからね。			ふむ、うちの寿司職人にご用があると……。こちらは湯が自慢の温泉宿ですが、料理も最高のものを、お出ししていますからね。			本場のレシピ							
特に寿司は、遠方からもお客様が食べにいらっしゃるほどです。ただ、寿司職人の「シャモジ」は只今、自ら素材を獲りに、漁に出ている最中でございます。			特に寿司は、遠方からもお客様が食べにいらっしゃるほどです。ただ、寿司職人の「シャモジ」は只今、自ら素材を獲りに、漁に出ている最中でございます。			本場のレシピ							
おそらく、しばらくは戻らないものかと……。どうしても、いますぐ用があるというならば、紅玉海で漁をしているので、探してみてはいかがでしょうか？			おそらく、しばらくは戻らないものかと……。どうしても、いますぐ用があるというならば、紅玉海で漁をしているので、探してみてはいかがでしょうか？			本場のレシピ							
「シャモジ」は、ベッコウ島付近の海で漁をしてます。個性的な者なので、すぐに見つかると思いますよ。もっとも、海に潜ることができればの話ですがね……フフフ。			「シャモジ」は、ベッコウ島付近の海で漁をしてます。個性的な者なので、すぐに見つかると思いますよ。もっとも、海に潜ることができればの話ですがね……フフフ。			本場のレシピ							
「シャモジ」は、ベッコウ島付近の海で漁をしてます。個性的な者なので、すぐに見つかると思いますよ。もっとも、海に潜ることができればの話ですがね……フフフ。			「シャモジ」は、ベッコウ島付近の海で漁をしてます。個性的な者なので、すぐに見つかると思いますよ。もっとも、海に潜ることができればの話ですがね……フフフ。			本場のレシピ							
なんだテメェはぁ～？亀が漁をしている最中に話しかけるなんて、ふてぇ野郎だなぁ～。			なんだテメェはぁ～？亀が漁をしている最中に話しかけるなんて、ふてぇ野郎だなぁ～。			本場のレシピ							
ああ、そうだ、俺がシャモジだぁ～。寿司を握らせたら、右に出る亀はいねぇ、泣く子亀も黙る、超一流の寿司職人だよぉ～！			ああ、そうだ、俺がシャモジだぁ～。寿司を握らせたら、右に出る亀はいねぇ、泣く子亀も黙る、超一流の寿司職人だよぉ～！			本場のレシピ							
コウジン族だからって、ナメんじゃねぇぞぉ～。それにしても、こんな海の底まで何の用できたってんだぁ～？			コウジン族だからって、ナメんじゃねぇぞぉ～。それにしても、こんな海の底まで何の用できたってんだぁ～？			本場のレシピ							
寿司のイロハを教えてくれだとぉ～？てやんでぃ、どこのエイの骨だかわからねぇ奴に、そんなもん簡単に教えられるかってんだぁ～！			寿司のイロハを教えてくれだとぉ～？てやんでぃ、どこのエイの骨だかわからねぇ奴に、そんなもん簡単に教えられるかってんだぁ～！			本場のレシピ							
今日は、漁もイマイチだし、俺はもう「望海楼」に戻るぜぇ～！いいか、もう俺の前に顔を出すなよぉ～！			今日は、漁もイマイチだし、俺はもう「望海楼」に戻るぜぇ～！いいか、もう俺の前に顔を出すなよぉ～！			本場のレシピ							
まさか、本当に海に潜って探してくるとは……お見それしました。シャモジはコウジン族ですが、その大きな手からは、想像もつかないくらい、繊細な寿司を握るんですよ。			まさか、本当に海に潜って探してくるとは……お見それしました。シャモジはコウジン族ですが、その大きな手からは、想像もつかないくらい、繊細な寿司を握るんですよ。			本場のレシピ							
あ、テメェ、また来やがったなぁ～！だから、寿司のイロハなんざ、簡単に教えられねぇってんだよぉ～！			あ、テメェ、また来やがったなぁ～！だから、寿司のイロハなんざ、簡単に教えられねぇってんだよぉ～！			本場のレシピ							
(-？？？？-)Forenameさん、こんなところで再会できるとは……。あああ、あなたの顔を見るだけで、口の中に、あのシュニッツェルの味が思い出されます。			(-？？？？-)Forenameさん、こんなところで再会できるとは……。あああ、あなたの顔を見るだけで、口の中に、あのシュニッツェルの味が思い出されます。			本場のレシピ							
寿司を食べに来たのですが、寿司職人が不在ということで、帰ろうとしていたところ、あなたを見かけましてね。それも、寿司のイロハを学びにきたようで……。			寿司を食べに来たのですが、寿司職人が不在ということで、帰ろうとしていたところ、あなたを見かけましてね。それも、寿司のイロハを学びにきたようで……。			本場のレシピ							
デ、デルモンさん、いらしていたんですねぇ～。すいやせん、今すぐ寿司を用意しやす！			デ、デルモンさん、いらしていたんですねぇ～。すいやせん、今すぐ寿司を用意しやす！			本場のレシピ							
いえ、それよりも、こちらの調理師に、寿司のイロハを教えてやってくださいませんか？デルモン・ドールで満点を取った方です、その腕は私が保証します。			いえ、それよりも、こちらの調理師に、寿司のイロハを教えてやってくださいませんか？デルモン・ドールで満点を取った方です、その腕は私が保証します。			本場のレシピ							
あ、あのデルモン・ドールで満点を取ったですとぉ～！？10点満点は、デルモンさんの伝説を超えうるということ……。			あ、あのデルモン・ドールで満点を取ったですとぉ～！？10点満点は、デルモンさんの伝説を超えうるということ……。			本場のレシピ							
しょうがねぇ～。デルモンさんのお墨付きってんなら、教えてやるよぉ～！			しょうがねぇ～。デルモンさんのお墨付きってんなら、教えてやるよぉ～！			本場のレシピ							
それはよかった……では、私はこれにて失礼します。東方文化を取り込んだ、Forenameさんの料理。いつか、食べられることを楽しみにしていますよ。			それはよかった……では、私はこれにて失礼します。東方文化を取り込んだ、Forenameさんの料理。いつか、食べられることを楽しみにしていますよ。			本場のレシピ							
さあ、厨房でみっちり、寿司のイロハってやつを、叩き込んでやらぁ～！			さあ、厨房でみっちり、寿司のイロハってやつを、叩き込んでやらぁ～！			本場のレシピ							
さすがは、デルモンさんお墨付きの料理人だ。あっという間に、イロハを覚えやがったなぁ～。			さすがは、デルモンさんお墨付きの料理人だ。あっという間に、イロハを覚えやがったなぁ～。			本場のレシピ							
あと10年も修行すれば、相当な寿司職人になれるはずだが、もう帰っちまうなんて、惜しいもんだねぇ～。せいぜい、エオルゼアで寿司を広めてくれ……あばよぉ～！			あと10年も修行すれば、相当な寿司職人になれるはずだが、もう帰っちまうなんて、惜しいもんだねぇ～。せいぜい、エオルゼアで寿司を広めてくれ……あばよぉ～！			本場のレシピ							
どうやら、寿司のイロハを学べたようですね。お疲れのようでしたら、ぜひとも温泉に浸かって、身体を休めていってください。			どうやら、寿司のイロハを学べたようですね。お疲れのようでしたら、ぜひとも温泉に浸かって、身体を休めていってください。			本場のレシピ							
ラルフさんと、寿司の素材を揃えておきました。漁師から直接仕入れた新鮮な魚介と、園芸師に厳選して採集してもらった新米ですよ。			ラルフさんと、寿司の素材を揃えておきました。漁師から直接仕入れた新鮮な魚介と、園芸師に厳選して採集してもらった新米ですよ。			本場のレシピ							
Forenameさん、お帰りなさい！寿司のイロハを、学んできてくれたようだな。こっちも、新鮮な魚介と、厳選した新米を揃えておいたぞ。			Forenameさん、お帰りなさい！寿司のイロハを、学んできてくれたようだな。こっちも、新鮮な魚介と、厳選した新米を揃えておいたぞ。			本場のレシピ							
長旅で疲れているところを申し訳ないが、さっそく、その本場仕込みの寿司のイロハを、俺にも教えてくれ！			長旅で疲れているところを申し訳ないが、さっそく、その本場仕込みの寿司のイロハを、俺にも教えてくれ！			本場のレシピ							
なるほど、寿司とは、ただ米に生魚をのせたものじゃなく、すべての素材の持ち味を、最大限に引き出したものなんだな。東方料理ってのは、単純なようで奥が深いもんだ……。			なるほど、寿司とは、ただ米に生魚をのせたものじゃなく、すべての素材の持ち味を、最大限に引き出したものなんだな。東方料理ってのは、単純なようで奥が深いもんだ……。			本場のレシピ							
よし、さっそく寿司を作って、ドマの民に振舞おう。ここは是非とも、ウンザンさんとアンズに食べてもらいたい。			よし、さっそく寿司を作って、ドマの民に振舞おう。ここは是非とも、ウンザンさんとアンズに食べてもらいたい。			本場のレシピ							
お義父さんはドマの料理人。その確かな舌で評価してもらえば、きっと間違いはないはず。だが、いきなり俺ひとりで、二人前も作るのは難しそうだ……。			お義父さんはドマの料理人。その確かな舌で評価してもらえば、きっと間違いはないはず。だが、いきなり俺ひとりで、二人前も作るのは難しそうだ……。			本場のレシピ							
すまないが、アンタにも、この最高の寿司の材料を渡すんで、「握り寿司」を一人前作ってもらいたい。			すまないが、アンタにも、この最高の寿司の材料を渡すんで、「握り寿司」を一人前作ってもらいたい。			本場のレシピ							
材料が足りなくなったら、いつもどおり、「ポピン」から受け取ってくれ。お互い、渾身の寿司を作ろうぜ！			材料が足りなくなったら、いつもどおり、「ポピン」から受け取ってくれ。お互い、渾身の寿司を作ろうぜ！			本場のレシピ							
寿司の材料が足りなくなったら、いつでもお伝えください。漁師から直接仕入れた新鮮な魚介と、園芸師に厳選して採集してもらった新米ですよ。			寿司の材料が足りなくなったら、いつでもお伝えください。漁師から直接仕入れた新鮮な魚介と、園芸師に厳選して採集してもらった新米ですよ。			本場のレシピ							
見事な「握り寿司」が完成したみたいですね。初めて見ましたが、見た目もとても美しい。どうやら、「ラルフ」さんもできたみたいですよ。			見事な「握り寿司」が完成したみたいですね。初めて見ましたが、見た目もとても美しい。どうやら、「ラルフ」さんもできたみたいですよ。			本場のレシピ							
「握り寿司」は完成したか？イロハを教わったとはいえ、なかなかに難しいもんだな……。			「握り寿司」は完成したか？イロハを教わったとはいえ、なかなかに難しいもんだな……。			本場のレシピ							
ありがとう！　こっちもなんとか、完成させたぞ。さあ、ウンザンさんたちを招待するから、「カフェテラス」の席へ向かおう。			ありがとう！　こっちもなんとか、完成させたぞ。さあ、ウンザンさんたちを招待するから、「カフェテラス」の席へ向かおう。			本場のレシピ							
寿司は初めて見ましたが、見た目もとても美しいですね。ウンザンさんたちも、きっと喜んでくれるはずです。さあ、カフェテラスで「ラルフ」さんが待ってますよ。			寿司は初めて見ましたが、見た目もとても美しいですね。ウンザンさんたちも、きっと喜んでくれるはずです。さあ、カフェテラスで「ラルフ」さんが待ってますよ。			本場のレシピ							
