トライヨラのボロガーは、冒険者に伝えたいことがあるようだ。			トライヨラのボロガーは、冒険者に伝えたいことがあるようだ。			トラル大陸のモブハント（リスキー）							
一万年前に滅亡した「ジラート文明」の生き残りだ。			一万年前に滅亡した「ジラート文明」の生き残りだ。			一万年の夢の残響							
ヴァナ・ディールの種族が5つに分かれる前の時代の人間さ。			ヴァナ・ディールの種族が5つに分かれる前の時代の人間さ。			一万年の夢の残響							
ばかげた話に聞こえるかもしれねぇけどさ、そういうとんでもねぇ存在がいるんだよ。			ばかげた話に聞こえるかもしれねぇけどさ、そういうとんでもねぇ存在がいるんだよ。			一万年の夢の残響							
何と言う？			何と言う？			一万年の夢の残響							
こちらの世界にも古代人がいた			こちらの世界にも古代人がいた			一万年の夢の残響							
アシエンのような存在か……			アシエンのような存在か……			一万年の夢の残響							
おまえらの世界にも、ジラートみたいな古代人がいたってのか？やっぱ、ふたつの世界は似てるんだな。			おまえらの世界にも、ジラートみたいな古代人がいたってのか？やっぱ、ふたつの世界は似てるんだな。			一万年の夢の残響							
たしか……カムラナートには兄がいたはずだ。ヴァナ・ディールを観測したサレージャが、知らぬとは思えないが……。			たしか……カムラナートには兄がいたはずだ。ヴァナ・ディールを観測したサレージャが、知らぬとは思えないが……。			一万年の夢の残響							
いま、「兄」と言ったか？そのことを知っているとは……貴様、何者だ？			いま、「兄」と言ったか？そのことを知っているとは……貴様、何者だ？			一万年の夢の残響							
戯言に耳を貸してはなりませぬ。何者であろうと、あなたの手で始末すれば同じこと……。			戯言に耳を貸してはなりませぬ。何者であろうと、あなたの手で始末すれば同じこと……。			一万年の夢の残響							
見え透いたことを。おまえは、この冒険者を使って私の力を量りたいだけだろう？			見え透いたことを。おまえは、この冒険者を使って私の力を量りたいだけだろう？			一万年の夢の残響							
しかし、今は口車に乗ってやろう。おまえの用意した相手は、有象無象とは違うようだからな。			しかし、今は口車に乗ってやろう。おまえの用意した相手は、有象無象とは違うようだからな。			一万年の夢の残響							
いいだろう、相手をしてやる。			いいだろう、相手をしてやる。			一万年の夢の残響							
大公もその気になっていただけたところで、そろそろ第二幕を始めるとしましょう。			大公もその気になっていただけたところで、そろそろ第二幕を始めるとしましょう。			一万年の夢の残響							
待て、サレージャ！			待て、サレージャ！			一万年の夢の残響							
本当に、俺は……おまえが創り出した「エコーズの残滓」なのか……？			本当に、俺は……おまえが創り出した「エコーズの残滓」なのか……？			一万年の夢の残響							
そのことなら、以前にもお伝えしたはずですが……なるほど、頭では理解できていても、心が認めたくないようだ。なんとも、痛々しく哀れではありませんか。			そのことなら、以前にもお伝えしたはずですが……なるほど、頭では理解できていても、心が認めたくないようだ。なんとも、痛々しく哀れではありませんか。			一万年の夢の残響							
ならば、もう悩まずに済むようにして差し上げましょう。エレクトロープに還ることでね……。			ならば、もう悩まずに済むようにして差し上げましょう。エレクトロープに還ることでね……。			一万年の夢の残響							
(-魔のバクージャジャ-)グワァッ！			(-魔のバクージャジャ-)グワァッ！			一万年の夢の残響							
バクージャジャっ！			バクージャジャっ！			一万年の夢の残響							
身を挺してまがい物をかばうとは……。そこまで愚かだとは思わなかったぞ、バクージャジャ。			身を挺してまがい物をかばうとは……。そこまで愚かだとは思わなかったぞ、バクージャジャ。			一万年の夢の残響							
とはいえ、邪魔者が減ったのは僥倖です。私が創り出した新たな「残滓」と戦い、真なる王の器の選定にお付き合いいただきましょう。			とはいえ、邪魔者が減ったのは僥倖です。私が創り出した新たな「残滓」と戦い、真なる王の器の選定にお付き合いいただきましょう。			一万年の夢の残響							
この私に相応しい戦場にて待つ。たどり着いてみせよ。			この私に相応しい戦場にて待つ。たどり着いてみせよ。			一万年の夢の残響							
(-戦のバクージャジャ-)よォ、無事か嬢ちゃん……。			(-戦のバクージャジャ-)よォ、無事か嬢ちゃん……。			一万年の夢の残響							
わりぃ、俺のせいで……。			わりぃ、俺のせいで……。			一万年の夢の残響							
この手でサレージャをぶっ飛ばしに行きてぇところだが、傷ついたおまえを放っておくわけにはいかねぇ。今度は俺が護ってやる！			この手でサレージャをぶっ飛ばしに行きてぇところだが、傷ついたおまえを放っておくわけにはいかねぇ。今度は俺が護ってやる！			一万年の夢の残響							
あの先で、カムラナートが待っているようだな。			あの先で、カムラナートが待っているようだな。			一万年の夢の残響							
サレージャの目的に付き合うつもりはないが、ヴァナ・ディールの記憶を悪用させるわけにはいかない。万全の準備をした上で、突入するとしよう。			サレージャの目的に付き合うつもりはないが、ヴァナ・ディールの記憶を悪用させるわけにはいかない。万全の準備をした上で、突入するとしよう。			一万年の夢の残響							
(-戦のバクージャジャ-)チッ、一度ならず二度までも……幻影とはいえ、さすがは前連王だぜ。			(-戦のバクージャジャ-)チッ、一度ならず二度までも……幻影とはいえ、さすがは前連王だぜ。			一万年の夢の残響							
バクージャジャのことは任せとけ、今度は俺が護る番だ。おまえの力、カムラナートの野郎に見せてこいよな！			バクージャジャのことは任せとけ、今度は俺が護る番だ。おまえの力、カムラナートの野郎に見せてこいよな！			一万年の夢の残響							
狡猾なサレージャのことだ。カムラナートのほかにも、強力な「残滓」を用意しているだろう。くれぐれも、気を抜くことがないようにな。			狡猾なサレージャのことだ。カムラナートのほかにも、強力な「残滓」を用意しているだろう。くれぐれも、気を抜くことがないようにな。			一万年の夢の残響							
(-戦のバクージャジャ-)無事に戻ってきたみてェだな。嬢ちゃんも心配してたんだぜ。……だが、アルシャールのヤツはどうした？			(-戦のバクージャジャ-)無事に戻ってきたみてェだな。嬢ちゃんも心配してたんだぜ。……だが、アルシャールのヤツはどうした？			一万年の夢の残響							
よぉ、Forename。おまえが戻ってきて何よりだぜ。			よぉ、Forename。おまえが戻ってきて何よりだぜ。			一万年の夢の残響							
けど、アルシャールの姿が見当たらねぇな。いったい、突入した先で何があったんだ？			けど、アルシャールの姿が見当たらねぇな。いったい、突入した先で何があったんだ？			一万年の夢の残響							
ジラート兄弟に加えて、アルテマやオメガまで……。サレージャのやつ、そんなもんまで創り出しやがったのか……。			ジラート兄弟に加えて、アルテマやオメガまで……。サレージャのやつ、そんなもんまで創り出しやがったのか……。			一万年の夢の残響							
ともかく、アルシャールとは途中ではぐれたんだな。あいつだってそうそうやられるやつじゃねぇ。無事を信じて待とうぜ。			ともかく、アルシャールとは途中ではぐれたんだな。あいつだってそうそうやられるやつじゃねぇ。無事を信じて待とうぜ。			一万年の夢の残響							
てめぇ、サレージャ！			てめぇ、サレージャ！			一万年の夢の残響							
おやおや、ひとり足りないようですな。もしや戦いの最中に命を落とされたのでしょうか……？なんと、痛ましいことだ……。			おやおや、ひとり足りないようですな。もしや戦いの最中に命を落とされたのでしょうか……？なんと、痛ましいことだ……。			一万年の夢の残響							
おっと……まがい物に「命」など、不適切な表現でしたな。			おっと……まがい物に「命」など、不適切な表現でしたな。			一万年の夢の残響							
そんなことよりも、すべての「エコーズの残滓」を撃退するとは、いやはや感服いたしました。見事な戦いぶりを評し、直接賛辞を届けに参ったのです。			そんなことよりも、すべての「エコーズの残滓」を撃退するとは、いやはや感服いたしました。見事な戦いぶりを評し、直接賛辞を届けに参ったのです。			一万年の夢の残響							
おかげで、よい知見が得られました。次の選定に活かさせていただきますよ。			おかげで、よい知見が得られました。次の選定に活かさせていただきますよ。			一万年の夢の残響							
なーに言ってんだ！本当は負けて悔しいくせに、強がってんじゃねぇ！			なーに言ってんだ！本当は負けて悔しいくせに、強がってんじゃねぇ！			一万年の夢の残響							
とんでもない、私は本心で申し上げているのですよ。冒険者殿が強者であればあるほど、「真なる王」に相応しい器の選定が進むのですからね！			とんでもない、私は本心で申し上げているのですよ。冒険者殿が強者であればあるほど、「真なる王」に相応しい器の選定が進むのですからね！			一万年の夢の残響							
(-戦のバクージャジャ-)……わからねェな。テメェはどうしてそうまでして、「王」を創り上げてェんだ？			(-戦のバクージャジャ-)……わからねェな。テメェはどうしてそうまでして、「王」を創り上げてェんだ？			一万年の夢の残響							
私が、新たな王とともに国を統治するに相応しい存在であると、今度こそ世に知らしめるためにほかなりません。「継承の儀」では、ハズレを引いてしまいましたから。			私が、新たな王とともに国を統治するに相応しい存在であると、今度こそ世に知らしめるためにほかなりません。「継承の儀」では、ハズレを引いてしまいましたから。			一万年の夢の残響							
(-魔のバクージャジャ-)だったら、こんなやり方しなくたって、現連王を支えることで証明すればいいんじゃなァい？			(-魔のバクージャジャ-)だったら、こんなやり方しなくたって、現連王を支えることで証明すればいいんじゃなァい？			一万年の夢の残響							
(-戦のバクージャジャ-)てめェと共謀して秘石を奪ったオレにさえ、ふたりの王は贖罪の機会をくれたんだ。きっと、今回だって……。			(-戦のバクージャジャ-)てめェと共謀して秘石を奪ったオレにさえ、ふたりの王は贖罪の機会をくれたんだ。きっと、今回だって……。			一万年の夢の残響							
私は同族以外を王として認める気はない。貴様もそう信じていたからこそ、王位を欲したのだろう？			私は同族以外を王として認める気はない。貴様もそう信じていたからこそ、王位を欲したのだろう？			一万年の夢の残響							
薄々気付いているのではないか？今の貴様は、武王ウクラマトにまんまと絆され、双頭の武力を都合よく使われているだけに過ぎないのだと。			薄々気付いているのではないか？今の貴様は、武王ウクラマトにまんまと絆され、双頭の武力を都合よく使われているだけに過ぎないのだと。			一万年の夢の残響							
主が変われば、再びもとの小悪党へ逆戻り。所詮、野良犬に小綺麗な生き方などできぬのだ……。			主が変われば、再びもとの小悪党へ逆戻り。所詮、野良犬に小綺麗な生き方などできぬのだ……。			一万年の夢の残響							
(-戦のバクージャジャ-)違うッ！オレサマは……！！			(-戦のバクージャジャ-)違うッ！オレサマは……！！			一万年の夢の残響							
(-戦のバクージャジャ-)グッ……！			(-戦のバクージャジャ-)グッ……！			一万年の夢の残響							
おい！　下手に動くと傷に障るぞ！			おい！　下手に動くと傷に障るぞ！			一万年の夢の残響							
ホッホッホ、じきに消える「まがい物」などを庇うからそうなる。お嬢さんのエレクトロープは、冒険者殿との戦いで損耗している。残された時間は、そう多くはない……。			ホッホッホ、じきに消える「まがい物」などを庇うからそうなる。お嬢さんのエレクトロープは、冒険者殿との戦いで損耗している。残された時間は、そう多くはない……。			一万年の夢の残響							
ほかの皆さまも、安易なことは考えない方がよろしいかと。招待状に書いたことを忘れてはおらぬでしょうな？			ほかの皆さまも、安易なことは考えない方がよろしいかと。招待状に書いたことを忘れてはおらぬでしょうな？			一万年の夢の残響							
私はいつでも「エコーズの残滓」の軍勢を解き放てるのですよ。ヤクテル樹海に住まう民草が心配ならば、王の選定にお付き合い願いましょうか。			私はいつでも「エコーズの残滓」の軍勢を解き放てるのですよ。ヤクテル樹海に住まう民草が心配ならば、王の選定にお付き合い願いましょうか。			一万年の夢の残響							
(-魔のバクージャジャ-)オイラでさえ、虫唾が走る卑怯ぶりだよ……。			(-魔のバクージャジャ-)オイラでさえ、虫唾が走る卑怯ぶりだよ……。			一万年の夢の残響							
それでは、次の選定の準備が整い次第、再び招待状をお送りいたしますよ。どうか心待ちにしていただけますと幸いです。			それでは、次の選定の準備が整い次第、再び招待状をお送りいたしますよ。どうか心待ちにしていただけますと幸いです。			一万年の夢の残響							
(-戦のバクージャジャ-)おう、戻ってきやがったな。大丈夫か？			(-戦のバクージャジャ-)おう、戻ってきやがったな。大丈夫か？			一万年の夢の残響							
遅くなってすまない。「残滓」との戦いに手間取ってしまって……。			遅くなってすまない。「残滓」との戦いに手間取ってしまって……。			一万年の夢の残響							
Forenameも無事だったようだが……何かあったのか？			Forenameも無事だったようだが……何かあったのか？			一万年の夢の残響							
俺が、消える……？			俺が、消える……？			一万年の夢の残響							
(-魔のバクージャジャ-)サレージャのヤツ、ああ言えば手を出せないとわかって……。性根が腐ってるよ。			(-魔のバクージャジャ-)サレージャのヤツ、ああ言えば手を出せないとわかって……。性根が腐ってるよ。			一万年の夢の残響							
もしも本当に私たちが「エコーズの残滓」だったとしたら、エレクトロープが傷つくことで、その存在は消えてしまう……か。			もしも本当に私たちが「エコーズの残滓」だったとしたら、エレクトロープが傷つくことで、その存在は消えてしまう……か。			一万年の夢の残響							
それでも、サレージャを捨て置き、愛すべきヴァナ・ディールの記憶を悪用される方が耐え難い。たとえこの身が創られた存在だとしても、私は戦い続けるよ。			それでも、サレージャを捨て置き、愛すべきヴァナ・ディールの記憶を悪用される方が耐え難い。たとえこの身が創られた存在だとしても、私は戦い続けるよ。			一万年の夢の残響							
俺だって同じさ……。自分が本物かどうかなんて、考えても仕方ねぇ。そんなことよりも、これから何をするかだ……。			俺だって同じさ……。自分が本物かどうかなんて、考えても仕方ねぇ。そんなことよりも、これから何をするかだ……。			一万年の夢の残響							
そう、自分でもわかってるんだけどな……。			そう、自分でもわかってるんだけどな……。			一万年の夢の残響							
「エコーズの残滓」について、新たな話を聞けるようになりました。ジュノ下層の「ヒューム族の冒険者」に声をかけてみましょう。			「エコーズの残滓」について、新たな話を聞けるようになりました。ジュノ下層の「ヒューム族の冒険者」に声をかけてみましょう。			一万年の夢の残響							
探査隊のベースキャンプのアーカイブは、冒険者にソウルシャードを身に着けてほしいようだ。			探査隊のベースキャンプのアーカイブは、冒険者にソウルシャードを身に着けてほしいようだ。			古の戦闘技術							
オファンゲイムと話す			オファンゲイムと話す			古の戦闘技術							
継承が絶えた古の戦闘技術か……。利用できれば、この島の探査にも役立つかもしれんな。			継承が絶えた古の戦闘技術か……。利用できれば、この島の探査にも役立つかもしれんな。			古の戦闘技術							
探査から戻ってきたら拠点が落ちてた、なんて嫌だろう？だから、周囲の安全と防壁の強度を確認してるところさ。終わるまで、まだ外には出ないでくれ。			探査から戻ってきたら拠点が落ちてた、なんて嫌だろう？だから、周囲の安全と防壁の強度を確認してるところさ。終わるまで、まだ外には出ないでくれ。			古の戦闘技術							
不思議な導きを受けたおぬしであれば、ソウルシャードに秘められた知識を引き出し、扱えるやもしれん。ぜひとも試してみてくれ。			不思議な導きを受けたおぬしであれば、ソウルシャードに秘められた知識を引き出し、扱えるやもしれん。ぜひとも試してみてくれ。			古の戦闘技術							
現状は、サポートジョブを設定していない「すっぴん」です。まずは専用ウィンドウから、好みのサポートジョブを設定し、サポートアクションを確認してみましょう！			現状は、サポートジョブを設定していない「すっぴん」です。まずは専用ウィンドウから、好みのサポートジョブを設定し、サポートアクションを確認してみましょう！			古の戦闘技術							
うむ、やはりおぬしには扱えるようじゃな！おそらく、特殊な結界に覆われた島内でしか使えぬのだろうが、経験を積めば、より多彩な技術を引き出せるようになるはずじゃ。			うむ、やはりおぬしには扱えるようじゃな！おそらく、特殊な結界に覆われた島内でしか使えぬのだろうが、経験を積めば、より多彩な技術を引き出せるようになるはずじゃ。			古の戦闘技術							
それに古の戦闘技術は、今授けたものだけではない。ほかにも多くのソウルシャードが島内に眠っておるはずだ。			それに古の戦闘技術は、今授けたものだけではない。ほかにも多くのソウルシャードが島内に眠っておるはずだ。			古の戦闘技術							
探査を進める中で新たなものを手に入れれば、支援知識(サポートジョブ)が増えて、戦術の幅が広がるはずだぞい。			探査を進める中で新たなものを手に入れれば、支援知識(サポートジョブ)が増えて、戦術の幅が広がるはずだぞい。			古の戦闘技術							
さて、わしからの助言はここまで。もう出発しても良さそうじゃが……「オファンゲイム」とやらに確認してみようかの。			さて、わしからの助言はここまで。もう出発しても良さそうじゃが……「オファンゲイム」とやらに確認してみようかの。			古の戦闘技術							
オファンゲイムが防壁の強度を確認している。不安があれば、補修作業を優先することになるが……			オファンゲイムが防壁の強度を確認している。不安があれば、補修作業を優先することになるが……			古の戦闘技術							
わしからの助言は以上じゃ。「オファンゲイム」のところに向かうぞい。			わしからの助言は以上じゃ。「オファンゲイム」のところに向かうぞい。			古の戦闘技術							
苔むしちゃいるが、防壁の強度に問題はないから、この出入口さえ守っていれば大丈夫だね。拠点の防衛は私たちに任せて、あんたは探査に出かけてくれ。			苔むしちゃいるが、防壁の強度に問題はないから、この出入口さえ守っていれば大丈夫だね。拠点の防衛は私たちに任せて、あんたは探査に出かけてくれ。			古の戦闘技術							
とはいえ探査と言われても、何のアテもなくては、どうすべきか迷いもするだろう。			とはいえ探査と言われても、何のアテもなくては、どうすべきか迷いもするだろう。			古の戦闘技術							
今後の方針について、少し相談させてくれ。			今後の方針について、少し相談させてくれ。			古の戦闘技術							
特殊ルール： クラス・ジョブ固定蜃気楼の町のリディルセイルは、新たな武器の製作に取り掛かりたいようだ。			特殊ルール： クラス・ジョブ固定蜃気楼の町のリディルセイルは、新たな武器の製作に取り掛かりたいようだ。			ファントムウェポンの創造							
※本クエストには「 クラス・ジョブ固定」が、　設定されています。　受注時と同じクラス・ジョブでのみ進行できます。「三日月鉱石」を手に入れるために必要な対価を、自分で集めることになった。無事にロウェナ商会と取引ができたら、蜃気楼の町の「ドドックリ」に「三日月鉱石」を3個渡そう。			※本クエストには「 クラス・ジョブ固定」が、　設定されています。　受注時と同じクラス・ジョブでのみ進行できます。「三日月鉱石」を手に入れるために必要な対価を、自分で集めることになった。無事にロウェナ商会と取引ができたら、蜃気楼の町の「ドドックリ」に「三日月鉱石」を3個渡そう。			ファントムウェポンの創造							
ドドックリに「三日月鉱石」を渡した。新たに手に入れた「ファントムウェポン」を戦いの中でしっかり使い込んでいこう。			ドドックリに「三日月鉱石」を渡した。新たに手に入れた「ファントムウェポン」を戦いの中でしっかり使い込んでいこう。			ファントムウェポンの創造							
ドドックリに三日月鉱石を渡す			ドドックリに三日月鉱石を渡す			ファントムウェポンの創造							
凡人には、コイツの真価は発揮できねぇ。オレ様の神技があってこその道具ってわけよ。			凡人には、コイツの真価は発揮できねぇ。オレ様の神技があってこその道具ってわけよ。			ファントムウェポンの創造							
ゲロルトの準備が整ったようだな。さっそく新しい武器を作ってもらおうぜ。			ゲロルトの準備が整ったようだな。さっそく新しい武器を作ってもらおうぜ。			ファントムウェポンの創造							
クエスト『ファントムウェポンの創造』にて入手できる武器は、現在のジョブ「[Job]」の武器となります。『ファントムウェポンの創造』を「[Job]」で受けますか？			クエスト『ファントムウェポンの創造』にて入手できる武器は、現在のジョブ「[Job]」の武器となります。『ファントムウェポンの創造』を「[Job]」で受けますか？			ファントムウェポンの創造							
[Job]の武器を作成しますか？			[Job]の武器を作成しますか？			ファントムウェポンの創造							
もう少し考える			もう少し考える			ファントムウェポンの創造							
[Job]の武器を作成する			[Job]の武器を作成する			ファントムウェポンの創造							
作成したい武器に応じたジョブとなり、再度、リディルセイルに声をかけてください。			作成したい武器に応じたジョブとなり、再度、リディルセイルに声をかけてください。			ファントムウェポンの創造							
さて、あとは武器本体を作るための素材だが、膨大な魔力を受け止めるだけの強度が必要だ。			さて、あとは武器本体を作るための素材だが、膨大な魔力を受け止めるだけの強度が必要だ。			ファントムウェポンの創造							
それには、この島で採れる「三日月鉱石」が向いてるだろうぜ。探査隊の方で採掘できたンだろ？			それには、この島で採れる「三日月鉱石」が向いてるだろうぜ。探査隊の方で採掘できたンだろ？			ファントムウェポンの創造							
ああ、それなりの量を集めることができた。しかし、そこで問題が発覚してな……。			ああ、それなりの量を集めることができた。しかし、そこで問題が発覚してな……。			ファントムウェポンの創造							
俺も知らなかったんだが、島で入手した稀少な品々は、「ロウェナ商会」の手に渡る契約になっていたらしい……。探査隊が資金援助を受ける条件のひとつだったんだとよ。			俺も知らなかったんだが、島で入手した稀少な品々は、「ロウェナ商会」の手に渡る契約になっていたらしい……。探査隊が資金援助を受ける条件のひとつだったんだとよ。			ファントムウェポンの創造							
ゲロルトを派遣してくれたのが、そのロウェナ商会ってところでな……			ゲロルトを派遣してくれたのが、そのロウェナ商会ってところでな……			ファントムウェポンの創造							
はじめまして、私はロウェナ商会のアーミナと申します。お聞きになった通り、我が商会は、この島の探索に莫大な投資をしているのです。			はじめまして、私はロウェナ商会のアーミナと申します。お聞きになった通り、我が商会は、この島の探索に莫大な投資をしているのです。			ファントムウェポンの創造							
その見返りに、探査隊が採集した資源は、私どもが取り扱いを独占させていただく契約……素材などご入用でしたら、なんなりとお申し付けください。			その見返りに、探査隊が採集した資源は、私どもが取り扱いを独占させていただく契約……素材などご入用でしたら、なんなりとお申し付けください。			ファントムウェポンの創造							
ご要望の「三日月鉱石」は、1個につき、アラガントームストーン:数理500個と交換になります。集まりましたら、ぜひお声がけくださいませ。			ご要望の「三日月鉱石」は、1個につき、アラガントームストーン:数理500個と交換になります。集まりましたら、ぜひお声がけくださいませ。			ファントムウェポンの創造							
「三日月鉱石」は3個もありゃ十分だが、急激にやる気が萎えてきやがった……。加工前の面倒な加熱作業は、誰かほかの奴に頼むわ。			「三日月鉱石」は3個もありゃ十分だが、急激にやる気が萎えてきやがった……。加工前の面倒な加熱作業は、誰かほかの奴に頼むわ。			ファントムウェポンの創造							
(-？？？？-)やれやれ、仕方のない人ですねぇ……。			(-？？？？-)やれやれ、仕方のない人ですねぇ……。			ファントムウェポンの創造							
はじめまして、僕はドドックリ。金属専門の加工職人として、ゲロルトの作業の補佐くらいならできますよ。			はじめまして、僕はドドックリ。金属専門の加工職人として、ゲロルトの作業の補佐くらいならできますよ。			ファントムウェポンの創造							
簡単な事前準備はこちらで請け負いますから、「三日月鉱石」が揃ったら、僕に渡してください。			簡単な事前準備はこちらで請け負いますから、「三日月鉱石」が揃ったら、僕に渡してください。			ファントムウェポンの創造							
島で採集した資源は、全部ロウェナ商会のものだぁ！？だったら、片っ端から武具に加工してやるまでだぜ。そうすりゃ資源じゃなくなるからな！			島で採集した資源は、全部ロウェナ商会のものだぁ！？だったら、片っ端から武具に加工してやるまでだぜ。そうすりゃ資源じゃなくなるからな！			ファントムウェポンの創造							
「三日月鉱石」が3個揃ったら、ドドックリに渡してくれ。簡単な事前準備だけやってもらったら、ゲロルトの出番だ。			「三日月鉱石」が3個揃ったら、ドドックリに渡してくれ。簡単な事前準備だけやってもらったら、ゲロルトの出番だ。			ファントムウェポンの創造							
「三日月鉱石」は、蜃気楼の町にいる「アーミナ」から交換できます。			「三日月鉱石」は、蜃気楼の町にいる「アーミナ」から交換できます。			ファントムウェポンの創造							
「三日月鉱石」が揃ったら僕のところに持ってきてください。			「三日月鉱石」が揃ったら僕のところに持ってきてください。			ファントムウェポンの創造							
やあ、来ましたね。「三日月鉱石」は集まったんですか？			やあ、来ましたね。「三日月鉱石」は集まったんですか？			ファントムウェポンの創造							
……「三日月鉱石」ですね、たしかに。では、事前準備だけ僕の方で済ませて、それが終わり次第、ゲロルトに働いてもらいましょう……。			……「三日月鉱石」ですね、たしかに。では、事前準備だけ僕の方で済ませて、それが終わり次第、ゲロルトに働いてもらいましょう……。			ファントムウェポンの創造							
よし、エーテルが生み出した幾重もの虚像が、武器本体に収斂し、実像をしっかりと形作ってやがる……。			よし、エーテルが生み出した幾重もの虚像が、武器本体に収斂し、実像をしっかりと形作ってやがる……。			ファントムウェポンの創造							
蜃気楼の島で生み出される、幻を纏う武器……その名を「ファントムウェポン」！「[???]」が完成したぜ！！			蜃気楼の島で生み出される、幻を纏う武器……その名を「ファントムウェポン」！「[???]」が完成したぜ！！			ファントムウェポンの創造							
蜃気楼の如き幻を纏う武器、その名を「ファントムウェポン」！「[???]」と……「[???]」が完成したぜ！			蜃気楼の如き幻を纏う武器、その名を「ファントムウェポン」！「[???]」と……「[???]」が完成したぜ！			ファントムウェポンの創造							
こいつはすげぇ……！本当に、ただの酔っ払いじゃなかったんだな。			こいつはすげぇ……！本当に、ただの酔っ払いじゃなかったんだな。			ファントムウェポンの創造							
どうだ、恐れ入ったか！			どうだ、恐れ入ったか！			ファントムウェポンの創造							
……と言いてぇところだが、これはまだ初歩的な段階だ。とりあえずこの島ならではの、特別な加工法が実践できたってだけに過ぎねぇ。			……と言いてぇところだが、これはまだ初歩的な段階だ。とりあえずこの島ならではの、特別な加工法が実践できたってだけに過ぎねぇ。			ファントムウェポンの創造							
より研鑽を積み、より高品質な素材を使えば、もっと優れた加工を施すことだってできるに違いねぇぜ。			より研鑽を積み、より高品質な素材を使えば、もっと優れた加工を施すことだってできるに違いねぇぜ。			ファントムウェポンの創造							
むむっ、なんだかおもしろそうなことをしてるのう。わしの知的好奇心が刺激されるぞい！			むむっ、なんだかおもしろそうなことをしてるのう。わしの知的好奇心が刺激されるぞい！			ファントムウェポンの創造							
なンだ、お前もオレ様に武器を加工してほしいってのか？今すげぇ調子がいいから、大サービスで引き受けてやるぞ。			なンだ、お前もオレ様に武器を加工してほしいってのか？今すげぇ調子がいいから、大サービスで引き受けてやるぞ。			ファントムウェポンの創造							
それは願ってもない。実は、わしが眠っておった石棺の中に、どういうわけか包丁が入っておってのう。			それは願ってもない。実は、わしが眠っておった石棺の中に、どういうわけか包丁が入っておってのう。			ファントムウェポンの創造							
そいつの切れ味……いや、刺し味を研ぎすましてくれんか？			そいつの切れ味……いや、刺し味を研ぎすましてくれんか？			ファントムウェポンの創造							
よし来た！ギラッギラに輝く伝説の包丁に仕上げてやるぜ！			よし来た！ギラッギラに輝く伝説の包丁に仕上げてやるぜ！			ファントムウェポンの創造							
よし来た、じゃねぇよ。あぶねーだろうが！			よし来た、じゃねぇよ。あぶねーだろうが！			ファントムウェポンの創造							
あんたも、包丁は武器じゃねぇだろ！？帰った、帰った。			あんたも、包丁は武器じゃねぇだろ！？帰った、帰った。			ファントムウェポンの創造							
なんと、そうじゃったかのう？知識の封印のせいか、正しい扱い方を説明できんぞい……。			なんと、そうじゃったかのう？知識の封印のせいか、正しい扱い方を説明できんぞい……。			ファントムウェポンの創造							
よし、それじゃひと仕事終えたんだからいいよな？船から酒を持ってこい！			よし、それじゃひと仕事終えたんだからいいよな？船から酒を持ってこい！			ファントムウェポンの創造							
酔い潰れる前に、親切なオレ様がもう一度だけ言っておくが、違う武器を作るには、「三日月鉱石」さえあれば十分だ。「デミアートマ」はもう要らねぇからな。			酔い潰れる前に、親切なオレ様がもう一度だけ言っておくが、違う武器を作るには、「三日月鉱石」さえあれば十分だ。「デミアートマ」はもう要らねぇからな。			ファントムウェポンの創造							
これ以降、蜃気楼の町の「ドドックリ」から、「三日月鉱石」と引き換えに、異なるジョブの「ファントムウェポン」を入手できます。			これ以降、蜃気楼の町の「ドドックリ」から、「三日月鉱石」と引き換えに、異なるジョブの「ファントムウェポン」を入手できます。			ファントムウェポンの創造							
アリーナ・オブ・ヴァラー付近のクルルは、動揺した心を落ち着かせているようだ。			アリーナ・オブ・ヴァラー付近のクルルは、動揺した心を落ち着かせているようだ。			味がしなくたって、あなたがいれば							
クルルたちと話した。リビング・メモリーのオパールスプリングにいる「クルル」と話そう。			クルルたちと話した。リビング・メモリーのオパールスプリングにいる「クルル」と話そう。			味がしなくたって、あなたがいれば							
クルルたちの間にはぎこちない空気が流れている。オパールスプリングにいる「グ・ラハ・ティア」と話そう。			クルルたちの間にはぎこちない空気が流れている。オパールスプリングにいる「グ・ラハ・ティア」と話そう。			味がしなくたって、あなたがいれば							
クルルたちの緊張を解くため、冷たい食べ物を差し入れることにした。リビング・メモリーのレイノード・ファイア付近で情報を集めよう。			クルルたちの緊張を解くため、冷たい食べ物を差し入れることにした。リビング・メモリーのレイノード・ファイア付近で情報を集めよう。			味がしなくたって、あなたがいれば							
永久人たちから有用な情報を手に入れた。リビング・メモリーのアサイラム・ホットウェルにいる「ウクラマト」と話そう。			永久人たちから有用な情報を手に入れた。リビング・メモリーのアサイラム・ホットウェルにいる「ウクラマト」と話そう。			味がしなくたって、あなたがいれば							
アイスクリームをクルルたちに差し入れることにした。アサイラム・ホットウェルにいる「アイスクリーム屋の店員」と話し、ゴールデンスターアイスクリームを受け取ろう。			アイスクリームをクルルたちに差し入れることにした。アサイラム・ホットウェルにいる「アイスクリーム屋の店員」と話し、ゴールデンスターアイスクリームを受け取ろう。			味がしなくたって、あなたがいれば							
