聖フィネア連隊の露営地のエスティニアンは、異端者を呼びつけたいようだ。			聖フィネア連隊の露営地のエスティニアンは、異端者を呼びつけたいようだ。			千年の裏切り							
やあ、冒険者さん。報告は終わったみたいだね。僕らは、今さっき帰還したところさ。			やあ、冒険者さん。報告は終わったみたいだね。僕らは、今さっき帰還したところさ。			竜狩りの覚醒							
これから、死体の検分をしようと思っていたんだが、よければ手伝ってくれないか？君は「ワイバーンの後脚」を頼むよ。			これから、死体の検分をしようと思っていたんだが、よければ手伝ってくれないか？君は「ワイバーンの後脚」を頼むよ。			竜狩りの覚醒							
これから、死体の検分をしようと思っていたんだが、よければ手伝ってくれないか？君は「ワイバーンの後脚」を頼むよ。			これから、死体の検分をしようと思っていたんだが、よければ手伝ってくれないか？君は「ワイバーンの後脚」を頼むよ。			竜狩りの覚醒							
ワイバーンの後脚から、「トゥリヘンドの鱗」と「ウアジェットの鱗」を見つけた……。			ワイバーンの後脚から、「トゥリヘンドの鱗」と「ウアジェットの鱗」を見つけた……。			竜狩りの覚醒							
検分は終わったみたいだね。何か見つかったかい？			検分は終わったみたいだね。何か見つかったかい？			竜狩りの覚醒							
これは……以前に、オトリに使った眷属の鱗か？ワイバーンの爪の間から見つかっただって？			これは……以前に、オトリに使った眷属の鱗か？ワイバーンの爪の間から見つかっただって？			竜狩りの覚醒							
まさか、放棄しておいた下位眷属の死体を、ワイバーンが回収して、運び去っていたというのか？散っていった仲間の死体を弔うために！？			まさか、放棄しておいた下位眷属の死体を、ワイバーンが回収して、運び去っていたというのか？散っていった仲間の死体を弔うために！？			竜狩りの覚醒							
奴らにも、「仲間の死を悼む心」があるというのか……。そうか……「絆」か……。			奴らにも、「仲間の死を悼む心」があるというのか……。そうか……「絆」か……。			竜狩りの覚醒							
……僕は今まで、環境に甘えて生きてきた。だが、家が没落して、いろんな人に裏切られた。そして、温かな環境を壊した周囲を疎んだ。			……僕は今まで、環境に甘えて生きてきた。だが、家が没落して、いろんな人に裏切られた。そして、温かな環境を壊した周囲を疎んだ。			竜狩りの覚醒							
だが、疎むべきは周囲ではなく自分自身だった。だから、下の者にも、上の者にも、捨てられたんだ。			だが、疎むべきは周囲ではなく自分自身だった。だから、下の者にも、上の者にも、捨てられたんだ。			竜狩りの覚醒							
(-サントレルモの部下-)……なぜ私が、すべてを失った貴方に、今も従っていると思っておられるのですか。			(-サントレルモの部下-)……なぜ私が、すべてを失った貴方に、今も従っていると思っておられるのですか。			竜狩りの覚醒							
(-サントレルモの部下-)確かに貴方は、爵位を失いました。しかし、私が仕えているのは、「家」ではなく「貴方」です。最後まで貴方のお供をさせてください。			(-サントレルモの部下-)確かに貴方は、爵位を失いました。しかし、私が仕えているのは、「家」ではなく「貴方」です。最後まで貴方のお供をさせてください。			竜狩りの覚醒							
……お前は、馬鹿真面目なだけだと思っていたよ。でも……これも「絆」だったんだな。			……お前は、馬鹿真面目なだけだと思っていたよ。でも……これも「絆」だったんだな。			竜狩りの覚醒							
……ここに来たのは、死に場所を求めたからだ。そうだ、これまでの僕は、今ここで死のう。			……ここに来たのは、死に場所を求めたからだ。そうだ、これまでの僕は、今ここで死のう。			竜狩りの覚醒							
そして、今度は守るために生きよう。地位や名誉じゃなくて、自分を慕ってくれる人のため。仲間を、イシュガルドの民を守るために！			そして、今度は守るために生きよう。地位や名誉じゃなくて、自分を慕ってくれる人のため。仲間を、イシュガルドの民を守るために！			竜狩りの覚醒							
……この意思は、今度家族の墓前で誓うことにするよ。これまでは、合わせる顔がないから避けていたんだけどね。ドラゴン族だって死を悼んでるんだ、僕にだってできるはずさ。			……この意思は、今度家族の墓前で誓うことにするよ。これまでは、合わせる顔がないから避けていたんだけどね。ドラゴン族だって死を悼んでるんだ、僕にだってできるはずさ。			竜狩りの覚醒							
君には、本当にお世話になったね。ありがとう、冒険者さん。次に会うときには、あっと驚くほど成長しておくよ！			君には、本当にお世話になったね。ありがとう、冒険者さん。次に会うときには、あっと驚くほど成長しておくよ！			竜狩りの覚醒							
冒険者殿、どこか嬉しそうな顔をされているな。サントレルモに何かあったか？			冒険者殿、どこか嬉しそうな顔をされているな。サントレルモに何かあったか？			竜狩りの覚醒							
そうか、サントレルモが……。ありがとう、貴公のおかげだな。			そうか、サントレルモが……。ありがとう、貴公のおかげだな。			竜狩りの覚醒							
作戦の方も、貴公のおかげで十全に進んでいる。このままいけば、いずれワイバーンに留まらず、名のあるドラゴン族を釣ることも夢ではない。			作戦の方も、貴公のおかげで十全に進んでいる。このままいけば、いずれワイバーンに留まらず、名のあるドラゴン族を釣ることも夢ではない。			竜狩りの覚醒							
功績を上げれば、皇都を守るアイメリクの助けになろう。だが、それだけではないはずだ。			功績を上げれば、皇都を守るアイメリクの助けになろう。だが、それだけではないはずだ。			竜狩りの覚醒							
サントレルモのような才ある若者に、武勲を挙げさせ、出世の道を作ることにも繋がる。アイメリクの志を支える、若い人材こそが必要なのだからな。			サントレルモのような才ある若者に、武勲を挙げさせ、出世の道を作ることにも繋がる。アイメリクの志を支える、若い人材こそが必要なのだからな。			竜狩りの覚醒							
貴公には、このまま連隊の一員になってほしいが、冒険者を一所に留め置くことはできんか……。せめてまた、その力を貸してくれ！			貴公には、このまま連隊の一員になってほしいが、冒険者を一所に留め置くことはできんか……。せめてまた、その力を貸してくれ！			竜狩りの覚醒							
聖フィネア連隊の露営地のウィルドテオは、協力者を探しているようだ。			聖フィネア連隊の露営地のウィルドテオは、協力者を探しているようだ。			廃砦捜索 ダスクヴィジル							
ウィルドテオに氷槍石を取り返すよう頼まれた。ダスクヴィジルに入るため、クルザス西部高地のダスクヴィジル付近にいる警備の「ナディニー」と話そう。			ウィルドテオに氷槍石を取り返すよう頼まれた。ダスクヴィジルに入るため、クルザス西部高地のダスクヴィジル付近にいる警備の「ナディニー」と話そう。			廃砦捜索 ダスクヴィジル							
ダスクヴィジルに入る許可を得た。「廃砦捜索 ダスクヴィジル」を攻略しよう。※コンテンツファインダーから攻略に参加できます。			ダスクヴィジルに入る許可を得た。「廃砦捜索 ダスクヴィジル」を攻略しよう。※コンテンツファインダーから攻略に参加できます。			廃砦捜索 ダスクヴィジル							
ダスクヴィジルの捜索を終えて、氷槍石を入手した。聖フィネア連隊の露営地の「ウィルドテオ」に「氷槍石」を渡そう。			ダスクヴィジルの捜索を終えて、氷槍石を入手した。聖フィネア連隊の露営地の「ウィルドテオ」に「氷槍石」を渡そう。			廃砦捜索 ダスクヴィジル							
ウィルドテオに報告した。氷槍石は、彼の息子が戦神像に据えたものだったようだ。ダスクヴィジルを奪還し、かの地に眠る多くの人々を弔える日が、いつか来るかもしれない。			ウィルドテオに報告した。氷槍石は、彼の息子が戦神像に据えたものだったようだ。ダスクヴィジルを奪還し、かの地に眠る多くの人々を弔える日が、いつか来るかもしれない。			廃砦捜索 ダスクヴィジル							
ナディニーと話す			ナディニーと話す			廃砦捜索 ダスクヴィジル							
「廃砦捜索 ダスクヴィジル」を攻略			「廃砦捜索 ダスクヴィジル」を攻略			廃砦捜索 ダスクヴィジル							
聖フィネア連隊の露営地のウィルドテオに氷槍石を渡す			聖フィネア連隊の露営地のウィルドテオに氷槍石を渡す			廃砦捜索 ダスクヴィジル							
ええい、なんということだ！連隊の貴族たちの、なんと非協力的なことかっ！			ええい、なんということだ！連隊の貴族たちの、なんと非協力的なことかっ！			廃砦捜索 ダスクヴィジル							
ムムッ！？貴殿はもしや、冒険者では……。頼む、私の話を聞いてくれないだろうか？			ムムッ！？貴殿はもしや、冒険者では……。頼む、私の話を聞いてくれないだろうか？			廃砦捜索 ダスクヴィジル							
イシュガルドが建設した対竜要塞「ダスクヴィジル」……。かつて、皇都を守る防衛線を担っていたかの要塞も、今や霊災により損壊し、廃墟と化してしまった。			イシュガルドが建設した対竜要塞「ダスクヴィジル」……。かつて、皇都を守る防衛線を担っていたかの要塞も、今や霊災により損壊し、廃墟と化してしまった。			廃砦捜索 ダスクヴィジル							
だが、あの奥には、今も「秘宝」が残されたままなのだ。……私は、それをどうしても取り返したい。			だが、あの奥には、今も「秘宝」が残されたままなのだ。……私は、それをどうしても取り返したい。			廃砦捜索 ダスクヴィジル							
ここにくれば、協力者が見つかると思ったのだが、皆、ドラゴン族の討伐に夢中で、話を聞いてはくれぬのだ……。			ここにくれば、協力者が見つかると思ったのだが、皆、ドラゴン族の討伐に夢中で、話を聞いてはくれぬのだ……。			廃砦捜索 ダスクヴィジル							
そこに、こうして冒険者殿が現れたのもまた運命！どうか、協力を願えないだろうか？			そこに、こうして冒険者殿が現れたのもまた運命！どうか、協力を願えないだろうか？			廃砦捜索 ダスクヴィジル							
おお、協力していただけるか！　かたじけない！「ダスクヴィジル」内の礼拝堂に祀られた戦神像……その額にはめられた「氷槍石」を取り戻してもらいたい！			おお、協力していただけるか！　かたじけない！「ダスクヴィジル」内の礼拝堂に祀られた戦神像……その額にはめられた「氷槍石」を取り戻してもらいたい！			廃砦捜索 ダスクヴィジル							
北へと向かい、廃墟の警戒に当たっている、騎士「ナディニー」に声をかければ、門を開いてくれよう。どうか、よろしく願いたい……。			北へと向かい、廃墟の警戒に当たっている、騎士「ナディニー」に声をかければ、門を開いてくれよう。どうか、よろしく願いたい……。			廃砦捜索 ダスクヴィジル							
おお、協力していただけるか！　かたじけない！「ダスクヴィジル」内の礼拝堂に祀られた戦神像……その額にはめられた「氷槍石」を取り戻してもらいたい！			おお、協力していただけるか！　かたじけない！「ダスクヴィジル」内の礼拝堂に祀られた戦神像……その額にはめられた「氷槍石」を取り戻してもらいたい！			廃砦捜索 ダスクヴィジル							
なに、この「ダスクヴィジル」に入りたいだと？やめておけ、氷漬けの廃墟には危険な魔物が巣喰っている。……もう、人が安易に入るような場所ではないのだ。			なに、この「ダスクヴィジル」に入りたいだと？やめておけ、氷漬けの廃墟には危険な魔物が巣喰っている。……もう、人が安易に入るような場所ではないのだ。			廃砦捜索 ダスクヴィジル							
それに、聖フィネア連隊からの報告によれば、砦の上空を旋回する巨大な影を見た者さえいるらしい……。貴公の安全も保証できない。			それに、聖フィネア連隊からの報告によれば、砦の上空を旋回する巨大な影を見た者さえいるらしい……。貴公の安全も保証できない。			廃砦捜索 ダスクヴィジル							
……それでも、行くというのか。どうせ破棄された砦だ、入るのは構わぬ。ただし……どうなっても知らぬぞ。			……それでも、行くというのか。どうせ破棄された砦だ、入るのは構わぬ。ただし……どうなっても知らぬぞ。			廃砦捜索 ダスクヴィジル							
どうせ破棄された砦だ、入るのは構わぬ。ただし……どうなっても知らぬぞ。			どうせ破棄された砦だ、入るのは構わぬ。ただし……どうなっても知らぬぞ。			廃砦捜索 ダスクヴィジル							
冒険者殿……。「氷槍石」は、取り返せただろうか？			冒険者殿……。「氷槍石」は、取り返せただろうか？			廃砦捜索 ダスクヴィジル							
ああ、これだ……間違いなく、我が息子のもの……。……本当に、感謝しますぞ。			ああ、これだ……間違いなく、我が息子のもの……。……本当に、感謝しますぞ。			廃砦捜索 ダスクヴィジル							
ダスクヴィジルは、最前線に位置するだけに、名高い騎士と精兵がそろえられていた……。……それを率いた者こそ、我が息子ユヘルメリック。			ダスクヴィジルは、最前線に位置するだけに、名高い騎士と精兵がそろえられていた……。……それを率いた者こそ、我が息子ユヘルメリック。			廃砦捜索 ダスクヴィジル							
当時、デュランデル家の騎兵団長を務めていた息子は、砦への赴任を機に結婚し、愛の証にと秘宝を手に入れた。……そして、それを教皇庁に寄付し、戦神像に据えたのだ。			当時、デュランデル家の騎兵団長を務めていた息子は、砦への赴任を機に結婚し、愛の証にと秘宝を手に入れた。……そして、それを教皇庁に寄付し、戦神像に据えたのだ。			廃砦捜索 ダスクヴィジル							
……だが、霊災によって城塞は崩壊。その後の寒冷化で孤立し、戦いを経ずに陥落した。もちろん、指揮官である息子は殉職したよ……。			……だが、霊災によって城塞は崩壊。その後の寒冷化で孤立し、戦いを経ずに陥落した。もちろん、指揮官である息子は殉職したよ……。			廃砦捜索 ダスクヴィジル							
私はそれを受け入れることができたが、かわいそうなのは義娘だ。未だに夫の死を信じられず、魂が抜けたような顔をしている。……毎日、息子の分の食事を、食卓に並べるのだ。			私はそれを受け入れることができたが、かわいそうなのは義娘だ。未だに夫の死を信じられず、魂が抜けたような顔をしている。……毎日、息子の分の食事を、食卓に並べるのだ。			廃砦捜索 ダスクヴィジル							
息子との愛の証である、この宝石さえあれば、彼女もようやく、死を受け入れ、涙を流せるかもしれぬ……。			息子との愛の証である、この宝石さえあれば、彼女もようやく、死を受け入れ、涙を流せるかもしれぬ……。			廃砦捜索 ダスクヴィジル							
息子だけではない……。あそこに、多くの騎士の霊が眠っている。いつか必ず奪還し、彼らを弔ってやらねばな……。			息子だけではない……。あそこに、多くの騎士の霊が眠っている。いつか必ず奪還し、彼らを弔ってやらねばな……。			廃砦捜索 ダスクヴィジル							
無事に帰ってくるとは……。貴公、相当の腕前とみた。			無事に帰ってくるとは……。貴公、相当の腕前とみた。			廃砦捜索 ダスクヴィジル							
神殿騎士団本部のアルフィノは、タタルに連絡しておきたいようだ。			神殿騎士団本部のアルフィノは、タタルに連絡しておきたいようだ。			イゼルを探して							
アルフィノと話し、長旅に出ることをタタルに伝えることになった。イシュガルドの「フォルタン伯爵邸」に向かおう。			アルフィノと話し、長旅に出ることをタタルに伝えることになった。イシュガルドの「フォルタン伯爵邸」に向かおう。			イゼルを探して							
タタルと話した。なんとタタルはアルフィノのために新しい装束を用意していた。イシュガルドの聖レネット広場にいる「エスティニアン」と話そう。			タタルと話した。なんとタタルはアルフィノのために新しい装束を用意していた。イシュガルドの聖レネット広場にいる「エスティニアン」と話そう。			イゼルを探して							
エスティニアンと話した。まずはイゼルを探すため、最後に彼女と会ったクルザス西部高地へ向かうことになった。クルザス西部高地のファルコンネストにいる「レッドワルド」と話そう。			エスティニアンと話した。まずはイゼルを探すため、最後に彼女と会ったクルザス西部高地へ向かうことになった。クルザス西部高地のファルコンネストにいる「レッドワルド」と話そう。			イゼルを探して							
レッドワルドと話した。異端者のアジトだったゴルガニュ牧場を調べている騎兵から、情報を得られるかもしれない。クルザス西部高地のゴルガニュ牧場にいる「調査隊の騎兵隊長」と話そう。			レッドワルドと話した。異端者のアジトだったゴルガニュ牧場を調べている騎兵から、情報を得られるかもしれない。クルザス西部高地のゴルガニュ牧場にいる「調査隊の騎兵隊長」と話そう。			イゼルを探して							
調査隊の騎兵隊長と話した。異端者のアジト跡から書簡を発見したが、魔物に阻まれ、調査を中断しているそうだ。ゴルガニュ牧場で魔物を討伐しよう。			調査隊の騎兵隊長と話した。異端者のアジト跡から書簡を発見したが、魔物に阻まれ、調査を中断しているそうだ。ゴルガニュ牧場で魔物を討伐しよう。			イゼルを探して							
魔物を討伐した。ゴルガニュ牧場の「調査隊の騎兵隊長」と話そう。			魔物を討伐した。ゴルガニュ牧場の「調査隊の騎兵隊長」と話そう。			イゼルを探して							
調査隊の騎兵隊長に、魔物を討伐したことを話した。これで調査も進むはずだ。			調査隊の騎兵隊長に、魔物を討伐したことを話した。これで調査も進むはずだ。			イゼルを探して							
フォルタン伯爵邸に向かう			フォルタン伯爵邸に向かう			イゼルを探して							
聖レネット広場のエスティニアンと話す			聖レネット広場のエスティニアンと話す			イゼルを探して							
ファルコンネストのレッドワルドと話す			ファルコンネストのレッドワルドと話す			イゼルを探して							
調査隊の騎兵隊長と話す			調査隊の騎兵隊長と話す			イゼルを探して							
ゴルガニュ牧場で魔物を討伐			ゴルガニュ牧場で魔物を討伐			イゼルを探して							
調査隊の騎兵隊長と話す			調査隊の騎兵隊長と話す			イゼルを探して							
ひとまず、今後の方針は固まった。さっそく出発したいところだが……タタルに報告しておかなければね。			ひとまず、今後の方針は固まった。さっそく出発したいところだが……タタルに報告しておかなければね。			イゼルを探して							
それなら俺は、「聖レネット広場」で待っていよう。しばらく戻ることはできんと、仲間に伝えておけ。長い旅になりそうだからな……。			それなら俺は、「聖レネット広場」で待っていよう。しばらく戻ることはできんと、仲間に伝えておけ。長い旅になりそうだからな……。			イゼルを探して							
長旅は覚悟の上さ……。よし、Forename。一度、「フォルタン家の屋敷」に戻ろう。			長旅は覚悟の上さ……。よし、Forename。一度、「フォルタン家の屋敷」に戻ろう。			イゼルを探して							
どうやら俺は、教皇庁やら神殿騎士団やらに、隠し事をしたがる性分のようだ。この手の企みを、楽しく思っている自分がいる。			どうやら俺は、教皇庁やら神殿騎士団やらに、隠し事をしたがる性分のようだ。この手の企みを、楽しく思っている自分がいる。			イゼルを探して							
事情を、ちゃんと説明しておきましった！			事情を、ちゃんと説明しておきましった！			イゼルを探して							
しばらく戻ることはできんと、仲間に伝えておけ。長い旅になりそうだからな……。			しばらく戻ることはできんと、仲間に伝えておけ。長い旅になりそうだからな……。			イゼルを探して							
待たせたね、タタル。今後の方針が決まったよ。しばらく、皇都を離れることになりそうだ。			待たせたね、タタル。今後の方針が決まったよ。しばらく、皇都を離れることになりそうだ。			イゼルを探して							
なるほど、お話はわかりまっした。おふたりの留守は、お任せくだっさい！「暁」の皆さんの捜索を、ばっちり進めておきまっす！			なるほど、お話はわかりまっした。おふたりの留守は、お任せくだっさい！「暁」の皆さんの捜索を、ばっちり進めておきまっす！			イゼルを探して							
頼りにしているよ、タタル。それでは、我々は行くよ。			頼りにしているよ、タタル。それでは、我々は行くよ。			イゼルを探して							
わわっと！　ちょっとお待ちくださいでっす！アルフィノ様、この衣装に着替えてほしいのでっす！			わわっと！　ちょっとお待ちくださいでっす！アルフィノ様、この衣装に着替えてほしいのでっす！			イゼルを探して							
こ、これは……。			こ、これは……。			イゼルを探して							
身に馴染み動きやすく、素晴らしい出来栄えじゃないか。これを、私に……？			身に馴染み動きやすく、素晴らしい出来栄えじゃないか。これを、私に……？			イゼルを探して							
へっへーんでっす！情報収集の傍らで、裁縫の修行をしていたのでっす。これぞ、デキる受付の実力なのでっす！			へっへーんでっす！情報収集の傍らで、裁縫の修行をしていたのでっす。これぞ、デキる受付の実力なのでっす！			イゼルを探して							
すごいな……ありがとう、タタル。この装束があれば、辛い長旅にも耐えられそうだ。必ず、成果を上げて帰ってくるよ。			すごいな……ありがとう、タタル。この装束があれば、辛い長旅にも耐えられそうだ。必ず、成果を上げて帰ってくるよ。			イゼルを探して							
おふたりとも、どうかご無事で……それでは、いってらっしゃいでっす！わたしも、酒場に戻って情報収集再開でっす！			おふたりとも、どうかご無事で……それでは、いってらっしゃいでっす！わたしも、酒場に戻って情報収集再開でっす！			イゼルを探して							
この新しい衣装、防寒性もバッチリだ。タタルには、帰ってきたら、しっかりと礼をしなくては。			この新しい衣装、防寒性もバッチリだ。タタルには、帰ってきたら、しっかりと礼をしなくては。			イゼルを探して							
……ほう、めかし込んできたものだな。別れの挨拶は済んだのか？			……ほう、めかし込んできたものだな。別れの挨拶は済んだのか？			イゼルを探して							
ああ、出発の準備は整った。まずは「氷の巫女」……イゼルと言ったか。彼女を探すところから始めよう。			ああ、出発の準備は整った。まずは「氷の巫女」……イゼルと言ったか。彼女を探すところから始めよう。			イゼルを探して							
了解だ、こちらに異存はない。……だが、どこから手をつけるつもりだ？			了解だ、こちらに異存はない。……だが、どこから手をつけるつもりだ？			イゼルを探して							
彼女の正確な居所がわからない以上、Forenameが出会ったという、クルザス西部高地に向かうしかないだろうな……。			彼女の正確な居所がわからない以上、Forenameが出会ったという、クルザス西部高地に向かうしかないだろうな……。			イゼルを探して							
よし、「ファルコンネスト」に向かい、現地部隊の指揮官、「レッドワルド」卿と面会しよう。異端者たちの動向に関する、最新情報を聞くんだ。			よし、「ファルコンネスト」に向かい、現地部隊の指揮官、「レッドワルド」卿と面会しよう。異端者たちの動向に関する、最新情報を聞くんだ。			イゼルを探して							
おお、Surname殿ではないか。先日の件では、大変に世話になったな。			おお、Surname殿ではないか。先日の件では、大変に世話になったな。			イゼルを探して							
しかし、ご友人に加え、蒼の竜騎士殿も一緒とは……。いささか奇妙な取り合わせに思えるが、何用かな？			しかし、ご友人に加え、蒼の竜騎士殿も一緒とは……。いささか奇妙な取り合わせに思えるが、何用かな？			イゼルを探して							
お初にお目に掛かります、レッドワルド卿。アドネール占星台から、ドラゴン族による再攻撃に関する、警鐘が発せられたことは、すでに把握されているかと思います。			お初にお目に掛かります、レッドワルド卿。アドネール占星台から、ドラゴン族による再攻撃に関する、警鐘が発せられたことは、すでに把握されているかと思います。			イゼルを探して							
その件に関連して、我々は「氷の巫女」を追っているのです。そこで最新の異端者関連の情報があればと考え、こちらに立ち寄った次第……。			その件に関連して、我々は「氷の巫女」を追っているのです。そこで最新の異端者関連の情報があればと考え、こちらに立ち寄った次第……。			イゼルを探して							
ふむ、そういうことであれば、我が部下に話を聞くといい。周辺地域の哨戒に出ていた部隊が、そろそろ戻るはずだ。			ふむ、そういうことであれば、我が部下に話を聞くといい。周辺地域の哨戒に出ていた部隊が、そろそろ戻るはずだ。			イゼルを探して							
それに加え、Surname殿が発見した、異端者たちのアジト跡を調べている部隊もいる。「ゴルガニュ牧場」に向かえば、何かわかるかもしれん。			それに加え、Surname殿が発見した、異端者たちのアジト跡を調べている部隊もいる。「ゴルガニュ牧場」に向かえば、何かわかるかもしれん。			イゼルを探して							
……ならば、二手に分かれよう。俺は哨戒部隊の帰還を待ち、話を聞いた後に合流する。お前たちは、先に牧場に向かっておいてくれ。			……ならば、二手に分かれよう。俺は哨戒部隊の帰還を待ち、話を聞いた後に合流する。お前たちは、先に牧場に向かっておいてくれ。			イゼルを探して							
了解だ、エスティニアン殿。			了解だ、エスティニアン殿。			イゼルを探して							
よし、Forename。我々は一足先に、「ゴルガニュ牧場」に向かい、「調査隊の騎兵隊長」から情報を集めるとしよう。			よし、Forename。我々は一足先に、「ゴルガニュ牧場」に向かい、「調査隊の騎兵隊長」から情報を集めるとしよう。			イゼルを探して							
俺は哨戒部隊の帰還を待ち、話を聞いた後に合流する。お前たちは、先に牧場に向かっておいてくれ。			俺は哨戒部隊の帰還を待ち、話を聞いた後に合流する。お前たちは、先に牧場に向かっておいてくれ。			イゼルを探して							
ここが例の異端者のアジトか……。よくも、このような場所に潜伏していたものだ。			ここが例の異端者のアジトか……。よくも、このような場所に潜伏していたものだ。			イゼルを探して							
……アジトの調査状況でありますか？それが、困ったことになっているのですよ……。			……アジトの調査状況でありますか？それが、困ったことになっているのですよ……。			イゼルを探して							
アジト内で異端者どもが遺した書簡を発見したところ、物陰から突然、「魔物」が飛び出してきまして……。			アジト内で異端者どもが遺した書簡を発見したところ、物陰から突然、「魔物」が飛び出してきまして……。			イゼルを探して							
異端者たちが放っておいたもののようですが、お陰で負傷者が出ています。魔物を排除できれば、調査が進むのですが……。			異端者たちが放っておいたもののようですが、お陰で負傷者が出ています。魔物を排除できれば、調査が進むのですが……。			イゼルを探して							
……仕方ない、ここは私たちでどうにかしよう。足踏みしている時間など、ないのだからね。			……仕方ない、ここは私たちでどうにかしよう。足踏みしている時間など、ないのだからね。			イゼルを探して							
と、突然、襲われてね……倒したものの肝を冷やしたよ。ほかに隠れている魔物がいないか探し、安全が確認できたら、「調査隊の騎兵隊長」に声をかけてくれるかい？			と、突然、襲われてね……倒したものの肝を冷やしたよ。ほかに隠れている魔物がいないか探し、安全が確認できたら、「調査隊の騎兵隊長」に声をかけてくれるかい？			イゼルを探して							
アジト内で異端者どもが遺した書簡を発見したところ、物陰から突然、「魔物」が飛び出してきまして……。			アジト内で異端者どもが遺した書簡を発見したところ、物陰から突然、「魔物」が飛び出してきまして……。			イゼルを探して							
えっ、魔物を倒したですって！？た、助かりました……これで異端者たちの足取りを追う、手がかりを見つけることができるかもしれません。			えっ、魔物を倒したですって！？た、助かりました……これで異端者たちの足取りを追う、手がかりを見つけることができるかもしれません。			イゼルを探して							
待たせたな、いま来たところだ。こっちは空振りだったぞ……。哨戒部隊は、ろくな情報を持ち帰らなかった……。			待たせたな、いま来たところだ。こっちは空振りだったぞ……。哨戒部隊は、ろくな情報を持ち帰らなかった……。			イゼルを探して							
なにやら、下の階で物音がしたが……。大丈夫だったか？			なにやら、下の階で物音がしたが……。大丈夫だったか？			イゼルを探して							
フォルタン伯爵邸のアルフィノは、思い悩んでいるようだ。			フォルタン伯爵邸のアルフィノは、思い悩んでいるようだ。			アルフィノの策							
アルフィノと話した。フォルタン伯爵邸付近の「アルフィノ」と話そう。			アルフィノと話した。フォルタン伯爵邸付近の「アルフィノ」と話そう。			アルフィノの策							
アルフィノ、エスティニアンとともに、イゼルを説得して、ドラゴン族との対話を目指すことになった。そのためには、ドラゴン族への先制攻撃を、アイメリクに封じてもらう必要がある。イシュガルドの神殿騎士団本部にある「神殿騎士団総長室」に向かおう。「神殿騎士団総長室」へは、神殿騎士団本部にいる「神殿騎士団の衛兵」が案内してくれるようだ。			アルフィノ、エスティニアンとともに、イゼルを説得して、ドラゴン族との対話を目指すことになった。そのためには、ドラゴン族への先制攻撃を、アイメリクに封じてもらう必要がある。イシュガルドの神殿騎士団本部にある「神殿騎士団総長室」に向かおう。「神殿騎士団総長室」へは、神殿騎士団本部にいる「神殿騎士団の衛兵」が案内してくれるようだ。			アルフィノの策							
アイメリクと話し、先制攻撃を抑えてもらうことになった。神殿騎士団本部の「アルフィノ」と話そう。			アイメリクと話し、先制攻撃を抑えてもらうことになった。神殿騎士団本部の「アルフィノ」と話そう。			アルフィノの策							
アイメリクのおかげで、時間的な猶予はできた。次の目標は、イゼルと接触し、協力を得ることだ。困難な旅になるだろうが、恩人や盟友のために頑張ろう。			アイメリクのおかげで、時間的な猶予はできた。次の目標は、イゼルと接触し、協力を得ることだ。困難な旅になるだろうが、恩人や盟友のために頑張ろう。			アルフィノの策							
フォルタン伯爵邸付近のアルフィノと話す			フォルタン伯爵邸付近のアルフィノと話す			アルフィノの策							
神殿騎士団本部の神殿騎士団総長室に向かう			神殿騎士団本部の神殿騎士団総長室に向かう			アルフィノの策							
アルフィノと話す			アルフィノと話す			アルフィノの策							
いずれにせよ、我々の答えを出さなければ……。表に出て少し頭を冷やそう。その上で、今後の動き方を相談だ。			いずれにせよ、我々の答えを出さなければ……。表に出て少し頭を冷やそう。その上で、今後の動き方を相談だ。			アルフィノの策							
皇都再攻撃が現実のものとなれば、かなりの被害が予想されるだろう……。だが、イイ騎士たるもの、民を護りきってみせる！			皇都再攻撃が現実のものとなれば、かなりの被害が予想されるだろう……。だが、イイ騎士たるもの、民を護りきってみせる！			アルフィノの策							
……本当に、皇都が戦場になってしまうのでっすか？			……本当に、皇都が戦場になってしまうのでっすか？			アルフィノの策							
何としても「氷の巫女」を見つけて、対話に持ち込もう。……しかし、そうするにしても、イシュガルド側から先制攻撃が行われれば、交渉は破綻する。			何としても「氷の巫女」を見つけて、対話に持ち込もう。……しかし、そうするにしても、イシュガルド側から先制攻撃が行われれば、交渉は破綻する。			アルフィノの策							
出発前に「神殿騎士団本部」に立ち寄ろう。事の詳細は話せないまでも、「アイメリク」卿に相談し、先制攻撃論を封じてもらうんだ。			出発前に「神殿騎士団本部」に立ち寄ろう。事の詳細は話せないまでも、「アイメリク」卿に相談し、先制攻撃論を封じてもらうんだ。			アルフィノの策							
タタル、君はフォルタン伯爵たちに、私たちの作戦の概要を伝えておいてくれ。その後は、フォルタン家の屋敷で待っていてほしい。			タタル、君はフォルタン伯爵たちに、私たちの作戦の概要を伝えておいてくれ。その後は、フォルタン家の屋敷で待っていてほしい。			アルフィノの策							
はいでっす……！			はいでっす……！			アルフィノの策							
伝言は任せてほしいでっす！			伝言は任せてほしいでっす！			アルフィノの策							
アイメリク総長に御用ですか？でしたら、面会の段取りをしておきます。さあ、こちらへどうぞ。			アイメリク総長に御用ですか？でしたら、面会の段取りをしておきます。さあ、こちらへどうぞ。			アルフィノの策							
「神殿騎士団総長室」へ移動しますか？			「神殿騎士団総長室」へ移動しますか？			アルフィノの策							
はい			はい			アルフィノの策							
