クリスタリウムのハルドルは、冒険者に伝えたいことがあるようだ。			クリスタリウムのハルドルは、冒険者に伝えたいことがあるようだ。			ナッツクランのモブハント（上級）							
この村の外にいる、「デビタージュ」を倒し、「デビタージュの断片」を3袋ほど、集めてきていただけますか……？			この村の外にいる、「デビタージュ」を倒し、「デビタージュの断片」を3袋ほど、集めてきていただけますか……？			タロースは今							
トゥワインには、魔法に長けた人がいないんだよね。外から招こうにも、アム・アレーンなんかに行きたくないって、断られたり、高額な手間賃をふっかけられたりでさ。			トゥワインには、魔法に長けた人がいないんだよね。外から招こうにも、アム・アレーンなんかに行きたくないって、断られたり、高額な手間賃をふっかけられたりでさ。			タロースは今							
だから、タロースの修理も、残されていた文献や、商人の護衛でやってくる旅の魔法使いの知恵を借りたりして、すこーしずつ進めてたんだ。			だから、タロースの修理も、残されていた文献や、商人の護衛でやってくる旅の魔法使いの知恵を借りたりして、すこーしずつ進めてたんだ。			タロースは今							
おかえりなさいませ。サンクレッドたちにも、取り急ぎ事情を伝え、素材の調達に向かってもらいました。			おかえりなさいませ。サンクレッドたちにも、取り急ぎ事情を伝え、素材の調達に向かってもらいました。			タロースは今							
あなたにお願いした、「デビタージュの断片」は、いかがでしょうか……？			あなたにお願いした、「デビタージュの断片」は、いかがでしょうか……？			タロースは今							
ありがとうございます、確かに頂戴いたしました。それでは、サンクレッドたちが戻り次第、触媒を生成し、タロースの修復を試みましょう……。			ありがとうございます、確かに頂戴いたしました。それでは、サンクレッドたちが戻り次第、触媒を生成し、タロースの修復を試みましょう……。			タロースは今							
……恐らく、これで魔力の通り道そのものは、全身くまなく繋がったかと思います。			……恐らく、これで魔力の通り道そのものは、全身くまなく繋がったかと思います。			タロースは今							
あとは、実際に魔力を流せば…………			あとは、実際に魔力を流せば…………			タロースは今							
…………動かないな。			…………動かないな。			タロースは今							
ふむ……。これほど一切の反応がないとなると、問題は、もっと大元にもあるのかもしれません。			ふむ……。これほど一切の反応がないとなると、問題は、もっと大元にもあるのかもしれません。			タロースは今							
具体的には、「心核」です。人で言えば心臓にあたる機関……これが作動しなければ、魔力を取り入れ、巡らせること自体ができないのです……。			具体的には、「心核」です。人で言えば心臓にあたる機関……これが作動しなければ、魔力を取り入れ、巡らせること自体ができないのです……。			タロースは今							
ああ……やっぱりかぁー……。			ああ……やっぱりかぁー……。			タロースは今							
やっぱり、と申しますと……？			やっぱり、と申しますと……？			タロースは今							
あっ、いや、その……心核に問題があるって可能性は、僕たちも、考えなかったわけじゃないんだよ。			あっ、いや、その……心核に問題があるって可能性は、僕たちも、考えなかったわけじゃないんだよ。			タロースは今							
だから、代わりの心核を用意しようとしたこともあった……あったんだけど…………。			だから、代わりの心核を用意しようとしたこともあった……あったんだけど…………。			タロースは今							
……ジェリックさん？			……ジェリックさん？			タロースは今							
うーん……ええと……僕が言っちゃっていいのかな、これ……。			うーん……ええと……僕が言っちゃっていいのかな、これ……。			タロースは今							
どうか教えてください。心核を用意しようとして、何があったんですか……？			どうか教えてください。心核を用意しようとして、何があったんですか……？			タロースは今							
わ、わかったよ、話すってば！タロースの心核と……親方がああなった理由、ここまでしてくれたからには、最後までちゃんと教えてあげる。			わ、わかったよ、話すってば！タロースの心核と……親方がああなった理由、ここまでしてくれたからには、最後までちゃんと教えてあげる。			タロースは今							
トゥワインのミンフィリアは、思い詰めている様子だ。			トゥワインのミンフィリアは、思い詰めている様子だ。			枕木の上にて弾む							
トゥワインで知人を探す			トゥワインで知人を探す			枕木の上にて弾む							
ジェリックの近くで点検用の工具箱を使う			ジェリックの近くで点検用の工具箱を使う			枕木の上にて弾む							
ジェリックの近くで点検用の工具箱を再度使う			ジェリックの近くで点検用の工具箱を再度使う			枕木の上にて弾む							
鳥の巣を除去しデザート・ヴァルチャーを討伐			鳥の巣を除去しデザート・ヴァルチャーを討伐			枕木の上にて弾む							
ジェリックと話す			ジェリックと話す			枕木の上にて弾む							
ジェリックと再度話す			ジェリックと再度話す			枕木の上にて弾む							
………………。			………………。			枕木の上にて弾む							
導く者あれば、拒む者あり……。それはこの世の常なれど、その狭間で立ち止まることが、今の彼らにとって、どれほどにつらいことでしょう……。			導く者あれば、拒む者あり……。それはこの世の常なれど、その狭間で立ち止まることが、今の彼らにとって、どれほどにつらいことでしょう……。			枕木の上にて弾む							
どうしてまだいやがる……帰れって言っただろうが……！			どうしてまだいやがる……帰れって言っただろうが……！			枕木の上にて弾む							
予想はしてた結果だが……すまないな。トロッコのことは、諦めた方がいいと思うぞ。			予想はしてた結果だが……すまないな。トロッコのことは、諦めた方がいいと思うぞ。			枕木の上にて弾む							
あっ、さっきぶりー。無事に親方には会えた？			あっ、さっきぶりー。無事に親方には会えた？			枕木の上にて弾む							
あっ……ご、ごめんなさい……つい考え事を……！トロッコのこと、簡単にあきらめちゃダメですよね。			あっ……ご、ごめんなさい……つい考え事を……！トロッコのこと、簡単にあきらめちゃダメですよね。			枕木の上にて弾む							
ひとまず、この村でも情報を集めてみませんか……？親方さんがあんな風に不機嫌な理由や、トロッコを動かせない原因が、何かわかるかもしれません。			ひとまず、この村でも情報を集めてみませんか……？親方さんがあんな風に不機嫌な理由や、トロッコを動かせない原因が、何かわかるかもしれません。			枕木の上にて弾む							
私、北側の方を見てきます！			私、北側の方を見てきます！			枕木の上にて弾む							
……サンクレッド。このまま、成り行きに任せて進んでしまって、本当によろしいのですか。			……サンクレッド。このまま、成り行きに任せて進んでしまって、本当によろしいのですか。			枕木の上にて弾む							
成り行き？　……違うな。俺はもう何年も、長い間、考え抜いた。望む結末は、とっくに決まっている。			成り行き？　……違うな。俺はもう何年も、長い間、考え抜いた。望む結末は、とっくに決まっている。			枕木の上にて弾む							
……だが、選択するのは俺じゃない。俺がわずかでもどちらかに寄った態度を見せれば、それは厳命となって、あいつを縛るだろう。			……だが、選択するのは俺じゃない。俺がわずかでもどちらかに寄った態度を見せれば、それは厳命となって、あいつを縛るだろう。			枕木の上にて弾む							
あいつから、自身のために選ぶ機会を、奪うわけにはいかない。それが「彼女」の願いならば、なおさら……俺はただ護り、教え、そばにいるだけだ。			あいつから、自身のために選ぶ機会を、奪うわけにはいかない。それが「彼女」の願いならば、なおさら……俺はただ護り、教え、そばにいるだけだ。			枕木の上にて弾む							
……私も、情報収集に行ってまいります。あなたも、どなたか話ができそうな方を探して、声をかけてみてください。			……私も、情報収集に行ってまいります。あなたも、どなたか話ができそうな方を探して、声をかけてみてください。			枕木の上にて弾む							
あ、さっきはどうもー！ビラン大鉱山でキミにやられた奴、ちゃんと介抱して連れて帰ってきたよ。			あ、さっきはどうもー！ビラン大鉱山でキミにやられた奴、ちゃんと介抱して連れて帰ってきたよ。			枕木の上にて弾む							
そっちは、どうだった？……やっぱりダメだって？			そっちは、どうだった？……やっぱりダメだって？			枕木の上にて弾む							
……だよねー。親方が変わるキッカケになってくれればって思ったけど、やっぱり、こればっかりは難しいか……。			……だよねー。親方が変わるキッカケになってくれればって思ったけど、やっぱり、こればっかりは難しいか……。			枕木の上にて弾む							
せっかくトロッコを求める同志に出会えたのに、力になれなくてゴメンよ。どうする？　せめて貨車とか、なでてく？			せっかくトロッコを求める同志に出会えたのに、力になれなくてゴメンよ。どうする？　せめて貨車とか、なでてく？			枕木の上にて弾む							
えっ、まだ諦めてないって！？こ、心が屈強だなー……。			えっ、まだ諦めてないって！？こ、心が屈強だなー……。			枕木の上にて弾む							
……でも、親方を変えるには、それくらいの頑固さが必要なのかも。			……でも、親方を変えるには、それくらいの頑固さが必要なのかも。			枕木の上にて弾む							
よし、わかった。それじゃあ今から、一緒に線路の保守点検に行こうよ！「業務に必要」なら、何か話しても怒られないだろうしね。			よし、わかった。それじゃあ今から、一緒に線路の保守点検に行こうよ！「業務に必要」なら、何か話しても怒られないだろうしね。			枕木の上にて弾む							
はい、これが「点検用の工具箱」ね。その箱を持って、村の東側に伸びてる線路を伝ってきて。			はい、これが「点検用の工具箱」ね。その箱を持って、村の東側に伸びてる線路を伝ってきて。			枕木の上にて弾む							
僕が先行して、補修すべきところを見つけておくから、キミは僕のそばで、その箱を開いてよ。……それじゃあ、出発だー！			僕が先行して、補修すべきところを見つけておくから、キミは僕のそばで、その箱を開いてよ。……それじゃあ、出発だー！			枕木の上にて弾む							
この部分、ちょっと気になるね……。さあ、近くで「点検用の工具箱」を開いて！			この部分、ちょっと気になるね……。さあ、近くで「点検用の工具箱」を開いて！			枕木の上にて弾む							
点検するのは、この場所ではなさそうだ……。ジェリックの近くで、「点検用の工具箱」を開こう。			点検するのは、この場所ではなさそうだ……。ジェリックの近くで、「点検用の工具箱」を開こう。			枕木の上にて弾む							
「点検用の工具箱」を開いた！			「点検用の工具箱」を開いた！			枕木の上にて弾む							
準備万端だねー！その中には、点検に必要な、いくつかの道具が入ってるんだ。			準備万端だねー！その中には、点検に必要な、いくつかの道具が入ってるんだ。			枕木の上にて弾む							
ここ、微かにだけど、ボルトが緩んでる……締めなおすから、道具を取って！			ここ、微かにだけど、ボルトが緩んでる……締めなおすから、道具を取って！			枕木の上にて弾む							
どの道具を渡す？			どの道具を渡す？			枕木の上にて弾む							
ノコギリ			ノコギリ			枕木の上にて弾む							
レンチ			レンチ			枕木の上にて弾む							
雑巾			雑巾			枕木の上にて弾む							
な、なんでノコギリ！？切り落とすようなものはないよ！？			な、なんでノコギリ！？切り落とすようなものはないよ！？			枕木の上にて弾む							
必要なのは「ボルトを締める道具」さ。……もう一回、よろしくね！			必要なのは「ボルトを締める道具」さ。……もう一回、よろしくね！			枕木の上にて弾む							
そうそう、レンチ！これがあれば、ボルトを締めなおせるよ。			そうそう、レンチ！これがあれば、ボルトを締めなおせるよ。			枕木の上にて弾む							
じゃ、少し待っててね……。			じゃ、少し待っててね……。			枕木の上にて弾む							
作業完了ー！それじゃあ、次に行こう！			作業完了ー！それじゃあ、次に行こう！			枕木の上にて弾む							
ぞ、雑巾……？確かに古い油を拭いてから作業したりもするけど……うーん、今は平気かな。			ぞ、雑巾……？確かに古い油を拭いてから作業したりもするけど……うーん、今は平気かな。			枕木の上にて弾む							
必要なのは「ボルトを締める道具」さ。……もう一回、よろしくね！			必要なのは「ボルトを締める道具」さ。……もう一回、よろしくね！			枕木の上にて弾む							
今度は、ここの街灯に問題があるね……。もう一度、近くで「点検用の工具箱」を開いてくれるかな？			今度は、ここの街灯に問題があるね……。もう一度、近くで「点検用の工具箱」を開いてくれるかな？			枕木の上にて弾む							
「点検用の工具箱」を開いた！			「点検用の工具箱」を開いた！			枕木の上にて弾む							
やる気だねー！じゃあ、今度はこの街灯を直しちゃおうか。			やる気だねー！じゃあ、今度はこの街灯を直しちゃおうか。			枕木の上にて弾む							
「光の氾濫」以降、明かりを灯す必要はなくなったけど、これも、引き継いできた大事な設備のひとつだもの。きちんと手入れをしておかないとね。			「光の氾濫」以降、明かりを灯す必要はなくなったけど、これも、引き継いできた大事な設備のひとつだもの。きちんと手入れをしておかないとね。			枕木の上にて弾む							
それに、ほら、レイクランドに夜の闇が戻ったって噂でしょ？あわよくばこっちにも戻りますように……って願いも込めてね！			それに、ほら、レイクランドに夜の闇が戻ったって噂でしょ？あわよくばこっちにも戻りますように……って願いも込めてね！			枕木の上にて弾む							
さて……柱の部分に、ささくれができてるみたいだ。線路を道代わりにしてる人が、手をついても危なくないように、ひとまず表面を平らにしておこうか。			さて……柱の部分に、ささくれができてるみたいだ。線路を道代わりにしてる人が、手をついても危なくないように、ひとまず表面を平らにしておこうか。			枕木の上にて弾む							
どの道具を渡す？			どの道具を渡す？			枕木の上にて弾む							
ノコギリ			ノコギリ			枕木の上にて弾む							
ハンマー			ハンマー			枕木の上にて弾む							
やすり			やすり			枕木の上にて弾む							
そうそう、ノコギリで切り倒しちゃえば心配も……			そうそう、ノコギリで切り倒しちゃえば心配も……			枕木の上にて弾む							
って、そんなわけないでしょー！大事な設備だって、僕、言ったばかりじゃなかったっけ！？			って、そんなわけないでしょー！大事な設備だって、僕、言ったばかりじゃなかったっけ！？			枕木の上にて弾む							
必要なのは「木材の表面を平らにする道具」さ。……今度こそ、よろしくね！			必要なのは「木材の表面を平らにする道具」さ。……今度こそ、よろしくね！			枕木の上にて弾む							
あれ……ハンマー……？もしかして、留め金の部分と勘違いしちゃったかな。			あれ……ハンマー……？もしかして、留め金の部分と勘違いしちゃったかな。			枕木の上にて弾む							
必要なのは「木材の表面を平らにする道具」さ。……今度こそ、よろしくね！			必要なのは「木材の表面を平らにする道具」さ。……今度こそ、よろしくね！			枕木の上にて弾む							
そうそう、やすり！これで表面をスベスベにできるよ。			そうそう、やすり！これで表面をスベスベにできるよ。			枕木の上にて弾む							
じゃ、少し待っててね……。			じゃ、少し待っててね……。			枕木の上にて弾む							
作業完了ー！今度、ニスもしっかり塗っておくよ。			作業完了ー！今度、ニスもしっかり塗っておくよ。			枕木の上にて弾む							
おかげさまで、補修はもう大丈夫そうかな。実際に歩いてみてどう？　なかなか立派な線路でしょ？			おかげさまで、補修はもう大丈夫そうかな。実際に歩いてみてどう？　なかなか立派な線路でしょ？			枕木の上にて弾む							
アンバーヒルの鉱山ってさ、大昔から採掘が行われてきたんだ。そのうちに、人力で掘れるようなところは、ほとんど掘りつくされちゃってさ……。			アンバーヒルの鉱山ってさ、大昔から採掘が行われてきたんだ。そのうちに、人力で掘れるようなところは、ほとんど掘りつくされちゃってさ……。			枕木の上にて弾む							
当時ここを治めていたナバスアレンは、巨額の資金を投入して、新たな方法で鉱山開発を進めることになった。			当時ここを治めていたナバスアレンは、巨額の資金を投入して、新たな方法で鉱山開発を進めることになった。			枕木の上にて弾む							
それが、異国から、タロース技師のミステル族を招致することだったんだ。			それが、異国から、タロース技師のミステル族を招致することだったんだ。			枕木の上にて弾む							
それによって、鉱山は一層に栄えることとなった……。僕たちの住むトゥワインも、そのころにできた村だね。			それによって、鉱山は一層に栄えることとなった……。僕たちの住むトゥワインも、そのころにできた村だね。			枕木の上にて弾む							
古くからここに住むロンゾ族と、新しく来たミステル族、「ふたつの尻尾」が交わったからこそ、鉱業が再び栄えた……だから「トゥワイン」なんて名がついてるのさ。			古くからここに住むロンゾ族と、新しく来たミステル族、「ふたつの尻尾」が交わったからこそ、鉱業が再び栄えた……だから「トゥワイン」なんて名がついてるのさ。			枕木の上にて弾む							
けど、そんな尻尾の交わりも、「光の氾濫」でナバスアレンがなくなったのを機に、ほどけていっちゃってね……。			けど、そんな尻尾の交わりも、「光の氾濫」でナバスアレンがなくなったのを機に、ほどけていっちゃってね……。			枕木の上にて弾む							
15年前、最後まで残っていた「ダイダロス社」もついに撤退。跡取りごとユールモアに行っちゃって、タロースを作り出す技術は、この土地から消え去ったんだ。			15年前、最後まで残っていた「ダイダロス社」もついに撤退。跡取りごとユールモアに行っちゃって、タロースを作り出す技術は、この土地から消え去ったんだ。			枕木の上にて弾む							
……っと、話の続きは、残りの点検が終わったあとね。補修は済んだけど、もうひとつやることがあるんだ。			……っと、話の続きは、残りの点検が終わったあとね。補修は済んだけど、もうひとつやることがあるんだ。			枕木の上にて弾む							
この線路には、ときどきヴァルチャーが飛来して、巣を作っちゃうんだよね……それを取り除くのも、僕たちの役目ってわけ。			この線路には、ときどきヴァルチャーが飛来して、巣を作っちゃうんだよね……それを取り除くのも、僕たちの役目ってわけ。			枕木の上にて弾む							
というわけで、キミには北側の線路を見回ってもらおうかな。巣に手を出すと、ヴァルチャーが暴れるだろうから、安全のためにも撃退しちゃってね。			というわけで、キミには北側の線路を見回ってもらおうかな。巣に手を出すと、ヴァルチャーが暴れるだろうから、安全のためにも撃退しちゃってね。			枕木の上にて弾む							
北側の線路を見回って、「鳥の巣」があったら除去してほしいんだ。襲ってくるヴァルチャーに気をつけて！			北側の線路を見回って、「鳥の巣」があったら除去してほしいんだ。襲ってくるヴァルチャーに気をつけて！			枕木の上にて弾む							
鳥の巣の除去、おつかれさま！いやー、ツンツンされてたね……ごめんねー。			鳥の巣の除去、おつかれさま！いやー、ツンツンされてたね……ごめんねー。			枕木の上にて弾む							
お詫びってわけじゃないけど、さっきの話の続き。タロースの修理や製造ができなくなったことで、当然、それを動力としているトロッコも動かせなくなっていったんだ。			お詫びってわけじゃないけど、さっきの話の続き。タロースの修理や製造ができなくなったことで、当然、それを動力としているトロッコも動かせなくなっていったんだ。			枕木の上にて弾む							
使われなくなった線路は、錆び放題の壊れ放題。トゥワインに生まれ育ち最初に覚えた言葉さえトロッコな僕は、その衰退とともに、プーカ人形のような無表情になったものさ。			使われなくなった線路は、錆び放題の壊れ放題。トゥワインに生まれ育ち最初に覚えた言葉さえトロッコな僕は、その衰退とともに、プーカ人形のような無表情になったものさ。			枕木の上にて弾む							
しかーし！7年前、事態は再び動き出したんだ。トロッコ技師である親方と、その奥さんが村に戻ったことでね。			しかーし！7年前、事態は再び動き出したんだ。トロッコ技師である親方と、その奥さんが村に戻ったことでね。			枕木の上にて弾む							
彼らは幼い息子に少しでも安全な暮らしをさせたいと願って、一時期、アム・アレーンを離れていたんだ。			彼らは幼い息子に少しでも安全な暮らしをさせたいと願って、一時期、アム・アレーンを離れていたんだ。			枕木の上にて弾む							
……でも、その息子さんが、罪喰いにやられてしまった。親方夫妻は、息子さんが遺した言葉を実現するために、この土地に戻って来たのさ。			……でも、その息子さんが、罪喰いにやられてしまった。親方夫妻は、息子さんが遺した言葉を実現するために、この土地に戻って来たのさ。			枕木の上にて弾む							
「いつかまた、パパのトロッコが走るのを見たい」って言葉をね。そして始まったトロッコの復活計画は、ゆっくりとだけど、順調に進んでいたよ……でも……。			「いつかまた、パパのトロッコが走るのを見たい」って言葉をね。そして始まったトロッコの復活計画は、ゆっくりとだけど、順調に進んでいたよ……でも……。			枕木の上にて弾む							
うわっ、ヴァルチャーの鳴き声だ！？ここにいたら、ツンツンされちゃう……村に戻ろう！			うわっ、ヴァルチャーの鳴き声だ！？ここにいたら、ツンツンされちゃう……村に戻ろう！			枕木の上にて弾む							
ふぅ……。何はともあれ、保守点検、おつかれさまー！			ふぅ……。何はともあれ、保守点検、おつかれさまー！			枕木の上にて弾む							
なんだかんだで、いっぱい話もできたし、トロッコを動かせない要因は、もう予想がついたんじゃない？			なんだかんだで、いっぱい話もできたし、トロッコを動かせない要因は、もう予想がついたんじゃない？			枕木の上にて弾む							
……うん、ずばり、タロースさ。今のアンバーヒルには、ちゃんと動くトロッコ用のタロースが、1体たりとも存在していないんだよ。			……うん、ずばり、タロースさ。今のアンバーヒルには、ちゃんと動くトロッコ用のタロースが、1体たりとも存在していないんだよ。			枕木の上にて弾む							
ビラン大鉱山のサーフは、彼らの村に向けて出発するようだ。			ビラン大鉱山のサーフは、彼らの村に向けて出発するようだ。			トゥワインへ							
サーフとともに、トゥワインを目指すことになった。ビラン大鉱山付近の「サーフ」と話そう。			サーフとともに、トゥワインを目指すことになった。ビラン大鉱山付近の「サーフ」と話そう。			トゥワインへ							
サーフと話した。北アンバーヒルの「サーフ」と話そう。			サーフと話した。北アンバーヒルの「サーフ」と話そう。			トゥワインへ							
サーフと話した。北アンバーヒルで、逃げた「サーフ」を探そう。			サーフと話した。北アンバーヒルで、逃げた「サーフ」を探そう。			トゥワインへ							
サーフを見つけ、襲っていた獣を討伐した。北アンバーヒルの「サーフ」と話そう。			サーフを見つけ、襲っていた獣を討伐した。北アンバーヒルの「サーフ」と話そう。			トゥワインへ							
サーフと話した。アム・アレーンのトゥワインにいる「サーフ」と話そう。			サーフと話した。アム・アレーンのトゥワインにいる「サーフ」と話そう。			トゥワインへ							
トゥワインに到着し、サーフと話した。トゥワインの「マグヌス」と話そう。			トゥワインに到着し、サーフと話した。トゥワインの「マグヌス」と話そう。			トゥワインへ							
マグヌスと話したが、取りつく島もなかった。トゥワインの「ミンフィリア」と話そう。			マグヌスと話したが、取りつく島もなかった。トゥワインの「ミンフィリア」と話そう。			トゥワインへ							
ミンフィリアは思い詰めている様子だった。一方で、トロッコ技師でありながら、その名を聞くのも嫌だと言う親方マグヌス。彼らの想いを紐解き、先に進む道を拓いていこう。			ミンフィリアは思い詰めている様子だった。一方で、トロッコ技師でありながら、その名を聞くのも嫌だと言う親方マグヌス。彼らの想いを紐解き、先に進む道を拓いていこう。			トゥワインへ							
サーフと話す			サーフと話す			トゥワインへ							
サーフと再度話す			サーフと再度話す			トゥワインへ							
サーフを探す			サーフを探す			トゥワインへ							
サーフと話す			サーフと話す			トゥワインへ							
サーフと再度話す			サーフと再度話す			トゥワインへ							
マグヌスと話す			マグヌスと話す			トゥワインへ							
ミンフィリアと話す			ミンフィリアと話す			トゥワインへ							
さっそく、こいつらに案内してもらうとしよう。			さっそく、こいつらに案内してもらうとしよう。			トゥワインへ							
どうにかして、トロッコを動かしてもらわないと……。親方さんと、うまく話がつけられるといいのですが……。			どうにかして、トロッコを動かしてもらわないと……。親方さんと、うまく話がつけられるといいのですが……。			トゥワインへ							
敏腕まじない師……良い響きです……。それを名乗るにしては、視えているものが少なすぎるのでしょうが……。			敏腕まじない師……良い響きです……。それを名乗るにしては、視えているものが少なすぎるのでしょうが……。			トゥワインへ							
それにしても、よくトロッコを使うって発想になったね。このあたりの住民でさえ、もう、ないのが当たり前って感じなのになぁ。			それにしても、よくトロッコを使うって発想になったね。このあたりの住民でさえ、もう、ないのが当たり前って感じなのになぁ。			トゥワインへ							
よし、それじゃあ、隠れていたほかの仲間も呼んで、「トゥワイン」に戻るとしよう。			よし、それじゃあ、隠れていたほかの仲間も呼んで、「トゥワイン」に戻るとしよう。			トゥワインへ							
……って、そういえばあいつ、一向に出てこないけど、どうしたんだ……？			……って、そういえばあいつ、一向に出てこないけど、どうしたんだ……？			トゥワインへ							
襲ってきたから、あしらっといた！？それは……まあ、そうだよなー…………。			襲ってきたから、あしらっといた！？それは……まあ、そうだよなー…………。			トゥワインへ							
だったら、僕が介抱しとくよ。サーフは、みんなを村に連れて行ってあげて。			だったら、僕が介抱しとくよ。サーフは、みんなを村に連れて行ってあげて。			トゥワインへ							
……ということらしいから、俺たちは先に行こう。ひとまず、ビラン大鉱山を出るところまで進んでくれ。			……ということらしいから、俺たちは先に行こう。ひとまず、ビラン大鉱山を出るところまで進んでくれ。			トゥワインへ							
僕は仲間を介抱してから戻るよー。またあとでね！			僕は仲間を介抱してから戻るよー。またあとでね！			トゥワインへ							
っててて……。あのオッサンに殴られた頭が、まだズキズキするなぁ。			っててて……。あのオッサンに殴られた頭が、まだズキズキするなぁ。			トゥワインへ							
ああ、あんたも来たか。仲間たちなら、少し先を歩いてるぞ。俺たちも、さっそく進むとしよう。			ああ、あんたも来たか。仲間たちなら、少し先を歩いてるぞ。俺たちも、さっそく進むとしよう。			トゥワインへ							
普段なら、高架の線路の上を歩いていくんだけど、今日は歩幅の小さそうなお嬢さんもいたからさ。落ちたりしないように、下の道を行くことにしたんだ。			普段なら、高架の線路の上を歩いていくんだけど、今日は歩幅の小さそうなお嬢さんもいたからさ。落ちたりしないように、下の道を行くことにしたんだ。			トゥワインへ							
……けど、このあたり、結構獰猛な獣が出るんだよなぁ。あんたも強いみたいだし、何かあったら、助けてくれよな！			……けど、このあたり、結構獰猛な獣が出るんだよなぁ。あんたも強いみたいだし、何かあったら、助けてくれよな！			トゥワインへ							
……ストップ。今、なんか、獣の唸り声が聞こえた気が……？			……ストップ。今、なんか、獣の唸り声が聞こえた気が……？			トゥワインへ							
うわっ！？　に、逃げろー！			うわっ！？　に、逃げろー！			トゥワインへ							
ひえっ……！			ひえっ……！			トゥワインへ							
ふぅ……助かったよ……。久々に下の道を通ったけど、ツイてないなぁ……俺……。			ふぅ……助かったよ……。久々に下の道を通ったけど、ツイてないなぁ……俺……。			トゥワインへ							
けど、「トゥワイン」はもう、目と鼻の先さ！あんたの仲間たちは、とっくに到着してるだろうし、俺たちも急ごう。			けど、「トゥワイン」はもう、目と鼻の先さ！あんたの仲間たちは、とっくに到着してるだろうし、俺たちも急ごう。			トゥワインへ							
……今のところは、いっそ無情に思うほど、順調だな。			……今のところは、いっそ無情に思うほど、順調だな。			トゥワインへ							
なんだか、街全体が、使い込まれているような感じですね。きっとここでも、いろいろな出来事があったんだろうな……。			なんだか、街全体が、使い込まれているような感じですね。きっとここでも、いろいろな出来事があったんだろうな……。			トゥワインへ							
まだ道を模索している最中とはいえ、「光の氾濫」跡は、着実に近くなっている……。ともすれば、ここが、最後の街になるかもしれません。			まだ道を模索している最中とはいえ、「光の氾濫」跡は、着実に近くなっている……。ともすれば、ここが、最後の街になるかもしれません。			トゥワインへ							
はい、到着！ここが俺たちの暮らす、鉱山労働者たちの街「トゥワイン」だ。			はい、到着！ここが俺たちの暮らす、鉱山労働者たちの街「トゥワイン」だ。			トゥワインへ							
もとは、線路を敷設する作業員のための集落だったんだが、工事がおわったあとも鉱山労働者たちが住み続けた……って経緯を持つ、根っからトロッコとゆかりがある村さ。			もとは、線路を敷設する作業員のための集落だったんだが、工事がおわったあとも鉱山労働者たちが住み続けた……って経緯を持つ、根っからトロッコとゆかりがある村さ。			トゥワインへ							
村の中央に線路が引き込まれてるのは、往時、多くの労働者たちが、通勤にトロッコを使ったからだ。			村の中央に線路が引き込まれてるのは、往時、多くの労働者たちが、通勤にトロッコを使ったからだ。			トゥワインへ							
……っていっても、今は鉱業自体が廃れてる。こんなところに留まってるのは、行き場のない無法者か、それでも鉱石掘りをやめられない馬鹿だって言われてるよ。			……っていっても、今は鉱業自体が廃れてる。こんなところに留まってるのは、行き場のない無法者か、それでも鉱石掘りをやめられない馬鹿だって言われてるよ。			トゥワインへ							
さてと……「マグヌス」の親方は、また酒場かな。紹介してやるけど、本当、期待はするなよな……？			さてと……「マグヌス」の親方は、また酒場かな。紹介してやるけど、本当、期待はするなよな……？			トゥワインへ							
……とにかく、ついていってみるか。			……とにかく、ついていってみるか。			トゥワインへ							
この人が、俺たちの親方「マグヌス」さんだ。			この人が、俺たちの親方「マグヌス」さんだ。			トゥワインへ							
あぁん……？なんだ、酔いがまわったかぁ……？			あぁん……？なんだ、酔いがまわったかぁ……？			トゥワインへ							
知らねぇ顔がゾロゾロと、俺を取り囲んでやがる……。ひぃふぅみぃ……3人……いや4人……？面倒くせぇなぁオイ、増えたり減ったりしやがって……！			知らねぇ顔がゾロゾロと、俺を取り囲んでやがる……。ひぃふぅみぃ……3人……いや4人……？面倒くせぇなぁオイ、増えたり減ったりしやがって……！			トゥワインへ							
……かなり、酔っていらっしゃるようですね。			……かなり、酔っていらっしゃるようですね。			トゥワインへ							
親方……こいつらはビラン大鉱山で出会った連中で、ナバスアレンに行きたいらしいんです。			親方……こいつらはビラン大鉱山で出会った連中で、ナバスアレンに行きたいらしいんです。			トゥワインへ							
そのために……その……トロッコを動かしたいとかで……。			そのために……その……トロッコを動かしたいとかで……。			トゥワインへ							
ナバスアレンだぁ！？あんな廃都に、今更なんの用があるってんだ……。			ナバスアレンだぁ！？あんな廃都に、今更なんの用があるってんだ……。			トゥワインへ							
しかも、そんなひ弱そうな嬢ちゃん連れて……。ガキの遊び場じゃねぇんだぞ、あそこは。			しかも、そんなひ弱そうな嬢ちゃん連れて……。ガキの遊び場じゃねぇんだぞ、あそこは。			トゥワインへ							
あ、遊びに行くつもりじゃありません……！私がどうしてもあそこに行きたいから、みんなに同行してもらっているんです……！			あ、遊びに行くつもりじゃありません……！私がどうしてもあそこに行きたいから、みんなに同行してもらっているんです……！			トゥワインへ							
ハッ……あそこは、この世の終点だ。どんな風に聞いてるか知らねぇが、好きこのんで行くような場所じゃねぇよ……。			ハッ……あそこは、この世の終点だ。どんな風に聞いてるか知らねぇが、好きこのんで行くような場所じゃねぇよ……。			トゥワインへ							
