潮風亭のエストリルドは、道行く人を見定めているようだ。			潮風亭のエストリルドは、道行く人を見定めているようだ。			ベテラン・モブハント（初級）							
スウェスリク大牙将に報告			スウェスリク大牙将に報告			悪逆無道							
そろそろ、帝国兵を捕らえに行った連中が、帰還する頃だろう。「タラ・モルコー少牙士」を捜し、話を聞いてきてくれ。			そろそろ、帝国兵を捕らえに行った連中が、帰還する頃だろう。「タラ・モルコー少牙士」を捜し、話を聞いてきてくれ。			悪逆無道							
どうも、Forenameさん。あの後、無事に帝国兵を連れ帰ることができましたよ。あなたが、スウェスリク大牙将に上申してくれたおかげです。			どうも、Forenameさん。あの後、無事に帝国兵を連れ帰ることができましたよ。あなたが、スウェスリク大牙将に上申してくれたおかげです。			悪逆無道							
連行した帝国兵から、今すぐにでも話を聞きたいところですが、現在は治療師の下で応急処置を受けている最中です。しばらくここで待機しましょう。			連行した帝国兵から、今すぐにでも話を聞きたいところですが、現在は治療師の下で応急処置を受けている最中です。しばらくここで待機しましょう。			悪逆無道							
どうやら、話ができる程度には落ち着いたようですね。			どうやら、話ができる程度には落ち着いたようですね。			悪逆無道							
恩着せがましく言うつもりはありませんが、私たちは、瀕死のあなたをここに運んだ「命の恩人」ってやつです。教えてください、ビターミルで何をしていたのですか？			恩着せがましく言うつもりはありませんが、私たちは、瀕死のあなたをここに運んだ「命の恩人」ってやつです。教えてください、ビターミルで何をしていたのですか？			悪逆無道							
…………人を探していたんだ。我が軍の施設に幽閉していた人物なんだが、抜け出されてしまった。ある事情で記憶を失っているから、遠くには行ってないはずだが。			…………人を探していたんだ。我が軍の施設に幽閉していた人物なんだが、抜け出されてしまった。ある事情で記憶を失っているから、遠くには行ってないはずだが。			悪逆無道							
記憶喪失の……もしかして、ビターミルで保護したあの人でしょうか。帝国軍に捕らわれていたと話していましたし。			記憶喪失の……もしかして、ビターミルで保護したあの人でしょうか。帝国軍に捕らわれていたと話していましたし。			悪逆無道							
……やはり、あの村に……。記憶を失っても、因果までは切れないものなのだな……。			……やはり、あの村に……。記憶を失っても、因果までは切れないものなのだな……。			悪逆無道							
……知っていることを全部話してください。そうすれば、あなたの命を保証するよう、上官に具申してあげます。取引といこうじゃないですか。			……知っていることを全部話してください。そうすれば、あなたの命を保証するよう、上官に具申してあげます。取引といこうじゃないですか。			悪逆無道							
……もともと、俺は無理矢理に徴兵された属州人だ。命と引き替えにしてまで、帝国に立てる義理はない。すべてを話そう。			……もともと、俺は無理矢理に徴兵された属州人だ。命と引き替えにしてまで、帝国に立てる義理はない。すべてを話そう。			悪逆無道							
……20年前、帝国軍は捕虜にした現地民たちを、お前たちと出会った、あのビターミルに住まわせた。ある兵器の開発実験のために……。			……20年前、帝国軍は捕虜にした現地民たちを、お前たちと出会った、あのビターミルに住まわせた。ある兵器の開発実験のために……。			悪逆無道							
当時帝国が開発していたのは、建造物を傷つけることなく、生物だけを死滅させることのできる猛毒の化学兵器……。通称「黒薔薇」だ。			当時帝国が開発していたのは、建造物を傷つけることなく、生物だけを死滅させることのできる猛毒の化学兵器……。通称「黒薔薇」だ。			悪逆無道							
……なんて愚かな。			……なんて愚かな。			悪逆無道							
実戦投入されれば、前線の兵士たちを消耗することなく、エオルゼアを制圧することができる……。			実戦投入されれば、前線の兵士たちを消耗することなく、エオルゼアを制圧することができる……。			悪逆無道							
そう考えた軍医師たちは、あの村を実験場に選び、被検体として捕虜たちを強制的に移住させたんだ。			そう考えた軍医師たちは、あの村を実験場に選び、被検体として捕虜たちを強制的に移住させたんだ。			悪逆無道							
実験は成功し、集められた捕虜たちはひとり残らず死に絶えた。「黒薔薇」の開発は完了し、あとは実戦投入を待つばかり……。			実験は成功し、集められた捕虜たちはひとり残らず死に絶えた。「黒薔薇」の開発は完了し、あとは実戦投入を待つばかり……。			悪逆無道							
そんなとき、鶴の一声で「黒薔薇」計画は中止となる。声をあげたのは、当時、アラミゴ準州の総督を務めていた、帝国軍第XIV軍団長、ガイウス・ヴァン・バエサル閣下だ。			そんなとき、鶴の一声で「黒薔薇」計画は中止となる。声をあげたのは、当時、アラミゴ準州の総督を務めていた、帝国軍第XIV軍団長、ガイウス・ヴァン・バエサル閣下だ。			悪逆無道							
ガイウス閣下は、エオルゼア人の虐殺を許さなかった。制圧作戦が完了した暁には、彼らはガレマール帝国の民となる……未来の自国民を無差別に殺すなど、仁義に反していると言ってな。			ガイウス閣下は、エオルゼア人の虐殺を許さなかった。制圧作戦が完了した暁には、彼らはガレマール帝国の民となる……未来の自国民を無差別に殺すなど、仁義に反していると言ってな。			悪逆無道							
その後、「黒薔薇」に関する物品は、すべて破棄されるはずだった。開発計画を主導した軍医師長が、完成していたサンプルを、持ち逃げしなければな……。			その後、「黒薔薇」に関する物品は、すべて破棄されるはずだった。開発計画を主導した軍医師長が、完成していたサンプルを、持ち逃げしなければな……。			悪逆無道							
件の軍医師長は、ほどなく追っ手に捕らえられたが、すでにサンプルをどこかに隠した後のことだった。様々な方法で口を割ろうと試みたが、未だに在処はわかっていない。			件の軍医師長は、ほどなく追っ手に捕らえられたが、すでにサンプルをどこかに隠した後のことだった。様々な方法で口を割ろうと試みたが、未だに在処はわかっていない。			悪逆無道							
捕らえたとき、軍医師長はすべての記憶を失っていたんだ。非道な実験を繰り返す内に、自我が崩壊していたのかもしれない。			捕らえたとき、軍医師長はすべての記憶を失っていたんだ。非道な実験を繰り返す内に、自我が崩壊していたのかもしれない。			悪逆無道							
……まさか、その人は……。			……まさか、その人は……。			悪逆無道							
ああ、そうだ。その人物こそ、お前たちが保護したという男……帝国軍第XIV軍団の軍医師長「グリエルメ」だ。			ああ、そうだ。その人物こそ、お前たちが保護したという男……帝国軍第XIV軍団の軍医師長「グリエルメ」だ。			悪逆無道							
さあ、「体格のいい帝国兵」から話を聞いてみましょう。何か情報が得られたらよいのですが……。			さあ、「体格のいい帝国兵」から話を聞いてみましょう。何か情報が得られたらよいのですが……。			悪逆無道							
……ビターミルで保護したみすぼらしい男が、かつて帝国で軍医師長を務めた人物だったとは……。			……ビターミルで保護したみすぼらしい男が、かつて帝国で軍医師長を務めた人物だったとは……。			悪逆無道							
有意義な証言を、ありがとうございます。ひとまず聞き取りはここまでにして、治療を再開してください。			有意義な証言を、ありがとうございます。ひとまず聞き取りはここまでにして、治療を再開してください。			悪逆無道							
……体格のいい帝国兵の話が本当なら、行方不明の捕虜たちは、化学兵器「黒薔薇」の犠牲になって亡くなったと……。何か、裏付ける証拠があればいいのですが。			……体格のいい帝国兵の話が本当なら、行方不明の捕虜たちは、化学兵器「黒薔薇」の犠牲になって亡くなったと……。何か、裏付ける証拠があればいいのですが。			悪逆無道							
いや、自軍の汚点を隠すために、証拠隠滅が行われていたとしても、村ひとつを対象にした実験の痕跡を消すことは、容易ではないはず。			いや、自軍の汚点を隠すために、証拠隠滅が行われていたとしても、村ひとつを対象にした実験の痕跡を消すことは、容易ではないはず。			悪逆無道							
地表は偽装工作されているかもしれませんが、その下には当時の状況を示す証拠が残っているかもしれません。「ビターミル」に行ってみましょう。			地表は偽装工作されているかもしれませんが、その下には当時の状況を示す証拠が残っているかもしれません。「ビターミル」に行ってみましょう。			悪逆無道							
俺の任務は、幽閉したグリエルメの監視と、ビターミルで行われた実験の痕跡を消すことだった。だが、あれだけの人間が死んだ跡を完全に消すことなど、不可能だ。			俺の任務は、幽閉したグリエルメの監視と、ビターミルで行われた実験の痕跡を消すことだった。だが、あれだけの人間が死んだ跡を完全に消すことなど、不可能だ。			悪逆無道							
それでは、手分けして周辺の「汚染された土壌」を、掘り起こしてみましょう。必ず、何かが残されているはずです……。			それでは、手分けして周辺の「汚染された土壌」を、掘り起こしてみましょう。必ず、何かが残されているはずです……。			悪逆無道							
ここには何も埋まっていないようだ。			ここには何も埋まっていないようだ。			悪逆無道							
地面を掘り進めると、金属製の容器が埋まっていた。……無闇に触れるのはやめたほうがよさそうだ。「タラ・モルコー少牙士」に報告しよう。			地面を掘り進めると、金属製の容器が埋まっていた。……無闇に触れるのはやめたほうがよさそうだ。「タラ・モルコー少牙士」に報告しよう。			悪逆無道							
あの帝国兵を疑うわけではありませんが、捕虜たちが惨たらしく殺されたなんて、信じたくありません。いっそ、何も見つからない方が……。			あの帝国兵を疑うわけではありませんが、捕虜たちが惨たらしく殺されたなんて、信じたくありません。いっそ、何も見つからない方が……。			悪逆無道							
おや、Forenameさん。何か見つけたんですか？			おや、Forenameさん。何か見つけたんですか？			悪逆無道							
なんと、金属製の容器を見つけたですって！それはもしかして、件の「黒薔薇」のサンプルでしょうか。			なんと、金属製の容器を見つけたですって！それはもしかして、件の「黒薔薇」のサンプルでしょうか。			悪逆無道							
ということは、あの帝国兵の話は本当だったんですね。……嘘ならどんなによかったか。			ということは、あの帝国兵の話は本当だったんですね。……嘘ならどんなによかったか。			悪逆無道							
……ううん、今は感傷に浸るより、「黒薔薇」をなんとかしないと。下手に触れると何が起こるかわかりません。まずはカストルム・オリエンスの「スウェスリク大牙将」に報告を。			……ううん、今は感傷に浸るより、「黒薔薇」をなんとかしないと。下手に触れると何が起こるかわかりません。まずはカストルム・オリエンスの「スウェスリク大牙将」に報告を。			悪逆無道							
スウェスリク大牙将、ご報告があります。			スウェスリク大牙将、ご報告があります。			悪逆無道							
我々が保護した男の正体がわかりました。帝国軍第XIV軍団所属の軍医師長で、名はグリエルメ。毒を用いた殺戮兵器「黒薔薇」を開発していた人物だったようです。			我々が保護した男の正体がわかりました。帝国軍第XIV軍団所属の軍医師長で、名はグリエルメ。毒を用いた殺戮兵器「黒薔薇」を開発していた人物だったようです。			悪逆無道							
ビターミルで追加調査を行った結果、「黒薔薇」のサンプルらしき、金属製の容器を発見しました。至急、回収のための部隊を派遣してください。			ビターミルで追加調査を行った結果、「黒薔薇」のサンプルらしき、金属製の容器を発見しました。至急、回収のための部隊を派遣してください。			悪逆無道							
ビターミルの地中に帝国の殺戮兵器が埋まっていることが判明した。急いで回収部隊を向かわせろ。			ビターミルの地中に帝国の殺戮兵器が埋まっていることが判明した。急いで回収部隊を向かわせろ。			悪逆無道							
それから……私たちが探していた消息不明の捕虜たちですが、「黒薔薇」の実証実験の犠牲になって、すでに……。			それから……私たちが探していた消息不明の捕虜たちですが、「黒薔薇」の実証実験の犠牲になって、すでに……。			悪逆無道							
あんな物があったら、いつまたそれを利用する者が現れるか……回収後は、必ず破棄してください。			あんな物があったら、いつまたそれを利用する者が現れるか……回収後は、必ず破棄してください。			悪逆無道							
わかった。必ず破棄させよう。			わかった。必ず破棄させよう。			悪逆無道							
軍医師長の処遇については、上の判断に任せることになるが、殺戮兵器の開発過程で、捕虜の虐殺を行うような人物だ。おそらく、重い処罰が下ることになるだろう。			軍医師長の処遇については、上の判断に任せることになるが、殺戮兵器の開発過程で、捕虜の虐殺を行うような人物だ。おそらく、重い処罰が下ることになるだろう。			悪逆無道							
……自分が誰だかわからなくなったとしても、犯した罪が消えるわけではないんですね……。			……自分が誰だかわからなくなったとしても、犯した罪が消えるわけではないんですね……。			悪逆無道							
何はともあれ、タラ・モルコー少牙士、[GC Rank]Surname[GC Rank]Surname[GC Rank]Surname。今回の任務、ご苦労だった。心身共に疲弊していることだろう、十分な休息をとるように。			何はともあれ、タラ・モルコー少牙士、[GC Rank]Surname[GC Rank]Surname[GC Rank]Surname。今回の任務、ご苦労だった。心身共に疲弊していることだろう、十分な休息をとるように。			悪逆無道							
さて、グリダニアに戻り、事件の報告書を作成しなければ……。帝国と同じ過ちを犯さないための、自戒となるよう。それが、双蛇党戦史課に所属する私の使命ですから。			さて、グリダニアに戻り、事件の報告書を作成しなければ……。帝国と同じ過ちを犯さないための、自戒となるよう。それが、双蛇党戦史課に所属する私の使命ですから。			悪逆無道							
Forenameさん、いろいろと助けていただき、ありがとうございました。さすがは「仮面殺し」の英雄……とても頼もしかったです。			Forenameさん、いろいろと助けていただき、ありがとうございました。さすがは「仮面殺し」の英雄……とても頼もしかったです。			悪逆無道							
それでは、失礼します。いつか、あなたの英雄譚を書き記す日を楽しみにしています。			それでは、失礼します。いつか、あなたの英雄譚を書き記す日を楽しみにしています。			悪逆無道							
溺れた海豚亭のアルフィノは、さらに準備を進めたいようだ。			溺れた海豚亭のアルフィノは、さらに準備を進めたいようだ。			ドマの語り部たち							
レヴナンツトールのリセと話す			レヴナンツトールのリセと話す			ドマの語り部たち							
石の家で情報を集める			石の家で情報を集める			ドマの語り部たち							
レヴナンツトールのリセと話す			レヴナンツトールのリセと話す			ドマの語り部たち							
えっ、なに……どういうこと？何で海賊が、素直に言うこと聞いちゃうわけ？			えっ、なに……どういうこと？何で海賊が、素直に言うこと聞いちゃうわけ？			ドマの語り部たち							
あきれた……大海賊の弱みを握って、利用しようというわけ？アルフィノとタタルのふたりったら、イシュガルドで、貴族顔負けの権謀術数を学んできたみたいね。			あきれた……大海賊の弱みを握って、利用しようというわけ？アルフィノとタタルのふたりったら、イシュガルドで、貴族顔負けの権謀術数を学んできたみたいね。			ドマの語り部たち							
20年ほど前のこと、皇都の名門、デュランデル家の嫡男が、見聞を広げるための旅の途中で、行方不明になったそうでっす。			20年ほど前のこと、皇都の名門、デュランデル家の嫡男が、見聞を広げるための旅の途中で、行方不明になったそうでっす。			ドマの語り部たち							
もしも、その子が生きていて、なおかつ家には帰りたくないのだとしたら…………。そういうことでっす。			もしも、その子が生きていて、なおかつ家には帰りたくないのだとしたら…………。そういうことでっす。			ドマの語り部たち							
何はともあれ、東方までの船が確保できてよかった。カルヴァラン氏の勧めどおり、出港準備を待つまでの間に、東方への長旅に備えて、こちらもやるべきことをやっておこう。			何はともあれ、東方までの船が確保できてよかった。カルヴァラン氏の勧めどおり、出港準備を待つまでの間に、東方への長旅に備えて、こちらもやるべきことをやっておこう。			ドマの語り部たち							
まず、私とタタルで必要な物資を買いそろえておく。アリゼーは、ウリエンジェに連絡をつけて情報を共有しつつ、東方遠征の間の指揮系統について、再確認を頼む。			まず、私とタタルで必要な物資を買いそろえておく。アリゼーは、ウリエンジェに連絡をつけて情報を共有しつつ、東方遠征の間の指揮系統について、再確認を頼む。			ドマの語り部たち							
わかったわ。任せてちょうだい……。残るForenameとリセは、どうするの？			わかったわ。任せてちょうだい……。残るForenameとリセは、どうするの？			ドマの語り部たち							
ふたりは、レヴナンツトールに向かってもらいたい。開拓団に加わっているドマの民から話を聞き、彼らの故郷について、情報を集めておいてほしいんだ。			ふたりは、レヴナンツトールに向かってもらいたい。開拓団に加わっているドマの民から話を聞き、彼らの故郷について、情報を集めておいてほしいんだ。			ドマの語り部たち							
ドマを含む東方地域は、私たちにとって未知の異郷だ。最低限の知識を持った状態で、赴きたいからね。それらが終わったら、フェリードックで集合しよう。			ドマを含む東方地域は、私たちにとって未知の異郷だ。最低限の知識を持った状態で、赴きたいからね。それらが終わったら、フェリードックで集合しよう。			ドマの語り部たち							
了解！それじゃ、Forename、行こうか。			了解！それじゃ、Forename、行こうか。			ドマの語り部たち							
さっそく情報収集を始めよっか。レヴナンツトール開拓団に参加してるドマ出身の人って、結構、人数がいるからさ……手分けしてみない？			さっそく情報収集を始めよっか。レヴナンツトール開拓団に参加してるドマ出身の人って、結構、人数がいるからさ……手分けしてみない？			ドマの語り部たち							
アタシは、外にいる人とロウェナ記念会館の方を回るから、Forenameは、「石の家」をお願い。終わったら、またここで落ち合おう！			アタシは、外にいる人とロウェナ記念会館の方を回るから、Forenameは、「石の家」をお願い。終わったら、またここで落ち合おう！			ドマの語り部たち							
なんと、ドマ解放のため東方へ遠征を？それゆえに我らが故郷のことを知りたいと……ならば、このホウメイがドマについて語りましょうぞ。			なんと、ドマ解放のため東方へ遠征を？それゆえに我らが故郷のことを知りたいと……ならば、このホウメイがドマについて語りましょうぞ。			ドマの語り部たち							
ドマは、東州オサード小大陸が内陸部、大河「無二江(むにこう)」流れるヤンサの地を治める国！じゃが、25年前の帝国侵攻によって……ぐぬぬぬぬ。			ドマは、東州オサード小大陸が内陸部、大河「無二江(むにこう)」流れるヤンサの地を治める国！じゃが、25年前の帝国侵攻によって……ぐぬぬぬぬ。			ドマの語り部たち							
かつては、雄大な無二江を、多くの川船が行き来したものじゃが、今では帝国軍の封鎖で、流れるのは水ばかりという有様じゃ。			かつては、雄大な無二江を、多くの川船が行き来したものじゃが、今では帝国軍の封鎖で、流れるのは水ばかりという有様じゃ。			ドマの語り部たち							
ドマは、東州オサード小大陸が内陸部、大河「無二江(むにこう)」流れるヤンサの地を治める国！じゃが、25年前の帝国侵攻によって……ぐぬぬぬぬ。			ドマは、東州オサード小大陸が内陸部、大河「無二江(むにこう)」流れるヤンサの地を治める国！じゃが、25年前の帝国侵攻によって……ぐぬぬぬぬ。			ドマの語り部たち							
かつては、雄大な無二江を、多くの川船が行き来したものじゃが、今では帝国軍の封鎖で、流れるのは水ばかりという有様じゃ。			かつては、雄大な無二江を、多くの川船が行き来したものじゃが、今では帝国軍の封鎖で、流れるのは水ばかりという有様じゃ。			ドマの語り部たち							
お久しぶりです、Forenameさん。今日はいったい、どうしたのですか？			お久しぶりです、Forenameさん。今日はいったい、どうしたのですか？			ドマの語り部たち							
えっ、暁のみなさんが東方遠征を？それで、ドマについての情報を聞いているのですね。わかりました、かいつまんでお伝えしましょう。			えっ、暁のみなさんが東方遠征を？それで、ドマについての情報を聞いているのですね。わかりました、かいつまんでお伝えしましょう。			ドマの語り部たち							
ドマが帝国の侵略を受けたのは、25年前……。以来、属州として支配に甘んじてきましたが、帝国の内乱に乗じ、私たち忍びと侍たちが、かつての国主の下に集い決起したのです。			ドマが帝国の侵略を受けたのは、25年前……。以来、属州として支配に甘んじてきましたが、帝国の内乱に乗じ、私たち忍びと侍たちが、かつての国主の下に集い決起したのです。			ドマの語り部たち							
その勢いは強く、一度はドマ城を奪還したほどでしたが、敵将ゼノス率いる第XII軍団が派遣されてきて形勢は逆転……。今なお、故郷は帝国の圧政下に置かれたままなのです。			その勢いは強く、一度はドマ城を奪還したほどでしたが、敵将ゼノス率いる第XII軍団が派遣されてきて形勢は逆転……。今なお、故郷は帝国の圧政下に置かれたままなのです。			ドマの語り部たち							
ドマが帝国の侵略を受けたのは、25年前……。以来、属州として支配に甘んじてきましたが、帝国の内乱に乗じ、私たち忍びと侍たちが、かつての国主の下に集い決起したのです。			ドマが帝国の侵略を受けたのは、25年前……。以来、属州として支配に甘んじてきましたが、帝国の内乱に乗じ、私たち忍びと侍たちが、かつての国主の下に集い決起したのです。			ドマの語り部たち							
その勢いは強く、一度はドマ城を奪還したほどでしたが、敵将ゼノス率いる第XII軍団が派遣されてきて形勢は逆転……。今なお、故郷は帝国の圧政下に置かれたままなのです。			その勢いは強く、一度はドマ城を奪還したほどでしたが、敵将ゼノス率いる第XII軍団が派遣されてきて形勢は逆転……。今なお、故郷は帝国の圧政下に置かれたままなのです。			ドマの語り部たち							
これはこれは……なにか用件でも？			これはこれは……なにか用件でも？			ドマの語り部たち							
そうか、ユウギリ様の後を追い、ドマに向かうと……。初めての東方となれば、戸惑うこともあるだろう。自分でよければ、話をさせてくれ。			そうか、ユウギリ様の後を追い、ドマに向かうと……。初めての東方となれば、戸惑うこともあるだろう。自分でよければ、話をさせてくれ。			ドマの語り部たち							
我らナガエ家の祖国、ドマは帝国の支配下にある。その象徴たるドマ城さえ、今では帝国属州総督府が置かれ、多数の魔導兵器が配備された拠点となっているのだ。			我らナガエ家の祖国、ドマは帝国の支配下にある。その象徴たるドマ城さえ、今では帝国属州総督府が置かれ、多数の魔導兵器が配備された拠点となっているのだ。			ドマの語り部たち							
つまり、ドマ城をいかにして落とすか、これが帝国軍に対する反乱の成否を占うということだな。			つまり、ドマ城をいかにして落とすか、これが帝国軍に対する反乱の成否を占うということだな。			ドマの語り部たち							
我らナガエ家の祖国、ドマは帝国の支配下にある。その象徴たるドマ城さえ、今では帝国属州総督府が置かれ、多数の魔導兵器が配備された拠点となっているのだ。			我らナガエ家の祖国、ドマは帝国の支配下にある。その象徴たるドマ城さえ、今では帝国属州総督府が置かれ、多数の魔導兵器が配備された拠点となっているのだ。			ドマの語り部たち							
つまり、ドマ城をいかにして落とすか、これが帝国軍に対する反乱の成否を占うということだな。			つまり、ドマ城をいかにして落とすか、これが帝国軍に対する反乱の成否を占うということだな。			ドマの語り部たち							
こっちも情報収集が終わったところだよ。お年寄りたちに話を聞いたら、ドマの話だけじゃなくて、「お辞儀」の大切さまで、延々と語られちゃってさ。			こっちも情報収集が終わったところだよ。お年寄りたちに話を聞いたら、ドマの話だけじゃなくて、「お辞儀」の大切さまで、延々と語られちゃってさ。			ドマの語り部たち							
なんでも、東方では礼儀作法が重視されるらしくて、危うく正しいお箸の使い方まで、練習させられそうに……。……ところで、そっちの収穫は？			なんでも、東方では礼儀作法が重視されるらしくて、危うく正しいお箸の使い方まで、練習させられそうに……。……ところで、そっちの収穫は？			ドマの語り部たち							
なるほどね……大河に育まれた侍と忍びの国か……。そして、象徴だったドマ城は、帝国軍が居座って拠点化している。ユウギリたちは、そんな土地を奪還しようとしているんだね……。			なるほどね……大河に育まれた侍と忍びの国か……。そして、象徴だったドマ城は、帝国軍が居座って拠点化している。ユウギリたちは、そんな土地を奪還しようとしているんだね……。			ドマの語り部たち							
クガネのよろず屋の男は、何か困っているようだ。			クガネのよろず屋の男は、何か困っているようだ。			望海泉の湯							
望海泉の湯を汲む			望海泉の湯を汲む			望海泉の湯							
帝国大使館の守衛に望海泉の湯を渡す			帝国大使館の守衛に望海泉の湯を渡す			望海泉の湯							
よろず屋の男と話す			よろず屋の男と話す			望海泉の湯							
アンタ、いい身体してるな。おっと……変な意味じゃない、ちょっと力仕事を頼みたいだけだ。			アンタ、いい身体してるな。おっと……変な意味じゃない、ちょっと力仕事を頼みたいだけだ。			望海泉の湯							
オレはこの街でよろず屋、いわば何でも屋をやってるもんだ。望海泉の湯を帝国の大使館まで運ぶ途中、最後の一桶って所で、腰を痛めちまった。			オレはこの街でよろず屋、いわば何でも屋をやってるもんだ。望海泉の湯を帝国の大使館まで運ぶ途中、最後の一桶って所で、腰を痛めちまった。			望海泉の湯							
信用第一の仕事だから、途中で投げ出すわけにはいかなくてな。すまんが、俺の代わりに望海泉の湯を汲んできてほしいんだ。			信用第一の仕事だから、途中で投げ出すわけにはいかなくてな。すまんが、俺の代わりに望海泉の湯を汲んできてほしいんだ。			望海泉の湯							
温泉「望海泉」は楽座街の西、階段を上った先にある。温め直すなんて粋じゃないし、自慢の湯が台無しだ。汲んだ湯は、「帝国大使館の守衛」に届けてくれ。			温泉「望海泉」は楽座街の西、階段を上った先にある。温め直すなんて粋じゃないし、自慢の湯が台無しだ。汲んだ湯は、「帝国大使館の守衛」に届けてくれ。			望海泉の湯							
温泉「望海泉」は楽座街の西、階段を上った先にある。温め直すなんて粋じゃないし、自慢の湯が台無しだ。汲んだ湯は、「帝国大使館の守衛」に届けてくれ。			温泉「望海泉」は楽座街の西、階段を上った先にある。温め直すなんて粋じゃないし、自慢の湯が台無しだ。汲んだ湯は、「帝国大使館の守衛」に届けてくれ。			望海泉の湯							
なんだ、貴様は……。用がないなら、さっさと立ち去れ。			なんだ、貴様は……。用がないなら、さっさと立ち去れ。			望海泉の湯							
大使館は、ここから南だ。冷めないように急いでくれると助かる。話は通ってるから、「帝国大使館の守衛」に渡してくれればいい。			大使館は、ここから南だ。冷めないように急いでくれると助かる。話は通ってるから、「帝国大使館の守衛」に渡してくれればいい。			望海泉の湯							
なんだ、貴様は……。用がないなら、さっさと立ち去れ。			なんだ、貴様は……。用がないなら、さっさと立ち去れ。			望海泉の湯							
望海泉の湯か……話は聞いている。下手な詮索はせず、すみやかに立ち去れ。			望海泉の湯か……話は聞いている。下手な詮索はせず、すみやかに立ち去れ。			望海泉の湯							
用が済んだのなら、下手な詮索はせず、すみやかに立ち去れ。			用が済んだのなら、下手な詮索はせず、すみやかに立ち去れ。			望海泉の湯							
無事に届けてくれて、助かったよ。あそこの守衛……感じが悪いだろう？ここの湯には、傷の治りが早くなる効能があってな。			無事に届けてくれて、助かったよ。あそこの守衛……感じが悪いだろう？ここの湯には、傷の治りが早くなる効能があってな。			望海泉の湯							
クガネじゃ刃傷沙汰は御法度だが、帝国の連中には、血の気の多い奴らも多くてね。湯で裸を見られるわけには…………。			クガネじゃ刃傷沙汰は御法度だが、帝国の連中には、血の気の多い奴らも多くてね。湯で裸を見られるわけには…………。			望海泉の湯							
っと……詮索するなって言われたんだったな。聞かなかったことにしてくれ。手伝ってくれて、ありがとよ。			っと……詮索するなって言われたんだったな。聞かなかったことにしてくれ。手伝ってくれて、ありがとよ。			望海泉の湯							
クガネのヤマビコは、簡単な仕事を頼みたいようだ。			クガネのヤマビコは、簡単な仕事を頼みたいようだ。			不治の病の荷運び人							
ヤマビコの言伝を伝える			ヤマビコの言伝を伝える			不治の病の荷運び人							
ヤマビコと話す			ヤマビコと話す			不治の病の荷運び人							
おっと、そこのお嬢さんお兄さん。簡単な仕事を頼みたいんだが、時間はあるかい。			おっと、そこのお嬢さんお兄さん。簡単な仕事を頼みたいんだが、時間はあるかい。			不治の病の荷運び人							
荷運び人が「不治の病」のせいで、仕事をすっぽかしやがった。船には、大事な荷をたくさん載せているから、俺はこの場を、離れるわけにはいかないんだ。			荷運び人が「不治の病」のせいで、仕事をすっぽかしやがった。船には、大事な荷をたくさん載せているから、俺はこの場を、離れるわけにはいかないんだ。			不治の病の荷運び人							
本来なら、客のところまで運ぶのが筋ってもんだが、今回にかぎって、取りに来てもらいたいと、伝えてほしい。言伝を頼みたい客は、全部で4人いる。			本来なら、客のところまで運ぶのが筋ってもんだが、今回にかぎって、取りに来てもらいたいと、伝えてほしい。言伝を頼みたい客は、全部で4人いる。			不治の病の荷運び人							
潮風亭の「コトカゼ」と、望海楼の「カラク」、赤誠組屯所の「ミヤマギ」と、小金通りの「ヤマブキ」だ。少ないが、報酬もきちんと出すから、頼むよ。			潮風亭の「コトカゼ」と、望海楼の「カラク」、赤誠組屯所の「ミヤマギ」と、小金通りの「ヤマブキ」だ。少ないが、報酬もきちんと出すから、頼むよ。			不治の病の荷運び人							
言伝を頼みたい客は、全部で4人。潮風亭の「コトカゼ」と、望海楼の「カラク」、赤誠組屯所の「ミヤマギ」と、小金通りの「ヤマブキ」だ。			言伝を頼みたい客は、全部で4人。潮風亭の「コトカゼ」と、望海楼の「カラク」、赤誠組屯所の「ミヤマギ」と、小金通りの「ヤマブキ」だ。			不治の病の荷運び人							
おや？……お客さんってわけじゃなさそうだね。			おや？……お客さんってわけじゃなさそうだね。			不治の病の荷運び人							
不治の病とは、大変だな。わかったよ、店の者を取りに行かせよう。「ヤマビコ」にも、そう伝えとくれ。			不治の病とは、大変だな。わかったよ、店の者を取りに行かせよう。「ヤマビコ」にも、そう伝えとくれ。			不治の病の荷運び人							
本場コウシュウの酒蔵から取り寄せてる酒は、うちでも人気の商品だからね。それくらいの労力は、惜しまないよ。			本場コウシュウの酒蔵から取り寄せてる酒は、うちでも人気の商品だからね。それくらいの労力は、惜しまないよ。			不治の病の荷運び人							
コウシュウの酒は、うちでも人気の商品だからね。それくらいの労力は、惜しまないよ。「ヤマビコ」にも、取りに行くと伝えとくれ。			コウシュウの酒は、うちでも人気の商品だからね。それくらいの労力は、惜しまないよ。「ヤマビコ」にも、取りに行くと伝えとくれ。			不治の病の荷運び人							
おいでませ！……っと、どうやらお客さんじゃないみたいですね。何かご用で？			おいでませ！……っと、どうやらお客さんじゃないみたいですね。何かご用で？			不治の病の荷運び人							
荷運び人が、不治の病とは……。そういうことでしたら、取りに行くのに異論はございません。			荷運び人が、不治の病とは……。そういうことでしたら、取りに行くのに異論はございません。			不治の病の荷運び人							
