「暁の血盟」のラドルフは、冒険者に頼みたいことがあるようだ。			「暁の血盟」のラドルフは、冒険者に頼みたいことがあるようだ。			スカルバレーの女丈夫							
檻の鍵は「燃犀のムナブ・チャー」が持っている。奴は炎牙衆でも一、ニを争う実力者……強敵だ！オメェに任せたぜ！　俺はザゴズ・テーを探す！			檻の鍵は「燃犀のムナブ・チャー」が持っている。奴は炎牙衆でも一、ニを争う実力者……強敵だ！オメェに任せたぜ！　俺はザゴズ・テーを探す！			至強への道							
(-青髪のミコッテ族-)……誰？　誰なの？そこにいるのは……誰？			(-青髪のミコッテ族-)……誰？　誰なの？そこにいるのは……誰？			至強への道							
(-青髪のミコッテ族-)こ、こないで！　こないでっ！			(-青髪のミコッテ族-)こ、こないで！　こないでっ！			至強への道							
(-青髪のミコッテ族-)わ、わかったわ！　アナタ、人拐いね……！私の……私の愛しいルーンちゃんを奪いにきたのね！？			(-青髪のミコッテ族-)わ、わかったわ！　アナタ、人拐いね……！私の……私の愛しいルーンちゃんを奪いにきたのね！？			至強への道							
(-青髪のミコッテ族-)この子はイフリート様に捧げる大事な赤ちゃん……！誰にも渡さない……渡さないわ！			(-青髪のミコッテ族-)この子はイフリート様に捧げる大事な赤ちゃん……！誰にも渡さない……渡さないわ！			至強への道							
(-青髪のミコッテ族-)あははは、あははははははははははははははは！！			(-青髪のミコッテ族-)あははは、あははははははははははははははは！！			至強への道							
なっ……か、母さん……！い、生きていた……の……！？			なっ……か、母さん……！い、生きていた……の……！？			至強への道							
(-青髪のミコッテ族-)誰？　アナタ……アナタも人拐いね！？出てって！　私のルーンちゃんが泣いちゃうの！さっさと……さっさと出て行きなさいっ！			(-青髪のミコッテ族-)誰？　アナタ……アナタも人拐いね！？出てって！　私のルーンちゃんが泣いちゃうの！さっさと……さっさと出て行きなさいっ！			至強への道							
か、母……さん……。			か、母……さん……。			至強への道							
ぐふふふふふ、愛別離苦。五年ぶりの親子の再会は、いみじく感無量なり。涙なしでは語れぬわ。			ぐふふふふふ、愛別離苦。五年ぶりの親子の再会は、いみじく感無量なり。涙なしでは語れぬわ。			至強への道							
ザゴズ・テー！！てめぇ……よくも……母さんを……母さんををををををををっ！！			ザゴズ・テー！！てめぇ……よくも……母さんを……母さんををををををををっ！！			至強への道							
そのテンパードは、聖火の加護を過剰に受け、もはや生ける屍、正気さえも失っている！			そのテンパードは、聖火の加護を過剰に受け、もはや生ける屍、正気さえも失っている！			至強への道							
ぐふふふふふふ、見事なり！これが「焔神の聖火」の力っ！さぁ、逆巻く炎で、我に神の加護を与えたまえっ！			ぐふふふふふふ、見事なり！これが「焔神の聖火」の力っ！さぁ、逆巻く炎で、我に神の加護を与えたまえっ！			至強への道							
まてっ！！			まてっ！！			至強への道							
俺は奴との決着をつける！オメェは戦陣内の「焔神イフリートの聖火台」を破壊してくれ！そうすれば……きっと、勝機はある……！			俺は奴との決着をつける！オメェは戦陣内の「焔神イフリートの聖火台」を破壊してくれ！そうすれば……きっと、勝機はある……！			至強への道							
ぐふふふふふふ、子猫が一匹、迷いこんだとみえる。貴様も炎の洗礼をうけ、我らが奴隷となるがいい。哀れな母親のようにな！			ぐふふふふふふ、子猫が一匹、迷いこんだとみえる。貴様も炎の洗礼をうけ、我らが奴隷となるがいい。哀れな母親のようにな！			至強への道							
はっ！！			はっ！！			至強への道							
な、な、な、なんだと……っ！？燃え盛る我が魔力が……何故……何故ゆえっ！？なじぇぇぇぇぇぇぇぇぇぇぇぇぇっ！？			な、な、な、なんだと……っ！？燃え盛る我が魔力が……何故……何故ゆえっ！？なじぇぇぇぇぇぇぇぇぇぇぇぇぇっ！？			至強への道							
てめぇの力の源は、戦陣に配置された「焔神の聖火」の力！その祭壇の炎が潰えた今、もはやイフリートの加護は存在しねぇ。			てめぇの力の源は、戦陣に配置された「焔神の聖火」の力！その祭壇の炎が潰えた今、もはやイフリートの加護は存在しねぇ。			至強への道							
加護のないてめぇは、貧弱なただのアマルジャ族。戦士である俺の敵じゃねぇ……！			加護のないてめぇは、貧弱なただのアマルジャ族。戦士である俺の敵じゃねぇ……！			至強への道							
ひ、ひ、ひいいいいいッ！！大慈大悲、情状酌量ぉ！　た、た、た、助けてッ！殺さないで！　コロサナイデェーッ！			ひ、ひ、ひいいいいいッ！！大慈大悲、情状酌量ぉ！　た、た、た、助けてッ！殺さないで！　コロサナイデェーッ！			至強への道							
なんて情けねぇ……。てめぇは誇り高きアマルジャ族なんかじゃねぇ。地べたを這う、薄汚いただのトカゲだ。			なんて情けねぇ……。てめぇは誇り高きアマルジャ族なんかじゃねぇ。地べたを這う、薄汚いただのトカゲだ。			至強への道							
……もはや本懐は遂げた。てめぇの血で我が矢を汚すつもりはねぇ。消えろ、トカゲ野郎！			……もはや本懐は遂げた。てめぇの血で我が矢を汚すつもりはねぇ。消えろ、トカゲ野郎！			至強への道							
ぐふふふふふふふふふふぅ！油断大敵イイイイ！死ねぇぇぇぇぇぇぇぇぇぇぇっ！！			ぐふふふふふふふふふふぅ！油断大敵イイイイ！死ねぇぇぇぇぇぇぇぇぇぇぇっ！！			至強への道							
ぐふあああああああああっ！！！			ぐふあああああああああっ！！！			至強への道							
ハ、ハムジ・ガーの親父っ！！			ハ、ハムジ・ガーの親父っ！！			至強への道							
ザゴズ・テー。戦士の矜持を忘れ、アマルジャの誇りを捨てし者よ。卑怯者に残された運命は、永劫なる「死」のみ！			ザゴズ・テー。戦士の矜持を忘れ、アマルジャの誇りを捨てし者よ。卑怯者に残された運命は、永劫なる「死」のみ！			至強への道							
戦士ルーン・ガーよ。貴様の戦い、しかと見届けた！			戦士ルーン・ガーよ。貴様の戦い、しかと見届けた！			至強への道							
……わが子可愛さのあまり、無用の手出しをしてしまったな。情に絆されるとは、我もまだまだ未熟……至強への道は、はるか遠い……。			……わが子可愛さのあまり、無用の手出しをしてしまったな。情に絆されるとは、我もまだまだ未熟……至強への道は、はるか遠い……。			至強への道							
……母さん……みてるか……？ついに……やったよ……。			……母さん……みてるか……？ついに……やったよ……。			至強への道							
「炎牙衆」の野望は潰え、ザンラクのアマルジャも鳴りを潜めるであろう。			「炎牙衆」の野望は潰え、ザンラクのアマルジャも鳴りを潜めるであろう。			至強への道							
焔神の火種はいまだ消えねど、我らはいずれ、その加護をも討ち破る力を手に入れてみせよう。それこそが、けだし至強への道！			焔神の火種はいまだ消えねど、我らはいずれ、その加護をも討ち破る力を手に入れてみせよう。それこそが、けだし至強への道！			至強への道							
強き者よ、もはや我に貴君について語ることなし。貴君こそ、至強に最も近し者。我らは、最大の賛辞を持って貴君を称えるものなり。			強き者よ、もはや我に貴君について語ることなし。貴君こそ、至強に最も近し者。我らは、最大の賛辞を持って貴君を称えるものなり。			至強への道							
アマルジャ族とヒト、互いに憎みし血塗られた道なれど、「灰の一党」は、いつでも貴君を歓迎し、その門戸を開き遇する所存。			アマルジャ族とヒト、互いに憎みし血塗られた道なれど、「灰の一党」は、いつでも貴君を歓迎し、その門戸を開き遇する所存。			至強への道							
母さんは無事、オアシスに送り届けた。			母さんは無事、オアシスに送り届けた。			至強への道							
一度、テンパードになった者は元通りになることは不可能。だが安らかな時間が、きっと母さんを癒してくれる。……俺は、そう信じてる。			一度、テンパードになった者は元通りになることは不可能。だが安らかな時間が、きっと母さんを癒してくれる。……俺は、そう信じてる。			至強への道							
それと、もうひとつ！オイ、Forename……！			それと、もうひとつ！オイ、Forename……！			至強への道							
いいか？　てめぇは俺の認めた最強の戦士だ。だから、これからもゼッテー負けんじゃねぇぞ！？あっ、それから……。			いいか？　てめぇは俺の認めた最強の戦士だ。だから、これからもゼッテー負けんじゃねぇぞ！？あっ、それから……。			至強への道							
ありがとう……。			ありがとう……。			至強への道							
……って、ガラじゃねぇな。はは、は……。			……って、ガラじゃねぇな。はは、は……。			至強への道							
う、うっせえ！　ブサイクなのは百も承知だっつの！笑うんじゃねえええええええええっ！！			う、うっせえ！　ブサイクなのは百も承知だっつの！笑うんじゃねえええええええええっ！！			至強への道							
さぁ、旅立つがよい、強き者よ！			さぁ、旅立つがよい、強き者よ！			至強への道							
我らに七難八苦あろうとも、恐れるに足らず。天地神明に誓いて、いざゆかん、至強の道を！			我らに七難八苦あろうとも、恐れるに足らず。天地神明に誓いて、いざゆかん、至強の道を！			至強への道							
本懐は遂げたが、俺はこの集落に残るつもりだ。アマルジャ族の習慣ってのが、肌に馴染んじまったんでな。			本懐は遂げたが、俺はこの集落に残るつもりだ。アマルジャ族の習慣ってのが、肌に馴染んじまったんでな。			至強への道							
あばよ、Forename。負けたら承知しねぇぞ！			あばよ、Forename。負けたら承知しねぇぞ！			至強への道							
強き者よ、貴君の武、しかとこの胸に刻みつけた。さぁ、旅立つがよい。貴君の前途に、輝かしき勝利を願わん！			強き者よ、貴君の武、しかとこの胸に刻みつけた。さぁ、旅立つがよい。貴君の前途に、輝かしき勝利を願わん！			至強への道							
報告は、リトルアラミゴのギシルベールト少闘佐より聞いた。見事な活躍だった、Forenameよ。貴公に任せた私の目に狂いはなかった。			報告は、リトルアラミゴのギシルベールト少闘佐より聞いた。見事な活躍だった、Forenameよ。貴公に任せた私の目に狂いはなかった。			至強への道							
蛮族アマルジャ族の「人拐い」問題も一段落し、ザナラーンに束の間の平和が訪れるだろう。			蛮族アマルジャ族の「人拐い」問題も一段落し、ザナラーンに束の間の平和が訪れるだろう。			至強への道							
だが、蛮族の問題は、ほかにもまだまだ山積している。しかし今は、貴公の労をねぎらおう。そして大いに喜ぼう、しばしの平穏を……。			だが、蛮族の問題は、ほかにもまだまだ山積している。しかし今は、貴公の労をねぎらおう。そして大いに喜ぼう、しばしの平穏を……。			至強への道							
敵の気配を感じた！！			敵の気配を感じた！！			至強への道							
「アマルジャ族：灰の一党」との友好関係が「信頼」になりました。冒険者の活躍は、アマルジャ族の間でも広く語られるでしょう！			「アマルジャ族：灰の一党」との友好関係が「信頼」になりました。冒険者の活躍は、アマルジャ族の間でも広く語られるでしょう！			至強への道							
また、「アマルジャ族のよろず屋」より、「友好関係：信頼」の商品の購入ができるようになりました。今後の冒険に役立てましょう！			また、「アマルジャ族のよろず屋」より、「友好関係：信頼」の商品の購入ができるようになりました。今後の冒険に役立てましょう！			至強への道							
シルフの仮宿のオルムシオは、冒険者に伝えたい事があるようだ。			シルフの仮宿のオルムシオは、冒険者に伝えたい事があるようだ。			奇跡の目撃者							
前回までの冒険録：冒険者の活躍により、無事に「シルフの仮宿」に保護された「伝説の御子」のゆりかご。しかし、ヘッポコ学者の「ヴォイス」の失態による冒険者の不在に乗じ、「悪い子シルフ」の「ディルシオ」は、伝説の御子のゆりかごを再び「シルフ領」に奪い去ってしまう。伝説の御子の羽化まで、もう時間がない……！緊急事態に際し、シルフの仮宿の長「フリクシオ」は、冒険者に対し最後のお願いを依頼する……。　　　　　　　　　　　　*　*　*悪い子シルフのディルシオが、ついに伝説の御子の誕生の儀式を始めたようだ。儀式を阻止するため、シルフの仮宿の「フリクシオ」と相談しよう。			前回までの冒険録：冒険者の活躍により、無事に「シルフの仮宿」に保護された「伝説の御子」のゆりかご。しかし、ヘッポコ学者の「ヴォイス」の失態による冒険者の不在に乗じ、「悪い子シルフ」の「ディルシオ」は、伝説の御子のゆりかごを再び「シルフ領」に奪い去ってしまう。伝説の御子の羽化まで、もう時間がない……！緊急事態に際し、シルフの仮宿の長「フリクシオ」は、冒険者に対し最後のお願いを依頼する……。　　　　　　　　　　　　*　*　*悪い子シルフのディルシオが、ついに伝説の御子の誕生の儀式を始めたようだ。儀式を阻止するため、シルフの仮宿の「フリクシオ」と相談しよう。			奇跡の目撃者							
伝説の御子奪還作戦に、ヘッポコ学者ヴォイスが無理やりついてくることになった。シルフ領の入口付近にいる「チョコヴォイス」に話しかけ、彼を護衛しよう。			伝説の御子奪還作戦に、ヘッポコ学者ヴォイスが無理やりついてくることになった。シルフ領の入口付近にいる「チョコヴォイス」に話しかけ、彼を護衛しよう。			奇跡の目撃者							
「チョコヴォイス」と一緒に、ゆりかごの大樹の「目標地点」へ行こう。チョコヴォイスとはぐれてしまった場合は、シルフ領入口付近の護衛開始地点に戻って、再度チョコヴォイスと話せばいいようだ。			「チョコヴォイス」と一緒に、ゆりかごの大樹の「目標地点」へ行こう。チョコヴォイスとはぐれてしまった場合は、シルフ領入口付近の護衛開始地点に戻って、再度チョコヴォイスと話せばいいようだ。			奇跡の目撃者							
伝説の御子のいる場所にたどりついた。ゆりかごの大樹の「チョコヴォイス」と話そう。			伝説の御子のいる場所にたどりついた。ゆりかごの大樹の「チョコヴォイス」と話そう。			奇跡の目撃者							
ヴォイスの活躍によって、伝説の御子を奪い返すことに成功した。ゆりかごの大樹の東方面に逃げていった「ヴォイス」を探し、追手のディルシオ一味を倒してヴォイスを救助しよう。			ヴォイスの活躍によって、伝説の御子を奪い返すことに成功した。ゆりかごの大樹の東方面に逃げていった「ヴォイス」を探し、追手のディルシオ一味を倒してヴォイスを救助しよう。			奇跡の目撃者							
ヴォイスは、もう走ることができないようだ。彼の運んできた「御子ちゃまのゆりかご」を持ち上げよう。			ヴォイスは、もう走ることができないようだ。彼の運んできた「御子ちゃまのゆりかご」を持ち上げよう。			奇跡の目撃者							
御子ちゃまのゆりかごを持ち上げた。「シルフの仮宿」まで運び、「指定地点」に置こう。※運搬状態は、一定時間が過ぎると効果を失います。「ゲッコウソウ」に触れることで、運搬状態の効果時間を延長できます。			御子ちゃまのゆりかごを持ち上げた。「シルフの仮宿」まで運び、「指定地点」に置こう。※運搬状態は、一定時間が過ぎると効果を失います。「ゲッコウソウ」に触れることで、運搬状態の効果時間を延長できます。			奇跡の目撃者							
御子ちゃまのゆりかごを指定地点に置いた。シルフの仮宿の「オルムシオ」に話しかけよう。			御子ちゃまのゆりかごを指定地点に置いた。シルフの仮宿の「オルムシオ」に話しかけよう。			奇跡の目撃者							
伝説の御子は無事、心ある者の元に生まれることができた。グリダニアの「双蛇党：統合司令部」にいる「ボルセル大牙佐」に報告しよう。			伝説の御子は無事、心ある者の元に生まれることができた。グリダニアの「双蛇党：統合司令部」にいる「ボルセル大牙佐」に報告しよう。			奇跡の目撃者							
冒険者の活躍によって、シルフの仮宿の騒動は解決した。近い将来、成長した伝説の御子が、新たな指導者としてシルフ族を率いる日が来るだろう。			冒険者の活躍によって、シルフの仮宿の騒動は解決した。近い将来、成長した伝説の御子が、新たな指導者としてシルフ族を率いる日が来るだろう。			奇跡の目撃者							
フリクシオと話す			フリクシオと話す			奇跡の目撃者							
シルフ領の入口のチョコヴォイスと話す			シルフ領の入口のチョコヴォイスと話す			奇跡の目撃者							
ゆりかごの大樹の目標地点までチョコヴォイスを護衛			ゆりかごの大樹の目標地点までチョコヴォイスを護衛			奇跡の目撃者							
チョコヴォイスと話す			チョコヴォイスと話す			奇跡の目撃者							
ヴォイスを救助			ヴォイスを救助			奇跡の目撃者							
御子ちゃまのゆりかごを持ち上げる			御子ちゃまのゆりかごを持ち上げる			奇跡の目撃者							
シルフの仮宿の指定地点に御子ちゃまのゆりかごを置く			シルフの仮宿の指定地点に御子ちゃまのゆりかごを置く			奇跡の目撃者							
オルムシオと話す			オルムシオと話す			奇跡の目撃者							
双蛇党：統合司令部のボルセル大牙佐に報告			双蛇党：統合司令部のボルセル大牙佐に報告			奇跡の目撃者							
アナタ！　良い報せと悪い報せがあるのでふっち！ちなみに良い報せは、そんなに良くはないでふっち。悪い報せは、ものすご～く悪いでふっち！			アナタ！　良い報せと悪い報せがあるのでふっち！ちなみに良い報せは、そんなに良くはないでふっち。悪い報せは、ものすご～く悪いでふっち！			奇跡の目撃者							
最初に、良い報せでふっち。仮宿の仲間が、「御子ちゃまのゆりかご」を奪った、憎きディルシオの行方をつきとめたでふっち！			最初に、良い報せでふっち。仮宿の仲間が、「御子ちゃまのゆりかご」を奪った、憎きディルシオの行方をつきとめたでふっち！			奇跡の目撃者							
そして悪い報せは、そのディルシオが、ついに御子ちゃま誕生の儀式を始めたらしいのでふっち！			そして悪い報せは、そのディルシオが、ついに御子ちゃま誕生の儀式を始めたらしいのでふっち！			奇跡の目撃者							
ゆりかごから羽化したシルフ族の幼体は、初めて見たシルフを「養い親」だと思い込むのでふっち。このままだと、ディルシオが御子ちゃまの親になるでふっち！			ゆりかごから羽化したシルフ族の幼体は、初めて見たシルフを「養い親」だと思い込むのでふっち。このままだと、ディルシオが御子ちゃまの親になるでふっち！			奇跡の目撃者							
もしそんなことになったら、すべてはおちまいでふっち！……時間がないでふっち！長ちゃまに相談するでふっち！			もしそんなことになったら、すべてはおちまいでふっち！……時間がないでふっち！長ちゃまに相談するでふっち！			奇跡の目撃者							
……事情は聞いたでぶっち。こうなったら、最後の手段でぶっち。直接、シルフ領に乗り込むでぶっち！			……事情は聞いたでぶっち。こうなったら、最後の手段でぶっち。直接、シルフ領に乗り込むでぶっち！			奇跡の目撃者							
そして「御子ちゃまのゆりかご」を奪い返ちて、ディルシオの野望を阻止するのでぶっち！			そして「御子ちゃまのゆりかご」を奪い返ちて、ディルシオの野望を阻止するのでぶっち！			奇跡の目撃者							
ボ、ボクも行きます！			ボ、ボクも行きます！			奇跡の目撃者							
今までずっと冒険者さんに助けられ、仮宿のシルフ族のみなさんにも迷惑をかけっぱなし……このままじゃボク、単なるダメな人です！			今までずっと冒険者さんに助けられ、仮宿のシルフ族のみなさんにも迷惑をかけっぱなし……このままじゃボク、単なるダメな人です！			奇跡の目撃者							
単なるダメな人じゃなかったのでふっち……？			単なるダメな人じゃなかったのでふっち……？			奇跡の目撃者							
ダメじゃないです！ボクもボクなりに、皆の役に立ちたいんです！汚名挽回！　名誉返上！			ダメじゃないです！ボクもボクなりに、皆の役に立ちたいんです！汚名挽回！　名誉返上！			奇跡の目撃者							
汚名を挽回してどうするでふっち……あと、名誉は返上しちゃダメでふっち……。			汚名を挽回してどうするでふっち……あと、名誉は返上しちゃダメでふっち……。			奇跡の目撃者							
……ヘッポコ学者どの、あきらめるでぶっち。アンタがいたら、冒険者の足手まといになるでぶっち。悪いことは言わないから、仮宿で大人しくちてるのでぶっち。			……ヘッポコ学者どの、あきらめるでぶっち。アンタがいたら、冒険者の足手まといになるでぶっち。悪いことは言わないから、仮宿で大人しくちてるのでぶっち。			奇跡の目撃者							
くううううううーーっ！			くううううううーーっ！			奇跡の目撃者							
泣いちゃったでふっち……。			泣いちゃったでふっち……。			奇跡の目撃者							
……冒険者どの、用意はいいでぶっち？ディルシオたちが儀式をしている場所は、シルフ領の最奥「ゆりかごの大樹」でぶっち！			……冒険者どの、用意はいいでぶっち？ディルシオたちが儀式をしている場所は、シルフ領の最奥「ゆりかごの大樹」でぶっち！			奇跡の目撃者							
(-？？？？-)みなさーーーん！！見てくださーーーい！！			(-？？？？-)みなさーーーん！！見てくださーーーい！！			奇跡の目撃者							
(-チョコヴォイス-)どうです？　このカッコウ！完璧すぎるほどチョコボでしょう？これならヤツらの目を欺くこと間違いなし！			(-チョコヴォイス-)どうです？　このカッコウ！完璧すぎるほどチョコボでしょう？これならヤツらの目を欺くこと間違いなし！			奇跡の目撃者							
(-チョコヴォイス-)鳴き声も密かに練習してたんです！クエーーッ！ホラ、そっくりでしょ？　クエックエッ！			(-チョコヴォイス-)鳴き声も密かに練習してたんです！クエーーッ！ホラ、そっくりでしょ？　クエックエッ！			奇跡の目撃者							
……………………ふ、ふっちっち……。			……………………ふ、ふっちっち……。			奇跡の目撃者							
……………………ぶ、ぶっちっち……。			……………………ぶ、ぶっちっち……。			奇跡の目撃者							
(-チョコヴォイス-)さぁ、目指すは「ゆりかごの大樹」！先に行ってますから、ついて来てくださいねっ！待っていてください、御子ちゃま！　クエーーーッ！！			(-チョコヴォイス-)さぁ、目指すは「ゆりかごの大樹」！先に行ってますから、ついて来てくださいねっ！待っていてください、御子ちゃま！　クエーーーッ！！			奇跡の目撃者							
ぶ、ぶっちっち……。ヘッポコ学者どのは、ヘマふむにちがいないでぶっち。一緒についていってあげてほちいでぶっち。			ぶ、ぶっちっち……。ヘッポコ学者どのは、ヘマふむにちがいないでぶっち。一緒についていってあげてほちいでぶっち。			奇跡の目撃者							
チョコボが一匹歩きしてたら、魔物に狙われると思うので、「ゆりかごの大樹」の付近まで護衛をお願いします！もし、はぐれてしまったら、ここに戻りますね！			チョコボが一匹歩きしてたら、魔物に狙われると思うので、「ゆりかごの大樹」の付近まで護衛をお願いします！もし、はぐれてしまったら、ここに戻りますね！			奇跡の目撃者							
出発ですクエーーッ！			出発ですクエーーッ！			奇跡の目撃者							
い、一時退散ですクエッ			い、一時退散ですクエッ			奇跡の目撃者							
チョコヴォイスとはぐれてしまいました。護衛開始地点に戻ったチョコヴォイスに話しかけてもう一度、この場所まで護衛してください。			チョコヴォイスとはぐれてしまいました。護衛開始地点に戻ったチョコヴォイスに話しかけてもう一度、この場所まで護衛してください。			奇跡の目撃者							
チョコヴォイスがまだ到着していません。近くまで迎えにいって、この場所まで護衛してください。			チョコヴォイスがまだ到着していません。近くまで迎えにいって、この場所まで護衛してください。			奇跡の目撃者							
(-チョコヴォイス-)とうちゃクエッ！ふぅ、長い道のりでしたね……「御子ちゃまのゆりかご」はすぐそこです、クエッ！			(-チョコヴォイス-)とうちゃクエッ！ふぅ、長い道のりでしたね……「御子ちゃまのゆりかご」はすぐそこです、クエッ！			奇跡の目撃者							
目的地に到達しました。チョコヴォイスの護衛を終了することができます。			目的地に到達しました。チョコヴォイスの護衛を終了することができます。			奇跡の目撃者							
パーティを組んで護衛をしている場合、このまま終了すると、目的地に触れていないパーティメンバーの護衛は失敗となります。			パーティを組んで護衛をしている場合、このまま終了すると、目的地に触れていないパーティメンバーの護衛は失敗となります。			奇跡の目撃者							
パーティメンバーの状況を確認したうえで、チョコヴォイスの護衛を終了してください。			パーティメンバーの状況を確認したうえで、チョコヴォイスの護衛を終了してください。			奇跡の目撃者							
チョコヴォイスの護衛を終了しますか？			チョコヴォイスの護衛を終了しますか？			奇跡の目撃者							
はい			はい			奇跡の目撃者							
いいえ			いいえ			奇跡の目撃者							
(カット)			(カット)			奇跡の目撃者							
ふはははは……やはりきたでふっち。オマエたちも懲りないでふっち。いい加減、あきらめるでふっち！			ふはははは……やはりきたでふっち。オマエたちも懲りないでふっち。いい加減、あきらめるでふっち！			奇跡の目撃者							
……見るでふっち！			……見るでふっち！			奇跡の目撃者							
間もなく、御子ちゃまは誕生するでふっち！我々シルフ族の、新たな時代の到来でふっち！			間もなく、御子ちゃまは誕生するでふっち！我々シルフ族の、新たな時代の到来でふっち！			奇跡の目撃者							
もう「テイコク」なんか恐くないでふっち！オレちゃまたちに盾つくヤツは、まとめて森の肥やしにしてやるでふっち！			もう「テイコク」なんか恐くないでふっち！オレちゃまたちに盾つくヤツは、まとめて森の肥やしにしてやるでふっち！			奇跡の目撃者							
……ん？　こんなとこに可愛いチョコボでふっち？			……ん？　こんなとこに可愛いチョコボでふっち？			奇跡の目撃者							
(-チョコヴォイス-)ク、クエーッ！			(-チョコヴォイス-)ク、クエーッ！			奇跡の目撃者							
……まぁ、いいでふっち。まずはオマエを血祭りにあげるのが先でふっち！御子ちゃまには、指一本触れさせないでふっち！			……まぁ、いいでふっち。まずはオマエを血祭りにあげるのが先でふっち！御子ちゃまには、指一本触れさせないでふっち！			奇跡の目撃者							
ふぁーっはっはっはっはぁでふーっち！！			ふぁーっはっはっはっはぁでふーっち！！			奇跡の目撃者							
(-ディルシオの手下-)オ、オヤビンっ！　大変でふっち！チョコボが……チョコボじゃないでふっちー！			(-ディルシオの手下-)オ、オヤビンっ！　大変でふっち！チョコボが……チョコボじゃないでふっちー！			奇跡の目撃者							
ふ、ふっちっちーっ！？貴様っ！　ただのチョコボじゃないでふっち！？			ふ、ふっちっちーっ！？貴様っ！　ただのチョコボじゃないでふっち！？			奇跡の目撃者							
じゃじゃーん、なんと驚くなかれ！　ボクでした！ふふふふ、見事な変装だったろう？クエーッ！			じゃじゃーん、なんと驚くなかれ！　ボクでした！ふふふふ、見事な変装だったろう？クエーッ！			奇跡の目撃者							
冒険者さん、後を追ってきてください！ボクは「ゆりかご」を持って逃げます！この体力の続く限り……！			冒険者さん、後を追ってきてください！ボクは「ゆりかご」を持って逃げます！この体力の続く限り……！			奇跡の目撃者							
くっ……おのれ……まんまと騙されたでふっち！待つでふっちー！			くっ……おのれ……まんまと騙されたでふっち！待つでふっちー！			奇跡の目撃者							
くっ、はぁはぁはぁはぁ……。ダメだ……もう足が……動かない……。			くっ、はぁはぁはぁはぁ……。ダメだ……もう足が……動かない……。			奇跡の目撃者							
ごめんなさい……冒険者さん……ボクはやはり皆の言うとおり、ヘッポコな男です……。でも最後の最後で……少しは役に立てた……かな……？			ごめんなさい……冒険者さん……ボクはやはり皆の言うとおり、ヘッポコな男です……。でも最後の最後で……少しは役に立てた……かな……？			奇跡の目撃者							
御子ちゃまを……お願いします……。どうか仮宿まで届けてください……。ボクに構わず……早くっ！！			御子ちゃまを……お願いします……。どうか仮宿まで届けてください……。ボクに構わず……早くっ！！			奇跡の目撃者							
（カット）			（カット）			奇跡の目撃者							
清らかな空気により疲れが癒され、運搬状態の効果時間が延長された！			清らかな空気により疲れが癒され、運搬状態の効果時間が延長された！			奇跡の目撃者							
指定された運搬状態でなければ効果はありません。開始地点に戻ると、再び運搬状態になります。			指定された運搬状態でなければ効果はありません。開始地点に戻ると、再び運搬状態になります。			奇跡の目撃者							
「御子ちゃまのゆりかご」の運搬では、道中の「ゲッコウソウ」に触れることで、運搬の効果時間を延長できます。			「御子ちゃまのゆりかご」の運搬では、道中の「ゲッコウソウ」に触れることで、運搬の効果時間を延長できます。			奇跡の目撃者							
よかった……間に合った。はぁ、なんとか無事に帰ってきましたよ。何度も死ぬかと思いました……。			よかった……間に合った。はぁ、なんとか無事に帰ってきましたよ。何度も死ぬかと思いました……。			奇跡の目撃者							
冒険者さん、本当にありがとうございました。今回の件で、ボクは自分の無力さを心底、思い知りました。			冒険者さん、本当にありがとうございました。今回の件で、ボクは自分の無力さを心底、思い知りました。			奇跡の目撃者							
机上で空論を並べただけでは、決して博物学者は務まらない。現地に赴き、観て、聴いて、そして知る。真実は書架ではなく、もっと広い世界にあるんだ……。			机上で空論を並べただけでは、決して博物学者は務まらない。現地に赴き、観て、聴いて、そして知る。真実は書架ではなく、もっと広い世界にあるんだ……。			奇跡の目撃者							
さぁ、共にこの目に焼きつけましょう。千代に一度の、シルフ族の奇跡の瞬間を……！			さぁ、共にこの目に焼きつけましょう。千代に一度の、シルフ族の奇跡の瞬間を……！			奇跡の目撃者							
お……おおお……！ついに、御子ちゃまの誕生でぶっち……！			お……おおお……！ついに、御子ちゃまの誕生でぶっち……！			奇跡の目撃者							
(-伝説の御子-)……あたぴを呼ぶのは……誰でふっち……？			(-伝説の御子-)……あたぴを呼ぶのは……誰でふっち……？			奇跡の目撃者							
……ワチシは仮宿の長、フリクシオでぶっち。御子ちゃま。お前さんを、この仮宿の家族に迎えたいと思うでぶっち。			……ワチシは仮宿の長、フリクシオでぶっち。御子ちゃま。お前さんを、この仮宿の家族に迎えたいと思うでぶっち。			奇跡の目撃者							
さぁ、共に手を取り合い、平和なシルフ族の世界を創るでぶっち！			さぁ、共に手を取り合い、平和なシルフ族の世界を創るでぶっち！			奇跡の目撃者							
(-伝説の御子-)……それが、アナタたちの願いなら……あたぴは……その願いを……叶えるために、生まれたでふっち……。			(-伝説の御子-)……それが、アナタたちの願いなら……あたぴは……その願いを……叶えるために、生まれたでふっち……。			奇跡の目撃者							
よろぴくでぶっち。			よろぴくでぶっち。			奇跡の目撃者							
(-伝説の御子-)こちらこそ……よろぴくでふっち……。			(-伝説の御子-)こちらこそ……よろぴくでふっち……。			奇跡の目撃者							
