エーテライト・プラザのムジ・ミュリラーのもとに新たな依頼が届いたようだ。			エーテライト・プラザのムジ・ミュリラーのもとに新たな依頼が届いたようだ。			連載第二回「マメが繋ぐ交流の芽」							
エスティニアンと話した。ニーズヘッグを倒すことはできたが、新たな謎のせいで、彼の心は晴れないようだ。真実を確かめるため、フレースヴェルグと会わなければ……。			エスティニアンと話した。ニーズヘッグを倒すことはできたが、新たな謎のせいで、彼の心は晴れないようだ。真実を確かめるため、フレースヴェルグと会わなければ……。			邪竜狩り							
シドと話す			シドと話す			邪竜狩り							
「邪竜血戦 ドラゴンズエアリー」を攻略する			「邪竜血戦 ドラゴンズエアリー」を攻略する			邪竜狩り							
エスティニアンと話す			エスティニアンと話す			邪竜狩り							
さて、行くとするか。「シド」たちが「スカイスチール機工房」付近で、マナカッターの準備を進めているはずだ。			さて、行くとするか。「シド」たちが「スカイスチール機工房」付近で、マナカッターの準備を進めているはずだ。			邪竜狩り							
俺とウェッジの最高傑作……マナカッターをお前に託すぞ！！			俺とウェッジの最高傑作……マナカッターをお前に託すぞ！！			邪竜狩り							
ね、眠いッス……。でも、最終調整だけは手抜きしてないッス。			ね、眠いッス……。でも、最終調整だけは手抜きしてないッス。			邪竜狩り							
さて、いよいよだな相棒。			さて、いよいよだな相棒。			邪竜狩り							
来たな、お前たち！最終調整も完了しているぜ。			来たな、お前たち！最終調整も完了しているぜ。			邪竜狩り							
徹夜続きで、へろへろッス……。なんとか、往復できるだけのパワーを確保できたッス！			徹夜続きで、へろへろッス……。なんとか、往復できるだけのパワーを確保できたッス！			邪竜狩り							
こいつなら、どんな暴風の壁でも突き破ることができる。オレたちの、持てる技術のすべてが注ぎ込まれた新型だ。信じてくれていい！			こいつなら、どんな暴風の壁でも突き破ることができる。オレたちの、持てる技術のすべてが注ぎ込まれた新型だ。信じてくれていい！			邪竜狩り							
ガーロンド・アイアンワークス社の新作だ！受け取ってくれ！			ガーロンド・アイアンワークス社の新作だ！受け取ってくれ！			邪竜狩り							
ありがたい。Forename、いよいよだ。行くぞ、千年越しの邪竜退治にな！			ありがたい。Forename、いよいよだ。行くぞ、千年越しの邪竜退治にな！			邪竜狩り							
Forename、いよいよだ。行くぞ、千年越しの邪竜退治にな！			Forename、いよいよだ。行くぞ、千年越しの邪竜退治にな！			邪竜狩り							
絶対に帰ってこい！お前たちを信じて待っているぞ！			絶対に帰ってこい！お前たちを信じて待っているぞ！			邪竜狩り							
ようやく奴を倒したというのに、心が晴れることがない……。この違和感の正体を確かめるまで、安心してイシュガルドに帰ることはできんぞ。			ようやく奴を倒したというのに、心が晴れることがない……。この違和感の正体を確かめるまで、安心してイシュガルドに帰ることはできんぞ。			邪竜狩り							
それにしても、ニーズヘッグめ……。奴の魔力を軽く浴びただけで、鎧が変質しやがった。一段落したら、新調せねばな。			それにしても、ニーズヘッグめ……。奴の魔力を軽く浴びただけで、鎧が変質しやがった。一段落したら、新調せねばな。			邪竜狩り							
白亜の宮殿のモグオクは、不穏な視線を感じているようだ。			白亜の宮殿のモグオクは、不穏な視線を感じているようだ。			モグオクの予感							
モグオクは、不穏な視線を感じているようだ。ドラヴァニア雲海の白亜の宮殿を見回り、敵が現れたら討伐しよう。			モグオクは、不穏な視線を感じているようだ。ドラヴァニア雲海の白亜の宮殿を見回り、敵が現れたら討伐しよう。			モグオクの予感							
現れた敵を討伐した。白亜の宮殿の「モグオク」に報告しよう。			現れた敵を討伐した。白亜の宮殿の「モグオク」に報告しよう。			モグオクの予感							
モグオクは、ここにも邪竜の眷属が現れたと聞いて驚きつつも、冒険者に感謝した。モグオクは引き続き、宮殿内の見回りを続けるようだ。小さな護衛団員の勇気に応えるためにも、一緒に白亜の宮殿を守り抜こう。			モグオクは、ここにも邪竜の眷属が現れたと聞いて驚きつつも、冒険者に感謝した。モグオクは引き続き、宮殿内の見回りを続けるようだ。小さな護衛団員の勇気に応えるためにも、一緒に白亜の宮殿を守り抜こう。			モグオクの予感							
白亜の宮殿を見回り、敵が現れたら討伐			白亜の宮殿を見回り、敵が現れたら討伐			モグオクの予感							
モグオクに報告			モグオクに報告			モグオクの予感							
おぉ、冒険者くぽ～。今のところ異常はないくぽ！			おぉ、冒険者くぽ～。今のところ異常はないくぽ！			モグオクの予感							
くぽぽ！すでに「白亜の宮殿」内に、敵が侵入してるくぽ……！？確かに、何だか視線を感じる気がしてきたくぽ。			くぽぽ！すでに「白亜の宮殿」内に、敵が侵入してるくぽ……！？確かに、何だか視線を感じる気がしてきたくぽ。			モグオクの予感							
このあたりは、モグが見張るくぽ。階段の上の見回りを、頼みたいくぽ！			このあたりは、モグが見張るくぽ。階段の上の見回りを、頼みたいくぽ！			モグオクの予感							
この橋の手前は、モグが見張るくぽ。階段の上の見回りを、頼みたいくぽ！			この橋の手前は、モグが見張るくぽ。階段の上の見回りを、頼みたいくぽ！			モグオクの予感							
本当に、邪竜様の眷属がいたくぽ！？冒険者がいてくれて助かったくぽ、ありがとうくぽー！			本当に、邪竜様の眷属がいたくぽ！？冒険者がいてくれて助かったくぽ、ありがとうくぽー！			モグオクの予感							
モグは、引き続き見回りをするくぽ。また後ほど、会おうくぽ！			モグは、引き続き見回りをするくぽ。また後ほど、会おうくぽ！			モグオクの予感							
白亜の宮殿のモグッカは、少し怯えているようだ。			白亜の宮殿のモグッカは、少し怯えているようだ。			モグッカの不安							
宮殿内が制圧されたことを、「モグモグ護衛団」のモグッカに伝えた。モグッカは、冒険者に見回りを代わってほしいようだ。ドラヴァニア雲海の白亜の宮殿を見回り、敵が現れたら討伐しよう。			宮殿内が制圧されたことを、「モグモグ護衛団」のモグッカに伝えた。モグッカは、冒険者に見回りを代わってほしいようだ。ドラヴァニア雲海の白亜の宮殿を見回り、敵が現れたら討伐しよう。			モグッカの不安							
現れた敵を討伐した。白亜の宮殿の「モグッカ」に報告しよう。			現れた敵を討伐した。白亜の宮殿の「モグッカ」に報告しよう。			モグッカの不安							
モグッカは引き続き、宮殿内の見回りを続けるようだ。モグッカは、護衛団の仲間であるモグオクのことが気がかりなようだ。白亜の宮殿付近で「モグオク」を見かけたら、注意するよう伝えてあげよう。			モグッカは引き続き、宮殿内の見回りを続けるようだ。モグッカは、護衛団の仲間であるモグオクのことが気がかりなようだ。白亜の宮殿付近で「モグオク」を見かけたら、注意するよう伝えてあげよう。			モグッカの不安							
白亜の宮殿を見回り、敵が現れたら討伐			白亜の宮殿を見回り、敵が現れたら討伐			モグッカの不安							
モグッカに報告			モグッカに報告			モグッカの不安							
……くぽっ！なんだ冒険者か、びっくりしたくぽ～。			……くぽっ！なんだ冒険者か、びっくりしたくぽ～。			モグッカの不安							
くぽぽっ！？もう宮殿の内部に、邪竜様の眷属が侵入しているくぽ？そ、それは大変くぽ～！			くぽぽっ！？もう宮殿の内部に、邪竜様の眷属が侵入しているくぽ？そ、それは大変くぽ～！			モグッカの不安							
じ、じゃあ、この先にも、もしかして……くぽ？なんだか気味が悪くなってきたくぽ……。			じ、じゃあ、この先にも、もしかして……くぽ？なんだか気味が悪くなってきたくぽ……。			モグッカの不安							
口に出して言ってみたら、ちょっと怖くなってきたくぽ……。この先の様子、ちょっと見てきてくれないくぽ？			口に出して言ってみたら、ちょっと怖くなってきたくぽ……。この先の様子、ちょっと見てきてくれないくぽ？			モグッカの不安							
この先の様子、ちょっと見てきてくれないくぽ？			この先の様子、ちょっと見てきてくれないくぽ？			モグッカの不安							
ほ、ほんとうに邪竜様の眷属がいたくぽ！？くぽぽ、モグの予想は的中くぽ！			ほ、ほんとうに邪竜様の眷属がいたくぽ！？くぽぽ、モグの予想は的中くぽ！			モグッカの不安							
モグだったら、やられてたくぽ……ありがとうくぽ！じゃあ、モグは気をつけながら見回りをしてくるくぽ～。			モグだったら、やられてたくぽ……ありがとうくぽ！じゃあ、モグは気をつけながら見回りをしてくるくぽ～。			モグッカの不安							
そうだ、護衛団のモグオクも、近くにいるはずくぽ。「モグオク」を見かけたら、注意するよう伝えてほしいくぽ！			そうだ、護衛団のモグオクも、近くにいるはずくぽ。「モグオク」を見かけたら、注意するよう伝えてほしいくぽ！			モグッカの不安							
グロン・レイのモグズンは、辺りの様子を伺っているようだ。			グロン・レイのモグズンは、辺りの様子を伺っているようだ。			モグズンの見学							
モグズンはナールド・メリアエの討伐を目標としているようだ。グロン・レイの「ナールド・メリアエ」から「メリアエの枝」を3個入手しよう。			モグズンはナールド・メリアエの討伐を目標としているようだ。グロン・レイの「ナールド・メリアエ」から「メリアエの枝」を3個入手しよう。			モグズンの見学							
メリアエの枝を入手した。グロン・レイの「モグズン」に報告しよう。			メリアエの枝を入手した。グロン・レイの「モグズン」に報告しよう。			モグズンの見学							
モグズンにメリアエの枝を渡した。冒険者の戦いは参考になったようだが、見学に集中して疲れたと言って帰ってしまった。			モグズンにメリアエの枝を渡した。冒険者の戦いは参考になったようだが、見学に集中して疲れたと言って帰ってしまった。			モグズンの見学							
ナールド・メリアエからメリアエの枝を入手			ナールド・メリアエからメリアエの枝を入手			モグズンの見学							
モグズンにメリアエの枝を渡す			モグズンにメリアエの枝を渡す			モグズンの見学							
あそこにナールド・メリアエがいるくぽ？モグの目標は、あいつを倒すことくぽ！			あそこにナールド・メリアエがいるくぽ？モグの目標は、あいつを倒すことくぽ！			モグズンの見学							
参考にしたいから、教官から戦ってほしいくぽ。ナールド・メリアエから「メリアエの枝」を3個、持ってくるところが見たいくぽ！			参考にしたいから、教官から戦ってほしいくぽ。ナールド・メリアエから「メリアエの枝」を3個、持ってくるところが見たいくぽ！			モグズンの見学							
参考にしたいから、教官から戦ってほしいくぽ。ナールド・メリアエから「メリアエの枝」を3個、持ってくるところが見たいくぽ！			参考にしたいから、教官から戦ってほしいくぽ。ナールド・メリアエから「メリアエの枝」を3個、持ってくるところが見たいくぽ！			モグズンの見学							
参考にしたいから、教官から戦ってほしいくぽ。ナールド・メリアエから「メリアエの枝」を3個、持ってくるところが見たいくぽ！			参考にしたいから、教官から戦ってほしいくぽ。ナールド・メリアエから「メリアエの枝」を3個、持ってくるところが見たいくぽ！			モグズンの見学							
おお、間違いなくメリアエの枝くぽ！教官の戦い、とっても参考になったくぽ！			おお、間違いなくメリアエの枝くぽ！教官の戦い、とっても参考になったくぽ！			モグズンの見学							
でも、今日は見学に集中しすぎて疲れたくぽ。無理するのは良くないくぽ！適度に休むのも仕事くぽ、訓練終了くぽ！			でも、今日は見学に集中しすぎて疲れたくぽ。無理するのは良くないくぽ！適度に休むのも仕事くぽ、訓練終了くぽ！			モグズンの見学							
オール・ターンのモグートは、辺りの様子を伺っているようだ。			オール・ターンのモグートは、辺りの様子を伺っているようだ。			モグートの勉強							
モグートはライムゴーレムの討伐を目標としているようだ。オール・ターンの「ライムゴーレム」から「ライムゴーレムの心核」を3個入手しよう。			モグートはライムゴーレムの討伐を目標としているようだ。オール・ターンの「ライムゴーレム」から「ライムゴーレムの心核」を3個入手しよう。			モグートの勉強							
ライムゴーレムを入手した。オール・ターンの「モグート」に報告しよう。			ライムゴーレムを入手した。オール・ターンの「モグート」に報告しよう。			モグートの勉強							
モグートにライムゴーレムの心核を渡した。冒険者の実力はわかったが、同じように戦うのは無理と言って帰ってしまった。			モグートにライムゴーレムの心核を渡した。冒険者の実力はわかったが、同じように戦うのは無理と言って帰ってしまった。			モグートの勉強							
ライムゴーレムからライムゴーレムの心核を入手			ライムゴーレムからライムゴーレムの心核を入手			モグートの勉強							
モグートにライムゴーレムの心核を渡す			モグートにライムゴーレムの心核を渡す			モグートの勉強							
今、目標の敵を……観察しているくぽ……。あのライムゴーレムはモグの眼から逃れられないくぽ。			今、目標の敵を……観察しているくぽ……。あのライムゴーレムはモグの眼から逃れられないくぽ。			モグートの勉強							
ところで……教官の実力が気になるくぽ。モグの教官にふさわしいかどうか……見せてほしいくぽ……。……「ライムゴーレムの心核」を3個……持ってくるくぽ。			ところで……教官の実力が気になるくぽ。モグの教官にふさわしいかどうか……見せてほしいくぽ……。……「ライムゴーレムの心核」を3個……持ってくるくぽ。			モグートの勉強							
ところで……教官の実力が気になるくぽ。モグの教官にふさわしいかどうか……見せてほしいくぽ……。……「ライムゴーレムの心核」を3個……持ってくるくぽ。			ところで……教官の実力が気になるくぽ。モグの教官にふさわしいかどうか……見せてほしいくぽ……。……「ライムゴーレムの心核」を3個……持ってくるくぽ。			モグートの勉強							
ところで……教官の実力が気になるくぽ。モグの教官にふさわしいかどうか……見せてほしいくぽ……。……「ライムゴーレムの心核」を3個……持ってくるくぽ。			ところで……教官の実力が気になるくぽ。モグの教官にふさわしいかどうか……見せてほしいくぽ……。……「ライムゴーレムの心核」を3個……持ってくるくぽ。			モグートの勉強							
さすが……教官くぽ、認めるくぽ。見事な戦い……同じように戦うのは、モグには無理くぽ……。とても勉強になった……訓練終了くぽ！			さすが……教官くぽ、認めるくぽ。見事な戦い……同じように戦うのは、モグには無理くぽ……。とても勉強になった……訓練終了くぽ！			モグートの勉強							
オール・ターンのモグコンは、辺りの様子を伺っているようだ。			オール・ターンのモグコンは、辺りの様子を伺っているようだ。			モグコンの成長							
モグコンはミスト・ドレイクの討伐を目標としているようだ。オール・ターンの「ミスト・ドレイク」から「ドレイクの尾」を3個入手しよう。			モグコンはミスト・ドレイクの討伐を目標としているようだ。オール・ターンの「ミスト・ドレイク」から「ドレイクの尾」を3個入手しよう。			モグコンの成長							
ドレイクの尾を入手した。オール・ターンの「モグコン」に報告しよう。			ドレイクの尾を入手した。オール・ターンの「モグコン」に報告しよう。			モグコンの成長							
モグコンにドレイクの尾を渡した。モグコンは、もう少し訓練してから挑戦すると言って帰ってしまった。			モグコンにドレイクの尾を渡した。モグコンは、もう少し訓練してから挑戦すると言って帰ってしまった。			モグコンの成長							
ミスト・ドレイクからドレイクの尾を入手			ミスト・ドレイクからドレイクの尾を入手			モグコンの成長							
モグコンにドレイクの尾を渡す			モグコンにドレイクの尾を渡す			モグコンの成長							
あそこのミスト・ドレイク……。あいつがモグの目標くぽ！モグの魔法が当たれば勝てるけど、万が一ってことがあるくぽ。			あそこのミスト・ドレイク……。あいつがモグの目標くぽ！モグの魔法が当たれば勝てるけど、万が一ってことがあるくぽ。			モグコンの成長							
教官に、敵の力量を見てきてほしいくぽ！ミスト・ドレイクを倒して、「ドレイクの尾」を3個取ってくるくぽ。			教官に、敵の力量を見てきてほしいくぽ！ミスト・ドレイクを倒して、「ドレイクの尾」を3個取ってくるくぽ。			モグコンの成長							
教官に、敵の力量を見てきてほしいくぽ！ミスト・ドレイクを倒して、「ドレイクの尾」を3個取ってくるくぽ。			教官に、敵の力量を見てきてほしいくぽ！ミスト・ドレイクを倒して、「ドレイクの尾」を3個取ってくるくぽ。			モグコンの成長							
教官に、敵の力量を見てきてほしいくぽ！ミスト・ドレイクを倒して、「ドレイクの尾」を3個取ってくるくぽ。			教官に、敵の力量を見てきてほしいくぽ！ミスト・ドレイクを倒して、「ドレイクの尾」を3個取ってくるくぽ。			モグコンの成長							
これがドレイクの尾くぽ？モグが本気を出せれば、いけそうくぽ。			これがドレイクの尾くぽ？モグが本気を出せれば、いけそうくぽ。			モグコンの成長							
よし、あと少し訓練してから挑戦するくぽ！敵の力量を認めただけ、モグは成長したくぽ。訓練終了くぽ！			よし、あと少し訓練してから挑戦するくぽ！敵の力量を認めただけ、モグは成長したくぽ。訓練終了くぽ！			モグコンの成長							
サルウーム・カシュのちらちらモーグリは、震えているようだ。			サルウーム・カシュのちらちらモーグリは、震えているようだ。			幼虫発生中							
ちらちらモーグリから、卵から出てきた幼虫を駆除してほしいと頼まれた。サルウーム・カシュで「ブロウイング・ワモーラ・カンパ」を3体討伐しよう。			ちらちらモーグリから、卵から出てきた幼虫を駆除してほしいと頼まれた。サルウーム・カシュで「ブロウイング・ワモーラ・カンパ」を3体討伐しよう。			幼虫発生中							
ブロウイング・ワモーラ・カンパを討伐した。サルウーム・カシュの「ちらちらモーグリ」に報告しよう。			ブロウイング・ワモーラ・カンパを討伐した。サルウーム・カシュの「ちらちらモーグリ」に報告しよう。			幼虫発生中							
ちらちらモーグリに報告した。ちらちらモーグリは、ようやくサルウーム・カシュを調べられると安心していた。			ちらちらモーグリに報告した。ちらちらモーグリは、ようやくサルウーム・カシュを調べられると安心していた。			幼虫発生中							
サルウーム・カシュでブロウイング・ワモーラ・カンパを討伐			サルウーム・カシュでブロウイング・ワモーラ・カンパを討伐			幼虫発生中							
ちらちらモーグリに報告			ちらちらモーグリに報告			幼虫発生中							
みんなで、ここの見学にきたくぽ。			みんなで、ここの見学にきたくぽ。			幼虫発生中							
とっても興味深いくぽ！あとでみんなと情報共有したいくぽ！			とっても興味深いくぽ！あとでみんなと情報共有したいくぽ！			幼虫発生中							
サルウーム・カシュを見てたら、見たことのない虫が、卵から出てきたクポ！3ヶ所で見たから、全部駆除してほしいくぽ！			サルウーム・カシュを見てたら、見たことのない虫が、卵から出てきたクポ！3ヶ所で見たから、全部駆除してほしいくぽ！			幼虫発生中							
サルウーム・カシュを見てたら、見たことのない虫が、卵から出てきたクポ！3ヶ所で見たから、全部駆除してほしいくぽ！			サルウーム・カシュを見てたら、見たことのない虫が、卵から出てきたクポ！3ヶ所で見たから、全部駆除してほしいくぽ！			幼虫発生中							
みんなで、ここの見学にきたくぽ。			みんなで、ここの見学にきたくぽ。			幼虫発生中							
とっても興味深いくぽ！あとでみんなと情報共有したいくぽ！			とっても興味深いくぽ！あとでみんなと情報共有したいくぽ！			幼虫発生中							
みんなで、ここの見学にきたくぽ。			みんなで、ここの見学にきたくぽ。			幼虫発生中							
とっても興味深いくぽ！あとでみんなと情報共有したいくぽ！			とっても興味深いくぽ！あとでみんなと情報共有したいくぽ！			幼虫発生中							
あの気持ち悪い虫を駆除してくれたくぽ？ありがとうくぽ！これで安心してサルウーム・カシュを調べられるくぽ！			あの気持ち悪い虫を駆除してくれたくぽ？ありがとうくぽ！これで安心してサルウーム・カシュを調べられるくぽ！			幼虫発生中							
サルウーム・カシュのじろじろモーグリは、怯えているようだ。			サルウーム・カシュのじろじろモーグリは、怯えているようだ。			大蛾の産卵地							
じろじろモーグリは遺跡の見学中に、卵を産んでいる魔物を見て怯えていた。サルウーム・カシュで「ブロウイング・ワモーラ」を3体討伐しよう。			じろじろモーグリは遺跡の見学中に、卵を産んでいる魔物を見て怯えていた。サルウーム・カシュで「ブロウイング・ワモーラ」を3体討伐しよう。			大蛾の産卵地							
ブロウイング・ワモーラを討伐した。サルウーム・カシュの「じろじろモーグリ」に報告しよう。			ブロウイング・ワモーラを討伐した。サルウーム・カシュの「じろじろモーグリ」に報告しよう。			大蛾の産卵地							
じろじろモーグリに報告した。サルウーム・カシュは、かつて人がいた時代の遺跡らしい。			じろじろモーグリに報告した。サルウーム・カシュは、かつて人がいた時代の遺跡らしい。			大蛾の産卵地							
サルウーム・カシュでブロウイング・ワモーラを討伐			サルウーム・カシュでブロウイング・ワモーラを討伐			大蛾の産卵地							
じろじろモーグリに報告			じろじろモーグリに報告			大蛾の産卵地							
みんなで、ここの見学にきたくぽ。			みんなで、ここの見学にきたくぽ。			大蛾の産卵地							
誰でもいいくぽ！　助けてほしいくぽ！サルウーム・カシュを見学してたら怖い目にあったくぽ！			誰でもいいくぽ！　助けてほしいくぽ！サルウーム・カシュを見学してたら怖い目にあったくぽ！			大蛾の産卵地							
この中に、蛾みたいな魔物がいるくぽ！あっちこっちに卵を産んでるみたいで怖いくぽ。どうにかしてほしいくぽ！			この中に、蛾みたいな魔物がいるくぽ！あっちこっちに卵を産んでるみたいで怖いくぽ。どうにかしてほしいくぽ！			大蛾の産卵地							
この中に、蛾みたいな魔物がいるくぽ！あっちこっちに卵を産んでるみたいで怖いくぽ。どうにかしてほしいくぽ！			この中に、蛾みたいな魔物がいるくぽ！あっちこっちに卵を産んでるみたいで怖いくぽ。どうにかしてほしいくぽ！			大蛾の産卵地							
みんなで、ここの見学にきたくぽ。			みんなで、ここの見学にきたくぽ。			大蛾の産卵地							
みんなで、ここの見学にきたくぽ。			みんなで、ここの見学にきたくぽ。			大蛾の産卵地							
退治してくれたくぽ！？　ありがとうくぽ！ヒトは、親切くぽ！			退治してくれたくぽ！？　ありがとうくぽ！ヒトは、親切くぽ！			大蛾の産卵地							
サルウーム・カシュは、まだここにヒトがいた時代のものくぽ。きっと、いろんなことが知れるはずくぽ。調べるのが楽しみくぽ！			サルウーム・カシュは、まだここにヒトがいた時代のものくぽ。きっと、いろんなことが知れるはずくぽ。調べるのが楽しみくぽ！			大蛾の産卵地							
オール・ターンのまきまきモーグリは、ため息をもらしているようだ。			オール・ターンのまきまきモーグリは、ため息をもらしているようだ。			芽吹いてしまった苗							
まきまきモーグリから、芽吹いてしまったモサモサ草の苗を採ってきてほしいと頼まれた。オール・ターンの「モサモサ草の苗」を3個入手しよう。			まきまきモーグリから、芽吹いてしまったモサモサ草の苗を採ってきてほしいと頼まれた。オール・ターンの「モサモサ草の苗」を3個入手しよう。			芽吹いてしまった苗							
モサモサ草の苗を入手した。オール・ターンの「まきまきモーグリ」に渡そう。			モサモサ草の苗を入手した。オール・ターンの「まきまきモーグリ」に渡そう。			芽吹いてしまった苗							
まきまきモーグリにモサモサ草の苗を渡した。まきまきモーグリはモサモサ草の苗を安全な場所で大切に育てるそうだ。			まきまきモーグリにモサモサ草の苗を渡した。まきまきモーグリはモサモサ草の苗を安全な場所で大切に育てるそうだ。			芽吹いてしまった苗							
モサモサ草の苗を入手			モサモサ草の苗を入手			芽吹いてしまった苗							
まきまきモーグリにモサモサ草の苗を渡す			まきまきモーグリにモサモサ草の苗を渡す			芽吹いてしまった苗							
はぁ、まいったくぽ……すっかりまいったくぽ……。仲間のモーグリがうっかりしていて、とんでもないところに、「モサモサ草の苗」の種を蒔いてしまったくぽ。			はぁ、まいったくぽ……すっかりまいったくぽ……。仲間のモーグリがうっかりしていて、とんでもないところに、「モサモサ草の苗」の種を蒔いてしまったくぽ。			芽吹いてしまった苗							
オール・ターンで、芽吹いてしまった「モサモサ草の苗」を、3株探し出して、採ってきてくれないくぽ？枯らせるわけにはいかないくぽ……。			オール・ターンで、芽吹いてしまった「モサモサ草の苗」を、3株探し出して、採ってきてくれないくぽ？枯らせるわけにはいかないくぽ……。			芽吹いてしまった苗							
オール・ターンで、芽吹いてしまった「モサモサ草の苗」を、3株探し出して、採ってきてくれないくぽ？枯らせるわけにはいかないくぽ……。			オール・ターンで、芽吹いてしまった「モサモサ草の苗」を、3株探し出して、採ってきてくれないくぽ？枯らせるわけにはいかないくぽ……。			芽吹いてしまった苗							
オール・ターンで、芽吹いてしまった「モサモサ草の苗」を、3株探し出して、採ってきてくれないくぽ？枯らせるわけにはいかないくぽ……。			オール・ターンで、芽吹いてしまった「モサモサ草の苗」を、3株探し出して、採ってきてくれないくぽ？枯らせるわけにはいかないくぽ……。			芽吹いてしまった苗							
どうもありがとうくぽ！この苗は安全な場所に植えなおして、大切に育てるくぽ～♪			どうもありがとうくぽ！この苗は安全な場所に植えなおして、大切に育てるくぽ～♪			芽吹いてしまった苗							
サルウーム・カシュ付近のひらひらモーグリは、そわそわしているようだ。			サルウーム・カシュ付近のひらひらモーグリは、そわそわしているようだ。			サルウーム・カシュの歴史							
ひらひらモーグリから、一緒にきたモーグリたちにそろそろ帰ると伝えてほしいと頼まれた。サルウーム・カシュでモーグリを5人探そう。			ひらひらモーグリから、一緒にきたモーグリたちにそろそろ帰ると伝えてほしいと頼まれた。サルウーム・カシュでモーグリを5人探そう。			サルウーム・カシュの歴史							
すべてのモーグリたちに帰ることを伝えた。サルウーム・カシュ付近の「ひらひらモーグリ」に報告しよう。			すべてのモーグリたちに帰ることを伝えた。サルウーム・カシュ付近の「ひらひらモーグリ」に報告しよう。			サルウーム・カシュの歴史							
ひらひらモーグリに報告した。サルウーム・カシュはラタトスクの宮殿だったようだ。			ひらひらモーグリに報告した。サルウーム・カシュはラタトスクの宮殿だったようだ。			サルウーム・カシュの歴史							
見学をしにきたモーグリたちを探す			見学をしにきたモーグリたちを探す			サルウーム・カシュの歴史							
ひらひらモーグリに報告			ひらひらモーグリに報告			サルウーム・カシュの歴史							
とっても興味深いくぽ！あとでみんなと情報共有したいくぽ！			とっても興味深いくぽ！あとでみんなと情報共有したいくぽ！			サルウーム・カシュの歴史							
思ったよりも広いくぽ！見るところがたくさんあるくぽ！			思ったよりも広いくぽ！見るところがたくさんあるくぽ！			サルウーム・カシュの歴史							
ヒトとドラゴン族が仲良くしてた時代を知るために、この「サルウーム・カシュ」まで、遺跡を見学にきたクポ。……でも、あんまりこない場所だから怖いくぽ。			ヒトとドラゴン族が仲良くしてた時代を知るために、この「サルウーム・カシュ」まで、遺跡を見学にきたクポ。……でも、あんまりこない場所だから怖いくぽ。			サルウーム・カシュの歴史							
一緒にきた5人のモグたちに、そろそろ帰るって伝えてきてほしいくぽ。怖いけど、ここで待ってるくぽ。			一緒にきた5人のモグたちに、そろそろ帰るって伝えてきてほしいくぽ。怖いけど、ここで待ってるくぽ。			サルウーム・カシュの歴史							
一緒にきた5人のモグたちに、そろそろ帰るって伝えてきてほしいくぽ。怖いけど、ここで待ってるくぽ。			一緒にきた5人のモグたちに、そろそろ帰るって伝えてきてほしいくぽ。怖いけど、ここで待ってるくぽ。			サルウーム・カシュの歴史							
じろじろ見てみたら、大きなドラゴン族の印を見つけたくぽ。……もう帰る時間なら、仕方ないくぽ～。			じろじろ見てみたら、大きなドラゴン族の印を見つけたくぽ。……もう帰る時間なら、仕方ないくぽ～。			サルウーム・カシュの歴史							
あちこち壊れているけど、ここは竜の棲む場所みたいくぽ。帰るくぽ？　わかったくぽ！			あちこち壊れているけど、ここは竜の棲む場所みたいくぽ。帰るくぽ？　わかったくぽ！			サルウーム・カシュの歴史							
ここは「ラタトスク」って名前の竜が棲んでいたみたいくぽ。案内役が呼んでるくぽ？　すぐ戻るくぽ～！			ここは「ラタトスク」って名前の竜が棲んでいたみたいくぽ。案内役が呼んでるくぽ？　すぐ戻るくぽ～！			サルウーム・カシュの歴史							
広すぎて、まだまだ全部は見れていないくぽ。こんな場所に棲む奴は、とても大きな身体のはずくぽ！広すぎて疲れたから、帰るくぽ～。			広すぎて、まだまだ全部は見れていないくぽ。こんな場所に棲む奴は、とても大きな身体のはずくぽ！広すぎて疲れたから、帰るくぽ～。			サルウーム・カシュの歴史							
ここは白亜の宮殿と、少し雰囲気が似てるくぽ。ムカシの偉いドラゴン族が、棲んでいた場所かもくぽ？今日はここまでにするくぽ。			ここは白亜の宮殿と、少し雰囲気が似てるくぽ。ムカシの偉いドラゴン族が、棲んでいた場所かもくぽ？今日はここまでにするくぽ。			サルウーム・カシュの歴史							
じろじろ見てみたら、大きなドラゴン族の印を見つけたくぽ。とっても楽しかったくぽ。			じろじろ見てみたら、大きなドラゴン族の印を見つけたくぽ。とっても楽しかったくぽ。			サルウーム・カシュの歴史							
あちこち壊れているけど、ここは竜の棲む場所みたいくぽ。部屋の中を移動するのに休憩しなきゃいけないくぽ。			あちこち壊れているけど、ここは竜の棲む場所みたいくぽ。部屋の中を移動するのに休憩しなきゃいけないくぽ。			サルウーム・カシュの歴史							
ここは「ラタトスク」って名前の竜が棲んでいたみたいくぽ。どんなドラゴン族なのか調べてみるくぽ。			ここは「ラタトスク」って名前の竜が棲んでいたみたいくぽ。どんなドラゴン族なのか調べてみるくぽ。			サルウーム・カシュの歴史							
広すぎて、まだまだ全部は見れていないくぽ。こんな場所に棲む奴は、とても大きな身体のはずくぽ！			広すぎて、まだまだ全部は見れていないくぽ。こんな場所に棲む奴は、とても大きな身体のはずくぽ！			サルウーム・カシュの歴史							
