アルフィノは、今後について冒険者と話がしたいようだ。									アルフィノは、今後について冒険者と話がしたいようだ。	イシュガルドへ
イダテンと話した。ヴァスの塚の「ストーリーテラー」と話そう。									イダテンと話した。ヴァスの塚の「ストーリーテラー」と話そう。	分かたれし者たち
ストーリーテラーと話した。彼の話から、グナース族が蛮神を召喚した事情がわかった。あとは、件の蛮神に近づく方法がわかればいいのだが……。									ストーリーテラーと話した。彼の話から、グナース族が蛮神を召喚した事情がわかった。あとは、件の蛮神に近づく方法がわかればいいのだが……。	分かたれし者たち
イダテンと話す									イダテンと話す	分かたれし者たち
ストーリーテラーと話す									ストーリーテラーと話す	分かたれし者たち
すべての手土産がそろった。マルスシャン氏の教えの通り、取引場所に置くとしよう。									すべての手土産がそろった。マルスシャン氏の教えの通り、取引場所に置くとしよう。	分かたれし者たち
うーむ、来ないな……。本当にグナース族は現れるのだろうか？									うーむ、来ないな……。本当にグナース族は現れるのだろうか？	分かたれし者たち
そう焦りなさんな……。どうやら、お待ちかねの取引相手のご到着らしいぞ……。									そう焦りなさんな……。どうやら、お待ちかねの取引相手のご到着らしいぞ……。	分かたれし者たち
シシシシシ……誰かと思えば、ヒトの狩人たちではないか。そんでもって、この芳しい香りは……。									シシシシシ……誰かと思えば、ヒトの狩人たちではないか。そんでもって、この芳しい香りは……。	分かたれし者たち
(-興奮するグナース族-)妖花の蜜ッ……！									(-興奮するグナース族-)妖花の蜜ッ……！	分かたれし者たち
(-高揚するグナース族-)七天樹の実ッ……！									(-高揚するグナース族-)七天樹の実ッ……！	分かたれし者たち
(-グナース族たち-)そんでもって……幼体ナンカの肉ッ！									(-グナース族たち-)そんでもって……幼体ナンカの肉ッ！	分かたれし者たち
シシシシシ……どれもこれも我らの好物ばかり。いやはや、苦しい生活が助かるというものだ。									シシシシシ……どれもこれも我らの好物ばかり。いやはや、苦しい生活が助かるというものだ。	分かたれし者たち
シシシシシ……ヒトの狩人たちよ……取引がしたいのなら、我らが棲処に来るがいい。狭苦しい場所ではあるが、竜避けの香も焚いてあるぞ。									シシシシシ……ヒトの狩人たちよ……取引がしたいのなら、我らが棲処に来るがいい。狭苦しい場所ではあるが、竜避けの香も焚いてあるぞ。	分かたれし者たち
(-興奮するグナース族-)狭いッ……！									(-興奮するグナース族-)狭いッ……！	分かたれし者たち
(-高揚するグナース族-)臭いッ……！									(-高揚するグナース族-)臭いッ……！	分かたれし者たち
(-グナース族たち-)そんでもって……居心地悪いッ！									(-グナース族たち-)そんでもって……居心地悪いッ！	分かたれし者たち
それでも、竜に喰われるよりゃ、マシだろうさ。シシシシシ……ついて来るがいい。									それでも、竜に喰われるよりゃ、マシだろうさ。シシシシシ……ついて来るがいい。	分かたれし者たち
あ、あれが、グナース族か……。さきほど戦った者たちとは、ずいぶん様子が違うようだな。									あ、あれが、グナース族か……。さきほど戦った者たちとは、ずいぶん様子が違うようだな。	分かたれし者たち
ともかく、早く彼らの蛮神について問いたださなくては。									ともかく、早く彼らの蛮神について問いたださなくては。	分かたれし者たち
奇妙な連中だな。まともに話ができる相手とは思えんが……。									奇妙な連中だな。まともに話ができる相手とは思えんが……。	分かたれし者たち
蒼の竜騎士が、ジャンプで果実採りとは……。……いったい俺は、こんなところで何をやっているんだ。									蒼の竜騎士が、ジャンプで果実採りとは……。……いったい俺は、こんなところで何をやっているんだ。	分かたれし者たち
アルフィノは、魔法の才がある。実戦で磨いていけば、いい魔道士になるだろう。									アルフィノは、魔法の才がある。実戦で磨いていけば、いい魔道士になるだろう。	分かたれし者たち
シシシシシ……話は、長に通してある。取引したいなら、話してみるがいい。我らは、話さにゃならん「分かたれし者たち」だからな……。									シシシシシ……話は、長に通してある。取引したいなら、話してみるがいい。我らは、話さにゃならん「分かたれし者たち」だからな……。	分かたれし者たち
シシシシシ……話は、長に通してある。取引したいなら、話してみるがいい。我らは、話さにゃならん「分かたれし者たち」だからな……。									シシシシシ……話は、長に通してある。取引したいなら、話してみるがいい。我らは、話さにゃならん「分かたれし者たち」だからな……。	分かたれし者たち
シシシシシ……取引に来たと話は聞いた、ヒトの狩人たちよ。ずいぶんと気前のいい手土産と聞き、喜んでいるぞ。……して、ヒトの狩人は何を求める？									シシシシシ……取引に来たと話は聞いた、ヒトの狩人たちよ。ずいぶんと気前のいい手土産と聞き、喜んでいるぞ。……して、ヒトの狩人は何を求める？	分かたれし者たち
確かに私たちは、あなた方と取引に来た。ただし、求めているのは情報……話を聞きに来たのだ。グナース族が呼び降ろした「神」について知るために。									確かに私たちは、あなた方と取引に来た。ただし、求めているのは情報……話を聞きに来たのだ。グナース族が呼び降ろした「神」について知るために。	分かたれし者たち
シシシシシ……物を欲さぬとは、奇妙な狩人だ！だが、話をするのは好きだぞ……。何といっても、我々は「分かたれし者たち」だ！									シシシシシ……物を欲さぬとは、奇妙な狩人だ！だが、話をするのは好きだぞ……。何といっても、我々は「分かたれし者たち」だ！	分かたれし者たち
シシシシシ……よかろう、「神」について教えよう。「繋がりし者たち」が呼び降ろした「神」についてな！									シシシシシ……よかろう、「神」について教えよう。「繋がりし者たち」が呼び降ろした「神」についてな！	分かたれし者たち
ここに棲む者たちが「分かたれし者たち」、コロニーに棲む多数派が「繋がりし者たち」……。そして、神を呼び降ろしたのは、後者ということか……。									ここに棲む者たちが「分かたれし者たち」、コロニーに棲む多数派が「繋がりし者たち」……。そして、神を呼び降ろしたのは、後者ということか……。	分かたれし者たち
シシシシシ……左様だ。ある時、「グナースの塚」に、東の空から、一匹の傷ついた竜が落ちてきよってな……。									シシシシシ……左様だ。ある時、「グナースの塚」に、東の空から、一匹の傷ついた竜が落ちてきよってな……。	分かたれし者たち
恐れ怒った「繋がりし者たち」は、地に伏した竜を囲み、槍で刺し、火砲を放ち、魔術で倒したのよ……。									恐れ怒った「繋がりし者たち」は、地に伏した竜を囲み、槍で刺し、火砲を放ち、魔術で倒したのよ……。	分かたれし者たち
おそらく、イシュガルド方面で戦い、手傷を負って逃げ延びたドラゴン族だろうが……。よってたかってなぶり殺しとは、やるじゃないか。									おそらく、イシュガルド方面で戦い、手傷を負って逃げ延びたドラゴン族だろうが……。よってたかってなぶり殺しとは、やるじゃないか。	分かたれし者たち
シシシシシ……竜は恐ろしい存在……その影に怯えて生きてきた「繋がりし者たち」は知ったのだ。戦いに疲れた竜ならば、易々と殺せることを。									シシシシシ……竜は恐ろしい存在……その影に怯えて生きてきた「繋がりし者たち」は知ったのだ。戦いに疲れた竜ならば、易々と殺せることを。	分かたれし者たち
そこで、「繋がりし者たち」と「繋ぎ止めし者」は決意した。今こそ「黒き者」の助言を受け入れ、「神」を呼び、その刃を借りて戦うことを……。									そこで、「繋がりし者たち」と「繋ぎ止めし者」は決意した。今こそ「黒き者」の助言を受け入れ、「神」を呼び、その刃を借りて戦うことを……。	分かたれし者たち
すべては、より多き子を育むための領地を得るため。グナース族を、さらなる繁栄に導くため。……しかし、だ。									すべては、より多き子を育むための領地を得るため。グナース族を、さらなる繁栄に導くため。……しかし、だ。	分かたれし者たち
シシシシ……それで、大切なクリスタルを、雨あられと神に捧げてしまうのは、勘弁ならん！何といっても、我々「分かたれし者」は、神嫌いなのだ！									シシシシ……それで、大切なクリスタルを、雨あられと神に捧げてしまうのは、勘弁ならん！何といっても、我々「分かたれし者」は、神嫌いなのだ！	分かたれし者たち
ヴァスの塚のイゼルは、思い悩んでいるようだ。									ヴァスの塚のイゼルは、思い悩んでいるようだ。	グナース族の神
グナース族の蛮神を倒すと決意したイゼルに、協力することとなった。しかし、蛮神を戦うための方法が思いつかず、グナース族から情報を集めることになった。ヴァスの塚のグナース族から、情報を集めよう。									グナース族の蛮神を倒すと決意したイゼルに、協力することとなった。しかし、蛮神を戦うための方法が思いつかず、グナース族から情報を集めることになった。ヴァスの塚のグナース族から、情報を集めよう。	グナース族の神
グナース族から聞きこみをしたが、まだ情報が足りないようだ。ヴァスの塚の「ナンカイーター」と話そう。									グナース族から聞きこみをしたが、まだ情報が足りないようだ。ヴァスの塚の「ナンカイーター」と話そう。	グナース族の神
ナンカイーターから話を聞こうとしたところ、幼体ナンカの肉を要求された。ウィロームリバーの「リバー・ナンカ」から「幼体ナンカの肉」を入手しよう。									ナンカイーターから話を聞こうとしたところ、幼体ナンカの肉を要求された。ウィロームリバーの「リバー・ナンカ」から「幼体ナンカの肉」を入手しよう。	グナース族の神
幼体ナンカの肉を入手した。ヴァスの塚の「ナンカイーター」に「幼体ナンカの肉」を渡そう。									幼体ナンカの肉を入手した。ヴァスの塚の「ナンカイーター」に「幼体ナンカの肉」を渡そう。	グナース族の神
ナンカイーターから話を聞いた。蛮神を召喚した繋がりし者たちは、繋ぎ止めし者によって意思を繋げられているそうだ。ヴァスの塚の「アルフィノ」と話そう。									ナンカイーターから話を聞いた。蛮神を召喚した繋がりし者たちは、繋ぎ止めし者によって意思を繋げられているそうだ。ヴァスの塚の「アルフィノ」と話そう。	グナース族の神
冒険者たちは、集めた情報を交換した。この情報を元に、冒険者たちが思いついた方法とは……？									冒険者たちは、集めた情報を交換した。この情報を元に、冒険者たちが思いついた方法とは……？	グナース族の神
ヴァスの塚で情報を集める									ヴァスの塚で情報を集める	グナース族の神
ナンカイーターと話す									ナンカイーターと話す	グナース族の神
リバー・ナンカから幼体ナンカの肉を入手									リバー・ナンカから幼体ナンカの肉を入手	グナース族の神
ナンカイーターに幼体ナンカの肉を渡す									ナンカイーターに幼体ナンカの肉を渡す	グナース族の神
アルフィノと話す									アルフィノと話す	グナース族の神
私は、蛮神の力に頼った身だ……。神降ろしが、星の命を蝕むと知ったうえでな。必要悪であったと信じているし、罪を背負う覚悟もある。									私は、蛮神の力に頼った身だ……。神降ろしが、星の命を蝕むと知ったうえでな。必要悪であったと信じているし、罪を背負う覚悟もある。	グナース族の神
だが、グナース族は、領地を広げんと神を降ろしたという。彼らから罪を背負う覚悟が感じられないのは、私が傲慢だからだろうか……。									だが、グナース族は、領地を広げんと神を降ろしたという。彼らから罪を背負う覚悟が感じられないのは、私が傲慢だからだろうか……。	グナース族の神
私の祖父ルイゾワも、第七霊災を防ぐため、カルテノーで、エオルゼア十二神の神降ろしを試みている。……だからイゼル、あなたの気持ちもわからないではない。									私の祖父ルイゾワも、第七霊災を防ぐため、カルテノーで、エオルゼア十二神の神降ろしを試みている。……だからイゼル、あなたの気持ちもわからないではない。	グナース族の神
しかし、グナース族の望みは単純な領土欲だ……。もしそれが本当だとすれば、あまりに無邪気に思える。やはり、彼らの蛮神を討伐しなければなるまい。									しかし、グナース族の望みは単純な領土欲だ……。もしそれが本当だとすれば、あまりに無邪気に思える。やはり、彼らの蛮神を討伐しなければなるまい。	グナース族の神
言うは易しだな、アルフィノ……。お前がグナース族の蛮神と戦うというのなら別だが、蛮神討伐となれば、「光の戦士」に頼るほかあるまい？									言うは易しだな、アルフィノ……。お前がグナース族の蛮神と戦うというのなら別だが、蛮神討伐となれば、「光の戦士」に頼るほかあるまい？	グナース族の神
……か、返す言葉もない。私が蛮神討伐などと軽々しく言うのは、それこそ傲慢というものだ……。									……か、返す言葉もない。私が蛮神討伐などと軽々しく言うのは、それこそ傲慢というものだ……。	グナース族の神
すまない、Forename……。									すまない、Forename……。	グナース族の神
何と言う？									何と言う？	グナース族の神
蛮神は自分が倒す									蛮神は自分が倒す	グナース族の神
…………									…………	グナース族の神
いや、私がやろう……。私とて「超える力」の持ち主なのだ。Forename、手を貸してくれるか。									いや、私がやろう……。私とて「超える力」の持ち主なのだ。Forename、手を貸してくれるか。	グナース族の神
さすがは「氷の巫女」殿。ドラゴン族を助けるためなら、危険も顧みないか……。だが、どうやって蛮神を、戦いの場に引きずり出すつもりだ？									さすがは「氷の巫女」殿。ドラゴン族を助けるためなら、危険も顧みないか……。だが、どうやって蛮神を、戦いの場に引きずり出すつもりだ？	グナース族の神
グナース族の蛮神に近づくため、何かいい方法がないか、ここの住人たちに聞いてみよう。作戦を考えることくらい、私にも手伝わせてくれ。									グナース族の蛮神に近づくため、何かいい方法がないか、ここの住人たちに聞いてみよう。作戦を考えることくらい、私にも手伝わせてくれ。	グナース族の神
フン……。坊ちゃんなりに、必死さがでてきたじゃないか。									フン……。坊ちゃんなりに、必死さがでてきたじゃないか。	グナース族の神
グナース族が、神降ろしをしたのは、自らの領土を拡大するためというのか……。									グナース族が、神降ろしをしたのは、自らの領土を拡大するためというのか……。	グナース族の神
深手を負っていたとはいえドラゴン族を、よってたかってなぶり殺しとは、やるじゃないか。									深手を負っていたとはいえドラゴン族を、よってたかってなぶり殺しとは、やるじゃないか。	グナース族の神
シシシシ……「神」に会いたいと？それなら、生け贄にされるのが手っ取り早い。生きてはかえれぬだろうがな……シシシシシ。									シシシシ……「神」に会いたいと？それなら、生け贄にされるのが手っ取り早い。生きてはかえれぬだろうがな……シシシシシ。	グナース族の神
シシシシ……「神」に会いたいと？それなら、生け贄にされるのが手っ取り早い。生きてはかえれぬだろうがな……シシシシシ。									シシシシ……「神」に会いたいと？それなら、生け贄にされるのが手っ取り早い。生きてはかえれぬだろうがな……シシシシシ。	グナース族の神
俺たちは、「分かたれし者たち」……「繋がりし者たち」と違って、奴らの意思は聞こえない。だから、奴らの考えもわからない……シシシシシ。									俺たちは、「分かたれし者たち」……「繋がりし者たち」と違って、奴らの意思は聞こえない。だから、奴らの考えもわからない……シシシシシ。	グナース族の神
俺たちは、「分かたれし者たち」……「繋がりし者たち」と違って、奴らの意思は聞こえない。だから、奴らの考えもわからない……シシシシシ。									俺たちは、「分かたれし者たち」……「繋がりし者たち」と違って、奴らの意思は聞こえない。だから、奴らの考えもわからない……シシシシシ。	グナース族の神
シシシシシ……気前のいい狩人たちよ。「神」に会えば、魂を取られてしまうのだぞ？魂を差し出そうとは、まったく気前がよすぎるというものだ。									シシシシシ……気前のいい狩人たちよ。「神」に会えば、魂を取られてしまうのだぞ？魂を差し出そうとは、まったく気前がよすぎるというものだ。	グナース族の神
シシシシシ……気前のいい狩人たちよ。「神」に会えば、魂を取られてしまうのだぞ？魂を差し出そうとは、まったく気前がよすぎるというものだ。									シシシシシ……気前のいい狩人たちよ。「神」に会えば、魂を取られてしまうのだぞ？魂を差し出そうとは、まったく気前がよすぎるというものだ。	グナース族の神
神を呼び降ろしたという「繋がりし者たち」に、接近する方法はないのだろうか？									神を呼び降ろしたという「繋がりし者たち」に、接近する方法はないのだろうか？	グナース族の神
彼らの話し方は、回りくどくてわかりにくいな。いったい、どのような信仰を持っているというのか……。									彼らの話し方は、回りくどくてわかりにくいな。いったい、どのような信仰を持っているというのか……。	グナース族の神
何だって自分たちの「神」であるはずの蛮神について、こいつらは、ここまで無知なんだ？									何だって自分たちの「神」であるはずの蛮神について、こいつらは、ここまで無知なんだ？	グナース族の神
シシシシシ……お前たちが、とびきり気前のいい狩人か。だが、俺はまだ分け前を貰ってはいないぞ？ひとつ……ひとつでいい。									シシシシシ……お前たちが、とびきり気前のいい狩人か。だが、俺はまだ分け前を貰ってはいないぞ？ひとつ……ひとつでいい。	グナース族の神
「幼体ナンカの肉」ひとつで手を打つぞ、狩人よ。「リバー・ナンカ」を倒して、取ってくるがいい。そしたら、話を聞かせてやろう……話をな。									「幼体ナンカの肉」ひとつで手を打つぞ、狩人よ。「リバー・ナンカ」を倒して、取ってくるがいい。そしたら、話を聞かせてやろう……話をな。	グナース族の神
「幼体ナンカの肉」ひとつで手を打つぞ、狩人よ。「リバー・ナンカ」を倒して、取ってくるがいい。そしたら、話を聞かせてやろう……話をな。									「幼体ナンカの肉」ひとつで手を打つぞ、狩人よ。「リバー・ナンカ」を倒して、取ってくるがいい。そしたら、話を聞かせてやろう……話をな。	グナース族の神
どうやら、彼らグナース族には、元々、個人名という概念がなかったらしい。人をマネて、適当な名前を名乗っているようだ。									どうやら、彼らグナース族には、元々、個人名という概念がなかったらしい。人をマネて、適当な名前を名乗っているようだ。	グナース族の神
おいおい、それのどこが信仰に関する情報なんだ？と言っても、こっちにも収穫はないんだが……。									おいおい、それのどこが信仰に関する情報なんだ？と言っても、こっちにも収穫はないんだが……。	グナース族の神
グナース族と話していると、何だか、頭が痛くなってくるな……。									グナース族と話していると、何だか、頭が痛くなってくるな……。	グナース族の神
シシシシシ……。求めているのは「幼体ナンカの肉」。用意できているのか、気前のいい狩人よ。									シシシシシ……。求めているのは「幼体ナンカの肉」。用意できているのか、気前のいい狩人よ。	グナース族の神
シシシシシ……本当に気前のいい狩人だな！よし、話を聞かせてやろう……話をな。									シシシシシ……本当に気前のいい狩人だな！よし、話を聞かせてやろう……話をな。	グナース族の神
いいか、「繋ぎ止めし者」によって意思を繋げられた、「繋がりし者たち」は、同じ物を見、同じ思いを抱くのよ。									いいか、「繋ぎ止めし者」によって意思を繋げられた、「繋がりし者たち」は、同じ物を見、同じ思いを抱くのよ。	グナース族の神
ひとりが見れば、百の同胞が見たも同じ。ひとりが怒れば、千の同胞が怒るのも同じ……。見つからずに神のもとに近づくなど、無理というものよ！									ひとりが見れば、百の同胞が見たも同じ。ひとりが怒れば、千の同胞が怒るのも同じ……。見つからずに神のもとに近づくなど、無理というものよ！	グナース族の神
いいか、「繋ぎ止めし者」によって意思を繋げられた、「繋がりし者たち」は、同じ物を見、同じ思いを抱くのよ。									いいか、「繋ぎ止めし者」によって意思を繋げられた、「繋がりし者たち」は、同じ物を見、同じ思いを抱くのよ。	グナース族の神
ひとりが見れば、百の同胞が見たも同じ。ひとりが怒れば、千の同胞が怒るのも同じ……。見つからずに神のもとに近づくなど、無理というものよ！									ひとりが見れば、百の同胞が見たも同じ。ひとりが怒れば、千の同胞が怒るのも同じ……。見つからずに神のもとに近づくなど、無理というものよ！	グナース族の神
考えていることが、仲間に筒抜けとはな。まったく、ゾッとするぜ……。									考えていることが、仲間に筒抜けとはな。まったく、ゾッとするぜ……。	グナース族の神
意思が繋がっているのが当然だとすると、話がわかりにくいのも、頷けるというものだ。そもそも話す必要がないという文化なのだから……。									意思が繋がっているのが当然だとすると、話がわかりにくいのも、頷けるというものだ。そもそも話す必要がないという文化なのだから……。	グナース族の神
彼らの話しぶりでは、いまいち要領を得ないが、少し、わかってきたことがある。									彼らの話しぶりでは、いまいち要領を得ないが、少し、わかってきたことがある。	グナース族の神
どうやらグナース族は、「繋ぎ止めし者」という「王」のような存在を中心に、言葉によらず、意思の疎通を図ることができるようだ。									どうやらグナース族は、「繋ぎ止めし者」という「王」のような存在を中心に、言葉によらず、意思の疎通を図ることができるようだ。	グナース族の神
それがコロニーに棲む多数派の「繋がりし者たち」であり、彼らの総意に基づいて、神降ろしが行われた……。									それがコロニーに棲む多数派の「繋がりし者たち」であり、彼らの総意に基づいて、神降ろしが行われた……。	グナース族の神
だが、ここに棲む「分かたれし者たち」は、何らかの事情で、意思を繋げることができないようだ。だからこそ、「繋がりし者たち」の考えを理解していない……。									だが、ここに棲む「分かたれし者たち」は、何らかの事情で、意思を繋げることができないようだ。だからこそ、「繋がりし者たち」の考えを理解していない……。	グナース族の神
なるほどな……。こいつらが、自分たちの神であるはずの蛮神について、意外なほどに無知なのは、そのためか……。									なるほどな……。こいつらが、自分たちの神であるはずの蛮神について、意外なほどに無知なのは、そのためか……。	グナース族の神
しかし、こうも言っていたぞ。領地を侵して捕らえられれば、必ずや生け贄として、神に差し出されることになるとな……。									しかし、こうも言っていたぞ。領地を侵して捕らえられれば、必ずや生け贄として、神に差し出されることになるとな……。	グナース族の神
ヴァスの塚のアルフィノは、危険な作戦を心配しているようだ。									ヴァスの塚のアルフィノは、危険な作戦を心配しているようだ。	危険な賭け
蛮神と戦うために、適度に暴れた後で、グナース族に捕まることになった。高地ドラヴァニアのグナースの塚にいる「グナースの雑兵」と話して討伐しよう。									蛮神と戦うために、適度に暴れた後で、グナース族に捕まることになった。高地ドラヴァニアのグナースの塚にいる「グナースの雑兵」と話して討伐しよう。	危険な賭け
襲いかかってきたグナースの雑兵たちを討伐した。グナースの塚付近の「イゼル」と話そう。									襲いかかってきたグナースの雑兵たちを討伐した。グナースの塚付近の「イゼル」と話そう。	危険な賭け
イゼルと話し、内部に侵入することになった。「グナースの塚」の中程で、グナース族を蹴散らして暴れよう。									イゼルと話し、内部に侵入することになった。「グナースの塚」の中程で、グナース族を蹴散らして暴れよう。	危険な賭け
グナース族を蹴散らして、存分に暴れた。グナースの塚の奥の「指定地点」で待機し、イゼルと合流しよう。									グナース族を蹴散らして、存分に暴れた。グナースの塚の奥の「指定地点」で待機し、イゼルと合流しよう。	危険な賭け
イゼルと合流した。暴れるのはもう十分、次はあえて捕まることとなるが……。									イゼルと合流した。暴れるのはもう十分、次はあえて捕まることとなるが……。	危険な賭け
グナースの雑兵と話して討伐									グナースの雑兵と話して討伐	危険な賭け
イゼルと話す									イゼルと話す	危険な賭け
グナースの塚の中程で暴れる									グナースの塚の中程で暴れる	危険な賭け
指定地点で待機してイゼルと合流									指定地点で待機してイゼルと合流	危険な賭け
グナース族の蛮神と戦う方法……あえてグナース族の領地を侵犯し、生け贄として、蛮神の前に引きずりだされるのを待つ……危険な賭けになるな。									グナース族の蛮神と戦う方法……あえてグナース族の領地を侵犯し、生け贄として、蛮神の前に引きずりだされるのを待つ……危険な賭けになるな。	危険な賭け
私は異存ない。Forenameも、無茶は慣れたものだろう？									私は異存ない。Forenameも、無茶は慣れたものだろう？	危険な賭け
今でも覚えているぞ。「シヴァ」召喚を止めようと乗り込んできた日のことを……。……すまないが、私の無茶にも付き合ってくれ。									今でも覚えているぞ。「シヴァ」召喚を止めようと乗り込んできた日のことを……。……すまないが、私の無茶にも付き合ってくれ。	危険な賭け
悪いな、Forename。「竜の眼」の力とて、蛮神の祝福の前には役に立たない。足手まといにならぬよう、アルフィノと帰りを待たせてもらう。									悪いな、Forename。「竜の眼」の力とて、蛮神の祝福の前には役に立たない。足手まといにならぬよう、アルフィノと帰りを待たせてもらう。	危険な賭け
よし、「グナースの塚」に赴き、番兵に接触しよう。戦いとなれば、適度に暴れつつ、頃合いを見計らって投降して、虜囚となるぞ。									よし、「グナースの塚」に赴き、番兵に接触しよう。戦いとなれば、適度に暴れつつ、頃合いを見計らって投降して、虜囚となるぞ。	危険な賭け
エスティニアン殿の言葉で、自分の傲慢さを思い知らされた。いつの間にか、君に頼ることが当たり前になっていたんだな……。Forename、無事の帰りを待っているよ。									エスティニアン殿の言葉で、自分の傲慢さを思い知らされた。いつの間にか、君に頼ることが当たり前になっていたんだな……。Forename、無事の帰りを待っているよ。	危険な賭け
悪いな、Forename。「竜の眼」の力とて、蛮神の祝福の前には役に立たない。足手まといにならぬよう、アルフィノと帰りを待たせてもらう。									悪いな、Forename。「竜の眼」の力とて、蛮神の祝福の前には役に立たない。足手まといにならぬよう、アルフィノと帰りを待たせてもらう。	危険な賭け
なるほどな……。こいつらが、自分たちの神であるはずの蛮神について、意外なほどに無知なのは、そのためか……。									なるほどな……。こいつらが、自分たちの神であるはずの蛮神について、意外なほどに無知なのは、そのためか……。	危険な賭け
しかし、こうも言っていたぞ。領地を侵して捕らえられれば、必ずや生け贄として、神に差し出されることになるとな……。									しかし、こうも言っていたぞ。領地を侵して捕らえられれば、必ずや生け贄として、神に差し出されることになるとな……。	危険な賭け
シシシシシ……ここは我らグナースの地！それを知っての狼藉か！集え、集え、同胞たちよ！！									シシシシシ……ここは我らグナースの地！それを知っての狼藉か！集え、集え、同胞たちよ！！	危険な賭け
グナース族は、領土を侵されることに対し、過敏なほどに反応する。……慎重に行くぞ。									グナース族は、領土を侵されることに対し、過敏なほどに反応する。……慎重に行くぞ。	危険な賭け
さすがだな、ああも簡単に蹴散らしてしまうとは……。よし、このまま内部に侵入し、適度に暴れるぞ。後ほど、奥で合流するとしよう！									さすがだな、ああも簡単に蹴散らしてしまうとは……。よし、このまま内部に侵入し、適度に暴れるぞ。後ほど、奥で合流するとしよう！	危険な賭け
シシシシシ…侵入者をコロせ！									シシシシシ…侵入者をコロせ！	危険な賭け
この辺りは、任せておいてくれ。Forenameは、このまま奥へ向かえ！									この辺りは、任せておいてくれ。Forenameは、このまま奥へ向かえ！	危険な賭け
ふふふ、なかなかの侵入者ぶりだな。これで、連中の目を引きつけられたはずだ。									ふふふ、なかなかの侵入者ぶりだな。これで、連中の目を引きつけられたはずだ。	危険な賭け
さあ、いよいよだ……。グナース族に捕まれば、その後は出たとこ勝負になる。覚悟が決まったら、声をかけてくれ。									さあ、いよいよだ……。グナース族に捕まれば、その後は出たとこ勝負になる。覚悟が決まったら、声をかけてくれ。	危険な賭け
グナースの塚のイゼルは、冒険者の覚悟を確認したいようだ。									グナースの塚のイゼルは、冒険者の覚悟を確認したいようだ。	武神降臨
いよいよグナース族に投降することとなった。グナースの塚のイゼルとともに、グナース族に捕まろう。									いよいよグナース族に投降することとなった。グナースの塚のイゼルとともに、グナース族に捕まろう。	武神降臨
グナース族に、供物穴へと連行された。ここにグナース族の降ろした蛮神がいるのだろうか？供物穴の奥の部屋へ向かおう。外で準備を整えたい場合は、供物穴の北側を流れる川の付近から、高地ドラヴァニアに出入りできるようだ。									グナース族に、供物穴へと連行された。ここにグナース族の降ろした蛮神がいるのだろうか？供物穴の奥の部屋へ向かおう。外で準備を整えたい場合は、供物穴の北側を流れる川の付近から、高地ドラヴァニアに出入りできるようだ。	武神降臨
グナース族が武神と崇める、蛮神「ラーヴァナ」が現れた。イゼルは、自分たちが勝ったならドラゴン族への攻撃をやめる約束を取りつけると、シヴァを呼び降ろして蛮神「ラーヴァナ」に挑んだ。しかし、シヴァは敗北してしまった。次は冒険者が戦う番だ。蛮神「ラーヴァナ」を討滅しよう。※コンテンツファインダーから攻略に参加できます。									グナース族が武神と崇める、蛮神「ラーヴァナ」が現れた。イゼルは、自分たちが勝ったならドラゴン族への攻撃をやめる約束を取りつけると、シヴァを呼び降ろして蛮神「ラーヴァナ」に挑んだ。しかし、シヴァは敗北してしまった。次は冒険者が戦う番だ。蛮神「ラーヴァナ」を討滅しよう。※コンテンツファインダーから攻略に参加できます。	武神降臨
蛮神「ラーヴァナ」の討滅に成功した。供物穴を出て、高地ドラヴァニアに戻ろう。									蛮神「ラーヴァナ」の討滅に成功した。供物穴を出て、高地ドラヴァニアに戻ろう。	武神降臨
高地ドラヴァニアに戻った。高地ドラヴァニアのグナースの塚付近にいる「イゼル」と話そう。									高地ドラヴァニアに戻った。高地ドラヴァニアのグナースの塚付近にいる「イゼル」と話そう。	武神降臨
イゼルと話した。高地ドラヴァニアのヴァスの塚にいる「アルフィノ」と話そう。									イゼルと話した。高地ドラヴァニアのヴァスの塚にいる「アルフィノ」と話そう。	武神降臨
アルフィノ、エスティニアンと合流した。ヴィゾーヴニルに、蛮神「ラーヴァナ」の討滅成功を報告することができそうだ。									アルフィノ、エスティニアンと合流した。ヴィゾーヴニルに、蛮神「ラーヴァナ」の討滅成功を報告することができそうだ。	武神降臨
グナース族に連行される									グナース族に連行される	武神降臨
供物穴の奥の部屋に向かう									供物穴の奥の部屋に向かう	武神降臨
蛮神「ラーヴァナ」を討伐									蛮神「ラーヴァナ」を討伐	武神降臨
イゼルと話す									イゼルと話す	武神降臨
アルフィノと話す									アルフィノと話す	武神降臨
ふふふ、いい目つきをする……。よし、準備はいいな？									ふふふ、いい目つきをする……。よし、準備はいいな？	武神降臨
そろそろ頃合いか……。次に囲まれたら、投降するぞ。									そろそろ頃合いか……。次に囲まれたら、投降するぞ。	武神降臨
(-グナース族たち-)グナースの地を侵す者たちめ！降伏せよ、降伏せよ！									(-グナース族たち-)グナースの地を侵す者たちめ！降伏せよ、降伏せよ！	武神降臨
