石の家のアルフィノは、考え込んでいるようだ。									石の家のアルフィノは、考え込んでいるようだ。	長城を越えて
そもそも、あれらの兵器を壊したのは誰だ？反乱だなんだと企ててきた、貴様らドマ人だろうが！									そもそも、あれらの兵器を壊したのは誰だ？反乱だなんだと企ててきた、貴様らドマ人だろうが！	終わらぬ狼藉
わかったら、粛々と働くことだな。兵器が直らなければ、海賊衆ら野蛮な反乱分子から、貴様らの故郷を守ってやれないかもしれんぞ？									わかったら、粛々と働くことだな。兵器が直らなければ、海賊衆ら野蛮な反乱分子から、貴様らの故郷を守ってやれないかもしれんぞ？	終わらぬ狼藉
こいつらも、奥に連れていけ。私は、ほかに大事な任務があるゆえ、城に戻る。									こいつらも、奥に連れていけ。私は、ほかに大事な任務があるゆえ、城に戻る。	終わらぬ狼藉
おのれ……あれはもはや約定とは呼べぬ！いくらでも方便を利かせ、彼らを死ぬまで閉じ込めておけるではないか……！									おのれ……あれはもはや約定とは呼べぬ！いくらでも方便を利かせ、彼らを死ぬまで閉じ込めておけるではないか……！	終わらぬ狼藉
村人たちがメインタワーに転送されれば、救出は困難となる。多少無茶でも、今、彼らを助けたい……。									村人たちがメインタワーに転送されれば、救出は困難となる。多少無茶でも、今、彼らを助けたい……。	終わらぬ狼藉
感謝する。では、このまま救出作戦に移行しよう……！									感謝する。では、このまま救出作戦に移行しよう……！	終わらぬ狼藉
カストルム・フルーミニスのユウギリは、徴集されたドマの民を救出したいようだ。									カストルム・フルーミニスのユウギリは、徴集されたドマの民を救出したいようだ。	カストルム・フルーミニスに躍る
指定地点で見渡す									指定地点で見渡す	カストルム・フルーミニスに躍る
ユウギリと話す									ユウギリと話す	カストルム・フルーミニスに躍る
眠っている帝国兵から装備を入手									眠っている帝国兵から装備を入手	カストルム・フルーミニスに躍る
ユウギリと話す									ユウギリと話す	カストルム・フルーミニスに躍る
帝国兵に変装して監視役に「帝国式敬礼」をする									帝国兵に変装して監視役に「帝国式敬礼」をする	カストルム・フルーミニスに躍る
ユウギリと話す									ユウギリと話す	カストルム・フルーミニスに躍る
徴集されてきた民衆を救助									徴集されてきた民衆を救助	カストルム・フルーミニスに躍る
これより、民の救出を開始する。彼らの安全を確保することが第一だが、ここで帝国軍に感づかれては、貴殿たちの苦労が水の泡だ。									これより、民の救出を開始する。彼らの安全を確保することが第一だが、ここで帝国軍に感づかれては、貴殿たちの苦労が水の泡だ。	カストルム・フルーミニスに躍る
よって、細心の注意を払って侵入し、敵に気付かれることなく、作戦を遂行したい。									よって、細心の注意を払って侵入し、敵に気付かれることなく、作戦を遂行したい。	カストルム・フルーミニスに躍る
まずは私が、入口付近の兵を沈黙させてこよう。貴殿はその間、交代の兵などがやってこないか、外を見張っていてほしい……頼むぞ。									まずは私が、入口付近の兵を沈黙させてこよう。貴殿はその間、交代の兵などがやってこないか、外を見張っていてほしい……頼むぞ。	カストルム・フルーミニスに躍る
あたりに帝国兵の影はない……。ユウギリと合流しても問題なさそうだ。									あたりに帝国兵の影はない……。ユウギリと合流しても問題なさそうだ。	カストルム・フルーミニスに躍る
ぐー……ぐー……。									ぐー……ぐー……。	カストルム・フルーミニスに躍る
…………。									…………。	カストルム・フルーミニスに躍る
すぴー……。									すぴー……。	カストルム・フルーミニスに躍る
シッ、静かに……。外の方は、どうだった？									シッ、静かに……。外の方は、どうだった？	カストルム・フルーミニスに躍る
……なるほど。それなら、余計な心配をせずにすむ。的確な偵察、ありがたい。									……なるほど。それなら、余計な心配をせずにすむ。的確な偵察、ありがたい。	カストルム・フルーミニスに躍る
私の方は、そこの3人を眠らせて排除した。しかし、広場の方に、障害となりそうな兵が数名いるのだ。開けた場所となると、隠密に事を運ぶのが難しい……。									私の方は、そこの3人を眠らせて排除した。しかし、広場の方に、障害となりそうな兵が数名いるのだ。開けた場所となると、隠密に事を運ぶのが難しい……。	カストルム・フルーミニスに躍る
そこで、貴殿に頼みたいことがある。帝国兵に変装して、広場にいる連中に、交代だと声をかけてきてくれぬだろうか？									そこで、貴殿に頼みたいことがある。帝国兵に変装して、広場にいる連中に、交代だと声をかけてきてくれぬだろうか？	カストルム・フルーミニスに躍る
装備は、転がっている帝国兵から、貴殿の体格に近い者を選んで拝借すればいい。……着られそうなものはあるだろうか？									装備は、転がっている帝国兵から、貴殿の体格に近い者を選んで拝借すればいい。……着られそうなものはあるだろうか？	カストルム・フルーミニスに躍る
休憩の最中だったらしく、一部の装備を身に着けていないのだが……ひとまず、貴殿の体格に近そうなものを選んでくれ。									休憩の最中だったらしく、一部の装備を身に着けていないのだが……ひとまず、貴殿の体格に近そうなものを選んでくれ。	カストルム・フルーミニスに躍る
ちょうどよさそうなサイズの装備だ……。									ちょうどよさそうなサイズの装備だ……。	カストルム・フルーミニスに躍る
かなり大きな装備だが、部分的に調節すれば、着ることができそうだ……。									かなり大きな装備だが、部分的に調節すれば、着ることができそうだ……。	カストルム・フルーミニスに躍る
少し大きな装備だが、部分的に調節すれば、着ることができそうだ……。									少し大きな装備だが、部分的に調節すれば、着ることができそうだ……。	カストルム・フルーミニスに躍る
こんなに大きな装備を着たら、歩くこともできない！									こんなに大きな装備を着たら、歩くこともできない！	カストルム・フルーミニスに躍る
この装備は、大きすぎるようだ……。									この装備は、大きすぎるようだ……。	カストルム・フルーミニスに躍る
ちょうどよさそうなサイズの装備だ……。									ちょうどよさそうなサイズの装備だ……。	カストルム・フルーミニスに躍る
こんなに小さな装備を着たら、はち切れてしまいそうだ！									こんなに小さな装備を着たら、はち切れてしまいそうだ！	カストルム・フルーミニスに躍る
この装備は、小さすぎるようだ……。									この装備は、小さすぎるようだ……。	カストルム・フルーミニスに躍る
この装備は、小さすぎるようだ……。									この装備は、小さすぎるようだ……。	カストルム・フルーミニスに躍る
この装備は、とても窮屈そうだ……。もう少し大きめの方がいいかもしれない。									この装備は、とても窮屈そうだ……。もう少し大きめの方がいいかもしれない。	カストルム・フルーミニスに躍る
この装備は、大きすぎるようだ……。									この装備は、大きすぎるようだ……。	カストルム・フルーミニスに躍る
丈がやや苦しいが、この装備なら着られるかもしれない……。									丈がやや苦しいが、この装備なら着られるかもしれない……。	カストルム・フルーミニスに躍る
ちょうどよさそうなサイズの装備だ……。									ちょうどよさそうなサイズの装備だ……。	カストルム・フルーミニスに躍る
「LV式上衣」と、「LV式長袴」と、「LV式長靴」を手に入れた！									「LV式上衣」と、「LV式長袴」と、「LV式長靴」を手に入れた！	カストルム・フルーミニスに躍る
おお、よい装備が見つかったのだな！									おお、よい装備が見つかったのだな！	カストルム・フルーミニスに躍る
では、万が一にも騒ぎを起こされないように、彼らを隠しておくとしよう。									では、万が一にも騒ぎを起こされないように、彼らを隠しておくとしよう。	カストルム・フルーミニスに躍る
待たせたな……。眠らせた帝国兵たちを、兵舎の中に隠してきた。ついでに、足りなかった装備を集めてきたぞ。									待たせたな……。眠らせた帝国兵たちを、兵舎の中に隠してきた。ついでに、足りなかった装備を集めてきたぞ。	カストルム・フルーミニスに躍る
ユウギリが集めてきた装備品が入っているようだ……。									ユウギリが集めてきた装備品が入っているようだ……。	カストルム・フルーミニスに躍る
ユウギリが集めてきた装備品が入っているようだ……。									ユウギリが集めてきた装備品が入っているようだ……。	カストルム・フルーミニスに躍る
貴殿のおおよそのサイズがわかったのでな、足りなかった「LV式鉄兜」と、「LV式手甲」も兵舎から拝借してきた。									貴殿のおおよそのサイズがわかったのでな、足りなかった「LV式鉄兜」と、「LV式手甲」も兵舎から拝借してきた。	カストルム・フルーミニスに躍る
これで、帝国兵に変装するための、5つの装備がそろったはずだ。									これで、帝国兵に変装するための、5つの装備がそろったはずだ。	カストルム・フルーミニスに躍る
それらを身に着け、広場にいる兵士2名に、「帝国式敬礼」をして、交代だと告げてきてくれ。彼らが引っ込んだところを、私が眠らせよう。									それらを身に着け、広場にいる兵士2名に、「帝国式敬礼」をして、交代だと告げてきてくれ。彼らが引っ込んだところを、私が眠らせよう。	カストルム・フルーミニスに躍る
LV式鉄兜、LV式上衣、LV式手甲、LV式長袴、LV式長靴を身に着け、変装してくれ。									LV式鉄兜、LV式上衣、LV式手甲、LV式長袴、LV式長靴を身に着け、変装してくれ。	カストルム・フルーミニスに躍る
そして、広場にいる兵士2名に、「帝国式敬礼」をして、交代だと告げてきてほしい。									そして、広場にいる兵士2名に、「帝国式敬礼」をして、交代だと告げてきてほしい。	カストルム・フルーミニスに躍る
もし装備をなくしてしまったのであれば、いくらかは予備を取ってきてある。そこの袋から、合うものを持っていってくれ。									もし装備をなくしてしまったのであれば、いくらかは予備を取ってきてある。そこの袋から、合うものを持っていってくれ。	カストルム・フルーミニスに躍る
予備の「LV式上衣」と「LV式長袴」と、「LV式長靴」が入っているようだ……。									予備の「LV式上衣」と「LV式長袴」と、「LV式長靴」が入っているようだ……。	カストルム・フルーミニスに躍る
足りない装備を補充した！									足りない装備を補充した！	カストルム・フルーミニスに躍る
予備の「LV式鉄兜」と、「LV式手甲」が入っているようだ……。									予備の「LV式鉄兜」と、「LV式手甲」が入っているようだ……。	カストルム・フルーミニスに躍る
おい、勝手に入りこんだな！？突き出されたくなければ、とっとと立ち去れ！									おい、勝手に入りこんだな！？突き出されたくなければ、とっとと立ち去れ！	カストルム・フルーミニスに躍る
ほう、見かけない顔だが……新人か？									ほう、見かけない顔だが……新人か？	カストルム・フルーミニスに躍る
……お前、着任して日が浅いのか？ぬるい辺境だと思っておふざけがすぎると、首が飛ぶぞ。									……お前、着任して日が浅いのか？ぬるい辺境だと思っておふざけがすぎると、首が飛ぶぞ。	カストルム・フルーミニスに躍る
なに、交代か。聞いていたより少し早いが、村人の転送の都合もあろう……。ありがたく、休憩させていただこう。									なに、交代か。聞いていたより少し早いが、村人の転送の都合もあろう……。ありがたく、休憩させていただこう。	カストルム・フルーミニスに躍る
イタズラならよそでやりな。ここは、物見遊山で入る場所じゃないよ。									イタズラならよそでやりな。ここは、物見遊山で入る場所じゃないよ。	カストルム・フルーミニスに躍る
あんた、どうしてフラフラ歩き回ってるんだい？持ち場に戻りな。									あんた、どうしてフラフラ歩き回ってるんだい？持ち場に戻りな。	カストルム・フルーミニスに躍る
うん？　何が言いたいんだ？									うん？　何が言いたいんだ？	カストルム・フルーミニスに躍る
ああ交代だね、助かるよ。現地人の不幸面は、何度見ても複雑な気分になるもんでね。									ああ交代だね、助かるよ。現地人の不幸面は、何度見ても複雑な気分になるもんでね。	カストルム・フルーミニスに躍る
…………。									…………。	カストルム・フルーミニスに躍る
すぅ……すぅ……。									すぅ……すぅ……。	カストルム・フルーミニスに躍る
鮮やかな誘導、お見事だ。おかげで、下がってきたこいつらを奇襲できた。結果は……このとおりだ。									鮮やかな誘導、お見事だ。おかげで、下がってきたこいつらを奇襲できた。結果は……このとおりだ。	カストルム・フルーミニスに躍る
これで、監視役の帝国兵はいなくなった。貴殿も、もはや変装の必要はない。									これで、監視役の帝国兵はいなくなった。貴殿も、もはや変装の必要はない。	カストルム・フルーミニスに躍る
さあ、今なら、基地の奥に集められている皆を逃せる。急ぎ向かって、誘導しよう！									さあ、今なら、基地の奥に集められている皆を逃せる。急ぎ向かって、誘導しよう！	カストルム・フルーミニスに躍る
急ぎ、奥の高台へ！集められた皆を逃がそう……！									急ぎ、奥の高台へ！集められた皆を逃がそう……！	カストルム・フルーミニスに躍る
カストルム・フルーミニスのユウギリは、深く考え込んでいるようだ。									カストルム・フルーミニスのユウギリは、深く考え込んでいるようだ。	ユウギリの心
監視役の十人隊長を持ち上げる									監視役の十人隊長を持ち上げる	ユウギリの心
指定地点に監視役の十人隊長を置く									指定地点に監視役の十人隊長を置く	ユウギリの心
監視役の十人隊長に忘却粉を使う									監視役の十人隊長に忘却粉を使う	ユウギリの心
監視役の帝国兵を持ち上げる									監視役の帝国兵を持ち上げる	ユウギリの心
指定地点に監視役の帝国兵を置く									指定地点に監視役の帝国兵を置く	ユウギリの心
監視役の帝国兵に忘却粉を使う									監視役の帝国兵に忘却粉を使う	ユウギリの心
ユウギリを探す									ユウギリを探す	ユウギリの心
烈士庵のユウギリと話す									烈士庵のユウギリと話す	ユウギリの心
…………。									…………。	ユウギリの心
すぅ……すぅ……。									すぅ……すぅ……。	ユウギリの心
………………。									………………。	ユウギリの心
ああ、呆けてしまって申し訳ない。貴殿もやりきれない気持ちはあろうが、私に免じて、どうか彼らを許してやってはくれないか。									ああ、呆けてしまって申し訳ない。貴殿もやりきれない気持ちはあろうが、私に免じて、どうか彼らを許してやってはくれないか。	ユウギリの心
立ち上がれないという結果ばかりをみて、私はつい、本質を取り違えていたらしい。ドマの皆は、きっとまだ……今も……。									立ち上がれないという結果ばかりをみて、私はつい、本質を取り違えていたらしい。ドマの皆は、きっとまだ……今も……。	ユウギリの心
ともかく、目的は達成だ。あとは、痕跡を消して立ち去るのみ。									ともかく、目的は達成だ。あとは、痕跡を消して立ち去るのみ。	ユウギリの心
貴殿に、新たな忍び道具を渡そう。「忘却粉」……しばし記憶を混濁させる秘薬だ。									貴殿に、新たな忍び道具を渡そう。「忘却粉」……しばし記憶を混濁させる秘薬だ。	ユウギリの心
眠らせた者を、適当な配置につかせてこの薬をかければ、目覚めたときには、見張り中にうたた寝した程度に思おう。いずれは事実に気づこうが、一時を凌ぐには十分だ。									眠らせた者を、適当な配置につかせてこの薬をかければ、目覚めたときには、見張り中にうたた寝した程度に思おう。いずれは事実に気づこうが、一時を凌ぐには十分だ。	ユウギリの心
貴殿は、さきほど眠らせたばかりの2人に処置を。それ以外の者は、私が受け持とう。……では、終わったらまた！									貴殿は、さきほど眠らせたばかりの2人に処置を。それ以外の者は、私が受け持とう。……では、終わったらまた！	ユウギリの心
うーん…………ぐぅ……ぐぅ……。									うーん…………ぐぅ……ぐぅ……。	ユウギリの心
すー……すー……。今日も、頑張って…………すー……。									すー……すー……。今日も、頑張って…………すー……。	ユウギリの心
よし、貴殿も戻ってくれたな。さっそく、中で状況を確認するとしよう。									よし、貴殿も戻ってくれたな。さっそく、中で状況を確認するとしよう。	ユウギリの心
烈士庵のゴウセツは、ぶっきらぼうに佇んでいる。									烈士庵のゴウセツは、ぶっきらぼうに佇んでいる。	互いの往く道
玄水連山でユウギリを探す									玄水連山でユウギリを探す	互いの往く道
ユヅカ代官屋敷付近でユウギリと合流									ユヅカ代官屋敷付近でユウギリと合流	互いの往く道
……拙者はユウギリを追わぬぞ。主の言葉や、もろもろのありさまを鑑みれば、ゼノスの暗殺に振るう刀はないゆえな。									……拙者はユウギリを追わぬぞ。主の言葉や、もろもろのありさまを鑑みれば、ゼノスの暗殺に振るう刀はないゆえな。	互いの往く道
だが、それは拙者の道理にござる。おぬしがユウギリにつくことで何かが果たせるというなら、信ずるとおりになされよ。									だが、それは拙者の道理にござる。おぬしがユウギリにつくことで何かが果たせるというなら、信ずるとおりになされよ。	互いの往く道
ユウギリはまず、暗殺のための情報収集と下見にかかるはず。今から探せば、遠からぬところで見つけられよう。									ユウギリはまず、暗殺のための情報収集と下見にかかるはず。今から探せば、遠からぬところで見つけられよう。	互いの往く道
暗殺を無理と申しているのではござらん。ただ、拙者が主の言葉から感じ取った核心は、別にあるということでござる。									暗殺を無理と申しているのではござらん。ただ、拙者が主の言葉から感じ取った核心は、別にあるということでござる。	互いの往く道
Forename殿……もしや、ゴウセツに言われて私を止めに？									Forename殿……もしや、ゴウセツに言われて私を止めに？	互いの往く道
ち、ちがったか……勘繰ってすまない。あの様子では、誰にも賛同されまいと思っていたのでな……。									ち、ちがったか……勘繰ってすまない。あの様子では、誰にも賛同されまいと思っていたのでな……。	互いの往く道
だが、勝算はあるのだ。たった今も、ドマ城内に潜り込んでいる同胞から、ゼノスの動向について伝書があったところでな。									だが、勝算はあるのだ。たった今も、ドマ城内に潜り込んでいる同胞から、ゼノスの動向について伝書があったところでな。	互いの往く道
ドマ城に到着したゼノスは、想定されていた予定に反し、早々にも今夜、大龍壁のこちら側を視察にくるらしい。									ドマ城に到着したゼノスは、想定されていた予定に反し、早々にも今夜、大龍壁のこちら側を視察にくるらしい。	互いの往く道
実利主義なあやつのこと、無為な時間はいっときでも過ごしたくないというところか。おかげで、城内は準備にてんてこまいだそうだ。									実利主義なあやつのこと、無為な時間はいっときでも過ごしたくないというところか。おかげで、城内は準備にてんてこまいだそうだ。	互いの往く道
……宵闇のおちるころ、しかも急造の護衛部隊だけを連れての視察とあれば、暗殺には、またとない好機だ。									……宵闇のおちるころ、しかも急造の護衛部隊だけを連れての視察とあれば、暗殺には、またとない好機だ。	互いの往く道
何と言う？									何と言う？	互いの往く道
計画に協力しよう									計画に協力しよう	互いの往く道
ユウギリだけで倒せるののか？									ユウギリだけで倒せるののか？	互いの往く道
その申し出はありがたいが、もし失敗すれば、死はまぬがれられない任務だ。貴殿をつきあわせるわけには…………									その申し出はありがたいが、もし失敗すれば、死はまぬがれられない任務だ。貴殿をつきあわせるわけには…………	互いの往く道
……いや、ここにきて強がりはないな。もしも貴殿が、危険も覚悟の上でつきあってくれるのならば、それほど頼もしいことはないのだから。									……いや、ここにきて強がりはないな。もしも貴殿が、危険も覚悟の上でつきあってくれるのならば、それほど頼もしいことはないのだから。	互いの往く道
……本当に、よいのだろうか？									……本当に、よいのだろうか？	互いの往く道
……無論、不安がないわけではない。不意を狙うとはいえ、相手はあのゼノスだ。初撃で決着がつかねば、相討ちを狙っても倒せるかどうか……。									……無論、不安がないわけではない。不意を狙うとはいえ、相手はあのゼノスだ。初撃で決着がつかねば、相討ちを狙っても倒せるかどうか……。	互いの往く道
それでも成功すれば、民も主君も傷つけずに救えるのだ。私のちっぽけな命など、差し出すことになっても惜しくはない。									それでも成功すれば、民も主君も傷つけずに救えるのだ。私のちっぽけな命など、差し出すことになっても惜しくはない。	互いの往く道
ど、どうした？私はおかしなことを言っただろうか……！									ど、どうした？私はおかしなことを言っただろうか……！	互いの往く道
……もしや、その。貴殿も力を貸してくれると……そういう意味だと、解釈しても、よいのだろうか……？									……もしや、その。貴殿も力を貸してくれると……そういう意味だと、解釈しても、よいのだろうか……？	互いの往く道
ああ……ありがとう……！この恩は、いつか必ず返させていただく……！									ああ……ありがとう……！この恩は、いつか必ず返させていただく……！	互いの往く道
それでは、さっそく作戦の仔細を決めたい。想定されるゼノスの足取りに添って、話を進めるとしよう。									それでは、さっそく作戦の仔細を決めたい。想定されるゼノスの足取りに添って、話を進めるとしよう。	互いの往く道
少し距離があって申し訳ないが、ここより南西、無二江を渡った先にある、「ユヅカ代官屋敷」付近の船着場に向かおう。									少し距離があって申し訳ないが、ここより南西、無二江を渡った先にある、「ユヅカ代官屋敷」付近の船着場に向かおう。	互いの往く道
ああもう……！山菜を採りに来ただけなんだから、堂々としてればいいだろ。なんで隠れちゃったんだよ、俺……！									ああもう……！山菜を採りに来ただけなんだから、堂々としてればいいだろ。なんで隠れちゃったんだよ、俺……！	互いの往く道
けど……暗殺、って言ってたよな。あの皇太子ゼノスを……本気で……？									けど……暗殺、って言ってたよな。あの皇太子ゼノスを……本気で……？	互いの往く道
そんなの無茶だ、大馬鹿だっ！失敗したら今度こそ…………。									そんなの無茶だ、大馬鹿だっ！失敗したら今度こそ…………。	互いの往く道
待っていたぞ、Forename殿。それでは、作戦の相談をはじめよう。									待っていたぞ、Forename殿。それでは、作戦の相談をはじめよう。	互いの往く道
ユヅカ代官屋敷付近のユウギリは、作戦の仔細を確認したいようだ。									ユヅカ代官屋敷付近のユウギリは、作戦の仔細を確認したいようだ。	ゼノス暗殺計画
管轄地の視察をするため、ゼノスがドマにやってきた。この機に乗じて、ユウギリはゼノス暗殺を計画。ユヅカ代官屋敷の「指定地点」で見渡し、身をひそめる場所を探そう。									管轄地の視察をするため、ゼノスがドマにやってきた。この機に乗じて、ユウギリはゼノス暗殺を計画。ユヅカ代官屋敷の「指定地点」で見渡し、身をひそめる場所を探そう。	ゼノス暗殺計画
身をひそめるのに適した場所を見つけた。戦いの支度を整え、ユヅカ代官屋敷の「ユウギリ」と話そう。									身をひそめるのに適した場所を見つけた。戦いの支度を整え、ユヅカ代官屋敷の「ユウギリ」と話そう。	ゼノス暗殺計画
ユウギリとともに身をひそめ、ゼノス暗殺を実行した。腕を上げた冒険者は奮戦したものの、妖刀アメノハバキリを得たゼノスを仕留めることはできなかった。どうにか、ユヅカ代官屋敷付近から撤退しよう。									ユウギリとともに身をひそめ、ゼノス暗殺を実行した。腕を上げた冒険者は奮戦したものの、妖刀アメノハバキリを得たゼノスを仕留めることはできなかった。どうにか、ユヅカ代官屋敷付近から撤退しよう。	ゼノス暗殺計画
かけつけたドマの民や仲間たちとともに撤退することができた。東龍鱗橋付近の「アリゼー」と話そう。									かけつけたドマの民や仲間たちとともに撤退することができた。東龍鱗橋付近の「アリゼー」と話そう。	ゼノス暗殺計画
アリゼーと話した。どうやら、彼女と烈士庵へと到着したアルフィノが、救助隊を編成してくれたらしい。奇しくもゼノスの望みどおり、窮地から脱することはできたが、彼を討ち果たすには、まだ力をつける必要がありそうだ……。									アリゼーと話した。どうやら、彼女と烈士庵へと到着したアルフィノが、救助隊を編成してくれたらしい。奇しくもゼノスの望みどおり、窮地から脱することはできたが、彼を討ち果たすには、まだ力をつける必要がありそうだ……。	ゼノス暗殺計画
指定地点で見渡す									指定地点で見渡す	ゼノス暗殺計画
ユウギリと話す									ユウギリと話す	ゼノス暗殺計画
アリゼーと話す									アリゼーと話す	ゼノス暗殺計画
暗殺を無理と申しているのではござらん。ただ、拙者が主の言葉から感じ取った核心は、別にあるということでござる。									暗殺を無理と申しているのではござらん。ただ、拙者が主の言葉から感じ取った核心は、別にあるということでござる。	ゼノス暗殺計画
よし、ではまず、想定されているゼノスの移動経路についてだ。									よし、ではまず、想定されているゼノスの移動経路についてだ。	ゼノス暗殺計画
奴は船でドマ城を出発。魔導障壁を一部解除して航行し、この船着場に到着する予定らしい。									奴は船でドマ城を出発。魔導障壁を一部解除して航行し、この船着場に到着する予定らしい。	ゼノス暗殺計画
……しかし、見てのとおり、ここは開けていて暗殺には不向き。我々は、ゼノスが移動するのを待ち、「ユヅカ代官屋敷」付近で仕掛けるべきだ。									……しかし、見てのとおり、ここは開けていて暗殺には不向き。我々は、ゼノスが移動するのを待ち、「ユヅカ代官屋敷」付近で仕掛けるべきだ。	ゼノス暗殺計画
ゆえに、Forename殿……まずは、我々がひそむのによさそうな場所を探そう。手分けすれば、時間はそうかからぬはずだ。									ゆえに、Forename殿……まずは、我々がひそむのによさそうな場所を探そう。手分けすれば、時間はそうかからぬはずだ。	ゼノス暗殺計画
壁に囲まれ、ひっそりとした場所だ。身をひそめるのに適しているかもしれない……。									壁に囲まれ、ひっそりとした場所だ。身をひそめるのに適しているかもしれない……。	ゼノス暗殺計画
ここにいたか、Forename殿。									ここにいたか、Forename殿。	ゼノス暗殺計画
……ああ、よい場所だ。屋根の上から、船着場を見ることもできよう。									……ああ、よい場所だ。屋根の上から、船着場を見ることもできよう。	ゼノス暗殺計画
では、ここにひそんで機会を待つ……。ゼノスが到着したら、まずは私が仕掛けよう。									では、ここにひそんで機会を待つ……。ゼノスが到着したら、まずは私が仕掛けよう。	ゼノス暗殺計画
無論、初手必殺のつもりでいくが、どうなるかはわからない。貴殿は、適宜加勢を頼む。									無論、初手必殺のつもりでいくが、どうなるかはわからない。貴殿は、適宜加勢を頼む。	ゼノス暗殺計画
最悪、ゼノスと真っ向勝負になることも想定し、準備を整えておいてくれ。……私たちで、必ずやり遂げよう！									最悪、ゼノスと真っ向勝負になることも想定し、準備を整えておいてくれ。……私たちで、必ずやり遂げよう！	ゼノス暗殺計画
準備は万全だろうか？よければ、ここで息をひそめ、ゼノスの到着を待つとしよう。									準備は万全だろうか？よければ、ここで息をひそめ、ゼノスの到着を待つとしよう。	ゼノス暗殺計画
くっ……うっ…………。									くっ……うっ…………。	ゼノス暗殺計画
大丈夫かよ。水、しみたよな……。									大丈夫かよ。水、しみたよな……。	ゼノス暗殺計画
どうにか全員無事でござるな。ならば、よし。									どうにか全員無事でござるな。ならば、よし。	ゼノス暗殺計画
追手は……来ていないみたいね。あちらにも何か考えがあるんでしょうけれど、正直助かるわ。									追手は……来ていないみたいね。あちらにも何か考えがあるんでしょうけれど、正直助かるわ。	ゼノス暗殺計画
ああ、お礼ならアルフィノに言ってよね。あいつ、今は烈士庵で待ってるから。									ああ、お礼ならアルフィノに言ってよね。あいつ、今は烈士庵で待ってるから。	ゼノス暗殺計画
エーテライトの件で呼び寄せたんだけど、到着早々、あなたたちが暗殺にいったかもって知らされてね。青い顔して、救助隊を編成したのよ。									エーテライトの件で呼び寄せたんだけど、到着早々、あなたたちが暗殺にいったかもって知らされてね。青い顔して、救助隊を編成したのよ。	ゼノス暗殺計画
青い顔をしておったのは、おぬしも同じでござろう？ふたりそろって、鬼のごとき気迫でせまってきおって！									青い顔をしておったのは、おぬしも同じでござろう？ふたりそろって、鬼のごとき気迫でせまってきおって！	ゼノス暗殺計画
…………何にせよ。あなたもユウギリも、村の人たちも無事でよかった。一度おちついて、建て直しましょ。									…………何にせよ。あなたもユウギリも、村の人たちも無事でよかった。一度おちついて、建て直しましょ。	ゼノス暗殺計画
ゼノスを倒せ！									ゼノスを倒せ！	ゼノス暗殺計画
ゼノスの体力を削れ！									ゼノスの体力を削れ！	ゼノス暗殺計画
雑兵め、邪魔だッ！ゼノス……貴様を、ここで討つッ！									雑兵め、邪魔だッ！ゼノス……貴様を、ここで討つッ！	ゼノス暗殺計画
初撃すら決まらぬ者に興味はない。俺の獲物は……こちらの女男にするか。									初撃すら決まらぬ者に興味はない。俺の獲物は……こちらの女男にするか。	ゼノス暗殺計画
なんで来たんだか……。何者だか知らないが、愚かだねぇ……。									なんで来たんだか……。何者だか知らないが、愚かだねぇ……。	ゼノス暗殺計画
久方ぶりの狩りだ……。もう少しは、興じさせてくれような？									久方ぶりの狩りだ……。もう少しは、興じさせてくれような？	ゼノス暗殺計画
…………ハ。試し斬りをする程度の価値はあるようだ。									…………ハ。試し斬りをする程度の価値はあるようだ。	ゼノス暗殺計画
また遊びのつもりか！？許さない……主と同胞の仇は、私がッ！									また遊びのつもりか！？許さない……主と同胞の仇は、私がッ！	ゼノス暗殺計画
ぐああぁぁぁッ！									ぐああぁぁぁッ！	ゼノス暗殺計画
だめだ……私は、まだ…………。									だめだ……私は、まだ…………。	ゼノス暗殺計画
妖刀、アメノハバキリ……抜かせたお前に、褒美をやろう……！									妖刀、アメノハバキリ……抜かせたお前に、褒美をやろう……！	ゼノス暗殺計画
なんて力……ッ！巻き込まれちゃたまらないよ……！									なんて力……ッ！巻き込まれちゃたまらないよ……！	ゼノス暗殺計画
よく続いているが、面白みのない……。飽きた、終わりにするぞ。									よく続いているが、面白みのない……。飽きた、終わりにするぞ。	ゼノス暗殺計画
東龍鱗橋付近のイッセは、落ち着かない様子だ。									東龍鱗橋付近のイッセは、落ち着かない様子だ。	踏み出す一歩
イッセと話す									イッセと話す	踏み出す一歩
仲間たちと話す									仲間たちと話す	踏み出す一歩
アルフィノと話す									アルフィノと話す	踏み出す一歩
さて、みんな動けるかしら。									さて、みんな動けるかしら。	踏み出す一歩
っ……大丈夫だ……すまない…………。									っ……大丈夫だ……すまない…………。	踏み出す一歩
どうにか全員無事でござるな。ならば、よし。									どうにか全員無事でござるな。ならば、よし。	踏み出す一歩
なあ、やっちまったぞ……！俺たち、ついに帝国に喧嘩を売っちまった……！									なあ、やっちまったぞ……！俺たち、ついに帝国に喧嘩を売っちまった……！	踏み出す一歩
こうなったら、連中をドマから追い出すまで止まれない。みんなで話し合って、それを承知で武器を取ったんだ。									こうなったら、連中をドマから追い出すまで止まれない。みんなで話し合って、それを承知で武器を取ったんだ。	踏み出す一歩
だから……これからは、一緒に戦わせてくれ！									だから……これからは、一緒に戦わせてくれ！	踏み出す一歩
