石の家のタタルは、冒険者に聞きたいことがあるようだ。									石の家のタタルは、冒険者に聞きたいことがあるようだ。	生命力の揺らぎ
今回、発見された遺跡が水蛇と関連しているかは、定かではないけれど……あなた、ロンカについて詳しいのね。ぜひとも、同行してほしいものだわ。									今回、発見された遺跡が水蛇と関連しているかは、定かではないけれど……あなた、ロンカについて詳しいのね。ぜひとも、同行してほしいものだわ。	汝、英雄の眠り妨げるは
まずは、ファノヴの里の「アルメ」のもとへ向かいましょう。彼女たち三姉妹が、新たな遺跡に案内してくれるはずよ。									まずは、ファノヴの里の「アルメ」のもとへ向かいましょう。彼女たち三姉妹が、新たな遺跡に案内してくれるはずよ。	汝、英雄の眠り妨げるは
それでは、お互いまた何か進展があったら、情報を共有することにしましょう。									それでは、お互いまた何か進展があったら、情報を共有することにしましょう。	汝、英雄の眠り妨げるは
アシエンの暗躍が気になるところだが、「ソウル・サイフォン」の完成を急がせてくれ。これから、記憶継承術の術式を今一度、解析し直そうと思う。									アシエンの暗躍が気になるところだが、「ソウル・サイフォン」の完成を急がせてくれ。これから、記憶継承術の術式を今一度、解析し直そうと思う。	汝、英雄の眠り妨げるは
ワシができることといえば、塔の記録の解析や応用に、己の知識を提供することにすぎん。アラグの秘術を扱えるのは、その末裔である水晶公だけだからな。									ワシができることといえば、塔の記録の解析や応用に、己の知識を提供することにすぎん。アラグの秘術を扱えるのは、その末裔である水晶公だけだからな。	汝、英雄の眠り妨げるは
クリスタリウムに用事があるとき以外は、この森に滞在しているけれど……ファノヴの里まで足を運ぶのは久々だわ。									クリスタリウムに用事があるとき以外は、この森に滞在しているけれど……ファノヴの里まで足を運ぶのは久々だわ。	汝、英雄の眠り妨げるは
久しぶりだって……？うちらにとっては、ついさっき別れたって感じだよ。まあ、個人差はあるけどさ……。									久しぶりだって……？うちらにとっては、ついさっき別れたって感じだよ。まあ、個人差はあるけどさ……。	汝、英雄の眠り妨げるは
あっ、やっと来てくださいましたぁ～！同盟者さんたちのこと、ずっと待ってたんですよぉ～。									あっ、やっと来てくださいましたぁ～！同盟者さんたちのこと、ずっと待ってたんですよぉ～。	汝、英雄の眠り妨げるは
同盟者たちよ、よくぞ戻った。お前たちが、キタンナ神影洞から罪喰いを掃ってくれたおかげで、我々はラケティカ大飛瀑方面まで、狩場を広げることができた。									同盟者たちよ、よくぞ戻った。お前たちが、キタンナ神影洞から罪喰いを掃ってくれたおかげで、我々はラケティカ大飛瀑方面まで、狩場を広げることができた。	汝、英雄の眠り妨げるは
そして、狩りに向かった先で、新たな遺跡が発見されたのだ。内部には仕掛けもなく、容易に進むことができたが、例のごとく魔法で閉ざされた扉が立ち塞がった。									そして、狩りに向かった先で、新たな遺跡が発見されたのだ。内部には仕掛けもなく、容易に進むことができたが、例のごとく魔法で閉ざされた扉が立ち塞がった。	汝、英雄の眠り妨げるは
きっと、その先には重要なロンカの叡智が祀られているはず。同盟者を知へと導くことも、我ら護り手の役目のひとつ。そこで、賢き同盟者、ヤ・シュトラに報せたのだ。									きっと、その先には重要なロンカの叡智が祀られているはず。同盟者を知へと導くことも、我ら護り手の役目のひとつ。そこで、賢き同盟者、ヤ・シュトラに報せたのだ。	汝、英雄の眠り妨げるは
そう呼ばれるのは光栄だけれど、私はまだまだ知らないことだらけ。だからこそ、ロンカが護り伝えてきた「神々の時代」に、関連する情報を少しでも知りたいの。									そう呼ばれるのは光栄だけれど、私はまだまだ知らないことだらけ。だからこそ、ロンカが護り伝えてきた「神々の時代」に、関連する情報を少しでも知りたいの。	汝、英雄の眠り妨げるは
今後、より多くを知る古き者と、対峙することになりそうなものでね……。									今後、より多くを知る古き者と、対峙することになりそうなものでね……。	汝、英雄の眠り妨げるは
……なるほど。必ずしも望みのものがあるとは限らぬが、ロンカには「知に勝る魔法はなし」という諺がある。									……なるほど。必ずしも望みのものがあるとは限らぬが、ロンカには「知に勝る魔法はなし」という諺がある。	汝、英雄の眠り妨げるは
扉の先を調べることで、同盟者の力となる叡智と出会えることを願おう。									扉の先を調べることで、同盟者の力となる叡智と出会えることを願おう。	汝、英雄の眠り妨げるは
だが、心してかかってくれ。新たな遺跡は、閉ざされた扉まで仕掛けがなかった分、その封印を解くとなると、何が待ち受けているのやら……。									だが、心してかかってくれ。新たな遺跡は、閉ざされた扉まで仕掛けがなかった分、その封印を解くとなると、何が待ち受けているのやら……。	汝、英雄の眠り妨げるは
ほら、前に遺跡に入ったときは、馬鹿みたいに強い爺さんと戦ったじゃない？あのときより、手こずるってことはないと思うけどな～。									ほら、前に遺跡に入ったときは、馬鹿みたいに強い爺さんと戦ったじゃない？あのときより、手こずるってことはないと思うけどな～。	汝、英雄の眠り妨げるは
もうっ、遊びじゃないでしょ、ウィメちゃん！									もうっ、遊びじゃないでしょ、ウィメちゃん！	汝、英雄の眠り妨げるは
とか言って、シャイメが一番、探索を楽しみにしてただろ？同盟者が来るのを、いまかいまかと待ち焦がれて、寝るときまで杖を抱いていたくせにー！									とか言って、シャイメが一番、探索を楽しみにしてただろ？同盟者が来るのを、いまかいまかと待ち焦がれて、寝るときまで杖を抱いていたくせにー！	汝、英雄の眠り妨げるは
ちょ、ちょっとぉ！それは言わない約束でしょ～！？									ちょ、ちょっとぉ！それは言わない約束でしょ～！？	汝、英雄の眠り妨げるは
さーて、それじゃあ出発しよっかー！									さーて、それじゃあ出発しよっかー！	汝、英雄の眠り妨げるは
もう～っ！									もう～っ！	汝、英雄の眠り妨げるは
若いっていいわね。正確には私よりずっと年上だろうけど……。									若いっていいわね。正確には私よりずっと年上だろうけど……。	汝、英雄の眠り妨げるは
我らは同盟者が訪れるまで、長きにわたり遺跡を護ることを役目としてきた。そして、お前たちが現れたことで、それは果たされた。									我らは同盟者が訪れるまで、長きにわたり遺跡を護ることを役目としてきた。そして、お前たちが現れたことで、それは果たされた。	汝、英雄の眠り妨げるは
これまでは、いかに気になっていても、遺跡を探索することなど、そう簡単には許されなかった。妹たちが浮かれていること、どうか大目に見てやってくれ……。									これまでは、いかに気になっていても、遺跡を探索することなど、そう簡単には許されなかった。妹たちが浮かれていること、どうか大目に見てやってくれ……。	汝、英雄の眠り妨げるは
もちろんよ。こんなにも長い間、遺跡が残ってきたのは、ひとえにあなたたちのおかげだからね……感謝しているわ。									もちろんよ。こんなにも長い間、遺跡が残ってきたのは、ひとえにあなたたちのおかげだからね……感謝しているわ。	汝、英雄の眠り妨げるは
では、同盟者たちを新たな遺跡へと案内しよう。まずは「キタンナ神影洞」の前まで、ご足労を願いたい。									では、同盟者たちを新たな遺跡へと案内しよう。まずは「キタンナ神影洞」の前まで、ご足労を願いたい。	汝、英雄の眠り妨げるは
キタンナ神影洞にあった壁画は、あのエメトセルクでさえ、存在を知らなかった。今回の遺跡には、どんな知識が隠されているのかしら……。									キタンナ神影洞にあった壁画は、あのエメトセルクでさえ、存在を知らなかった。今回の遺跡には、どんな知識が隠されているのかしら……。	汝、英雄の眠り妨げるは
よーし、いっちょやったるかー！									よーし、いっちょやったるかー！	汝、英雄の眠り妨げるは
う～ん……お弁当持ってきた方がよかったですかねぇ～。									う～ん……お弁当持ってきた方がよかったですかねぇ～。	汝、英雄の眠り妨げるは
改めて言っておくが、扉の封印を解くためには、どんな仕掛けや試練が待ち受けているかわからない。万全の準備を整え、覚悟のうえで臨んでくれ……。									改めて言っておくが、扉の封印を解くためには、どんな仕掛けや試練が待ち受けているかわからない。万全の準備を整え、覚悟のうえで臨んでくれ……。	汝、英雄の眠り妨げるは
しばらく時間がかかるため、十分にプレイ時間を確保したうえで、続きを進めることを、お勧めいたします。									しばらく時間がかかるため、十分にプレイ時間を確保したうえで、続きを進めることを、お勧めいたします。	汝、英雄の眠り妨げるは
アシエンたちの時代について、何か情報が得られればと思っていたけれど……思わぬ収穫ね。「流星雨と超える力」の仮説は、検証していきたいものだわ。									アシエンたちの時代について、何か情報が得られればと思っていたけれど……思わぬ収穫ね。「流星雨と超える力」の仮説は、検証していきたいものだわ。	汝、英雄の眠り妨げるは
いや～まさか、試練で呪札にされちゃうなんてね～。なぞなぞ好きのヘンテコな神獣だったけど、なかなか手応えあったよ！									いや～まさか、試練で呪札にされちゃうなんてね～。なぞなぞ好きのヘンテコな神獣だったけど、なかなか手応えあったよ！	汝、英雄の眠り妨げるは
新たな遺跡が、大魔道士チュナのお墓だったなんて、とっても感激しましたぁ～。私が魔道士になったのも、彼女の影響なんですぅ～。									新たな遺跡が、大魔道士チュナのお墓だったなんて、とっても感激しましたぁ～。私が魔道士になったのも、彼女の影響なんですぅ～。	汝、英雄の眠り妨げるは
無事に戻ってこられてよかった。受け取った叡智が同盟者の力となることを願うが、それはすぐにわかるものでもないだろう……。									無事に戻ってこられてよかった。受け取った叡智が同盟者の力となることを願うが、それはすぐにわかるものでもないだろう……。	汝、英雄の眠り妨げるは
最後にこれだけは聞いてほしい。大魔道士チュナの英雄譚は、数多く伝わっているが、照らし合わせると矛盾だらけで、その真偽は定かではない。									最後にこれだけは聞いてほしい。大魔道士チュナの英雄譚は、数多く伝わっているが、照らし合わせると矛盾だらけで、その真偽は定かではない。	汝、英雄の眠り妨げるは
口伝される過程で、後世の者たちの思惑や願望が入り混じり、誤解や誇張が繰り返され、いつしか事実が歪められたのだろう。それほどに過去の継承とは難しいのだ……。									口伝される過程で、後世の者たちの思惑や願望が入り混じり、誤解や誇張が繰り返され、いつしか事実が歪められたのだろう。それほどに過去の継承とは難しいのだ……。	汝、英雄の眠り妨げるは
そして、この時代の「英雄」の偉業を受け継いでゆくのは、ほかならぬ、我ら護り手の新たな役目だ。									そして、この時代の「英雄」の偉業を受け継いでゆくのは、ほかならぬ、我ら護り手の新たな役目だ。	汝、英雄の眠り妨げるは
森を訪れた勇敢で賢き同盟者が、罪喰いを屠って夜闇を取り戻した。その事実を長きにわたって、正しく継いでいくことを、ここでお前たちに誓おう……。									森を訪れた勇敢で賢き同盟者が、罪喰いを屠って夜闇を取り戻した。その事実を長きにわたって、正しく継いでいくことを、ここでお前たちに誓おう……。	汝、英雄の眠り妨げるは
ま、堅苦しいことはこれくらいにして……うちらは、みんなのこと絶対に忘れないから、安心しといて！									ま、堅苦しいことはこれくらいにして……うちらは、みんなのこと絶対に忘れないから、安心しといて！	汝、英雄の眠り妨げるは
そうですよぉ～！みなさんのこと、しっかりと語り継いでゆきますからぁ～！									そうですよぉ～！みなさんのこと、しっかりと語り継いでゆきますからぁ～！	汝、英雄の眠り妨げるは
それはありがたいわね。私たちも、深き森で出会った強く美しい護り手さんたちのこと、ずっと忘れずに覚えておくわ……。									それはありがたいわね。私たちも、深き森で出会った強く美しい護り手さんたちのこと、ずっと忘れずに覚えておくわ……。	汝、英雄の眠り妨げるは
それでは、ロンカの同盟者たちよ、次に再来することを心待ちにしているぞ……。									それでは、ロンカの同盟者たちよ、次に再来することを心待ちにしているぞ……。	汝、英雄の眠り妨げるは
ファノヴの里のヤ・シュトラは、寄り道がしたいようだ。									ファノヴの里のヤ・シュトラは、寄り道がしたいようだ。	嗤うアルバート
ルナルと話す									ルナルと話す	嗤うアルバート
アスゲイルから使い古したホウキを入手									アスゲイルから使い古したホウキを入手	嗤うアルバート
ヤ・シュトラに使い古したホウキを渡す									ヤ・シュトラに使い古したホウキを渡す	嗤うアルバート
サンクレッドと話す									サンクレッドと話す	嗤うアルバート
お前たちはロンカの同盟者であり、この時代の英雄だ。その偉業に関われたことを我らは誇りに思う。必ずやその真実を正しく受け継いでゆこう。									お前たちはロンカの同盟者であり、この時代の英雄だ。その偉業に関われたことを我らは誇りに思う。必ずやその真実を正しく受け継いでゆこう。	嗤うアルバート
みんなと一緒に、馬鹿みたいに強い爺さんと戦ったり、ヘンテコな神獣に呪札にされたんだから……そんなこと、忘れられるわけないっての！									みんなと一緒に、馬鹿みたいに強い爺さんと戦ったり、ヘンテコな神獣に呪札にされたんだから……そんなこと、忘れられるわけないっての！	嗤うアルバート
みなさんのこと、しっかりと語り継いでゆきます。そうだ、そのためにも同盟者さんたちを描いた、新たな壁画があってもいいかもしれませんねぇ～。									みなさんのこと、しっかりと語り継いでゆきます。そうだ、そのためにも同盟者さんたちを描いた、新たな壁画があってもいいかもしれませんねぇ～。	嗤うアルバート
さてと、ここでやるべきことは果たせたわね。流星雨と超える力、そして古の災厄に関する仮説……それらが今後を考えるための助けになればいいのだけれど。									さてと、ここでやるべきことは果たせたわね。流星雨と超える力、そして古の災厄に関する仮説……それらが今後を考えるための助けになればいいのだけれど。	嗤うアルバート
クリスタリウムに戻る前に、ちょっと寄り道していいかしら？実は、スリザーバウでやり残したことがあって……。									クリスタリウムに戻る前に、ちょっと寄り道していいかしら？実は、スリザーバウでやり残したことがあって……。	嗤うアルバート
付き合わせて悪いわね。集落に着いたら、ひとまず「ルナル」に挨拶させてちょうだい。									付き合わせて悪いわね。集落に着いたら、ひとまず「ルナル」に挨拶させてちょうだい。	嗤うアルバート
ルナルは、相変わらずなようで何よりだわ……。									ルナルは、相変わらずなようで何よりだわ……。	嗤うアルバート
Forename、元気そうじゃないか！									Forename、元気そうじゃないか！	嗤うアルバート
姐さんも一緒に帰ってきてくれるなんて、オイラ、嬉しいよ！さっそく料理を作るから……									姐さんも一緒に帰ってきてくれるなんて、オイラ、嬉しいよ！さっそく料理を作るから……	嗤うアルバート
せっかくだけど、あんまりゆっくりもできなくて……。									せっかくだけど、あんまりゆっくりもできなくて……。	嗤うアルバート
わかった！急いで作るから、すぐにできるから、どうか食べてってくれ！									わかった！急いで作るから、すぐにできるから、どうか食べてってくれ！	嗤うアルバート
まったく、仕方がないわね……。食事をいただいてから、戻ることにしましょう。									まったく、仕方がないわね……。食事をいただいてから、戻ることにしましょう。	嗤うアルバート
ルナルが調理している間で、やり残したことを片付けさせて。何てことはない、私が滞在していた部屋の掃除よ。悪いんだけど、あなたも少し手伝ってくれない？									ルナルが調理している間で、やり残したことを片付けさせて。何てことはない、私が滞在していた部屋の掃除よ。悪いんだけど、あなたも少し手伝ってくれない？	嗤うアルバート
私は掃除しやすいよう部屋を片付けておくので、アスゲイルから、「使い古したホウキ」を借りてきてほしいの。それじゃあ、よろしく頼むわね。									私は掃除しやすいよう部屋を片付けておくので、アスゲイルから、「使い古したホウキ」を借りてきてほしいの。それじゃあ、よろしく頼むわね。	嗤うアルバート
あら、「使い古したホウキ」は借りてきてくれたかしら？アスゲイルだったら、隣の倉庫にいるはずよ。									あら、「使い古したホウキ」は借りてきてくれたかしら？アスゲイルだったら、隣の倉庫にいるはずよ。	嗤うアルバート
どうした、客人？なに、マトーヤ様から、使い古したホウキを借りてくるようにと……？									どうした、客人？なに、マトーヤ様から、使い古したホウキを借りてくるようにと……？	嗤うアルバート
まさか、あの方が掃除をしようとは、明日は雪でも降るんじゃ……いや何でもない、ホラ持っていけ。どうせ新品なんてないから、もれなく使い古しだ。									まさか、あの方が掃除をしようとは、明日は雪でも降るんじゃ……いや何でもない、ホラ持っていけ。どうせ新品なんてないから、もれなく使い古しだ。	嗤うアルバート
マトーヤ様が掃除をしているところなんて、一度たりとも……おや客人、まだいたのか？									マトーヤ様が掃除をしているところなんて、一度たりとも……おや客人、まだいたのか？	嗤うアルバート
使い古したホウキは借りてきてくれたかしら……？									使い古したホウキは借りてきてくれたかしら……？	嗤うアルバート
うん、程よく使い古してあるわね、ありがとう。真新しいホウキだと、少し具合がわるいのよ。									うん、程よく使い古してあるわね、ありがとう。真新しいホウキだと、少し具合がわるいのよ。	嗤うアルバート
私の方も準備は完了よ。これくらい片付いていれば問題ないでしょう。									私の方も準備は完了よ。これくらい片付いていれば問題ないでしょう。	嗤うアルバート
……どこが、とも言いたげね。いいのよ、この程度で……私にはとっておきの「魔法」があるのだから。									……どこが、とも言いたげね。いいのよ、この程度で……私にはとっておきの「魔法」があるのだから。	嗤うアルバート
あら、私を誰だと思って？魔女マトーヤが、自らホウキを持って掃くわけないでしょう……？									あら、私を誰だと思って？魔女マトーヤが、自らホウキを持って掃くわけないでしょう……？	嗤うアルバート
ひとつ心の一本気、ふたつ二枚目めかし込み、みっつ小粋な三下り、よっつ四つ葉の幸運込めて……。踊れよホウキ、いつまでも……！									ひとつ心の一本気、ふたつ二枚目めかし込み、みっつ小粋な三下り、よっつ四つ葉の幸運込めて……。踊れよホウキ、いつまでも……！	嗤うアルバート
ホウキを使い魔にする気持ちがわかるようになったわ。掃除って面倒だものね。									ホウキを使い魔にする気持ちがわかるようになったわ。掃除って面倒だものね。	嗤うアルバート
(-ヤ・シュトラの声-)長いこと過ごしたこの部屋だけど、研究に熱中しすぎて、ロクに掃除もしてなかったのよ。									(-ヤ・シュトラの声-)長いこと過ごしたこの部屋だけど、研究に熱中しすぎて、ロクに掃除もしてなかったのよ。	嗤うアルバート
(-ヤ・シュトラの声-)原初世界に帰ったら、ここにも二度と戻ってこれないでしょうから、去る前に綺麗にしておかないとね……。									(-ヤ・シュトラの声-)原初世界に帰ったら、ここにも二度と戻ってこれないでしょうから、去る前に綺麗にしておかないとね……。	嗤うアルバート
(-ルナルの声-)お、おーい！食事の支度ができたよー！									(-ルナルの声-)お、おーい！食事の支度ができたよー！	嗤うアルバート
どうかしたの、ルナル？今日はやけに大人しいじゃない。									どうかしたの、ルナル？今日はやけに大人しいじゃない。	嗤うアルバート
い、いや、そんなことないさ、オイラはいつもどおり、元気だよ……！									い、いや、そんなことないさ、オイラはいつもどおり、元気だよ……！	嗤うアルバート
そう、それならいいのだけれど……。									そう、それならいいのだけれど……。	嗤うアルバート
(-？？？？-)よかった、やっぱりここだったか……。									(-？？？？-)よかった、やっぱりここだったか……。	嗤うアルバート
あら、あなたたち……アルバートの追跡をしていたはずでは……？									あら、あなたたち……アルバートの追跡をしていたはずでは……？	嗤うアルバート
ああ、ここへもその一環でね……。アルバートはノルヴラント各地を巡り、「光の戦士たち」の真実を広めている。									ああ、ここへもその一環でね……。アルバートはノルヴラント各地を巡り、「光の戦士たち」の真実を広めている。	嗤うアルバート
大罪人として語られてきた彼だが、罪喰いになるでもなく復活を果たしたという事実と……。									大罪人として語られてきた彼だが、罪喰いになるでもなく復活を果たしたという事実と……。	嗤うアルバート
「闇の戦士」である君が、彼らの真実を語ったというお墨付きも相まって、急速に名誉を回復させているようだよ。									「闇の戦士」である君が、彼らの真実を語ったというお墨付きも相まって、急速に名誉を回復させているようだよ。	嗤うアルバート
そして、クリスタリウムのときと同様に、人々に新たな「光の戦士」を目指すよう扇動していた。									そして、クリスタリウムのときと同様に、人々に新たな「光の戦士」を目指すよう扇動していた。	嗤うアルバート
その目的はまだわかっていないが、皆、熱心に耳を傾けている様子だった……。									その目的はまだわかっていないが、皆、熱心に耳を傾けている様子だった……。	嗤うアルバート
「光の戦士たち」の真実を広めることは否定しないけど、語ってるそいつ自身は、真っ赤な偽者なんでしょう？									「光の戦士たち」の真実を広めることは否定しないけど、語ってるそいつ自身は、真っ赤な偽者なんでしょう？	嗤うアルバート
勝手に遺体を使ってなりすましておいて、名誉も何もあったもんじゃないわ。絶対に許せないわよ。									勝手に遺体を使ってなりすましておいて、名誉も何もあったもんじゃないわ。絶対に許せないわよ。	嗤うアルバート
このまま手をこまねいていて、事態が悪化することは防ぎたい。目的を探る手がかりがない以上、アルバートを騙る者に接触し、反応をうかがうしかないだろう。									このまま手をこまねいていて、事態が悪化することは防ぎたい。目的を探る手がかりがない以上、アルバートを騙る者に接触し、反応をうかがうしかないだろう。	嗤うアルバート
彼が次に訪れるは、いまだ真実を広めていない土地……この昏き森であろうとアルフィノ様よりご連絡いただき、私たちも馳せ参じた次第です。									彼が次に訪れるは、いまだ真実を広めていない土地……この昏き森であろうとアルフィノ様よりご連絡いただき、私たちも馳せ参じた次第です。	嗤うアルバート
アリゼーは「旅立ちの宿」にいたのでしょう？そっちの方は大丈夫なの……？									アリゼーは「旅立ちの宿」にいたのでしょう？そっちの方は大丈夫なの……？	嗤うアルバート
ハルリクたちの治療なら、今できるだけのことはやったわ。しばらくは時間を置いてみて、あとは状態次第ってところね。									ハルリクたちの治療なら、今できるだけのことはやったわ。しばらくは時間を置いてみて、あとは状態次第ってところね。	嗤うアルバート
これまでの行動を見ていると、アルバートは、新たな土地に入ると必ず、人々の信用を得るために、はぐれ罪喰いを狩っていた……。									これまでの行動を見ていると、アルバートは、新たな土地に入ると必ず、人々の信用を得るために、はぐれ罪喰いを狩っていた……。	嗤うアルバート
私たちはそこに先回りして、彼を待ち伏せようと思う。									私たちはそこに先回りして、彼を待ち伏せようと思う。	嗤うアルバート
サンクレッドとリーンにも声をかけ、この一帯で、はぐれ罪喰いを探してもらっています。									サンクレッドとリーンにも声をかけ、この一帯で、はぐれ罪喰いを探してもらっています。	嗤うアルバート
リーンによれば、ウォーヴンオウス周辺に、罪喰いらしき存在を感じられるとのことです……。									リーンによれば、ウォーヴンオウス周辺に、罪喰いらしき存在を感じられるとのことです……。	嗤うアルバート
そういうわけで、休憩中にすまないが、取り急ぎサンクレッドたちと合流したいと思うんだ。……構わないかい？									そういうわけで、休憩中にすまないが、取り急ぎサンクレッドたちと合流したいと思うんだ。……構わないかい？	嗤うアルバート
姐さん……！									姐さん……！	嗤うアルバート
必ずまた、帰ってきてくれよな！今度は、もっとうまい料理をご馳走するからさ……！									必ずまた、帰ってきてくれよな！今度は、もっとうまい料理をご馳走するからさ……！	嗤うアルバート
ええ、楽しみにしておくわ。									ええ、楽しみにしておくわ。	嗤うアルバート
Forename、姐さんは……。いや……姐さんを……よろしく頼む……。									Forename、姐さんは……。いや……姐さんを……よろしく頼む……。	嗤うアルバート
あっ、Forenameさん……！罪喰いは、サンクレッドと一緒に倒しておきました。									あっ、Forenameさん……！罪喰いは、サンクレッドと一緒に倒しておきました。	嗤うアルバート
ウォーヴンオウスのヤ・シュトラは、テンペストに出発したいようだ。									ウォーヴンオウスのヤ・シュトラは、テンペストに出発したいようだ。	フラウンダーの野望
オンドの潮溜まりのトルスィー・アースと話す									オンドの潮溜まりのトルスィー・アースと話す	フラウンダーの野望
フラウンダーの穴蔵で肝入りの大袋を入手									フラウンダーの穴蔵で肝入りの大袋を入手	フラウンダーの野望
トルスィー・アースに肝入りの大袋を渡す									トルスィー・アースに肝入りの大袋を渡す	フラウンダーの野望
エリディブスの意志は強固だった。そして、人々が移ろいでゆくことについては、悔しいけれど……返す言葉が出てこなかったよ。									エリディブスの意志は強固だった。そして、人々が移ろいでゆくことについては、悔しいけれど……返す言葉が出てこなかったよ。	フラウンダーの野望
偽者とはいえ、見た目はアルバートそのものだったわね。エリディブスにどんな想いがあるのであれ、遺体を勝手に使うなんて、許せないわ……！									偽者とはいえ、見た目はアルバートそのものだったわね。エリディブスにどんな想いがあるのであれ、遺体を勝手に使うなんて、許せないわ……！	フラウンダーの野望
エリディブスの企みは、依然として読めません。最終目標が世界の統合なのは、もはや疑いようがないものの、目下のところ、アルバートの肉体で何を成そうとしているのか……？									エリディブスの企みは、依然として読めません。最終目標が世界の統合なのは、もはや疑いようがないものの、目下のところ、アルバートの肉体で何を成そうとしているのか……？	フラウンダーの野望
死んだ後までアシエンに肉体を利用されるなんて、ぞっとするな。どうにか取り戻してやりたいところだが……。									死んだ後までアシエンに肉体を利用されるなんて、ぞっとするな。どうにか取り戻してやりたいところだが……。	フラウンダーの野望
サンクレッドも、アシエンに操られたことがあると聞きました。誰もが肉体を乗っ取られる可能性があるなんて、本当に恐ろしいです……。									サンクレッドも、アシエンに操られたことがあると聞きました。誰もが肉体を乗っ取られる可能性があるなんて、本当に恐ろしいです……。	フラウンダーの野望
アルフィノの言うとおり、テンペストで新たな遺構を探すには、そこに住むオンド族を頼るのが得策ね。									アルフィノの言うとおり、テンペストで新たな遺構を探すには、そこに住むオンド族を頼るのが得策ね。	フラウンダーの野望
まずは、オンドの潮溜まりに向かって、族長である「トルスィー・アース」に相談してみましょう。									まずは、オンドの潮溜まりに向かって、族長である「トルスィー・アース」に相談してみましょう。	フラウンダーの野望
新たな遺構について、トルスィー・アースに相談してみましょう。									新たな遺構について、トルスィー・アースに相談してみましょう。	フラウンダーの野望
またここに戻ってきたね。パウスィー・オーンにも、あとで挨拶しておこうかな。									またここに戻ってきたね。パウスィー・オーンにも、あとで挨拶しておこうかな。	フラウンダーの野望
以前ここに来たときは、あなたの身体が危うい状態だったわね。あのときは、本当に心配したんだから……。									以前ここに来たときは、あなたの身体が危うい状態だったわね。あのときは、本当に心配したんだから……。	フラウンダーの野望
広大なテンペストには、必ずやほかにも遺構が眠っているでしょう。しかし、それを手掛かりなく探すのは至難の業。オンド族から何らかの情報をいただけるとよいのですが……。									広大なテンペストには、必ずやほかにも遺構が眠っているでしょう。しかし、それを手掛かりなく探すのは至難の業。オンド族から何らかの情報をいただけるとよいのですが……。	フラウンダーの野望
ここでオンド族を手伝ったことを思い出すな。手強い海洋生物を倒して、よくわからん素材を調達したものだ。									ここでオンド族を手伝ったことを思い出すな。手強い海洋生物を倒して、よくわからん素材を調達したものだ。	フラウンダーの野望
巨大な泡が消えてしまう前に、またここを訪ねたかったんです。Forenameさんも一緒で、よかった……。									巨大な泡が消えてしまう前に、またここを訪ねたかったんです。Forenameさんも一緒で、よかった……。	フラウンダーの野望
導かれしヒトではないか……。此度は、我に何用だ？									導かれしヒトではないか……。此度は、我に何用だ？	フラウンダーの野望
なるほど、新たな遺構、探していると……。									なるほど、新たな遺構、探していると……。	フラウンダーの野望
望みのもの、あるにはあるが……我らにいま、一大事、起こっている。									望みのもの、あるにはあるが……我らにいま、一大事、起こっている。	フラウンダーの野望
一大事とは何かしら？事態によっては、力になれるかもしれないから、私たちに聞かせてもらえない？									一大事とは何かしら？事態によっては、力になれるかもしれないから、私たちに聞かせてもらえない？	フラウンダーの野望
備蓄していた、我らの食料、ムニリの肝……根こそぎ、フラウンダーに、略奪された。									備蓄していた、我らの食料、ムニリの肝……根こそぎ、フラウンダーに、略奪された。	フラウンダーの野望
フラウンダーというのは、あなたたちとは異なるオンド族の一派ですね？									フラウンダーというのは、あなたたちとは異なるオンド族の一派ですね？	フラウンダーの野望
いかにも……。奴らは同じく、「光の氾濫」で、故郷失くしたが、ヒトを憎み、乱暴になったゆえ、我らと相容れぬ者たち……。									いかにも……。奴らは同じく、「光の氾濫」で、故郷失くしたが、ヒトを憎み、乱暴になったゆえ、我らと相容れぬ者たち……。	フラウンダーの野望
食料の略奪、此度だけでないが、ムニリの肝は、我らにとって、重要な栄養源。食料調達、難儀するなか、奪われたこと、死活問題。									食料の略奪、此度だけでないが、ムニリの肝は、我らにとって、重要な栄養源。食料調達、難儀するなか、奪われたこと、死活問題。	フラウンダーの野望
取り返したいが、フラウンダー、我らより数多く、とても敵わぬ……どうしたものか……。									取り返したいが、フラウンダー、我らより数多く、とても敵わぬ……どうしたものか……。	フラウンダーの野望
なるほど、確かにそれは一大事ね。こちらも情報をもらう手前、放っておくわけにいかないし、それに……									なるほど、確かにそれは一大事ね。こちらも情報をもらう手前、放っておくわけにいかないし、それに……	フラウンダーの野望
ここはひとつ、ムニリの肝の奪還に協力しましょう。情報提供の見返りが必要であることはもちろんだけど、私たちには責任があると思うのよ。									ここはひとつ、ムニリの肝の奪還に協力しましょう。情報提供の見返りが必要であることはもちろんだけど、私たちには責任があると思うのよ。	フラウンダーの野望
理由はともかく、私たちは海底をビスマルクの泡で包み、この一帯の環境を一変させてしまったわ。それはフラウンダーの態度硬化と無縁ではないでしょう。									理由はともかく、私たちは海底をビスマルクの泡で包み、この一帯の環境を一変させてしまったわ。それはフラウンダーの態度硬化と無縁ではないでしょう。	フラウンダーの野望
何と言う？									何と言う？	フラウンダーの野望
もちろんだ									もちろんだ	フラウンダーの野望
困っている者は放っておけない									困っている者は放っておけない	フラウンダーの野望
ムニリを狩ればいいのでは……									ムニリを狩ればいいのでは……	フラウンダーの野望
