フォルタン家の騎兵は、話したいことがあるようだ。									フォルタン家の騎兵は、話したいことがあるようだ。	戦う者たちの休息
よし、私たちは、アマルジャ族の砦……ザハラク戦陣の様子を見に行くことにしよう。									よし、私たちは、アマルジャ族の砦……ザハラク戦陣の様子を見に行くことにしよう。	絡み合う宿命
そのためにも、まずはアリゼーと合流だ。服を着替えてから、リトルアラミゴで落ち合おう。									そのためにも、まずはアリゼーと合流だ。服を着替えてから、リトルアラミゴで落ち合おう。	絡み合う宿命
やはり、いつもの格好が安心するよ……。君の方も、着替えは万全かい？									やはり、いつもの格好が安心するよ……。君の方も、着替えは万全かい？	絡み合う宿命
よう、Forename。遅くなって、すまなかった。									よう、Forename。遅くなって、すまなかった。	絡み合う宿命
おつかれさま。こちらは、このとおりサンクレッドと合流できたわ。……そっちの首尾はどう？									おつかれさま。こちらは、このとおりサンクレッドと合流できたわ。……そっちの首尾はどう？	絡み合う宿命
イダとパパリモと会えたのか！アラミゴ解放軍を頼っていたとは……なるほどな……。何にせよ、ふたりが無事で何よりだ。									イダとパパリモと会えたのか！アラミゴ解放軍を頼っていたとは……なるほどな……。何にせよ、ふたりが無事で何よりだ。	絡み合う宿命
それにしても、クリスタルはザハラク戦陣か……。面倒なところに運ばれたものだな。									それにしても、クリスタルはザハラク戦陣か……。面倒なところに運ばれたものだな。	絡み合う宿命
遅れてきたぶん、働く準備はバッチリだが……今すぐ乗り込むか？									遅れてきたぶん、働く準備はバッチリだが……今すぐ乗り込むか？	絡み合う宿命
ああ、手遅れにするものか！ひとまず、「ザハラク戦陣」の入口へ。様子をうかがってから、全員で突入しよう！									ああ、手遅れにするものか！ひとまず、「ザハラク戦陣」の入口へ。様子をうかがってから、全員で突入しよう！	絡み合う宿命
鉄仮面は、指示どおりに動きましたか……。									鉄仮面は、指示どおりに動きましたか……。	絡み合う宿命
すべての役者は、焼かれし舞台の上に揃わん……。今、開幕を告げる鐘は鳴り、我が秘策は成就する。									すべての役者は、焼かれし舞台の上に揃わん……。今、開幕を告げる鐘は鳴り、我が秘策は成就する。	絡み合う宿命
どちらにとっても、機会は恐らく1度きり……。この身を切り札として、必ずや勝利へと導きましょう。……頼みましたよ、みなさん。									どちらにとっても、機会は恐らく1度きり……。この身を切り札として、必ずや勝利へと導きましょう。……頼みましたよ、みなさん。	絡み合う宿命
今のところ、大きな騒ぎは起きてないようだな。神降ろしの儀式には、至っていないということか……？									今のところ、大きな騒ぎは起きてないようだな。神降ろしの儀式には、至っていないということか……？	絡み合う宿命
……少し緊張してるけど、大丈夫。ガ・ブみたいな子が増える前に、クリスタルを奪還するわよ。									……少し緊張してるけど、大丈夫。ガ・ブみたいな子が増える前に、クリスタルを奪還するわよ。	絡み合う宿命
ふむ……外から見るかぎり、異常はないようだ。動きがあるとすれば、蛮神「イフリート」の召喚が行われる、砦の最深部……祭壇あたりか。									ふむ……外から見るかぎり、異常はないようだ。動きがあるとすれば、蛮神「イフリート」の召喚が行われる、砦の最深部……祭壇あたりか。	絡み合う宿命
Forename、戦いの準備はいいかい？神降ろしが行われる前に、ザハラク戦陣に乗り込もう！									Forename、戦いの準備はいいかい？神降ろしが行われる前に、ザハラク戦陣に乗り込もう！	絡み合う宿命
これより物語が大きく進展するため、クエストバトルに続けて、カットシーンが連続して再生されます。									これより物語が大きく進展するため、クエストバトルに続けて、カットシーンが連続して再生されます。	絡み合う宿命
しばらく時間がかかるため、十分にプレイ時間を確保したうえで、続きを進めることを、お勧めいたします。									しばらく時間がかかるため、十分にプレイ時間を確保したうえで、続きを進めることを、お勧めいたします。	絡み合う宿命
ほとんど部外者だった私が、知った風に語っていい状況じゃないでしょう。……アルフィノに声をかけてあげて。									ほとんど部外者だった私が、知った風に語っていい状況じゃないでしょう。……アルフィノに声をかけてあげて。	絡み合う宿命
………………。									………………。	絡み合う宿命
私の独断で成したこと……許されるとは思っておりません。お叱りは、いかようにでも受けましょう……。									私の独断で成したこと……許されるとは思っておりません。お叱りは、いかようにでも受けましょう……。	絡み合う宿命
南ザナラーン……。ミンフィリアが、安全な場所まで送ってくれたのか……。									南ザナラーン……。ミンフィリアが、安全な場所まで送ってくれたのか……。	絡み合う宿命
Forename、第一世界に渡った彼女たちには、何が待ち受けているのだろう。肉体を失っている闇の戦士たちは、恐らくもう……。									Forename、第一世界に渡った彼女たちには、何が待ち受けているのだろう。肉体を失っている闇の戦士たちは、恐らくもう……。	絡み合う宿命
……それでも何かを守らんとした彼らの想いを、私は忘れずにいたいと思うんだ。それに、ミンフィリアの決意も。									……それでも何かを守らんとした彼らの想いを、私は忘れずにいたいと思うんだ。それに、ミンフィリアの決意も。	絡み合う宿命
ザハラク戦陣前のアルフィノは、放心しているようだ。									ザハラク戦陣前のアルフィノは、放心しているようだ。	魂を継ぐ者
アルフィノと、今後について話した。サンクレッドがクリスタルの回収に向かい、アルフィノと冒険者はパパリモたちと合流することになった。合流の前に、ザハラク戦陣前にいる「アリゼー」と話そう。									アルフィノと、今後について話した。サンクレッドがクリスタルの回収に向かい、アルフィノと冒険者はパパリモたちと合流することになった。合流の前に、ザハラク戦陣前にいる「アリゼー」と話そう。	魂を継ぐ者
アリゼーとウリエンジェと話した。彼らとは、後ほど石の家で合流することになった。南ザナラーンのリトルアラミゴにいる「パパリモ」と話そう。									アリゼーとウリエンジェと話した。彼らとは、後ほど石の家で合流することになった。南ザナラーンのリトルアラミゴにいる「パパリモ」と話そう。	魂を継ぐ者
パパリモたちと話し、鉄仮面の影武者がクリスタルを隠し持っていなかったことを確認した。途中、グンドバルドに声をかけられたイダは、慌てた様子で石の家に戻っていった。レヴナンツトールの石の家にいる「アルフィノ」と話そう。									パパリモたちと話し、鉄仮面の影武者がクリスタルを隠し持っていなかったことを確認した。途中、グンドバルドに声をかけられたイダは、慌てた様子で石の家に戻っていった。レヴナンツトールの石の家にいる「アルフィノ」と話そう。	魂を継ぐ者
アルフィノに声をかけ、仲間たちと暁の間で話をした。クルルが正式に「暁の血盟」の一員となり、アリゼーもそこに加わった。石の家の「アルフィノ」と話そう。									アルフィノに声をかけ、仲間たちと暁の間で話をした。クルルが正式に「暁の血盟」の一員となり、アリゼーもそこに加わった。石の家の「アルフィノ」と話そう。	魂を継ぐ者
アルフィノと話した。イシュガルドでの旅や、闇の戦士との戦い、数々の出会いと別れを経て、「暁の血盟」も再始動を果たした。闇の戦士が語った「俺たちとは違う結末」に辿りつくことはできるのだろうか。まだ見ぬ答えを求めて、新たな冒険、新たな出会いを重ねていこう。									アルフィノと話した。イシュガルドでの旅や、闇の戦士との戦い、数々の出会いと別れを経て、「暁の血盟」も再始動を果たした。闇の戦士が語った「俺たちとは違う結末」に辿りつくことはできるのだろうか。まだ見ぬ答えを求めて、新たな冒険、新たな出会いを重ねていこう。	魂を継ぐ者
アリゼーと話す									アリゼーと話す	魂を継ぐ者
リトルアラミゴのパパリモと話す									リトルアラミゴのパパリモと話す	魂を継ぐ者
石の家のアルフィノと話す									石の家のアルフィノと話す	魂を継ぐ者
アルフィノと話す									アルフィノと話す	魂を継ぐ者
ほとんど部外者だった私が、知った風に語っていい状況じゃないでしょう。……アルフィノに声をかけてあげて。									ほとんど部外者だった私が、知った風に語っていい状況じゃないでしょう。……アルフィノに声をかけてあげて。	魂を継ぐ者
………………。									………………。	魂を継ぐ者
私の独断で成したこと……許されるとは思っておりません。お叱りは、いかようにでも受けましょう……。									私の独断で成したこと……許されるとは思っておりません。お叱りは、いかようにでも受けましょう……。	魂を継ぐ者
……ああ、これからのことを、考えなければならないね。									……ああ、これからのことを、考えなければならないね。	魂を継ぐ者
Forename、アルフィノ様。俺は再度ザハラク戦陣に入って、クリスタルを探してくる。うやむやになって、回収できてないからな。									Forename、アルフィノ様。俺は再度ザハラク戦陣に入って、クリスタルを探してくる。うやむやになって、回収できてないからな。	魂を継ぐ者
大丈夫、あれだけの騒ぎの後じゃ、アマルジャ族も、神降ろしの儀式どころじゃないだろう。騒ぎに乗じて標的を掻っ攫うくらいなら、俺だけで十分だ。									大丈夫、あれだけの騒ぎの後じゃ、アマルジャ族も、神降ろしの儀式どころじゃないだろう。騒ぎに乗じて標的を掻っ攫うくらいなら、俺だけで十分だ。	魂を継ぐ者
しかし、サンクレッド……。									しかし、サンクレッド……。	魂を継ぐ者
……なに、今はひとりにしてくれってことさ。回収と後始末をすませたら、「石の家」に向かう。アルフィノ様たちは、イダとパパリモのことを頼む。									……なに、今はひとりにしてくれってことさ。回収と後始末をすませたら、「石の家」に向かう。アルフィノ様たちは、イダとパパリモのことを頼む。	魂を継ぐ者
……ここは彼に任せることにしよう。イダたちが、調査を終えて戻ってきているかもしれない。私は先に、「リトルアラミゴ」の方へ行っているよ。									……ここは彼に任せることにしよう。イダたちが、調査を終えて戻ってきているかもしれない。私は先に、「リトルアラミゴ」の方へ行っているよ。	魂を継ぐ者
Forename、おつかれさま。あなたのおかげで、どうにかイチゲキお見舞いできたわ。……本当にありがとう。									Forename、おつかれさま。あなたのおかげで、どうにかイチゲキお見舞いできたわ。……本当にありがとう。	魂を継ぐ者
……アリゼー様は、私に企みがあることを、いつから察しておいでだったのですか？									……アリゼー様は、私に企みがあることを、いつから察しておいでだったのですか？	魂を継ぐ者
闇の戦士を追っているとき、グブラ幻想図書館で、あなたとアシエンが話しているのを見たのよ。									闇の戦士を追っているとき、グブラ幻想図書館で、あなたとアシエンが話しているのを見たのよ。	魂を継ぐ者
でもね……あなた、昔っから他人に対して一言足りないし、誰かに協力を頼むのとか、ド下手だったでしょ。									でもね……あなた、昔っから他人に対して一言足りないし、誰かに協力を頼むのとか、ド下手だったでしょ。	魂を継ぐ者
だから、単に裏切ったんじゃなくて、何か思惑があるんだろう、ってね。……見込み違いじゃなくて何よりだわ。									だから、単に裏切ったんじゃなくて、何か思惑があるんだろう、ってね。……見込み違いじゃなくて何よりだわ。	魂を継ぐ者
さようでしたか……。アシエンを相手取る策だけに、慎重になっておりましたが……多大なご心配をおかけして、申し訳ございませんでした……。									さようでしたか……。アシエンを相手取る策だけに、慎重になっておりましたが……多大なご心配をおかけして、申し訳ございませんでした……。	魂を継ぐ者
謝罪なんていらないわ。あなたがとった行動は、結果的に、最小限の被害で多くの命を救ったと思ってる。									謝罪なんていらないわ。あなたがとった行動は、結果的に、最小限の被害で多くの命を救ったと思ってる。	魂を継ぐ者
……でもね。その策を成すために、確かに犠牲になった者がいる。だから私は、あなたを褒めたりなんかしないわよ。									……でもね。その策を成すために、確かに犠牲になった者がいる。だから私は、あなたを褒めたりなんかしないわよ。	魂を継ぐ者
Forename、あとのことは任せていい？まだちょっと……大技の影響が残っててね。少し休んでから、あなたたちの拠点に顔をだすわ。									Forename、あとのことは任せていい？まだちょっと……大技の影響が残っててね。少し休んでから、あなたたちの拠点に顔をだすわ。	魂を継ぐ者
……せめて、付き添わせてください。後ほど「石の家」まで、ご案内いたしましょう。									……せめて、付き添わせてください。後ほど「石の家」まで、ご案内いたしましょう。	魂を継ぐ者
ふたりにも、ミンフィリアたちのことを、話さなければならないな。									ふたりにも、ミンフィリアたちのことを、話さなければならないな。	魂を継ぐ者
あっ、おかえりー！こっちの調査も、完了したよ！									あっ、おかえりー！こっちの調査も、完了したよ！	魂を継ぐ者
やあ、Surname。君たちも調査おつかれさま。									やあ、Surname。君たちも調査おつかれさま。	魂を継ぐ者
僕たちで、鉄仮面の一派が使っているキャンプを調べたが、あいつらの言うとおり、クリスタルは見つからなかった。それで……ザハラク戦陣の方は？									僕たちで、鉄仮面の一派が使っているキャンプを調べたが、あいつらの言うとおり、クリスタルは見つからなかった。それで……ザハラク戦陣の方は？	魂を継ぐ者
実は……。									実は……。	魂を継ぐ者
うそ……。ミンフィリアが、そんなことになってたなんて……！									うそ……。ミンフィリアが、そんなことになってたなんて……！	魂を継ぐ者
正直なところ、私もまだ上手く言葉が見つからないよ。ただ……彼女たちの決心を見届けたからこそ、立ち止まりたくはないんだ。									正直なところ、私もまだ上手く言葉が見つからないよ。ただ……彼女たちの決心を見届けたからこそ、立ち止まりたくはないんだ。	魂を継ぐ者
……アルフィノ様、Surname。僕たちも、正式に「暁」に復帰してもいいかな。離れている間にあったことを、きちんと知っておきたいんだ。									……アルフィノ様、Surname。僕たちも、正式に「暁」に復帰してもいいかな。離れている間にあったことを、きちんと知っておきたいんだ。	魂を継ぐ者
それに、今回の鉄仮面絡みの件……奴を追うにせよ、解放軍の外側から俯瞰した方が、見えるものがあるかもしれない。									それに、今回の鉄仮面絡みの件……奴を追うにせよ、解放軍の外側から俯瞰した方が、見えるものがあるかもしれない。	魂を継ぐ者
うんうん、アタシもそうしたい！久々にみんなに会いたいよ！									うんうん、アタシもそうしたい！久々にみんなに会いたいよ！	魂を継ぐ者
ああ、もちろん。タタルもみんなも、君たちの帰りを待っていたんだ。今だからこそ、元気な顔を見せてあげてほしい。									ああ、もちろん。タタルもみんなも、君たちの帰りを待っていたんだ。今だからこそ、元気な顔を見せてあげてほしい。	魂を継ぐ者
あなたは……まさか、イダ様では……！？									あなたは……まさか、イダ様では……！？	魂を継ぐ者
ああ、間違いない……！あなたが生きていらっしゃったとは……！									ああ、間違いない……！あなたが生きていらっしゃったとは……！	魂を継ぐ者
え……えっと……？									え……えっと……？	魂を継ぐ者
覚えていらっしゃらないだろうか。かつて暴君テオドリックに反旗を翻した革命軍の一員として、あなたの父上とともに戦った、グンドバルドです。									覚えていらっしゃらないだろうか。かつて暴君テオドリックに反旗を翻した革命軍の一員として、あなたの父上とともに戦った、グンドバルドです。	魂を継ぐ者
20年前、祖国が陥落したあの日からは、この地にアラミゴ難民の受け入れ先を築くことで、解放運動に加わって参りました。									20年前、祖国が陥落したあの日からは、この地にアラミゴ難民の受け入れ先を築くことで、解放運動に加わって参りました。	魂を継ぐ者
あなたとも、幾度か活動をともにしたものです。数年前より、お姿を拝見できず、案じておりましたが……まるであの頃のまま、お変わりないようだ。									あなたとも、幾度か活動をともにしたものです。数年前より、お姿を拝見できず、案じておりましたが……まるであの頃のまま、お変わりないようだ。	魂を継ぐ者
あ、ああ……うん！心配かけちゃってごめんね！									あ、ああ……うん！心配かけちゃってごめんね！	魂を継ぐ者
今は「暁の血盟」と一緒に活動してるんだ。それで……その、ちょっと……表立って行動できなくて。だけど大丈夫だから、うん！									今は「暁の血盟」と一緒に活動してるんだ。それで……その、ちょっと……表立って行動できなくて。だけど大丈夫だから、うん！	魂を継ぐ者
そ、それじゃあ、アタシは先に「石の家」に戻ってるね！早くみんなに会いたいしっ！									そ、それじゃあ、アタシは先に「石の家」に戻ってるね！早くみんなに会いたいしっ！	魂を継ぐ者
……すまない。彼女にも、いろいろと事情があるんだ。つもる話は、いずれまた。									……すまない。彼女にも、いろいろと事情があるんだ。つもる話は、いずれまた。	魂を継ぐ者
僕たちも、「石の家」に向かおう。									僕たちも、「石の家」に向かおう。	魂を継ぐ者
イダ……。厚い仮面で大事なことを隠しているのは、君も鉄仮面も同じじゃないか……。									イダ……。厚い仮面で大事なことを隠しているのは、君も鉄仮面も同じじゃないか……。	魂を継ぐ者
イダ様の父君は、革命軍を率いておられた方。暴君テオドリックの圧政に耐えかねていた者たちを束ね、自由のために立ち上がられた義士なのだ。									イダ様の父君は、革命軍を率いておられた方。暴君テオドリックの圧政に耐えかねていた者たちを束ね、自由のために立ち上がられた義士なのだ。	魂を継ぐ者
父君は、その後の帝国軍との戦いで斃れたが、イダ様は、積極的にアラミゴ解放運動に携わってこられた。私は老いたものだが、彼女はいまだ健在のようだな。									父君は、その後の帝国軍との戦いで斃れたが、イダ様は、積極的にアラミゴ解放運動に携わってこられた。私は老いたものだが、彼女はいまだ健在のようだな。	魂を継ぐ者
Surnameさん！イダさんとパパリモさんが、見つかったのですね！									Surnameさん！イダさんとパパリモさんが、見つかったのですね！	魂を継ぐ者
おふたりとも、先ほどこちらに到着されて、今は身支度を整えに行かれました。彼らと無事に再会できて、感無量です！									おふたりとも、先ほどこちらに到着されて、今は身支度を整えに行かれました。彼らと無事に再会できて、感無量です！	魂を継ぐ者
イダさんたちとの再会を祝いたいところですが、多くの仲間は任務に出ていましてね……。オーカーたちは、そろそろ戻ってくると思いますが。									イダさんたちとの再会を祝いたいところですが、多くの仲間は任務に出ていましてね……。オーカーたちは、そろそろ戻ってくると思いますが。	魂を継ぐ者
……おかえりなさい。あの子のこと、あとで話をさせてほしいって、アルフィノさんに言われたわ。									……おかえりなさい。あの子のこと、あとで話をさせてほしいって、アルフィノさんに言われたわ。	魂を継ぐ者
私はきっと、大丈夫……。彼女の想いはちゃんと、受け取っているから……。									私はきっと、大丈夫……。彼女の想いはちゃんと、受け取っているから……。	魂を継ぐ者
おかえり、Forename。先程、サンクレッドから連絡があって、無事にクリスタルを回収できたそうだ。									おかえり、Forename。先程、サンクレッドから連絡があって、無事にクリスタルを回収できたそうだ。	魂を継ぐ者
それをアイメリク卿に返還してから、合流すると言っていた。……これで、本当に一件落着だ。									それをアイメリク卿に返還してから、合流すると言っていた。……これで、本当に一件落着だ。	魂を継ぐ者
調査に協力してくれていた、ヤ・シュトラやクルルさんにも、事情を伝えて、ここに集まるように頼んである。皆がそろったら、「暁の間」で今後について話そう。									調査に協力してくれていた、ヤ・シュトラやクルルさんにも、事情を伝えて、ここに集まるように頼んである。皆がそろったら、「暁の間」で今後について話そう。	魂を継ぐ者
アリゼーさんを、みなさんに紹介するでっす！									アリゼーさんを、みなさんに紹介するでっす！	魂を継ぐ者
改めて、これからよろしくね。……って、こういうの、なんだかムズ痒いのよね。									改めて、これからよろしくね。……って、こういうの、なんだかムズ痒いのよね。	魂を継ぐ者
…………まるであの頃のまま、かぁ。									…………まるであの頃のまま、かぁ。	魂を継ぐ者
それじゃあ、私たちは別件の調査に向かおうかしら。用事があったら、すぐに呼んでちょうだい。									それじゃあ、私たちは別件の調査に向かおうかしら。用事があったら、すぐに呼んでちょうだい。	魂を継ぐ者
組織への所属がどうであれ、私はとっくにみんなの仲間のつもりでいたけれど……こうしてケジメをつけると、気持ちが引き締まるわ！									組織への所属がどうであれ、私はとっくにみんなの仲間のつもりでいたけれど……こうしてケジメをつけると、気持ちが引き締まるわ！	魂を継ぐ者
原初世界と、13の鏡像世界が分かたれている現状は、本来あるべきではない、歪な状態といえる……。									原初世界と、13の鏡像世界が分かたれている現状は、本来あるべきではない、歪な状態といえる……。	魂を継ぐ者
アシエンは恐らく、その真理を告げることで、私が協力をすると考えたのでしょう。私は、それを逆手に取り、彼らの懐に潜り込んだ……。									アシエンは恐らく、その真理を告げることで、私が協力をすると考えたのでしょう。私は、それを逆手に取り、彼らの懐に潜り込んだ……。	魂を継ぐ者
私が単なる知の探究者であれば、その誤算は生じなかった……。しかし、ルヴェユール家の方々や、「暁」のみなさん、そして騒がしい幼馴染が、私に強い意志を与えてくれたのです。									私が単なる知の探究者であれば、その誤算は生じなかった……。しかし、ルヴェユール家の方々や、「暁」のみなさん、そして騒がしい幼馴染が、私に強い意志を与えてくれたのです。	魂を継ぐ者
さっきのイダの主張……まるで自分自身に言い聞かせてるみたいじゃないか。困ったものだよ、本当にさ。									さっきのイダの主張……まるで自分自身に言い聞かせてるみたいじゃないか。困ったものだよ、本当にさ。	魂を継ぐ者
回収したクリスタルは、アイメリク卿に返還しておいた。今後は、横流しされたりしないよう、より管理を徹底するつもりだそうだ。									回収したクリスタルは、アイメリク卿に返還しておいた。今後は、横流しされたりしないよう、より管理を徹底するつもりだそうだ。	魂を継ぐ者
それと、お前にもよろしく伝えてくれってさ。最後まで食事ができなかったこと、地味に気にしてたようだぜ、あの人。									それと、お前にもよろしく伝えてくれってさ。最後まで食事ができなかったこと、地味に気にしてたようだぜ、あの人。	魂を継ぐ者
こうしてまた、イダさんたちとお会いできる日がくるとは！思い出されるスクワットの日々……感激ですッ！									こうしてまた、イダさんたちとお会いできる日がくるとは！思い出されるスクワットの日々……感激ですッ！	魂を継ぐ者
ミンフィリアさんは、当面お戻りになられないのですね。残念な気持ちは残りますが、今はパパリモさんたちの帰還を素直に喜びましょう。									ミンフィリアさんは、当面お戻りになられないのですね。残念な気持ちは残りますが、今はパパリモさんたちの帰還を素直に喜びましょう。	魂を継ぐ者
エノル、今回の任務では、ずいぶんミスが目立っていましたが……何か悩み事でもあるのですか？									エノル、今回の任務では、ずいぶんミスが目立っていましたが……何か悩み事でもあるのですか？	魂を継ぐ者
ごめんなさい、オーカー。あなたと、お兄様のことが、どうしても頭から離れなくて……。									ごめんなさい、オーカー。あなたと、お兄様のことが、どうしても頭から離れなくて……。	魂を継ぐ者
あっ、Forenameさん！ただいま任務から帰還しました！……なんだか、いつもよりも賑やかですよね？									あっ、Forenameさん！ただいま任務から帰還しました！……なんだか、いつもよりも賑やかですよね？	魂を継ぐ者
Forename、この広間を見てくれ。これが今の「暁の血盟」だ。									Forename、この広間を見てくれ。これが今の「暁の血盟」だ。	魂を継ぐ者
三国の盟主や、イシュガルドの人々……イゼルとエスティニアン殿に、ドラゴン族や、闇の戦士たち。彼ら全員との出会いがあったからこそ、今がある。									三国の盟主や、イシュガルドの人々……イゼルとエスティニアン殿に、ドラゴン族や、闇の戦士たち。彼ら全員との出会いがあったからこそ、今がある。	魂を継ぐ者
それを思うと……少しだけ背中を押される気がするんだ。どこに向かうべきかは、悩んでばかりだがね。									それを思うと……少しだけ背中を押される気がするんだ。どこに向かうべきかは、悩んでばかりだがね。	魂を継ぐ者
……行こう、Forename。我々には、まだ知らない場所がある。そこできっと、望む未来に繋がる出会いが、待っているんだ。									……行こう、Forename。我々には、まだ知らない場所がある。そこできっと、望む未来に繋がる出会いが、待っているんだ。	魂を継ぐ者
……そうか、ご苦労。お前は兵として前線に合流しろ。次は大きな戦いになるゆえ、私自ら出よう。									……そうか、ご苦労。お前は兵として前線に合流しろ。次は大きな戦いになるゆえ、私自ら出よう。	魂を継ぐ者
今回は、まんまと使われたようだな。									今回は、まんまと使われたようだな。	魂を継ぐ者
こちらの計画に支障はない。本当に使われたのは自分たちだとも知らずに、闇の戦士……哀れな連中だった。									こちらの計画に支障はない。本当に使われたのは自分たちだとも知らずに、闇の戦士……哀れな連中だった。	魂を継ぐ者
貴様こそいいのか？闇の戦士は、貴様の手駒だったのだろう。									貴様こそいいのか？闇の戦士は、貴様の手駒だったのだろう。	魂を継ぐ者
一時であれ、ハイデリンに力を戻されたのは予想外だったが、結果としては、むしろ好都合だ。									一時であれ、ハイデリンに力を戻されたのは予想外だったが、結果としては、むしろ好都合だ。	魂を継ぐ者
光で無に帰された世界など、ゾディアーク様にとっても不要な存在……。あちらの「調停者」のお手並み拝見といこう。									光で無に帰された世界など、ゾディアーク様にとっても不要な存在……。あちらの「調停者」のお手並み拝見といこう。	魂を継ぐ者
それよりも、君に手土産がある。……君が憐れんだ、闇の戦士たちが回収したものだ。									それよりも、君に手土産がある。……君が憐れんだ、闇の戦士たちが回収したものだ。	魂を継ぐ者
かの地で絶えた、邪竜の眼だ。さまざまな蛮族を試したが、君が適役とみた。……受け取るがいい。									かの地で絶えた、邪竜の眼だ。さまざまな蛮族を試したが、君が適役とみた。……受け取るがいい。	魂を継ぐ者
果てのない絶望と怒り、深い怨嗟にまみれた心の持ち主……その眼には、やはりそういう者がふさわしい。どう使うも、君次第だ。									果てのない絶望と怒り、深い怨嗟にまみれた心の持ち主……その眼には、やはりそういう者がふさわしい。どう使うも、君次第だ。	魂を継ぐ者
(-？？？？-)フン、こンなところにありやがったか……。									(-？？？？-)フン、こンなところにありやがったか……。	魂を継ぐ者
くく……待たせたなぁ！存分に遊ンでやるぜ、この新しい玩具でなッ！									くく……待たせたなぁ！存分に遊ンでやるぜ、この新しい玩具でなッ！	魂を継ぐ者
石の家のタタルは、頼みたいことがあるようだ。									石の家のタタルは、頼みたいことがあるようだ。	ギラバニアからの報せ
前回までの冒険録：闇の戦士たちとの出会いと別れを通じて、かつて原初世界から分かたれた鏡像世界のひとつ、「第一世界」が陥っている危機について知ることができた。彼らは「光の氾濫」によって「無」の世界になりかけているという故郷を救うため、あえてアシエンと協力し、原初世界で「次元圧壊」を引き起こそうとしていたのだ。だが、これは第一世界のすべての命が死を迎え、エーテルとなって原初世界へ統合されることを意味する。この悲しき決断を知ったウリエンジェは、一計を案じて光の戦士と闇の戦士たちとを引き合わせ、それぞれの光のクリスタルの力を利用することで「ハイデリンの使徒」たるミンフィリアを顕現させる。そして、ミンフィリアは「光の調停者」となり、闇の戦士たちとともに世界を隔てる境界を越えた旅に出るのだった。かくして「暁」は、第一世界救済のために大切な仲間との別れを経験する……。だが、歩みを止めるわけにはいかない。イダとパパリモの復帰、アリゼーとクルルの加入を経て、彼らは決意を新たにするのだった。　　　　　　　　　　　　*　*　*タタルからレヴナンツトールにあるロウェナ記念会館内の工房「ダイヤモンドフォージ」で待つように頼まれた。「指定地点」で待機しよう。									前回までの冒険録：闇の戦士たちとの出会いと別れを通じて、かつて原初世界から分かたれた鏡像世界のひとつ、「第一世界」が陥っている危機について知ることができた。彼らは「光の氾濫」によって「無」の世界になりかけているという故郷を救うため、あえてアシエンと協力し、原初世界で「次元圧壊」を引き起こそうとしていたのだ。だが、これは第一世界のすべての命が死を迎え、エーテルとなって原初世界へ統合されることを意味する。この悲しき決断を知ったウリエンジェは、一計を案じて光の戦士と闇の戦士たちとを引き合わせ、それぞれの光のクリスタルの力を利用することで「ハイデリンの使徒」たるミンフィリアを顕現させる。そして、ミンフィリアは「光の調停者」となり、闇の戦士たちとともに世界を隔てる境界を越えた旅に出るのだった。かくして「暁」は、第一世界救済のために大切な仲間との別れを経験する……。だが、歩みを止めるわけにはいかない。イダとパパリモの復帰、アリゼーとクルルの加入を経て、彼らは決意を新たにするのだった。　　　　　　　　　　　　*　*　*タタルからレヴナンツトールにあるロウェナ記念会館内の工房「ダイヤモンドフォージ」で待つように頼まれた。「指定地点」で待機しよう。	ギラバニアからの報せ
タタルと待ち合わせをしたところ、何やらいろいろと採寸されてしまった。その後、イダに呼ばれて「暁」の面々と、次期盟主について話し合っていたところ、アラミゴ解放軍からの使者、メ・ナーゴがやってきた。彼女がもたらした鉄仮面の不可解な動きについて、各国の盟主に伝える必要がある。イシュガルドの神殿騎士団本部の「ルキア」と話そう。									タタルと待ち合わせをしたところ、何やらいろいろと採寸されてしまった。その後、イダに呼ばれて「暁」の面々と、次期盟主について話し合っていたところ、アラミゴ解放軍からの使者、メ・ナーゴがやってきた。彼女がもたらした鉄仮面の不可解な動きについて、各国の盟主に伝える必要がある。イシュガルドの神殿騎士団本部の「ルキア」と話そう。	ギラバニアからの報せ
神殿騎士団本部にて、ルキアを介してアイメリクに事情を伝えた。アイメリクは、グリダニアへのイシュガルド代表の派遣を快諾してくれたが、庶民院の議長と人選について協議したいという。代表に随行することが決まったルキアと、人選の結果を待とう。									神殿騎士団本部にて、ルキアを介してアイメリクに事情を伝えた。アイメリクは、グリダニアへのイシュガルド代表の派遣を快諾してくれたが、庶民院の議長と人選について協議したいという。代表に随行することが決まったルキアと、人選の結果を待とう。	ギラバニアからの報せ
ダイヤモンドフォージの指定地点で待機									ダイヤモンドフォージの指定地点で待機	ギラバニアからの報せ
イシュガルドのルキアと話す									イシュガルドのルキアと話す	ギラバニアからの報せ
Forenameさん！ちょうどいいところに来てくださいまっした！実は、お願いしたいことがあるのでっす。									Forenameさん！ちょうどいいところに来てくださいまっした！実は、お願いしたいことがあるのでっす。	ギラバニアからの報せ
ロウェナ記念会館内の工房、「ダイヤモンドフォージ」で待っていてほしいのでっす。詳しいことは、そこでお話しますから……お願いしまっす！									ロウェナ記念会館内の工房、「ダイヤモンドフォージ」で待っていてほしいのでっす。詳しいことは、そこでお話しますから……お願いしまっす！	ギラバニアからの報せ
