石の家のアルフィノは、新たな提案があるようだ。									石の家のアルフィノは、新たな提案があるようだ。	やがて流れは海へと注ぐ
あなたは、誰かに贈りもの、したことある？わたし、そういえば、これが初めてかも……。なんだか緊張、するね……！									あなたは、誰かに贈りもの、したことある？わたし、そういえば、これが初めてかも……。なんだか緊張、するね……！	伝えたい気持ち
あたりを見渡した。浮島の外側に向けて緩やかな下り坂になっており、青々とした草原が広がっている。									あたりを見渡した。浮島の外側に向けて緩やかな下り坂になっており、青々とした草原が広がっている。	伝えたい気持ち
ここの先なら、何かあるんじゃないかって、思ったんだけど……									ここの先なら、何かあるんじゃないかって、思ったんだけど……	伝えたい気持ち
……あれ？今、茂みの向こう、光った気がする……。何かあるのかな？									……あれ？今、茂みの向こう、光った気がする……。何かあるのかな？	伝えたい気持ち
アナグノリシス天測園のある浮島と、十二節の園がある浮島は、あわせて、「ノトスの感嘆」なんだよ。									アナグノリシス天測園のある浮島と、十二節の園がある浮島は、あわせて、「ノトスの感嘆」なんだよ。	伝えたい気持ち
南風の化身ノトスが、「すごいねー」って感動するほど、美しい場所だ……ってことなんだって。前に、メムノンから習った！									南風の化身ノトスが、「すごいねー」って感動するほど、美しい場所だ……ってことなんだって。前に、メムノンから習った！	伝えたい気持ち
これ、エルピスの花……！ここにも、咲いてたんだ……。									これ、エルピスの花……！ここにも、咲いてたんだ……。	伝えたい気持ち
……ヘルメスはね、この花のこと、好きだけど、好きじゃないみたい。									……ヘルメスはね、この花のこと、好きだけど、好きじゃないみたい。	伝えたい気持ち
わたしと同じ、エンテレケイア。だから、ヘルメスの苦しい気持ちを感じ取って、暗い色になっちゃう……。									わたしと同じ、エンテレケイア。だから、ヘルメスの苦しい気持ちを感じ取って、暗い色になっちゃう……。	伝えたい気持ち
ほかの人が近づいても、いつも、きれいな白のまま……。ヘルメスは、それが哀しくて、寂しいみたい……。									ほかの人が近づいても、いつも、きれいな白のまま……。ヘルメスは、それが哀しくて、寂しいみたい……。	伝えたい気持ち
本当……！？あなたのいた場所では、不安の暗い色、してたの！？									本当……！？あなたのいた場所では、不安の暗い色、してたの！？	伝えたい気持ち
じゃあ、あなたにも、何か……この花を暗く染めるような想い、ある……？									じゃあ、あなたにも、何か……この花を暗く染めるような想い、ある……？	伝えたい気持ち
何と言う？									何と言う？	伝えたい気持ち
悲しい別れの記憶がある									悲しい別れの記憶がある	伝えたい気持ち
怒りや悔しさを覚えたことがある									怒りや悔しさを覚えたことがある	伝えたい気持ち
不安に感じていることがある									不安に感じていることがある	伝えたい気持ち
さあ、どうだろう？									さあ、どうだろう？	伝えたい気持ち
ああ……そうなのね……！									ああ……そうなのね……！	伝えたい気持ち
悲しい別れ……ヘルメスにもある……何度もあったのに、誰にも、気づかれていないの……。									悲しい別れ……ヘルメスにもある……何度もあったのに、誰にも、気づかれていないの……。	伝えたい気持ち
Forename……お願い……。あなたの、その悲しみを、一度だけ貸してください……！									Forename……お願い……。あなたの、その悲しみを、一度だけ貸してください……！	伝えたい気持ち
ああ……そうなのね……！									ああ……そうなのね……！	伝えたい気持ち
焼けつくような憤り、悔しいこと、ヘルメスにもある……だけど、誰にも、理解されないみたいなの……。									焼けつくような憤り、悔しいこと、ヘルメスにもある……だけど、誰にも、理解されないみたいなの……。	伝えたい気持ち
Forename……お願い……。あなたの、その焼ける想いを、一度だけ貸してください……！									Forename……お願い……。あなたの、その焼ける想いを、一度だけ貸してください……！	伝えたい気持ち
ああ……そうなのね……！									ああ……そうなのね……！	伝えたい気持ち
思い浮かべるだけで、胸が重くなるようなこと、ヘルメスにもある……だけど、周りは、そうじゃないみたいなの……。									思い浮かべるだけで、胸が重くなるようなこと、ヘルメスにもある……だけど、周りは、そうじゃないみたいなの……。	伝えたい気持ち
Forename……お願い……。あなたの、その不安を、一度だけ貸してください……！									Forename……お願い……。あなたの、その不安を、一度だけ貸してください……！	伝えたい気持ち
いいの、わたしに教えなくて……。それはきっと「隠したい想い」だと、思うから……。									いいの、わたしに教えなくて……。それはきっと「隠したい想い」だと、思うから……。	伝えたい気持ち
だけど、お願い……。あなたに悲しいこと、寂しいこと、苦しいこと、そういう想いがあるのなら、一度だけ、それを貸して……！									だけど、お願い……。あなたに悲しいこと、寂しいこと、苦しいこと、そういう想いがあるのなら、一度だけ、それを貸して……！	伝えたい気持ち
この花を暗い色にして、ヘルメスに見せてあげたいの。									この花を暗い色にして、ヘルメスに見せてあげたいの。	伝えたい気持ち
ヘルメスは、わたしを創ったときからずっと、ひとりで思い悩んでるから……暗い色、わかちあうの、必要だと思う……。									ヘルメスは、わたしを創ったときからずっと、ひとりで思い悩んでるから……暗い色、わかちあうの、必要だと思う……。	伝えたい気持ち
いいの……？									いいの……？	伝えたい気持ち
ありがとう……ありがとう、Forename！ああ……言葉、下手なのが、こんなにもどかしいなんて！									ありがとう……ありがとう、Forename！ああ……言葉、下手なのが、こんなにもどかしいなんて！	伝えたい気持ち
それじゃあ、十二節の園で、話し合い終わるのを待って、ヘルメスをここに連れてこよう。きっと、驚くね！									それじゃあ、十二節の園で、話し合い終わるのを待って、ヘルメスをここに連れてこよう。きっと、驚くね！	伝えたい気持ち
まだ、話し合い、続いてるみたい……。わたし、あなたと一緒に、待つ！									まだ、話し合い、続いてるみたい……。わたし、あなたと一緒に、待つ！	伝えたい気持ち
十二節の園のヘルメスは、重々しい様子だ。									十二節の園のヘルメスは、重々しい様子だ。	結論と責任
ドーロスと話す									ドーロスと話す	結論と責任
ヘルメスと話す									ヘルメスと話す	結論と責任
リュカオンの正面に立ち、火球を討伐									リュカオンの正面に立ち、火球を討伐	結論と責任
リュカオンの正面の指定地点に向かう									リュカオンの正面の指定地点に向かう	結論と責任
エメトセルクと話す									エメトセルクと話す	結論と責任
ああ、お前か……。私たちが話し合いに立ち会っている間、問題を起こしたりはしなかっただろうな？									ああ、お前か……。私たちが話し合いに立ち会っている間、問題を起こしたりはしなかっただろうな？	結論と責任
キミも少しは休めたかい？それほどエーテル量の少ない身体じゃ、疲れるでしょ。休憩をしたかったら、遠慮なく言うんだよ。									キミも少しは休めたかい？それほどエーテル量の少ない身体じゃ、疲れるでしょ。休憩をしたかったら、遠慮なく言うんだよ。	結論と責任
ヘルメスに、あの花を見せられて、よかった……どうもありがとう、Forename。									ヘルメスに、あの花を見せられて、よかった……どうもありがとう、Forename。	結論と責任
……これで、今日、乗り越えられるといいな。									……これで、今日、乗り越えられるといいな。	結論と責任
みんな、休息は十分だろうか。……これより、次の仕事に向かう。									みんな、休息は十分だろうか。……これより、次の仕事に向かう。	結論と責任
立ち会っていたエメトセルクとヒュトロダエウスは、すでに知っていることだと思うが……先の話し合いで、リュカオンの処遇が決まった……。									立ち会っていたエメトセルクとヒュトロダエウスは、すでに知っていることだと思うが……先の話し合いで、リュカオンの処遇が決まった……。	結論と責任
エルピスに現存する、観察用に創造されたリュカオンは、7体……。									エルピスに現存する、観察用に創造されたリュカオンは、7体……。	結論と責任
そのすべてを…………消滅させる。									そのすべてを…………消滅させる。	結論と責任
ドーロスの観察は、正しく行われていた。彼の導き出した結論に、誤りはなかった……自分は、エルピス所長として、それを認めなければならない。									ドーロスの観察は、正しく行われていた。彼の導き出した結論に、誤りはなかった……自分は、エルピス所長として、それを認めなければならない。	結論と責任
リュカオンを解き放てば、周辺の生態系を破壊し、やがては自身も死滅する……。世界のどこに移送することも、エルピスに残すこともできない。									リュカオンを解き放てば、周辺の生態系を破壊し、やがては自身も死滅する……。世界のどこに移送することも、エルピスに残すこともできない。	結論と責任
せめてそのイデアを、制約のつく危険生物として残せないか、創造物管理局に提言するつもりだ……ヒュトロダエウスも、それは支持すると約束してくれた。									せめてそのイデアを、制約のつく危険生物として残せないか、創造物管理局に提言するつもりだ……ヒュトロダエウスも、それは支持すると約束してくれた。	結論と責任
だが……いずれにせよ、現存する個体は消し去らなければならない。									だが……いずれにせよ、現存する個体は消し去らなければならない。	結論と責任
すでに、主担当であるドーロスが、リュカオンたちを観察拠点から離れた場所に連れ出している。									すでに、主担当であるドーロスが、リュカオンたちを観察拠点から離れた場所に連れ出している。	結論と責任
自分は、そこに合流して……見届けるつもりだ……。人の……己の行いの……結果として……。									自分は、そこに合流して……見届けるつもりだ……。人の……己の行いの……結果として……。	結論と責任
お前がそう決めたなら、私たちも付き合うだけだ。……視察をするのが役目だからな。									お前がそう決めたなら、私たちも付き合うだけだ。……視察をするのが役目だからな。	結論と責任
ああ、行こう……。ここからだと、大橋を越えた先にいるはずだ……。									ああ、行こう……。ここからだと、大橋を越えた先にいるはずだ……。	結論と責任
ドーロス！大丈夫か、いったい何が……！？									ドーロス！大丈夫か、いったい何が……！？	結論と責任
ハァ……ハァ……しくじった……。									ハァ……ハァ……しくじった……。	結論と責任
強固な「鎖」の魔法で、リュカオンを繋いでおいたんだが……こいつらが、今までにないくらい、暴れ出して……魔法が、千切られたんだ……！									強固な「鎖」の魔法で、リュカオンを繋いでおいたんだが……こいつらが、今までにないくらい、暴れ出して……魔法が、千切られたんだ……！	結論と責任
とっさに、4体は討ち取った……。だが、残りの3体に……逃げられて……。									とっさに、4体は討ち取った……。だが、残りの3体に……逃げられて……。	結論と責任
……視えた。2体は、十二節の園の方角、上空だ。									……視えた。2体は、十二節の園の方角、上空だ。	結論と責任
最後の1体は、まだこの先の草原に留まってるな……。									最後の1体は、まだこの先の草原に留まってるな……。	結論と責任
お前とForenameで、草原の方に対処しろ。十二節の園の方は、私が引き受ける。									お前とForenameで、草原の方に対処しろ。十二節の園の方は、私が引き受ける。	結論と責任
……了解だ……恩に着る。									……了解だ……恩に着る。	結論と責任
ワタシも、微力ながら手伝うよ！									ワタシも、微力ながら手伝うよ！	結論と責任
君はここで、ドーロスと一緒に待っているんだ。									君はここで、ドーロスと一緒に待っているんだ。	結論と責任
でも、ヘルメス……！									でも、ヘルメス……！	結論と責任
…………リュカオンを倒すことになる。そのときの気持ちを、君まで味わうことはない。									…………リュカオンを倒すことになる。そのときの気持ちを、君まで味わうことはない。	結論と責任
君にも、無理強いはしない。それでも協力してくれるのなら……追ってきてほしい。									君にも、無理強いはしない。それでも協力してくれるのなら……追ってきてほしい。	結論と責任
Forename……ヘルメスに、手を、貸してあげて……。									Forename……ヘルメスに、手を、貸してあげて……。	結論と責任
俺は大丈夫だ、この程度の怪我なら、すぐに治せる……。それよりも……悪い、リュカオンを頼んだ……！									俺は大丈夫だ、この程度の怪我なら、すぐに治せる……。それよりも……悪い、リュカオンを頼んだ……！	結論と責任
……ありがとう……それに、巻き込んですまない。									……ありがとう……それに、巻き込んですまない。	結論と責任
リュカオンは、この先だ。見てのとおり宙に浮いた状態……うまくやらないと、空を駆けて逃げるだろう。									リュカオンは、この先だ。見てのとおり宙に浮いた状態……うまくやらないと、空を駆けて逃げるだろう。	結論と責任
作戦がある……君はリュカオンの正面に出て、注意を引いてくれ。									作戦がある……君はリュカオンの正面に出て、注意を引いてくれ。	結論と責任
彼らは炎狼の異名で呼ばれるとおり、炎を吐く。君にも、火球を飛ばしてくるはずだ……。									彼らは炎狼の異名で呼ばれるとおり、炎を吐く。君にも、火球を飛ばしてくるはずだ……。	結論と責任
申し訳ないが、それに耐えて、正面に立ち続けていてくれ。リュカオンの警戒が君に集中したとき……自分が魔法で不意打ちをかけよう。									申し訳ないが、それに耐えて、正面に立ち続けていてくれ。リュカオンの警戒が君に集中したとき……自分が魔法で不意打ちをかけよう。	結論と責任
………………よし、行動開始だ！									………………よし、行動開始だ！	結論と責任
リュカオンの正面に立って、注意を引きつけてくれ。彼の飛ばしてくる火球には気をつけるんだ……！									リュカオンの正面に立って、注意を引きつけてくれ。彼の飛ばしてくる火球には気をつけるんだ……！	結論と責任
リュカオンの火球が襲い掛かってきた！！									リュカオンの火球が襲い掛かってきた！！	結論と責任
リュカオンが再び火球を生み出した！！									リュカオンが再び火球を生み出した！！	結論と責任
あと少し……！そのままリュカオンの正面で、注意を引きつけてくれ！									あと少し……！そのままリュカオンの正面で、注意を引きつけてくれ！	結論と責任
ここで一段落といこうか。キミも、突然のことばかりで驚いただろう。怪我はしていないかい？									ここで一段落といこうか。キミも、突然のことばかりで驚いただろう。怪我はしていないかい？	結論と責任
私たちが合流した時点でヘルメスも察していただろうが、残り2体のリュカオンへの対処も、すでに終わっている。									私たちが合流した時点でヘルメスも察していただろうが、残り2体のリュカオンへの対処も、すでに終わっている。	結論と責任
これで、この件は終了だ。あとはいつもどおりに事が進んでいくだろう……何もかもな。									これで、この件は終了だ。あとはいつもどおりに事が進んでいくだろう……何もかもな。	結論と責任
……ヘルメスの考えは、理屈としては理解できる。素晴らしい終わりだったとしても、知人が星に還ったあとに、ふと寂しく思うようなことはあるからな。									……ヘルメスの考えは、理屈としては理解できる。素晴らしい終わりだったとしても、知人が星に還ったあとに、ふと寂しく思うようなことはあるからな。	結論と責任
だが、何かを喪ったことで、あれほど深刻に悲しんで、取り乱した経験はない。……どんな想いなんだろうな、あれは。									だが、何かを喪ったことで、あれほど深刻に悲しんで、取り乱した経験はない。……どんな想いなんだろうな、あれは。	結論と責任
十二節の園のヒュトロダエウスは、今後について相談したいようだ。									十二節の園のヒュトロダエウスは、今後について相談したいようだ。	巡り合う旅人たち
ヒュトロダエウスたちとともに、新たな区画に行くことになった。ノトスの感嘆、十二節の園とアナグノリシス天測園の間にいる「ヒュトロダエウス」と話そう。									ヒュトロダエウスたちとともに、新たな区画に行くことになった。ノトスの感嘆、十二節の園とアナグノリシス天測園の間にいる「ヒュトロダエウス」と話そう。	巡り合う旅人たち
ヒュトロダエウスから案内を受けた。エルピスのナビ・ノトスにいる「ヒュトロダエウス」と話そう。									ヒュトロダエウスから案内を受けた。エルピスのナビ・ノトスにいる「ヒュトロダエウス」と話そう。	巡り合う旅人たち
転移装置を使い、ゼピュロスの喝采にやってきたところで、ヴェーネスと出会った。エルピスのナビ・南ゼピュロスにいる「ヴェーネス」と話そう。									転移装置を使い、ゼピュロスの喝采にやってきたところで、ヴェーネスと出会った。エルピスのナビ・南ゼピュロスにいる「ヴェーネス」と話そう。	巡り合う旅人たち
ヴェーネスの受けている依頼を手伝うことになった。ゼピュロスの喝采の南側で「イデアが刻まれたクリスタル」を探そう。									ヴェーネスの受けている依頼を手伝うことになった。ゼピュロスの喝采の南側で「イデアが刻まれたクリスタル」を探そう。	巡り合う旅人たち
それらしきクリスタルを見つけた。エルピスのポイエテーン・オイコス付近にいる「ヴェーネス」に「イデアが刻まれたクリスタル」を渡そう。									それらしきクリスタルを見つけた。エルピスのポイエテーン・オイコス付近にいる「ヴェーネス」に「イデアが刻まれたクリスタル」を渡そう。	巡り合う旅人たち
ヴェーネスにイデアが刻まれたクリスタルを渡した。前アゼムであった彼女は、こういった依頼を、よく受けていたようだ。彼女の言うとおり、この出会いが間違いでないならば、冒険者に何をもたらすのだろうか。									ヴェーネスにイデアが刻まれたクリスタルを渡した。前アゼムであった彼女は、こういった依頼を、よく受けていたようだ。彼女の言うとおり、この出会いが間違いでないならば、冒険者に何をもたらすのだろうか。	巡り合う旅人たち
ヒュトロダエウスと話す									ヒュトロダエウスと話す	巡り合う旅人たち
ヒュトロダエウスと再度話す									ヒュトロダエウスと再度話す	巡り合う旅人たち
ヴェーネスと話す									ヴェーネスと話す	巡り合う旅人たち
イデアが刻まれたクリスタルを探す									イデアが刻まれたクリスタルを探す	巡り合う旅人たち
ヴェーネスにイデアが刻まれたクリスタルを渡す									ヴェーネスにイデアが刻まれたクリスタルを渡す	巡り合う旅人たち
ヘルメスに掛けるべき言葉さえ、正直、見当がつかん……。あいつが、あれ以上塞がないといいんだがな……。									ヘルメスに掛けるべき言葉さえ、正直、見当がつかん……。あいつが、あれ以上塞がないといいんだがな……。	巡り合う旅人たち
さて、ワタシたちは、このあとどうしようか？見たい場所があるなら、案内を続けるけど……。									さて、ワタシたちは、このあとどうしようか？見たい場所があるなら、案内を続けるけど……。	巡り合う旅人たち
ヘルメスは、十四人委員会への返答を保留にしただけだ。まだ明確に断ってはいない。									ヘルメスは、十四人委員会への返答を保留にしただけだ。まだ明確に断ってはいない。	巡り合う旅人たち
だとしたら、私は視察を続けるだけだ。本人と別行動なら別行動で、ほかの職員の話を聞いたり、やりようはあるだろう。									だとしたら、私は視察を続けるだけだ。本人と別行動なら別行動で、ほかの職員の話を聞いたり、やりようはあるだろう。	巡り合う旅人たち
キミもキミで、真面目だねぇ……。そういうことなら、もちろん、付き合うよ。									キミもキミで、真面目だねぇ……。そういうことなら、もちろん、付き合うよ。	巡り合う旅人たち
Forenameも、引き続き一緒に行くかい？									Forenameも、引き続き一緒に行くかい？	巡り合う旅人たち
よしきた、それじゃあ三人で、次の区画に向かうとしよう！新たな場所なら、新たな出会いや証言にも、期待できるだろうしね！									よしきた、それじゃあ三人で、次の区画に向かうとしよう！新たな場所なら、新たな出会いや証言にも、期待できるだろうしね！	巡り合う旅人たち
案内するから、まずはリュカオンの一件があったあたり……アナグノリシス天測園との間にある、分岐路のところまで、お越しいただけるかな？									案内するから、まずはリュカオンの一件があったあたり……アナグノリシス天測園との間にある、分岐路のところまで、お越しいただけるかな？	巡り合う旅人たち
そういえば……ヘルメスたちも、こちらの方向に立ち去ったな。期せずして行き先が同じということも、あり得るわけか。									そういえば……ヘルメスたちも、こちらの方向に立ち去ったな。期せずして行き先が同じということも、あり得るわけか。	巡り合う旅人たち
そろったね。ここから道なりに北へ向かうと、「ナビ・ノトス」があるんだ。									そろったね。ここから道なりに北へ向かうと、「ナビ・ノトス」があるんだ。	巡り合う旅人たち
「ナビ」っていうのは、エルピス内に点在する、ほかの浮島への転移装置さ。									「ナビ」っていうのは、エルピス内に点在する、ほかの浮島への転移装置さ。	巡り合う旅人たち
最初は、使用権限を持つ人が同伴してないと使えないけど、ワタシがすでに権限を得ているからね。ひとたび一緒に利用すれば、キミたちも自由に使えるはずだ。									最初は、使用権限を持つ人が同伴してないと使えないけど、ワタシがすでに権限を得ているからね。ひとたび一緒に利用すれば、キミたちも自由に使えるはずだ。	巡り合う旅人たち
ということで、「ナビ・ノトス」に行ってみよう！									ということで、「ナビ・ノトス」に行ってみよう！	巡り合う旅人たち
先に断っておくが、必要に迫られないかぎり、エーテルを視る眼でヘルメスを追うことはないぞ。他人の動向を、始終覗き見るなど品性に欠ける……。									先に断っておくが、必要に迫られないかぎり、エーテルを視る眼でヘルメスを追うことはないぞ。他人の動向を、始終覗き見るなど品性に欠ける……。	巡り合う旅人たち
そもそも、エーテルを視るか、物質を見るかというのは、眼の焦点を変えるようなものだ。私たちとて、普段は当然、物質の方に目を向けている。									そもそも、エーテルを視るか、物質を見るかというのは、眼の焦点を変えるようなものだ。私たちとて、普段は当然、物質の方に目を向けている。	巡り合う旅人たち
ここが、ナビ・ノトス……中央の転移装置は、「ゼピュロスの喝采」に繋がってるんだ。									ここが、ナビ・ノトス……中央の転移装置は、「ゼピュロスの喝采」に繋がってるんだ。	巡り合う旅人たち
「ゼピュロスの喝采」っていうのは、西の浮島を主とした区画さ。今ワタシたちの前にある巨大な岩の塊は、まさにその浮島の底面にあたるよ。									「ゼピュロスの喝采」っていうのは、西の浮島を主とした区画さ。今ワタシたちの前にある巨大な岩の塊は、まさにその浮島の底面にあたるよ。	巡り合う旅人たち
さ、ふたりとも転移装置の中央へ！さっそく起動させよう。									さ、ふたりとも転移装置の中央へ！さっそく起動させよう。	巡り合う旅人たち
悪巧みをしている風でもないのに、一向に素性や目的を明かさないと思えば……とんだ秘密を隠していたものだな。									悪巧みをしている風でもないのに、一向に素性や目的を明かさないと思えば……とんだ秘密を隠していたものだな。	巡り合う旅人たち
私としても、未来が変わるなどという確かめようのない話より、お前についての確認を優先したいところだ。徹底的に白状してもらうぞ。									私としても、未来が変わるなどという確かめようのない話より、お前についての確認を優先したいところだ。徹底的に白状してもらうぞ。	巡り合う旅人たち
未来……未来か……。何はともあれ、まずは話を聞かせてもらわないとね。									未来……未来か……。何はともあれ、まずは話を聞かせてもらわないとね。	巡り合う旅人たち
「ナビ・南ゼピュロス」へ移動しますか？									「ナビ・南ゼピュロス」へ移動しますか？	巡り合う旅人たち
さっそく移動をしたいところなのですが……ごめんなさい、ひとつ用事を済ませてもいいでしょうか？									さっそく移動をしたいところなのですが……ごめんなさい、ひとつ用事を済ませてもいいでしょうか？	巡り合う旅人たち
実は、職員のひとりに頼まれて、イデアが記録されたクリスタルを探していたのです。目を離した隙に、オレイアスが持ち出してしまったそうで……。									実は、職員のひとりに頼まれて、イデアが記録されたクリスタルを探していたのです。目を離した隙に、オレイアスが持ち出してしまったそうで……。	巡り合う旅人たち
おや、それらしきオレイアスなら、サメに襲われる前に見ましたよ。ワタシとエメトセルクで、エーテルを追いましょうか？									おや、それらしきオレイアスなら、サメに襲われる前に見ましたよ。ワタシとエメトセルクで、エーテルを追いましょうか？	巡り合う旅人たち
もっとも、追えるのはオレイアスだけ……詳細のわからないクリスタル自体を探せはしませんから、途中で落としたりしていたら、解決にはなりませんが……。									もっとも、追えるのはオレイアスだけ……詳細のわからないクリスタル自体を探せはしませんから、途中で落としたりしていたら、解決にはなりませんが……。	巡り合う旅人たち
十分です、ではオレイアスの追跡はお願いしますね。私はその間、森の中にクリスタルが落ちていないか見てきます。									十分です、ではオレイアスの追跡はお願いしますね。私はその間、森の中にクリスタルが落ちていないか見てきます。	巡り合う旅人たち
あなたにも、力を貸してもらっていいですか？私はここから北側の森を受け持つので、西側の森をお願いしたいのです。									あなたにも、力を貸してもらっていいですか？私はここから北側の森を受け持つので、西側の森をお願いしたいのです。	巡り合う旅人たち
ありがとうございます。では、それぞれ探索をしたあとに、ポイエテーン・オイコスに続く橋の前で合流しましょう。									ありがとうございます。では、それぞれ探索をしたあとに、ポイエテーン・オイコスに続く橋の前で合流しましょう。	巡り合う旅人たち
ただでさえ頭の痛くなるお前の問題に、アゼムの座に連なる者が絡むとは…………									ただでさえ頭の痛くなるお前の問題に、アゼムの座に連なる者が絡むとは…………	巡り合う旅人たち
……くっ、考えるだけで眉間が寄ってくる！									……くっ、考えるだけで眉間が寄ってくる！	巡り合う旅人たち
前アゼムと現アゼムの師弟は、いろいろとすごいんだ。エメトセルクは始終苦いものを食べてるような顔をするし、ワタシは大抵、手を叩いて笑うことになる。									前アゼムと現アゼムの師弟は、いろいろとすごいんだ。エメトセルクは始終苦いものを食べてるような顔をするし、ワタシは大抵、手を叩いて笑うことになる。	巡り合う旅人たち
おかえりなさい。オレイアスは、クリスタルを持っていなかったそうです。私の見回った範囲にも落ちていませんでした……。									おかえりなさい。オレイアスは、クリスタルを持っていなかったそうです。私の見回った範囲にも落ちていませんでした……。	巡り合う旅人たち
そちらはいかがでしたか？									そちらはいかがでしたか？	巡り合う旅人たち
ああ、これ！回収を頼まれていたのは、まさにこれです！									ああ、これ！回収を頼まれていたのは、まさにこれです！	巡り合う旅人たち
ありがとうございます。おかげで依頼を気にすることなく、あなたの話が聞けそうです。探しもの、お上手なのですね。									ありがとうございます。おかげで依頼を気にすることなく、あなたの話が聞けそうです。探しもの、お上手なのですね。	巡り合う旅人たち
何と言う？									何と言う？	巡り合う旅人たち
自分もよくこういう依頼を受ける									自分もよくこういう依頼を受ける	巡り合う旅人たち
旅には探索がつきものだから									旅には探索がつきものだから	巡り合う旅人たち
あら、あなたも？まさかそんな共通点があるなんて！									あら、あなたも？まさかそんな共通点があるなんて！	巡り合う旅人たち
あら、あなたも旅を？まさかそんな共通点があるなんて！									あら、あなたも旅を？まさかそんな共通点があるなんて！	巡り合う旅人たち
私は昔、アゼムの座に就いていたとき、人々の抱える問題を見聞きし、解消するために、星中を駆けまわっていました。									私は昔、アゼムの座に就いていたとき、人々の抱える問題を見聞きし、解消するために、星中を駆けまわっていました。	巡り合う旅人たち
その先で見つけた「おもしろい子」に座を託してからは、以前ほどそういう旅をしていないのですが……									その先で見つけた「おもしろい子」に座を託してからは、以前ほどそういう旅をしていないのですが……	巡り合う旅人たち
それでも、旧知から声が掛かったり、調べたいことができたりしたときには、足を運んでいます。									それでも、旧知から声が掛かったり、調べたいことができたりしたときには、足を運んでいます。	巡り合う旅人たち
エルピスに来たのも、そう……。創造生物の生息地を定めるにあたって意見を聞きたいと、こうして何度か招かれているのです。									エルピスに来たのも、そう……。創造生物の生息地を定めるにあたって意見を聞きたいと、こうして何度か招かれているのです。	巡り合う旅人たち
けれど、困った様子の職員から引き受けたクリスタルの捜索が、こんな思いもよらない展開に結びつくなんて！旅はやっぱり、こうでないと！									けれど、困った様子の職員から引き受けたクリスタルの捜索が、こんな思いもよらない展開に結びつくなんて！旅はやっぱり、こうでないと！	巡り合う旅人たち
ゼピュロスの喝采のヴェーネスは、朗らかな様子だ。									ゼピュロスの喝采のヴェーネスは、朗らかな様子だ。	未だ訪れぬ過去
ヴェーネスと話す									ヴェーネスと話す	未だ訪れぬ過去
ヴェーネスと再度話す									ヴェーネスと再度話す	未だ訪れぬ過去
ヴェーネスとさらに話す									ヴェーネスとさらに話す	未だ訪れぬ過去
イスメーネーと話す									イスメーネーと話す	未だ訪れぬ過去
ヴェーネスと話す									ヴェーネスと話す	未だ訪れぬ過去
ティマイオスを探す									ティマイオスを探す	未だ訪れぬ過去
ヴェーネスと話す									ヴェーネスと話す	未だ訪れぬ過去
ただでさえ頭の痛くなるお前の問題に、アゼムの座に連なる者が絡むとは…………									ただでさえ頭の痛くなるお前の問題に、アゼムの座に連なる者が絡むとは…………	未だ訪れぬ過去
……くっ、考えるだけで眉間が寄ってくる！									……くっ、考えるだけで眉間が寄ってくる！	未だ訪れぬ過去
前アゼムと現アゼムの師弟は、いろいろとすごいんだ。エメトセルクは始終苦いものを食べてるような顔をするし、ワタシは大抵、手を叩いて笑うことになる。									前アゼムと現アゼムの師弟は、いろいろとすごいんだ。エメトセルクは始終苦いものを食べてるような顔をするし、ワタシは大抵、手を叩いて笑うことになる。	未だ訪れぬ過去
お手伝いいただき、とても助かりました。回収したクリスタルは、帰りがけに依頼者に返すとして……									お手伝いいただき、とても助かりました。回収したクリスタルは、帰りがけに依頼者に返すとして……	未だ訪れぬ過去
この橋の先は、もう観測拠点ポイエテーン・オイコスです。改めて、私の借りている館へ向かうとしましょう。									この橋の先は、もう観測拠点ポイエテーン・オイコスです。改めて、私の借りている館へ向かうとしましょう。	未だ訪れぬ過去
道をまっすぐに進み、坂を登って、正面の建物です。ほかに誰も使っていないので、込み入った話をするには最適かと思いますよ。									道をまっすぐに進み、坂を登って、正面の建物です。ほかに誰も使っていないので、込み入った話をするには最適かと思いますよ。	未だ訪れぬ過去
確かに、ここならじっくり話ができそうだな。									確かに、ここならじっくり話ができそうだな。	未だ訪れぬ過去
緊張せずとも大丈夫だよ。ヴェーネス様が纏っている白いローブは、公正なる「染まらぬ者」の証……									緊張せずとも大丈夫だよ。ヴェーネス様が纏っている白いローブは、公正なる「染まらぬ者」の証……	未だ訪れぬ過去
十四人委員会を筆頭とする公的な役職を下りてなお生きる者と、調停者エリディブスのみが纏える、助言者の印さ。キミの話も、しっかり受け止めてくれると思うよ。									十四人委員会を筆頭とする公的な役職を下りてなお生きる者と、調停者エリディブスのみが纏える、助言者の印さ。キミの話も、しっかり受け止めてくれると思うよ。	未だ訪れぬ過去
仮宿ではありますが、ようこそ。すぐにお茶を淹れてきますので、お好きな席に座っていてくださいね。									仮宿ではありますが、ようこそ。すぐにお茶を淹れてきますので、お好きな席に座っていてくださいね。	未だ訪れぬ過去
さっそく、ヘルメスとメーティオンについて、調べていくとしましょう。									さっそく、ヘルメスとメーティオンについて、調べていくとしましょう。	未だ訪れぬ過去
