石の家のタタルは、冒険者に重大な報告があるようだ。									石の家のタタルは、冒険者に重大な報告があるようだ。	予感
よろしく頼むわね。ところで……その間、別の仕事のために、あなたの妹の力を借りられないかしら？									よろしく頼むわね。ところで……その間、別の仕事のために、あなたの妹の力を借りられないかしら？	護り手の里
大飛瀑方面で目撃されたのが大罪喰いだという情報は、かなり有力ではあるけれど、まだ可能性のひとつよ。ほかの線もないか、引き続き探っておきたいの。									大飛瀑方面で目撃されたのが大罪喰いだという情報は、かなり有力ではあるけれど、まだ可能性のひとつよ。ほかの線もないか、引き続き探っておきたいの。	護り手の里
私の仲間たちは、それぞれ異なる分野の知識に長けていてね。この森について知れば、何かに気づくかもしれないけれど……それには、案内役がほしいのよ。									私の仲間たちは、それぞれ異なる分野の知識に長けていてね。この森について知れば、何かに気づくかもしれないけれど……それには、案内役がほしいのよ。	護り手の里
そういうことなら……ウィメ、シャイメ、頼めるな。									そういうことなら……ウィメ、シャイメ、頼めるな。	護り手の里
まっかせて！									まっかせて！	護り手の里
然れば、私たちは、ウィメ嬢、シャイメ嬢とともに、さらなる聞き込みや、森の観察をして参りましょう。またのちほど……そちらも、お気をつけて。									然れば、私たちは、ウィメ嬢、シャイメ嬢とともに、さらなる聞き込みや、森の観察をして参りましょう。またのちほど……そちらも、お気をつけて。	護り手の里
ファノヴの里のアルメは、案内をしてくれるようだ。									ファノヴの里のアルメは、案内をしてくれるようだ。	明星に導かれ
アルメと話す									アルメと話す	明星に導かれ
ヤ・シュトラと話す									ヤ・シュトラと話す	明星に導かれ
ロンカの碑文に転写用の粘土板を使う									ロンカの碑文に転写用の粘土板を使う	明星に導かれ
ヤ・シュトラに転写された粘土板を渡す									ヤ・シュトラに転写された粘土板を渡す	明星に導かれ
ヤ・シュトラと話す									ヤ・シュトラと話す	明星に導かれ
アルメと話す									アルメと話す	明星に導かれ
私たちは、あなたの得た情報が当たりだと信じて、キタンナ神影洞を開くことに注力しましょう。									私たちは、あなたの得た情報が当たりだと信じて、キタンナ神影洞を開くことに注力しましょう。	明星に導かれ
先ほども言ったとおり、キタンナ神影洞の扉を開くためには、「クムル星遺跡群」の仕掛けを動かし、魔力を流す必要がある。									先ほども言ったとおり、キタンナ神影洞の扉を開くためには、「クムル星遺跡群」の仕掛けを動かし、魔力を流す必要がある。	明星に導かれ
それには、遺跡群の中枢に到達することが必要不可欠だが……その道すらも、魔法で厳重に封じられているのだ。									それには、遺跡群の中枢に到達することが必要不可欠だが……その道すらも、魔法で厳重に封じられているのだ。	明星に導かれ
そこで、まずは里を出て北西に向かい、遺跡群の端、「四つの明星」と呼ばれる4基のピラミッドを目指す。ついてきてくれ。									そこで、まずは里を出て北西に向かい、遺跡群の端、「四つの明星」と呼ばれる4基のピラミッドを目指す。ついてきてくれ。	明星に導かれ
このピラミッド……マハやギラバニアの遺跡に似ているわ。地脈を抑えるための重しとして機能しているようね。									このピラミッド……マハやギラバニアの遺跡に似ているわ。地脈を抑えるための重しとして機能しているようね。	明星に導かれ
ふたりとも、はぐれていないな。では、周囲を見渡してもらいたい……。									ふたりとも、はぐれていないな。では、周囲を見渡してもらいたい……。	明星に導かれ
数多くのロンカの遺構が遺されているのがわかるだろう？ここが、目的のクムル星遺跡群……その外端にある「四つの明星」だ。									数多くのロンカの遺構が遺されているのがわかるだろう？ここが、目的のクムル星遺跡群……その外端にある「四つの明星」だ。	明星に導かれ
さらに北へ進むと、中枢たる遺跡……よろずなる神の御殿「ユキス・ネルの大ピラミッド」に着く。									さらに北へ進むと、中枢たる遺跡……よろずなる神の御殿「ユキス・ネルの大ピラミッド」に着く。	明星に導かれ
その内部が最終的な目的地ではあるが、直行しても、魔法で閉ざされた扉を見るだけになるだろう。									その内部が最終的な目的地ではあるが、直行しても、魔法で閉ざされた扉を見るだけになるだろう。	明星に導かれ
つまりは、まずこの場所に隠されし仕掛けを見つけ、解き明かさなければ、先に進めないということだ。「ロンカの印章」を見つけ出したお前たちなら、できるな？									つまりは、まずこの場所に隠されし仕掛けを見つけ、解き明かさなければ、先に進めないということだ。「ロンカの印章」を見つけ出したお前たちなら、できるな？	明星に導かれ
……ですってよ？トレジャーハンターの素質があるだなんて、軽々しく言うものではなかったかしら……。									……ですってよ？トレジャーハンターの素質があるだなんて、軽々しく言うものではなかったかしら……。	明星に導かれ
ひとまず、もう少し奥に進んで、様子を見てみましょう。									ひとまず、もう少し奥に進んで、様子を見てみましょう。	明星に導かれ
我々は、自ら謎を解こうなどという、不敬な考えは持たない。ゆえに、見慣れた場所ではあれど、仕掛けについては本当に知らないのだ。									我々は、自ら謎を解こうなどという、不敬な考えは持たない。ゆえに、見慣れた場所ではあれど、仕掛けについては本当に知らないのだ。	明星に導かれ
……なるほど。これは、前回の応用が利きそうね。									……なるほど。これは、前回の応用が利きそうね。	明星に導かれ
Forename、周囲の石像に見覚えがなくて？これらはすべて、何らかの動物……ロンカで崇められていた神獣を象っているわ。									Forename、周囲の石像に見覚えがなくて？これらはすべて、何らかの動物……ロンカで崇められていた神獣を象っているわ。	明星に導かれ
湖に沈んだ遺跡と同様に、正しい石像と触れることで、扉が開く仕掛けと見て、まず間違いないでしょう。									湖に沈んだ遺跡と同様に、正しい石像と触れることで、扉が開く仕掛けと見て、まず間違いないでしょう。	明星に導かれ
ただし、今回は正解の石像に結びつく情報が欠けているわ。それぞれ手分けして、手がかりを集めていきましょう。									ただし、今回は正解の石像に結びつく情報が欠けているわ。それぞれ手分けして、手がかりを集めていきましょう。	明星に導かれ
それくらいならば、私も手伝おう。この遺跡には、判別可能な碑文がいくつか遺されている。それらの内容を書き留めてきて、お前に見せればいいか？									それくらいならば、私も手伝おう。この遺跡には、判別可能な碑文がいくつか遺されている。それらの内容を書き留めてきて、お前に見せればいいか？	明星に導かれ
ええ、お願いするわ。									ええ、お願いするわ。	明星に導かれ
Forenameは、ロンカ文字の読み書きができないでしょうから、別の方法を取った方がよさそうね。									Forenameは、ロンカ文字の読み書きができないでしょうから、別の方法を取った方がよさそうね。	明星に導かれ
「ロンカの碑文」を見つけたら、その「転写用の粘土板」を押し当てて、ありのままを写し取ってきて頂戴。									「ロンカの碑文」を見つけたら、その「転写用の粘土板」を押し当てて、ありのままを写し取ってきて頂戴。	明星に導かれ
そうね……恐らく、ピラミッドの頂上あたりには、比較的わかりやすい形で、碑文が刻まれているのではないかしら。									そうね……恐らく、ピラミッドの頂上あたりには、比較的わかりやすい形で、碑文が刻まれているのではないかしら。	明星に導かれ
ある程度の碑文が集まったら、また合流しましょう。									ある程度の碑文が集まったら、また合流しましょう。	明星に導かれ
ピラミッドの上は、もう見てみたかしら？「ロンカの碑文」を見つけたら、「転写用の粘土板」を押し当ててきて頂戴。									ピラミッドの上は、もう見てみたかしら？「ロンカの碑文」を見つけたら、「転写用の粘土板」を押し当ててきて頂戴。	明星に導かれ
この遺跡には、判別可能な碑文がいくつか遺されている。それを集めるとしよう。									この遺跡には、判別可能な碑文がいくつか遺されている。それを集めるとしよう。	明星に導かれ
発見した「ロンカの碑文」に粘土板を押し当てて転写した！									発見した「ロンカの碑文」に粘土板を押し当てて転写した！	明星に導かれ
そちらも、いくつか碑文を写せたようだな。私も数点だが、集めることができた。そろそろ、ヤ・シュトラに情報を集約するとしよう。									そちらも、いくつか碑文を写せたようだな。私も数点だが、集めることができた。そろそろ、ヤ・シュトラに情報を集約するとしよう。	明星に導かれ
ロンカの碑文の転写……もう終わったのかしら？									ロンカの碑文の転写……もう終わったのかしら？	明星に導かれ
ありがとう、完璧よ。私とアルメの分も統合して、さっそく解読に取り掛かるわ。少しばかり時間をちょうだい……。									ありがとう、完璧よ。私とアルメの分も統合して、さっそく解読に取り掛かるわ。少しばかり時間をちょうだい……。	明星に導かれ
おまたせ……あらかた解読はできたわ。									おまたせ……あらかた解読はできたわ。	明星に導かれ
「ロンカの印章」のときほど直接的な表現ではなく、謎掛けのようになっているけれど……読み上げるわよ？									「ロンカの印章」のときほど直接的な表現ではなく、謎掛けのようになっているけれど……読み上げるわよ？	明星に導かれ
『汝、同胞との妥協は、進歩の足枷と知れ』									『汝、同胞との妥協は、進歩の足枷と知れ』	明星に導かれ
『汝、同胞との不和は、進歩の足枷と知れ』									『汝、同胞との不和は、進歩の足枷と知れ』	明星に導かれ
『汝、頂きから目を背けるは、進歩の足枷と知れ』									『汝、頂きから目を背けるは、進歩の足枷と知れ』	明星に導かれ
『我、すべての足枷を解き放ちて、　羽ばたく者にこそ、真理に至る扉を開かん』									『我、すべての足枷を解き放ちて、　羽ばたく者にこそ、真理に至る扉を開かん』	明星に導かれ
……私やアルメが集めた碑文の内容によれば、今回は、いずれかひとつの神獣の石像が正解のようね。									……私やアルメが集めた碑文の内容によれば、今回は、いずれかひとつの神獣の石像が正解のようね。	明星に導かれ
今、読み上げた条件を念頭に置きつつ、ここに並んでいる石像の状態を見ていけば、触れるべき「正解の石像」が、わかるんじゃないかしら。									今、読み上げた条件を念頭に置きつつ、ここに並んでいる石像の状態を見ていけば、触れるべき「正解の石像」が、わかるんじゃないかしら。	明星に導かれ
あなたも少し、考えてみて……？									あなたも少し、考えてみて……？	明星に導かれ
『汝、同胞との妥協は、進歩の足枷と知れ。　汝、同胞との不和は、進歩の足枷と知れ。　汝、頂きから目を背けるは、進歩の足枷と知れ』									『汝、同胞との妥協は、進歩の足枷と知れ。　汝、同胞との不和は、進歩の足枷と知れ。　汝、頂きから目を背けるは、進歩の足枷と知れ』	明星に導かれ
『我、すべての足枷を解き放ちて、　羽ばたく者にこそ、真理に至る扉を開かん』この碑文が示す神獣、か……。									『我、すべての足枷を解き放ちて、　羽ばたく者にこそ、真理に至る扉を開かん』この碑文が示す神獣、か……。	明星に導かれ
「水蛇」の石像だ。「大猫」の石像と、背中合わせの向きに立っている。									「水蛇」の石像だ。「大猫」の石像と、背中合わせの向きに立っている。	明星に導かれ
「大猫」の石像だ。「水蛇」の石像と、背中合わせの向きに立っている。									「大猫」の石像だ。「水蛇」の石像と、背中合わせの向きに立っている。	明星に導かれ
「オウム」の石像だ。南に向かって立っている。									「オウム」の石像だ。南に向かって立っている。	明星に導かれ
「フクロウ」の石像だ。北に向かって立っている。									「フクロウ」の石像だ。北に向かって立っている。	明星に導かれ
「狼犬」の石像だ。「大猿」の石像と、向かい合うように立っている。									「狼犬」の石像だ。「大猿」の石像と、向かい合うように立っている。	明星に導かれ
「大猿」の石像だ。「狼犬」の石像と、向かい合うように立っている。									「大猿」の石像だ。「狼犬」の石像と、向かい合うように立っている。	明星に導かれ
Forename、水中の仕掛けを解いたあなたにこそ、正解の石像を選んでもらいたいのだけれど……考えはまとまったかしら？									Forename、水中の仕掛けを解いたあなたにこそ、正解の石像を選んでもらいたいのだけれど……考えはまとまったかしら？	明星に導かれ
ヤ・シュトラに考えを告げますか？									ヤ・シュトラに考えを告げますか？	明星に導かれ
碑文の内容を、もう一度、確認したいようなら、アルメに声をかけてみたらどうかしら？彼女、さっきからブツブツ独り言を繰り返しているから……。									碑文の内容を、もう一度、確認したいようなら、アルメに声をかけてみたらどうかしら？彼女、さっきからブツブツ独り言を繰り返しているから……。	明星に導かれ
それから、目の前の石像を、一度きちんと調べてみるのも、大事でしょうね。									それから、目の前の石像を、一度きちんと調べてみるのも、大事でしょうね。	明星に導かれ
それなら、石像に触れる役割は、私が受け持つわ。									それなら、石像に触れる役割は、私が受け持つわ。	明星に導かれ
不正解の石像を選んでしまった場合、盗掘者避けの呪詛を受けるかもしれない……自分に呪詛返しを施して、挑むとするわ。									不正解の石像を選んでしまった場合、盗掘者避けの呪詛を受けるかもしれない……自分に呪詛返しを施して、挑むとするわ。	明星に導かれ
……じゃあ、聞かせて頂戴。あなたが選んだ正解の石像は……？									……じゃあ、聞かせて頂戴。あなたが選んだ正解の石像は……？	明星に導かれ
正しい神獣の石像は？									正しい神獣の石像は？	明星に導かれ
水蛇の石像									水蛇の石像	明星に導かれ
大猫の石像									大猫の石像	明星に導かれ
オウムの石像									オウムの石像	明星に導かれ
フクロウの石像									フクロウの石像	明星に導かれ
狼犬の石像									狼犬の石像	明星に導かれ
大猿の石像									大猿の石像	明星に導かれ
碑文の内容を確認する									碑文の内容を確認する	明星に導かれ
回答をやめる									回答をやめる	明星に導かれ
ふむ、それなら確か……									ふむ、それなら確か……	明星に導かれ
『汝、同胞との妥協は、進歩の足枷と知れ。　汝、同胞との不和は、進歩の足枷と知れ。　汝、頂きから目を背けるは、進歩の足枷と知れ』									『汝、同胞との妥協は、進歩の足枷と知れ。　汝、同胞との不和は、進歩の足枷と知れ。　汝、頂きから目を背けるは、進歩の足枷と知れ』	明星に導かれ
『我、すべての足枷を解き放ちて、　羽ばたく者にこそ、真理に至る扉を開かん』									『我、すべての足枷を解き放ちて、　羽ばたく者にこそ、真理に至る扉を開かん』	明星に導かれ
……だったな。この碑文が示す神獣を1体、選べということだが……。									……だったな。この碑文が示す神獣を1体、選べということだが……。	明星に導かれ
わかったわ……。それじゃあ、触れてみるとしましょう。									わかったわ……。それじゃあ、触れてみるとしましょう。	明星に導かれ
クッ……盗掘者避けの呪詛が……！									クッ……盗掘者避けの呪詛が……！	明星に導かれ
呪詛返しは、ちゃんとできたけれど……次はもう少し、慎重に選んでもらっていいかしら……。									呪詛返しは、ちゃんとできたけれど……次はもう少し、慎重に選んでもらっていいかしら……。	明星に導かれ
さて、あらためて聞かせてもらうわ。あなたが選んだ正解の石像は……？									さて、あらためて聞かせてもらうわ。あなたが選んだ正解の石像は……？	明星に導かれ
「フクロウの石像」ね……。それじゃあ、触れてみるわ……！									「フクロウの石像」ね……。それじゃあ、触れてみるわ……！	明星に導かれ
今の音……上手くいった、という事なのかしらね。									今の音……上手くいった、という事なのかしらね。	明星に導かれ
いずれにせよ、あなたが正解を見抜いてくれて助かったわ。呪詛返しって、意外と魔力を消耗するんだもの……。									いずれにせよ、あなたが正解を見抜いてくれて助かったわ。呪詛返しって、意外と魔力を消耗するんだもの……。	明星に導かれ
ふぅ……。備えあれば憂いなしとは言うけれど、大分消耗したわ……。									ふぅ……。備えあれば憂いなしとは言うけれど、大分消耗したわ……。	明星に導かれ
ひとまず、最初の仕掛けは作動したようだな。もしかしたら、大ピラミッド内の扉も開いたかもしれない。さっそく奥へ進んで……									ひとまず、最初の仕掛けは作動したようだな。もしかしたら、大ピラミッド内の扉も開いたかもしれない。さっそく奥へ進んで……	明星に導かれ
人の気配……何者だッ！？									人の気配……何者だッ！？	明星に導かれ
ハァ……ハァ……。姉さん、みなさん、た、大変なことに……！									ハァ……ハァ……。姉さん、みなさん、た、大変なことに……！	明星に導かれ
シャイメ……！？									シャイメ……！？	明星に導かれ
どうした、いったい何があったんだ。									どうした、いったい何があったんだ。	明星に導かれ
う、うん……それが……ユールモア軍が、スリザーバウを抜けて、イキス・マヤエの森に入って来たの……っ！									う、うん……それが……ユールモア軍が、スリザーバウを抜けて、イキス・マヤエの森に入って来たの……っ！	明星に導かれ
スリザーバウの……あの子たちの状況は！？									スリザーバウの……あの子たちの状況は！？	明星に導かれ
ユールモア軍に抵抗していたみたいですが、詳しいことはわかりません……。									ユールモア軍に抵抗していたみたいですが、詳しいことはわかりません……。	明星に導かれ
ただ、あまり長時間の騒ぎではなかったようなので、敵将は、こちらの森への道を見つけてすぐ、進軍することを選んだみたいですぅ……。									ただ、あまり長時間の騒ぎではなかったようなので、敵将は、こちらの森への道を見つけてすぐ、進軍することを選んだみたいですぅ……。	明星に導かれ
今は、ウィメちゃんが里の狩人を率いて、サンクレッドさんたちと一緒に、足止めをしてます……！									今は、ウィメちゃんが里の狩人を率いて、サンクレッドさんたちと一緒に、足止めをしてます……！	明星に導かれ
……状況はわかった。シャイメ、お前もすぐに戻って、ウィメたちに加勢を。									……状況はわかった。シャイメ、お前もすぐに戻って、ウィメたちに加勢を。	明星に導かれ
倒すことより、里やこの遺跡が戦場にならないよう、敵を押しとどめることに注力するんだ。									倒すことより、里やこの遺跡が戦場にならないよう、敵を押しとどめることに注力するんだ。	明星に導かれ
我々も、なるべく早く、この探索をすませよう。									我々も、なるべく早く、この探索をすませよう。	明星に導かれ
うん、わかった……！姉さんたちも、気をつけて……！									うん、わかった……！姉さんたちも、気をつけて……！	明星に導かれ
……戻らないわよ。スリザーバウが攻め込まれる前に片をつけたかったけど、時間が厳しいことは知っていた……知っていてここに来たの。									……戻らないわよ。スリザーバウが攻め込まれる前に片をつけたかったけど、時間が厳しいことは知っていた……知っていてここに来たの。	明星に導かれ
あの子たちが、自分の道を貫いて、戦ったのなら……私は私の決めたやり方で、事を成し遂げてみせるわ。									あの子たちが、自分の道を貫いて、戦ったのなら……私は私の決めたやり方で、事を成し遂げてみせるわ。	明星に導かれ
四つの明星のアルメは、真剣な面持ちだ。									四つの明星のアルメは、真剣な面持ちだ。	よろずなる神の御殿
アルメと話す									アルメと話す	よろずなる神の御殿
神獣の像を探す									神獣の像を探す	よろずなる神の御殿
フクロウの石像を神獣の台座に運ぶ									フクロウの石像を神獣の台座に運ぶ	よろずなる神の御殿
アルメと話す									アルメと話す	よろずなる神の御殿
……行きましょう。ユールモア軍……「夜の民」を無用に傷つけていたら、絶対に許しはしないわ……。									……行きましょう。ユールモア軍……「夜の民」を無用に傷つけていたら、絶対に許しはしないわ……。	よろずなる神の御殿
ともかく、我々は先を急ぐとしよう。目指すは、「ユキス・ネルの大ピラミッド」最奥……「大トゥパサの崇神所」だ。									ともかく、我々は先を急ぐとしよう。目指すは、「ユキス・ネルの大ピラミッド」最奥……「大トゥパサの崇神所」だ。	よろずなる神の御殿
先ほどのお前の働きで、大ピラミッド内の扉が開いているといいが……行ってみるとしよう。									先ほどのお前の働きで、大ピラミッド内の扉が開いているといいが……行ってみるとしよう。	よろずなる神の御殿
歯がゆいわね……。肝心の扉が閉じたままだわ。									歯がゆいわね……。肝心の扉が閉じたままだわ。	よろずなる神の御殿
これが、「大トゥパサの崇神所」に続くとされる扉なのだが……ダメだ、まだ開いていない……。									これが、「大トゥパサの崇神所」に続くとされる扉なのだが……ダメだ、まだ開いていない……。	よろずなる神の御殿
私の眼で視たかぎり、扉に向かう魔力の流れはあるわ。ただ、それが不自然に途切れている……。									私の眼で視たかぎり、扉に向かう魔力の流れはあるわ。ただ、それが不自然に途切れている……。	よろずなる神の御殿
……ねえ、扉のわきをご覧なさいな。見慣れた神獣の石像が、右側にしかないのは、いささか不自然ではなくて？									……ねえ、扉のわきをご覧なさいな。見慣れた神獣の石像が、右側にしかないのは、いささか不自然ではなくて？	よろずなる神の御殿
……なるほど。となれば、失われた石像を探し出すまでだ……。この遺跡は広い、手分けをしてはどうか？									……なるほど。となれば、失われた石像を探し出すまでだ……。この遺跡は広い、手分けをしてはどうか？	よろずなる神の御殿
賛成よ。それなら私は西側、アルメは南側……Forenameは東側を探すことにしましょう。									賛成よ。それなら私は西側、アルメは南側……Forenameは東側を探すことにしましょう。	よろずなる神の御殿
おそらく、据えるべき石像はフクロウを象ったもの……台座に合いそうな物がないか、探して頂戴。さあ、急ぐわよ！									おそらく、据えるべき石像はフクロウを象ったもの……台座に合いそうな物がないか、探して頂戴。さあ、急ぐわよ！	よろずなる神の御殿
こちらには、目当ての石像はないようね……。									こちらには、目当ての石像はないようね……。	よろずなる神の御殿
神獣の石像はどこだ……？盗掘者どもを片端から矢で射抜いてきた私が、こうして遺跡の扉を開くために、奔走することになるとは……。									神獣の石像はどこだ……？盗掘者どもを片端から矢で射抜いてきた私が、こうして遺跡の扉を開くために、奔走することになるとは……。	よろずなる神の御殿
すまない、こちらは収穫なしだが、そちらは……									すまない、こちらは収穫なしだが、そちらは……	よろずなる神の御殿
おお、見つけたのだな……！									おお、見つけたのだな……！	よろずなる神の御殿
間違いない、先ほど扉の前にあったのと同じものだ。これを空の台座まで運べば、今度こそ魔力が通い、崇神所の扉が開かれることだろう。									間違いない、先ほど扉の前にあったのと同じものだ。これを空の台座まで運べば、今度こそ魔力が通い、崇神所の扉が開かれることだろう。	よろずなる神の御殿
そう願いたいものね。……ただ、こんな場所に石像が置かれていたことには、違和感を覚えずにはいられないわ。									そう願いたいものね。……ただ、こんな場所に石像が置かれていたことには、違和感を覚えずにはいられないわ。	よろずなる神の御殿
加えて、ここに来るまでの道中にあった巨大な石像の眼から、妙な魔力が放たれているように感じたのよ。									加えて、ここに来るまでの道中にあった巨大な石像の眼から、妙な魔力が放たれているように感じたのよ。	よろずなる神の御殿
ふむ、石像を運んで台座に据えること自体が、一種の試練となっているということか……。ならば、道中には運搬を妨害するような機構がありそうだ。									ふむ、石像を運んで台座に据えること自体が、一種の試練となっているということか……。ならば、道中には運搬を妨害するような機構がありそうだ。	よろずなる神の御殿
ええ、そう思うわ。十分な警戒が必要でしょう。									ええ、そう思うわ。十分な警戒が必要でしょう。	よろずなる神の御殿
その上でお願いなのだけれど、Forename、石像の運搬役をお願いしてもいいかしら？									その上でお願いなのだけれど、Forename、石像の運搬役をお願いしてもいいかしら？	よろずなる神の御殿
この遺跡、魔法大国ロンカの神殿だけあって、魔力の通り道が複雑に張り巡らされているの。恐らく、今はあなたの眼の方が、仕掛けの本質を捉えやすいわ。									この遺跡、魔法大国ロンカの神殿だけあって、魔力の通り道が複雑に張り巡らされているの。恐らく、今はあなたの眼の方が、仕掛けの本質を捉えやすいわ。	よろずなる神の御殿
ありがとう……。では、その「フクロウの石像」を扉のそばの台座まで運んでね。道中にある巨大な石像には、くれぐれも注意してちょうだい。									ありがとう……。では、その「フクロウの石像」を扉のそばの台座まで運んでね。道中にある巨大な石像には、くれぐれも注意してちょうだい。	よろずなる神の御殿
「フクロウの石像」を、制限時間内に、「神獣の台座」まで運びましょう。									「フクロウの石像」を、制限時間内に、「神獣の台座」まで運びましょう。	よろずなる神の御殿
運搬状態の効果時間は「120秒」です。時間切れになった場合、運搬は失敗になりますが、開始地点から再挑戦することができます。									運搬状態の効果時間は「120秒」です。時間切れになった場合、運搬は失敗になりますが、開始地点から再挑戦することができます。	よろずなる神の御殿
なお、攻撃を受けると、効果時間が減ってしまいます。なるべく、攻撃を受けないように気をつけながら、「フクロウの石像」を運搬しましょう。									なお、攻撃を受けると、効果時間が減ってしまいます。なるべく、攻撃を受けないように気をつけながら、「フクロウの石像」を運搬しましょう。	よろずなる神の御殿
道中にあった巨大な石像の眼から、妙な魔力が放たれているように感じたわ。その視界には、踏み込まない方が良いかもしれない……。									道中にあった巨大な石像の眼から、妙な魔力が放たれているように感じたわ。その視界には、踏み込まない方が良いかもしれない……。	よろずなる神の御殿
さすがに、これほど要となる役は、代わってやれない。……だが、お前が試練を越えることを祈っている。									さすがに、これほど要となる役は、代わってやれない。……だが、お前が試練を越えることを祈っている。	よろずなる神の御殿
巨大な石像の眼から光が放たれ、運んでいた「フクロウの石像」が、どこかへ消えてしまった！									巨大な石像の眼から光が放たれ、運んでいた「フクロウの石像」が、どこかへ消えてしまった！	よろずなる神の御殿
「フクロウの石像」を、制限時間内に、「神獣の台座」まで運びましょう。									「フクロウの石像」を、制限時間内に、「神獣の台座」まで運びましょう。	よろずなる神の御殿
運搬状態の効果時間は「120秒」です。時間切れになった場合、運搬は失敗になりますが、開始地点から再挑戦することができます。									運搬状態の効果時間は「120秒」です。時間切れになった場合、運搬は失敗になりますが、開始地点から再挑戦することができます。	よろずなる神の御殿
なお、攻撃を受けると、効果時間が減ってしまいます。なるべく、攻撃を受けないように気をつけつつ、巨大な石像の視界に入らないように、運搬しましょう。									なお、攻撃を受けると、効果時間が減ってしまいます。なるべく、攻撃を受けないように気をつけつつ、巨大な石像の視界に入らないように、運搬しましょう。	よろずなる神の御殿
何かが置けそうな台座がある。どうやら、ここに「フクロウの石像」を置けば良いようだ。									何かが置けそうな台座がある。どうやら、ここに「フクロウの石像」を置けば良いようだ。	よろずなる神の御殿
「フクロウの石像」を、神獣の台座に据えた！									「フクロウの石像」を、神獣の台座に据えた！	よろずなる神の御殿
無事に石像を台座に据え付けることができたようだな。これで、扉が開くのか？									無事に石像を台座に据え付けることができたようだな。これで、扉が開くのか？	よろずなる神の御殿
大丈夫……エーテルの流れを感じるわ。									大丈夫……エーテルの流れを感じるわ。	よろずなる神の御殿
ふぅ……上手くいってくれたようね。これでようやく、この遺跡の最奥部に入ることができるわ。									ふぅ……上手くいってくれたようね。これでようやく、この遺跡の最奥部に入ることができるわ。	よろずなる神の御殿
ありがとう、Forename。見事な手並だったわ。									ありがとう、Forename。見事な手並だったわ。	よろずなる神の御殿
これでようやく、この遺跡の最奥部に入ることができるわ。									これでようやく、この遺跡の最奥部に入ることができるわ。	よろずなる神の御殿
これにて、ピラミッドの最奥、「大トゥパサの崇神所」の扉は開かれた。									これにて、ピラミッドの最奥、「大トゥパサの崇神所」の扉は開かれた。	よろずなる神の御殿
ただ、それでもなお道半ば……。崇神所深部の仕掛けを動かし、一帯の神殿に魔力を流して、「キタンナ神影洞」の扉を開かねば。									ただ、それでもなお道半ば……。崇神所深部の仕掛けを動かし、一帯の神殿に魔力を流して、「キタンナ神影洞」の扉を開かねば。	よろずなる神の御殿
遺跡の扉を開くために、別の遺跡の探索だなんて、ロンカの皇帝は、どうにも回りくどいことが好きだったようね。									遺跡の扉を開くために、別の遺跡の探索だなんて、ロンカの皇帝は、どうにも回りくどいことが好きだったようね。	よろずなる神の御殿
とはいえ、今は愚痴を言っている時間も惜しい……。ユールモア軍が北上してくる前に、先へ進みましょう！									とはいえ、今は愚痴を言っている時間も惜しい……。ユールモア軍が北上してくる前に、先へ進みましょう！	よろずなる神の御殿
大トゥパサの崇神所前のアルメは、冒険者に話があるようだ。									大トゥパサの崇神所前のアルメは、冒険者に話があるようだ。	仕掛けと呪いと毒と
アルメから忠告を聞いた。大トゥパサの崇神所前の「ヤ・シュトラ」と話そう。									アルメから忠告を聞いた。大トゥパサの崇神所前の「ヤ・シュトラ」と話そう。	仕掛けと呪いと毒と
ヤ・シュトラたちとともに、「大トゥパサの崇神所」に突入した。崇神所の外に帰還しよう。									ヤ・シュトラたちとともに、「大トゥパサの崇神所」に突入した。崇神所の外に帰還しよう。	仕掛けと呪いと毒と
ヤ・シュトラ以外の仲間とともに、崇神所から脱出した。四つの明星の「サンクレッド」と話そう。									ヤ・シュトラ以外の仲間とともに、崇神所から脱出した。四つの明星の「サンクレッド」と話そう。	仕掛けと呪いと毒と
サンクレッドから、待機するよう言われた。唐突な別れに意気消沈する一同だったが、ヤ・シュトラから託された希望は、冒険者の手の内にある。彼女の決意を無駄にしないよう、顔を上げて進んでいこう。									サンクレッドから、待機するよう言われた。唐突な別れに意気消沈する一同だったが、ヤ・シュトラから託された希望は、冒険者の手の内にある。彼女の決意を無駄にしないよう、顔を上げて進んでいこう。	仕掛けと呪いと毒と
ヤ・シュトラと話す									ヤ・シュトラと話す	仕掛けと呪いと毒と
サンクレッドと話す									サンクレッドと話す	仕掛けと呪いと毒と
さあ、「大トゥパサの崇神所」の中へ入りましょう。ユールモア軍も近くまで来ているし、あまり時間がないわ。									さあ、「大トゥパサの崇神所」の中へ入りましょう。ユールモア軍も近くまで来ているし、あまり時間がないわ。	仕掛けと呪いと毒と
「大トゥパサの崇神所」に突入する前に、忠告しておきたいことがある。									「大トゥパサの崇神所」に突入する前に、忠告しておきたいことがある。	仕掛けと呪いと毒と
我々の伝え聞いてきたところによると、崇神所の中には、これまで以上に危険な仕掛けや、防衛機構が張り巡らされているらしい。									我々の伝え聞いてきたところによると、崇神所の中には、これまで以上に危険な仕掛けや、防衛機構が張り巡らされているらしい。	仕掛けと呪いと毒と
中でも注意したいのが、転移の魔法で、強制的に離れ離れにさせられてしまうことだ。									中でも注意したいのが、転移の魔法で、強制的に離れ離れにさせられてしまうことだ。	仕掛けと呪いと毒と
